ZINC01174928	O=Cc1ccc(OCc2ccc(C(=O)[O-])cc2)c(I)c1
ZINC25121359	Cc1cccc(C(=O)NNC(=O)C23CC4CC(CC(C4)C2)C3)n1
ZINC29571431	O=C1CCCc2[nH]c(=O)c(C(=O)NC3CCCc4ccccc43)cc21
ZINC32648766	CC(=O)Nc1nc(C(=O)Nc2ccc(C)cc2Cl)cs1
ZINC19770323	CN1C(N)=NC(=O)/C1=C/c1ccc(-c2ccc(Br)cc2)o1
ZINC34798821	Cc1ccsc1C1C2CN(C(C)C)CC=C2C(C#N)=C(N)C1(C#N)C#N
ZINC35127412	CC(NC(=O)C1=NNC(=O)CC1)c1ccc(Cl)cc1Cl
ZINC35134444	Cc1n[nH]c(C)c1NC(=O)/C=C/c1ccc(Br)o1
ZINC35763570	Brc1cc(CNc2cn[nH]c2)cc2c1OCCO2
ZINC37501133	Cc1c(C(C)NC(=O)c2cc(Br)c[nH]2)cnn1C
ZINC37549635	Cn1cc(Cl)cc1C(=O)Nc1ncc(C#CCCO)s1
ZINC38053964	CC(C)(C)Oc1nc(-n2cc(Br)cn2)ccc1N
ZINC39320764	CC1CN(c2cc(N)ccc2S(=O)(=O)C(C)C)CC(C)O1
ZINC05075302	Cc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(-c4cccs4)c32)s1
ZINC39356272	CCC1=NC2SC(N)=C(C#N)C(c3cc(Br)co3)C2=N1
ZINC40490033	O=C1NC2(CCCC2)C(=O)N1CC(O)c1ccc(Cl)cc1
ZINC43667863	Cc1nn(Cc2cc(Br)c3c(c2)OCCO3)c(N)c1Cl
ZINC43735341	CC1CCC2C(C)(CO)C(O)CCC2(C)C12CCC1(COC(=O)C1)O2
ZINC44335406	O=C(NC1CCS(=O)(=O)C1)c1cc2ccc(Br)cc2[nH]1
ZINC44551152	Cn1c(-c2sc(=S)n(-c3ccccc3)c2N)nc2cccnc21
ZINC45626353	CC(C)C(C)n1nnnc1-c1cc(N)ccc1Br
ZINC48051151	Cn1cc(NC(=O)Nc2ccccc2I)cn1
ZINC48778005	CNC(=O)c1cc(Cl)ccc1NC(=O)c1scnc1C
ZINC48892130	O=C(Nc1ccc(I)cc1Cl)c1cn[nH]n1
ZINC49100280	CNC(=O)C(C)n1c(=S)[nH]c2sc3c(c2c1=O)CCCC3
ZINC49167887	O=C(Nc1nccs1)c1[nH]nc(C2CC2)c1Br
ZINC49447929	Cn1nccc1CNC(=O)c1ccc(Br)cc1O
ZINC49449425	O=C(Nc1cc[nH]n1)c1csc(-c2ccc(Cl)s2)n1
ZINC06796149	CC1=NN(c2ccccc2)C(=N)/C1=N\Nc1cccc(Cl)c1
ZINC00561110	C=CCN1C(=O)N/C(=C/c2cc(Cl)c(O)c(Cl)c2)C1=O
ZINC50102581	Nc1ccccc1CS(=O)(=O)N1CCOC2CCCCC21
ZINC50568238	Cc1cc(S(N)(=O)=O)ccc1C(=O)N1CCCC(C)C1C
ZINC06667789	CC1(C)CC(=O)c2c([nH]c(-c3ccc4c(c3)OCCO4)c2O)C1
ZINC41055979	Cc1nc(NC(=O)c2c[nH]c3cc(Cl)ccc3c2=O)sc1C
ZINC56882256	Cn1ncc2c1CCCC2NC(=O)c1[nH]c2ccccc2c1Br
ZINC05668780	CN1C(=O)/C(=C2\SC(=N)NC2=O)c2cc(Br)ccc21
ZINC58849340	Cc1cccc(C(C)C)c1NC(=O)NC1CCS(=O)(=O)C1
ZINC62351601	Nc1nc(-c2nc(Cc3c(F)cccc3Cl)no2)cs1
ZINC49409587	Cc1ccccc1CNC(=O)C1C(=O)N=c2ccsc2=C1O
ZINC65468735	O=C1CC(c2ccc(C#CCCO)cc2)c2c(nc3ccccn23)CN1
ZINC67623390	CC(c1cccc(O)c1)N(C)C(=O)NC1CCCc2occc21
ZINC05776607	O=C(CC1Sc2ccccc2NC1=O)Nc1nncs1
ZINC05960967	Cc1cc(C)nc(NC(=O)Nc2sc(=S)n(C)c2C)n1
ZINC06115473	CNC(=O)NC(=O)C(C)Sc1ncnc2sccc12
ZINC07813295	CN/N=C(\C)C1(C)N(O)C(C)(C)C(c2ccc(F)cc2)=[N+]1[O-]
ZINC08346433	Cc1cc(C(=O)NNC(=O)c2ccc3ccccc3n2)c(C)o1
ZINC09262155	N#CC1C(=O)Nc2nc3ccccc3n2C1c1ccc(O)cc1
ZINC05799478	N#CC1=C(N)Oc2ccc3ccc(=O)oc3c2C1c1cccnc1
ZINC19866125	O=C1N=C([O-])C2(N1)C1CN3CC[NH+](C1)CC2(c1ccccc1)C3
ZINC20272931	Nc1ccc(C2=Nn3c(nnc3C3CCCO3)SC2)cc1
ZINC17055777	Cc1cc2c(=O)n(NC(=O)c3ccoc3C)c(=S)[nH]c2s1
ZINC36733743	Cc1n[nH]c(C)c1NC(=O)C1CCCN(C(=O)C(C)C)C1
ZINC36743596	Cc1noc(C)c1S(=O)(=O)N1c2ccc(N)cc2CC1C
ZINC37577878	Cc1cc(NS(=O)(=O)c2cccc(C#CCO)c2)n(C)n1
ZINC37760972	Cn1c(C(C)(C)C)c(N)c(=O)n1C1(C)CCS(=O)(=O)C1
ZINC37832754	CC(C)C(Br)C(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC37976617	Nc1cccc2c1C(=O)N(C(=O)c1cc(Cl)ccn1)C2=O
ZINC04166719	N#CC1=C(N)Oc2[nH]nc(-c3ccncc3)c2C1c1ccsc1
ZINC04166719	N#CC1=C(N)Oc2n[nH]c(-c3ccncc3)c2C1c1ccsc1
ZINC39007454	CSC1=NC(=O)C2C(=N1)NC(=O)CC2c1ccc(O)cc1
ZINC39253000	Cc1ccc(C2C(C#N)=C(N)OC3=NC(c4ccccc4)=NC32)o1
ZINC05044853	COCC1=NN=C2OC(N)=C(C#N)C3(CCSC3C)C12
ZINC39412522	O=C(N/N=C/C1C=C2CCCCC2=N1)C1NN=C2CCCC21
ZINC39464670	COP1(=O)NN2CCc3cc(O)c(SC)cc3C2CO1
ZINC40809536	Cc1n[nH]c(C)c1S(=O)(=O)NC1CCCc2occc21
ZINC43549513	Cc1nc(NC(=O)NCC2CCS(=O)(=O)C2)sc1C
ZINC44458555	O=C(Nc1nccs1)C1CCCN(C(=O)NC2CC2)C1
ZINC49042762	Cc1cc(CNC(=O)c2[nH]nc(C)c2Br)no1
ZINC49957370	Cc1nnc(SCc2nc(N)c3c(C)c(C)sc3n2)o1
ZINC50376996	COC1CCCC1n1nnnc1-c1cc(N)ccc1Cl
ZINC50603723	Cc1c(C)n(CC2CCS(=O)(=O)C2)c2ncnc(N)c12
ZINC09397396	CN1C(=O)NC(=O)/C(=C\Nc2ccc3c4c(cccc24)CC3)C1=O
ZINC50630826	CCC1CCCN1S(=O)(=O)c1c(N)nc2sccn12
ZINC50676541	Nc1cc(S(=O)(=O)N2CCOC3CCCCC32)ccn1
ZINC52886328	Cc1sc2nc(CN3CCN(C)C3=O)nc(N)c2c1C
ZINC54652938	Cc1cccc(NC(=O)c2ccc3c(c2)NC(=O)CN3C)n1
ZINC55170690	Cc1nc(N)sc1C(=O)N1CCN(c2nccs2)CC1
ZINC36854566	Nc1nnc(SC2CC(=O)N(C3CCCC3)C2=O)s1
ZINC60481673	CC1(NC(=O)c2ccc3cn[nH]c3c2)CCS(=O)(=O)C1
ZINC61684757	CNc1ncc(Br)cc1C(=O)Nc1ccon1
ZINC49543671	O=C(Nc1nccs1)C(=O)N1CCc2[nH]c3ccccc3c2C1
ZINC62828153	O=C([O-])c1ccsc1NC(=O)N1CC[NH+]2CCCCC2C1
ZINC63277314	CNC(=O)/C(C#N)=C\c1c[nH]nc1-c1cc2ccccc2o1
ZINC04014765	N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1ccco1
ZINC05044930	CC(C)(C)c1[nH]nc2c1C(c1ccncc1)C(C#N)=C(N)O2
ZINC05044930	CC(C)(C)c1n[nH]c2c1C(c1ccncc1)C(C#N)=C(N)O2
ZINC63832884	O=C(C1C=CN=N1)N1CCC2=C(C1)C(c1ccccc1)NN2
ZINC64877291	CCn1cc(NC(=O)c2[nH]nc(C)c2Br)cn1
ZINC43602831	O=C(Nc1nnc(C2CCCCC2)s1)N1CCCC(O)C1
ZINC65519445	Cc1c(C(=O)NOC2CCCCO2)[nH]c2c1C(=O)CCC2
ZINC66284370	CC(=O)Nc1cc(NC(=O)c2cc(C)no2)c(F)cc1F
ZINC66673535	Cc1c(C(=O)Nc2cnn(C(C)C)c2)[nH]c2c1C(=O)CCC2
ZINC66811190	O=C1NCCCC1Nc1nc(-c2ccncc2)nc2c1CCC2
ZINC04380599	O=C1C2C(C(=O)N1/N=C/c1ccc(I)o1)C1C=CC2C12CC2
ZINC04461070	O=C(c1ccccc1Cl)N1CCC2(CC1)SCCN2C(=O)c1ccco1
ZINC04505633	O=C1CC2(CCN(C(=O)c3ccc(Br)o3)CC2)Oc2ccccc21
ZINC04512226	Cc1nc2c(c(N3CCCCC3)n1)CN(C(=O)C13CC4CC(CC(C4)C1)C3)CC2
ZINC00980473	CN1C(=O)C(=Cc2ccc(-c3ccc(Br)cc3)o2)C(=O)N(C)C1=S
ZINC04731349	CC1CCC2C3(C)COC(C)(C)OC3CCC2(C)C12CCC1(COC(=O)C1)O2
ZINC04971741	O=C(c1cccn2c(=O)c3c4c(sc3nc12)CCCC4)N1CCc2ccccc2C1
ZINC05318881	CC1CCc2c(sc3ncn(CC(=O)N4c5ccccc5CC4C)c(=O)c23)C1
ZINC02621056	O=C(COc1ncnc2c(Cl)cc(Cl)cc12)N1CCc2ccccc2C1
ZINC07947501	Cn1nc(C(=O)N2CCc3sccc3C2c2cccs2)c2ccccc2c1=O
ZINC01511911	O=C1OC(c2ccccc2Br)=N/C1=C\c1coc2ccccc2c1=O
ZINC09302994	O=C(/N=C1\SC2CS(=O)(=O)CC2N1c1ccccc1)c1ccc(Cl)cc1Cl
ZINC10109607	O=C(C1COc2ccc(Cl)cc2C1)N1CCCC1c1ccc2c(c1)OCCO2
ZINC09273915	CC(=O)C1C(c2cccnc2)C2(C(=O)c3ccccc3C2=O)C2C=Cc3cc(Cl)ccc3N12
ZINC13692550	CC1(C)Cc2nc3ncn(Cc4ccc(Br)cc4)c(=O)c3cc2CO1
ZINC17079216	O=c1c2ccccc2nc2sc(COc3ccccc3Br)nn12
ZINC19561178	Cc1sc2nc(C)n(C3CCN(C(=O)C4CCCCC4)CC3)c(=O)c2c1C
ZINC21895499	CC1CC(C)CN(C(=O)Cn2cnc3scc(-c4cccs4)c3c2=O)C1
ZINC32634355	O=C(CCl)/N=C1\SC2CS(=O)(=O)CC2N1c1c(Cl)cccc1Cl
ZINC21174219	Cn1c(=O)c2c(-c3ccc(Br)cc3)n(-c3ccccc3)cc2n(C)c1=O
ZINC33089045	Cc1ccc(Cl)cc1N1CCN(C(=O)c2cn3c4c(cccc4c2=O)CC3)CC1
ZINC12511872	CN1C(c2ccc(F)cc2)=CS/C1=C(\C#N)c1nnc2n1-c1ccccc1SC2
ZINC38487636	Cc1ccc2c(c1)c(=O)c(-c1nc(-c3cccc(Br)c3)no1)cn2C
ZINC08401628	CC1(C)CC2CC(C)(CN2C(=O)Cn2cnc3c(Cl)cc(Cl)cc3c2=O)C1
ZINC36687963	Cc1cc(C(=O)N2CCN(c3nc4c(C)c(Cl)ccc4s3)CC2)c(C)o1
ZINC39338111	N#CC1C(=O)N=C(c2ccc(Br)cc2)C=C1c1ccc2c(c1)OCO2
ZINC39352341	Cc1ccc(C2SC3=NC(=O)SC3C3c4cc(Br)ccc4OC(=O)C23)o1
ZINC39483838	CC(=O)C1C(F)C(=O)c2cc3c(cc2C1c1cccc(I)c1)OCO3
ZINC39507381	O=S(=O)(Oc1ccccc1)C1CCC2(CC(Cl)CN2I)C1
ZINC39866148	Cc1nnc(/N=C2/S/C(=C\c3ccc(Br)cc3)C(=O)N2C)s1
ZINC40080271	O=C(c1ccc(Br)cc1F)N1CCCC1c1nnc2n1CCCCC2
ZINC40080273	O=C(c1ccc(Br)cc1F)N1CCCC1c1nnc2n1CCCCC2
ZINC40426356	O=C(c1cnn2c(-c3ccc(Cl)cc3)ccnc12)N1CCc2ccccc2C1
ZINC43199393	c1cc(C2=NC3c4ccccc4CC3O2)nc(C2=NC3c4ccccc4CC3O2)c1
ZINC43867231	CC1CCC2C3(C)COC(C)(C)OC3CCC2(C)C12CCC1(COC(=O)C1)O2
ZINC16740986	CCC(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1c(C)cc(Br)cc1C
ZINC06087800	CC1CCc2c(sc3ncn(CC(=O)N4CCc5ccccc5C4)c(=O)c23)C1
ZINC32634346	CCC(=O)/N=C1/SC2CS(=O)(=O)CC2N1c1c(Cl)cccc1Cl
ZINC32634660	O=C(/N=C1/SC2CS(=O)(=O)CC2N1c1ccc(Cl)cc1Cl)c1ccccc1
ZINC32635029	O=C(/N=C1/SC2CS(=O)(=O)CC2N1c1cccc(Cl)c1Cl)c1ccccc1
ZINC62190446	Cc1ccc(S(=O)(=O)N2CC(=O)N3CC(C)(C)c4ccccc4C3C2)s1
ZINC62633667	O=C(c1cnoc1-c1ccc(F)c(F)c1)N1CCN(c2ccccc2F)CC1
ZINC08588374	CC1CCc2c(sc3nc(-c4cc5cc(Br)ccc5oc4=O)[nH]c(=O)c23)C1
ZINC19868998	O=C(CN1c2ccc(F)cc2-c2ccccc2S1(=O)=O)N1CCc2ccccc2C1
ZINC32634095	O=C(/N=C1/SC2CS(=O)(=O)CC2N1c1ccccc1Cl)c1ccccc1
ZINC05370323	CC(C)C(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1c(Cl)cccc1Cl
ZINC05370323	CC(C)C(=O)/N=C1/SC2CS(=O)(=O)CC2N1c1c(Cl)cccc1Cl
ZINC32634719	CCC(=O)/N=C1/SC2CS(=O)(=O)CC2N1c1ccc(Cl)cc1Cl
ZINC66279908	CC(=O)N1Cc2ccccc2CC1C(=O)N1CCN(c2ccccc2Cl)CC1
ZINC66584608	CCn1cc(S(=O)(=O)N2CCCc3cc(Br)cc(F)c32)cn1
ZINC66941727	O=C(c1ccc2nc(Cl)ccc2c1)N1CCN(c2ccc(Cl)cn2)CC1
ZINC02808713	Cc1ccc(Cn2cc(-n3c(S)nnc3-c3cnn(C)c3)cn2)cc1
ZINC02470326	CCSc1nnc2c(n1)OC(c1cccnc1)N(C(C)=O)c1ccccc1-2
ZINC02470501	CCC(=O)N1c2ccccc2-c2nnc(SC)nc2OC1c1ccco1
ZINC01330693	Cc1ccc(-n2ncc3c(=O)n(CC(=O)N4C(C)CCCC4C)cnc32)cc1
ZINC04923082	Cc1ccccc1-c1nc(CC(=O)N2CCN(C(=O)C(C)C)C(C)C2)no1
ZINC02364594	Cn1c2ccccc2c(=O)c2c(=O)n(Cc3ccco3)c(-c3ccco3)nc21
ZINC05256787	COc1ccc(Cl)c2s/c(=N\C(=O)CN3C(=O)CCC3=O)n(C)c12
ZINC05526490	COC1=NC(I)N(Cc2ccc([N+](=O)[O-])cc2)N=C1
ZINC06084984	O=C(OCc1cccc2ccccc12)C1=NC=CN2CCS(=O)(=O)N=C12
ZINC02501043	COc1ccc(S(=O)(=O)n2nnc3cc(Cl)ccc32)cc1OC
ZINC12146062	CCCN(C(=O)c1c(C)noc1C)c1nc2c(s1)CCc1c-2cnn1C
ZINC12146141	CN(C(=O)c1cccc2nccnc12)c1nc2c(s1)CCc1c-2cnn1C
ZINC12921948	O=C1OC(c2ccc3c(c2)OCO3)=N/C1=C\c1cnn(-c2ccccc2)c1
ZINC05142899	C#CCn1/c(=N/C(=O)C2=COCCO2)sc2cc3c(cc21)OCCO3
ZINC05143557	C#CCn1/c(=N/C(=O)C2=COCCO2)sc2cc(OC)c(OC)cc21
ZINC14019368	O=c1ccc([N+](=O)[O-])cn1Cc1cc2c(cc1Br)OCO2
ZINC14143930	N#Cc1ncn(CC(=O)/N=c2\sccn2Cc2cccc3ccccc23)n1
ZINC19079232	CN(Cc1ccc2c(c1)OCCO2)S(=O)(=O)c1cccc2nsnc12
ZINC19341086	O=C(CCc1nc(-c2cccnc2)no1)N1CCc2ncc(Cl)cc2C1
ZINC19816898	COc1ccc(C2CC(=O)c3cn4nc(SC)nc4nc3C2)c(OC)c1
ZINC22343307	CC(Cl)C(=O)N1CCN(c2nc3nccc(C(C)(C)C)n3n2)CC1
ZINC23304756	C/C=C/C(=O)N1CCN(c2nc3nccc(-c4cccc(C)c4)n3n2)CC1
ZINC23466450	O=[N+]([O-])c1ccc(N2CCN(Cc3nc4ccccc4s3)CC2)cn1
ZINC28068390	CN(C)S(=O)(=O)c1ccc2c(c1)CCN2Cn1c(=O)oc2ccccc21
ZINC32115679	CC(C)N1C(=O)S/C(=C\c2cccn2-c2ccc([N+](=O)[O-])cc2)C1=O
ZINC33811751	CN1CCc2cccc3c2C1CN(S(=O)(=O)c1cccc([N+](=O)[O-])c1)C3
ZINC35596916	O=C(C1CCCC1)N1CCCC(c2nnc(-c3ccc4c(c3)OCO4)o2)C1
ZINC36796207	Cn1c(SCn2nnc3ccccc3c2=O)nc2sccc2c1=O
ZINC38959207	O=C(/N=C1/N=NC(C(F)(F)F)S1)c1ccc([N+](=O)[O-])c(Cl)c1
ZINC39394010	CCC1c2cccn2CCN1C(=O)C1C=C(Cn2cnc3ccccc32)N=N1
ZINC39421753	CC(Sc1nnnn1C)C1=NC(=O)C2=C(c3ccccc3)CSC2=N1
ZINC14966030	Cc1nc2cc(OCc3cc(C(=O)N4CC(C)OC(C)C4)no3)ccc2s1
ZINC41683616	Cc1nn(C)c2c(Sc3nnc(-c4ccc(F)cc4)n3C)ncnc12
ZINC45249505	O=C(Cn1nnc2ccccc2c1=O)N1CCn2cccc2C1c1ccccc1
ZINC48134973	Cc1nn(C)cc1-c1ccnc(N(C)CC2COc3ccccc3O2)n1
ZINC05325357	CCCC(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1ccc2c(c1)OCO2
ZINC54571177	Cn1ncc2c(=O)n(CC(=O)Oc3cc(Cl)c(Cl)cc3Cl)cnc21
ZINC02803345	Clc1ncn(C23CC4CC(CC(c5nnc(-c6ccncc6)o5)(C4)C2)C3)n1
ZINC21821535	O=S(=O)(Oc1ccc(-n2cnnn2)cc1)c1ccc(Br)cc1
ZINC58103888	O=C(Cn1cnc2cc([N+](=O)[O-])ccc2c1=O)c1ccc2c(c1)CCC2
ZINC59152193	CN(C)/N=C1\C(=O)N(CCN2C(=O)c3ccccc3C2=O)c2ccccc21
ZINC59334513	Cc1cc(/C=C(/C#N)C(=O)N(C)C)c(C)n1-c1ccc([N+](=O)[O-])c(Cl)c1
ZINC01777543	COc1ccc(C2CC(c3ccc(F)cc3)=Nc3nnnn32)cc1OC
ZINC01777543	COc1ccc(C2C=C(c3ccc(F)cc3)N=C3NN=NN32)cc1OC
ZINC63129681	O=c1cc(CSc2nnc(N3CCOCC3)s2)nc2ccccn12
ZINC65364375	c1ccc(N2CCN(Cc3nnc4sc(-c5ccccn5)nn34)CC2)cc1
ZINC65491168	Cc1nc(-c2ccc(-n3cnnc3)nc2)n(-c2ccc(Cl)cc2C)n1
ZINC65685342	CC1CCc2ccccc2N1S(=O)(=O)c1cccc(-n2cnnn2)c1
ZINC66273505	O=C(c1cc([N+](=O)[O-])cc2c1OCCO2)N1CCCC1c1cccs1
ZINC66745629	Cc1noc(C(C)N2CCN(c3ccnc(-c4ccccc4)n3)CC2)n1
ZINC66794781	Cc1nn(CN2CCOC(c3ccc(F)c(F)c3)C2)c(C)c1[N+](=O)[O-]
ZINC04051253	O=C1/C(=C\c2ccc(-n3cncn3)cc2)N=C2SCCCN12
ZINC02775075	Cc1c(Br)cnn1C(C)C(=O)N1CCC2(CC1)OCCO2
ZINC01873920	COc1ccc(C2CC(=O)N(c3nccc(C)n3)C(=O)C2)cc1
ZINC05201724	O=C(/N=C1\SC2CS(=O)(=O)CC2N1c1ccccc1)C1CCCO1
ZINC05897875	O=[N+]([O-])c1ccccc1/C=N/C1CS(=O)(=O)CC1Cl
ZINC06660154	N#CCC(=O)/N=C1\SC2CS(=O)(=O)CC2N1c1cccc(Cl)c1
ZINC02770985	O=C(c1cnn2c(C(F)F)cc(C3CC3)nc12)n1cccn1
ZINC07346966	C#CCSc1nc(C(C)C)nc2c1c(=O)n(C)c(=O)n2C
ZINC08751766	N#Cc1nncn1-c1ncnc2scc(-c3ccccc3)c12
ZINC09683061	O=C1CC2(CCCC2)C(=O)N1Cc1cc(=O)n2ccsc2n1
ZINC12295234	CC1(C(=O)N2CCC3(CC2)OCCO3)COc2ccccc2O1
ZINC12816782	O=C(C1=CN2CCS(=O)(=O)N=C2C=C1)N1CCc2ccccc2C1
ZINC16089183	Cc1noc(C)c1S(=O)(=O)Oc1cccc2cccnc12
ZINC20922055	Cc1cn2c(=O)c(S(=O)(=O)N3CCCC3)c(C)nc2s1
ZINC14252423	O=C(C1Cc2ccccc2O1)N1CCN(C2CCS(=O)(=O)C2)CC1
ZINC29515676	CC1CC(C)CN(C(=O)/C=C/c2cn(C)c(=O)n(C)c2=O)C1
ZINC16833653	Cc1cc(C)n2c(n1)nc(=S)n2CN1CC(C)OC(C)C1
ZINC32517920	O=c1c2sccc2ncn1Cc1cc(-c2cccnc2)no1
ZINC32541356	O=c1c2cccnc2ncn1Cc1cccc(-n2cccn2)c1
ZINC33086800	Cc1noc(C)c1C(=O)N1CCCC1c1cc(C(C)C)no1
ZINC04424943	CC1OC2(C)OC3=NC(=[N-])C(C#N)(C2c2ccccc2)C31C#N
ZINC37555194	CN1CCN(S(=O)(=O)c2c(Cl)nc3ccccn23)CC1
ZINC01348901	Cc1ccc(-c2nnc(N(C)C(=O)c3ccccn3)s2)cn1
ZINC02364348	O=S(=O)(c1ccc2c(c1)nc1n2CCC1)N1CCOCC1
ZINC38581711	O=C(CSC1=NC=NC2N=CN=C12)N1CCc2ccccc21
ZINC39430730	CCC(C)C1N=NC2=C1CN(C(=O)C1COC(=O)C1C)CC2
ZINC39580561	CCN1C(=O)C2=NC(I)=NC2N(CC)C1=O
ZINC40553213	CC1CN(C(=O)c2csc(-c3cnn(C)c3)n2)CC(C)O1
ZINC40670594	CC(=O)N1CCc2ccc(S(=O)(=O)N3C(C)COCC3C)cc2C1
ZINC41231126	O=C(C1CCCN(C(=O)C(F)(F)F)C1)N1CCC2(CC1)OCCO2
ZINC44204435	Cc1nnc(C2CCCN(C(=O)C3COc4ccccc4O3)C2)s1
ZINC45449517	Cc1nn(C)c2nc(C3CC3)cc(C(=O)N3CC(C)OCC3C)c12
ZINC48574203	CC1CC(N2CCN(c3ncc(Br)cn3)CC2)C(=O)O1
ZINC49304803	CC1CC(Sc2nnnn2-c2ccc(Cl)cc2)C(=O)O1
ZINC51039296	COc1cc2c(cc1OC)CN(c1cnnc(Cl)n1)CC2
ZINC59138883	Cc1ccc(/C=C2\C(=O)N(C)C(=O)N(c3ccccc3)C2=O)o1
ZINC60459876	Cc1cccc(C)c1-n1nnnc1CN1CC(C)OC(C)C1
ZINC61173653	Cc1cc(N(C)Cc2nc3ccccc3s2)n2ncnc2n1
ZINC41293384	Cc1c(C(=O)N2CCN(C)CC2)sc2ncn(C)c(=O)c12
ZINC62396113	N#Cc1c(-c2ccccn2)nc2sc(-c3ccncc3)nn12
ZINC63567778	O=C(CN1CCOC2CCCCC21)N1CCC2(CC1)OCCO2
ZINC64009016	CC1=C2C(=O)CCCC2=NC1C(=O)N1CCN(c2nccs2)CC1
ZINC48253511	Cc1cc(CN(C)C(=O)C2Oc3ccccc3OC2C)no1
ZINC58218555	O=C(c1cnccn1)N1CCN(C(=O)c2ccc(Cl)cc2F)CC1
ZINC65526825	Cc1csc2c(N3CCN4CCN(C)C(=O)C4C3)ncnc12
ZINC66408929	Cc1nnc(C(C)Sc2nc3ccccc3c(=O)n2C)o1
ZINC66769897	O=C(c1cnns1)N1CCCC1c1cccc2c1OCCO2
ZINC66898267	O=C(C1CCOC1)N1CCCC(c2nnc3n2CCCCC3)C1
ZINC66916097	CC1CN(C(=O)C2CCN(C(=O)C3CCOC3)CC2)CC(C)O1
ZINC67177204	CC(C(=O)N1CCOC(c2ccccc2F)C1)n1cncn1
ZINC00064692	Cc1nc2c(cnn2-c2ccccc2)c(=O)n1-c1ccccc1
ZINC01495460	Brc1cnc(N2CCC3(CC2)OCCO3)nc1
ZINC04239626	Cc1nc2c(c(N3CCCCC3)n1)CN(C(=O)C1CC1)CC2
ZINC01499454	O=C(C1CCCCC1)N1CCc2nc3ccccn3c(=O)c2C1
ZINC00483565	Cn1cc(I)c(C(=O)n2cccn2)n1
ZINC03151630	Cc1nc(N2CCOCC2)c2c3c(sc2n1)COC(C)(C)C3
ZINC02635921	CC(=O)N1CCN(c2ncnc3sc4c(c23)CCC4)CC1
ZINC01638775	Cc1nc2cccc(F)c2c(=O)n1-c1nnc(C2CC2)s1
ZINC03367230	CC(=O)N1CCN(c2nc(C)nc3sc4c(c23)CCC4)CC1
ZINC07307639	Cc1noc(C)c1S(=O)(=O)N1CCCC2CCCCC21
ZINC08581139	O=C1OC(OC2OC(=O)C(Cl)=C2Cl)C(Cl)=C1Cl
ZINC14030929	CC1CC(C)CN(C(=O)CC2CSc3nccc(=O)n32)C1
ZINC16036419	O=C(/C=C/c1ccco1)N1CC2CC(C1)c1cccc(=O)n1C2
ZINC17166963	CC(=O)c1ccc2n1C/C(=C1\CCn3c(C(C)=O)ccc31)C2=O
ZINC19782976	O=S(=O)(c1ccc2c(c1)OCO2)N1CCC(Cl)CC1
ZINC20745936	CN(C)c1ccc(C2SC=C3Sc4nncn4N32)cc1
ZINC21781940	Cn1cc(/C=C2\N=C(c3ccc4ccccc4c3)OC2=O)cn1
ZINC25251339	Cn1cc(/C=C/c2nc3ccccc3s2)c(=O)n(C)c1=O
ZINC25266421	Cc1cc2nn(CN3CCOCC3)c(=S)n2c2ccccc12
ZINC28058206	Cc1cnc2c(S(=O)(=O)N3CC(C)OCC3C)cccc2c1
ZINC32553528	CC1CCc2c(sc3ncn(C4CCN(C)C4=O)c(=O)c23)C1
ZINC26531028	O=C(/N=C1/c2ccccc2CN1c1ncccn1)c1cccs1
ZINC32901318	Cc1nn(C)c(C)c1C(=O)C(=O)N1c2ccccc2CC1C
ZINC35197103	CC(C)=CC(=O)N1CSCC1C(=O)N1CC(C)OC(C)C1
ZINC35805832	Cc1c(C(=O)N2CCN(C)CC2)cnn1-c1ccc(Cl)cc1
ZINC36844236	O=C1C2CC=CCC2C(=O)N1CC(=O)N1CCCC2CCCCC21
ZINC04988382	Cc1cc(C)n(C(=O)Cn2nc(C)c(Br)c2C)n1
ZINC03245357	CC1Cc2ccccc2N1C(=O)Cn1cnc2ccccc2c1=O
ZINC39379672	CC1c2cccc(F)c2OC1C(=O)N1CCC2=C(CN=N2)C1
ZINC39958245	CC(C)C1Cc2nc3c(cc2CO1)C1=NC=NC(=O)C1S3
ZINC40865599	O=C1C2=C(CCCC2)S(=O)(=O)N1c1ncc(F)cc1F
ZINC41331891	O=C(c1cc2cccc(Cl)c2o1)N1CCC2(CC1)OCCO2
ZINC41688143	CC(Cl)c1ccc(C(=O)N2CCC3(CC2)OCCO3)o1
ZINC42376772	O=[N+]([O-])c1cc(Br)cnc1N1CCSCC1
ZINC46259381	CC1COCCN1C(=O)/C=C/c1c(Cl)nc2sccn12
ZINC48762553	O=C(c1csc(-c2ccsc2)n1)N1CCCS1(=O)=O
ZINC57511400	O=C(c1cn(-c2ccc(Cl)cc2)nn1)N1CCSCC1
ZINC59760228	O=C(C1CCN(C(=O)C2CCCO2)CC1)N1CCCCCC1
ZINC60542682	CC1(C)COCCN1C(=O)/C=C/c1ccc2c(c1)OCCO2
