ZINC00178939	NC(=O)c1c(NC(=O)c2cccnc2Cl)sc2c1CCCCC2
ZINC58275226	N#Cc1cccnc1NCCNC(=O)CSc1ccccc1F
ZINC60351819	CC(=O)Nc1cc(F)c(F)cc1NC(=O)C(C)OCCC(C)C
ZINC61836995	CC(CC(=O)[O-])CC(=O)NCC1([NH+](C)C)CCCC(C)C1
ZINC61977041	CC(NC(=O)NCCCCN1CCOCC1)C1CC2CCC1C2
ZINC62877351	CCC1(C(=O)[O-])CCC[NH+](C(C)C(=O)NCCC(C)C)C1
ZINC63141433	CCCNc1cc(C(=O)NCCc2nccs2)cc(Cl)n1
ZINC63462159	C#CCNC(=O)c1ccccc1NCC(=O)N(CC)CC(=C)C
ZINC66629816	COCCNC(=O)CCNC(=O)CC1CC(C)CC(C)(C)C1
ZINC66754215	CSCC(C)C(=O)NNC(=O)C(C)Oc1ccccc1F
ZINC66817208	CSCC(C)C(=O)NNC(=O)C(C)Oc1ccc(F)cc1
ZINC66955095	CCOCCNC(=O)Nc1ccccc1SC(C)CC#N
ZINC67076543	CCn1c(CCNC(=O)CC(C)(C)c2ccccc2)n[nH]c1=S
ZINC67387836	CC1CN(CCCNC(=O)NCCSC(C)(C)C)CC(C)O1
ZINC67416372	CC1CCCN(C(=O)CCNC(=O)NCCSC(C)(C)C)C1
ZINC01073799	CCCc1nc2c(o1)NC(N)=C(C#N)C2c1cc(OC)c(OC)cc1OC
ZINC05881573	Cc1c(/C=N/NC(=O)Cc2nnc(N)s2)c(Cl)nn1-c1ccccc1
ZINC08712790	Cc1noc(C)c1CSc1ccccc1C(=O)OC(C)C(=O)NC(N)=O
ZINC05643081	CCCn1c(N)c(C(=O)CSc2nc(C)cc(C)c2C#N)c(=O)[nH]c1=O
ZINC16290507	CC(C)(C)n1nnnc1SCC(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC22861569	Nn1c(SCC(=O)Nc2cccc3nsnc23)nnc1C(F)(F)F
ZINC25069612	CC(C(=O)Nc1cc(C(N)=O)ccc1N1CCCC1)n1c(=O)oc2ccccc21
ZINC27266358	CC1CCCC(NC(=S)NNC(=O)/C=C/c2cn(C)c(=O)n(C)c2=O)C1C
ZINC29993070	CN(C)c1ccc(NC(=O)C2=NN(c3ccc(F)cc3)C(C(N)=O)C2)cn1
ZINC39230957	CC(=O)NCCc1nnc2c(C(=O)NNc3cccc(Cl)c3)cccn12
ZINC42981911	Cc1occc1-c1nnc(SC(C(=O)NCC2CCCO2)C(C)C)n1N
ZINC43675628	CC(C)NS(=O)(=O)c1ccc(NC(=O)NC2CCCc3c2cnn3C)cc1
ZINC45592206	Cc1cc(C(=O)NNC(=O)NC(c2cccc(F)c2)c2nccn2C)c(C)o1
ZINC45716321	O=C(CNC(=O)c1ccc(Br)o1)Nc1ccc(N2CCNC2=O)cc1
ZINC48603933	CCC(CO)NC(=O)C(=O)Nc1ccc(F)c(-c2nnc3n2CCCCC3)c1
ZINC49450499	Cc1cc(C)nc(Nc2nc(CC(=O)N3CCC(C(N)=O)CC3)cs2)n1
ZINC50783217	CN(CC(=O)NC(C)(C)C)C(=O)CNc1cc2c(cc1Cl)NC(=O)CO2
ZINC51103339	COc1ccccc1-c1cs/c(=N\C(=O)CN2CCOC(C(N)=O)C2)[nH]1
ZINC51710495	CCOc1c(Cl)cc(CNC(=O)N2CCOC(C(N)=O)C2)cc1OC
ZINC15495871	Nc1nc(CSCC(=O)N2CCOCC2)nc(Nc2ccc(F)cc2)n1
ZINC53639670	O=C(NNC(=O)C1CCS(=O)(=O)C1)c1cccnc1Nc1ccccc1F
ZINC54576022	CC(CNC(=O)NNC(=O)c1cc(Br)cn1C)Cn1cccn1
ZINC56154870	Cc1occc1C(=O)Nc1cc(NC(C)C(=O)N2CCNC2=O)ccc1F
ZINC17525122	Cn1c(=O)c2ccccc2n2c(CNc3ccccc3SCC(N)=O)nnc12
ZINC58208550	CS(=O)(=O)N1CCC(CNC(=O)NCC(=O)NC2CCCCC2)CC1
ZINC53145045	COc1ccc(OC)c2c1CN(CC(=O)NC(=O)NC1CCCC1)CC2O
ZINC53147056	COc1ccc(OC)c2c1CN(C(C)C(=O)NC(=O)NC1CCCC1)CC2O
ZINC58381591	CCNS(=O)(=O)c1cccc(C(=O)NNC(=O)c2ccc(Cl)nc2)c1
ZINC47555274	Cc1cc(NC(=O)c2ccc(Cl)c(S(=O)(=O)NCC3CCCO3)c2)[nH]n1
ZINC60649295	COC(=O)c1sc2nc(CSc3nnc(N)s3)[nH]c(=O)c2c1C
ZINC60672444	Cc1oc2nc[nH]c(=O)c2c1C(=O)NCCNc1ncc(Cl)cc1Cl
ZINC62578608	Cc1cc2cc(CCNS(=O)(=O)c3ccc4[nH]c(=O)oc4c3)ccc2[nH]c1=O
ZINC63469192	Cc1c(NCC(=O)NC(=O)NC(C)(C)C)cccc1C(=O)N1CCOCC1
ZINC64289378	NC(=O)c1ccc(OCC(=O)Nn2cnc3sc4c(c3c2=O)CCCC4)cc1
ZINC64370050	Cn1c(SCC(=O)NCC2CCCO2)nnc1-c1sc2ncccc2c1N
ZINC64959946	CCn1cc(NC(=O)NCc2ccccc2S(=O)(=O)NC(C)(C)C)cn1
ZINC50925214	CC(C)S(=O)(=O)NCC1CCCN(CN2C(=O)c3cccc(N)c3C2=O)C1
ZINC65791877	CCCNC(=O)NC(C)(C)C(=O)N1CCCC(C(=O)Nc2nccs2)C1
ZINC66120053	NC(=O)CCC1CCCN(C(=O)NCc2ccccc2Cn2cncn2)C1
ZINC66204938	Cc1noc(CNC(=O)NCC(O)COc2cccc(Cl)c2Cl)n1
ZINC66239645	CC(NC(=O)c1ccc(-n2ncc(C#N)c2N)cc1)c1ccc(-n2ccnc2)cc1
ZINC66427266	O=C(CCc1nc2ccccc2c(=O)[nH]1)NCc1nc(-c2cccs2)n[nH]1
ZINC66567124	CCNC(=O)NC(=O)CN1CCN(CC(=O)NC2CCCC(C)C2)CC1
ZINC66685880	Cc1ccc(NC(=O)N2CCCC(NS(C)(=O)=O)C2)cc1C(=O)NC(C)C
ZINC66752217	CNS(=O)(=O)c1cccc(C(C)NC(=O)c2n[nH]c(=O)c3ccccc23)c1
ZINC66924899	O=C(NCc1cccnc1-n1cncn1)NCC1(O)CCCc2ccccc21
ZINC66980225	CC(=O)Nc1cc(NC(=O)NCCc2nnc3n2CCCCC3)c(F)cc1F
ZINC67000552	O=C(NCC1(O)CCCc2ccccc21)C(=O)Nc1ccc(-n2cccn2)nc1
ZINC67386530	CNS(=O)(=O)c1cccc(C(C)NC(=O)NCc2cn3ccsc3n2)c1
ZINC67626835	CCC(=O)Nc1ccc(C(C)NC(=O)NC2CCCN(S(C)(=O)=O)C2)cc1
ZINC03129066	Cc1ccc(S(=O)(=O)NC(=S)NNC(C)(C)C)cc1
ZINC07781198	CC(NC(=O)CCC1CCCC1)c1ccc(S(N)(=O)=O)cc1
ZINC28663763	CSc1ccccc1NCC(=O)NC(=O)NCC(C)C
ZINC13039855	Oc1cccc2c(NC(=S)NCCN3CCOCC3)cccc12
ZINC36719799	CCCC(C)C(=O)NC(C)c1ccc(S(N)(=O)=O)cc1
ZINC36900864	CCOc1ccc(N)cc1S(=O)(=O)NCC1CCCC1
ZINC38056499	CCCNS(=O)(=O)c1ccccc1Oc1cccc(N)c1
ZINC38078907	NS(=O)(=O)c1ccc(OCCSc2ccc(O)cc2)cc1
ZINC38079951	Nc1ccccc1OCCNS(=O)(=O)c1ccccc1F
ZINC38137404	NC(=S)COc1ccc(NS(=O)(=O)C2CCCCC2)cc1
ZINC40348470	CCc1ccc(N)cc1S(=O)(=O)NC(C)Cc1ccco1
ZINC40352034	COc1cc(C(O)COc2ccc(N)cc2)c(OC)cc1C
ZINC41068591	COc1ccccc1CC(C)NS(=O)(=O)c1cc(N)cs1
ZINC41068989	CC1CCCCC1OCCOc1ccc(/C(N)=N/O)cc1
ZINC41095954	CCC(C)NC(=O)C(C)OC(=O)c1cc(N)ccc1Cl
ZINC41096220	CCC(C)NC(=O)C(C)OC(=O)c1ccc(N)cc1Cl
ZINC41099595	CCC(C)(C)NC(=O)C(C)OC(=O)c1cc(N)ccc1C
ZINC41101079	CCC(C)NC(=O)C(C)OC(=O)c1cc(N)c(F)cc1F
ZINC41805656	CC([NH2+]CC(=O)NC1CC1)(C(=O)[O-])c1ccc(Cl)cc1
ZINC41945866	O=C(Cc1ccc2c(c1)CCO2)NNC(=S)NC1CCCC1
ZINC42527743	COC(=O)c1cc(N)ccc1N(CCO)C1CCCCC1
ZINC42529538	CC(C)N(CC/C(N)=N/O)C(=O)Cc1ccccc1Cl
ZINC42556558	CNS(=O)(=O)c1ccc(N(CC(C)C)C2CC2)c(N)c1
ZINC43410885	CCOC(=O)CNc1nc2c(cc1C(N)=S)CCCC2
ZINC43429372	COC(=O)C(CC(C)C)NC(=O)c1ccc(N)cc1Cl
ZINC44791299	CCC(CC)(C(=O)N(C)C(C)c1cccs1)/C(N)=N/O
ZINC44873616	CCCC(C(=O)N(C)Cc1ccc(Cl)s1)/C(N)=N/O
ZINC44994247	O=C(CNC(=O)NC1CC1)Nc1ccccc1SC(F)F
ZINC45024986	COCCC(C)Nc1cc(S(N)(=O)=O)ccc1Cl
ZINC45625838	CCC(C)NC(=O)COC(=O)c1cc(N)ccc1Br
ZINC48310487	CC(NC(=O)CCC1CCCC1)c1cccc(S(N)(=O)=O)c1
ZINC48375810	Cc1ccc(OCC(O)CSc2nnc(N)s2)cc1
ZINC49045698	CC(C)(C)c1ncc(C(=O)NNC(=S)NC2CC2)s1
ZINC49147108	CC(Cc1ccco1)NS(=O)(=O)c1ccc(C(N)=S)cc1
ZINC49412951	O=C(CNC(=O)NC1CC1)NCCc1ccccc1Cl
ZINC49563338	CC(CCc1ccco1)NS(=O)(=O)c1cc(N)cs1
ZINC49568663	CCOc1cccc([N-]S(=O)(=O)c2ccccc2C[NH3+])c1
ZINC50322956	CCCc1[nH]nc(C(=O)N(Cc2cccs2)C(C)C)c1N
ZINC50987537	C=CCN1C=[NH+]C(c2ccc(OC)c(OC(F)F)c2)C1=[NH2+]
ZINC53070934	CC(C)NS(=O)(=O)c1ccccc1NC1(CO)CCCC1
ZINC54181700	N/C(=N\OCC(=O)NC1CCCC1)c1cccc(C(F)(F)F)c1
ZINC57212912	NC(=O)CCCNC(=O)c1c(-n2cccc2)sc2c1CCCC2
ZINC57663348	CC(C)Oc1ccc(C(O)CCN2CC(C)OC(C)C2)cc1N
ZINC62300730	CCCNC(=O)NC(C)(C)C(=O)NC1CC1c1ccccc1
ZINC62398623	CC1=C(C(=O)[O-])C(c2cccc(C)c2)[NH+]=C(SCCCO)N1
ZINC62492569	CC[NH+](CC)Cc1nc(-c2ccc(C)c(N)c2)c(C(=O)[O-])s1
ZINC63639715	CC(NC(=O)CC(C)C1CC1)c1ccc(S(N)(=O)=O)cc1
ZINC66121215	CC(Cc1ccsc1)NC(=O)N1CCCC(CCC(N)=O)C1
ZINC66391251	CCNC(=O)NC(=O)C(C)NC(C)c1ccccc1C(F)(F)F
ZINC66598920	CC1(CNC(=O)NCCNC(=O)C2CCCC2)CCCC1
ZINC04133375	Cc1cc2cc(CN(CCCO)C(=O)NC3CCCCC3)c(=O)[nH]c2cc1C
ZINC04231221	Cc1cc(C)c2cc(CN(CCCO)C(=O)Nc3ccccc3Cl)c(=O)[nH]c2c1
ZINC01008586	CC(NC(=O)CSc1nnc(-c2ccccc2Cl)n1N)c1ccccc1
ZINC02836252	CCn1c(SC(C)C(=O)Nc2c(C)cc(C)cc2C)nnc1-c1ccc(N)cc1
ZINC02335110	Nn1c(SCC(=O)Nc2cccc3ccccc23)nnc1-c1ccccc1F
ZINC03292633	Cc1ccc(-c2nnc(SCC(=O)NCc3ccccc3Cl)n2N)cc1
ZINC02207765	Cc1c(Cl)cccc1NC(=O)CSc1nnc(-c2ccccc2F)n1N
ZINC06242649	N#C/C(=C\c1ccc(-c2ccccc2)o1)C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC02781962	CC(C)(C)C1CCc2c(sc(NC(=O)c3ccnn3C(F)F)c2C(N)=O)C1
ZINC03327721	Cc1cc(C)cc(C(=O)OCC(=O)Nc2sc3c(c2C(N)=O)CCCC3)c1
ZINC09092381	Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2Br)n1N
ZINC09231298	O=C(NC(=S)Nc1ccc(Cl)c(C(=O)NC2CCCCC2)c1)c1ccco1
ZINC10846127	O=C(CNc1cc(C(F)(F)F)ccc1N1CCCC1)NC(=O)NC1CCCC1
ZINC10645211	Cc1cc(C)c2c(N)c(C(=O)OC(C(=O)NC3CC3)c3ccccc3)sc2n1
ZINC10945120	CCOc1c(Br)cc(Cl)cc1NCC(=O)NC(=O)NC(C)(C)C
ZINC11976523	CC1CC(CC(=O)NCC2Cc3cc(F)cc(-c4ccccn4)c3O2)NC(=S)N1
ZINC19843016	CCOc1cc(C(Nc2cc(C)cc[nH+]2)c2ccc3cccnc3c2[O-])ccc1O
ZINC20283317	CCOC(=O)C1=C(CNc2ccc(F)cc2F)NC(=O)NC1c1ccccc1
ZINC22602183	Cc1cc2occ(CC(=O)Nc3cc(C(N)=O)ccc3N3CCCC3)c2cc1C(C)C
ZINC23357948	Cc1ccc(-c2nnc(SC(C)C(=O)NCc3ccccc3C)n2N)cc1
ZINC34796729	COc1cccc(-c2n[nH]c(C3CC3)c2NC(=O)Nc2ccc(F)cc2F)c1
ZINC36531014	Cc1ccccc1C(C(=O)NC1CCCCC1)N(C)C(=O)c1c(O)cccc1O
ZINC12644233	O=C(NC1CCCCC1)NC1CC2CCC(C1)N2C(=S)NCc1ccco1
ZINC04908438	O=C(NC1CCCCC1)NC1CC2CCC(C1)N2C(=S)NCc1ccco1
ZINC39481359	CCCc1ccc(NS(=O)(=O)c2ccccc2O)c(N2CCNC(F)C2)c1
ZINC39544297	CCCN(C(=O)C1CC(OCC)=C2Nc3ccccc3C[NH+]21)c1ccccc1O
ZINC39559369	NC(=O)c1ccc(N2CCCCC2)c(NC(=O)COc2ccc(F)cc2Cl)c1
ZINC40569234	CCCc1cc2c(c(=O)n1CCO)C(c1ccc(C(C)C)cc1)C(C#N)=C(N)O2
ZINC40727078	Nc1c(NCc2ccc(Cl)cc2)ncnc1N1CCN(c2ccccc2)CC1
ZINC45440156	CC(Oc1ccc(F)cc1)C(=O)NNC(=O)NC1CCCC(C(F)(F)F)C1
ZINC07204602	CC(Sc1ncc(C#N)c(N)n1)C(=O)Nc1ccccc1Sc1ccccc1
ZINC47499373	CNC(=O)Cc1ccccc1NC(=O)NCc1ccccc1OC1CCCC1
ZINC05149615	CCOc1ccc(-c2[nH]nc3c2C(c2ccc(SC)cc2)C(C#N)=C(N)O3)cc1
ZINC05149615	CCOc1ccc(-c2n[nH]c3c2C(c2ccc(SC)cc2)C(C#N)=C(N)O3)cc1
ZINC51149503	NNc1ccc([N+](=O)[O-])cc1COc1cccc(I)c1
ZINC53850853	CC(NC(=O)COc1ccccc1-c1ccccc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC56105320	CC(NS(=O)(=O)c1cccc(S(N)(=O)=O)c1)c1ccc(C(C)(C)C)cc1
ZINC56367201	CC(NC(=O)N(C)C(C)c1ccccc1Cl)c1cccc(S(N)(=O)=O)c1
ZINC56714174	CNC(=O)c1cc(NC(=O)NC(C)COc2ccc(F)cc2F)ccc1Cl
ZINC57447968	CC(c1cc(F)ccc1F)N(C)C(=O)NCCc1ccc(S(N)(=O)=O)cc1
ZINC16716048	CC(Sc1nnc(C2CCCCC2)n1N)C(=O)NCc1ccc(Cl)cc1
ZINC59384661	COc1ccc(C2NC(=S)NC(C)=C2C(=O)N/N=C/c2ccc(F)cc2)cc1
ZINC59513230	Nc1cc(=O)n(-c2ccccc2)c(SCC(=O)Nc2c(Cl)cccc2Cl)n1
ZINC59951385	N#Cc1ccc(NCC(=O)NNC(=O)c2cc3c(s2)CCCCCC3)cc1
ZINC32074731	COc1cccc(C2CC(O)=Nc3nc(N)sc32)c1OCc1ccccc1Cl
ZINC32074731	COc1cccc(C2CC(=O)Nc3nc(N)sc32)c1OCc1ccccc1Cl
ZINC51755210	COc1c(C)cnc(CNC(=O)NNc2ccc(F)cc2Br)c1C
ZINC66136003	CNC(=O)c1c(C)nc(N)nc1-c1cc(Br)ccc1OCCC(C)C
ZINC66240055	CC(C)C(NC(=O)c1ccc(-n2ncc(C#N)c2N)cc1)c1ccc(Cl)cc1
ZINC66840056	O=C(Cc1ccccc1F)NNC(=O)c1cccnc1Nc1cccc(F)c1
ZINC67017491	CNS(=O)(=O)c1cccc(C(C)NC(=O)Nc2cccc3ccccc23)c1
ZINC67147711	Cc1cccc(C)c1OCC(C)NC(=O)c1cc(S(N)(=O)=O)ccc1Cl
ZINC15869515	CCC(C)NC(=O)C1(c2ccc(NS(C)(=O)=O)cc2)CC1
ZINC31656992	Cc1ccc(S(=O)(=O)N(CC(N)=O)CC(C)C)cc1C
ZINC35161163	CCC1CCc2sc(C(=O)NC(CO)C(=O)OC)cc2C1
ZINC36933081	COc1cc(C(C)NC(C)CN2CCOCC2)ccc1O
ZINC37577742	COc1ccc(C#CCO)cc1S(=O)(=O)NCCC(C)C
ZINC38027431	O=C([O-])CC1CCCC[NH+]1CCC(=O)NC1CCCCC1
ZINC38094708	CC(C)NS(=O)(=O)c1ccc(NCC2CCOC2)cc1
ZINC09921815	CC(C)Nc1nnc(SC(C)C(=O)NC2CC2)s1
ZINC36638815	CCOc1cc(C)c(C)cc1S(=O)(=O)NCC(C)O
ZINC36638823	CCOc1ccc(S(=O)(=O)NCC(C)O)c(C)c1C
ZINC40333088	CCOc1ccc(C(=O)N(CC)CC2CCOC2)cc1N
ZINC40794429	CC(C)CC(CO)NS(=O)(=O)c1cccc2cnccc12
ZINC41105599	CCOc1cc(S(=O)(=O)NCC(C)O)ccc1Cl
ZINC41724118	Cc1ccc(C(C)([NH2+]CCS(C)(=O)=O)C(=O)[O-])cc1C
ZINC41736849	COC(=O)C[NH2+]C(C)(C(=O)[O-])c1ccc(F)c(Cl)c1
ZINC42163125	O=C([O-])CC1CCC[NH+]1CCC(=O)NC1CCCCC1
ZINC44682483	CCOCC(C)NS(=O)(=O)c1ccc(C#CCO)c(C)c1
ZINC44840151	CCOC(=O)C1CCCCN1C(=O)C(C(N)=S)C(C)C
ZINC49037812	CC(NS(C)(=O)=O)C(=O)NC(c1cccs1)C(C)C
ZINC49081855	Cc1ccc(C(C)([NH2+]C(C)Cn2cccn2)C(=O)[O-])cc1
ZINC49082677	CC([NH2+]CCn1ccnc1)(C(=O)[O-])c1cccc(Cl)c1
ZINC49115430	CCC([NH2+]C(C)C(=O)N(C)C)(C(=O)[O-])c1cccc(Cl)c1
ZINC49116034	CCC([NH2+]C(C)C(=O)N(C)C)(C(=O)[O-])c1ccc(Cl)cc1
ZINC49138291	Cc1ccc(C(=O)NNC(=O)C(C)OCC(C)C)s1
ZINC49199711	COCC(C)CNC(=O)C(=O)Nc1ccc(C)cc1Cl
ZINC49226137	CC(C)C(C[NH+](C)C)Nc1ncc(C(=O)[O-])cc1Cl
ZINC49240059	Cc1cccc(C(C)([NH2+]C(C)Cn2ccnc2)C(=O)[O-])c1
ZINC49366172	COC(=O)C(C)[NH2+]C(C)(C(=O)[O-])c1ccc(Cl)cc1
ZINC49646587	CCOc1cccc([N-]S(=O)(=O)CC2CCC[NH2+]2)c1
ZINC50183704	Cc1[nH]ncc1CCCNS(=O)(=O)C1CCCCC1
ZINC50650353	CCNc1cc(S(=O)(=O)NCc2cccc(F)c2)ccn1
ZINC50654246	CCNc1ccc(S(=O)(=O)NC(C)c2ccncc2)cc1
ZINC57605864	Cc1ccc(OCC(CC(=O)[O-])N2CC[NH2+]CC2)cc1C
ZINC40319826	CCN(C(C)COC)S(=O)(=O)c1ccc(Cl)c(N)c1
ZINC47685483	CC(C)C(C)NC(=O)NCC(C(C)C)N1CCOCC1
ZINC61096262	OC(CNc1cc(F)c(F)c(F)c1)COc1cnsn1
ZINC62845420	CCCC1(C(=O)[O-])CCN(C(=O)C(C)(C)[NH2+]CC)CC1
ZINC62846418	CCC(C)(C)NC(=O)C(C)[NH+]1CCC(CC)(C(=O)[O-])CC1
ZINC62877370	CCC1(C(=O)[O-])CCC[NH+](CC(=O)NC(C)C(C)C)C1
ZINC63115451	CCCN(c1ccc(N)cc1)S(=O)(=O)N(C)C(C)C
ZINC63155246	CCCN(c1ccccc1N)S(=O)(=O)CC1CCCO1
ZINC63155723	C[NH2+]C(C)c1ccc([N-]S(=O)(=O)CC2CCCO2)cc1
ZINC58425487	CC(NC(=O)COCC1CC1)c1ccc2c(c1)CCC(=O)N2
ZINC65399092	Cc1ncsc1CCC(=O)N(C)CC1C=C(C2CC2)NN1
ZINC55404161	CC(C)COC(C)C(=O)Nc1cc(C(F)(F)F)c[nH]c1=O
ZINC65505046	Cc1cccc2c1nc(CCO)n2-c1ccc(OCCO)cc1
ZINC67074671	CC/C=C(/C)C(=O)NCCc1n[nH]c(=S)n1C(C)C
ZINC67234244	N#Cc1cccnc1NCCNC(=O)c1sccc1C1CC1
ZINC67281363	CC(C)(C)SCCNC(=O)Nc1nnc(C(F)F)s1
ZINC67621873	CC(CNC(=O)NC1CC1c1ccccc1)Cn1cccn1
ZINC19263360	CCCC([NH3+])C(CC)Oc1ccc2c(c1)CCC(=O)N2
ZINC36276204	CC(C)C[NH+](CCC(O)c1cccc(N)c1)CC(C)C
ZINC37622133	CCCC(C)([NH3+])C(=O)NC(C)c1ccc(SC)cc1
ZINC37951863	CC(C)C[NH2+]C(C)(C(N)=O)c1ccc(OC(C)C)cc1
ZINC38065521	CCC(C)[NH2+]C(C)(C(N)=O)c1ccc(C(C)(C)C)cc1
ZINC36954901	CC(C)CC(C)[NH2+]C(C)c1ccc(S(N)(=O)=O)cc1
ZINC37255367	CC(C)CC(C)[NH2+]C(C)c1cccc(S(N)(=O)=O)c1
ZINC37614801	CC(C)Oc1ccc(C(C)NC(=O)C(C)([NH3+])C2CC2)cc1
ZINC40225467	CCCc1ccc(S(=O)(=O)NC2(C[NH3+])CCCC2)cc1
ZINC41068864	NC(=[NH2+])c1ccc(OCCSc2ccc(F)cc2F)cc1
ZINC41139755	CCC1CCCC[NH+]1CCC(O)c1ccc(OC)c(N)c1
ZINC42477458	CCC([NH2+]CCc1ccc(S(N)(=O)=O)cc1)C(C)C
ZINC42601535	CC1CCCCC1[NH+](C)CC(O)COc1ccc(N)cc1
ZINC42866628	CC1CCCCC1CNS(=O)(=O)Cc1ccccc1C[NH3+]
ZINC43423094	CC(C)CN(CCC(N)=[NH2+])c1ccc(Br)cn1
ZINC44376394	CC(C)CC([NH2+]Cc1cccc(O)c1O)c1ccccc1
ZINC44794988	CCCC(C[NH3+])(CCC)C(=O)NC1CCCC(C)C1C
ZINC44806345	CCCC(C[NH3+])(CCC)C(=O)NC(C)c1cccc(F)c1
ZINC44808222	CCCC(C[NH3+])(CCC)C(=O)NCC1CCCCC1C
ZINC45064796	CC1CCC(C(C)C)C([NH2+]CCCS(N)(=O)=O)C1
ZINC45064801	CC1CCC(C(C)C)C([NH2+]CCCS(N)(=O)=O)C1
ZINC45066074	CC(C)(C)C1CCCCC1[NH2+]CCCS(N)(=O)=O
ZINC45069720	NS(=O)(=O)CCC[NH2+]C1CCCCC1c1ccccc1
ZINC45513749	CC[NH2+]C(C)(COc1cc(C)ccc1C(C)C)C(N)=O
ZINC45514080	CC[NH2+]C(C)(COc1ccc(C(C)C)c(C)c1)C(N)=O
ZINC45550992	CCC[NH2+]C(C)(CCSc1ccc(F)c(F)c1)C(N)=O
ZINC45557907	CCC[NH2+]C(C)(CCSc1ccccc1F)C(N)=O
ZINC45558835	CCC[NH2+]C(C)(CSc1ccc(C)cc1C)C(N)=O
ZINC49008468	CC1CCCC([NH+](C)CC(O)COc2ccccc2N)C1
ZINC49540963	CCCC([NH2+]Cc1ccc(O)cc1O)c1cccs1
ZINC49541858	CCCC([NH2+]Cc1cccc(O)c1O)c1cccs1
ZINC50210170	CC[NH2+]C(C)c1cc(Cl)ccc1OCC(C)C(N)=O
ZINC51169428	CCCc1cc(NN)c2cc(OCC(F)(F)F)ccc2[nH+]1
ZINC51324213	CCc1ccc(C[NH+](C)CC(O)c2ccc(N)cc2)cc1
ZINC52014272	Cc1ccc(C)c(OCC(O)C[NH2+]C2CCCCC2O)c1
ZINC54134538	NC(=S)c1ccc(NCC[NH+]2CCCC2)cc1C(F)(F)F
ZINC54964690	CCC[NH2+]C(C)(CSCc1ccccc1C)C(N)=O
ZINC54966413	Cc1cccc(CSCCCC(C)([NH2+]C2CC2)C(N)=O)c1
ZINC55148147	[NH3+]CCC1CCCC(C(=O)NCCC2CCCCC2)C1
ZINC55161296	CC(C)CCCC(C)NC(=O)C1CCCC(CC[NH3+])C1
ZINC57593860	CCOc1ccccc1C(C[NH3+])Nc1cc(C)ccc1C
ZINC57603499	CCC(C)NC(=O)CC(C[NH3+])c1ccc(C(C)(C)C)cc1
ZINC57663291	CC1CC[NH+](CCC(O)c2ccc(OC(C)C)c(N)c2)CC1
ZINC43033923	CCC([NH3+])C(c1ccccc1C)N1CCCCC1CCO
ZINC43037238	CCC([NH3+])C(c1ccccc1C)N(CCO)C1CCCC1
ZINC43051020	CCC([NH3+])C(c1ccccc1Cl)N1CCCCC1CCO
ZINC60366862	CCOc1cccc(C[NH2+]CC2(O)CCCCC2)c1O
ZINC62598788	CCC[NH2+]C(CCSc1ccc(C)cc1C)C(N)=O
ZINC62787930	CC1CCCC[NH+]1CCCNc1cc(Cl)ccc1C(N)=S
ZINC63028445	CC[NH2+]C(C)C(c1ccc(S(N)(=O)=O)cc1)C(C)C
ZINC04299520	OC(CSc1ccccc1)C[NH+]1CCC(Nc2nccc(C(F)(F)F)n2)CC1
ZINC06791803	CCc1cccc2c(C(CC(=O)NCC[NH+](C)C)c3ccsc3)c[nH]c12
ZINC02806561	CC(C[NH+]1CCCCC1)NC(=S)Nc1cnn(Cc2ccc(Cl)cc2)c1
ZINC08535046	COc1cc(C[NH2+]CC(C)O)cc(Br)c1OCc1ccc(Cl)cc1
ZINC08535078	COc1cc(C[NH2+]CC(C)O)ccc1OCc1ccc(Cl)cc1Cl
ZINC11785727	CSc1ccc2cc(C[NH2+]CC(C)O)c(OCc3cccc(C(F)(F)F)c3)nc2c1
ZINC11822210	CCOc1cc(CC[NH3+])cc(Cl)c1OCCOc1ccc(Cl)c(C)c1
ZINC12037417	OCCOc1ccc(C[NH+]2CCOc3ccc(C(O)Cc4ccccc4)cc3C2)cc1
ZINC13040371	CCC[NH+](CC(=O)Nc1ccc(F)cc1F)CC(=O)Nc1ccc(F)c(F)c1F
ZINC15072449	OCCOc1ccccc1C[NH+]1CCCC(CO)(CCCc2ccccc2)C1
ZINC19362674	CCN1CCCC1C[NH2+]CC(O)COC(c1ccccc1)c1ccccc1
ZINC20453216	CC(C)CC[NH+]1CCN(Cc2c[nH]nc2-c2cccc(F)c2)CC1CCO
ZINC20873828	CCC(CO)[NH2+]Cc1cc(Br)c(OCc2ccc(C)cc2)c(OC)c1
ZINC20874816	CCOc1cc(C[NH2+]C(C)(C)CO)cc(Cl)c1OCc1ccc(C)cc1
ZINC24102441	COc1ccc(C(C)[NH2+]CC(O)COc2ccc(Cl)cc2Cl)cc1F
ZINC27431383	CC(C)C([NH2+]CC(=O)NCc1ccccc1Cn1cccn1)c1cccs1
ZINC34992621	CCOc1c(Br)cc(Br)cc1C[NH2+]CCNC(=O)C(C)C
ZINC36155048	CCCC(O)C[NH2+]C(c1nc(-c2ccc(Br)cc2)no1)C(C)C
