ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC40471393	CC(C)C(NC(=O)C1([NH3+])CCCCC1)C(=O)[O-]
ZINC40471443	CC(C)C(NC(=O)C1CCC([NH3+])CC1)C(=O)[O-]
ZINC40481257	CC(C)C([NH3+])C(=O)NC1(C(=O)[O-])CCCC1
ZINC40481307	O=C(NC1(C(=O)[O-])CCCC1)C1CC(O)C[NH2+]1
ZINC40481676	CC(NC(=O)C1([NH3+])CCCCC1)(C(=O)[O-])C1CC1
ZINC40481714	CC(NC(=O)C1([NH3+])CCCC1)(C(=O)[O-])C1CC1
ZINC40481833	CC(C)(C)C([NH3+])C(=O)NC1(C(=O)[O-])CCCCCC1
ZINC40483321	CCC([NH3+])C(=O)NC1CCC(C(=O)[O-])CC1
ZINC41036632	CC1CCCC(NC(=O)C(C)[NH3+])(C(=O)[O-])C1
ZINC41036684	CC([NH3+])CC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41804806	CC1CCCC([NH2+]C(C)C(N)=O)(C(=O)[O-])C1
ZINC41804906	CC([NH2+]C1(C(=O)[O-])CCCCCC1)C(N)=O
ZINC41805054	CC1CC(C)(C)CC([NH2+]C(C)C(N)=O)(C(=O)[O-])C1
ZINC41805147	CC([NH2+]C1(C(=O)[O-])CCSCC1)C(N)=O
ZINC41834205	CC(C)([NH2+]C1(C(=O)[O-])CCSC1)C(N)=O
ZINC41834321	CC1CC(C)(C)CC([NH2+]C(C)(C)C(N)=O)(C(=O)[O-])C1
ZINC44390587	NC(=O)c1cc(N)ccc1N1CCS(=O)CC1
ZINC44781527	CC(C)(C(=O)N1CCC(CC(N)=O)CC1)C(N)=S
ZINC44933122	CC1(NC(=O)C(=O)NCC(N)=S)CCS(=O)(=O)C1
ZINC45268996	CC1CN(CC(C)(N)C(N)=O)C(C)CO1
ZINC49513870	CC(NC(=O)C(=O)NN)c1ccccc1Cl
ZINC49533224	CCC(NC(=O)C(=O)NN)c1cccs1
ZINC49540301	Cc1nc(C)c(C(C)NC(=O)NN)s1
ZINC49561735	CC(C)C(NC(=O)C(=O)NN)c1cccs1
ZINC54343002	CC1CCC(NC(=O)C(C)C[NH3+])(C(=O)[O-])CC1
ZINC58425507	NC(C(=O)Nc1ccc2c(c1)CC(=O)N2)c1ccccc1
ZINC58841020	CC1CCCCC1NC(=O)CCC(=O)NN
ZINC63063497	Nc1ccc(NC(=O)C2CCC(=O)N2)cc1
ZINC64874555	NNC(=O)c1c[nH]c2cc(F)ccc2c1=O
ZINC67641441	CC(C)(O)C#Cc1ccc(CN2CCC([NH3+])(C(=O)[O-])C2)s1
ZINC04810783	CNC(=S)Nc1ccc(S(N)(=O)=O)cc1
ZINC20423274	[NH3+]C(CCCC(=O)[O-])c1ccc2c(c1)CCC(=O)N2
ZINC22175271	NC(=O)C1CCCN(C(=O)c2cccc(N)c2)C1
ZINC27986496	CCC/C=N/NC(=O)CCC(=O)NN
ZINC32579492	NNC(=O)CC(=O)Nc1ccc(F)cc1
ZINC05889866	CS(=O)(=O)NCCNc1ccc(N)cc1
ZINC36948238	Cc1ccc(F)cc1NC(=O)C(=O)NN
ZINC37043263	CC([NH3+])C(=O)NC(CC(=O)[O-])c1cccs1
ZINC37244658	NC(=S)CNC(=O)C(=O)NC1CCCCCC1
ZINC37389249	CC(=O)NC(CC(=O)NN)c1cccs1
ZINC37660561	NC(=O)CCCNC(=O)c1cccc(O)c1
ZINC37796929	[NH3+]CCCNC(=O)CC1(C(=O)[O-])CCCCC1
ZINC37796956	[NH3+]CCCCNC(=O)C1CC1C(=O)[O-]
ZINC39093310	CC(C)(C)[N@H+](C([O-])=[OH+])[C@@H](CO)CCO
ZINC39094168	CC(C)(C)[N@H+](C([O-])=[OH+])[C@H](CO)CCCO
ZINC40472509	CCC(C)C(NC(=O)C1CCC([NH3+])CC1)C(=O)[O-]
ZINC40481618	CC(NC(=O)c1ccc(C[NH3+])cc1)(C(=O)[O-])C1CC1
ZINC40481696	CC([NH3+])CC(=O)NC(C)(C(=O)[O-])C1CC1
ZINC40481875	CC(CC(=O)[O-])NC(=O)C([NH3+])C(C)C
ZINC40482054	CC(C)CC([NH3+])C(=O)NC(C(=O)[O-])C(C)(C)C
ZINC40482473	CCCCC(NC(=O)C1([NH3+])CCCC1)C(=O)[O-]
ZINC40483054	CCCC(NC(=O)CC(C)[NH3+])C(=O)[O-]
ZINC40486334	[NH3+]CCCC(=O)NCc1cccc(C(=O)[O-])c1
ZINC40924535	CC(C)C(NC(=O)C(C)(C)[NH3+])C(=O)[O-]
ZINC40924737	CCCC(C)(NC(=O)C(C)(C)[NH3+])C(=O)[O-]
ZINC41759990	CC(C)(C)C1CCCCC1([NH2+]CC(N)=O)C(=O)[O-]
ZINC41834047	CCC(CC)([NH2+]C1CCC(C(N)=O)CC1)C(=O)[O-]
ZINC42430642	[NH3+]C1CCCCC1NC(=O)CCCC(=O)[O-]
ZINC42430953	C[NH2+]CCCNC(=O)NC1(C(=O)[O-])CCCC1
ZINC43413680	[NH3+]CCC(=O)NCC1(CC(=O)[O-])CCCCC1
ZINC44566627	CS(=O)(=O)CCCNC(=S)NN
ZINC44776322	CC(=O)NCCNC(=O)C(C)(C)C(N)=S
ZINC44776523	CC(C)(C(=O)NCC(=O)NC1CC1)C(N)=S
ZINC44846196	CNC(=O)C(C)NC(=O)C(C(N)=S)C(C)C
ZINC44846200	CNC(=O)C(C)NC(=O)C(C(N)=S)C(C)C
ZINC44858530	CC(C(=O)N1CCCCC1C(N)=O)C(N)=S
ZINC45009643	CNC(=O)CCNC(=O)C(C)C(N)=S
ZINC45709432	CC1CN(CC(C)(N)C(N)=O)CC(C)(C)O1
ZINC48405591	NC(=O)CNC(=O)NCc1ccc(F)cc1
ZINC49046139	NC(=O)NCCC(=O)NCc1ccsc1
ZINC49840680	NC(=O)c1ccc(S(N)(=O)=O)cc1F
ZINC50397094	Nc1ccc(F)c(C(=O)NC2CCCNC2=O)c1
ZINC51998517	NC(=O)CSCCC(=O)NC1CCCCC1O
ZINC52344564	CC(NC(=O)C(=O)NN)C1CCCCC1
ZINC54339762	CC(C[NH3+])C(=O)NC(CC(=O)[O-])c1cccs1
ZINC42134625	NC(=O)CCNC1C(=O)Nc2cc(F)cc(F)c21
ZINC58853854	NNC(=O)CCCC(=O)Nc1cccc(F)c1
ZINC58854899	CCC(C)NC(=O)CCCC(=O)NN
ZINC43512601	NC(=O)CCCNC(=O)C1NCCc2ccccc21
ZINC63139203	Cc1csc(CCNC(=O)NN)n1
ZINC02116546	CC(C)(C)C(=O)NCSCC([NH3+])C(=O)[O-]
ZINC01605717	CC(C)CC([NH3+])C(=O)NC(C(=O)[O-])C(C)C
ZINC12176013	NNC(=S)NC1=CCS(=O)(=O)C1
ZINC01848430	NC(=O)c1ccc(S(N)(=O)=O)cc1
ZINC19439528	C#CCNC(=O)CNC(=O)c1ccc(N)cc1
ZINC20049781	CC(=O)Nc1cccc(NCC(N)=O)c1
ZINC32579322	NNC(=O)CC(=O)Nc1cccc(C(F)(F)F)c1
ZINC35279474	NC(=O)C1CCCN(C(=O)c2ccc(F)c(N)c2)C1
ZINC37043237	[NH3+]CC(=O)NC(CC(=O)[O-])c1cccs1
ZINC37389251	CC(=O)NC(CC(=O)NN)c1cccs1
ZINC37504577	CC(C)NC(=O)CNC(=O)CC(N)=S
ZINC37796901	[NH3+]CCNC(=O)CC1(C(=O)[O-])CCCCC1
ZINC37796918	[NH3+]CCCNC(=O)C1CCCCC1C(=O)[O-]
ZINC37796931	[NH3+]CCCCNC(=O)C1C2C=CC(C2)C1C(=O)[O-]
ZINC37796957	[NH3+]CCCCNC(=O)C1CC1C(=O)[O-]
ZINC37996474	CC(C)C(C)(CC(=O)NCC[NH3+])C(=O)[O-]
ZINC39084790	CC([NH3+])C(=O)NC1CCCC1C(=O)[O-]
ZINC39084852	CC(=O)NCC1CC(C(=O)[O-])CC1[NH3+]
ZINC40471190	CC(C)CC(NC(=O)CC(C)[NH3+])C(=O)[O-]
ZINC40471424	CC(C)C(NC(=O)C(C)([NH3+])C1CC1)C(=O)[O-]
ZINC40473770	CC([NH3+])C(=O)Nc1cccc(F)c1C(=O)[O-]
ZINC40481803	CCCC([NH3+])C(=O)NC1(C(=O)[O-])CCCCCC1
ZINC40481812	CC([NH3+])(C(=O)NC1(C(=O)[O-])CCCCCC1)C1CC1
ZINC40481870	CC(C)CC([NH3+])C(=O)NC(C)CC(=O)[O-]
ZINC40482876	CCCC(C)(NC(=O)C1([NH3+])CCCCC1)C(=O)[O-]
ZINC40482936	CCCC(C)(NC(=O)C1CCC([NH3+])CC1)C(=O)[O-]
ZINC40924532	CC(C)C(NC(=O)C(C)(C)[NH3+])C(=O)[O-]
ZINC40924734	CCCC(C)(NC(=O)C(C)(C)[NH3+])C(=O)[O-]
ZINC41036680	CCCC([NH3+])C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41759988	CC(C)(C)C1CCCCC1([NH2+]CC(N)=O)C(=O)[O-]
ZINC41804739	CCCC1CCC([NH2+]C(C)C(N)=O)(C(=O)[O-])CC1
ZINC42430645	[NH3+]C1CCCCC1NC(=O)CCCC(=O)[O-]
ZINC42535164	[NH3+]C1CC(NS(=O)(=O)CCCC(=O)[O-])C1
ZINC43396683	CC(=O)NCCNc1nc(C)ccc1C(N)=S
ZINC44781125	NC(=S)C1(C(=O)NCc2cn[nH]c2)CCCC1
ZINC44838531	CC(C)NC(=O)CNC(=O)C(C)C(N)=S
ZINC44838540	CCC(C(=O)NCC(=O)NC(C)C)C(N)=S
ZINC44846172	CCC(C(=O)NC(C)C(=O)NC)C(N)=S
ZINC44846188	CCCC(C(=O)NC(C)C(=O)NC)C(N)=S
ZINC45709433	CC1CN(CC(C)(N)C(N)=O)CC(C)(C)O1
ZINC49561742	Cc1ccc(C(C)NC(=O)C(=O)NN)cc1
ZINC51355343	[NH3+]CCCNC(=O)N1c2ccccc2CC1C(=O)[O-]
ZINC54343038	CC(C[NH3+])C(=O)NC(C(=O)[O-])C(C)(C)C
ZINC54343039	CC(C[NH3+])C(=O)NC(C(=O)[O-])C(C)(C)C
ZINC54523880	CC([NH3+])(C(=O)NC(C(=O)[O-])C1CC1)C1CC1
ZINC54523882	CC([NH3+])(C(=O)NC(C(=O)[O-])C1CC1)C1CC1
ZINC58845222	NNC(=O)CCCC(=O)Nc1ccc(F)cc1
ZINC62053656	CC(Cc1ccc(F)cc1)NC(=O)C(=O)NN
ZINC62777651	NC(=S)C1CCCC1NC(=O)c1cc[nH]n1
ZINC62822352	NC(=O)C1CCCN(C(=O)c2ccc(F)cc2N)C1
ZINC04534953	CC(=O)C/C(=N/NC(N)=S)C(F)(F)F
ZINC06387891	CC(=O)NNC(=S)NCC(C)C
ZINC00875177	Nc1ccc(S(=O)(=O)NC2CC2)cc1
ZINC04663015	Cc1ccc(N2CCSC2C(=O)NN)cc1
ZINC07784463	Cn1cc(Cl)cc1C(=O)NN
ZINC09457078	CSCC(=O)Nc1cccc(C(N)=O)c1
ZINC11887529	Cc1nc(CCC[NH3+])sc1C(=O)[O-]
ZINC19260000	[NH3+]CCS(=O)(=O)[N-]c1cccc(Cl)c1
ZINC19436512	CS(=O)(=O)c1ccc(NC(N)=O)cc1
ZINC20257246	CCCNC(=O)N(C)CCC(N)=S
ZINC22222871	[NH3+]CCS(=O)(=O)[N-]c1cc(F)cc(F)c1
ZINC32919581	COc1ccc(CC(=O)NN)c(Cl)c1
ZINC33432716	CCC(C)NC(=O)CCC(N)=O
ZINC13658415	CC(=O)NNC(=S)Nc1cccc(F)c1
ZINC40350099	CC(C)S(=O)(=O)NC(C)(C)C(N)=S
ZINC40354629	CCOCC(=O)NC1(C(N)=S)CCCC1
ZINC40362585	CC(NS(=O)(=O)C(F)F)C(N)=S
ZINC42429930	[NH3+]C1CCN(CCCCC(=O)[O-])CC1
ZINC42796599	CC(C)N(CC(F)(F)F)C(=O)NN
ZINC42927040	NC(=O)CCCNC(=O)C1CC=CCC1
ZINC43321565	Cc1c(F)cccc1[N-]S(=O)(=O)CC[NH3+]
ZINC43513957	CC(C(N)=S)N1CC(=O)Nc2ccccc21
ZINC45472020	CC1CCCC(OCC(C)([NH3+])C(=O)[O-])C1
ZINC45475306	CCC1CCCCC1OCC([NH3+])C(=O)[O-]
ZINC49725063	CC(c1cccs1)N(C)C(=O)NN
ZINC49776778	CC1=NC(N2CCCC2C)C(N)=[NH+]1
ZINC49976258	COc1ccc(N(C)C(=O)NN)cc1
ZINC50122177	[NH2+]=C1C(c2cccnc2)[NH+]=CN1C1CC1
ZINC50374753	COC1CCCC1NC(=O)CC(N)=S
ZINC53129369	CC1CCCC(CO)([NH2+]C(C)(C)C(=O)[O-])C1
ZINC54035986	Nc1ccccc1CN1CCNC1=O
ZINC54154385	CCS(=O)(=O)NCC(C)C(N)=S
ZINC58011977	[NH3+]CCCN1Cc2ccc(C(=O)[O-])cc2C1
ZINC58054149	CSCc1nc(CN)cc(=O)[nH]1
ZINC58054541	CC(N)c1cc(=O)[nH]c(C2CCCCC2)n1
ZINC58054551	CC(N)c1cc(=O)[nH]c(C(C)(C)C)n1
ZINC51859621	[NH3+]C1CCN(C/C=C/C(=O)[O-])CC1
ZINC60509795	CC(Cc1ccsc1)NS(N)(=O)=O
ZINC53126441	CC1CCCC(CO)([NH2+]CC(=O)[O-])C1
ZINC60781525	NC(=O)CCCNC(=O)c1ccsc1
ZINC61118226	Cc1cc([N-]S(=O)(=O)CC[NH3+])ccc1F
ZINC61124742	NC(=O)CNCc1cccc2cnccc12
ZINC61673076	Nn1c(C2CCOCC2)n[nH]c1=S
ZINC61885098	CCOCC(=O)NC1CCCC1C(N)=S
ZINC61887175	CCS(=O)(=O)NC1CCCC1C(N)=S
ZINC62542480	CC1CCCC(OCCC([NH3+])C(=O)[O-])C1
ZINC62543753	CC1CCCCC1OCCC([NH3+])C(=O)[O-]
ZINC62842834	CC([NH3+])C(=O)N1CCC(C)(C(=O)[O-])CC1
ZINC13396041	C/C(CC(=O)C(F)(F)F)=N\NC(N)=S
ZINC66936262	CC(C)(C)SCCNS(N)(=O)=O
ZINC04525690	NC(=O)C(=O)Nc1ccc(F)cc1
ZINC04554513	C=CC1=C(C(=O)[O-])N2C(=O)C([NH3+])C2SC1
ZINC01730743	Cc1cc2c(N)nc(=O)[nH]c2s1
ZINC01557145	CC1(C)COC(C)(C(=O)NN)OC1
ZINC00037833	CC1[NH2+]C(C(=O)[O-])Cc2c1[nH]c1ccccc21
ZINC00120236	Cc1nc(C)c(C(=O)NN)s1
ZINC01692729	C/C=C(/C(=O)NC(N)=O)C(C)C
ZINC02567350	CNS(=O)(=O)Cc1ccc(N)cc1
ZINC04352779	CNS(=O)(=O)c1cccc(N)c1
ZINC04844115	CC1(O)NC(=O)NC(=O)C1(F)F
ZINC04844114	CC1(O)NC(=O)NC(=O)C1(F)F
ZINC11568917	CC1Oc2cc(N)ccc2NC1=O
ZINC12394984	CC(C)n1c(N)cc(=O)[nH]c1=S
ZINC18244317	Nn1c(=S)[nH]c2ccccc2c1=O
ZINC20157374	CS(=O)(=O)Nc1ccc(F)cc1N
ZINC20157479	CS(=O)(=O)Nc1ccc(F)c(N)c1
ZINC20293690	NC(=S)CCN1CC(=O)Nc2ccccc21
ZINC20530728	NC1=NC(=O)CC(c2ccccc2Cl)N1
ZINC20790783	NC(=O)NCCN1CCOCC1
ZINC26478974	Cc1csc(NC(=O)CCl)c1C(N)=O
ZINC26896467	[NH3+]C(CC(=O)[O-])C1CCCOC1
ZINC03072969	NC(=O)C(=O)NC1CCCCC1
ZINC05547784	Cc1ccc2c(c1)c(=O)cc([O-])n2[NH3+]
ZINC34797488	NC1=NC(=O)CC(c2ccc(Cl)cc2)N1
ZINC34972142	CC(C)CCc1n[nH]c(=S)n1N
ZINC35795007	CC(Cl)C(=O)NC(C)C(N)=O
ZINC35795015	CC(Cl)C(=O)NC(C)C(N)=O
ZINC37389023	Cc1nc(C)c(CCC(N)=O)c(=O)[nH]1
ZINC37389363	CC(=O)Nc1ccc(C(N)=O)s1
ZINC38540288	CC1(C)Oc2ccc(N)nc2NC1=O
ZINC39084310	CC1=C(C(=O)[O-])N2C(=O)C([NH3+])C2CC1
ZINC39119568	Cc1ccc2cc(C(=O)NN)ccc2n1
ZINC39119575	NNC(=O)c1cncc(Cl)c1
ZINC40315949	C#CCNS(=O)(=O)c1ccc(F)c(N)c1
ZINC40349959	CC(C)(NC(=O)C1CCCO1)C(N)=S
ZINC40546210	Nc1cc(F)c2c(c1)NC(=O)CO2
ZINC42191859	CC([NH3+])c1ccc(-c2nnn[n-]2)cc1
ZINC42393223	CNC(=O)C1CCCN1c1cccc(N)c1
ZINC42796560	CC1c2ccsc2CCN1C(=O)NN
ZINC43428928	NNC(=O)N1CCOC2CCCCC21
ZINC44778473	CC(C)(C(=O)N1CCCC(O)C1)C(N)=S
ZINC45091574	NNC(=O)N1CCCC1C1CCCC1
ZINC49776841	CC1=NC(N2CC3CCC2C3)C(N)=[NH+]1
ZINC12803997	Cc1n[nH]c(=O)c(C(N)=S)c1C
ZINC05350859	O=C1NC(=S)NC(=O)C1=C1CCCN1
ZINC05350859	O=c1[nH]c(=S)[nH]c([O-])c1C1=NCCC1
ZINC58037999	[NH3+]CCc1nnc([S-])n1C1CC1
ZINC62238350	Nn1c(C2CCCOC2)n[nH]c1=S
ZINC32150970	CC1CC(=O)Nc2cc(N)ccc2O1
ZINC62608828	CC(C)Nc1ncccc1C1=[NH+]CCCN1
ZINC17298998	Cc1nc2[nH]c(=S)[nH]c2c(=O)[nH]1
ZINC01881841	CC(=O)Nc1ccc(NC(=O)C(=O)NN)cc1
ZINC01580104	CN1NC(C2NN(C)C(=O)N(C)N2)NN(C)C1=O
ZINC09915627	CC1(CO)OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC09970465	CC1(O)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O
ZINC11569017	NNC(=O)CN1C(=O)COc2ccc(N)cc21
ZINC15156331	NC(=O)NC(=O)CSc1nnc(N)s1
ZINC12505444	NC(=O)c1c(N)[nH]c2cc([N+](=O)[O-])c(F)cc12
ZINC17421161	Cc1c(/C=N\NC(N)=S)[nH]c(=O)[nH]c1=O
ZINC19875064	NC(=O)NC(=O)CN1CCc2ccc(N)cc21
ZINC20354472	COc1cccc(-n2c(N)c(N)c(=O)[nH]c2=O)c1
ZINC20354485	COc1ccc(Cn2c(N)c(N)c(=O)[nH]c2=O)cc1
ZINC35058946	NC(=O)NC(=O)CN1C(=O)Cc2cc(N)ccc21
ZINC35383022	NC(=O)C1CCCN1c1cc2nc[nH]c(=O)c2cc1N
ZINC36277997	Nc1ccc(F)c(NC(=O)c2c[nH]c(=O)[nH]2)c1
ZINC36742899	Nc1cc2c(cc1NS(=O)(=O)N1CCCC1)NC(=O)CO2
ZINC36929619	NC(=O)C1CCCN(C(=O)C/C(N)=N/O)C1
ZINC36939884	Cc1n[nH]c(N)c1C(=O)N1CCCC1C(N)=O
ZINC37338243	NC(=O)C1CCCN(C(=O)c2ccc(/C(N)=N/O)cc2)C1
ZINC37550580	[NH3+]CC#Cc1cnc(NC(=O)c2cc([O-])[nH]c(=O)c2)s1
ZINC37550946	[NH3+]CC#Cc1ccc(NC(=O)c2cc(=O)[nH]c([O-])n2)cc1
ZINC37551115	[NH3+]CC#Cc1cccc(NC(=O)c2cc(=O)[nH]c([O-])n2)c1
ZINC37671040	Nc1ccc(CNc2n[nH]c(=O)[nH]c2=O)cc1
ZINC37673373	CC(Nc1n[nH]c(=O)[nH]c1=O)c1ccc(N)cc1
ZINC37673512	CC(Nc1n[nH]c(=O)[nH]c1=O)c1ccccc1N
ZINC38049110	[NH3+]C1CCCCC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC06057546	N=C1[N-][NH+]=C(N)/C1=N\Nc1cc(Cl)ccc1Cl
ZINC40293084	NC(=O)C1CCCN(C(=O)c2c[nH]c3cc(N)ccc23)C1
ZINC40304863	CNC(=O)C1CCN(C(=O)c2ccc(N)cc2N)CC1
ZINC40321984	Nc1ccc(C(=O)N2CCCC2C(=O)NC2CC2)c(N)c1
ZINC40383669	NC(=O)Nc1ccc(S(N)(=O)=O)cc1F
ZINC41080479	NC(=O)c1cc(Sc2nccc(=O)[nH]2)ccc1N
ZINC42407411	NC(=O)C1CCCCN1C(=O)c1ccc(/C(N)=N/O)cc1
ZINC42431242	CC(C)(NC(=O)NC1CCCCC1[NH3+])C(=O)[O-]
ZINC42476573	CC(NC(=O)NC1CCCCC1[NH3+])C(=O)[O-]
ZINC44791495	CC(C)(C(=O)N1CCCCC1C(N)=O)/C(N)=N/O
ZINC44883182	CC1(Nc2ccc(C(N)=O)cc2N)CCS(=O)(=O)C1
ZINC48844122	[NH3+]C1CCCCC1NC(=O)NC1(C(=O)[O-])CCCCCC1
ZINC48844198	[NH3+]C1CCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC48852972	NC(=O)C(NC(=O)N1CC2CCC1C2)C(N)=O
ZINC48953017	O=C(NNC(=O)c1cn[nH]n1)NC1CCS(=O)(=O)C1
ZINC49834785	Nc1nonc1C(=O)N1CCC2(CC1)NC(=O)NC2=O
ZINC01055318	n1onc2c1NC1Nc3nonc3NC1N2
ZINC50323467	NC(=O)C1CCN(C(=O)c2[nH]nc(C3CC3)c2N)CC1
ZINC54216104	NNc1c(F)cccc1C(=O)NC1CCCNC1=O
ZINC04996197	O=C1c2ccccc2C2(O)Nc3nc4nonc4nc3NC12O
ZINC42429299	NC(=O)CC1CCN(c2ccc3c(c2)NC(=O)C3N)CC1
ZINC62101963	NC(=O)c1cc(N2CCNC(=O)CC2)c(F)cc1N
ZINC62832468	CNC(=O)CNC(=O)c1c[nH]c2ccc(N)cc12
ZINC63173560	[NH3+]C1CCCC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC63173563	[NH3+]C1CCCC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC10041267	CC(NS(=O)(=O)c1ccc(Br)cc1)C(=O)NN
ZINC05251054	CCNC(=O)C(=O)Nc1ccc(C(N)=O)cc1
ZINC21050559	CC(C(=O)Nc1ccccc1C(N)=S)N1C(=O)CNC1=O
ZINC21519709	NS(=O)(=O)c1ccc([N-]S(=O)(=O)C2CCC[NH2+]C2)cc1
ZINC23082971	NC(=O)c1cccc(C(=O)N2CCC3(CC2)NC(=O)NC3=O)c1
ZINC26898583	NC(=O)C1CCCN(C(=O)CSc2nnc(N)s2)C1
ZINC28976085	O=C1NC(=S)NC(=O)C1=CNc1ccc2c(c1)C(=O)NC2=O
ZINC05242905	Cc1ccc(S(=O)(=O)/N=C(\N)CC(N)=O)cc1
ZINC36165313	Cc1n[nH]c(C)c1C(=O)NCc1ccc(S(N)(=O)=O)cc1
ZINC36332532	N/C(=N\O)c1ccc(C(=O)NC2CCS(=O)(=O)CC2)cc1
ZINC38101525	Nc1cc(C(=O)N2CCN(S(N)(=O)=O)CC2)ccc1Cl
ZINC40214542	CC(NC(=O)C1CCC(=O)N1)c1ccc(S(N)(=O)=O)cc1
ZINC40216688	NS(=O)(=O)c1ccc(CNC(=O)c2ccc[nH]c2=O)s1
ZINC40377105	CC1CCN(S(=O)(=O)NC/C(N)=N/O)CC1
ZINC40378430	NS(=O)(=O)NCC1CCCN(C(=O)c2ccc[nH]2)C1
ZINC40381677	NS(=O)(=O)c1ccc(F)cc1NC(=O)C1CCC(=O)N1
ZINC40470883	CC(O)C(NC(=O)C1CC2CCCCC2[NH2+]1)C(=O)[O-]
ZINC40481551	CC1CCC(NC(=O)C2CC(O)C[NH2+]2)(C(=O)[O-])CC1
ZINC40486686	O=C(NC(C(=O)[O-])C1CCCCC1)C1CC(O)C[NH2+]1
ZINC40546123	NNC(=O)COc1cc2c(cc1Br)OCC(=O)N2
ZINC42015355	Nc1ccc(-c2nnnn2C2CCS(=O)(=O)C2)c(N)c1
ZINC42393334	CNC(=O)C1CCCN1c1ccc(S(=O)(=O)NC)cc1N
ZINC42524028	CC(C(=O)[O-])S(=O)(=O)NC1CCCCC1[NH3+]
ZINC43594741	[NH3+]CC(=O)NCC(=O)N1CCc2ccccc2C1C(=O)[O-]
ZINC44243871	N/C(CNS(=O)(=O)c1cncc(Br)c1)=N\O
ZINC44785387	N/C(=N/O)C1(C(=O)N2CCN(CCO)CC2)CCCCC1
ZINC44932439	CC1(n2nnnc2-c2ccc(N)cc2N)CCS(=O)(=O)C1
ZINC44932443	CC1(n2nnnc2-c2cc(N)cc(N)c2)CCS(=O)(=O)C1
ZINC48839677	Cn1cc(S(=O)(=O)NC2CCCCC2[NH3+])cc1C(=O)[O-]
ZINC48949743	CNC(=O)NNC(=O)C(NC(C)=O)C1CCCC1
ZINC49641249	NS(=O)(=O)c1cccc([N-]S(=O)(=O)C2CC[NH2+]CC2)c1
ZINC50244409	CCC(C)C(NC(=O)N1CCC([NH3+])C1)C(=O)[O-]
ZINC51092689	CS(=O)(=O)c1ccc(NC(=O)c2ccc(NN)nc2)cc1
ZINC51992093	Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NC1CCCCC1O
ZINC52125890	NC(=O)CN1C(=O)c2cc(N)ccc2S1(=O)=O
ZINC54492795	NC(=O)C1CCN(C2CS(=O)(=O)CC2N)CC1
ZINC54492868	NC(=O)C1CCCN(C2CS(=O)(=O)CC2N)C1
ZINC57292340	CNC(=O)NNC(=O)CNC(=O)c1ccc(F)c(F)c1
ZINC58522059	NC(=O)c1cc2c([nH]c1=O)CCCC2NC(=O)CC1C=CCC1
ZINC59894612	CCC(C)C(NC(N)=O)C(=O)N1CCNC(=O)CC1
ZINC61148259	N/C(=N/O)C1(C(=O)NCC2CCOC2)CCOCC1
ZINC61888068	CN(C)S(=O)(=O)NC1CCCC1/C(N)=N/O
ZINC62102249	NNc1ncc(Br)cc1C(=O)N1CCNC(=O)CC1
ZINC62722887	Nc1cc[n+]([O-])cc1CCc1c[n+]([O-])ccc1N
ZINC62811564	Nc1c[nH]nc1C(=O)N1CCC(N2CCNC2=O)CC1
ZINC62832614	CS(=O)(=O)CCNC(=O)c1c[nH]c2ccc(N)cc12
ZINC62843915	CC1(C(=O)[O-])CCN(C(=O)NCCC[NH3+])CC1
ZINC62947072	CC(C)C([NH3+])C(=O)Nc1cncc(C(=O)[O-])c1
ZINC63007428	NNc1c(F)cc(C(=O)NC2CCS(=O)(=O)C2)cc1F
ZINC58305024	NC(=O)c1ccc(NCC(=O)N2CCNC2=O)cc1F
ZINC01605307	CC(C)(O)C(=O)NCNC(=O)C(C)(C)O
ZINC03070572	Cc1ccc(S(=O)(=O)NC(C)C(=O)NN)cc1
ZINC13058772	CC(=O)Nc1ccc(NC(=O)C2CCCN2C(N)=O)cc1
ZINC19470026	NC(=O)c1ccc([N-]S(=O)(=O)C2CCC[NH2+]C2)cc1
ZINC22156822	CC1CCN(S(=O)(=O)c2c[nH]c(C(=O)NN)c2)CC1
ZINC24988424	CC1NC(=S)N(CCCc2n[nH]c(N)c2C#N)C1=O
ZINC05600629	OCC12NC(=S)OC1C(O)C(O)CO2
ZINC38101532	Nc1ccc(F)cc1C(=O)N1CCN(S(N)(=O)=O)CC1
ZINC40166084	CC1(C2CC2)NC(=O)N(CC(=O)NN)C1=O
ZINC40266703	O=C(NCCO)C(=O)Nc1cccc(O)c1
ZINC40325879	CS(=O)(=O)NC1CCCN(C(=O)c2cc(N)c[nH]2)C1
ZINC40363779	NC(=S)C1(NS(=O)(=O)c2cn[nH]c2)CCCC1
ZINC40470605	CCCC(C)([NH3+])C(=O)N1CC(O)CC1C(=O)[O-]
