ZINC00112261	Cc1cc(C)c(C(=O)Nc2nnc(C(C)C)s2)c(C)c1
ZINC28428883	c1ccc(C2NCCc3c2sc2ncnn32)nc1
ZINC28429055	Cc1nc2sc3c(n2n1)CCNC3c1ccccn1
ZINC28429752	CC1NCCc2c1sc1nc(-c3ccco3)nn21
ZINC29486912	Cc1c(C(=O)N2CCOCC2)[nH]c2c1C(=O)CCC2
ZINC31868359	CCNC(=O)c1sc2nc(C)n(C)c(=O)c2c1C
ZINC35021982	O=C(Nc1cnc2ccccn2c1=O)C1CCCC1
ZINC35789393	CC1CN(C(=O)NC(=O)CCCl)C(C)CO1
ZINC35789404	CC1CN(C(=O)NC(=O)C(C)Cl)C(C)CO1
ZINC35789412	CC1CN(C(=O)NC(=O)C(C)Cl)C(C)CO1
ZINC36151715	C1COC(c2nnc3n2NC2CCCC2S3)C1
ZINC36151917	c1coc(-c2nnc3n2NC2CCCC2S3)c1
ZINC36327714	CCC1COCCN1C(=O)NC(=O)C(C)Cl
ZINC36332363	O=S1(=O)CCC(Nc2ccc(Cl)nn2)CC1
ZINC37490763	OC1CCCCC1N1CCN(c2ncccn2)CC1
ZINC37504349	Cc1cc(=O)[nH]c(-c2cnn(-c3ccccc3)c2)n1
ZINC37506588	CC1=CC(=N)SC1c1nnc2nc(C)cc(C)n12
ZINC37911315	CC1CCC[NH+]1c1nc2sccn2c1C(=O)[O-]
ZINC38710073	CC1=C2C(N=N1)NC1=C(C(=O)OC1)C2c1ccc(C)s1
ZINC39205911	OC1OCC2C(c3ccc4c(c3)OCO4)OCC12
ZINC39357957	C1=NN(c2ccccc2)C2NC(c3ccco3)N=C12
ZINC39458119	COc1ccnc2c1C(=O)CCc1c(O)c(C)n(F)c1-2
ZINC39953831	O=[N+]([O-])c1cc(Br)cc2c1NCCO2
ZINC42870449	O=C(NC1CCS(=O)(=O)C1)N1CCc2sccc2C1
ZINC43428846	CC(Cl)C(=O)NC(=O)N1CCOC2CCCC21
ZINC43719914	Cc1ccc(C(C)NC(=O)N2CCOC(C)C2)o1
ZINC44457836	O=C(NC1CC1)N1CCC(C(=O)N2CCCC2)CC1
ZINC44967400	Cc1csc(CNC(=O)N2CCOC(C)C2)n1
ZINC46259634	CC(=O)c1c(C)[nH]c(C(=O)N2CCOCC2C)c1C
ZINC48388702	CC1CCCC(NC(=O)C2=NN(C)C(=O)CC2)C1C
ZINC48890191	Cc1n[nH]c(C(=O)N2CCOC(C)C2)c1Br
ZINC50605273	Cn1cc[nH+]c1N1CCc2sccc2C1C(=O)[O-]
ZINC05533269	CC1CC(=O)N=C(SC2CCS(=O)(=O)C2)N1
ZINC55302601	Brc1cnc2nc(C3COCCO3)[nH]c2c1
ZINC57307389	Cc1n[nH]c(C(=O)N2CC(C)OCC2C)c1Br
ZINC41601069	[O-]c1nc([NH+]2CCCC2)nnc1-c1cccs1
ZINC23584055	O=C1CN(CC(=O)N2CCCCCCC2)CCN1
ZINC59364416	CC(=O)/N=C1\NC(=O)/C(=C/c2cccn2C)S1
ZINC00478594	Cc1nc(Cl)c2c(n1)N=C1CCCC([O-])=C1O2
ZINC62133218	O=C([O-])C1CC[NH+](c2ncnc3ccsc23)C1
ZINC62843730	Cc1cc(N2CCC(C)(C(=O)[O-])CC2)nc(C)[nH+]1
ZINC63845488	C1=NN(C2CCCCC2)C2NC(c3ccco3)N=C12
ZINC63883798	Cc1ccc(C2N=C3C=NN(C4CCCC4)C3N2)o1
ZINC63913236	O=C(NC1=CN=NC1)c1cc(Cl)nc(Cl)c1
ZINC66716612	CC1(CNC(=O)N2CCOC(C#N)C2)CCCC1
ZINC04280718	CC(C)(Br)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC04290809	O=Cc1cc(Br)c(Cl)c(Br)c1O
ZINC04140592	Brc1ccc2c(c1)C1C=CCC1C(c1ccncc1)N2
ZINC04450183	FC(F)(F)c1ccc2c(c1)C1C=CCC1C(c1ccccn1)N2
ZINC02740374	Cc1cc(C)c(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c(C)c1
ZINC05587063	CC1CC(=O)C=C(Nc2ccccc2I)C1
ZINC08225503	CNc1nc(-c2ccc(I)cc2)cs1
ZINC06971338	Brc1cccc2c1NC(c1cccnc1)C1CC=CC21
ZINC13325732	Cc1ccc(C(=O)Nc2c(F)cc(F)cc2Br)s1
ZINC18253924	O=C(Nc1cc(F)cc(F)c1)c1cc(F)c(F)cc1Cl
ZINC20557723	CC1CCc2c(sc3c2CSC(C(=O)NC2CC2)=C3)C1
ZINC33185774	CC1CCCC(NC(=O)c2csc(Br)c2)C1
ZINC33185776	CC1CCCC(NC(=O)c2csc(Br)c2)C1
ZINC35224950	Cc1cc(I)ccc1NC(=O)C(C)Cl
ZINC35286965	CCC1CS/C(=N\c2cccc(I)c2)N1
ZINC36334319	C=CC(=O)Nc1c(Br)cc(C)cc1Br
ZINC37412891	CCCc1cc(=O)c2cc(Br)cc(Cl)c2[nH]1
ZINC37563284	Brc1ccccc1CN1CCNc2ccccc21
ZINC39509964	OC1CCCN(Br)C12CCC(Cc1ccccc1)C2
ZINC39509968	OC1CCCN(Br)C12CCC(Cc1ccccc1)C2
ZINC39511976	OC1CCC2(C1)C(Cc1ccccc1)CCCN2Br
ZINC31904895	CN1C/C(=C\c2cccs2)C(O)/C(=C/c2cccs2)C1
ZINC40260916	OC(c1cncc(Br)c1)c1cc(Cl)sc1Cl
ZINC40261190	OC(c1ccco1)c1cc(Br)sc1Br
ZINC40261917	CC1Cc2cc(C(O)c3ccccc3Br)ccc2O1
ZINC40261920	CC1Cc2cc(C(O)c3ccccc3Br)ccc2O1
ZINC42772740	CC1c2ccsc2CCN1c1cc(Br)ccc1CO
ZINC43560633	OC(c1cnc2ccccc2c1)c1ccccc1Br
ZINC43577819	OC(c1ccc(Br)c(F)c1)c1ccc2c(c1)CCO2
ZINC43577821	OC(c1ccc(Br)c(F)c1)c1ccc2c(c1)CCO2
ZINC44124018	OC1c2ccc(Br)cc2OCC1Cc1ccccc1
ZINC48189168	CC1CCCC(NC(=O)c2sccc2Br)C1
ZINC49185242	Brc1ccc(/N=C2\NCCS2)c(Br)c1
ZINC50330829	OC1CCCc2nc(Cc3ccc(Br)cc3)sc21
ZINC50844502	CCNc1ccnc2c(Br)cc(Br)cc12
ZINC51632465	Brc1cccnc1NC1CCc2ccccc2C1
ZINC61094555	O=C(Nc1cc(F)c(F)cc1F)c1csc(Br)c1
ZINC61123402	CC(O)(c1cccc(Br)c1)c1cccc2cnccc12
ZINC61417355	OC(c1ccc(Br)s1)c1cccc2ncccc12
ZINC61692131	CC1CN/C(=N\c2cc(Br)ccc2Cl)S1
ZINC61692132	CC1CN/C(=N\c2cc(Br)ccc2Cl)S1
ZINC61694710	CC(O)c1ccc(N2CCc3sccc3C2)c(Br)c1
ZINC61694862	CC(O)c1ccc(N2CCc3ccccc3C2)c(Br)c1
ZINC61864363	OC(c1ccc2c(c1)CCCC2)c1ccc(Br)cn1
ZINC61870295	OC(c1ccc(Br)cn1)c1csc2ccccc12
ZINC61870421	OC(c1ccc(Br)cn1)c1ccc(Cl)cc1Cl
ZINC62779218	Brc1ccc(C(Br)c2ccn[nH]2)cc1
ZINC62779219	Brc1ccc(C(Br)c2ccn[nH]2)cc1
ZINC62954841	OCc1ccc(Br)cc1N1CCC2(CCCC2)CC1
ZINC66338977	BrCc1ccc2[nH]nc(I)c2c1
ZINC00181811	O=C(Nc1nc2c(s1)C(=O)CCC2)c1ccccc1Cl
ZINC01056173	Cc1cc(C(=O)Nc2sc3c(c2C#N)CCC(C)C3)c(C)o1
ZINC00362314	Cc1ccc(NC(=O)c2nn(C)cc2Br)cc1C
ZINC00556492	O=C(Nc1cccc2ncccc12)c1ccc(Br)o1
ZINC04815467	CC(=O)Nc1cccc(-c2nc3cc(C)cc(C)c3o2)c1
ZINC00305625	CC(C)(C)C(=O)N1N=C2CCCCCC2C1(O)C(F)(F)F
ZINC08749223	O=C(Nc1nc2c(s1)CCCC2)C1Cc2ccccc2O1
ZINC08793877	Cc1ccc2oc(C(=O)Nc3ccc(C)c(C)c3)cc2n1
ZINC08976590	O=C(Nc1onc2c1CCCC2)c1cc(Cl)sc1Cl
ZINC13001395	Cc1cccc2sc(C(=O)N3CCNC(=O)C3)c(Cl)c12
ZINC29788809	CC1CCc2nc(NC(=O)c3cc(Cl)cn3C)sc2C1
ZINC29796094	Cc1nc2cc(NC(=O)c3ccc(Cl)s3)ccc2o1
ZINC31978773	COc1ccc(-c2nc3sc4c(n3c2C)CCNC4)cc1
ZINC32951598	Cc1ccc(NC(=O)c2cc3ccccn3n2)c(Cl)c1
ZINC32951666	O=C(Nc1c(F)c(F)cc(F)c1F)c1cc2ccccn2n1
ZINC33151373	Cc1ccc2cc(C(=O)Nc3sccc3C#N)c(C)nc2c1
ZINC34936520	Cc1cc(Br)ccc1NC(=O)c1snnc1C
ZINC35678526	O=C(Nc1cccc(Br)n1)c1cc2ccccc2o1
ZINC35688238	O=S1(=O)CC(Nc2nc3ccccc3s2)c2ccccc21
ZINC36923496	O=S1(=O)CCC(Nc2c(Cl)ccc3scnc23)CC1
ZINC00356077	Cc1nn(C)c(C(=O)NC2C3CC4CC(C3)CC2C4)c1Cl
ZINC13121871	Clc1ccc(C2CC(c3cccs3)n3ncnc3N2)cc1
ZINC38741639	O=C1CCCC2=C1C(Nc1cc(Cl)cc(Cl)c1)N=N2
ZINC36695611	Cc1cc(C(=O)Nc2nc3c(F)cc(F)cc3s2)c(C)o1
ZINC39443958	CC1C(C(=O)NC2CCCCC2C)=NC2=C1C(=O)CC(C)(C)C2
ZINC43635686	CC1CC(C)CN(C(=O)Nc2nc(C(F)(F)F)cs2)C1
ZINC44288912	Cc1nc(NC(=O)c2cccnc2Cl)c(Cl)cc1Cl
ZINC47570905	Cc1ccc(Br)cc1NC(=O)N1CCOC(C)C1
ZINC43638760	CC1CCCCN1C(=O)Nc1nc(C(F)(F)F)cs1
ZINC49211673	Cc1sc(NC(=O)N2CCCC2C(C)C)c(C#N)c1C
ZINC49550709	CC(C)c1ccc(C2SCC(O)=Nc3c2cnn3C)cc1
ZINC49550709	CC(C)c1ccc(C2SCC(=O)Nc3c2cnn3C)cc1
ZINC53097664	COc1ccc(/N=C2/NC3(CCCCC3)CS2)cn1
ZINC44977668	CC1CCCC(c2noc(C3=C4CCCC4SC3=N)n2)C1
ZINC54116750	Cc1cccnc1NC(=O)c1cc2cc(Cl)ccc2nc1C
ZINC57530788	O=C(NC1CCCCC1)N1CCN(C2CCSCC2)CC1
ZINC59240062	Cc1ccnc(NC(=O)c2c(Cl)cccc2Cl)n1
ZINC30823690	O=C1C=CC=C/C1=C1/NN=C(c2ccccc2Br)O1
ZINC61844336	Brc1ccc(-c2csc(-c3nc[nH]n3)n2)cc1
ZINC61863462	Brc1ccc(-c2nc(-c3cccs3)n[nH]2)nc1
ZINC62497042	Cc1ccc(CC2Oc3cc(O)ccc3N(C)C2=O)cc1C
ZINC62497097	Cc1ccc(CC2Oc3ccc(O)cc3N(C)C2=O)cc1C
ZINC63489225	Cc1noc(C)c1NC(=O)c1cc2c(s1)CCCCCC2
ZINC01294204	Cn1c(-c2cc(Br)ccc2O)nc2cnccc21
ZINC36354374	OC1=Nc2c(ncn2-c2ccccc2F)C(c2ccccc2)C1
ZINC36354374	O=C1CC(c2ccccc2)c2ncn(-c3ccccc3F)c2N1
ZINC21531137	Cc1cccc(NC(=O)N2CCSc3ncccc32)c1
ZINC47747653	O=C(Nc1cccc2cccnc12)N1CCC1c1ccccc1
ZINC65657783	Cc1ccc(N(C)C(=O)c2cc3ccccc3[nH]c2=O)c(C)c1
ZINC56389615	Cc1ccc(C)c2c(C)c(C(=O)Nc3ccncc3)oc12
ZINC67019855	O=C(Nc1ccc(F)c(F)c1F)c1cccc2c1OCCO2
ZINC67320976	Cc1ccc(NC(=O)c2ccc3nnsc3c2)c(C)c1
ZINC03236240	Cc1ccc2nc(NC(=O)C3(c4ccc(Cl)cc4)CCCC3)sc2c1
ZINC03241600	O=C(Nc1nc(-c2cc(Cl)sc2Cl)cs1)c1ccc(Cl)s1
ZINC03648149	O=C1Nc2ccccc2/C1=C\c1cn(Cc2ccccc2Cl)c2ccccc12
ZINC02150933	O=C(N/N=C/c1c(Cl)cccc1Cl)c1sc2ccccc2c1Cl
ZINC04376035	Cc1c(Cc2c(Cl)cccc2Cl)c(=O)oc2cc(O)c(Cl)cc12
ZINC01672885	O=C(Nc1ccccc1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
ZINC03112820	Oc1c(Cl)cc(Cl)cc1/C=N/c1ccc(Br)c2cccnc12
ZINC02963210	O=C1c2ccccc2-c2c1c(-c1ccc(O)cc1)nc1ccc3ccccc3c21
ZINC00994684	Cc1ccccc1NC(=O)c1cc(-c2ccc(Cl)s2)nc2ccccc12
ZINC00691492	CC(C)(C)c1ccc(C2SCCN2C(=O)Nc2ccccc2F)cc1
ZINC02914913	Cc1ccsc1C1C=C(c2ccc(Cl)cc2)Nc2nc3ccccc3n21
ZINC00870002	CC(C)c1ccc(C2Nc3ccc4ncccc4c3C3=C2C(=O)CC(C)(C)C3)cc1
ZINC04735143	Cc1ccc(Nc2c(-c3cccs3)nc3ccc(Br)cn23)cc1
ZINC04746646	CC1C2C/C(=N/Nc3nc(-c4ccc(Cl)cc4)cs3)C(C2)C1(C)C
ZINC04746647	CC1C2C/C(=N/Nc3nc(-c4ccc(Cl)cc4)cs3)C(C2)C1(C)C
ZINC02165545	Cc1cc(OC(=O)Nc2ccc(Cl)cc2C)c(Br)cc1Cl
ZINC02738557	O=C(Nc1ccccc1F)c1cc(-c2ccccc2Cl)nc2ccccc12
ZINC01004583	Cc1sc2ncnc(Nc3ccc(Cl)c(C(F)(F)F)c3)c2c1C
ZINC04973020	O=C(NC1CC12c1ccccc1-c1ccccc12)Oc1ccc2ccccc2c1
ZINC00811288	Cc1ccc(-c2cnc(NC(=O)c3ccc(Br)cc3)s2)c(C)c1
ZINC06536687	O=C(Nc1nc(-c2cccc3ccccc23)cs1)c1ccc2c(c1)CCCC2
ZINC06598070	Clc1cc(Cl)c(NN=C2CCC(c3ccccc3)CC2)nc1Cl
ZINC07164649	Cc1cc(C)c(/C=C(\C#N)C(=O)Nc2c(Cl)cccc2Cl)cc1C
ZINC07573446	CSc1cccc2sc(NC(=O)c3sc4ccccc4c3Cl)nc12
ZINC10060980	O=C(Cc1ccc(Cl)s1)Nc1nc2c(cc3c4c(cccc42)CC3)s1
ZINC11995055	CC1C2C/C(=N/Nc3nc(-c4ccc(Cl)cc4)cs3)C(C2)C1(C)C
ZINC05322621	Cc1ccc2nc(/C(C#N)=C/c3c4ccccc4cc4ccccc34)[nH]c2c1
ZINC03911621	Cc1ccc(Nc2c(-c3c(F)cccc3Cl)nc3cccc(C)n23)cc1
ZINC15773200	CC1Nc2ccccc2C1C1=NN(c2ccc(Cl)cc2)C(c2ccccc2)C1
ZINC15773202	CC1Nc2ccccc2C1C1=NN(c2ccc(Cl)cc2)C(c2ccccc2)C1
ZINC15773204	CC1Nc2ccccc2C1C1=NN(c2ccc(Cl)cc2)C(c2ccccc2)C1
ZINC16952549	O=C(NC1CC12c1ccccc1-c1ccccc12)Oc1ccc2ccccc2c1
ZINC05976813	CC(C)(C)c1csc(NC(=O)C2CC3CCCC(C2)C32SCCS2)n1
ZINC20501771	N#Cc1ccccc1NC(=O)c1sc2ccc3ccccc3c2c1Cl
ZINC04623869	S=c1[nH]nc(C23CC4CC(CC(C4)C2)C3)n1-c1cc(Cl)cc(Cl)c1
ZINC39874781	CC1(C)C(C=C(Cl)Cl)C1C(=O)Nc1nc2ccc(Cl)cc2s1
ZINC39874782	CC1(C)C(C=C(Cl)Cl)C1C(=O)Nc1nc2ccc(Cl)cc2s1
ZINC39874784	CC1(C)C(C=C(Cl)Cl)C1C(=O)Nc1nc2ccc(Cl)cc2s1
ZINC40971280	Cc1ccc2sc(NC(=O)/C=C/c3ccc(Cl)c(Cl)c3)nc2c1C
ZINC41007737	COc1ccc2sc(C(=O)Nc3cc(Cl)cc(Cl)c3)c(Cl)c2c1
ZINC41011850	CC1CCc2c(C#N)c(NC(=O)c3ccc(C(C)(C)C)cc3)sc(=S)c2C1
ZINC41090264	CCc1nc(Nc2cc(Cl)cc(Cl)c2)c2c3c(sc2n1)CCC3
ZINC05500257	O=C1N/C(=N\c2ccc(Cl)c(C(F)(F)F)c2)S/C1=C\c1cccs1
ZINC52570003	N#Cc1c(C2=c3ccccc3=[NH+]C2)cc(-c2ccc3c(c2)CCCC3)nc1[S-]
ZINC05376771	O=C1N/C(=N/c2ccc(Cl)c(C(F)(F)F)c2)S/C1=C/c1cccs1
ZINC15053184	Cc1cccc(N2C(=N)S/C(=C\c3c4ccccc4cc4ccccc34)C2=O)c1
ZINC05378994	Cc1cc(C)cc(C(=O)Nc2cccc(-c3nc4ccccc4s3)c2)c1
ZINC60098730	O=C(Nc1cc(Cl)c(Cl)cc1Cl)c1ccc(Cl)nc1Cl
ZINC35561667	Cc1cccc(C2CCCCCN2C(=O)Nc2ccccc2Br)c1
ZINC65005037	O=C(/C=C/c1ccc(Cl)c(Cl)c1)Nc1nc2c(F)cccc2s1
ZINC02286519	Cc1sc2nc(SC/C=C/c3ccccc3)n(-c3ccccc3)c(=O)c2c1C
ZINC03656398	O=C1/C(=C\c2cn(CCOc3ccccc3)c3ccccc23)Sc2ccccc21
ZINC02057557	O=C1C(c2ccccc2)=C(c2ccccc2)OC(c2ccccc2)N1c1ccccc1
ZINC04739372	Cc1cc(/C=N/c2ccc3ncccc3c2)c(C)n1-c1ccc(-c2ccccc2)cc1
ZINC01071140	C=C(C)Cn1c(SCc2cccc(Br)c2)nc2ccccc2c1=O
ZINC00888299	Fc1cccc(Cl)c1CSc1nnc(-c2ccccc2Br)o1
ZINC01269098	C=C(C)CSc1nc2sc3c(c2c(=O)n1Cc1ccccc1)CC(C)CC3
ZINC06188972	Cc1cc(OC(=O)COc2cc(Cl)ccc2Cl)ccc1Br
ZINC06751994	CCOc1ccc(N(CC)C(=O)c2cc3c(s2)-c2ccccc2SC3)cc1
ZINC06402402	Fc1cccc(Cl)c1Cc1nnc(S)n1-c1cccc(C(F)(F)F)c1
ZINC07573588	Cc1ccc2nc(N(Cc3ccccc3)C(=O)/C=C/c3cccs3)sc2c1
ZINC07947858	O=C(CCc1ccc(-c2ccccc2)o1)N1CCc2sccc2C1c1cccs1
ZINC09230690	CC(C)c1cc(Br)ccc1OC(=O)c1ccc(Br)o1
ZINC09565757	CCSc1ccc(CC(=O)/N=c2/sc3cc(SC)ccc3n2C)cc1
ZINC09704462	O=C(Sc1ncnc2scc(-c3ccccc3)c12)c1c(F)cccc1Cl
ZINC11896406	O=Cc1cc(Br)ccc1OCCOc1cc(Cl)ccc1Cl
ZINC12313572	CCn1/c(=N/C(=O)Cc2ccc(SC)cc2)sc2cc(SC)ccc21
ZINC06080107	C(=C/c1cn(Cc2ccccc2)nc1-c1cccs1)\c1ccc2ccccc2n1
ZINC06330623	Cc1cc(SCC(=O)c2cc(C)n(Cc3cccs3)c2C)nc2ccccc12
ZINC12310555	CCn1/c(=N/C(=O)CSCc2ccccc2)sc2cc(Br)ccc21
ZINC12310643	CCn1/c(=N/C(=O)CSCc2ccccc2)sc2cccc(Br)c21
ZINC14084002	Cc1cc(Cl)c(OCCOc2c(C)ccc3cccnc23)c(Br)c1
ZINC20838753	CC(C)(C)c1nnc(SCc2ccc(Br)cc2)n1-c1ccccc1
ZINC24915049	Fc1cc(F)cc(CN(c2cccc(C(F)(F)F)c2)c2nc3cccnc3s2)c1
ZINC33665361	O=C(/C=C/c1cccs1)c1ccc(OC(=O)c2ccccc2Br)cc1
ZINC33748318	O=C(c1cccc2ccccc12)N1CCSC1c1ccccc1OCc1ccccc1
ZINC35372449	O=C(CC(c1cccs1)c1cn(Cc2ccccc2)c2ccccc12)N1CCCC1
ZINC35520258	Cc1nc(SCc2ccc(C(F)(F)F)cc2)n(C)c(=O)c1Cc1ccccc1F
ZINC35843513	Cc1nc(SCc2ccc(C(F)(F)F)cc2)n(C)c(=O)c1Cc1ccc(F)cc1
ZINC36040274	CCN1CCc2ccccc2C1(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1
ZINC05718950	CCS(=O)(=O)c1ccc(-c2csc(-c3ccccc3)n2)c(Cl)c1Cl
ZINC38548694	O=C(N1CCN(C(c2ccccc2)c2ccccc2)CC1)C1(c2ccccc2)CCCC1
ZINC38571620	O=C1N=C(SC/C(Cl)=C/Sc2ccccc2)N=C2SC3CCCCC3=C12
ZINC38719703	Cc1nc(-c2cccs2)sc1-c1ccc(SCc2cc(F)ccc2F)nn1
ZINC39477561	CSc1ccc(CSc2nnc(-c3ccc(Br)cc3)o2)cc1
ZINC39716892	C#CCn1/c(=N/C(=O)c2cccc(SCC)c2)sc2cc(SC)ccc21
ZINC39716893	C#CCn1/c(=N/C(=O)c2ccc(SCC)cc2)sc2cc(SC)ccc21
ZINC39885216	N#C/C(=C\c1ccc(OCc2ccccc2)cc1)c1nc(-c2ccc(F)cc2)cs1
ZINC49372375	Clc1ccc(-c2nnc(SCc3ccc(Br)s3)o2)cc1
ZINC13973642	Cc1nc2c(SCc3ccc(C(F)(F)F)cc3)nnc(-c3cccs3)c2s1
ZINC59248960	CCN(CC)c1ccc(/N=C/c2cccn2-c2ccc(Br)cc2)cc1
ZINC59251193	Cc1cccc(N2CCN(C(=O)CCCCc3ccc(Br)cc3)CC2)c1
ZINC13395999	CN1N=C2/C(=C/c3ccccc3)CN(Cc3ccccc3)CC2C1c1ccccc1
ZINC59909647	CC(C)c1nnc(SCc2ccc(Br)cc2)n1-c1ccccc1
ZINC59928118	C=C(Br)CSc1nnc(Cc2cccs2)n1C1CCCCC1
ZINC59942403	CN(C)/C=C(/C=C1\CCCC2=C1OC(N(C)C)C(c1ccccc1)=C2)c1ccccc1
ZINC60365168	O=C(c1cc(Br)cnc1Cl)N(CCc1ccccc1)c1ccccc1
ZINC63111068	CN1N=C2/C(=C/c3ccccc3)CN(Cc3ccccc3)CC2C1c1ccccc1
ZINC63581455	Cc1ccc(SC2N=C(c3ccccc3)N=C2/C=N/c2ccc(C)c(C)c2)cc1
ZINC67259492	Cc1ccc(C)c(CSc2nc3ccccc3c(=O)n2Cc2cccs2)c1
ZINC03844878	CC(=O)Nc1c(C=O)ccc2cc3ccccc3cc12
ZINC02066531	O=C1Oc2c(ccc3ccccc23)C1(O)C(F)(F)F
ZINC04155944	O=C(N/N=C1/CC2C=CCC12)c1cccc2ccccc12
ZINC05036429	CC1CCCCC1NC(=O)c1cc2sccc2n1C
ZINC05332007	O=C1CCCN1C1CC(c2ccccc2)Nc2ccccc21
ZINC09528729	CCNC(=O)c1cc2cc3cc(C)ccc3nc2s1
ZINC12652561	N#C/C(=C\c1ccc(O)cc1)c1nc2ccccc2s1
ZINC13325777	Cc1cc(Br)ccc1NC(=O)c1ccoc1C
ZINC13737207	CSc1cccc(NC(=O)N2CCCC(C)C2)c1
ZINC14984784	COc1cc(Br)cc2[nH]nc(Cl)c12
ZINC17419050	Cc1cc(/C=N\c2ccccc2)c(O)c2ncccc12
ZINC18184369	Cc1ccccc1NC(=O)c1cc(Br)cn1C
ZINC00536238	C=C(C)Cn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3
ZINC09215904	CCC(C)(C)C1CCc2sc3nc[nH]c(=O)c3c2C1
ZINC19813648	Cc1ccc(NC(=O)c2ccnc(Cl)c2)cc1Cl
ZINC20131894	Cc1cc2nc(NC(=O)C(C)Cl)sc2cc1C
ZINC20391540	O=C1N=C(Nc2ccc(Cl)cc2Cl)CS1
ZINC06014757	N#Cc1c(NC(=O)C2CCCCC2)sc2c1CCC2
ZINC32995941	O=C(Nc1cccc2ncccc12)C1CC2C=CC1C2
ZINC33586183	O=Cc1c(-c2ccncc2)[nH]c2c1ccc1ccccc12
ZINC34971950	COc1cc(Cl)c(C)cc1/N=C1/NCCCS1
ZINC35678720	O=C(Nc1cccc(Br)n1)C1CC=CCC1
ZINC03334269	Cc1cnc(NC(=O)c2cc3c(s2)CCCC3)s1
ZINC39503457	COC1CN(c2ccccc2O)C2(CCC(Cl)C2)C1
ZINC40165590	Oc1ccc2c(-c3cc(F)c(F)c(F)c3)noc2c1
ZINC40173640	O=S1(=O)C=CC(Nc2ccc(Cl)cc2Cl)C1
ZINC40173679	O=S1(=O)C=CC(Nc2cc(Cl)ccc2Cl)C1
ZINC40247174	Cc1cccc(C(O)c2ccc3c(c2)OCCO3)c1C
ZINC41092465	CC(=O)N1CCc2cc(NC3CC4CCC3C4)ccc21
ZINC41379781	Cc1cc(C)c(-n2nc(C)c(CO)c2C)c(Cl)c1
ZINC41841313	CC1CCCC[NH+]1C1(C(=O)[O-])CCCc2ccccc21
ZINC41843529	CC1CCC[NH+](C2(C(=O)[O-])CCCc3ccccc32)C1
ZINC42315512	Cc1cccc(C(=O)N(C)C2CCC(C)CC2)c1O
ZINC42355405	Cc1ccc(C(=O)N(C)C2CCCC(C)C2)c(O)c1
ZINC43461084	Brc1cnc2nc(CC3CCCC3)[nH]c2c1
ZINC43735583	CC1=CC(C)C2(CO)COC(c3ccco3)C1C2C
ZINC45072237	COC1=C(C)C2CC(O)(C3=CCCCO3)C1CC2(C)C
ZINC49014788	Cc1ccc(C(=O)N(C)C2CCCC(C)C2)cc1O
ZINC49014793	Cc1ccc(C(=O)N(C)C2CCCC(C)C2)cc1O
ZINC49989280	Cc1cccc(N(C)C(=O)C2Cc3ccccc3N2)c1
ZINC50527571	CC(C)(C)C1CCC(O)C(n2ncc3ccccc32)C1
ZINC52887521	OC1(c2cncnc2)CCCCC1C1CCCCC1
ZINC54910210	CN(c1nc2c(s1)C(O)CCC2)C1CCCCC1
ZINC54927753	CC1CCCC(N(C)c2nc3c(s2)C(O)CCC3)C1
ZINC43640247	CCc1ccc(-c2cc3nc[nH]c(=O)c3s2)s1
ZINC61277423	c1ccc2c(c1)CCC(Nc1ncnc3c1CCC3)C2
ZINC62351030	Cn1cc(NC2CC3CCC2(C)C3(C)C)ccc1=O
ZINC62558569	Cc1c(C)c2c(c(C)c1Br)OCCC(=O)N2
ZINC62753671	CC1c2ccsc2CC[NH+]1C1CCCCC1C(=O)[O-]
ZINC62779609	CC1(C)Cc2cc(C(Cl)c3cn[nH]c3)ccc2O1
ZINC02093559	Cc1cccc(NCc2cc(Cl)ccc2OCc2ccccc2Cl)c1
ZINC02943868	CCc1ccccc1NC(=S)N(C1CCCCC1)C(C)c1cccs1
ZINC05523567	O=P1(NCCc2ccccc2)C=C(c2ccccc2)SC(c2ccccc2)=C1
ZINC06232749	CC1(C)C(C=C(Cl)Cl)C1C(=O)NC(c1ccc(F)cc1)C(Cl)(Cl)Cl
ZINC06737769	CCc1ccc(C(c2cccc(Br)c2)c2c(C)[nH]c3ccccc23)s1
ZINC00632497	Cc1cc(Oc2cc(-n3nc(C)c(C#N)c3N)nc(-c3ccccc3)n2)cc(C(C)C)c1
ZINC08399581	CCCc1ccc(OCc2ccc(C(=O)Nc3ccc([N+](=O)[O-])cc3Cl)cc2)cc1
ZINC03099308	CCCCC(=O)Nc1cccc(C(=O)N/N=C/c2ccccc2OCc2ccccc2)c1
ZINC02110099	CCCCOc1ccc(/C=N/NC(=O)c2cc(CCC)nc3ccccc23)cc1OCC
ZINC06280466	Cc1ccc(-c2csc(Nc3cc(C(F)(F)F)cc(C(F)(F)F)c3)n2)cc1C
ZINC13134056	Cc1ccc(Nc2nc(CSc3ccc(Cl)c(C(F)(F)F)c3)cs2)cc1
