ZINC06447457	Cn1c(=O)c2[nH]c(CC[NH3+])nc2n(C)c1=O
ZINC39531562	Cc1ccc(C(CNF)N2CC[NH2+]C(c3ccccc3O)C2)cc1
ZINC19775641	COc1ccc(N)cc1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC34727789	COc1ccc(N)cc1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC19775745	COc1cc(N)ccc1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC40684272	COc1ccc(C)cc1Nc1[nH+]cnc(N(C)c2ccccc2)c1N
ZINC40757944	CN(c1ccccc1)c1[nH+]cnc(Nc2cccnc2Cl)c1N
ZINC43401469	Cc1ccc(C(N)=[NH2+])c(Oc2cc(Cl)c(Cl)cc2Cl)n1
ZINC44335440	COC(=O)C([NH3+])Cc1c(C)c(Br)c(C)c(Br)c1O
ZINC44362099	CCOC(=O)C([NH3+])Cc1cc(Br)c(C)c(Br)c1O
ZINC45654467	CC(C)[NH+]1CCC(Nc2cc3[nH]c(=O)[nH]c3cc2Br)C1
ZINC45896261	C/[NH+]=c1\c(NC(=O)Nc2ccccc2F)c(O)oc2ccccc12
ZINC47763874	CCOc1cc(C)ccc1NC(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC48857559	Nc1c[nH+]c2ccc(Br)cc2c1N1CCCCC1CO
ZINC49560679	[NH3+]Cc1ccc(S(=O)(=O)/N=c2\[nH]c3c(s2)CCCC3)s1
ZINC49596368	COc1ccc(COc2cccc(F)c2C(N)=[NH2+])cc1Br
ZINC50369189	COC1CCCC1Nc1c(N)c[nH+]c2ccc(Br)cc12
ZINC52094621	CC[NH2+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C1CC1C
ZINC52094670	CC[NH2+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C(C)CC
ZINC15931382	NC(=O)c1cc2ccc(O)cc2o/c1=[NH+]\c1cccc2ccccc12
ZINC56541072	COc1c(Cl)cccc1NC(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC57772680	CC(C)Oc1ccc(NC(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC58627293	[NH3+]c1cc2c(cc1NCc1cccc(Br)c1)OCCO2
ZINC52094699	CCC[NH2+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C(C)(C)C
ZINC61305762	COC(=O)c1ccc(NC(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC62794742	NC(=[NH2+])c1ccc(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1
ZINC63407521	O=C(NC1CC[NH+](CC2CCCC2)CC1)NC1c2ccccc2CC1O
ZINC63750913	O=C(CC1=c2ccccc2=[NH+]C1)NC1NNC(Cc2ccccc2)S1
ZINC65468061	CC[NH+]1CC2C(c3ccc(OC)c(O)c3)NC(CO)(c3ccccc3)C2C1
ZINC66244814	[NH2+]=C(NCc1cc(Br)c2c(c1)OCO2)NC1CCCC1
ZINC67654563	Cc1c[nH+]c(NCc2cccnc2Oc2c(C)cccc2C)nc1N
ZINC06136635	COc1ccc(N2CC[NH+](C(c3cc4cc5c(cc4[nH]c3=O)OCO5)c3nnnn3C3CCCC3)CC2)cc1
ZINC08920309	CC[NH+]1CCc2c(sc(NC(=O)c3ccc(S(=O)(=O)N4CC(C)CC(C)C4)cc3)c2C(=O)NC)C1
ZINC08920851	CCC1CCCCN1S(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(=O)NC)CC[NH+](C(C)C)C3)cc1
ZINC09307191	COc1ccc(Cl)cc1NC(=O)C1C2C(=O)N(Cc3ccccc3)C(=O)C2C2c3ccccc3C=C[NH+]12
ZINC09331831	Cc1ccc2c(c1C)NC(=O)C21C(C(=O)c2cccc([N+](=O)[O-])c2)C2(C(=O)Nc3ccccc32)C2CCC[NH+]21
ZINC09369204	CCOC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N3CC(C)CC(C)C3)cc2)sc2c1CC[NH+](C)C2
ZINC09407053	COc1ccccc1N1CC[NH+](CCCNC(=O)C2c3ccccc3C(=O)N(C)C2c2cccs2)CC1
ZINC10013217	CCOC(=O)c1ccccc1NC(=O)c1sc2nc(C)nc(N3CCN(c4cccc[nH+]4)CC3)c2c1C
ZINC12170618	O=C1c2cccc3cccc(c23)C(=O)N1CC1CC[NH+](CC(O)COCC2COc3ccccc3O2)CC1
ZINC12151213	Cc1ccc2[nH+]c(N(C)Cc3ccn[nH]3)c(CN(CC3CCCO3)C(=O)c3ccc4c(c3)OCO4)cc2c1
ZINC20617254	COc1cccc(/[NH+]=c2\oc3c(C)ncc(COC(C)=O)c3cc2C(=O)Nc2ccc(OC)cc2OC)c1
ZINC20687458	CC1CCN(S(=O)(=O)c2ccc3c(c2)N(CC(=O)NCC[NH+](C)Cc2ccccc2)C(=O)CS3)CC1
ZINC25397531	Cc1ccc2c(c1)C1C[NH+](C)CCC1N2C(=S)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Cl
ZINC34748842	Cc1ccccc1NC(=O)C[NH+]1CCN(c2nc3sc(C)c(C)c3c(=O)n2CC(=O)N2CCCC2)CC1
ZINC35032991	CC1C[NH+](C(C)c2nc3ccc(Cl)cc3c(=O)n2C)CCN1C(=O)Nc1ccccc1Br
ZINC36013860	CCOC(=O)C1=C(C[NH+]2CCCN(C(=O)c3ccco3)CC2)N(CC)C(=O)NC1c1ccc(Cl)cc1
ZINC38673074	CN1CCCc2cc(C(CNC(=O)c3ccc(S(=O)(=O)N4CCCCC4)cc3)N3CC[NH+](C)CC3)ccc21
ZINC36704443	CC[NH+]1CCc2c(sc(NC(=O)C3CCCN3S(=O)(=O)c3ccc(Cl)s3)c2C(=O)OC)C1
ZINC39468259	CSP1(=O)N[NH+]2CC3C=C(S(=O)(=O)Oc4ccccc4)C(Cc4ccccc4)=CC3CC2CO1
ZINC39560803	COC(=O)C1CC2=C3CC=CC=C3N=C2C2CC([NH2+]CCNC(C)=O)CC(c3ccc(Cl)c(F)c3)N12
ZINC39596826	Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N1CC(C(=O)NC(C)c2ccccc2)C2(CC[NH2+]CC2)C1
ZINC39636651	Cc1ccc(C)c(CNC(=O)C2CN(C(=O)COc3cccc4c(C)cc(=O)oc34)CC23CC[NH2+]CC3)c1
ZINC39652736	CCOc1ccccc1CCNC(=O)C1CN(C(=O)c2ccc(OC)c(C(F)(F)F)c2)CC12CC[NH2+]CC2
ZINC39652762	CCOc1ccccc1CCNC(=O)C1CN(C(=O)c2ccc(Oc3ccccc3)nc2)CC12CC[NH2+]CC2
ZINC39653074	COc1cc(CCNC(=O)C2CN(C(=O)c3cccc(Cl)c3Cl)CC23CC[NH2+]CC3)cc(OC)c1
ZINC39654019	CCOc1ccc(CCNC(=O)C2CN(C(=O)c3ccc(Oc4ccccc4)nc3)CC23CC[NH2+]CC3)cc1
ZINC39665049	CC(CNC(=O)C1CN(C(=O)c2cccc3c2-c2ccccc2C3=O)CC12CC[NH2+]CC2)Oc1ccccc1
ZINC39667152	Cc1ccc(CCNC(=O)C2CN(C(=O)COc3cccc4c(C)cc(=O)oc34)CC23CC[NH2+]CC3)c(C)c1
ZINC39675353	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)COc3cccc(Cl)c3)CC23CC[NH2+]CC3)cc1
ZINC39675407	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3csc(Cl)c3OC)CC23CC[NH2+]CC3)cc1
ZINC39675408	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3csc(Cl)c3OC)CC23CC[NH2+]CC3)cc1
ZINC39675433	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3cc(C)oc3C(F)(F)F)CC23CC[NH2+]CC3)cc1
ZINC39677916	CCC(C(=O)N1CC(C(=O)NCC2CN(Cc3ccccc3)CCO2)C2(CC[NH2+]CC2)C1)c1ccccc1
ZINC39684492	Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N1CC(C(=O)NC(C)C(C)(C)C)C2(CC[NH2+]CC2)C1
ZINC39685039	O=C1c2ccccc2-c2c1cccc2C(=O)N1CC(C(=O)NCCOc2ccccc2F)C2(CC[NH2+]CC2)C1
ZINC39685308	O=C1c2ccccc2-c2c1cccc2C(=O)N1CC(C(=O)NCCOc2cccc(F)c2)C2(CC[NH2+]CC2)C1
ZINC39687255	O=C(NC(Cc1ccccc1)C(=O)N1CCCCC1)C1CN(C(=O)CCC2CCCC2)CC12CC[NH2+]CC2
ZINC39687310	Cc1ccc(CC(=O)N2CC(C(=O)NC(Cc3ccccc3)C(=O)N3CCCCC3)C3(CC[NH2+]CC3)C2)cc1
ZINC39688165	O=C1c2ccccc2-c2c1cccc2C(=O)N1CC(C(=O)NCCOc2ccc(F)cc2)C2(CC[NH2+]CC2)C1
ZINC39696206	CCc1ccc(C(C)NC(=O)C2CN(C(=O)c3c(Br)c(C)nn3CC)CC23CC[NH2+]CC3)cc1
ZINC40986369	Cc1ccc(CS(=O)(=O)c2ncc(C(=O)NCC(c3ccc(N(C)C)cc3)[NH+](C)C)c(Cl)n2)cc1
ZINC40988880	COc1ccc(OC)c(C(CNC(=O)c2nn(C3CCS(=O)(=O)C3)c3c2CCCC3)[NH+]2CCCCC2)c1
ZINC38740765	CC(NC(=O)C1CC=CCC1C(=O)N1CCN(c2cccc[nH+]2)CC1)C(O)(c1ccccc1)c1ccccc1
ZINC49488433	C[NH+](C)C(CNC(=O)C(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1cccs1)CCC2)c1cccs1
ZINC52627261	CCOc1ccc(S(=O)(=O)N(CC(=O)/N=N/C2=c3cnccc3=[NH+]C2O)c2ccc(Cl)cc2)cc1
ZINC20533602	Cn1c(CCN2CCN(c3cccc[nH+]3)CC2)nc2cc(NC(=O)COc3ccc([N+](=O)[O-])cc3)ccc21
ZINC39980295	COc1ccc(OC)c(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2ccc(Br)cc2)c1
ZINC63350969	Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C(=O)NCCC3=c4ccccc4=[NH+]C3)C(C)C)CC2)cc1
ZINC63383533	CC(C)OCCCNC(=O)C(NC(=O)C1CC2=c3ccccc3=[NH+]C2C2c3ccccc3C(=O)N12)C(C)C
ZINC63458321	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccccc43)C2C(=O)N1c1ccc(F)c(Cl)c1
ZINC03003346	Cc1ccc(C)c(C(Nc2cccc[nH+]2)c2ccc3ccc(C)nc3c2O)c1
ZINC02110215	O=[N+]([O-])c1ccc(C2[NH2+]C(c3ccccc3)Cc3c2[nH]c2ccccc32)cc1
ZINC04275287	COC(=O)c1c(NC(=O)c2ccccc2Cl)sc2c1CC(C)(C)[NH2+]C2(C)C
ZINC02838753	CCc1ccc(C(Nc2cc(C)cc[nH+]2)c2ccc3ccc(C)nc3c2O)cc1
ZINC04577374	CCOc1cc2c(cc1OCC)C(c1cc(Cl)cc(Cl)c1O)[NH2+]CC2
ZINC04729190	COc1ccc(C2N=C(c3ccc(C)cc3)CC(c3ccccc3O)[NH2+]2)cc1
ZINC04729339	COc1ccc(C2=NC(c3ccc(F)cc3)[NH2+]C(c3ccccc3O)C2)cc1
ZINC05274707	C[NH+]1CCc2c(sc3c2C(O)=NC(c2ccc(-c4ccc(Cl)cc4)o2)N3)C1
ZINC05050493	COc1cc(S(=O)(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)ccc1Br
ZINC09542407	CCOc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccc(C)cc3C)[NH2+]2)c1O
ZINC09543047	COc1ccc(C2=NC(c3ccc(F)c(Br)c3)[NH2+]C(c3ccccc3O)C2)cc1
ZINC12293636	Cc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3ccc(Cl)c(Cl)c3)CC1)O2
ZINC12318350	Cc1cc(C)c(NC(=O)C2CCC[NH+]2C23CC4CC(CC(O)(C4)C2)C3)c(C)c1
ZINC12329636	Cc1cc2c(cc1Cl)C(O)CC1(CC[NH+](CC(O)c3ccc(F)cc3)CC1)O2
ZINC12909366	CC([NH2+]C(C)c1cc2ccccc2o1)C(=O)Nc1cccc2ccccc12
ZINC05590462	Oc1c(C(Nc2cccc[nH+]2)c2cccc(Br)c2)ccc2cccnc12
ZINC05590469	Oc1c(C(Nc2cccc[nH+]2)c2cccc(Br)c2)ccc2cccnc12
ZINC06457190	Oc1c(C(Nc2cccc[nH+]2)c2ccccc2Br)cc(Cl)c2cccnc12
ZINC15015515	Oc1c(C(Nc2cccc[nH+]2)c2cccc(Cl)c2Cl)ccc2cccnc12
ZINC09319331	Cc1ccc(NC(=O)c2cc3cc(Br)cc(Br)c3oc2=[NH2+])cc1
ZINC20522757	O=C(Nc1c(O)oc2ccccc2c1=[NH+]Cc1ccccc1)c1ccccc1Cl
ZINC20762918	COc1ccccc1C1N=C(c2ccc(C)cc2)CC(c2cc(Br)ccc2O)[NH2+]1
ZINC20864734	CCc1[nH]c(CN2CCc3c([nH]c4ccccc34)C2c2ccccc2C)c(C)[nH+]1
ZINC22077824	O=[N+]([O-])c1ccc2[nH]c3c(c2c1)CCCC3[NH2+]C1CCc2ccccc2C1
ZINC25990296	C[NH+]1CC=C(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Br)oc23)CC1
ZINC28823567	COc1c(O)ccc2c1C1=C(/C(=C/c3cccc(C)n3)O2)C2C(C)=CC(C)(C)[NH2+]C2C=C1
ZINC01326557	Cc1cccc(C)c1NC(=O)C1=CC2=[NH+]C(C3CC3)CC(C(F)(F)F)N2N1
ZINC38789822	CCc1ccc2c(c1)=CC(CNc1cc(C(F)(F)F)ccc1O)C(=O)[NH+]=2
ZINC39351930	C1=c2cc(Oc3ccccc3)ccc2=[NH+]C1C1NNC(c2ccccn2)S1
ZINC39500166	Cc1ccc(N2N=CC3C([NH2+]Cc4cc5ccccc5[nH]4)CCCC32)cc1C
ZINC39776621	CCc1cc(C2[NH+]=NC=C2c2ccc(Br)cc2)c(O)cc1O
ZINC40177145	Cc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(I)cc1
ZINC40177400	COc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(I)cc1
ZINC40631346	COC1C[NH2+]C(C(=O)Nc2c(Br)cc(Br)cc2Br)C1
ZINC41155852	CCC1CCC([NH3+])(c2noc(-c3ccc(I)cc3)n2)CC1
ZINC45944555	Cc1ccc(NC(c2cccnc2)c2cc(Cl)c3cccnc3c2O)[nH+]c1
ZINC45944572	Cc1ccc(NC(c2ccncc2)c2cc(Cl)c3cccnc3c2O)[nH+]c1
ZINC36200759	COc1ccc(C([NH3+])c2ccc(Br)s2)c(OC)c1OC
ZINC32117038	Oc1cc(Br)c(Br)cc1/C=[NH+]/C1=NNC(c2ccccc2)=CS1
ZINC49301006	CC(C)[NH+]1CCC(NC(=O)Nc2cc(Br)ccc2I)C1
ZINC50330553	C[NH2+]C1CCCc2nc(-c3cc(Br)c(O)c(OC)c3)sc21
ZINC54621923	Cc1ccc2ccc(C(Nc3cccc(C)[nH+]3)c3cccs3)c(O)c2n1
ZINC58407517	CC1CN(C(C)(C)C[NH2+]Cc2cc(Br)ccc2O)CC(C)O1
ZINC59171143	COc1ccc(/[NH+]=c2\oc3ccc4ccccc4c3cc2C(N)=S)cc1
ZINC59276669	Cc1ccc(CN(C(=O)Nc2ccccc2C)C2CC(C)(C)[NH2+]C(C)(C)C2)o1
ZINC61406054	CCC([NH3+])C(Sc1nnc2ccccn12)c1cc(Br)cs1
ZINC63503138	c1ccc(C2NNC(SCC3=c4ccccc4=[NH+]C3)N2c2ccccc2)cc1
ZINC63743913	Cc1cc(C)cc(NC(=O)Nc2ccc(C3C=c4cc(F)ccc4=[NH+]3)cc2)c1
ZINC63746816	COc1ccc(Cl)cc1NC(=O)Nc1ccccc1C1C=c2ccccc2=[NH+]1
ZINC63746889	Cc1ccc(NC(=O)Nc2ccccc2C2C=c3ccccc3=[NH+]2)cc1F
ZINC03840741	CC(C(=O)N1CC[NH+](C)CC1)C1CCC2(C)Cc3sc(NC(=O)CC(C)(C)C)nc3C(C)C2C1O
ZINC02709621	Cc1sc(NC(=O)c2ccco2)c(C(Nc2cccc[nH+]2)c2cccc(Br)c2)c1C
ZINC08869115	O=c1[nH]c(=O)n(-c2ccc(F)cc2)c2c1C(C(F)(F)F)(C(F)(F)F)[NH+]=C(Cc1ccccc1)N2
ZINC09542469	CCOc1cccc(C2CC(c3ccc(CC)cc3)=NC(c3cc(Br)ccc3OC)[NH2+]2)c1O
ZINC09542651	CCOc1cccc(C2CC(c3cccc(Br)c3)=NC(c3cccc(OC)c3)[NH2+]2)c1O
ZINC09543187	CCOc1ccccc1C1N=C(c2cccc(OC)c2)CC(c2cc(Br)ccc2O)[NH2+]1
ZINC12372035	Cc1nc(SCC(=O)N2CC[NH+](C34CC5CC(CC(C5)C3)C4)CC2)[nH]c1Cc1ccc(O)cc1
ZINC16481165	CC(C(=O)Nc1ccc(Br)cc1Br)[NH+]1CCN(c2ccccc2O)CC1
ZINC16633236	C[NH+](CCC(=O)Nc1sc2c(c1C#N)CCCCC2)CC(=O)Nc1ccccc1Br
ZINC20765126	CCOc1ccccc1C1N=C(c2ccc(Br)cc2)CC(c2cccc(OCC)c2O)[NH2+]1
ZINC22919553	Cc1cccc(NC(=O)C[NH+]2CCN(CN3C(=O)NC(C)(c4cccc5ccccc45)C3=O)CC2)c1C
ZINC26197022	CC[C@H](C)Cc1c(C)sc2nc(SCc3cc(O)oc4cc(=[NH+]C(C)=O)ccc3-4)[nH]c(=O)c12
ZINC28048967	Cn1c(=O)n(C)c2cc(S(=O)(=O)Nc3c(O)oc4ccccc4c3=[NH+]C3CCCCC3)ccc21
ZINC28823511	COc1c(O)ccc2c1C1=C(/C(=C/c3cccc(-c4cccnc4)c3)O2)C2C(C)=CC(C)(C)[NH2+]C2C=C1
ZINC35760397	COc1ccc(NC(=O)C2=C(C)[NH+]=C3SCCCN3C2c2ccc(NC(=O)C(C)Cl)cc2)cc1
ZINC19287567	CCN1CC[NH+](c2ccc(/N=C/c3cc(Br)c(O)c(Br)c3O)cc2)CC1
ZINC13831093	Oc1ccc(Cl)cc1C1CC(c2ccc3c(c2)OCO3)=NC(c2ccc(F)c(Br)c2)[NH2+]1
ZINC20616153	CCOc1ccc(/C=N/NC(=O)c2ccccc2O)cc1C[NH+]1CC2CC(C1)c1cccc(=O)n1C2
ZINC09541742	COc1ccccc1C1N=C(c2ccc3c(c2)OCO3)CC(c2cc(Br)ccc2O)[NH2+]1
ZINC01326743	COc1ccc2nc(NC(=O)C3=CC4=[NH+]C(c5ccc6c(c5)OCO6)CC(C(F)(F)F)N4N3)sc2c1
ZINC03011876	O=C(Nc1cc(Cl)ccc1Cl)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc(Cl)cc1)N2
ZINC03011934	COc1ccc(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2ccc(Cl)cc2)N3)cc1Cl
ZINC03011938	COc1ccc(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2ccc(Cl)cc2)N3)cc1Cl
ZINC03011403	COc1ccc(OC)c(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2ccc(Cl)cc2)N3)c1
ZINC38547624	Cc1cccc(NC(c2ccc(C(F)(F)F)cc2)c2c(NC(=O)c3ccco3)sc(C)c2C)[nH+]1
ZINC39330108	O=C1[NH+]=c2ccccc2=C(c2ccccc2)C1SC1NNC(c2cccs2)N1c1ccccc1
ZINC39467417	O=P1(c2ccccc2O)N[NH+]2CC3C=C(Cc4ccccc4)C(Br)=CC3CC2CO1
ZINC39530134	O=S(=O)(Oc1ccccc1)C1CN(c2ccc(Br)cc2-c2ccccc2O)CC[NH2+]1
ZINC16213773	COc1cc(-c2[nH]c(-c3ccc(C(=O)c4ccc(F)cc4)cc3)c(-c3ccccc3)[nH+]2)cc(OC)c1O
ZINC38551111	CSc1ccc(C(Nc2cccc(C)[nH+]2)c2c(NC(=O)c3ccco3)sc3c2CCCC3)cc1
ZINC43527968	Cc1nc(-c2cccs2)cc(C2C[NH+]3CCC2CC3CNC(=O)Nc2cccc(C(F)(F)F)c2)n1
ZINC43741012	CC12CCC3(CC1=CCC1C2CCC2(C)C1CCC2(O)C/[NH+]=C/c1cc(Cl)cc(Cl)c1O)OCCO3
ZINC52565987	O=C(Nc1cccc(C2=c3cc(C4=NC=CC4)cnc3=[NH+]C2)c1)Nc1ccccc1Oc1ccccc1
ZINC02430474	O=C1Nc2ccccc2C12N/C(=N\C1=NC3=c4ccccc4=NC3=[NH+]1)N2c1cccc(C(F)(F)F)c1
ZINC15947261	CCOc1cc(C2N=C(O)c3c(sc4c3CC[NH+](CC)C4)N2)ccc1OC(=O)c1cccc2ccccc12
ZINC63135268	O=C(CN1NC(c2cccs2)OC1=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC63182433	CN(C)c1ccc(C(CNC(=O)CC2Sc3ccccc3NC2=O)C2=c3ccccc3=[NH+]C2)cc1
ZINC63372535	Cc1ccc(N2C(=O)C(C3NCCC4=c5ccccc5=[NH+]C43)C(O)N(c3ccc(C)cc3)C2=O)cc1
ZINC63479909	Cc1ccc(N2C(=O)C3C(CC4=c5ccccc5=[NH+]C4)NC4(C(=O)Nc5c(C)cccc54)C3C2=O)cc1
ZINC63480086	Cc1cccc(N2C(=O)C3C(CC4=c5ccccc5=[NH+]C4)NC4(C(=O)Nc5ccc(C)cc54)C3C2=O)c1
ZINC63480088	Cc1cccc(N2C(=O)C3C(CC4=c5ccccc5=[NH+]C4)NC4(C(=O)Nc5ccc(C)cc54)C3C2=O)c1
ZINC63547063	Cc1ccc(C2=NC3C(C(=O)NCCC4=c5cc(Cl)ccc5=[NH+]C4)=CNN3C(C(F)F)=C2)cc1
ZINC63588689	Cc1ccc(N/C(=N\C(=O)c2ccc(Br)cc2)NCCC2=c3ccccc3=[NH+]C2)c(C)c1
ZINC63588702	Cc1cc(C)cc(N/C(=N\C(=O)c2ccc(Br)cc2)NCCC2=c3ccccc3=[NH+]C2)c1
ZINC63588774	Cc1ccc(N/C(=N\C(=O)c2cccc(Br)c2)NCCC2=c3ccccc3=[NH+]C2)c(C)c1
ZINC63589171	Cc1ccc(C)c(N/C(=N\C(=O)c2cccc(Br)c2)NCCC2=c3ccccc3=[NH+]C2)c1
ZINC63746614	CCOc1ccccc1NC(=O)Nc1cc(C)cc2c1=[NH+]C(C(=O)N1CCOCC1)C=2c1ccccc1
ZINC63746623	CCOc1ccc(NC(=O)Nc2cc(C)cc3c2=[NH+]C(C(=O)N2CCOCC2)C=3c2ccccc2)cc1
ZINC40060136	O=C1CC(C(=O)N/N=C/c2c(O)c(Br)cc3oc4c(c23)CCCC4)=c2ccccc2=[NH+]1
ZINC64518596	CC1=C(C(=O)N2CCC(C(C)C(=O)NCCC3=c4ccccc4=[NH+]C3)CC2)CN(c2ccccc2)N1
ZINC08791491	COc1c2c(cc3c1C(c1c(O)[nH]c(=S)n(-c4ccc(C(C)C)cc4)c1=O)[NH+](C)CC3)OCO2
ZINC08837796	COc1cc(C(=O)Oc2ccc(C3N=C(O)c4c(sc5c4CC[NH+](C)C5)N3)cc2)cc(OC)c1OC
ZINC09303334	COC(=O)c1c(NC(=O)C[NH+]2CCC3(O)CCCCC3C2c2ccc(F)cc2)sc2c1CCCC2
ZINC09315538	Cc1ccccc1C(c1c(N)n(CC(C)C)c(=O)n(C)c1=O)[NH+]1CCN(c2ccccc2F)CC1
ZINC09509316	COc1ccc(C(CNC(=O)CN2C(=O)NC3(CC(C)CC(C)(C)C3)C2=O)[NH+]2CCCCC2)cc1
ZINC02785305	CC[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(COc4ccc(Cl)c(Cl)c4)o2)N3)C1
ZINC12497094	CCOC(=O)C1(c2ccccc2)[NH2+]C(c2ccc(O)c(OC)c2)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC12497100	CCOC(=O)C1(c2ccccc2)[NH2+]C(c2ccc(O)c(OC)c2)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC12497186	COC(=O)C1(Cc2ccc(O)cc2)[NH2+]C(c2ccccc2OC)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC12497389	COC(=O)C1(c2ccccc2)[NH2+]C(c2ccc(O)c(OC)c2)C2C(=O)N(c3ccc(C)cc3)C(=O)C21
ZINC09321955	Cc1ccccc1C(c1c(N)n(CC(C)C)c(=O)n(C)c1=O)[NH+]1CCN(c2ccccc2F)CC1
ZINC12763675	Cc1ccc(C)c(-n2nc(C)cc2NC(=O)C[NH+](C)CC(=O)Nc2ccccc2Br)c1
ZINC14994631	Cc1c(C(=O)N2CCC([NH+]3CCCC(CO)C3)CC2)sc2ncnc(NCCC3=CCCCC3)c12
ZINC15768959	COc1ccc(OC)c(C2[NH2+]C(c3cc(OC)ccc3OC)C(C)C(O)(c3ccc(F)cc3)C2C)c1
ZINC19961713	O=C(CC1C(=O)NCCN1C(=O)C[NH+]1CCN(c2ccccc2F)CC1)Nc1cccc2ccccc12
ZINC22620725	CC(Sc1nnc(C(C)[NH+](C)C)n1-c1ccc(Cl)cc1)C(=O)NC(=O)NC1CCCCC1
ZINC24904285	Cc1cc(C[NH2+]C2CCC(Nc3ncc(-c4ccsc4)c4nc(C(F)(F)F)ccc34)CC2)no1
ZINC02672077	Cc1ccc2nc(NC3CC(C)(C)[NH2+]C(C)(C)C3)c(/C=C3\SC(=S)N(C(C)C)C3=O)c(=O)n2c1
ZINC32802155	CCOc1cccc2cc(C(C)NC(=O)N3CC[NH+](CC(=O)Nc4cccc(C)c4C)CC3)oc12
ZINC34785067	CCOC(=O)c1c(NC(=O)N2CC[NH+](CC(=O)Nc3ccc(C)cc3)CC2)sc2c1CC(C)(C)OC2
ZINC35806813	CCOc1ccccc1C(=O)C1C2CCC[NH+]2C2(C(=O)Nc3c(C)cccc32)C12C(=O)Nc1ccccc12
ZINC35807683	COc1ccccc1C(=O)C1C2CCC[NH+]2C2(C(=O)Nc3c(C)cccc32)C12C(=O)Nc1ccccc12
ZINC01326717	O=C(Nc1ccc2c(c1)OCCO2)C1=CC2=[NH+]C(c3ccc4c(c3)OCO4)CC(C(F)(F)F)N2N1
ZINC02791384	FC(F)(F)C1CC(c2ccc(Cl)cc2)[NH+]=C2C=C(c3n[nH]c(=S)n3Cc3ccccc3)NN21
ZINC38732085	O=C(NNc1cccc(Br)c1)C1CCCCC1C(=O)N1CCN(c2cccc[nH+]2)CC1
ZINC38976336	O=C(O)c1ccc(NC2[NH+]=c3ccccc3=N/C2=N\S(=O)(=O)c2cccc3nsnc23)cc1
ZINC39531985	Cc1ccc(C(CNI)N2CC[NH2+]C(S(=O)(=O)Oc3ccccc3)C2)cc1
ZINC39639370	Cc1ccc(C(C)NC(=O)C2CN(C(=O)c3cccnc3Sc3ccccc3)CC23CC[NH2+]CC3)cc1
ZINC39639421	Cc1ccc(C(C)NC(=O)C2CN(C(=O)C(Oc3ccccc3)C(C)C)CC23CC[NH2+]CC3)cc1
ZINC39639423	Cc1ccc(C(C)NC(=O)C2CN(C(=O)C(Oc3ccccc3)C(C)C)CC23CC[NH2+]CC3)cc1
ZINC39675523	COc1ccc(CCC(C)NC(=O)C2CN(C(=O)c3c(F)ccc(Cl)c3F)CC23CC[NH2+]CC3)cc1
ZINC40570115	COc1cc(-c2c3c(nc4sc(C(=O)Oc5ccccc5C)c(N)c24)CC[NH+](C)C3)cc(OC)c1OC
