ZINC02780389	Cc1nn(C)cc1C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC37064141	Cc1ccc(N)c(S(=O)(=O)N2CCCC2C(N)=O)c1C
ZINC37243998	NC(=S)CNC(=O)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC37244231	NC(=S)CNC(=O)C(=O)Nc1cc(Cl)cc(Cl)c1
ZINC37338844	N/C(=N\O)c1cccc(C(=O)N2CCCCC2CCO)c1
ZINC37338848	N/C(=N\O)c1ccc(C(=O)N2CCCCC2CCO)cc1
ZINC02539723	OCC1OC(Oc2cccc3ccccc23)C(O)C(O)C1O
ZINC38051353	NC(=O)c1cccc(CN2CCSc3ccc(N)cc32)c1
ZINC40167695	Nc1ccc(NC(=S)NC2CS(=O)(=O)CC2Cl)cc1
ZINC40310972	COC(=O)c1c(NC(=O)c2cc(N)c[nH]2)sc(C)c1C
ZINC40322147	CC(c1ccc(Cl)cc1)N(C)C(=O)c1cc(N)cc(N)c1
ZINC40326013	CCC1c2ccsc2CCN1C(=O)c1ccc(N)cc1N
ZINC40364027	Cc1n[nH]c(C)c1S(=O)(=O)NC1(C(N)=S)CCCC1
ZINC40962763	Cc1ccc(S(=O)Cc2ccc(C(N)=O)cc2N)c(C)c1
ZINC41067902	Nc1csc(S(=O)(=O)NCC(O)c2ccccc2)c1
ZINC42427630	CC1CCC(C(N)=O)CN1c1cc2c(cc1N)OCCO2
ZINC42438944	CC1CCC(C(N)=O)CN1c1ccc(C(N)=S)cc1F
ZINC44774293	NC(=O)C1CCCN1C(=O)C1(C(N)=S)CCCCCC1
ZINC44781321	NC(=O)C1CCCCN1C(=O)C1(C(N)=S)CCCCC1
ZINC44781524	NC(=O)CC1CCN(C(=O)C2(C(N)=S)CCCC2)CC1
ZINC44781577	CC(C)N(CC(N)=O)C(=O)C1(C(N)=S)CCCCCC1
ZINC44924287	CC1(Nc2cc3c(cc2N)CC(=O)N3)CCS(=O)(=O)C1
ZINC48947509	CN(CC1CCCCO1)c1cc(N)cc(S(N)(=O)=O)c1
ZINC49526817	CC(NC(=O)C(=O)NCC(N)=S)c1ccc(Cl)cc1
ZINC49538650	CC(/N=C1\C(=O)C(=O)C1Nc1cc[nH+]cc1)c1cccc(N)c1
ZINC50397198	Nc1ccc(S(=O)(=O)NC2CCCNC2=O)c(Cl)c1
ZINC50397239	Cc1ccc(N)c(S(=O)(=O)NC2CCCNC2=O)c1C
ZINC51040362	Nc1c[nH+]c2ccc(Br)cc2c1NCC(=O)[O-]
ZINC52010293	NC(=S)C1(C(=O)NC2CCCCC2O)CCCCCC1
ZINC52760241	Nc1cc2c(cc1N1CCCC1CCCO)NC(=O)CO2
ZINC54216981	CC1(NC(=O)c2cccc(F)c2NN)CCS(=O)(=O)C1
ZINC57476726	Nc1cc2c(cc1N1CCCCC1CCO)NC(=O)CO2
ZINC52094343	NC(c1cc2[nH]c(=O)[nH]c2cc1Br)C(F)(F)F
ZINC61364076	Cn1c(N)c(NC2CCCc3sccc32)c(=O)[nH]c1=O
ZINC61374299	Cc1ccc(NN)c(C(=O)NC2CCCc3sccc32)c1
ZINC61678081	CCC(C(N)=O)N1C(=O)C(N)c2cccc(Br)c21
ZINC61948906	NC(=O)c1cc(N)ccc1N1CCN(CC(F)(F)F)CC1
ZINC04548210	CC(C)CC1(C(=O)[O-])[NH2+]C(c2ccccc2O)C2C(=O)N(Cc3ccccc3)C(=O)C21
ZINC09349007	CC1(CSc2ccccc2C(=O)NC2CCSc3ccccc32)NC(=O)NC1=O
ZINC08867388	CC1(C(=O)[O-])[NH2+]C(c2cc(Br)ccc2O)C2C(=O)N(Cc3ccccc3)C(=O)C21
ZINC13592171	CC(O)C1NC2(C(=O)Nc3ccc(Br)cc32)C2C(=O)N(CC3CCCO3)C(=O)C12
ZINC17179804	CC12CCC3C(CCC4(O)CC(O)CCC34/C=N/CC#N)C1(O)CCC2C1=CC(=O)OC1
ZINC34256005	CC(O)C1(C(=O)[O-])[NH2+]C(c2cc(Cl)cc(Cl)c2Cl)C2C(=O)N(C(C)(C)C)C(=O)C21
ZINC34256007	CC(O)C1(C(=O)[O-])[NH2+]C(c2cc(Cl)cc(Cl)c2Cl)C2C(=O)N(C(C)(C)C)C(=O)C21
ZINC34262061	CC(O)C1(C(=O)[O-])[NH2+]C(c2ccc(Br)cc2)C2C(=O)N(C3CCCCC3)C(=O)C21
ZINC34380494	Cc1ccc(N2C(=O)C3C(/C=C/c4ccccc4)[NH2+]C(C(=O)[O-])(C(C)O)C3C2=O)cc1Cl
ZINC34703472	CC(=O)OC1CCC2(CO)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1
ZINC34703473	CC(=O)OC1CCC2(CO)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1
ZINC35277501	O=C(CCCCC1C2NC(=O)NC2CS1(=O)=O)NC1CCSc2ccc(Cl)cc21
ZINC35876687	O=C([O-])C1[NH2+]C(c2ccccc2O)C2C(=O)N(c3cccc(Br)c3)C(=O)C12
ZINC35946834	CC12CCC3C(CCC4(O)CC(O)CCC34/C=N/CC#N)C1(O)CCC2C1=CC(=O)OC1
ZINC36330907	Nc1cc(Br)c(S(=O)(=O)NC2CCS(=O)(=O)CC2)c(Br)c1
ZINC19848380	CC1(C(=O)[O-])[NH2+]C(c2cc(Br)ccc2O)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC35457323	CC(O)C(O)/C=C/C=C/C(=O)OC1C=C2COC(=O)C2(O)C2(C)CCCC(C)(C)C12
ZINC38062534	Nc1cc(Br)cc(Br)c1S(=O)(=O)NCC1COCCO1
ZINC04086243	CC(CO)NC(=O)C(NC(=O)C1N2C(=O)c3ccccc3C2SC1(C)C)C(C)C
ZINC39543051	CN(C(=O)C1CC(S(=O)(=O)c2ccccc2)=C2Nc3ccccc3C[NH+]21)c1ccccc1O
ZINC39657807	Cc1ccc(C(=O)N2CC(C(=O)NC3CCC(C(=O)[O-])CC3)C3(CC[NH2+]CC3)C2)cc1
ZINC39657924	O=C([O-])C1CCC(NC(=O)C2CN(C(=O)c3cc(Cl)cc(Cl)c3)CC23CC[NH2+]CC3)CC1
ZINC39658172	O=C([O-])C1CCC(NC(=O)C2CN(C(=O)c3csc4ccccc34)CC23CC[NH2+]CC3)CC1
ZINC39662868	Cc1ccccc1CC(=O)N1CC(C(=O)NCC2CCC(C(=O)[O-])CC2)C2(CC[NH2+]CC2)C1
ZINC39662869	Cc1ccccc1CC(=O)N1CC(C(=O)NCC2CCC(C(=O)[O-])CC2)C2(CC[NH2+]CC2)C1
ZINC39662874	O=C([O-])C1CCC(CNC(=O)C2CN(C(=O)C3CCOCC3)CC23CC[NH2+]CC3)CC1
ZINC39682227	Cc1ccc(C(=O)N2CC(C(=O)NC(CC(=O)[O-])c3ccccc3)C3(CC[NH2+]CC3)C2)cc1
ZINC40348745	Nc1cc(Br)c(S(=O)(=O)NCC2CCS(=O)(=O)C2)c(Br)c1
ZINC40385554	NS(=O)(=O)CCCNS(=O)(=O)c1c(Cl)cc(Br)cc1Cl
ZINC41158622	Cn1cc(CNS(=O)(=O)c2c(Br)cc(N)cc2Br)cn1
ZINC33599085	Cc1ccccc1C1[NH2+]C(Cc2ccc(O)cc2)(C(=O)[O-])C2C(=O)N(C(C)(C)C)C(=O)C12
ZINC33897184	CC(C)(C)N1C(=O)C2C(c3cc(Cl)cc(Cl)c3Cl)[NH2+]C(CO)(C(=O)[O-])C2C1=O
ZINC43220997	CCc1ccc(N2C(=O)C3C(c4ccc(Br)cc4)[NH2+]C(CO)(C(=O)[O-])C3C2=O)cc1
ZINC33869202	Cc1ccccc1C1[NH2+]C(Cc2ccc(O)cc2)(C(=O)[O-])C2C(=O)N(c3ccccc3C)C(=O)C12
ZINC33630923	COc1ccc(C2[NH2+]C(CO)(C(=O)[O-])C3C(=O)N(c4ccccc4C)C(=O)C23)c2ccccc12
ZINC43221894	CCc1cccc(CC)c1N1C(=O)C2C(c3ccc(Cl)s3)[NH2+]C(C(=O)[O-])(C(C)O)C2C1=O
ZINC43509329	CC1(CO)OC(C)(n2cc(I)c(=O)[nH]c2=O)C(C)(C)C1(C)O
ZINC43509800	CC(O)C(O)/C=C/C=C/C(=O)OC1C=C2COC(=O)C2(O)C2(C)CCCC(C)(C)C12
ZINC43618836	CC(NC(=O)C1N2C(=O)c3ccccc3C2SC1(C)C)C(=O)NC(CO)C(C)C
ZINC43746698	CC(CO)NC(=O)C(NC(=O)C1N2C(=O)c3ccccc3C2SC1(C)C)c1ccccc1
ZINC44020984	CC1(C)OC2CC3C4CC(O)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
ZINC44173946	CC(C)(C)N1C(=O)C2C(c3ccc(/C=C/c4ccccc4)cc3)[NH2+]C(CO)(C(=O)[O-])C2C1=O
ZINC35375293	CCC(C)N1C(=O)C2C(C(C)O)NC3(C(=O)Nc4ccc(Br)cc43)C2C1=O
ZINC17878767	NC1=NC(=O)C(C2(O)C(=O)N(Cc3ccccc3Br)c3ccccc32)S1
ZINC13546967	COC1=C/C(=C\NNC(=O)C(=O)NCC2CCCO2)C=C(I)C1=O
ZINC15972849	CC(O)C1NC2(C(=O)Nc3ccc(Br)cc32)C2C(=O)N(CC3CCCO3)C(=O)C12
ZINC63315590	O=C(/C=C1/CSC(c2ccccc2F)N1)NC(CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC12402070	CC1(C(=O)[O-])[NH2+]C(c2cc(Br)ccc2O)C2C(=O)N(c3cccc(Cl)c3)C(=O)C21
ZINC63767198	NC(=O)C1C2=C(CCCC2)SC1NC(=O)CSC1=NC(=O)CC(c2ccccc2)=N1
ZINC64683468	CC1Cc2ccccc2N1C(=O)CNC(=O)NC(CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC01096543	Cc1cc(NC(c2ccncc2)c2oc(CO)cc(=O)c2O)no1
ZINC04025970	Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C([NH3+])C3SC2)s1
ZINC04039141	C=C1C(=O)OC2C(O)C(C)C3C(O)CC(O)C3(C)C(OC(C)=O)C12
ZINC00117001	COC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1cccnc1
ZINC05223557	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
ZINC05496473	O=c1nc(N2CCCCCC2)ccn1C1OC(CO)C(O)C1O
ZINC05641746	O=c1ccn(C2OC(CO)C(O)C2O)c(C2SCCCS2)n1
ZINC06282245	Cc1ccc(C)c(C2[NH2+]C(CO)(C(=O)[O-])C3C(=O)N(C(C)(C)C)C(=O)C23)c1
ZINC02779563	CCn1ncc(Br)c1C(=O)Nc1cnn(C)c1C(N)=O
ZINC06932930	COc1cccc(C2[NH2+]C(C)(C(=O)[O-])C3C(=O)N(C(C)(C)C)C(=O)C23)c1O
ZINC08344072	Cc1nnc(SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)s1
ZINC06381672	COc1ccc(N2C(=O)CC(Nc3cc(=O)[nH]c(=S)[nH]3)C2=O)cc1
ZINC13629980	Cc1nn(C)c(C)c1C1C(C#N)=C(N)Oc2c1oc(CO)cc2=O
ZINC15320539	CC(C)CC1(C(=O)[O-])[NH2+]C(c2ccccc2O)C2C(=O)N(C)C(=O)C21
ZINC17779640	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
ZINC23425540	CCCn1c(N)c(C(=O)CN2CC(C)OC(C)C2)c(=O)[nH]c1=O
ZINC01125891	CN1C(=O)C2(C(C#N)=C(N)Oc3c2oc(CO)cc3=O)c2ccccc21
ZINC36375235	CC(=O)OC1CC(C)(O)C2=CC(O)C(C)(O)C2C2OC(=O)C(C)C12
ZINC44169527	COC1OC(CO)C(O)C(O)C1N1C(=O)c2ccccc2C1=O
ZINC44890812	O=C(NCC1COc2ccccc2O1)C(=O)Nc1c[nH]ccc1=O
ZINC45019461	CC(C(=O)NCc1ccc(S(N)(=O)=O)s1)S(C)(=O)=O
ZINC45019463	CC(C(=O)NCc1ccc(S(N)(=O)=O)s1)S(C)(=O)=O
ZINC46811503	Cn1cc(S(=O)(=O)NC2CCCc3c2cnn3C)cc1C(N)=O
ZINC47068643	CC(=O)NNC(=O)NCCS(=O)(=O)N1CCc2ccccc21
ZINC49508803	CN1CCc2cc(C(CNC(=O)C(N)=O)N3CCOCC3)ccc21
ZINC49693036	NNc1ncc(Br)cc1S(=O)(=O)N1CCS(=O)CC1
ZINC01861929	CC(=O)NC1(C(F)(F)F)C(=O)Nc2c1c(=O)[nH]c(=O)n2CC(C)C
ZINC51105134	CC(C(=O)NCC1COc2ccccc2O1)N1CCOC(C(N)=O)C1
ZINC51130522	NC(=O)C1CN(Cc2nc3c(oc4ccccc43)c(=O)[nH]2)CCO1
ZINC51483942	NS(=O)(=O)c1cc(C(=O)N2CCCC(C(=O)NC3CC3)C2)cs1
ZINC52096727	Cc1c([N-]S(=O)(=O)c2cn(C)c[nH+]2)cccc1S(N)(=O)=O
ZINC46979293	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)N(C)CC(N)=O)C2=O
ZINC63264544	CC(C)(C)C(=O)N1CCCC(C(=O)NNC(=O)C(=O)NC2CC2)C1
ZINC39955851	O=C(NCC(O)c1ccccc1)C1NC(C2=CC3=CC=NC3C=C2)=NO1
ZINC39958886	CC(C)NC(=O)CNC(=O)C1NC(C2=CC3N=CC=C3C=C2)=NO1
ZINC63376290	O=C([O-])C(CC1=c2ccccc2=[NH+]C1)N1C(=O)c2ccccc2NC1O
ZINC04453341	COCc1[nH]nc2c1C1(C(=O)Nc3ccccc31)C(C#N)=C(N)O2
ZINC04453341	COCc1n[nH]c2c1C1(C(=O)Nc3ccccc31)C(C#N)=C(N)O2
ZINC05249070	COC(=O)C1=C(N)Oc2n[nH]c(C)c2C12C(=O)Nc1ccccc12
ZINC05249070	COC(=O)C1=C(N)Oc2[nH]nc(C)c2C12C(=O)Nc1ccccc12
ZINC63843566	CC1CCC(C(N)=O)CN1C(=O)c1cccc(CN2C(=O)CNC2=O)c1
ZINC64098512	O=C(CCN1C(=O)NC2(CCCCC2)C1=O)NC1CCCNC1=O
ZINC65395591	CNC(=O)c1n[nH]c2c1C(c1ccc3cccc(O)c3n1)CC(=O)N2
ZINC57050263	CC(C)(NC(=O)C1CC(=O)N(c2ccc3c(c2)OCCO3)C1)C(N)=O
ZINC65406460	CCOc1ccc(NC(=O)NC2CC3C(=O)NCC(=O)N3C2)cc1
ZINC65424999	CC1CN(CC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)CC(C)(C)O1
ZINC65794053	Cc1nn(C)c(C)c1C(C)NS(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC66836667	CC(NC(=O)C1CCOCC1)C(=O)N1CCCN(C(N)=O)CC1
ZINC66836669	CC(NC(=O)C1CCOCC1)C(=O)N1CCCN(C(N)=O)CC1
ZINC67268245	CC(CNC(=O)C1CCC2(CC1)NC(=O)NC2=O)Cn1cccn1
ZINC67509102	Cc1cc(-c2cc(C(=O)NCC(N)=O)c3c(C)noc3n2)c(C)o1
ZINC67562617	CSCc1ccc(NC(=O)C(=O)N2CCOC(C(N)=O)C2)cc1
ZINC04773054	CC(C)(C)N(O)C(=O)NCCCl
ZINC00478273	Cc1nn(C(C)(C)C)c(N)c1C#N
ZINC01666485	CCC1(C(C)C)NC(=O)NC1=O
ZINC04159347	Cc1ccc(C2(C)NC(=O)NC2=O)cc1
ZINC04575270	Cc1cc(N)n(C(C)c2ccco2)n1
ZINC19264947	Cc1ccccc1Cc1nnc(N)o1
ZINC20266729	C=CCn1c(=O)oc2ccc(N)cc21
ZINC21792649	Nc1ccsc1-c1nc(C2CC2)no1
ZINC21948356	CC(C)n1c(N)c2ccccc2nc1=O
ZINC35287832	CCCc1[nH]c(=O)c(CC)c([O-])[nH+]1
ZINC28531859	Cn1c(N)nnc1C1CCCCC1
ZINC36749273	CCN(c1c(N)c(C)nn1C)C1CC1
ZINC36657552	Cc1ccc(Cc2nnc(N)o2)cc1
ZINC36937186	Cc1ccc(-c2noc(N)c2C)o1
ZINC37078323	CCN(C)c1cc2c(cc1N)OCCO2
ZINC02548494	CC(C)(C)c1cc(N)n(CCC#N)n1
ZINC37475114	Cc1noc(-c2ccc(F)c(N)c2)n1
ZINC37492032	CCC(C)C1(C)NC(=O)NC1=O
ZINC37913032	CCC1CCCN1c1c(N)c(C)nn1C
ZINC35188598	COC1=CC(=O)/C(=C2/NCC(C)N2)C=C1
ZINC35188600	COC1=CC(=O)/C(=C2/NCC(C)N2)C=C1
ZINC08939878	CC(C)CNC(=O)NC(=O)C(C)Cl
ZINC36905718	CC(C)C(C)NC(=O)NC(=O)CCl
ZINC39937243	COC(=O)C1=C(N)N=C2C=CCC=C21
ZINC40361978	CCC(C)(C#N)NC(=O)NC(C)C
ZINC40455873	CN(CC1CC1)c1ncc(N)cn1
ZINC40516835	Cc1cccc(-n2ccc(N)n2)n1
ZINC40933442	CCCn1c(C(C)C)c(N)c(=O)n1C
ZINC41043683	CCc1c(N)c(=O)n(CC)n1CC
ZINC43113913	CC1CC1CNC(=O)c1ccc[nH]c1=O
ZINC43113917	CC1CC1CNC(=O)c1ccc[nH]c1=O
ZINC43556684	CCC(C#N)N1CCCCC1C(N)=O
ZINC44713203	O=C([O-])c1[nH+]ccc2c(Cl)c[nH]c12
ZINC44965578	Cc1cc(C)c(-n2cnnc2)cc1N
ZINC48611096	CCCc1c(N)c(=O)n(C(C)C)n1C
ZINC50871213	Cc1ccc(-c2ccc(C#N)c(N)n2)o1
ZINC52708810	CC1CCCC(c2noc(N)n2)C1
ZINC52813584	Cc1cc(N)cnc1-n1ccnc1C
ZINC08101044	O=C1NC(=O)/C(=C/C2CCCCC2)N1
ZINC53096658	OCC1(Nc2cnccn2)CCCCC1
ZINC37978332	C#CCNc1[nH+]c(C)cc(C)c1C(=O)[O-]
ZINC61569591	CCCC(C)C1NC(=O)NC1=O
ZINC61839628	CC(C)(C)CC1NC(=O)NC1=O
ZINC61992348	CC(C)C(C(=O)[O-])C1(O)CC[NH+](C)C1
ZINC62063542	CCC(C)NC(=O)NC1CCOCC1
ZINC62063544	CCC(C)NC(=O)NC1CCOCC1
ZINC62238190	CCc1c(C2CCCOC2)noc1N
ZINC62349379	Cc1cc(N)cc(-c2ncno2)c1C
ZINC62349494	Cc1cc(N)cc(-c2nncn2C)c1C
ZINC65404525	CC1=NNC(C2=CC3N=CC=C3C=C2)N1
ZINC01004401	COc1cc(C2C(C#N)=C(N)Oc3c2ccc2ccccc32)cc(Cl)c1O
ZINC04177337	C#CCOc1ccc(C2C(C#N)=C(N)Oc3cc(O)ccc32)cc1Br
ZINC00690790	N#CC1=C(N)N(c2nc[nH]n2)C2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc(Cl)cc1
ZINC00729460	COc1cccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)c1O
ZINC00875352	Cc1nn(-c2ccccc2)c2c1C(c1c(O)ccc3ccccc13)C(C#N)=C(N)O2
ZINC04897147	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)/C(=N/NC(N)=O)CCC32)C1
ZINC06233915	Cc1ccc(NN2C(N)=C(C#N)C(c3ccc(Cl)cc3)C3=C2CCCC3=O)cc1
ZINC05942408	N#CC1=C(N)OC2=NN=C(c3ccc4ccccc4c3)C2C1c1ccc2c(c1)OCO2
ZINC06725086	CC1CCCC(NC(=O)C2(O)c3ccccc3NC(=O)N2c2ccccc2)C1C
ZINC07101920	CC1(C)CC2(CC(c3cccs3)c3cc(Cl)c(O)cc3O2)NC(=O)N1
ZINC12658171	CC(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C3CC(O)C2(O)C(C)O)C1
ZINC12862552	CC12CCC3C(CCC4C/C(=N/NC(N)=S)CCC43C)C1=CC=C2C1=CC(=O)OC1
ZINC04331422	CCSc1nc(N)c2c(n1)NC1=C(C(=O)CC(C)(C)C1)C2c1cccs1
ZINC13639850	O=S(=O)(c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2)N1CCCCCC1
ZINC13639856	O=S(=O)(c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2)N1CCCCC1
ZINC13639872	CC1CCN(S(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(O)cc2O)N3)CC1
ZINC14857367	CC1=CC2/C=C(\C)CCC(O)C(O)/C=C/C(=O)OC23C(=O)NC(CC(C)C)C3C1C
ZINC15203535	CC(C)=CCc1c2c(c(O)c3c1OC1Oc4cc(O)ccc4C1(O)C3=O)C=CC(C)(C)O2
ZINC01228343	COc1cc(C2C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)cc(Br)c1O
ZINC16755508	O=C1/C(=C/c2ccc(O)cc2)S/C(=N\c2ccc(O)cc2)N1c1ccc(O)cc1
ZINC18200664	Nc1nc2n(n1)C(c1ccccc1Br)C1=C(CC(c3cccs3)CC1=O)N2
ZINC04386915	CC1=C(C(=O)Nc2ccc(C)cn2)C(c2ccc(O)cc2)C2=C(CC(C)CC2=O)N1
ZINC20477645	C[NH+]1CC=C2C(C(=O)[O-])=C(N)C(C#N)(C#N)C(c3ccc(-c4ccccc4)cc3)C2C1
ZINC20681685	O=S(=O)(c1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2)N1CCCCCC1
ZINC03647443	COc1cc(C2NC(=O)c3c(sc4c3CCC(C)C4)N2)cc(Br)c1O
ZINC28052288	Cc1noc2c1C(c1ccc(O)c(O)c1)C1=C(CC(c3ccc(Cl)cc3)CC1=O)N2
ZINC31817647	N#CC1=C(N)N(c2ccc(Cl)cn2)C2=C(C(=O)CCC2)C1c1ccc2[nH]ccc2c1
ZINC36219730	CC1CCc2c(sc3nc(SCc4nc5ccsc5c(=O)[nH]4)nc(N)c23)C1
ZINC38827475	CC1=C(C2C(C#N)=C(N)OC3=NN=C(C(C)(C)C)C32)C(Cl)N(c2ccccc2)N1
ZINC39030132	NC1=NC(=O)C2C(=N1)NC1=C(C(=O)c3ccccc31)C2c1cccc2ccccc12
ZINC39324879	Cc1cc(C)c2c(n1)SC1C3=C(C(=O)NC21)C(c1cccc(Cl)c1)C(C#N)=C(N)O3
ZINC39464293	O=P1(c2ccccc2O)NN2CCc3cc(-c4ccccc4O)c(F)cc3C2CO1
ZINC39468789	O=P1([O-])N[NH+]2CC3C=C(Cc4ccccc4)C(c4ccccc4O)=CC3CC2CO1
ZINC39559914	CC(=O)OC1CC2(C)C(CCC(C)C23Cc2c(cc4c(c2O)C(O)OC4)O3)C(C)(C)C1O
ZINC41007206	NC(=O)c1c(NC(=O)c2cc3cc(Br)ccc3o2)sc2c1CCC2
ZINC43726404	NC(=O)C1C2C(=O)N(c3cc(Cl)cc(Cl)c3)C(=O)C2C2c3ccccc3C=CN12
ZINC45321629	Cc1c(C#N)c(N)nc2c3c(sc12)NC(=O)CC3c1cccc(Cl)c1Cl
ZINC39324249	CC(C)(C)c1[nH]nc2c1C(c1ccc(Br)cc1F)C(C#N)=C(N)O2
ZINC18201218	O=C1C2=C(Nc3[nH]c(=O)[nH]c(=O)c3C2c2ccc(-c3ccccc3)cc2)c2ccccc21
ZINC09281351	CC(C)c1[nH]nc2c1C1(C(=O)N(Cc3ccc(Cl)cc3)c3ccccc31)C(C#N)=C(N)O2
ZINC09281351	CC(C)c1n[nH]c2c1C1(C(=O)N(Cc3ccc(Cl)cc3)c3ccccc31)C(C#N)=C(N)O2
ZINC01438069	CC(C)(C)c1n[nH]c2c1C(c1cccc(I)c1)C(C#N)=C(N)O2
ZINC07660681	COc1ccc(C2N=C(O)c3c(sc4c3CCC(C(C)(C)C)C4)N2)cc1O
ZINC13521666	COc1ccc(C2CC3(CC(C)(C)[NH+]=C([S-])N3)Oc3cc(O)cc(C)c32)cc1OC
ZINC13521666	COc1ccc(C2CC3(CC(C)(C)NC(=S)N3)Oc3cc(O)cc(C)c32)cc1OC
ZINC13131423	Cc1cccc(C2CC(c3ccc(Br)cc3)Nc3nc(N)nn32)c1
ZINC33937812	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)/C(=N/NC(N)=O)CCC32)C1
ZINC06025512	N#CC1=C(N)Oc2[nH]nc(-c3ccc(Cl)c(Cl)c3)c2C1c1cccc(O)c1
ZINC04167422	N#CC1=C(N)Oc2[nH]nc(C34CC5CC(CC(C5)C3)C4)c2C1c1ccc(O)cc1
ZINC08686936	COc1ccc(C2CC3(CC(C)(C)[NH+]=C([S-])N3)Oc3cc(O)cc(C)c32)cc1
ZINC08684299	COc1cccc(C2CC3(CC(C)(C)[NH+]=C([S-])N3)Oc3cc(O)ccc32)c1
ZINC04593901	Cc1cc(C)c2c3c(sc2n1)C1(CC[NH+](C)CC1)C(C#N)=C(N)O3
ZINC04751291	N#CC1=C(N)OC2=C(C(=O)CCC2)C1c1cc(C[NH+]2CCCCCC2)cs1
ZINC04757937	CC1CCCCN1C(=O)c1cc(N)cc(C(=O)C2CCCC[NH+]2C)c1
ZINC04757938	CC1CCCCN1C(=O)c1cc(N)cc(C(=O)C2CCCC[NH+]2C)c1
ZINC04189065	CC[NH+]1CC2=C(OC(N)=C(C#N)C2c2cccs2)/C(=C\c2cccs2)C1
ZINC12292725	OC(C[NH+]1CCC2(CC1)CC(O)c1cc(Cl)ccc1O2)c1ccc(F)cc1
ZINC12293495	Cc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2ccccc2O3)cc1C
ZINC12293721	OC(C[NH+]1CCC2(CC1)CC(O)c1cc(F)ccc1O2)c1ccc(F)c(F)c1
ZINC12329420	Cc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2ccccc2O3)cc1
ZINC12329438	Cc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(C)ccc2O3)cc1
ZINC12329799	OC(C[NH+]1CCC2(CC1)CC(O)c1cc(F)ccc1O2)c1ccc(Cl)cc1
ZINC12330243	OC(C[NH+]1CCC2(CC1)CC(O)c1ccccc1O2)c1ccc2c(c1)CCCC2
ZINC19970280	[NH3+]C(c1ccc(Br)cc1)c1cc(Cl)cc([N+](=O)[O-])c1
ZINC19970410	Cc1cc([N+](=O)[O-])cc(C([NH3+])c2ccccc2Br)c1C
ZINC20759819	O=C(c1ccc(Br)o1)N1CCC2(CC1)NCCc1[nH+]c[nH]c12
ZINC20759819	O=C(c1ccc(Br)o1)N1CCC2(CC1)NCCc1[nH]c[nH+]c12
ZINC22635168	Cc1ccc(C2N=C(O)c3c(sc4c3CC[NH+](C(C)C)C4)N2)cc1
ZINC23431759	CCC1(CC)CN(C2c3ccccc3C3(CC[NH2+]CC3)C2O)CCO1
ZINC27838089	C[NH+]1CCc2c(sc3c2C(O)=NC(c2ccc(-c4ccccc4F)o2)N3)C1
ZINC31946733	CCC(=O)Nc1sc2c(c1C(=O)N1CC[NH2+]CC1)CCC(C)C2
ZINC35311054	Nc1c(C(=O)N2CCCC2)sc2[nH+]c3cc4c(cc3cc12)OCO4
ZINC37324694	CC1CN(C(C[NH3+])c2cc(Br)c3c(c2)OCO3)CC(C)O1
ZINC39315449	N#CC1=C(N)OC2=c3ccccc3=[NH+]C(=O)C2C1c1ccccc1C(F)(F)F
ZINC39467191	COC1=CC2CC3COP(=O)(c4ccccc4O)N[NH+]3CC2C=C1Cl
ZINC39467386	COC1=CC2C[NH+]3NP(=O)(c4ccccc4O)OCC3CC2C=C1Cl
ZINC39467422	COC1=CC2C[NH+]3NP(=O)(c4ccccc4O)OCC3CC2C=C1Br
