ZINC04219119	O=C([O-])c1c[nH]c2cc(Br)c(Br)cc12
ZINC54534220	Cc1nnc(N2CCC3CCCCC3C2)c(C(=O)[O-])c1C
ZINC54553934	Cc1ccc(C(=O)[O-])c(Sc2nnc3n2CCCCC3)c1
ZINC54699493	Cn1nc(C2CCCCC2)nc1C1CCCCC1C(=O)[O-]
ZINC55270228	O=C([O-])C1CC1c1nc(C23CC4CC(CC(C4)C2)C3)no1
ZINC09344491	N#CC1C(=O)N=C(N2CCc3ccccc32)[N-]C12CCCC2
ZINC38058431	CC1CCCC(C)N1S(=O)(=O)c1ccc(C(=O)[O-])s1
ZINC59489766	O=Nc1cc2c3c(c1C(=O)[O-])C1C=CCC1CN3CC1CC=CC21
ZINC47221515	Cc1ccc(SCc2cc([O-])n3ncc(C#N)c3n2)cc1
ZINC62846082	CCCC1(C(=O)[O-])CCN(C(=O)N2CCC(C)CC2)CC1
ZINC62874712	CCC1CCN(C(=O)N2CCCC(CC)(C(=O)[O-])C2)CC1
ZINC62876285	Cc1cccc(N(C)C(=O)N2CCCC(C)(C(=O)[O-])C2)c1
ZINC62925651	CC1(C(=O)[O-])CCN(C(=O)N2CCC3CCCCC3C2)C1
ZINC62934990	CCC1(C(=O)[O-])CCN(C(=O)N(C)c2ccc(C)cc2)C1
ZINC66318355	Cc1noc(C)c1CSc1nc2ncc(Cl)cc2[n-]1
ZINC08497141	CC(Oc1c(Br)cc(C=O)cc1[N+](=O)[O-])C(=O)[O-]
ZINC00091645	O=C([O-])CSc1nnc(-c2cccnc2)n1Cc1ccco1
ZINC09835568	Cc1nn(-c2ccc(N3CCCC3)nn2)c(C)c1CCC(=O)[O-]
ZINC13167478	O=C([O-])C1CCN(C(=O)CSc2ccccc2[N+](=O)[O-])CC1
ZINC13225355	O=C([O-])C1CC2CCCCC2N1C(=O)c1ccc([N+](=O)[O-])s1
ZINC13279622	Cc1occc1-c1nnc(Sc2ncccc2C(=O)[O-])n1C
ZINC13407920	Cn1c(Cc2ccccc2)nnc1SCC(=O)N1CCCC(C(=O)[O-])C1
ZINC13408010	CC(C)c1nnc(SCC(=O)N2CCCC(C(=O)[O-])C2)n1C1CC1
ZINC19955501	Cc1c(C(=O)OC(C)C)sc2nc(C)n(C(C)C(=O)[O-])c(=O)c12
ZINC08339748	CCn1ncc(-n2c([S-])nnc2CCn2cc(Cl)cn2)c1C
ZINC35658887	CC1CCCC(C)N1S(=O)(=O)c1cnn(CCC(=O)[O-])c1
ZINC36169248	CCC1CCCN(S(=O)(=O)c2cnn(CCC(=O)[O-])c2)C1
ZINC36818474	COC(=O)Cc1csc([N-]S(=O)(=O)N2CCCC(C)C2)n1
ZINC37504685	Cc1nn(CC(=O)[O-])c(C)c1S(=O)(=O)N(C)C(C)C(C)C
ZINC37838897	O=C([O-])c1ccc(S(=O)(=O)N(CC2CCOC2)C2CC2)o1
ZINC08772879	Cc1cc(=O)[nH]c(SCc2cc(=O)n3nc(C)sc3n2)n1
ZINC08763041	CCCc1cc(=O)[nH]c(SCC(=O)N(C)C2CCS(=O)(=O)C2)n1
ZINC38030627	COC(=O)Cn1cc([N-]S(=O)(=O)c2ccc(C)s2)cn1
ZINC40351224	Cc1cc(SCC(=O)[O-])n2nc(N3CCCCC3C)nc2n1
ZINC41124171	CCCc1noc(C2CCCCN2C(=O)C2CC=CCC2C(=O)[O-])n1
ZINC41268144	CCCS(=O)(=O)[N-]c1ccc(S(=O)(=O)N2CCOCC2C)cc1
ZINC41268531	CCCS(=O)(=O)[N-]c1ccc(S(=O)(=O)N2CCOC(C)C2)cc1
ZINC49198038	N#C/C(C(=O)c1ccc(Cn2cncn2)cc1)=C(\[O-])c1ccco1
ZINC49453783	CCCc1cc(=O)n2nc(N3CCC(C(=O)[O-])CC3)sc2n1
ZINC49514574	CCOC(CC)/C([O-])=N/S(=O)(=O)c1c(C)nn(C)c1Cl
ZINC49514577	CCOC(CC)/C([O-])=N/S(=O)(=O)c1c(C)nn(C)c1Cl
ZINC52767071	COC(=O)C1CCN(S(=O)(=O)/N=C(\[O-])c2cccc(C)c2)CC1
ZINC52767277	COC(=O)C1CCN(S(=O)(=O)/N=C(\[O-])CC2C=CCC2)CC1
ZINC52767447	COC(=O)C1CCN(S(=O)(=O)/N=C([O-])/C=C(/C)C2CC2)CC1
ZINC55580870	COc1ccc([N-]S(=O)(=O)c2cnn(C)c2)cc1OC(F)F
ZINC07726736	COC(=O)c1ccccc1S(=O)(=O)[N-]c1cccc(N2CCCC2=O)c1
ZINC59460910	CCc1nnc([N-]S(=O)(=O)c2ccc(/N=C/c3cccnc3)cc2)s1
ZINC39272393	O=C(C[N-]C1=NC(Cl)=NC2N=CN=C12)N1CCC(Cc2ccccc2)CC1
ZINC63476265	COc1cc([N-]S(=O)(=O)c2cncc(F)c2)cc(OC)c1OC
ZINC63567286	COC(=O)C1=CC(S(=O)(=O)[N-]c2ccc(C)c(N(C)C)c2)C=N1
ZINC58232128	COc1ccc([N-]S(=O)(=O)c2cnn(-c3ccccc3)c2)cn1
ZINC64392653	COC(=O)C1=CN=NC1S(=O)(=O)[N-]c1cccc(SC)c1
ZINC64476212	COC(=O)c1c(C)cccc1S(=O)(=O)[N-]c1cccnc1OC
ZINC52795883	O=S(=O)(/N=C(\[O-])c1ccc(OCC(F)(F)F)nc1)N1CCCCC1
ZINC65284210	CCCS(=O)(=O)[N-]c1cccn2nc(-c3cccnc3)nc12
ZINC55435653	CCCc1nnc([S-])n1CC(=O)N1CCN(Cc2cscn2)CC1
ZINC66002907	CCOc1ccc(Cl)c(/C([O-])=N/S(=O)(=O)c2cccnc2)n1
ZINC66003104	CCCCS(=O)(=O)/N=C(\[O-])c1cnn(C)c1-n1c(C)ccc1C
ZINC66578731	CC(C)CS(=O)(=O)[N-]c1cccc(-c2nnnn2C2CC2)c1
ZINC66580002	CCn1cc(S(=O)(=O)[N-]c2ccc3oc(C4CC4)nc3c2)cn1
ZINC66580217	CCn1cc(S(=O)(=O)[N-]c2ccccc2Cn2cccn2)cn1
ZINC66580764	CCn1cc(S(=O)(=O)[N-]c2ccc3c(c2)OC(C)(C)O3)cn1
ZINC66581523	CCn1cc(S(=O)(=O)[N-]c2ccc(Cn3ccccc3=O)cc2)cn1
ZINC66582864	CCn1cc(S(=O)(=O)[N-]c2ccc(-c3nc(C)c(C)o3)cc2)cn1
ZINC67000950	CSCC(C)/C([O-])=N/S(=O)(=O)c1cccc([N+](=O)[O-])c1
ZINC01350407	Cc1sc(N)nc1-c1ccc2c(c1)CC(C)N2S(C)(=O)=O
ZINC06662746	COc1ccc(-n2c(N)c(C#N)c3c(c2=S)COC(C)(C)C3)cc1
ZINC08549955	Cc1ccc(C(=O)NNC(=O)C23CCC(C)(C(=O)C2)C3(C)C)cc1
ZINC15723906	Cc1cc(/C=C2\NC(=S)NC2=O)c(C)n1-c1ccc(N(C)C)cc1
ZINC20262779	CC1CCCN(c2ccc(S(=O)(=O)N3CCCC3)cc2N)C1
ZINC23700996	Cn1cc(Br)cc1C(=O)NNC(=O)C1CC2CCC1C2
ZINC27458793	Cc1cc(C(=O)N2CCc3ccccc32)cc(S(N)(=O)=O)c1C
ZINC35548970	Cc1ccccc1C(=O)NNC(=O)C12CCC(C1)C(C)(C)C2=O
ZINC35548973	Cc1ccccc1C(=O)NNC(=O)C12CCC(C1)C(C)(C)C2=O
ZINC36128854	CCC1COC(C)CN1S(=O)(=O)c1cc(C)c(C)c(N)c1
ZINC36857900	Cc1n[nH]c(C)c1NC(=O)c1cc(Br)cn1C1CC1
ZINC36897315	Cc1cnn(Cc2cc(Br)c3c(c2)OCO3)c1N
ZINC37069399	CNC(=O)c1ccc(Cl)c(NC2CCS(=O)(=O)CC2)c1
ZINC37182749	Nc1cnccc1SCc1cc(=O)n2cc(Cl)ccc2n1
ZINC00072341	CCc1ccc(C2C(C#N)=C(N)N(N(C)C)C3=C2C(=O)CCC3)cc1
ZINC19874427	CCC(C)N1CNc2c(c(=O)[nH]c(=S)n2-c2cccc(C)c2)C1
ZINC03905911	Cc1cc(C)c(S(=O)(=O)N2CCC(C(N)=O)CC2)cc1C
ZINC01428247	N#CC1=C(N)Oc2c(c(=O)sc3ccccc23)C1c1cccnc1
ZINC01422116	N#CC1=C(N)Oc2c(c(=O)sc3ccccc23)C1c1ccncc1
ZINC38688922	ClC1=CC2=NC(SCc3nc4ccccc4[nH]3)NC2N=C1
ZINC39458525	Cc1c(F)c2c(n1-c1ccccc1O)-c1[nH]ccc(=O)c1C(=O)CC2
ZINC40832798	Cc1n[nH]c(C)c1C(=O)Nc1ccc(C#N)cc1Br
ZINC41196843	O=C(Nc1cccc2ncccc12)C(=O)NC1CCc2ccccc21
ZINC42140832	CN(c1ccncc1N)S(=O)(=O)c1ccc(Br)s1
ZINC42746916	CC1CCC(C(N)=O)CN1S(=O)(=O)c1ccc(Cl)s1
ZINC43424143	Nc1cc(S(=O)(=O)N2CCOC3CCCC32)ccc1Cl
ZINC48469805	Cc1cc(NC(=O)NC2CCS(=O)(=O)C2)ccc1Br
ZINC48474884	Cc1cc(Br)ccc1NC(=O)NC1CCS(=O)(=O)C1
ZINC48601509	CC1(C(=O)NNC(=O)c2ccc(Cl)nc2)CC1(Cl)Cl
ZINC49210704	Cc1nc(C)c(C(C)NC(=O)Nc2ccc(Cl)nc2)s1
ZINC50728255	CNc1ncc(Br)cc1C(=O)Nc1ncc(C)s1
ZINC50818557	Nc1nc(Cn2ccnc2)nc2scc(-c3cccs3)c12
ZINC51583612	O=C(NC1CC1)C1CCCN(C(=O)Nc2ccc(F)c(F)c2)C1
ZINC57194584	Cc1c[nH]c(=O)n1-c1ccc(C(=O)NC2CCc3ccccc32)cc1
ZINC21527723	O=S(=O)(NC1CCCC1)c1ccc2c(c1)N=C(O)CS2
ZINC21527723	O=C1CSc2ccc(S(=O)(=O)NC3CCCC3)cc2N1
ZINC55339767	CC(=O)Nc1cccc2c1CCN(C(=O)Nc1ccc(F)cc1)C2
ZINC50769662	CNc1ccnc(C(=O)Nc2ncc(Br)s2)c1
ZINC61873842	CNC(=O)c1ccc(C)c(NC(=O)c2ccc(Br)cn2)c1
ZINC62320871	CC(C)(C)n1cc(C(=O)N2CCCCC2)c(=O)c2c(N)cccc21
ZINC63244170	Cc1ccc(S(N)(=O)=O)cc1C(=O)N(C)c1ccc(F)c(F)c1
ZINC05818115	Cc1sccc1C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21
ZINC05818115	Cc1sccc1C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21
ZINC04095178	Cc1[nH]nc2c1C(c1c(F)c(F)c(F)c(F)c1F)C(C#N)=C(N)O2
ZINC04095178	Cc1n[nH]c2c1C(c1c(F)c(F)c(F)c(F)c1F)C(C#N)=C(N)O2
ZINC16901640	Cc1cc(C)c(NC2CC(=O)N(c3ccc(O)cc3)C2=O)c(C)c1
ZINC65137137	Cc1ccc(C2NC(c3cccc(-c4ccn[nH]4)c3)=NO2)s1
ZINC65137138	Cc1ccc(C2NC(c3cccc(-c4ccn[nH]4)c3)=NO2)s1
ZINC66121412	O=C(NC1CCN(C(=O)c2ccc(O)c(Cl)c2)CC1)C1CCC1
ZINC66811800	OC1CCCCC1Nc1nc(-c2ccncc2)nc2c1CCC2
ZINC67363783	CC(=O)NCC1CCCN(C(=O)c2cc3c(F)cccc3[nH]2)C1
ZINC67526565	Cc1ccsc1-c1cccc(NC(=O)C(=O)N2CCCC(O)C2)c1
ZINC67641101	O=C1CC(c2nc3c(s2)CCCC3)c2cc3cn[nH]c3cc2N1
ZINC01176929	CN1C(=O)C(=Cc2ccc(-c3ccc([O-])c([N+](=O)[O-])c3)o2)C(=O)N(C)C1=O
ZINC07392284	CCCCc1nc(SC(C)C(=O)[O-])c2c(=O)n(C)c(=O)n(C)c2n1
ZINC00818196	O=C(CC(C(=O)[O-])n1cnc([N+](=O)[O-])n1)c1ccc(Br)cc1
ZINC13225125	O=C([O-])C1CC2CCCCC2N1C(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
ZINC13276578	CON(C)c1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCC(C(=O)[O-])CC1
ZINC13276581	CON(C)c1ccc(S(=O)(=O)N2CCC(C(=O)[O-])CC2)cc1[N+](=O)[O-]
ZINC19880987	O=C([O-])c1cccnc1SC1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O
ZINC20319263	Cc1nn(C)c(C)c1CN(C)C(=O)c1nn(C)cc1C(=O)[O-]
ZINC20605747	COC(=O)c1cc(-c2cn(C)nc2C)nc2cc(C(=O)[O-])nn12
ZINC20800386	O=C([O-])C1=Nc2ncnn2C(c2cc([N+](=O)[O-])ccc2Cl)C1
ZINC22779301	COc1nc(C)nc(N(C)/C([O-])=N/S(=O)(=O)N2CCCCC2)n1
ZINC27560613	COCCO/C([O-])=C1\C(C)=NC(C)=C([N+](=O)[O-])C1c1cccnc1
ZINC27560615	COCCO/C([O-])=C1\C(C)=NC(C)=C([N+](=O)[O-])C1c1cccnc1
ZINC01587963	COC(=O)c1nc([S-])nc(C(=O)OC)c1C(=O)c1cccnc1
ZINC16429304	O=[N+]([O-])c1ccc(S(=O)(=O)n2cnc3c([S-])ncnc32)cc1
ZINC37637123	O=[N+]([O-])c1ccc(Oc2ccc(S(=O)(=O)[O-])cc2[N+](=O)[O-])cc1
ZINC37837273	COC(=O)CN(C(C)C)S(=O)(=O)N1CCCC(C(=O)[O-])C1
ZINC09936099	CSc1nc2nc(CSc3nnnn3C)cc([O-])n2n1
ZINC38701697	COC(=O)CC1C(=O)Oc2cc(C)cc(OCc3nnn[n-]3)c2C1C
ZINC39379282	O=C([O-])c1nn2cc(C3N=NC=C3[N+](=O)[O-])cnc2c1Br
ZINC13317036	CC(C)N(C(=O)C(C)n1cc([N+](=O)[O-])cc(C(=O)[O-])c1=O)C(C)C
ZINC39927238	COC(=O)C/C(=N/[N-]C1=NC(=O)C2=C(C)C(C)SC2=N1)C(=O)OC
ZINC40661588	Cc1cc(C)n(-c2ncnc(N3CCC(C(=O)[O-])CC3)c2[N+](=O)[O-])n1
ZINC49478586	O=C([O-])C1CCCN(C(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C1
ZINC50042474	O=C([O-])c1cc(Br)cnc1-n1cnc([N+](=O)[O-])n1
ZINC38828079	O=C([O-])C1=Nc2nc(C(F)(F)F)nn2C(c2ccc([N+](=O)[O-])o2)C1
ZINC05511030	CO/C([O-])=N/S(=O)(=O)c1ccc(N=NN2CCOCC2)cc1
ZINC05511030	CO/C([O-])=N/S(=O)(=O)c1ccc(/N=N/N2CCOCC2)cc1
ZINC54489177	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)/N=C(\[O-])C1=NN(C)C(=O)CC1
ZINC46930603	CC(C)CC/C([O-])=N/S(=O)(=O)c1cccc(-n2cnnn2)c1
ZINC62677165	CCC(OC)/C([O-])=N/S(=O)(=O)N1CCC(C(=O)OC)CC1
ZINC62924502	CC1(C(=O)[O-])CCN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)C1
ZINC64052467	COC(=O)C1=C(C)C(C(=O)C(C)Sc2nnc(C)c([O-])n2)=NC1C
ZINC64052471	COC(=O)C1=C(C)C(C(=O)C(C)Sc2nnc(C)c([O-])n2)=NC1C
ZINC52767209	COC(=O)C1CCN(S(=O)(=O)/N=C(\[O-])c2ccc([N+](=O)[O-])cc2)CC1
ZINC52768928	COCCn1c(C)cc(/C=C(C#N)/C([O-])=N/S(=O)(=O)N(C)C)c1C
ZINC65383216	Cc1noc(C)c1S(=O)(=O)N1CCCC(Cn2cc(C(=O)[O-])nn2)C1
ZINC65431522	CCOc1ccc(C(=O)N2CCCC(Cn3cc(C(=O)[O-])nn3)C2)o1
ZINC65763996	CCOC(CC)/C([O-])=N/S(=O)(=O)c1cccc(-n2cnnn2)c1
ZINC66004260	CC(C)CCSC/C([O-])=N/S(=O)(=O)c1cn(C)c(=O)n(C)c1=O
ZINC66248047	COC(=O)c1sccc1S(=O)(=O)[N-]c1cc(C)nn1CCC#N
ZINC66248083	COc1cc(F)c(S(=O)(=O)[N-]c2cc(C)nn2CCC#N)cc1OC
ZINC66248105	Cc1cc([N-]S(=O)(=O)c2cccc(-n3cnnn3)c2)n(CCC#N)n1
ZINC66503914	CC(C)C(/C([O-])=N/S(C)(=O)=O)n1nnc(-c2ccccc2)n1
ZINC66516997	CS(=O)(=O)[N-]c1ccc(OC(=O)Cn2ccc([N+](=O)[O-])n2)cc1
ZINC66579167	CCn1cc(S(=O)(=O)[N-]c2ccc(-n3cccn3)nc2)cn1
ZINC66579658	CCn1cc(S(=O)(=O)[N-]c2cccc(Cl)c2-n2cncn2)cn1
ZINC67446975	CCc1c(C)nn(CC(=O)N2CCCC(Cn3cc(C(=O)[O-])nn3)C2)c1C
ZINC67515267	O=C([O-])c1cn(CC2CCCN(c3nnnn3-c3ccccc3)C2)nn1
ZINC67540803	CC(C)Cn1nc(C(=O)[O-])c2c1CCN(C(=O)CCCn1cnnn1)C2
ZINC67605568	CCC(C(=O)N1CCc2c(c(C(=O)[O-])nn2CC2CC2)C1)n1cccn1
ZINC14162436	CN(CC(=O)N1CCCC1C(=O)[O-])C(=O)OC(C)(C)C
ZINC19817480	CC(C(=O)[O-])S(=O)(=O)CC(=O)N1CCN(C)CC1
ZINC19982606	CN(C1CCS(=O)(=O)C1)S(=O)(=O)CCCC(=O)[O-]
ZINC35277165	COC1CC(C(=O)[O-])N(c2ccc([N+](=O)[O-])c(C)c2)C1
ZINC36818191	COC(=O)c1sccc1[N-]S(=O)(=O)c1cnn(C)c1
ZINC37225624	CN(C)C(=O)Cn1c(SCC(=O)[O-])nnc1C1CC1
ZINC37563178	O=C([O-])C1CCCCN1C(=O)c1csc([N+](=O)[O-])c1
ZINC37828209	O=C([O-])CCCC(=O)N1CCCC1C(=O)N1CCOCC1
ZINC37828660	O=C([O-])CS(=O)(=O)N1CCN(CC2CCCO2)CC1
ZINC37834866	CCN(CC)C(=O)N1CCN(C(=O)/C=C/C(=O)[O-])CC1
ZINC37834921	CCCS(=O)(=O)N1CCN(C(=O)/C=C/C(=O)[O-])CC1
ZINC37836996	CN(C)C(=O)C1CCN(S(=O)(=O)CC(=O)[O-])CC1
ZINC38020647	CCCN(CC(=O)[O-])C(=O)C1CCCN(S(C)(=O)=O)C1
ZINC38100343	CCC(CC)(CC(=O)N1CCN(C(=O)OC)CC1)C(=O)[O-]
ZINC38100344	COC(=O)N1CCN(C(=O)CC(C)(C(=O)[O-])C(C)C)CC1
ZINC38100528	COC(=O)CC1CCCCN1S(=O)(=O)CC(=O)[O-]
ZINC41979086	CC(Sc1nnnn1C1CC1)(C(=O)[O-])c1cccnc1
ZINC42426296	CCOC1CCCN(C(=O)N2CC(OC)CC2C(=O)[O-])C1
ZINC42690297	CC(=O)N1CCCN(C(=O)N(CC(=O)[O-])C(C)C)CC1
ZINC42718752	COC(=O)CN(C(=O)N1CCC(C(=O)[O-])CC1)C(C)C
ZINC42792920	CCN(C(=O)N1CC(OC)CC1C(=O)[O-])C(C)COC
ZINC44259725	O=C([O-])/C=C/c1cncc(S(=O)(=O)N2CCS(=O)CC2)c1
ZINC44615365	CCC(C(=O)[O-])N(C)C(=O)c1cc(C)nc2onc(C)c12
ZINC48725790	CCCc1nnc(/N=C(\[O-])C(=O)N2CCN(C)CC2)s1
ZINC48868524	CC(Sc1ncccn1)/C([O-])=N/S(=O)(=O)N(C)C
ZINC48869636	Cn1cc(CC/C([O-])=N/S(=O)(=O)N2CCCCC2)cn1
ZINC48951230	COC1CC(C(=O)[O-])N(C(=O)N(C)CC2CCCCO2)C1
ZINC48968433	CCN(CC1CCCO1)C(=O)N1CC(OC)CC1C(=O)[O-]
ZINC49417497	CC(Sc1nncn1C)/C([O-])=N/S(=O)(=O)C(C)C
ZINC49840579	O=C([O-])C1CCCCN1C(=O)c1ccc([N+](=O)[O-])cc1F
ZINC50602720	O=C([O-])CSc1nncn1CC1CCS(=O)(=O)C1
ZINC52788541	CS(=O)(=O)Cc1noc(C2CC=CCC2C(=O)[O-])n1
ZINC54415437	O=C([O-])C1CSCN1C(=O)c1ccc([N+](=O)[O-])c(F)c1
ZINC57809280	O=C([O-])C1CCCN1c1ccc2ncccc2c1[N+](=O)[O-]
ZINC40532401	O=C([O-])CN(C(=O)N1CCCCC1)C1CCS(=O)(=O)C1
ZINC36967858	CS(=O)(=O)N1CCN(C(=O)CSCC(=O)[O-])CC1
ZINC59881040	Cc1nn(C)c(C)c1S(=O)(=O)N(CC(=O)[O-])CC(C)C
ZINC61173933	CCN(C(=O)N1CCCC1C(=O)OC)C(C)(C)C(=O)[O-]
ZINC62119087	O=C([O-])C1CCN(C(=O)CSc2nncn2C2CC2)C1
ZINC62136230	CCCN(CC(=O)N(C)C)C(=O)N1CCC(C(=O)[O-])C1
ZINC62743980	COC(=O)C1CCCN1C(=O)N(CC(=O)[O-])CC(C)C
ZINC62869784	CCC1(C(=O)[O-])CCCN(C(=O)C(C)n2cncn2)C1
ZINC62873302	COC(=O)CS(=O)(=O)N1CCCC(C)(C(=O)[O-])C1
ZINC62926361	CN(Cc1cnn(C)c1)C(=O)N1CCC(C)(C(=O)[O-])C1
ZINC62926364	CCC1(C(=O)[O-])CCN(C(=O)N(C)Cc2cnn(C)c2)C1
ZINC63142316	CS(=O)(=O)CCS(=O)(=O)N1CCC(C(=O)[O-])CC1
ZINC63142780	CC1(C(=O)[O-])CCN(S(=O)(=O)CCS(C)(=O)=O)C1
ZINC63155611	O=C([O-])C1CN(S(=O)(=O)CC2CCCO2)CCO1
ZINC40000815	COC(=O)C1=C(C)C(C(=O)C(C)Sc2ncn[n-]2)=NC1C
ZINC67600328	CCCCS(=O)(=O)/N=C(\[O-])C1CCCN1C(=O)OC
ZINC02296675	CC(=O)OC(C(=O)[O-])C(OC(C)=O)C(=O)N1CCOCC1
ZINC00054542	C1CN(c2nc(-c3nn[n-]n3)nc(N3CCOCC3)n2)CCO1
ZINC11567549	COCCn1c(=O)[nH]c(=O)c2c(C(=O)[O-])c3c(nc21)CCC3
ZINC13417725	C=CCn1c(SCC(=O)N2CCCCC2C(=O)[O-])nnc1-c1ccoc1C
ZINC20315325	CCOc1nn(Cc2c(C(=O)[O-])noc2C)cc1[N+](=O)[O-]
ZINC20320566	CS(=O)(=O)N1CCN(C(=O)Cn2ccc(C(=O)[O-])n2)CC1
ZINC20325695	CCn1cc(CN2CCN(C(=O)c3cnn(CCC(=O)[O-])c3)CC2)cn1
ZINC26539605	Cc1n[nH]c(C)c1S(=O)(=O)[N-]c1ccc(-n2cccn2)nc1
ZINC30113622	CC(C)CN1CC(C(=O)Nc2nc(C#N)c(C#N)[n-]2)CC1=O
ZINC31963261	CS(=O)(=O)/N=c1/[nH]c(C(=O)N2CCCC2C(=O)[O-])cs1
ZINC35242172	CC(=O)OC1COC(n2ncc(=S)nc2[O-])C(OC(C)=O)C1OC(C)=O
ZINC35344145	O=C([O-])C1CC(O)CN1c1ccc2scnc2c1[N+](=O)[O-]
ZINC36182982	CC(=O)Nc1nnc(S(=O)(=O)[N-]c2cccc(C#N)c2)s1
ZINC19997906	CC1CCCCN1S(=O)(=O)Nc1c(C(=O)[O-])cnn1C
ZINC36870431	CN(C(=O)NC(=O)CCC(=O)[O-])C1CCS(=O)(=O)C1
ZINC37451899	O=C([O-])c1sccc1NC(=O)c1sccc1-n1cnnn1
ZINC37655940	Cc1cc(NS(=O)(=O)N2CCCC(C(=O)[O-])C2)n(C)n1
ZINC37838927	CNC(=O)C1CCCN1S(=O)(=O)c1cc(C(=O)[O-])n(C)c1
ZINC37838946	CNC(=O)C1CCCN1S(=O)(=O)N1CCC(C(=O)[O-])CC1
ZINC38025655	COC(=O)CC1CCCCN1C(=O)c1cc([N+](=O)[O-])c[n-]1
ZINC39248274	Cn1cc(C(=O)[O-])c(C(=O)NC2C=C(c3ccccc3)N=N2)n1
ZINC39294100	COC(=O)C1SC(C2N=NN=N2)=CC1S(=O)(=O)/N=C(\[O-])OC
ZINC40829310	Cc1[nH]ncc1S(=O)(=O)[N-]c1cccnc1-n1cccn1
ZINC40830393	Cc1nccn1-c1ccc([N-]S(=O)(=O)c2cn[nH]c2)cn1
ZINC41035166	Cc1nn(C)c(NC2(C(=O)[O-])CCCC(C)C2)c1[N+](=O)[O-]
ZINC41035167	Cc1nn(C)c(NC2(C(=O)[O-])CCCC(C)C2)c1[N+](=O)[O-]
ZINC41035168	Cc1nn(C)c(NC2(C(=O)[O-])CCCC(C)C2)c1[N+](=O)[O-]
ZINC42727766	CCCN(CC(=O)OC)C(=O)N1CC(OC)CC1C(=O)[O-]
ZINC43428204	O=C([O-])COCC(=O)NC(=O)N1CCOC2CCCCC21
ZINC43702873	O=C([O-])C1CN(S(=O)(=O)c2c[nH]c3ncccc23)CCO1
ZINC43704027	CC1(NC(=O)CN2CCOC(C(=O)[O-])C2)CCS(=O)(=O)C1
ZINC43704029	CC1(NC(=O)CN2CCOC(C(=O)[O-])C2)CCS(=O)(=O)C1
ZINC44888656	CSc1nc(C)nc(C)c1C(=O)NC(C)c1nnn[n-]1
ZINC48864622	O=[N+]([O-])c1cc(S(=O)(=O)N2CCCC2CO)ccc1[O-]
ZINC49342031	CS(=O)(=O)[N-]c1nnc(NC(=O)C2CCOC2)s1
ZINC50265149	Cn1cc(S(=O)(=O)/N=c2/cccc(/C=C/C(=O)[O-])[nH]2)cn1
ZINC50421836	CC(NC(=O)N1CCCCC1CC(=O)[O-])c1nncn1C
ZINC50634502	CNc1nc2sccn2c1S(=O)(=O)[N-]c1ncccn1
ZINC02860133	Cc1nnc(NC(=O)CSc2nc(=O)c(C)n[nH]2)s1
ZINC13722520	Cc1csc(NC(=O)CCc2c(C)nc3ncnn3c2[O-])n1
ZINC52096148	Cc1nsc(NS(=O)(=O)c2cn(C)cn2)c1C(=O)[O-]
ZINC55597550	Cn1cc(S(=O)(=O)[N-]c2cccc(N3CCNC3=O)c2)cn1
ZINC12412735	CC1=NN(c2nnn[n-]2)C(=O)/C1=C\c1ccc(N(C)C)cc1
ZINC36854401	Cc1[nH]c(=O)nc(SC2CC(=O)N(C)C2=O)c1C(=O)[O-]
ZINC61827715	CC(C)(CC(=O)[O-])CC(=O)NC(=O)N1CCS(=O)(=O)CC1
ZINC62117886	CCC1(C)NC(=O)N(CC(=O)N2CCC(C(=O)[O-])C2)C1=O
ZINC62868451	Cn1c(C(=O)N2CCCC(C)(C(=O)[O-])C2)ccc1[N+](=O)[O-]
ZINC62935196	CCC1(C(=O)[O-])CCN(C(=O)NC(C)c2nncn2C)C1
ZINC58329493	O=C(Nc1nc[nH]n1)c1nnn(-c2ccccc2)c1C1CC1
ZINC66372470	O=C(Nc1cccc(-c2nnn[n-]2)c1)c1ccnc(C2CC2)n1
ZINC08429675	CN(Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)C(=O)/C=C/C(=O)[O-]
ZINC13022076	Cc1cc(C)c(C(=O)[O-])c(SCC(=O)N(CCC#N)c2ccc(F)cc2)n1
ZINC13181521	COc1cc2c(cc1OC)C(CC(=O)[O-])N(C(=O)c1sccc1C)CC2
ZINC13182466	COc1cc2c(cc1OC)C(CC(=O)[O-])N(C(=O)c1ccc3c(c1)CCC3)CC2
ZINC13254728	CCn1c(SCC(=O)N2Cc3ccccc3CC2C(=O)[O-])nc2ccccc21
ZINC13256270	CC(C)Cn1c(SCC(=O)N2CCCCC2C(=O)[O-])nc2ccccc21
ZINC13257495	Cc1nc(COc2ccc(C(=O)N3CCC(C(=O)[O-])(c4ccccc4)CC3)cc2)cs1
