ZINC03897368	S=C1NCCOCCNC(=S)NCCOCCN1
ZINC01676016	Cc1c(N)cc(S(=O)(=O)[O-])cc1N
ZINC01491307	[NH3+]C1(C(=O)[O-])C2CC3C1C3(C(=O)[O-])C2
ZINC12502602	O=C([O-])C1(O)C=C(F)C(O)C(O)C1
ZINC12503885	O=C([O-])C1(O)C/C(=N\O)C(O)C(O)C1
ZINC13835673	[NH3+]C1(C(=O)[O-])C(F)CC2C(C(=O)[O-])C21
ZINC14248181	O=C([O-])C1=CNC(=S)NC1(O)C(F)(F)F
ZINC14984449	CC1CC(O)(C(=O)[O-])CC(O)C1O
ZINC04974072	CC1(CCC(=O)[O-])NNC(=S)NN1
ZINC01591537	[NH3+]C1CNC(C(=O)[O-])=C(CC(=O)[O-])C1=O
ZINC34597126	NC(=O)NC(C(=O)[O-])C1CCCCC1
ZINC04008784	O=C([O-])CN1C(=O)NC2NC(=O)NC21
ZINC39083249	CC1(C(=O)[O-])CCC([NH3+])(C(=O)[O-])C1
ZINC39083265	CC1CC([NH3+])(C(=O)[O-])CC1C(=O)[O-]
ZINC39083277	CC1C(C(=O)[O-])CCC1([NH3+])C(=O)[O-]
ZINC39096252	O=C([O-])C(O)c1ccc(O)c(O)c1F
ZINC39097174	O=P([O-])(O)CCC1CC(O)N(O)C1
ZINC39098218	O=S(=O)([O-])C(O)c1ccc(O)c(O)c1
ZINC39715495	[NH2+]=C1C=CC2=NC(C(O)C(O)C(=O)[O-])[N-]C2=C1
ZINC39937094	CCSC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC34802152	CC1(C(=O)[O-])CCC(C([NH3+])C(=O)[O-])C1(C)C
ZINC40217910	Cc1nnc([O-])c(/C(N)=N/O)c1C
ZINC40531123	NC(=O)CNC(=O)N1CSCC1C(=O)[O-]
ZINC40566479	CNC(=O)CNC(=O)N1CC(O)CC1C(=O)[O-]
ZINC42439741	CC1CCC(C(N)=O)CN1C(=O)N1CC(O)CC1C(=O)[O-]
ZINC42439743	CC1CCC(C(N)=O)CN1C(=O)N1CC(O)CC1C(=O)[O-]
ZINC42575530	CNC(=O)C(C)NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC44168639	CCOC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC33978596	O=C1OC(C(O)C(=O)[O-])C(O)C1O
ZINC44672347	[NH3+]C1(C(=O)[O-])CCC2C(C(=O)[O-])C21
ZINC50398211	O=C1NCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC50398212	O=C1NCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC52011326	O=C([O-])CNC(=O)NC1CCCCC1O
ZINC13808067	[NH-]/C(N)=N\S(=O)(=O)c1cccs1
ZINC25578728	Nc1[nH]c(=O)c(CC(=O)[O-])c([O-])[nH+]1
ZINC05368875	[NH-]S(=O)(=O)/N=C(\N)CCCl
ZINC01052072	O=C([O-])CN/C=C1/C(=O)N=C([S-])N=C1[O-]
ZINC01052072	O=C([O-])CNC=C1C(=O)NC(=S)NC1=O
ZINC62722555	Nc1cc2ccc(S(=O)(=O)[O-])cc2cc1N
ZINC22078797	CC1(C(=O)[O-])NC(c2ccc(O)cc2O)C2C(=O)NC(=O)C21
ZINC49474072	C[NH+]1CCC2(CC1)NNC(=S)NN2
ZINC49474072	CN1CCC2(CC1)NN=C([S-])NN2
ZINC04160679	Cc1cc2cc(C(c3nnnn3C3CCCC3)[NH+]3CCCC(C)C3)c(=O)[nH]c2cc1C
ZINC04160708	Cc1ccc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCC3)[NH+]3CCCC(C)C3)cc12
ZINC04309769	Cc1cccc(C)c1OCc1nc2c3c4c(sc3ncn2n1)C(C)(C)[NH2+]C(C)(C)C4
ZINC04619356	O=C1NC(=O)N(CCc2ccccc2)C(=O)/C1=C/C1CC2CCC[NH+]3CCCC(C1)C23
ZINC04751412	Cc1ccc(N2C(=O)C3C4CCC[NH+]4C4(C(=O)Nc5ccc(F)cc54)C3C2=O)cc1C
ZINC08431933	C/C(=N\N1CC[NH+](C)CC1)c1c(C(F)(F)F)[nH]n(-c2nc3ccccc3s2)c1=O
ZINC00894195	Cc1ccc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCCC3)[NH+]3CCOCC3)cc12
ZINC00893795	Cc1cc2cc(C(c3nnnn3C3CCCCC3)[NH+]3CCOCC3)c(=O)[nH]c2cc1C
ZINC08766886	CC1(C)C([N+](=O)[O-])C(c2ccccc2Cl)[NH2+]C(c2ccccc2Cl)C1[N+](=O)[O-]
ZINC09123929	O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccc(F)cc43)C2C(=O)N1c1cc(C(F)(F)F)ccc1Cl
ZINC09216490	O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccc(Cl)cc43)C2C(=O)N1c1ccc(Cl)cc1
ZINC09242762	O=C(c1cccs1)C1C(c2cccc([N+](=O)[O-])c2)C2CSC[NH+]2C12C(=O)Nc1ccc(F)cc12
ZINC09332853	O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccccc43)C2C(=O)N1c1cc(Cl)ccc1Cl
ZINC09360542	O=C(c1ccc(F)cc1)C1C(c2ccc([N+](=O)[O-])cc2)C2CSC[NH+]2C12C(=O)Nc1ccccc12
ZINC09479203	COc1cc(Cl)c(C)cc1N1C(=O)C2C3CCC[NH+]3C3(C(=O)Nc4ccc(C)cc43)C2C1=O
ZINC15002177	O=c1c2c3c(sc2ncn1Cc1ccccn1)CC([NH2+]C1Cc2ccccc2C1)CC3
ZINC02429702	O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccc(Cl)cc43)C2C(=O)N1c1cc(Cl)cc(Cl)c1
ZINC15999232	Cc1cc(C)c2c(c1)C1(C(=O)N2)C2C(=O)N(c3ccccc3Cl)C(=O)C2C2CCC[NH+]21
ZINC15999301	Cc1c(Cl)ccc2c1NC(=O)C21C2C(=O)N(c3ccc4ccccc4c3)C(=O)C2C2CCC[NH+]21
ZINC17057643	C[NH+]1CC(c2ccc([N+](=O)[O-])cc2)C(C(=O)c2ccccc2)C12C(=O)Nc1ccccc12
ZINC09318341	COc1ccc(Cl)cc1N1C(=O)C2C3CCC[NH+]3C3(C(=O)Nc4ccc(F)cc43)C2C1=O
ZINC19948416	Cc1cc(O)oc2c/c(=[NH+]\C=C(/C#N)c3nc(-c4cccc([N+](=O)[O-])c4)cs3)ccc1-2
ZINC20331477	O=C(Nc1ccccc1)C1C2C(=O)N(c3ccccc3)C(=O)C2C2c3ccccc3C=CN12
ZINC20708112	C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc4ccccc4c2)N3)CC1
ZINC23282919	O=[N+]([O-])c1cc2c(cc1C[NH+]1CCC(O)(c3ccc(Br)cc3)CC1)OCO2
ZINC31656576	CC(=O)[NH+]=c1ccc2c(COc3ccccc3I)cc(O)oc-2c1
ZINC35360884	OC1(c2ccccc2)CC[NH+](Cc2nc(-c3cccnc3Cl)no2)C2CCCCC21
ZINC35671613	O=C1CSc2sc3c(=O)n(CC(c4cccs4)[NH+]4CCCCC4)cnc3c2N1
ZINC35843153	Cc1ccc2c(c1)C1(C(=O)N2)C2C(=O)N(c3ccc(F)c(Cl)c3)C(=O)C2C2CCCN21
ZINC06498945	O=C1C2C3CCC[NH+]3C3(C(=O)Nc4ccccc43)C2C(=O)N1c1cc(Cl)cc(Cl)c1
ZINC22795330	C[NH+]1CCN(C(c2cccc(Br)c2)c2sc3nc(-c4ccco4)nn3c2O)CC1
ZINC12576792	CC1=C2C(=[NH+]C3=C(C(=O)CC(C)(C)C3)C2c2c(Cl)nc3sccn23)N(C(C)(C)C)N1
ZINC38984858	Oc1ccc(Br)cc1/C=N/N1C(=S)[NH+]=NC1c1ccccc1Br
ZINC39353245	CC1C=C(/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)C(C)N1c1ccc(Cl)c(C(=O)[O-])c1
ZINC39353246	CC1C=C(/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)C(C)N1c1ccc(Cl)c(C(=O)[O-])c1
ZINC39707766	CC(SC1=NC2[NH+]=c3ccccc3=C2N=N1)C(=O)Nc1ccc(Br)cc1
ZINC39939754	Cc1ccc2c(c1)=C(O)C(/C=N/C1C(=O)N(c3ccccc3)N(c3ccccc3)C1C)C(=O)[NH+]=2
ZINC35843321	Cc1cc(C)c2c(c1)C1(C(=O)N2)C2C(=O)N(c3cccc(Cl)c3C)C(=O)C2C2CCCN21
ZINC35851743	CCc1cccc2c1NC(=O)C21C2C(=O)N(c3cccc4ccccc34)C(=O)C2C2CCC[NH+]21
ZINC35852017	CCc1ccc2c(c1)C1(C(=O)N2)C2C(=O)N(c3ccc(C)cc3C)C(=O)C2C2CCC[NH+]21
ZINC35804785	CCc1cccc2c1NC(=O)C21C2C(=O)N(c3ccc(OC)cc3)C(=O)C2C2CCC[NH+]21
ZINC49650970	CC(C(=O)/N=c1/[nH]c(-c2ccc(F)c(F)c2)cs1)[NH+]1CCC(C(=O)N2CCCCCC2)CC1
ZINC08918570	Cc1ccc(C)c(N2CC[NH+](CC3C(=O)OC4CC5=CCCC(C)C5(C)C(O)C43)CC2)c1
ZINC52565813	CC1=C(CN2Cc3ccccc3OC3(CCN(CC4=c5ccncc5=[NH+]C4)CC3)C2)C(C)ON1
ZINC41584788	O=c1cccc2n1CC1CC2C[NH+](Cc2c(O)ccc3c(Cc4ccccc4F)noc23)C1
ZINC63281810	Brc1ccc(OCC2=NN3C(=NNC3C3C=c4ccccc4=[NH+]3)S2)cc1
ZINC39980229	Cc1ccc(S(=O)(=O)/N=C2\N=c3ccccc3=[NH+]C2Nc2ccc(C)c(F)c2)cc1
ZINC63625821	CC1c2c([nH]n(-c3nc4ccccc4s3)c2=O)CC(=O)N1CCC1=c2ccccc2=[NH+]C1
ZINC38966046	COc1cc(/C=N/N2C(=S)[NH+]=NC2c2cccc(C)c2)cc(Br)c1O
ZINC65389346	COc1ccc2c(c1)=C1CCN(C(=O)c3ccc(C)cc3)C3(C(=O)Nc4ccccc43)C1[NH+]=2
ZINC01565494	NC(=[NH2+])c1cccc(OCCCOc2cccc(C(F)(F)F)c2)c1
ZINC06702111	NS(=O)(=O)c1ccc(CC[NH2+]Cc2ccc(Br)cc2)cc1
ZINC07537924	COc1cc(C[NH2+]Cc2ccc(C)cc2)cc(Br)c1OCC(N)=O
ZINC07875332	CC(C)Cc1ccc(C([NH2+]CC(=O)NC(=O)NC(C)C)C(C)C)cc1
ZINC04741629	CCN(CC)c1ccc(C2[NH+]=C(N)Nc3nc4ccccc4n32)cc1
ZINC20324640	CCc1sc2ncnc(NCCC[NH3+])c2c1-c1ccc(C)cc1
ZINC20872926	CC(O)C[NH2+]Cc1c(OCC(=O)NC(C)(C)C)ccc2ccccc12
ZINC27368674	CC(C)C([NH2+]CCOc1ccc(S(N)(=O)=O)cc1)c1cccs1
ZINC31919119	Nc1cc(CCC[NH+]2CCCCC2CCO)ccc1N1CCCC1
ZINC31960073	COC(=O)c1c(NC(=O)C[NH3+])sc2c1CCC(C(C)(C)C)C2
ZINC35230371	CC([NH2+]Cc1ccc(Br)cc1)c1ccc(S(N)(=O)=O)cc1
ZINC36266747	[NH3+]C1(CNS(=O)(=O)c2ccc(Br)cc2)CCCCCC1
ZINC36298904	CC(C)CC([NH3+])CNS(=O)(=O)c1ccc(Br)cc1Cl
ZINC36298928	Cc1ccc(Br)cc1S(=O)(=O)NCC([NH3+])CC(C)C
ZINC36783014	CC(C(=O)Nc1c(Cl)cc(N)cc1Cl)[NH+](C)C(C)C1CC1
ZINC37138111	CC(Nc1cc(S(N)(=O)=O)ccc1Cl)C1CCC[NH+](C)C1
ZINC37138114	CC(Nc1cc(S(N)(=O)=O)ccc1Cl)C1CCC[NH+](C)C1
ZINC37446515	CC(C)[NH2+]C(C)(C(N)=O)c1cc2cc(Br)ccc2o1
ZINC37614977	CCOC(=O)c1ccc(NC(=O)C(C)([NH3+])C2CC2)c(Br)c1
ZINC37649844	CC([NH2+]Cc1cccc(S(N)(=O)=O)c1)c1ccc(Br)cc1
ZINC37767023	CCCC(C)([NH3+])C(=O)Nc1c(C)cc(Br)cc1OC
ZINC02990483	CC(C)(C)c1cc(C[NH+](CCO)CCO)cc(C(C)(C)C)c1O
ZINC39531120	CSC1C[NH+](C(CNO)c2ccc(Cc3ccccc3)cc2)CCN1
ZINC39531547	CONCC(c1ccc(C)cc1)N1CC[NH2+]C(c2ccccc2O)C1
ZINC39533727	CSNCC(c1ccc(-c2ccccc2)cc1)N1CC[NH2+]C(O)C1
ZINC40757723	CN(c1ccccc1)c1[nH+]cnc(Nc2ccc(Cl)cn2)c1N
ZINC41495547	COc1ccc2[nH+]c(C)cc(Nc3ccc(S(N)(=O)=O)cc3)c2c1
ZINC42445275	CC[NH+](CCOc1ccc(Br)cc1)CC(C)/C(N)=N/O
ZINC43113048	CCCc1cc(=O)[nH]c(SC(c2cccs2)C([NH3+])CC)n1
ZINC43288324	[NH3+]CC(Oc1ccc2c(c1)CCC(=O)N2)c1cc(Br)cs1
ZINC44335220	COC(=O)C([NH3+])Cc1cc(Br)c(Cl)c(Br)c1O
ZINC44464273	[NH3+]C(CO)Cc1c(Sc2ccc(Cl)cc2)nc2sccn12
ZINC48363999	CC(C)CC(=O)NC(C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1)C(C)C
ZINC48797112	CNC(=O)C(CC(C)C)[NH2+]Cc1cccc(Br)c1O
ZINC48844781	CCC([NH2+]CCC[NH2+]C)(C(=O)[O-])c1ccc(Br)cc1
ZINC49147468	CC(NS(=O)(=O)c1ccc(CC[NH3+])s1)c1ccc(Cl)s1
ZINC49309166	CC([NH3+])Cc1cc(Br)ccc1OCC(=O)NC(C)C(C)C
ZINC52094580	CC[NH2+]C(c1cccs1)c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC52094697	CCC[NH2+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C1CCCC1
ZINC54403063	CC[NH2+]C(c1cc2[nH]c(=O)[nH]c2cc1Br)C(C)(C)CC
ZINC32087789	CCOc1cc(C(C[NH3+])N2CC(C)CC(C)C2)cc(Cl)c1O
ZINC61089041	CC[NH+]1CCC(CNC(=O)c2cc(N)c(F)cc2Br)CC1
ZINC61951408	CN(CCOc1ccc(Br)cc1)c1cccc(C(N)=[NH2+])c1
ZINC61951791	CN(CCOc1cccc(Br)c1)c1ccc(C(N)=[NH2+])cc1
ZINC61951797	CN(CCOc1ccc(Br)cc1)c1ccc(C(N)=[NH2+])cc1
ZINC62737555	CC(C)C[NH2+]Cc1ccc(Br)cc1N(CC(N)=O)C(C)C
ZINC63133201	Nc1c[nH+]c2ccc(Br)cc2c1NCCc1nccs1
ZINC65525878	CC(C)CC1NN(c2cc(F)ccc2F)C(c2cccc(=O)[nH]2)[NH2+]1
ZINC66898339	CC(C(=O)Nc1sccc1C(N)=O)[NH+]1CCCC(c2ccccc2)CC1
ZINC66988799	CNS(=O)(=O)c1cccc(C[NH2+]Cc2c(O)ccc3ccccc23)c1
ZINC00208752	CC1=CC(C)(C)N(CC(=O)c2ccc([N+](=O)[O-])cc2)c2ccccc21
ZINC01370757	COc1ccc(-c2nsc3c(N4CCCCCC4)ncnc23)cc1
ZINC00690982	Cc1ccc(C2SCCN2C(=O)c2ccc(C)c([N+](=O)[O-])c2)c(C)c1
ZINC04904928	Cc1ccc(-n2c(=O)c3ccccc3n(Cc3ccccc3C#N)c2=O)cc1
ZINC05014606	COC(=O)C1=NN(C(C)=O)C(c2ccc(C)cc2)(c2ccc(C)cc2)C1
ZINC05139047	O=c1c2cnn(-c3ccc(Cl)cc3)c2ncn1Cc1ccccc1Cl
ZINC04393649	CCc1ccc(N2C(=O)N(c3cccc(C)c3)C3CS(=O)(=O)CC32)cc1
ZINC02325645	COc1ccc2c(c1)c1nc(C)sc1n2S(=O)(=O)c1ccc(C)cc1
ZINC02886226	CCOc1ccc(C)cc1S(=O)(=O)n1cnc2cc(C)c(C)cc21
ZINC06490360	CCn1ccc(C(=O)n2nc(C)c(C34CC5CC(CC(C5)C3)C4)c2C)n1
ZINC02551496	Cc1ccc(S(=O)(=O)Oc2cc(=O)n3c4c(cccc24)CCC3)cc1
ZINC02790873	Cc1sc2ncn3nc(-c4ccc(OC(F)F)cc4)nc3c2c1C
ZINC07091134	O=C(OCc1cc(=O)n2c3c(sc2n1)CCCC3)C1CCCCC1
ZINC07983914	O=Cc1ccc(Oc2ccc(Br)cc2F)c([N+](=O)[O-])c1
ZINC04387457	CCc1ccccc1N1C(=O)N(c2ccc(C)cc2)C2CS(=O)(=O)CC21
ZINC09315130	Cc1ccc(-c2noc(CSc3ncnc4sccc34)n2)cc1
ZINC09157515	CC(Sc1nnc2n(C)c(=O)c3ccccc3n12)c1ccc(F)cc1
ZINC09724907	Cc1ccc(-n2nc(C)c3c(C)cc(=O)n(Cc4ccccc4C#N)c32)cc1
ZINC10243070	Cc1ccc2nc(CSc3nncn3-c3ccccc3C)cn2c1
ZINC12368964	O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(-c2ccno2)s1
ZINC12390697	Cc1ccc(C2=NN(C(=O)C(C)C)C(c3ccc4nccnc4c3)C2)cc1
ZINC12894933	CCC1c2ccsc2CCN1C(=O)/C=C/c1cccc([N+](=O)[O-])c1
ZINC13699370	CCn1nccc1C(=O)/N=c1\sc2cc(SC)ccc2n1CC
ZINC15483787	Cc1cc(C)c(SCc2nnc3n(C)c(=O)c4ccccc4n23)c(C)c1
ZINC16049807	O=C(OCN1C(=O)c2ccccc2C1=O)c1csc2c1CCCC2
ZINC24772562	Cc1nc2ccccc2nc1SCc1cc(=O)n2cccc(C)c2n1
ZINC28628482	COc1ccccc1-n1c(SC)nc2nc3c(cc2c1=O)CCCC3
ZINC31969689	CN(C)/C=C1/C(=O)N(c2nc3ccccc3s2)N=C1c1ccccc1
ZINC04335997	CN(C)/C=N/c1nnc(Sc2ccnc3cc(Cl)ccc23)s1
ZINC04435412	Cc1ccc(Cn2c(=O)n(Cc3ccco3)c(=O)c3ccccc32)cc1
ZINC39315288	Cc1nn(-c2c(F)c(F)c(C(F)(F)F)c(F)c2F)c(C)c1[N+](=O)[O-]
ZINC39751770	Cc1cc(CSC2=NC(=O)C3=C4CCC(C)CC4SC3=N2)no1
ZINC44432804	Cc1ccc(-c2noc(C3CCC(=O)N3Cc3ccccc3F)n2)cc1
ZINC44857628	CC1=NN(c2nc3ccccc3s2)C(=O)/C1=C\c1ccc(N(C)C)cc1
ZINC48760076	O=[N+]([O-])c1cc(Br)cnc1OC1CCCc2ccccc21
ZINC54174395	O=[N+]([O-])c1cc(CN2CCn3cccc3C2c2ccccc2)cs1
ZINC55253265	O=C(Oc1ccccc1-c1nnc2n1CCCCC2)C1CC=CCC1
ZINC55778519	O=C(Cc1ccccc1[N+](=O)[O-])N1CCCC1c1ccccc1Cl
ZINC57350651	Cc1ccccc1-c1noc(CN2CCN(c3ccccc3C)CC2)n1
ZINC57354768	CCn1cc(-c2nc(-c3ccc(Cl)cc3)no2)c(=O)c2ccccc21
ZINC10252127	COc1ccccc1-c1nc(CN2C(=O)c3ccccc3C2=O)cs1
ZINC59249089	CC1CCC(C(C)C)C(OC(=O)C2CCN(C(=O)N(C)C)CC2)C1
ZINC59309452	Cc1nn(CC(C)C)c2sc(C(=O)N3CCOC4CCCCC43)cc12
ZINC22121606	Cc1ccc2nc(CSc3nc4c(c(C)c3C#N)CCC4)cc(=O)n2c1
ZINC13139390	CCOC(=O)c1s/c(=N\C(=O)c2c(F)cccc2F)n(C)c1C
ZINC13564329	O=C1C2ON(c3ccccc3)C(c3ccccc3)C2C(=O)N1c1ccccc1
ZINC63443026	O=C(C1CCCN(c2ncccn2)C1)N(C1CCCC1)C1CCCC1
ZINC13152244	CCCC1C2C(=O)N(c3ccccc3)C(=O)C2ON1c1ccccc1
ZINC66467902	CN(C(=O)OC(C)(C)C)C1(C)CCN(c2cccc(F)c2C#N)CC1
ZINC66813905	O=[N+]([O-])c1sccc1N1CCOC(c2ccc(F)c(Cl)c2)C1
ZINC00877191	Cc1cc(C)c2cc(C)c3nnc(SCC(=O)N4CCCC(C)C4)n3c2c1
ZINC01500244	CC(C)(C)c1ccc(CN2CCN(c3ccc4c(c3)OCO4)C2=O)cc1
ZINC00807684	COc1ccc(-c2nc(-n3c(C)c4c(C)nnc(C)c4c3C)sc2C)cc1
ZINC04327216	Clc1ccc(CSc2ccc3nnc(-c4ccccn4)n3n2)cc1
ZINC00795598	Clc1ccccc1CSc1nnc2c(n1)OC=Nc1ccccc1-2
ZINC04491466	Cc1ccsc1/C=C(\C#N)c1nc(-c2ccc([N+](=O)[O-])cc2)cs1
ZINC02949301	O=C1CSC(c2ccccc2[N+](=O)[O-])N1c1ccc(Cl)c(Cl)c1
ZINC01431856	CC(C)N(C(=O)c1cccs1)c1ccc(-n2nc3ccccc3n2)cc1
ZINC03231025	Cc1ccc(Sc2c(C)nn(C(=O)c3ccc4c(c3)OCO4)c2C)cc1
ZINC05188240	O=C(c1ccco1)N(/N=C/c1cccs1)c1nc2ccc(F)cc2s1
ZINC06568492	CCc1nc(N2CCN(c3ccccc3F)CC2)c2oc3ccccc3c2n1
ZINC08221510	Cc1sc2ncn(Cc3ncc(-c4ccc(Cl)cc4)o3)c(=O)c2c1C
ZINC12914953	Cc1noc(C(C)Sc2nc(-c3cccs3)nc3ccccc23)n1
ZINC13951439	COC(=O)Cn1/c(=N/C(=O)C2CC2)sc2cc(Cl)cc(Cl)c21
ZINC15013316	CC/N=C1\S/C(=C/c2ccc(N3CCOCC3)cc2C)C(=O)N1CC
ZINC16222491	CC(C)OC(=O)c1ccc(N2C(=O)c3cccc4cccc(c34)C2=O)cc1
ZINC12566407	Cc1ccc(C(c2nnnn2C2CCCC2)N2c3ccccc3CC2C)cc1
ZINC20298739	O=Cc1ccc(Oc2ccc(Cl)cc2Br)c([N+](=O)[O-])c1
ZINC20580319	Cc1ccc(N(C)S(=O)(=O)c2cc(-c3cc(C)no3)ccc2C)cc1
ZINC24525670	Cc1ccccc1-n1ccnc1SCc1cc(=O)n2cccc(C)c2n1
ZINC30825128	CC(C)(C)c1ccc(-c2nnc3n2CN(Cc2ccncc2)CS3)cc1
ZINC16958572	CC1C(c2ccc(N(C)C)cc2)c2cc3c(cc2OC1N1CCCC1)OCO3
ZINC13750161	CCOc1ccc(C(C)=O)cc1N1C(=O)C2C3C=CC(C3=C(C)C)C2C1=O
ZINC13138683	CC1CC(C)CN(C(=O)CSc2nnc(-c3ccc(Cl)s3)o2)C1
ZINC05214969	C=CCN1C(=O)/C(=C\c2ccccc2C)S/C1=N\c1nnc(C)s1
ZINC38919857	Cc1ccc(-c2noc(C3CC(=O)N(c4ccc(C)c(F)c4)C3)n2)cc1C
ZINC38920287	Cc1ccc(N2CC(c3nc(-c4ccc(Cl)cc4)no3)CC2=O)c(Cl)c1
ZINC39127399	CCN(CC)c1ccc(/C=c2/sc3nc4cc(C)c(C)cc4n3c2=O)o1
ZINC39367694	COC(=O)c1ccc(/C=C/C2=NC(=O)C3=C4CCCCC4SC3=N2)cc1
ZINC39486930	CON1CCC(CN2C(=O)N(Cl)CC2(C)C)(C2CCCCC2)CC1
ZINC39499040	N#C/C(=C/c1ccc([N+](=O)[O-])cc1)c1nc(-c2ccc(Cl)cc2)cs1
ZINC39860118	COc1ccc(/C=C2\SC(=O)N(c3cc(C)ccc3C)C2=O)c(OC)c1
ZINC41091331	CCC1CCCCN1S(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC
ZINC41541247	N#Cc1ccccc1-c1ccccc1C(=O)C(C#N)c1nc2ccccc2o1
ZINC42622951	Cc1ccc(C)c(-c2nn(CN3CC(C)OC(C)C3)c(=O)c3ccccc23)c1
ZINC48336345	COc1ccc(Oc2ccccc2I)c([N+](=O)[O-])c1
ZINC49060467	Cc1ccc(N2CC(c3noc(-c4ccc(C(C)(C)C)cc4)n3)CC2=O)cc1
ZINC49060554	CCc1ccc(-c2nc(C3CC(=O)N(c4ccc(C)c(C)c4)C3)no2)cc1
ZINC22237346	Cc1cc(C)cc(-c2nnc(SC(C)C(=O)N3CCC(C)CC3)o2)c1
ZINC22707963	Cc1ccc(-c2noc(Cn3cc(C(F)(F)F)cc(Cl)c3=O)n2)cc1
ZINC13656397	CSCCn1/c(=N\C(=O)c2ccnn2C)sc2cc(C)c(C)cc21
ZINC41508077	O=c1c(Cl)coc2cc(OCc3cc(Cl)cc4c3OCOC4)ccc12
ZINC18210099	Cc1ccc(C2C3C(=O)N(c4ccccc4)C(=O)C3ON2c2ccccc2)cc1
ZINC63710176	Cc1ccccc1CSC1N=C2N=NC=C2C(=O)N1c1ccccc1C
ZINC64031953	Cc1ccc(N2C3=NC=NC(=O)C3=NC2SCc2ccccc2C)cc1
ZINC66814860	Fc1cccc(C2CN(c3nc(-c4ccncc4)nc4ccccc34)CCO2)c1
ZINC66818509	FC(F)(F)c1nnc2ccc(N3CCCC(c4ccccc4)CC3)nn12
ZINC67285237	Cc1cccc(N2CCN(c3nccn4nc(-c5cccs5)cc34)CC2)c1C
ZINC67428135	O=c1c2cc(Cl)cc(Cl)c2ncn1Cc1ncc(-c2cccs2)o1
ZINC67517781	Cc1ccc(-c2noc(CCC(=O)N3CCCC4CC(C)CCC43)n2)cc1
ZINC04222506	CNc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NC1CCCCC1
ZINC00845730	CCOc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2ccc(C)cc2)ccc1O
ZINC05383551	CC(C)(C)C(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)C(C)(C)C
ZINC06536126	O=C(NNC(=S)NC(=O)c1sc2ccccc2c1Cl)c1ccc(O)cc1
ZINC07656786	COc1cc(N)c(Cl)cc1C(=O)OC(C)C(=O)NC(=O)NC1CCCCC1
ZINC08831321	Cc1ccc(-c2ccc(C(=O)NC(=S)Nc3ccc(S(N)(=O)=O)cc3)o2)cc1Cl
ZINC09746196	CCOc1ccccc1NC(=O)C(Sc1nc(N)cc(=O)[nH]1)c1ccccc1
ZINC10149947	CCCOc1ccccc1C(=O)NC(=S)Nc1sc(C)c(CC)c1C(N)=O
ZINC10150105	CCc1c(C)sc(NC(=S)NC(=O)c2cccc(OC(C)C)c2)c1C(N)=O
ZINC09714917	Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)Nc3c(C(N)=O)oc4ccccc34)cc2)cc1
ZINC08926456	Nc1ccc(C(c2ccc(N)c([N+](=O)[O-])c2)(C(F)(F)F)C(F)(F)F)cc1[N+](=O)[O-]
ZINC16477935	NC(=O)COc1ccccc1C1NC(=S)NC(c2ccccc2)=C1C(=O)c1ccccc1
ZINC17417416	CCOP(=O)(Nc1ccc2c(c1)/C(=N/NC(N)=S)c1ccccc1-2)OCC
ZINC21318036	Nn1c(N/N=C/c2cccs2)nnc1SCC(=O)Nc1cc(Cl)cc(Cl)c1
ZINC21320117	Nn1c(N/N=C/c2cc(Cl)ccc2O)nnc1SCc1ccc(F)cc1
ZINC22196545	COc1ccc(C(C)(C)C)cc1NC(C)C(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC23011655	CC(C)C(NC(=O)c1cccs1)C(=O)Nc1ccc(NC(=O)Nc2ccccc2)cc1
ZINC25498203	Cc1ccc(NC(=O)NC(=O)C(C)Nc2ccc(NC(=O)CC(C)C)cc2)cc1
ZINC28359393	CC(Nc1ccc(OCC(N)=O)cc1)C(=O)Nc1ccc(OC(F)(F)F)cc1
