ZINC01027075	Cc1nnc(CSc2nnc3n(N)cnn23)o1
ZINC12659320	C#CC1(O)CCC2C3CCC4=C/C(=N\OCC(=O)NC(CCCC(N)=[NH2+])C(=O)OC)CCC4(C)C3CCC21C
ZINC05479325	CCc1nc(N)nc(N)c1-c1ccc(NCCCCCCCCCCCC[NH3+])c([N+](=O)[O-])c1
ZINC09805227	CCOC(=O)c1c(C)n(-c2ccc(C)cc2)c2ccc(OCC(O)C[NH2+]C(CO)(CO)CO)cc12
ZINC16195357	COc1cc(C[NH2+]CCNC(=O)c2nonc2N)cc(Br)c1OCC(N)=O
ZINC16957725	CCCC[NH+](CCCC)CC(C(=O)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])/C(C)=N\NC(=S)NN
ZINC04388818	CCCCC(C(=O)NCCC(C)C)N(CCC[NH+]1CCOCC1)C(=O)c1snc(C(N)=O)c1N
ZINC20807109	CC1(C)OC(=O)C(/C=N/C(CCCNC(N)=[NH2+])C(=O)Nc2ccc([N+](=O)[O-])cc2)C(=O)O1
ZINC20807114	CC1(C)OC(=O)C(/C=N/C(CCCNC(N)=[NH2+])C(=O)Nc2ccc([N+](=O)[O-])cc2)C(=O)O1
ZINC12585963	CCc1ccccc1Nc1nc(N)nc(C[N+]2(Cc3nc(N)nc(Nc4ccccc4CC)n3)CCCC2)n1
ZINC26897946	OC(C[NH2+]Cc1ccccc1)COc1ccc(Cc2ccc(OCC(O)C[NH2+]Cc3ccccc3)cc2)cc1
ZINC27468227	CC1(C)CC(=NNC(=O)CCCCCCCCC(=O)NN=C2CC(C)(C)[NH2+]C(C)(C)C2)CC(C)(C)[NH2+]1
ZINC28710160	Cc1cc(C)c(S(=O)(=O)NC(CNC(=O)COC2C[NH2+]C(CNc3cccc[nH+]3)C2)C(=O)[O-])c(C)c1
ZINC28631130	C[NH+](CCCNC(=O)CCCCC1SCC2NC(=O)NC21)CCCNc1ccc(NN[NH3+])cc1[N+](=O)[O-]
ZINC36367780	COC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
ZINC36367781	COC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
ZINC39559754	C/C=C/C=C/C=C\C(=O)NC(C(=O)OC(C1=C2C=CC(Cl)=CC2N=C1)C1NC(=O)CNC1=O)C(C)[NH3+]
ZINC39559757	C/C=C/C=C/C=C\C(=O)NC(C(=O)OC(C1=C2C=CC(Cl)=CC2N=C1)C1NC(=O)CNC1=O)C(C)[NH3+]
ZINC19638791	C/C(=C\C(=O)OCCOC(=O)/C=C(\C)NC1CC(C)(C)[NH2+]C(C)(C)C1)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC35179574	COC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
ZINC39946867	CC([NH3+])C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)Nc1ccc([N+](=O)[O-])cc1)C(C)C
ZINC41026003	NC(=O)c1c(Nc2nc(NCC[NH2+]CCO)nc3c2cnn3-c2ccccc2)sc2c1CCCC2
ZINC41026323	NC(=O)c1c(Nc2nc(NCC[NH2+]CCO)nc3c2cnn3-c2ccccc2)sc2c1CCC2
ZINC43736967	C#CC1(O)CCC2C3CCC4=C/C(=N\OCC(=O)NC(CCCC(N)=[NH2+])C(=O)OC)CCC4(C)C3CCC21C
ZINC43773459	COCCCOc1cc(CC(CC([NH3+])C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
ZINC43773462	COCCCOc1cc(CC(CC([NH3+])C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
ZINC44606392	C/C=C/C=C/C=C\C(=O)NC(C(=O)OC(c1c[nH]c2cc(Cl)ccc12)C1NC(=O)CNC1=O)C(C)[NH3+]
ZINC44606400	C/C=C/C=C/C=C\C(=O)NC(C(=O)OC(c1c[nH]c2cc(Cl)ccc12)C1NC(=O)CNC1=O)C(C)[NH3+]
ZINC44690216	COC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
ZINC44690218	COC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1(C)CCCC2(C)C3CCC(C(C)C)=CC3=CCC12
ZINC52627508	[NH3+]C(COc1cncc(/C=C/c2cc[nH+]c(NCc3ccccc3)c2)c1)CC1=c2ccccc2=[NH+]C1
ZINC63426947	CCC[NH+](CCC)CC1C(C(=O)N/N=C/C2=c3ccccc3=[NH+]C2)NNN1c1nonc1N
ZINC63426948	CCC[NH+](CCC)CC1C(C(=O)N/N=C/C2=c3ccccc3=[NH+]C2)NNN1c1nonc1N
ZINC63426949	CCC[NH+](CCC)CC1C(C(=O)N/N=C/C2=c3ccccc3=[NH+]C2)NNN1c1nonc1N
ZINC00123567	CC(C)C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)[O-]
ZINC08313891	CC1CCN(S(=O)(=O)c2ccc(C(=O)NC(C(=O)[O-])C(C)O)cc2)CC1
ZINC08313894	CC1CCN(S(=O)(=O)c2ccc(C(=O)NC(C(=O)[O-])C(C)O)cc2)CC1
ZINC04305388	CC(C)C(NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)C(=O)[O-]
ZINC12468606	C=CCN1C(=O)C(CC(=O)[O-])S/C1=N\c1ccc(S(N)(=O)=O)cc1
ZINC12761748	CC(O)C(NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1)C(=O)[O-]
ZINC13026381	O=C([O-])COc1ccc(/C=N/NC(=O)C2CCS(=O)(=O)C2)cc1
ZINC13168243	COC(=O)c1cc(C(=O)NC2(C(=O)[O-])CCCCC2)cc([N+](=O)[O-])c1
ZINC13168468	O=C(COc1ccc([N+](=O)[O-])cc1)NC1(C(=O)[O-])CCCCC1
ZINC17073284	CNS(=O)(=O)c1ccc(NC(=O)C2C3CCC(O3)C2C(=O)[O-])cc1
ZINC17080789	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CCn3ncc([N+](=O)[O-])c3C)C2SC1
ZINC32620179	O=C([O-])CNS(=O)(=O)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1
ZINC33534853	CCC(C)C1(C(=O)[O-])[NH2+]C(c2ccc(OC)c(C)c2OC)C2C([O-])=NC(=O)C21
ZINC17063535	Cc1ccc(S(=O)(=O)NN/C=C2\C=CC(=O)C(S(=O)(=O)[O-])=C2)cc1
ZINC35390633	CC(C)(C)C(NS(=O)(=O)c1cccc([N+](=O)[O-])c1)C(=O)[O-]
ZINC36133092	CN(CC(=O)NC1CC1)S(=O)(=O)c1ccc(C(=O)[O-])o1
ZINC36947399	CC(NS(=O)(=O)c1ccccc1[N+](=O)[O-])(C(=O)[O-])C1CC1
ZINC37019744	CC1(NS(=O)(=O)c2ccc(C(=O)[O-])o2)CCS(=O)(=O)C1
ZINC37838251	CC1CCC(C(N)=O)CN1S(=O)(=O)c1ccc(C(=O)[O-])o1
ZINC02328819	CC(=O)N/C(=C/c1ccc2c(c1)OCO2)C(=O)NCC(=O)[O-]
ZINC03864710	COc1ccc(/C=C/C(=O)[O-])cc1S(=O)(=O)NC1CCS(=O)(=O)C1
ZINC38600503	O=C([O-])/C=C\C(=O)NNC(=O)C1C=C(c2ccccc2)N=N1
ZINC39040756	O=C(CC[N-]C1=NC(Cl)=NC2N=CN=C12)NCc1ccco1
ZINC39482954	CC(C)S(=O)(=O)c1ccc(NS(=O)(=O)[O-])c(N2CCNC(F)C2)c1
ZINC39697240	O=C([O-])/C=C/C(=O)NNC(=O)C1C=C(c2ccccc2)N=N1
ZINC40693301	CCc1nc2scc(C(=O)[O-])c2c(=O)n1CC(=O)NCC1CCCO1
ZINC40828953	COCCn1cc([N-]S(=O)(=O)c2cn[nH]c2C)ccc1=O
ZINC41018258	CC(=O)NC(C)C(=O)Nc1nnc(SCC(=O)[O-])s1
ZINC41137381	Cc1ccc(S(=O)(=O)/N=C(\[O-])NCCc2nnc(C)o2)cc1
ZINC41159775	Cn1cc(CNS(=O)(=O)c2cnn(CC(=O)[O-])c2)cn1
ZINC42710893	CCOC(=O)CN(C(=O)N1CC(O)CC1C(=O)[O-])C(C)C
ZINC43703988	CC(C)CCNC(=O)NC(=O)CN1CCOC(C(=O)[O-])C1
ZINC44931322	CC(Nc1ccc(S(=O)(=O)NC2CC2)cc1)c1nnn[n-]1
ZINC44977346	Cc1ccc(C#CCO)cc1S(=O)(=O)NCc1nnn[n-]1
ZINC47967764	CC(C)C(Nc1ccc(S(C)(=O)=O)cc1[N+](=O)[O-])C(=O)[O-]
ZINC48961634	COC(=O)N[N-]S(=O)(=O)c1cc(S(C)(=O)=O)ccc1Br
ZINC49063947	COC(=O)C(C)S(=O)(=O)[N-]c1ccc(C)c(S(N)(=O)=O)c1
ZINC50987269	CC(C)N/C([O-])=C(\C#N)C(=O)c1cc(S(=O)(=O)N2CCCCC2)cn1C
ZINC51618554	CC(C)(C)c1nnc(/N=C(\[O-])N2CCOC(C(N)=O)C2)s1
ZINC54505287	Cc1cc([N+](=O)[O-])ccc1S(=O)(=O)NC(C(=O)[O-])C1CC1
ZINC55617978	COc1ncccc1[N-]S(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC20228158	COc1cc([N+](=O)[O-])cc(/C=N/NC(=O)Cn2cnnn2)c1[O-]
ZINC61405890	CC1CCC(C(N)=O)CN1C(=O)c1cccc(-n2nc([O-])ccc2=O)c1
ZINC61827772	CC(NC(=O)NC(=O)CC(C)(C)CC(=O)[O-])C(=O)N(C)C
ZINC61833468	CC(CC(=O)[O-])CC(=O)NC(=O)NCC1CCS(=O)(=O)C1
ZINC61890118	N#CC1CCCC1NS(=O)(=O)c1cnn(CCC(=O)[O-])c1
ZINC63944621	O=C(NCC1CC=CO1)c1ccccc1[N-]S(=O)(=O)C1=CN=NC1
ZINC66580886	CCn1cc(S(=O)(=O)[N-]c2cc(S(N)(=O)=O)ccc2C)cn1
ZINC66814486	O=S(=O)(CC1CCCO1)c1ccc([N-]S(=O)(=O)c2cn[nH]c2)cc1
ZINC66837023	CC(NC(=O)C1CCOCC1)/C([O-])=N/c1nc(C(C)C)n[nH]1
ZINC02092071	Cc1cc(OCC(=O)NCC(=O)NCC(=O)[O-])c2c(C)c(C)c(=O)oc2c1
ZINC02104030	CC(Oc1ccc2c3c(c(=O)oc2c1)CCCC3)C(=O)NCC(=O)NCC(=O)[O-]
ZINC02118941	COc1ccc2c(C)c(CC(=O)NCC(=O)NC(C(=O)[O-])C(C)C)c(=O)oc2c1C
ZINC02949999	CC(C)C(NC(=O)/C(=C/c1ccc2c(c1)OCO2)NC(=O)c1ccco1)C(=O)[O-]
ZINC13034972	Cc1nc2nc(SCC(=O)NC(=O)NC3CC3)nn2c(C)c1CCC(=O)[O-]
ZINC13243301	Cc1ccc(Cl)cc1NC(=O)CNC(=O)NC(CC(=O)N1CCOCC1)C(=O)[O-]
ZINC13243303	Cc1ccc(Cl)cc1NC(=O)CNC(=O)NC(CC(=O)N1CCOCC1)C(=O)[O-]
ZINC13243361	O=C(CNC(=O)NC(CC(=O)N1CCOCC1)C(=O)[O-])Nc1ccc(F)cc1F
ZINC13244749	O=C(CNC(=O)NC(CC(=O)N1CCCC1)C(=O)[O-])Nc1cc(Cl)ccc1F
ZINC13244772	Cc1ccc(NC(=O)CNC(=O)NC(CC(=O)N2CCCC2)C(=O)[O-])cc1[N+](=O)[O-]
ZINC13244813	O=C(NCc1ccc([N+](=O)[O-])cc1)NC(CC(=O)N1CCCC1)C(=O)[O-]
ZINC13245296	O=C(CNC(=O)NC(CC(=O)N1CCCC1)C(=O)[O-])Nc1ccc(Cl)cc1F
ZINC13455765	CS(=O)(=O)NC1CCN(S(=O)(=O)c2ccc(O)c(C(=O)[O-])c2)CC1
ZINC13469585	NS(=O)(=O)c1ccc(NC(=O)CC2(C(=O)[O-])CCCC2)c([N+](=O)[O-])c1
ZINC22054966	Cc1cc(C2CCCCC2)n(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(=O)c1
ZINC22054973	Cc1cc(C2CCCCC2)n(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(=O)c1
ZINC25607773	Cc1c(C(=O)N(C)C(C)c2ccc(S(N)(=O)=O)cc2)cnn1-c1ccc([O-])nn1
ZINC26341251	COCCCn1c([O-])nnc1SC(C(=O)NC(N)=O)C(C)C
ZINC28968922	O=C1NC(=S)NC(=O)C1=CNc1cc(S(=O)(=O)N2CCCC2)ccc1[O-]
ZINC33327150	COC(=O)c1ccc([N-]S(=O)(=O)c2c(C)[nH]c(=O)[nH]c2=O)cc1
ZINC34779077	Cc1c(C(=O)[O-])sc2c1c(=O)n(CC(N)=O)c(=O)n2CC(=O)NC1CCCCC1
ZINC36358738	C[NH+]1CCN(C(C(=O)[O-])c2c[nH]c3ccc(NC(=O)/C=C/C(=O)[O-])cc23)CC1
ZINC36603486	C/C(=N\NC(=O)Cc1ccc([N+](=O)[O-])cc1)c1c([O-])[nH]c(=O)[nH]c1=O
ZINC06624054	Cc1coc2c1c(C)cc1oc(=O)c(CC(=O)NCC(=O)NCC(=O)[O-])c(C)c12
ZINC02852697	Cc1nn(C)c(C)c1NC(=S)Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1
ZINC38555862	[NH-]C1=NC(=O)C2=NC(SCc3ccc(F)cc3)N(C3OC(CO)C(O)C3O)C2=N1
ZINC13465338	CC1CN(C(C)(C)CNc2ccc(C(=O)NC(C)C(=O)[O-])cc2[N+](=O)[O-])CC(C)O1
ZINC13059646	CC(CN1CCOCC1)C(=O)NNS(=O)(=O)c1ccc(C(=O)[O-])cc1
ZINC39973065	[NH-]C1=NC(=O)C2=NC(SCCc3ccccc3)N(C3OC(CO)C(O)C3O)C2=N1
ZINC33574431	COc1ccc(C2C3C(=O)N=C([O-])C3ON2CCC(N)=O)cc1O
ZINC33860036	Cc1ccc(C)c(C2NC(Cc3ccc([N+](=O)[O-])cc3)(C(=O)[O-])C3C(=O)NC(=O)C23)c1
ZINC43772514	CC(=O)NCC(SC(=O)C1(C(O)C(C)C)NC(=O)C(C)C1O)C(=O)[O-]
ZINC15047726	COc1cc(/C=C2\SC(=S)N(C(C)C(=O)NCC(=O)[O-])C2=O)cc(OC)c1O
ZINC15047729	COc1cc(/C=C2\SC(=S)N(C(C)C(=O)NCC(=O)[O-])C2=O)cc(OC)c1O
ZINC50672613	CCNc1ncc(Br)cc1S(=O)(=O)NC(C)c1nnn[n-]1
ZINC51068851	Cn1c(N)c(/C([O-])=C(\C#N)C(=O)CCOCC(F)(F)F)c(=O)n(C)c1=O
ZINC23141219	CCCCC(NC1=NS(=O)(=O)c2ccccc21)/C([O-])=N/c1ncn[nH]1
ZINC58950061	COC(=O)C1=C(N)Oc2nc([O-])[nH]c(=O)c2C1c1cccc([N+](=O)[O-])c1
ZINC21039592	COc1ccc(/C=N/Nc2n[nH]c(SC/C([O-])=N/c3ncn[nH]3)n2)cc1
ZINC21040077	COc1cccc(/C=N/Nc2n[nH]c(SC/C([O-])=N/c3ncn[nH]3)n2)c1
ZINC55586635	Cn1cc(S(=O)(=O)[N-]c2ccccc2-n2ncc(C#N)c2N)cn1
ZINC63878063	Cc1ccc(C(N)=O)cc1[N-]S(=O)(=O)c1cccc(-n2cnnn2)c1
ZINC64376361	COc1ccc(S(=O)(=O)NNC(=O)NC2CC2)cc1C(=O)[O-]
ZINC65623221	CCNC(=O)NNC(=O)c1cccc(S(=O)(=O)[N-]c2cc(C)on2)c1
ZINC65739394	Cc1cc(C2CCCCC2)n(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(=O)c1
ZINC65739396	Cc1cc(C2CCCCC2)n(OC2OC(C(=O)[O-])C(O)C(O)C2O)c(=O)c1
ZINC65832536	Cc1cccc([N-]S(=O)(=O)c2cccc(-n3cnnn3)c2)c1C(N)=O
ZINC66249810	Cn1cc(S(=O)(=O)[N-]c2nc3cc4c(cc3s2)OCCO4)cc1C(N)=O
ZINC66928712	Cc1cccc(-c2n[nH]c(/N=C(\[O-])C(C)NC(=O)C3CCOCC3)n2)n1
ZINC67245054	CCNC(=O)Cn1ccc([N-]S(=O)(=O)c2c[nH]c3ncccc23)n1
ZINC00583611	CCOc1ccc(C2C(C#N)=C(N)Oc3[nH]c(=O)[nH]c(=O)c32)cc1
ZINC04329065	CC(=O)c1c(C)[nH]c(C(=O)OC(C(=O)NC(N)=O)C(C)C)c1C
ZINC05514304	O=c1c(-c2cscn2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12
ZINC08665204	NC(=O)C(=CN1C(=O)/C(=C/c2ccc([N+](=O)[O-])cc2)SC1=S)C(N)=O
ZINC08870487	Cc1c(C(=O)NN)c2cc(NS(C)(=O)=O)ccc2n1S(C)(=O)=O
ZINC04774178	CC(=O)Nc1cc2c(ncn2C2OC(CO)C(O)C2O)c(Br)n1
ZINC06693958	CNS(=O)(=O)c1ccc(NC=C2C(=O)NC(=S)NC2=O)cc1
ZINC25758022	CC(=O)c1cc2ccc(OC3OC(CO)C(O)C(O)C3O)cc2oc1=O
ZINC34732215	CCC1=C(C)Cc2sc3c(c21)c(=O)n(CC(N)=O)c(=O)n3CC(N)=O
ZINC35354154	COCC(C)NS(=O)(=O)c1cc(S(C)(=O)=O)ccc1NN
ZINC01779078	CCc1nnc(SCCSc2nnc(CC)n2N)n1N
ZINC04073480	Cc1c(C)c2ccc(OC3OC(CO)C(O)C(O)C3O)c(C)c2oc1=O
ZINC40378396	NS(=O)(=O)NCC1CCCN(C(=O)C2CSC(=O)N2)C1
ZINC41694363	COCCNC(=O)CNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1
ZINC42349841	Cn1c(N)nnc1SCC(=O)NC(=O)NC1CCCCC1
ZINC42526599	COCC(O)CN(C)S(=O)(=O)c1cc(Br)cnc1NN
ZINC43005513	CC(NC(N)=O)C(=O)Nc1nc(-c2ccc3c(c2)OCCO3)cs1
ZINC43163801	CC(C)CNc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1
ZINC33919817	CCCCN1C(=O)C2C(c3ccccc3O)[NH2+]C(CO)(C(=O)[O-])C2C1=O
ZINC33916514	CC(C)(C)N1C(=O)C2C(c3ccccc3O)[NH2+]C(CO)(C(=O)[O-])C2C1=O
ZINC44170539	O=[N+]([O-])c1ccc(SC2OC(CO)C(O)C(O)C2O)cc1
ZINC44608141	CC(C)CNc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1
ZINC44680636	CCOCC(C)NS(=O)(=O)c1c(NN)nc2sccn12
ZINC45011902	Cc1nccc(CNS(=O)(=O)c2cc(Br)cnc2NN)n1
ZINC45173352	CS(=O)(=O)c1ccc(CNS(=O)(=O)c2c[nH]nc2N)cc1
ZINC47962287	NC(=O)c1ccsc1NC(=O)C(=O)NCc1ccc2c(c1)OCO2
ZINC50306225	Cc1[nH]nc(C(=O)N2CCCC(CNS(C)(=O)=O)C2)c1N
ZINC51809057	C#CCNC(=O)CNC(=O)C(=O)Nc1cc(NC(=O)C2CC2)ccc1C
ZINC53243969	COC(=O)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
ZINC56851015	CC1CCCCC12NC(=O)N(CC(=O)NCCS(N)(=O)=O)C2=O
ZINC59158840	NC(=O)COc1ccc(/C=N/NC(=O)C2CCCNC2=O)cc1
ZINC42890015	O=C(NCC(F)(F)F)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
ZINC59845414	CC(=O)NNC(=O)C(C)Sc1nnc(-c2ccncc2)n1N
ZINC59882363	CCc1nnc(SC(C)C(=O)NNC(=O)C2CCC2)n1N
ZINC61650974	NS(=O)(=O)c1cc(C(=O)NNC(=O)c2ccoc2)cs1
ZINC61888159	Cc1nn(C)c(C)c1S(=O)(=O)NC1CCCC1/C(N)=N/O
ZINC63767978	Cc1nc2c(C(N)=O)cnn2c(C)c1CCC(=O)N1CC(C(N)=O)CCC1C
ZINC64208211	CC1=C(CCC(=O)Nc2nc(C3=CC(C(N)=O)=NC3)cs2)C(C)N(C)N1
ZINC64427957	CNS(=O)(=O)c1ccc(C)c(C(=O)NNC(=O)NC2CC2)c1
ZINC64428475	CNS(=O)(=O)c1ccc(CCC(=O)NNC(=O)NC2CC2)cc1
ZINC64683520	O=C(CNC(=O)NC(CC1=c2ccccc2=[NH+]C1)C(=O)[O-])NC1CCCCC1
ZINC64900241	O=C(NNC(=O)C1CSCN1C(=O)c1c[nH]c2ccccc12)NC1CC1
ZINC51808506	C#CCNC(=O)CNC(=O)C(=O)Nc1ccc(C(=O)NC(C)C)cc1C
ZINC65533303	O=C(CCNC(=O)NNC(=O)C1CCCO1)NC1CCCC1
ZINC66452086	Cn1ccnc1C(O)(CCNC(=O)c1nccnc1N)C(F)(F)F
ZINC66566589	CC1CCCC(NC(=O)CN2CCN(C(C)C(=O)NC(N)=O)CC2)C1
ZINC66589589	CC(C)CCC(=O)NNS(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC66655237	CCOCC(=O)NNC(=O)c1ccc(N2CCCC(C(N)=O)C2)cc1
ZINC67050670	CCNC(=O)NC1(C(=O)NCc2n[nH]c(=S)n2CC)CCCC1
ZINC67246138	O=C1NC(=O)C2(CCC(C(=O)NCCNC(=O)C3CC3)CC2)N1
ZINC01396030	Cc1ccc(C)n1-c1ccsc1-c1cc2nccc(-c3ccccn3)n2n1
ZINC01835614	COc1ccccc1/C=C1/SC(=S)N(c2ccc3c(c2)OCO3)C1=O
ZINC01027249	Cc1ccc(C(=O)N2CCN(Sc3ncnc4sccc34)CC2)cc1
ZINC01507906	CC1=C(P(=S)(N2CCOCC2)N2CCOCC2)C2CCCCC2O1
ZINC04723394	COc1ccc(C2SCC3C(=O)N(c4ccc(F)cc4)C(=O)N32)cc1
ZINC05091908	CC(C)(C)C(=O)C1C(c2ccco2)C(C#N)(C#N)C2C=Cc3ccccc3N12
ZINC05271513	C=C1c2cc(OC)c(OC)cc2CCN1C(=O)c1ccc(Br)o1
ZINC02689345	COc1ccc2oc(=O)c(S(=O)(=O)c3ccc(F)c(Cl)c3)cc2c1
ZINC08390255	CC(C)n1ncc2c(C(=O)N3CCCC4CCCCC43)cc(C3CC3)nc21
ZINC08715619	Cc1c(N2C(=O)C(C)SC2c2ccccc2)c(=O)n(-c2ccccc2)n1C
ZINC11996571	CC1=CC(=O)C=C/C1=N\OS(=O)(=O)c1ccc(Br)cc1
ZINC04260574	CC12COC(COc3ccccc3)OC1CCC1(C)C3CC(=O)OC3CCC21
ZINC12551376	CC(=O)c1ccc(N2CCN(C(=O)c3cc4ccccc4o3)CC2)c(F)c1
ZINC14169442	O=C(C1CCCC1)N1CCN(S(=O)(=O)c2ccc(F)c(Cl)c2)CC1
ZINC20979565	Cc1ccc(CN2C(=O)N(c3cc(C)ccc3C)C3CS(=O)(=O)CC32)cc1
ZINC22843791	O=S(=O)(N1CCCCC1)N1CCCCC1c1nc2ccccc2s1
ZINC23083021	CN(Cc1nnc2n1CCCCC2)C(=O)c1cc2c(F)cccc2s1
ZINC28192541	Cc1cccc2nc(Cn3c(C(F)(F)F)nc4ccccc43)cc(=O)n12
ZINC28748088	N#CC(C#N)=c1s/c(=C\c2cccc(Cl)c2)c(=O)n1CC1CCCO1
ZINC32634222	CC(C)c1ccc(N2/C(=N/C(=O)CCl)SC3CS(=O)(=O)CC32)cc1
ZINC35525445	Cc1sc2nc(C(C)C)nc(N3CCN(C(=O)C(C)Cl)CC3)c2c1C
ZINC36113778	Cc1ccccc1C1c2ccccc2CCN1S(=O)(=O)c1c(C)noc1C
ZINC36620364	Cc1ccccc1C1CCCN1S(=O)(=O)c1ccc2c(c1)OCCO2
ZINC39136245	COc1cc2c(cc1OC)-c1c(-c3ccc(Cl)cc3)oc(=O)n1CC2
ZINC39422519	CC1CCC2=C3C(=O)N=C(C(C)Sc4nncs4)N=C3SC2C1
ZINC39733265	CC(SC1=NC(=O)C2=C3CCCCC3SC2=N1)C(=O)N1CCCC1
ZINC41683231	Cc1nn(C)c2c(Oc3ccc(Br)cc3)nc(C3CC3)nc12
ZINC49483982	O=C(c1cc(Cl)cc(Cl)c1)N1CC(c2nc(-c3cccs3)no2)C1
ZINC52734731	CN(C(=O)C(=O)N1CCOC(c2ccc(Cl)cc2)C1)c1ccc(F)cc1
ZINC13723936	O=c1oc2c3c(ccc2cc1-c1cccs1)OCN(Cc1cccnc1)C3
ZINC16600448	Cc1ccc(S(=O)(=O)N2CCN(C(=O)C3CC4CCC3C4)CC2)c(C)c1
ZINC58530195	CC(=O)N1c2ccc(S(=O)(=O)Oc3ccc(F)c(F)c3)cc2CC1C
ZINC08380803	CC1CC1C(=O)N1CCN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1
ZINC60447128	Cn1ncc(N2CCC(C(=O)c3ccc(Cl)cc3)CC2)c(Cl)c1=O
ZINC41398450	O=C(Oc1ccccc1)N1CCN(C(=O)C23CC4CC(CC(C4)C2)C3)CC1
ZINC62511201	Cc1onc(C(C)(C)C)c1C(=O)N1CCN(C)C(c2ccccc2F)C1
ZINC62616749	COc1ccc(S(=O)(=O)N2CCn3c(cc4ccccc43)C2)cc1C
ZINC41646922	Cc1cc2c(c3c1C(=O)/C(=C/c1ccccc1)O3)CN(CC1CCCO1)CO2
ZINC41653801	CC(c1ccccc1)N1COc2ccc3c(c2C1)O/C(=C\c1cccnc1)C3=O
ZINC63113356	CC1CCC2C(CCCN2C(=O)C2CCN(C(=O)OC(C)(C)C)CC2)C1
ZINC63411738	CCN(C(C)=O)c1nc(/C=C2/COc3cc(C)cc(C)c3C2=O)cs1
ZINC18100854	CN1/C(=C\C(=O)CN2C(=O)C3CC=CCC3C2=O)C(C)(C)c2ccccc21
ZINC63738641	CN(C)C(=O)C1CCCN(c2ncnc3scc(-c4ccccc4)c23)C1
ZINC65240745	Cc1csc(-c2ccc(N3CCN(C(=O)c4ccccc4C)CC3)nc2)n1
ZINC66396095	CC1CN(C2CCN(C(=O)/C=C/c3ccc4c(c3)CCCN4C)CC2)CCO1
ZINC66728490	Cc1ccc(C)n1-c1sccc1C(=O)N1CCCN(C(=O)C(C)(C)C)CC1
ZINC66933703	Cc1cnc2c(S(=O)(=O)N3CCOC(c4ccccc4F)C3)cccc2c1
ZINC66937691	O=S(=O)(c1cccc(F)c1F)N1CCCC1c1cccc2c1OCCO2
ZINC66937731	O=S(=O)(c1cc(F)cc(F)c1)N1CCCC1c1cccc2c1OCCO2
ZINC66961814	CC(C(=O)N1C(C)CCCC1C)N1CCN(c2ccc(Cl)cn2)CC1
ZINC05489637	COc1ccc(C)cc1N1/C(=N/C(=O)CCC(=O)[O-])SC2CS(=O)(=O)CC21
ZINC05489650	COc1ccc(C)cc1N1/C(=N/C(=O)CCC(=O)[O-])SC2CS(=O)(=O)CC21
ZINC04724306	O=C(N/N=C/c1ccc(S(=O)(=O)[O-])o1)C1COc2cc3ccccc3cc2O1
ZINC13168274	Cc1ccc(C(=O)NC2(C(=O)[O-])CCCCC2)cc1S(=O)(=O)N1CCOCC1
ZINC13399054	Cn1nc(C(=O)N2CCN(S(=O)(=O)c3cc(C(=O)[O-])cs3)CC2)ccc1=O
ZINC15229829	CNC(=O)C1C(C(=O)[O-])C2CCC(=O)N2C1c1ccc(OC)c(OC)c1
ZINC21777715	Cc1c([N-]S(=O)(=O)c2ccccc2)c(-n2cnnc2)nn1C
