ZINC01615674	CC(O)C(NC(=O)c1cnc2ccccc2n1)C(=O)[O-]
ZINC38098838	CC(C)N(CCCO)C(=O)c1ccc(-c2nnn[n-]2)cc1
ZINC39716642	O=C([O-])COc1ccc(/C=N/n2c(C3CC3)n[nH]c2=S)cc1
ZINC41072376	COc1cc(OC)c(C(O)COCC(=O)[O-])c(OC)c1
ZINC41074070	CCN(C(=O)NC(=O)COCC(=O)[O-])c1cccc(C)c1
ZINC42527090	COCC(O)CN(C)C(=O)N(CCC(=O)[O-])C(C)(C)C
ZINC42711310	COC(=O)C(C)CN(C)C(=O)NC1(C(=O)[O-])CCCCC1
ZINC42711313	COC(=O)C(C)CN(C)C(=O)NC1(C(=O)[O-])CCCCC1
ZINC44888306	COc1ccc(SCC(=O)NC(C)c2nnn[n-]2)cc1
ZINC44928892	O=C(CCOc1cccc(Cl)c1)NCc1nnn[n-]1
ZINC48971054	CCN(Cc1cccs1)C(=O)Nc1cnn(CC(=O)[O-])c1
ZINC49076157	O=C([O-])c1cc(S(=O)(=O)NCCn2cccn2)ccc1F
ZINC49252140	CCCc1nnc([S-])n1CC(=O)NC(C)C(=O)OCC
ZINC49416701	CC(COCC(F)(F)F)NC(=O)/C([O-])=N/c1nncs1
ZINC49474730	CC(CNC(=O)CCN1C(=O)c2ccccc2C1=O)C(=O)[O-]
ZINC50364276	COCC(O)CN(C)c1cnc(C(C)C)nc1C(=O)[O-]
ZINC50391850	CCCn1cc(S(=O)(=O)NC(C)CC#N)cc1C(=O)[O-]
ZINC52096028	Cn1cnc(S(=O)(=O)NC(CC(=O)[O-])c2ccccc2)c1
ZINC53162499	COCCC(Nc1c([N+](=O)[O-])ccc(F)c1F)C(=O)[O-]
ZINC53732827	CCOCCC(=O)Nc1nnc(SCC(=O)[O-])s1
ZINC54156629	CCn1cc(S(=O)(=O)NCC(C)C#N)cc1C(=O)[O-]
ZINC55404335	O=C(CCN1CCCCO1)NCCc1nc(C(=O)[O-])cs1
ZINC57842285	CCCOc1ccc(C2(C)NC(=O)N(CC(=O)[O-])C2=O)cc1
ZINC57842314	C=C(C)COc1ccc(C2(C)NC(=O)N(CC(=O)[O-])C2=O)cc1
ZINC49050362	CC(C(=O)[O-])S(=O)(=O)[N-]c1ccc(OCC[NH+](C)C)cc1
ZINC61593701	CCCn1c(SCC2CCC(C(=O)[O-])O2)n[nH]c1=O
ZINC61685956	CCCNc1ncccc1S(=O)(=O)[N-]c1cnoc1
ZINC61835279	CC(CC(=O)[O-])CC(=O)NCCc1nnc2ccccn12
ZINC61835469	CC(CC(=O)[O-])CC(=O)Nc1ccc(S(C)(=O)=O)nc1
ZINC62846911	CCC1(C(=O)[O-])CCN(C(=O)NCCC(=O)OC)CC1
ZINC62876268	CCOC(=O)CCNC(=O)N1CCCC(C)(C(=O)[O-])C1
ZINC65372051	CC1=C(C(NC(=O)COc2cccc(C)c2)C(=O)[O-])C(C)N=N1
ZINC67642388	CCn1cnnc1CN(C)Cc1ccc(O)c(C(=O)[O-])c1
ZINC04299288	Cc1cc(C)c(C(O)C(NC(=O)OC(C)(C)C)C(=O)[O-])cc1C
ZINC02097508	O=C([O-])CCCNC(=O)/C(=C/c1ccccc1)NC(=O)c1ccccc1
ZINC09550283	O=C(CCSc1ccc(F)cc1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC12997510	Cc1cccc(C[NH2+]C(c2ccc([N+](=O)[O-])cc2)P(=O)([O-])[O-])c1
ZINC13346205	O=C([O-])c1cc(S(=O)(=O)Nc2ccc(OC(F)F)cc2)ccc1O
ZINC16447861	Cc1ccc(OCC(=O)NNC(=O)C2C3C=CC(C3)C2(C)C(=O)[O-])cc1
ZINC09244094	Cc1n[nH]c(-c2ccc(OCC(=O)[O-])cc2O)c1Oc1ccccc1
ZINC06015145	CC(C)OCCCNC(=O)c1c([O-])c2c([nH]c1=O)CCCC2
ZINC20395335	Nn1c(Cc2cccs2)nnc1SCc1ccc(C(=O)[O-])o1
ZINC03984838	C/C(=N\C(CO)C(O)c1ccc([N+](=O)[O-])cc1)C1=C([O-])CC2C1C2(C)C
ZINC20412614	Cc1cc(O)c2c(C)c(CC(=O)NCCCC(=O)[O-])c(=O)oc2c1
ZINC20588248	Nn1c(SCC(=O)[O-])nnc1-c1cccc(OC(F)F)c1
ZINC21026934	O=C([O-])c1cc(S(=O)(=O)NCCc2ccccc2F)c[nH]1
ZINC23628615	CC(Nc1ccc([N-]S(C)(=O)=O)cc1)C(=O)NC(C)c1ccccc1
ZINC12998743	CCCOc1ccc(C(Nc2ccc(F)cc2)P(=O)([O-])O)cc1
ZINC27642591	CC#CCC(C)C(O)/C=C/C1C(O)CC2Oc3c(CCCC(=O)[O-])cccc3C21
ZINC31966065	O=C([O-])CCC(=O)Nc1ccc(NCCC2=CCCCC2)cn1
ZINC05844540	CCCC(=O)NNC(=O)c1c([O-])n(CCC)c2ccccc2c1=O
ZINC33519995	Cc1cc(C(=O)NCCCC(=O)[O-])c(NC(=O)CC(C)C)s1
ZINC02083255	O=C([O-])CCNC(=O)/C(=C\C=C\c1ccccc1)NC(=O)c1ccccc1
ZINC02257390	O=C([O-])CCCNC(=O)/C(=C\c1ccccc1F)NC(=O)c1ccccc1
ZINC38107680	NC(=O)COc1cccc([N-]S(=O)(=O)c2cnc(Cl)s2)c1
ZINC03886296	O=C([O-])C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(Cl)cc1
ZINC09747467	O=C(CCn1c([S-])nnc1-c1ccc(F)cc1)NNC(=O)C1CC1
ZINC39747020	CCC1NN=C(NC(=O)CCc2c(C)nc(SC)nc2[O-])S1
ZINC40123857	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)NC2c2ccc(O)cc2)cc1C
ZINC02583088	CC(C)(C)OC(=O)NC(Cc1c[nH]c2cc(F)ccc12)C(=O)[O-]
ZINC41285908	CCc1ccc(Nc2nc(CC(=O)NC(CC)C(=O)[O-])cs2)cc1
ZINC45549159	C[NH2+]C(CSc1nccc([O-])n1)(C(=O)[O-])c1ccccc1
ZINC46660900	O=C(NCCc1ccc(OC(F)F)cc1)c1ccc2c([O-])[nH]c(=S)nc2c1
ZINC48609455	Cc1nc([S-])sc1CC(=O)NCCNC(=O)C(C)C
ZINC19850722	O=C(CSC/C([O-])=N/c1ncn[nH]1)Nc1ccc2ccccc2c1
ZINC45581547	CCCc1cc(=O)[nH]c(SCCC(C)(N)C(=O)OCC)n1
ZINC54310577	CC(CNC(=O)CNC(=O)c1ccccc1Br)C(=O)[O-]
ZINC54632257	O=C(Cn1c([S-])nnc1-c1ccc(Cl)cc1)NCCc1ccc(O)cc1
ZINC55581201	CC(=O)NCCc1ccc(S(=O)(=O)[N-]c2cccc3c[nH]nc23)cc1
ZINC55594426	NC(=O)CCOc1ccc([N-]S(=O)(=O)c2ccc(Cl)s2)cc1
ZINC55621972	O=C(NCCO)c1ccc([N-]S(=O)(=O)c2ccc(F)cc2Cl)cc1
ZINC49496715	CCc1nnsc1C(=O)N/N=C(/[S-])NCC(F)(F)F
ZINC03474247	O=C([O-])COc1ccccc1/C=N/NC(=O)c1c[nH]c2ccccc12
ZINC51187246	CCOC(=O)C1=C(C)N=C(SCCC(N)=O)[N-]C1c1ccccc1
ZINC20395165	Cc1nc(SCc2ccc(C(=O)[O-])o2)[nH]c(=O)c1CCO
ZINC62104926	CC(C)CCNC(=O)NCCCc1ccc([N-]S(C)(=O)=O)cc1
ZINC63105082	Cc1cccc(C)c1OCC(O)CNC(=O)c1c([O-])nnc(C)c1C
ZINC63725934	CCCS(=O)(=O)[N-]c1ccccc1C(=O)Nc1ccc2[nH]ncc2c1
ZINC64873376	O=C(/C=C/c1cccc(Cl)c1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC64900961	CCCS(=O)(=O)[N-]c1cccc(NC(=O)c2ccc(=O)[nH]c2)c1C
ZINC65834357	CCS(=O)(=O)[N-]c1ccccc1C(=O)NNC(=O)c1ccccc1
ZINC66134751	Cc1nc(N)nc(-c2ccc(OCCC(C)C)cc2)c1C(=O)[O-]
ZINC67579423	CSC(C)c1cccc(NC(=O)NCc2ccccc2[N-]S(C)(=O)=O)c1
ZINC01073807	CCCc1nc2c(o1)NC(N)=C(C#N)C2c1ccc(OCC(N)=O)cc1
ZINC06509800	NC(=O)NC(CC(=O)NNC(=O)c1cccs1)c1ccc(Cl)cc1
ZINC13747668	COc1cc(/C=N/NC(N)=S)c(Br)cc1OCC(N)=O
ZINC06521027	Cc1ccc(/C=C/C(=O)NC(=S)NNC(N)=S)o1
ZINC15774985	Cc1cc(N/N=C/C(O)C(O)C(O)CO)nc2ccccc12
ZINC20922047	Cc1ccccc1NC(=O)CCSc1nnc(NN)n1N
ZINC23881183	Cc1cc(/C=C/C(=O)NC(C(N)=O)C(N)=O)c(C)n1-c1ccccc1
ZINC29351736	CCc1cccc(C)c1NC(=O)C(C)SCc1nc(N)nc(N)n1
ZINC36744661	CC(C)(C)Oc1nc(NCCS(N)(=O)=O)ccc1N
ZINC37658420	NC(=O)CCCNS(=O)(=O)c1cc(N)cc(Cl)c1F
ZINC37660484	NC(=O)CCCNS(=O)(=O)c1ccccc1C(N)=S
ZINC40686697	CC(C)(C)NNc1ncnc(NCc2cccnc2)c1N
ZINC40687086	Nc1c(NCC2CCCO2)ncnc1NNC(=O)c1ccc(F)cc1
ZINC40783940	COCCNc1ncnc(NNC(=O)c2cccc(Cl)c2)c1N
ZINC40794243	CC(C)CCNc1ncnc(NNC(=O)c2ccccn2)c1N
ZINC41961336	C=CCNC(=S)NNC(=O)c1cc(S(N)(=O)=O)ccc1Cl
ZINC42012073	C=CCNC(=S)NNC(=O)CNC(=O)NCc1ccc(F)cc1
ZINC42788555	Cc1ccc(OCCCC(=O)NC(C(N)=O)C(N)=O)cc1
ZINC42789240	Cc1nc(CSCC(=O)NC(C(N)=O)C(N)=O)cs1
ZINC42968258	NC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NNC(=O)C1CCCO1
ZINC43009350	CCCc1nc(C)c(C(=O)NC(C(N)=O)C(N)=O)s1
ZINC45063724	Nc1ccccc1OCC(=O)NCCCS(N)(=O)=O
ZINC45089058	CCCC(CCC)(C(=O)NCCCS(N)(=O)=O)C(N)=S
ZINC45937171	NC(=O)NNC(=O)NCc1ccnc(OCC(F)(F)F)c1
ZINC46585580	CCOCCCNC(=S)NNC(=O)C(C)NC(N)=O
ZINC47463410	NC(=O)NC(=O)CCSCc1cccc(C(N)=O)c1
ZINC28201670	NC(=O)NCCCCC(=O)NNC(=O)c1ccccc1
ZINC47837215	NC(=O)NCCCCCC(=O)NNC(=O)c1cccs1
ZINC48087954	CCCNC(=S)NNC(=O)C(NC(N)=O)C(C)CC
ZINC48455187	NC(=O)NCCCCCC(=O)NNC(=O)C1CCCC1
ZINC49084817	CCCC(NC(N)=O)C(=O)NNC(=O)c1cccnc1
ZINC49087828	CCCC(NC(N)=O)C(=O)NCCNS(C)(=O)=O
ZINC49496698	Nc1nccnc1C(=O)NNC(=S)NCC(F)(F)F
ZINC51123910	CCC(C)NC(=O)CCNC(=O)c1cc(NN)ccn1
ZINC52735724	NC(=O)COc1ccc(/C=C/C(=O)Nc2ccccc2C(N)=O)cc1
ZINC53103555	CSCCC(NC(N)=O)C(=O)NC1(CO)CCC(C)CC1
ZINC12501168	NC(=S)NNC(=S)NC(=O)c1ccccc1[N+](=O)[O-]
ZINC58687697	Cc1ccccc1C(CC(=O)NNC(=O)c1cccnc1)NC(N)=O
ZINC58687701	Cc1ccccc1C(CC(=O)NNC(=O)c1cccnc1)NC(N)=O
ZINC04581992	C/C(=N\NC(=O)CNC(=O)c1ccco1)c1cc(O)ccc1O
ZINC61616141	NC(=S)C(C(=O)NCCS(N)(=O)=O)c1ccccc1
ZINC61808474	NC(=O)CN(CC(N)=O)Cc1ccc(C#CCO)s1
ZINC61808488	NC(=O)CN(CC(N)=O)Cc1sccc1C#CCCO
ZINC63833104	NC1NNC(SCC(=O)NCC2C=NN=C2c2ccc(F)cc2)S1
ZINC64851801	NC(=O)c1ccccc1NC(=O)CNC(=O)NCc1ccco1
ZINC56015950	CC(NC(N)=O)C(=O)NCCNc1cccc(F)c1C#N
ZINC66120009	NC(=O)CCC1CCCN(C(=O)NCc2cccc(C(N)=O)c2)C1
ZINC66241530	N#Cc1cnn(-c2ccc(C(=O)NCCc3cccc(C(N)=O)c3)cc2)c1N
ZINC67340667	CC(C)(C)OC(=O)NCCNC(=O)CCCCNC(N)=O
ZINC67643571	Cc1nc2ccccc2n1Cc1cc(C(=O)NC(C(N)=O)C(C)O)n[nH]1
ZINC04413468	NS(=O)(=O)c1ccc(CC[NH2+]Cc2cccnc2)cc1
ZINC20127514	CC([NH2+]Cc1ccc(OCC(N)=O)cc1)c1cccnc1
ZINC20524305	COC(C)(C)CC(C)[NH2+]Cc1ccc(S(N)(=O)=O)cc1
ZINC24985736	CC(C(=O)Nc1sccc1C(N)=O)[NH+](C)Cc1cccs1
ZINC31946934	Cc1cc2c(SCCCC(=O)NCC[NH3+])ncnc2s1
ZINC32217595	CCCNS(=O)(=O)c1cccc(-c2csc(C[NH3+])n2)c1
ZINC36745294	CC([NH2+]CCS(N)(=O)=O)c1ccccc1OC(F)F
ZINC37063745	Cc1cc(N)ccc1S(=O)(=O)NCC(C)(C)C[NH+](C)C
ZINC37720630	C#CCNC(=O)COc1c(Br)cc(CC[NH3+])cc1OC
ZINC37723041	CNC(=O)C(C)Oc1c(Cl)cc(CC(C)[NH3+])cc1OC
ZINC37728902	CC([NH3+])Cc1cc(Cl)cc(Cl)c1OCC(=O)NCC#N
ZINC38114427	COc1cc(C(C)(CO)[NH2+]CC2CCCO2)ccc1O
ZINC40667838	[NH3+]CCCCCCC(=O)NCc1cccc2c1OCO2
ZINC41435479	[NH3+]CCS(=O)(=O)NCCOc1ccc(F)c(F)c1
ZINC42961079	COc1ccc(C(C(C)[NH3+])N2CCN(CCO)CC2)cc1
ZINC44682528	CCOCC(C)NS(=O)(=O)c1ccc(C#CC[NH3+])c(C)c1
ZINC44982658	[NH3+]Cc1ccc(CS(=O)(=O)NCC2CCCOC2)cc1
ZINC45067702	NS(=O)(=O)CCC[NH2+]Cc1ccc(N2CCCCC2)cc1
ZINC45069777	COc1cc(C)ccc1C(C)[NH2+]CCCS(N)(=O)=O
ZINC45597887	Cc1cnc(SCCC(C)([NH2+]C2CC2)C(N)=O)nc1
ZINC45665354	Cc1cc(N)ccc1S(=O)(=O)NCCCC[NH+](C)C
ZINC45665399	C[NH+](C)CCCCNS(=O)(=O)c1cc(F)ccc1N
ZINC48797993	CC([NH3+])Cc1cccc(Br)c1OCC(=O)NCC#N
ZINC48822037	CCc1[nH+]ccn1CCC(=O)Nc1ccccc1C(N)=S
ZINC48952551	Nc1cnn(CC(O)C[NH+](Cc2ccsc2)C2CC2)c1
ZINC49019079	Nc1cnn(CC(O)C[NH+](Cc2cccs2)C2CC2)c1
ZINC49192061	CC(C)C(C[NH+](C)C)NC(=O)c1cc(N)ccc1N(C)C
ZINC49554768	Cc1cc(N)cc(S(=O)(=O)NC(C)CC[NH+](C)C)c1C
ZINC49554825	CC(CC[NH+](C)C)NS(=O)(=O)c1c(F)cc(N)cc1F
ZINC50395813	Cc1cc(C)cc(OCC(O)C[NH2+]C2CCCNC2=O)c1
ZINC50395887	Cc1ccc(C)c(OCC(O)C[NH2+]C2CCCNC2=O)c1
ZINC50594841	C[NH2+]C(C)(CCCn1nc(C)c(Br)c1C)C(N)=O
ZINC51017716	CN(CCC[NH3+])S(=O)(=O)NCc1ccc(F)cc1F
ZINC52811289	COCCC(N)c1[nH]c(-c2ccc(OC(C)C)cc2)c[nH+]1
ZINC53255241	O=S(=O)(NC1CC1)c1ccc(NCC2CCC[NH2+]2)cc1
ZINC53736088	CC[NH+](CC)CCCn1c(C(C)O)nc2cc(N)ccc21
ZINC54111634	CC[NH+](C)CCNS(=O)(=O)c1cc(N)c(F)cc1Cl
ZINC54111745	Nc1ccccc1CS(=O)(=O)NCC[NH+]1CCCC1
ZINC54134525	Cc1nnc(NCC[NH+](C)C(C)C)c(C(N)=S)c1C
ZINC54396575	CC(C)[NH+](CCNc1nccnc1C(N)=S)C(C)C
ZINC54929589	COc1cc(OC)c(C(O)C([NH3+])CC(C)C)cc1OC
ZINC36190914	C[NH+](C)C1CCN(CC(O)COc2ccc(N)cc2)CC1
ZINC48027210	NC(=O)C1CC[NH+](CC(=O)NCCc2cccs2)C1
ZINC61594536	CCC([NH3+])C(Sc1n[nH]c(=O)n1C1CC1)c1ccsc1
ZINC61992584	C[NH+](CCNS(=O)(=O)c1cc(N)ccc1F)C1CC1
ZINC62859083	CCCC1(C(=O)NCCNC(=O)C(C)C)CCC[NH2+]C1
ZINC63171158	COc1ccc(Br)cc1S(=O)(=O)NCCC(C)[NH3+]
ZINC63171184	COc1ccc(S(=O)(=O)NCCC(C)[NH3+])cc1Br
ZINC64251478	O=C(NCCCO)NCC1CC[NH+](Cc2cccs2)CC1
ZINC67408820	CC1CC[NH+](CC(O)CNC(=O)NCC(F)(F)F)CC1
ZINC03670862	CC1CCC2(CC1)C(C#N)=C(SCC(N)=O)NC(=O)C2C#N
ZINC02792421	CNC(=S)NNC(=O)c1nn(C)c(C)c1Br
ZINC07725262	O=C(NCc1ccccc1F)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC19470549	NC(=S)c1ccc(S(=O)(=O)N2CCNC(=O)C2)cc1
ZINC20373611	CC([NH3+])c1ccc(S(=O)(=O)[N-]c2ccc(Cl)cn2)cc1
ZINC06404087	Cc1nn(CCC(N)=S)c2[nH]c(=O)cc(C(F)(F)F)c12
ZINC35691916	CC(NS(=O)(=O)c1ccc(N)cc1C#N)c1cccnc1
ZINC36288791	Cc1ccc(NS(=O)(=O)C2CCS(=O)(=O)C2)cc1N
ZINC36296302	Cc1c(N)cccc1NS(=O)(=O)C1CCS(=O)(=O)C1
ZINC36556754	CNC(=O)C1C(=O)CC(C)(O)C(C(=O)NC)C1c1cccc(F)c1
ZINC37036988	Cc1nc(N)sc1SCC(=O)NC1(C)CCS(=O)(=O)C1
ZINC37552892	CC1CCCN(S(=O)(=O)[N-]c2ncc(C#CC[NH3+])s2)C1
ZINC37553105	CC1CCCN(S(=O)(=O)[N-]c2cccc(C#CC[NH3+])n2)C1
ZINC06586254	Cn1cccc1C(=O)NCc1ccc(S(N)(=O)=O)cc1
ZINC39336785	C=CCn1c([S-])nnc1C1Sc2nc(C)cc(C)c2C1[NH3+]
ZINC40325814	CS(=O)(=O)c1cccc(NS(=O)(=O)c2ccc(N)cc2)c1
ZINC40327322	Cc1nn(C)c(C)c1NS(=O)(=O)c1cc(N)ccc1F
ZINC40335515	Nc1ncn(CC(=O)NCc2ccc(Br)s2)n1
ZINC40347620	N#Cc1cc(N)ccc1S(=O)(=O)NCC1CCCOC1
ZINC41158546	Cn1cc(CNS(=O)(=O)c2cc(N)ccc2Cl)cn1
ZINC42358169	Cc1ccc(C#CCO)cc1S(=O)(=O)NCc1cn[nH]c1
ZINC42358197	Cc1n[nH]cc1CNS(=O)(=O)c1ccc(C#CCO)cc1
ZINC43429559	CC(C)C([NH2+]C1C(=O)Nc2ccc(Br)cc21)C(=O)[O-]
ZINC02927900	CSCCC1C(=O)N(N)C2(C)CC(C)(C)NC(=S)N12
ZINC44289781	[NH3+]C(Cc1c(-c2ccc(Cl)cc2)nc2ccccn12)C(=O)[O-]
ZINC44608841	Cc1nc(CN(C)S(=O)(=O)c2ccc(O)c(N)c2)cs1
ZINC44609261	Cc1nc(CN(C)c2ccc(/C(N)=N/O)cc2F)cs1
ZINC44687894	Cc1cc(CNS(=O)(=O)c2c(F)cc(N)cc2F)no1
ZINC44749616	Cc1cc(S(N)(=O)=O)ccc1C(=O)NCC1CCCO1
ZINC48909908	Cc1nnc(NC(=O)NCc2ccc(CO)c(F)c2)s1
ZINC51575024	Cc1cccc(C[N-]S(=O)(=O)c2ccc(N)cc2F)[nH+]1
ZINC52015525	O=S(=O)(NC1CCCCC1O)c1cncc(C#CCO)c1
ZINC54074347	C[NH2+]C(C)C(=O)Nc1ccc(F)c([N-]S(C)(=O)=O)c1
ZINC57630625	CC(C)(NS(=O)(=O)c1ccc2c(c1)OCO2)C(N)=S
ZINC57849393	CC(CN1C(=O)NC(c2ccc(F)cc2)C1=O)C(N)=S
ZINC42068775	Cc1cc(C)c2c(c1)C(N)C(=O)N2CC(=O)NC(C)(C)C
ZINC42079498	CC(C)NC(=O)CN1C(=O)C(N)c2cc(F)cc(Br)c21
ZINC07098488	NC(=O)Cn1cc(/C=C2/SC(=O)NC2=O)c2ccccc21
ZINC54769682	NS(=O)(=O)c1ccc(NC(=O)C2CCCOC2)c(F)c1
ZINC05505304	Cn1c(N)c(C(=O)CSc2ccc(F)cc2)c(=O)[nH]c1=O
ZINC61320260	Cc1cnc(CNS(=O)(=O)c2ccc(F)c(N)c2)cn1
ZINC61320371	Cc1cnc(CNS(=O)(=O)c2cc(F)ccc2N)cn1
ZINC61684520	Cc1ccc(S(=O)(=O)[N-]c2ccon2)c(C#CC[NH3+])c1
ZINC63012081	O=c1ccc(S(=O)(=O)NC(CO)c2ccccc2)c[nH]1
ZINC65072466	Cc1c(C(=O)NCCS(N)(=O)=O)sc2ccc(F)cc12
ZINC66049305	O=C(NCc1ccccc1CO)c1c[nH]c2ccccc2c1=O
ZINC66556835	Cc1ccc(C(=O)NNC(=O)c2sccc2C)c(=O)[nH]1
ZINC66625193	Cn1c(CNC(=O)Cc2c[nH]c3cc(F)ccc23)n[nH]c1=S
ZINC66638370	O=C(NCc1n[nH]c(=S)n1C1CC1)c1ccc2[nH]ccc2c1
ZINC67509090	NC(=O)CNC(=O)c1nn(-c2ccc(F)cc2)c2c1CCC2
ZINC04546648	NC(=O)COC(=O)CC1Sc2ccccc2NC1=O
ZINC19987807	Nc1ccc(Cl)c(S(=O)(=O)NC2CCS(=O)(=O)C2)c1
ZINC20561258	Nc1ccc(CS(=O)(=O)NC2CCS(=O)(=O)C2)cc1
ZINC21786724	COc1ccc(S(=O)(=O)N2CCC(O)CC2)c(N)c1
ZINC21788589	NC(=S)c1ccccc1CS(=O)(=O)N1CCC(O)CC1
ZINC35611808	NC(=O)c1ccc(/C=C/C(=O)N2CCC(O)CC2)cc1
ZINC21047169	Cc1cnc([N-]S(=O)(=O)c2ccc(C(C)[NH3+])cc2)s1
ZINC37192394	Nc1ccc(SCC(=O)NC2CCS(=O)(=O)C2)cn1
ZINC37578457	CNC(=O)CNS(=O)(=O)c1cccc(C#CCO)c1
ZINC04496389	NC(=O)c1ccsc1NC(=O)CS(=O)(=O)c1ccccc1
ZINC40219122	NS(=O)(=O)c1ccc(CNC(=O)Cc2ccccn2)cc1
ZINC40336265	CS(=O)(=O)CCCNC(=O)c1cc(N)ccc1F
ZINC40348712	Nc1ccc(CS(=O)(=O)NCC2CCS(=O)(=O)C2)cc1
ZINC40348762	Nc1cc(F)c(S(=O)(=O)NCC2CCS(=O)(=O)C2)c(F)c1
ZINC40364721	CCC(C)(NS(=O)(=O)c1c(C)noc1C)C(N)=S
ZINC40384183	Cc1cccc(S(=O)(=O)NCCS(N)(=O)=O)c1
ZINC42445000	NNc1cc(S(=O)(=O)N2CCCSCC2)ccn1
ZINC42525456	COCC(O)CN(C)c1ccccc1S(N)(=O)=O
ZINC43430268	CC([NH2+]C(C(=O)[O-])C(C)C)c1ccc2c(c1)NC(=O)CO2
ZINC44315829	NS(=O)(=O)c1cccc(C(=O)NCCC2CCCO2)c1
ZINC44781644	COCC(O)CN(C)C(=O)C1(C(N)=S)CCCC1
ZINC45015263	CNC(=O)CCNC(=O)c1cc(F)ccc1C#CCO
ZINC45147775	CS(=O)(=O)CCNS(=O)(=O)c1c(N)cccc1F
ZINC48966279	Cc1nc2ccccc2n1CC(=O)NCCCC(N)=O
ZINC49101465	Cc1nnc(NC(C)C(=O)N(C)C)c(C(N)=S)c1C
ZINC49500124	O=C(CCNC(=O)C1CCCC1)NC1CCCNC1=O
ZINC49571600	O=C(NC1CC[NH+]2CCCC12)NC1(C(=O)[O-])CCCC1
ZINC49588761	O=C1CCC(C(=O)NCc2cc(C#CCO)ccc2F)N1
ZINC50102316	Nc1ccccc1CS(=O)(=O)N1CCN(CCO)CC1
ZINC50351336	CCC(NS(=O)(=O)C1CCS(=O)(=O)CC1)C(N)=S
ZINC50392746	CC(O)c1ccc(S(=O)(=O)NC2CCCNC2=O)cc1
ZINC50392749	CC(O)c1ccc(S(=O)(=O)NC2CCCNC2=O)cc1
ZINC50393281	CC1CC(C)(C)CC([NH2+]C2CCCNC2=O)(C(=O)[O-])C1
ZINC50660515	Nc1ncccc1S(=O)(=O)NCCc1cccnc1
ZINC54767068	Cc1ccc(NCc2cncnc2)cc1S(N)(=O)=O
ZINC13397138	CNC(=S)/C(C#N)=C(\N)N1CCN(c2ccc(F)cc2)CC1
ZINC19573942	CSCCC(N)c1cc(=O)nc(-c2cccnc2)[nH]1
ZINC58054844	COc1ccc(OC)c(-c2nc(C(C)N)cc(=O)[nH]2)c1
ZINC58231808	[NH3+]CCc1nnc([N-]S(=O)(=O)c2ccccc2)s1
ZINC42113149	CS(=O)(=O)NCCNC1C(=O)Nc2c(F)cc(F)cc21
ZINC35611393	CC(O)CNS(=O)(=O)c1ccc2c(c1)C(C)C(=O)N2
ZINC36231607	O=C1Nc2cc(N3CCN(CCO)CC3)ccc2C1O
ZINC45070761	CN1C(=O)C(NCCCS(N)(=O)=O)c2ccccc21
ZINC61330372	Nc1ccn(CC(=O)NC2CCCc3sccc32)n1
ZINC61887336	Cc1noc(C)c1S(=O)(=O)NC1CCCC1C(N)=S
ZINC61887338	Cc1noc(C)c1S(=O)(=O)NC1CCCC1C(N)=S
ZINC62306421	OCc1nnn(CC(O)CO)c1C(Cl)(Cl)Cl
ZINC62859652	CC1CCCC(NC(=O)C2(C)CCC[NH2+]C2)(C(=O)[O-])C1
ZINC63007471	CN(C(=O)c1cc(F)c(NN)c(F)c1)C1CCS(=O)(=O)C1
ZINC66985906	O=C(NCCCO)NCc1ccc(-n2ccnc2)cc1
ZINC02549530	Cc1c(Br)c(C(F)(F)F)nn1CC(=O)NN
ZINC02659555	CCS(=O)(=O)NCc1ccc(S(N)(=O)=O)cc1
ZINC06759726	N#Cc1c(NC(=O)C(=O)NCCCO)sc2c1CCC2
ZINC19503692	NC(=S)c1ccccc1NC(=O)Cn1cccnc1=O
ZINC19987811	Nc1ccc(Cl)c(S(=O)(=O)NC2CCS(=O)(=O)C2)c1
ZINC25976180	CC1(C(=O)NCc2cccnc2)NC(=O)c2ccccc2N1
ZINC35358556	NNc1ncccc1S(=O)(=O)N1CCSCC1
ZINC36922770	NS(=O)(=O)c1ccc(C(=O)NCC2CCCO2)cc1
ZINC37009307	Cc1cccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)n1
ZINC37037052	Cc1nc(N)sc1SCC(=O)NC1CCS(=O)(=O)C1
ZINC37552890	[NH3+]CC#Cc1cnc([N-]S(=O)(=O)N2CCCC2)s1
ZINC37569239	CN(CC(N)=O)C(=O)c1cc(F)ccc1C#CCCO
ZINC05020160	CC(=O)C1=C(C)NC(SCC(N)=O)=C(C#N)C1c1cccnc1
ZINC40175687	Cc1cc(=O)c2cccc(C(F)(F)F)c2n1CC(=O)NN
ZINC40383122	Cn1cc(Cl)cc1C(=O)NCCCS(N)(=O)=O
ZINC40638584	Cn1ccnc1CCNS(=O)(=O)c1cc(N)ccc1F
ZINC41067741	Nc1csc(S(=O)(=O)NC2CCS(=O)(=O)C2)c1
