ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC17909397	O=C(COc1c(I)cc(Cl)c2cccnc12)NCCc1cccs1
ZINC19859928	O=C(Nc1ccc(C(F)(F)F)cc1)C1CCCN(S(=O)(=O)Cc2ccccc2Cl)C1
ZINC20575856	O=C1/C(=C/Nc2ccccc2C(F)(F)F)S(=O)(=O)N(Cc2cccc(F)c2)c2ccsc21
ZINC15068507	Cc1nc(C(C)n2cnc3sc4c(c3c2=O)CCC(NCc2cccc(F)c2F)C4)cs1
ZINC21912006	CSc1cccc(N2C(=O)CSc3c(c4ccccc4n3C)C2C(=O)NCc2ccccc2)c1
ZINC24041661	CC(NC(=O)C1CCN(S(=O)(=O)c2ccc(Br)s2)CC1)c1cccs1
ZINC25183581	CSc1cccc(NC(=O)C2CCCN(S(=O)(=O)c3ccc(Br)s3)C2)c1
ZINC27937342	O=C(Cn1nc(C(F)(F)F)c(Br)c1C1CC1)Nc1ncc(Br)s1
ZINC28606580	CCn1c(SCC(=O)Nc2cccc(I)c2)nc2ccccc2c1=O
ZINC28954858	CC(Sc1nnc2ccc(C(F)(F)F)cn12)C(=O)Nc1ccc(I)cc1
ZINC32998925	O=C(NCc1ccc(F)cc1)c1ccc(-n2nc(Sc3ccc(Cl)cc3)ccc2=O)cc1
ZINC33168857	O=C(Nc1ccc(Br)cc1)C1CCCN(c2nccnc2Sc2ccccc2)C1
ZINC01217772	O=C(CCCN1C(=O)/C(=C/c2cccs2)SC1=S)Nc1ccc(Br)cc1
ZINC33474476	CC(NC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nc2cc(Cl)ccc2c(=O)n1C
ZINC35197019	CC(C)CC1SCC(C(=O)NCc2cccc(C(F)(F)F)c2)N1C(=O)c1ccccc1F
ZINC35545183	COc1ccc(Cl)cc1N1CCN2c3ccc(C(F)(F)F)cc3CC(C(=O)NC3CC3)C2C1
ZINC35885237	CCC1Oc2ccc(NC(=O)c3ccc(F)cc3F)cc2CN(Cc2ccc(Cl)cc2)C1=O
ZINC35909491	CCC1Oc2ccc(NC(=O)c3c(F)cccc3F)cc2CN(Cc2cc(F)cc(F)c2)C1=O
ZINC38565272	O=C(NCC(c1cccs1)S(=O)(=O)c1ccc(F)cc1)c1ccccc1Br
ZINC38565307	O=C(NCC(c1cccs1)S(=O)(=O)c1ccc(F)cc1)C(c1ccccc1)c1ccccc1
ZINC38668797	O=C(NCCc1csc2nc(-c3ccccc3F)nn12)c1ccccc1I
ZINC39030270	C=CCOC(=O)c1s/c(=N\C(=O)C2Sc3cc(Cl)cc(Cl)c3C2Cl)[nH]c1C
ZINC39985266	CCN(CC(=O)Nc1cccc(Br)c1)S(=O)(=O)c1cc(Cl)ccc1Cl
ZINC40570081	CN1CCc2nc(SCC(=O)Nc3ccc(Br)cc3)c(C#N)c(-c3ccccc3)c2C1
ZINC01395402	O=S(=O)(c1ccc(Cl)cc1)N1CCC(c2cc(-c3cccc(C(F)(F)F)c3)[nH]n2)CC1
ZINC01889855	OCCCc1nc2n(n1)C(c1cccc(Br)c1)CC(c1ccc(Br)cc1)=N2
ZINC58945209	O=C(Nc1ccccc1F)C1CC(=O)N(Cc2ccc(F)cc2)/C(=N/c2ccc(Cl)cc2)S1
ZINC58953968	CC1CN(C(CNC(=O)CCCCC2CCSS2)c2c(F)cccc2Cl)CCO1
ZINC59067574	COc1ccc(Cl)cc1NC(=S)N(Cc1cccc(Br)c1)Cc1ccco1
ZINC59307762	CN(c1ccc(NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)cc1F)C1CCCCC1
ZINC64340277	CC(NCC1=NC(=O)C2=C(c3ccccc3Cl)CSC2=N1)c1ccccc1Br
ZINC64872113	CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccsc1C(=O)Nc1cccc(Br)c1
ZINC67217636	Cc1cc(C)c(NC(=O)CSc2nc3ccsc3c(=O)n2-c2cc(F)cc(F)c2)c(C)c1
ZINC01555820	CCCC[NH+](CCCC)CC(O)c1cnc2c(Cl)cc(Cl)cc2c1Cl
ZINC05973452	CCCC[NH+](CCCC)CC(O)c1cnc2c(Cl)cc(Cl)cc2c1Cl
ZINC06882528	CC(C)(C)[NH2+]Cc1cc(Br)ccc1OCc1ccc(Cl)cc1Cl
ZINC07524450	CC([NH2+]Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C12CC3CC(CC(C3)C1)C2
ZINC10435795	CCCC([NH2+]Cc1ccccc1OCc1ccc(Cl)cc1Cl)c1ccccc1
ZINC10435796	CCCC([NH2+]Cc1ccccc1OCc1ccc(Cl)cc1Cl)c1ccccc1
ZINC10436024	CCCC([NH2+]Cc1cc(Cl)ccc1OCc1ccccc1Cl)c1ccccc1
ZINC10436025	CCCC([NH2+]Cc1cc(Cl)ccc1OCc1ccccc1Cl)c1ccccc1
ZINC13723513	Clc1ccccc1COc1ccc2ccccc2c1C[NH2+]CCC1=CCCCC1
ZINC13723672	COc1cc(C[NH2+]CCC2=CCCCC2)cc(Cl)c1OCc1ccc(F)cc1
ZINC13723804	COc1cc(C[NH2+]CCC2=CCCCC2)ccc1OCc1c(F)cccc1Cl
ZINC13723924	Cc1ccc(COc2c(Cl)cc(Cl)cc2C[NH2+]CCC2=CCCCC2)cc1
ZINC13723968	COc1cccc(C[NH2+]CCC2=CCCCC2)c1OCc1ccc(F)cc1Cl
ZINC13724507	CC(C)CC[NH2+]Cc1ccc(-c2ccc(I)cc2Cl)o1
ZINC20874157	Cc1ccc(COc2ccc3ccccc3c2C[NH2+]C23CC4CC(C)(CC(C)(C4)C2)C3)cc1
ZINC20927103	COc1c(Br)cc(C[NH2+]C(C)C23CC4CC(CC(C4)C2)C3)cc1Br
ZINC22073765	Clc1ccc(COc2ccccc2C[NH2+]C2C3CC4CC(C3)CC2C4)c(Cl)c1
ZINC22073898	Clc1ccc(COc2ccc(Cl)cc2C[NH2+]C23CC4CC(CC(C4)C2)C3)cc1
ZINC28427828	Clc1ccccc1Cn1cc(C[NH2+]C23CC4CC(CC(C4)C2)C3)c2ccccc21
ZINC28427863	Clc1ccccc1Cn1cc(C[NH2+]C2C3CC4CC(C3)CC2C4)c2ccccc21
ZINC34990745	CCCCC(CC)C[NH2+]Cc1cc(Br)cc(Br)c1OC
ZINC34990747	CCCCC(CC)C[NH2+]Cc1cc(Br)cc(Br)c1OC
ZINC34991060	CCOc1c(Br)cc(C[NH2+]CC2CCCCC2)cc1Br
ZINC34991161	CCOc1c(Br)cc(Br)cc1C[NH2+]C(C)CCCC(C)C
ZINC34991173	CCOc1c(Br)cc(C[NH2+]C(C)CCCC(C)C)cc1Br
ZINC34991272	CCCCCC(C)[NH2+]Cc1cc(Br)cc(Br)c1OCC
ZINC35256923	CCC1CCCCC1[NH2+]Cc1cc(Br)cc(Br)c1OC
ZINC35256924	CCC1CCCCC1[NH2+]Cc1cc(Br)cc(Br)c1OC
ZINC36324980	CCCCCCC(C)[NH2+]Cc1cc(Br)c(OC)c(Br)c1
ZINC36324982	CCCCCCC(C)[NH2+]Cc1cc(Br)c(OC)c(Br)c1
ZINC36325031	CCCCC(CC)C[NH2+]Cc1cc(Br)c(OC)c(Br)c1
ZINC40721080	CC(C)Oc1c(Br)cc(C[NH2+]C2CCCCC2)cc1Br
ZINC40729934	CC(C)Oc1c(Br)cc(Br)cc1C[NH2+]C1C2CC3CC(C2)CC1C3
ZINC40732099	Fc1ccc(COc2ccccc2C[NH2+]CCc2ccc(Cl)cc2)c(Cl)c1
ZINC40735370	COCCC[NH2+]Cc1c(OCc2c(Cl)cccc2Cl)ccc2ccccc12
ZINC40738798	Clc1ccc(COc2cccc(C[NH2+]C3C4CC5CC(C4)CC3C5)c2)cc1Cl
ZINC40739214	Cc1cccc(COc2ccc(Br)cc2C[NH2+]Cc2ccccc2Cl)c1
ZINC40739452	Clc1ccccc1C[NH2+]Cc1cc(Br)ccc1OCc1c(Cl)cccc1Cl
ZINC40739536	Fc1ccc(COc2ccc(Br)cc2C[NH2+]C2C3CC4CC(C3)CC2C4)c(Cl)c1
ZINC40739745	Clc1ccc(COc2ccc(Br)cc2C[NH2+]C2C3CC4CC(C3)CC2C4)cc1Cl
ZINC40739849	CC([NH2+]Cc1cc(Br)ccc1OCc1cccc(Cl)c1)c1ccccc1
ZINC40739855	Clc1cccc(COc2ccc(Br)cc2C[NH2+]Cc2ccccc2Cl)c1
ZINC40739891	Fc1ccc(C[NH2+]Cc2cc(Br)ccc2OCc2cccc(Cl)c2)cc1
ZINC40743184	CC12CC3CC(C)(C1)CC([NH2+]Cc1cc(Cl)ccc1OCc1ccc(F)cc1Cl)(C3)C2
ZINC40743190	CC([NH2+]Cc1cc(Cl)ccc1OCc1ccc(F)cc1Cl)c1ccccc1
ZINC40743192	CC([NH2+]Cc1cc(Cl)ccc1OCc1ccc(F)cc1Cl)c1ccccc1
ZINC40743198	Fc1ccc(COc2ccc(Cl)cc2C[NH2+]CCc2ccccc2)c(Cl)c1
ZINC40743262	Cc1ccc(C[NH2+]Cc2cc(Cl)ccc2OCc2ccc(F)cc2Cl)cc1
ZINC40743318	Fc1cccc(Cl)c1COc1ccc(Cl)cc1C[NH2+]CCc1ccccc1
ZINC40743527	Fc1ccc(CC[NH2+]Cc2cc(Cl)ccc2OCc2cccc(Cl)c2)cc1
ZINC00442433	O=C(NCCC1=CCCCC1)c1c(Cl)cccc1Cl
ZINC06216877	Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)NC(C)C)c1
ZINC06902204	Cc1c(Cl)cccc1NC(=S)N(C)C1CCCCC1
ZINC06904693	O=C(CC1CC2CCC1C2)NCC12CC3CC(CC(C3)C1)C2
ZINC06904744	O=C(CC1CC2CCC1C2)NCC12CC3CC(CC(C3)C1)C2
ZINC10366184	Cc1ccc(NC(=O)c2ccc(SC(F)F)cc2)c(C)c1
ZINC00560844	Cc1cc(C)c(C)c(CSCc2nc3ccccc3[nH]2)c1C
ZINC13631824	Cc1ccc(C(=O)NC(C)c2ccc(C(C)(C)C)cc2)cc1
ZINC15301916	Cc1ccsc1/C=C/C(=O)Nc1ccccc1C(C)(C)C
ZINC20012221	CCC(Nc1cccc2cccnc12)c1cccc(Cl)c1
ZINC20012653	COc1ccc(NC(C)c2cc(Cl)ccc2Cl)cc1
ZINC20442721	Cc1ccc(C(C)Nc2c(Cl)cccc2C(F)(F)F)o1
ZINC20472225	Fc1c(Cl)cccc1NC(c1ccccc1)c1ccco1
ZINC20549520	COc1cccc(C(C)Nc2ccc(Cl)cc2Cl)c1
ZINC21791275	COc1cccc(C(C)Nc2ccc(Cl)c(Cl)c2)c1
ZINC35650751	Cc1cc(Cl)c(C(C)C)cc1Oc1ccccc1C(C)O
ZINC36918393	CCC(Nc1cc(Cl)cc2cccnc12)c1cccs1
ZINC36922870	CCC(Nc1c(Cl)ccc2scnc12)c1cccs1
ZINC36953965	CC(Nc1cccc2cnccc12)c1ccc(Br)cc1
ZINC36981867	COc1c(Br)cc(Cl)cc1NC(C)C1CC1
ZINC37002236	CC(C)(C)C1CCCCC1NC(=O)c1cccc(CCl)c1
ZINC37006531	CC1CCC(C(C)C)C(NC(=O)C(Cl)c2ccccc2)C1
ZINC37127164	CC(Nc1cccc(Cl)c1N(C)C)c1ccc(F)cc1F
ZINC37129326	Cc1ccc(C)c(C(C)Nc2cc(Cl)ccc2N(C)C)c1
ZINC37129407	CC(Nc1cc(Cl)ccc1N(C)C)c1cccc(Cl)c1
ZINC37202577	Cc1nc(C(C)(C)C)sc1C(C)Nc1cccc(Cl)c1
ZINC37202713	Fc1cccc(NC(c2ccco2)c2ccc(Cl)s2)c1
ZINC37245741	Cc1ccc(F)c(NC(C)c2sc(C(C)(C)C)nc2C)c1
ZINC37250228	COc1ccc(C(C)Nc2ccc(F)cc2Cl)c(F)c1
ZINC37278523	CSc1nc2ccc(NCC3CC4C=CC3C4)cc2s1
ZINC37297347	Fc1cc(Cl)ccc1NC1CCN(CC(F)(F)F)CC1
ZINC37781186	CC(Nc1ccc(N(C)C)c(Cl)c1)c1ccc(F)c(F)c1
ZINC37781376	CN(C)c1ccc(NCc2ccc(Cl)s2)cc1Cl
ZINC37783317	COc1cc(C)ccc1NC1CCSc2ccc(Cl)cc21
ZINC38002540	CC(Nc1cccc2cnccc12)c1ccc(Br)s1
ZINC36981838	COc1c(Br)cc(Cl)cc1NC(C)C(C)C
ZINC41678774	N#CC(Nc1ccc(Cl)cc1)c1ccc(Br)s1
ZINC43682038	Brc1ccc(CSc2nc3ccccc3[nH]2)s1
ZINC43682455	CC(C)(C)c1ccccc1OCc1sccc1C#CCO
ZINC43682937	Cc1ccc(C)c(OCc2ccc(C#CCCO)s2)c1C
ZINC48433661	CC(NC(=O)CC1CCCC1)c1ccc(Cl)cc1Cl
ZINC48672903	C/C(=C\C(=O)NC(C)c1ccc(Cl)cc1Cl)C1CC1
ZINC49564279	COc1cc(F)ccc1NC1CCSc2ccc(Cl)cc21
ZINC52945515	O=C1CCc2cc(C(Cl)Cc3cccc(Cl)c3)ccc2N1
ZINC53045340	CCC1(CC)CS/C(=N\c2cccc(C(F)(F)F)c2)N1
ZINC54107919	CC(Nc1ccc2ncccc2c1)c1cccc(Br)c1
ZINC54352531	Cc1ccc(OCc2ccc(C#CCCO)s2)c(Cl)c1
ZINC61489427	CCC(Br)C(=O)NC1CC(C)CCC1C(C)C
ZINC63002502	CCCc1ccccc1/N=C1/NC(c2ccccc2)CS1
ZINC63220271	CCc1ccccc1/N=C1/NC(Cc2ccccc2)CS1
ZINC00902904	Cc1cc2cc(C)c(SCC(=O)Nc3ccc(Cl)cc3)nc2cc1C
ZINC02073051	CC1CCCCC1NC(=O)c1c2c(nc3ccccc13)-c1ccccc1CC2
ZINC00989875	Cc1cc(C)c2nc(NC(=O)c3cc(Cl)ccc3Cl)sc2c1
ZINC00840449	CC(Oc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(Cl)c(Cl)c1
ZINC00682564	Cc1ccc(C)c(NC(=O)C(C)Oc2cc(Cl)c(Cl)cc2Cl)c1
ZINC05008130	Clc1cccc(/C=N/Nc2nc(-c3ccc(Cl)cc3Cl)cs2)c1
ZINC05046835	O=C(Cc1ccccc1)Nc1ccc(Cl)c(-c2nc3ccccc3s2)c1
ZINC01453225	O=C(Nc1ncc(Cc2cccc(Cl)c2Cl)s1)C1CCCCC1
ZINC05376931	O=C1N/C(=N/c2ccc(Br)cc2)S/C1=C\c1ccccc1F
ZINC01467910	Brc1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1
ZINC05237578	Cc1ccccc1CSc1nc2sc(C)c(-c3ccccc3)c2c(=O)[nH]1
ZINC05781403	CCOc1c(Cl)cc(Cl)cc1C1=NNC(c2ccc(C)cc2)C1
ZINC05922307	Cc1cc(C)c(/C=N/NC(=O)c2sc3ccccc3c2Cl)c(C)c1
ZINC05041438	Cc1cc(C)c(S(=O)(=O)NC(C)C2C3CC4CC(C3)CC2C4)cc1C
ZINC07348918	Cc1ccc(Cl)c2sc(NC(=O)/C=C/c3ccccc3Cl)nc12
ZINC11009202	Cc1ccc(NC(=O)N(C)C(c2ccccc2)c2ccc(F)cc2)cc1
ZINC12693584	Cc1nn(-c2ccccc2)c(Nc2ccc(Cl)cc2)c1Br
ZINC05696226	Cc1cccc(/C=C(/C(=O)c2cccc(Cl)c2)c2nc3ccccc3[nH]2)c1
ZINC06354242	CCn1c2ccccc2c2cc(NC(=O)/C=C/c3ccccc3Cl)ccc21
ZINC04886171	Cc1ccc(NC(=O)c2cc3cc4ccc(C)cc4nc3s2)c(Cl)c1
ZINC13993723	Cc1ccccc1OC(C)C(=O)Nc1cc(Cl)c(Cl)cc1Cl
ZINC14254908	CC(C)c1ccc(S(=O)(=O)Nc2cc(Cl)ccc2Cl)cc1
ZINC17345925	Cc1ccc(-c2nc(C(=O)Nc3c(C)cc(C)cc3Cl)cs2)cc1
ZINC21054124	Cc1ccc2nc3sc(C(=O)Nc4ccc(F)cc4Cl)cc3cc2c1
ZINC32105385	O=C(N/N=C1/CCC2C3CCCCCC3C12)c1ccccc1Br
ZINC33809539	Cc1ccc(C(C)NC(=O)c2ccc(-c3cc(Cl)ccc3Cl)o2)cc1
ZINC33809667	Cc1ccc(C(C)NC(=O)c2ccc(-c3ccc(Cl)cc3Cl)o2)cc1
ZINC37129081	CCC(Nc1c(Cl)cc(Cl)c2nsnc12)c1cccs1
ZINC37206867	FC(F)Oc1ccc(Nc2nc3cc(Br)ccc3s2)cc1
ZINC37206872	FC(F)Oc1ccccc1Nc1nc2cc(Br)ccc2s1
ZINC37216606	CC(Nc1ccc2c(c1)OCO2)c1ccc(Cl)c(Cl)c1Cl
ZINC03911571	Cc1ccc(-c2nc3ccc(Cl)cn3c2Nc2ccccc2C)s1
ZINC36695068	O=C(CC1CCCCC1)Nc1nc2c(Cl)c(Cl)ccc2s1
ZINC39264307	Cc1ccc(Sc2ncccc2C(=O)NC23CC4CC(CC(C4)C2)C3)cc1
ZINC39560880	CC(C)(C)C1N=C2C=C/C(=[NH+]\Cc3ccc(Br)s3)C=C2[N-]1
ZINC39892929	Cc1cc2occ(CC(=O)Nc3cc(Cl)cc(Cl)c3)c2c(C)c1Cl
ZINC40310040	Cc1ccc(C)c(Cn2c(C(O)c3ccccc3)nc3cc(C)c(C)cc32)c1
ZINC40542458	CC/C(C)=N/Nc1nc2c(Br)cc(-c3ccccc3)cc2s1
ZINC40971280	Cc1ccc2sc(NC(=O)/C=C/c3ccc(Cl)c(Cl)c3)nc2c1C
ZINC41305878	CC(C)c1ccc2oc(C(=O)Nc3ccccc3Br)cc2c1
ZINC06925888	O=C1N=C([N-]c2cccc(Br)c2)S/C1=C\c1ccc(F)cc1
ZINC06925888	O=C1N/C(=N\c2cccc(Br)c2)S/C1=C\c1ccc(F)cc1
ZINC04199193	Cc1ccc(-c2cs/c(=N/N=C/c3ccc(Br)cc3)[nH]2)cc1
ZINC59514189	Cc1cc(C)c(/C=N/c2cccc(C(=O)Nc3cccc(Cl)c3)c2)c(C)c1
ZINC59713736	Cc1cc(Cl)cc(Cl)c1OCC(=O)Nc1cc(Cl)cc(Cl)c1
ZINC19927795	Clc1ccc(CSc2nc(-c3ccc(Br)cc3)n[nH]2)cc1
ZINC59793312	Clc1cccc(-c2n[nH]c(SCc3cccc(Br)c3)n2)c1
ZINC62048815	Cc1ccc(-c2csc3ncnc(NC4CCCCC4C)c23)c(C)c1
ZINC09334782	O=C1N/C(=N\c2ccccc2C(F)(F)F)S/C1=C\c1ccc(F)cc1
ZINC09334782	O=C1N/C(=N/c2ccccc2C(F)(F)F)S/C1=C\c1ccc(F)cc1
ZINC64472566	Cc1ccc(-c2csc(C(=O)Nc3ccc(F)cc3)c2-n2cccc2)cc1
ZINC64472762	O=C(NC1CCCC1)c1scc(-c2ccc(Cl)cc2)c1-n1cccc1
ZINC04427489	CC[NH+](CC)CCCC(C)Nc1nc(/C=C/c2ccc(Br)cc2)nc2cc(Cl)ccc12
ZINC04427490	CC[NH+](CC)CCCC(C)Nc1nc(/C=C/c2ccc(Br)cc2)nc2cc(Cl)ccc12
ZINC10435823	CCCC([NH2+]Cc1cc(Br)c(OCc2ccccc2)c(OC)c1)c1ccccc1
ZINC10435971	CCCC([NH2+]Cc1cc(Br)c(OCc2ccc(F)cc2)c(OC)c1)c1ccccc1
ZINC10436004	CCCC([NH2+]Cc1cc(Cl)c(OCc2ccccc2Cl)c(OC)c1)c1ccccc1
ZINC12411606	CC[NH+](CC)CCCC(C)Nc1nc(/C=C/c2ccc(Br)cc2)nc2cccc(Cl)c12
ZINC13720136	CCCCOCCC[NH2+]Cc1ccc(-c2ccc(I)cc2Cl)o1
ZINC13720208	CCCCOCCC[NH2+]Cc1ccc(-c2ccc(Br)cc2Br)o1
ZINC13720365	CCOc1cc(C[NH2+]Cc2ccccc2OC)cc(Br)c1OCc1ccccc1
ZINC13720410	CCOc1cc(C[NH2+]Cc2ccccc2OC)cc(Br)c1OCc1ccc(F)cc1
ZINC13722122	CC(C)OCCC[NH2+]Cc1cc(Br)c(OCc2ccccc2)c(Br)c1
ZINC15678424	Cc1ccccc1Cn1cc(CCC(=O)NCCC[NH+](C)C2CCCCC2)c2ccccc21
ZINC16227374	COc1ccc(CC[NH2+]Cc2c(OCc3ccc(Cl)cc3Cl)ccc3ccccc23)cc1OC
ZINC16227420	COc1ccc(CC[NH2+]Cc2cc(Cl)ccc2OCc2ccccc2Cl)cc1OC
ZINC16424389	CC[NH+](CC)CCCC(C)N(CC1=CCC2CC1C2(C)C)C(=O)Nc1ccccc1Br
ZINC16688551	CCOc1cc(C[NH2+]CCOC)cc(Br)c1OCc1ccc(Cl)cc1Cl
ZINC22075521	CCN(CC)CC[NH2+]Cc1cc(Br)ccc1OCc1ccc(Cl)cc1Cl
ZINC33686040	CC(C)(C)c1ccc(C[NH+](Cc2ccc(F)cc2)Cc2nc(C(=O)NCc3ccc(F)cc3)cs2)cc1
ZINC35338113	CC(C)CC[NH2+]CC(=O)N(Cc1cccn1Cc1ccc(Br)cc1)C1CCCCC1
ZINC35338116	CCCC[NH2+]CC(=O)N(Cc1cccn1Cc1ccc(Br)cc1)C1CCCCC1
ZINC35371432	CCc1cccc2c(C(CC(=O)N(CC[NH+](C)C)Cc3ccccc3)c3ccccc3)c[nH]c12
ZINC35371471	CCc1cccc2c(C(CC(=O)N(CC[NH+](C)C)Cc3ccccc3)c3cccs3)c[nH]c12
ZINC35556359	CCc1cccc2c(C(CC(=O)N(CC[NH+](C)C)Cc3ccccc3)c3ccc(Cl)c(Cl)c3)c[nH]c12
ZINC35819170	Cc1ccc(C[NH+](CCC(C)C)Cc2ccc(C(=O)NCc3ccccc3F)cc2)s1
ZINC35843672	C=CC[NH+](CC(=O)N(CCc1c[nH]c2ccccc12)Cc1ccc(Cl)c(Cl)c1)C(C)C
ZINC35843675	Cc1ccc(C[NH+](CC(=O)N(CCc2c[nH]c3ccccc23)Cc2ccc(Cl)c(Cl)c2)C(C)C)cc1
ZINC35843684	Cc1ccc(C[NH+](CC(=O)N(CCc2c[nH]c3ccccc23)Cc2ccc(Cl)c(Cl)c2)C2CC2)cc1
ZINC35888597	C=CC(C)(CO)[NH+]1CC(CN(CC(C)C)C(=O)c2ccc(C)cc2)C(c2cccc(C(F)(F)F)c2)C1
ZINC35888618	Cc1ccc(C(=O)N(CC(C)C)CC2C[NH+](CC(O)C(C)C)CC2c2cccc(C(F)(F)F)c2)cc1
ZINC36202941	COCC[NH+](Cc1cccc(F)c1)Cc1ccc(C(O)(c2ccccc2)c2ccccc2)o1
ZINC34670168	Cc1ccc(C[NH+](CCC(C)C)Cc2ccc(C(=O)NCc3cccc(F)c3)cc2)s1
ZINC40317034	CC(C)c1ccc(C[NH+](Cc2ccco2)CC(O)COc2ccccc2Br)cc1
ZINC40318052	CCc1ccc(C[NH+](CC(O)COc2ccc(Cl)cc2Cl)CC2CCCO2)cc1
ZINC40318055	CCc1ccc(C[NH+](CC(O)COc2ccc(Cl)cc2Cl)CC2CCCO2)cc1
ZINC40720456	CCOc1cc(C[NH2+]CCN(C)C)cc(Br)c1OCc1c(Cl)cccc1Cl
ZINC40720480	CCOc1cc(C[NH2+]CCN(C)C)cc(Br)c1OCc1ccc(Cl)c(Cl)c1
ZINC40720531	CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Cl)c1OCc1ccc(F)cc1Cl
ZINC40720532	CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Cl)c1OCc1ccc(F)cc1Cl
ZINC40720539	CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Cl)c1OCc1c(F)cccc1Cl
ZINC40720540	CCOc1cc(C[NH2+]CC2CCCN2CC)cc(Cl)c1OCc1c(F)cccc1Cl
ZINC40722536	COc1ccccc1CC[NH2+]Cc1cccc(OC)c1OCc1ccc(Cl)c(Cl)c1
ZINC40732385	COc1ccc(CC[NH2+]Cc2ccccc2OCc2ccc(Cl)c(Cl)c2)cc1OC
ZINC40735249	COc1ccc(CC[NH2+]Cc2c(OCc3c(Cl)cccc3Cl)ccc3ccccc23)cc1OC
ZINC40737652	CCOc1cc(C[NH2+]Cc2ccccc2OC)ccc1OCc1ccc(Cl)c(Cl)c1
ZINC40738829	COc1ccc(CC[NH2+]Cc2cccc(OCc3ccc(Cl)c(Cl)c3)c2)cc1OC
ZINC40739230	COc1ccc(CC[NH2+]Cc2cc(Br)ccc2OCc2cccc(C)c2)cc1OC
ZINC40743331	COc1ccc(CC[NH2+]Cc2cc(Cl)ccc2OCc2c(F)cccc2Cl)cc1OC
ZINC40743515	COc1ccc(CC[NH2+]Cc2cc(Cl)ccc2OCc2cccc(Cl)c2)cc1OC
ZINC52627227	CCCCCCC(O)C[NH+]1CCC(C2=NC(c3ccc(F)cc3)=C(c3ccncc3)C2)CC1
ZINC20726972	CCCC[NH+](CCCNC(=O)c1ccc2c(c1)N=C(C)c1cc(Cl)ccc1S2)Cc1ccccc1
ZINC04622211	Cc1cccc(C)c1NC(=S)NC12CC3CC(CC(C3)C1)C2
ZINC05955313	Fc1ccc(NC(=S)Nc2ccc(Cl)cc2Cl)cc1F
ZINC06332738	Fc1cc(Br)ccc1NC(=S)NC1CCCCC1
ZINC07665061	N/C(=N\C1CCCC1)SCc1ccccc1Br
ZINC11802391	CCCOc1c(Br)cc(Cl)cc1C(N)=S
ZINC17024149	Cc1cccc(NC(=S)NC2Cc3ccccc3C2)c1C
ZINC17068498	Fc1ccc(NC(=S)Nc2cccc(Cl)c2Cl)cc1F
ZINC19075135	Fc1cccc(F)c1NC(=S)Nc1ccc(Cl)c(Cl)c1
ZINC19514156	NC(=S)c1ccccc1OCc1ccc(Br)s1
ZINC20384770	N=C(Nc1ccc(Cl)cc1)c1cccc(C(F)(F)F)c1
ZINC37092947	CN(c1ccc(C(F)(F)F)cc1C(N)=S)C1CCCC1
ZINC37194711	CC(C)(C)c1nc(CSc2ccc(F)cc2N)cs1
ZINC37515926	CCN(Cc1ccc(N)cc1Br)c1ccccc1C
ZINC37878264	OC(CNc1ccc(F)c(F)c1)c1cc(Cl)ccc1Cl
ZINC37878928	OC(CNc1ccc(Cl)cc1)c1cccc(Br)c1
ZINC37884726	OC(CNc1c(F)cccc1F)c1cc(Cl)ccc1Cl
ZINC37885893	OC(CNc1ccc(Br)cc1Cl)c1cccs1
ZINC37885894	OC(CNc1ccc(Br)cc1Cl)c1cccs1
ZINC38113524	OCC(Nc1ccccc1Cl)c1ccc(Br)cc1
ZINC38117760	OCC(Nc1ccccc1Br)c1ccccc1Cl
ZINC38118042	Cc1ccccc1C(CO)Nc1ccc(Br)cc1
ZINC38118068	OCC(Nc1ccc(Br)cc1)c1ccccc1Cl
ZINC38119195	OCC(Nc1cccc(F)c1)c1cccc(Cl)c1Cl
ZINC38119611	OCC(Nc1ccc(Cl)cc1)c1c(F)cccc1Cl
ZINC38119864	OCC(Nc1ccccc1F)c1c(Cl)cccc1Cl
ZINC41678607	OCC(Nc1ccccc1Cl)c1cc(Br)cs1
ZINC41678609	OCC(Nc1ccccc1Cl)c1cc(Br)cs1
ZINC41678678	OCC(Nc1ccc(Cl)cc1)c1cc(Br)cs1
ZINC41702986	Cc1ccccc1NC(CO)c1ccc(Br)s1
ZINC47844171	Nc1nc(C2CC2)c(Cc2cccc(C(F)(F)F)c2)s1
ZINC48971545	CN(Cc1ccc(Cl)s1)c1ccc(N)cc1C(F)(F)F
ZINC48986470	Cc1cc(C(N)=S)ccc1N(C)Cc1ccc(Cl)s1
ZINC49542162	CC(O)c1ccccc1NC(C)c1ccccc1Br
ZINC49910888	Cc1c(Cl)cccc1NCC(O)c1ccc2c(c1)CCC2
