ZINC04026895	O=CNC1C2CCCC1C1=C(CCCC1)C2
ZINC06918009	CC1CCCC(NC(=O)Cc2ccc(-n3c(=O)[nH]c4ccccc4c3=O)cc2)C1C
ZINC08045650	Cc1sc2nc(CC(=O)N/N=C/c3c(Cl)cccc3Cl)[nH]c(=O)c2c1C
ZINC08045655	Cc1sc2nc(CC(=O)NN=C3CCC(c4ccccc4)CC3)[nH]c(=O)c2c1C
ZINC08622725	Cc1cc(Cl)ccc1NC(=O)CN1C(=O)NC(C)(c2ccc(Cl)cc2)C1=O
ZINC08640102	O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCCC3)Nc1ccc(Cl)cn1
ZINC09340106	Cc1c(CC(=O)NC(C)CO)c(=O)oc2cc3c(cc12)CCC1(CCCCC1)O3
ZINC08962232	CCC1COc2ccc(NS(=O)(=O)Cc3ccc(C)cc3)cc2C(=O)N1
ZINC11694894	CSc1ccc(C2C(C(=O)Nc3ccc(C)cc3C)C(C)Nc3ncnn32)cc1
ZINC11694895	CSc1ccc(C2C(C(=O)Nc3ccc(C)cc3C)C(C)Nc3ncnn32)cc1
ZINC11730458	Cc1ccc(-c2c(S(=O)(=O)c3ccc(C)cc3)nnn2-c2ccc(N)cc2)cc1
ZINC14471010	CC(C)NC(=O)c1cccc2c1NC(c1ccc(Cl)c([N+](=O)[O-])c1)C1CC=CC21
ZINC16056529	Cc1c(C(=O)NNC(=O)COc2ccc(F)cc2)oc2ccc(Cl)cc12
ZINC16845693	CC1CCc2sc3nc(N)n4c(SCC(=O)c5ccccc5)nnc4c3c2C1
ZINC16896707	CCC(C(=O)Nc1ccc(O)cc1)n1cnc2sc3c(c2c1=O)CCC(C)C3
ZINC20096123	CNS(=O)(=O)c1cc(-c2ccc(NC3CCCCC3C)nn2)ccc1C
ZINC20413507	CSc1nc2n(n1)C(c1ccc(F)cc1)C(C(=O)Nc1ccccc1C)=C(C)N2
ZINC22319724	Cc1cc(-c2cc(C(=O)Nc3ccccc3O)c3cnn(C(C)C)c3n2)c(C)s1
ZINC22748173	Cc1ccc(F)c(NC(=O)CN2C(=O)NC(C)(c3ccc4ccccc4c3)C2=O)c1
ZINC12947039	CC1CN(Cc2csc(NC(=O)c3cc4cc(Cl)ccc4[nH]3)n2)CC(C)O1
ZINC18142993	COc1cc(OC)c(C2Nc3ccccc3NC3=C2C(=O)CC(C)(C)C3)cc1OC
ZINC18142996	COc1cc(OC)c(C2Nc3ccccc3NC3=C2C(=O)CC(C)(C)C3)cc1OC
ZINC18121794	CC(C)(C)C1CCc2c(sc(NC(=O)CSc3ncn[nH]3)c2C#N)C1
ZINC38743003	Clc1ccc(CC2=NN3C(NNC3C3C=C(c4ccccc4)N=N3)S2)cc1
ZINC38971231	Fc1cccc(Cl)c1/C=N/N1C(S)NNC1C1C=C(c2ccccc2)N=N1
ZINC39920259	CCC1Nc2ccc(Cl)cc2C(=O)N1NC(=O)COc1ccccc1C
ZINC40428622	CCc1nc(Cl)c(N)c(Oc2c(C)c(C)nn2-c2cccc(Cl)c2)n1
ZINC41195214	CC(C)OC(=O)C1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1
ZINC44388818	Cn1nc(NC(=O)c2ccc(C(C)(C)C)cc2)c2c1NC(=O)CC2c1cccs1
ZINC39737527	C(=N/N=C(/[N-]c1ccccc1)c1nc2ccccc2[nH]1)\C1=c2ccccc2=[NH+]C1
ZINC16429479	N#Cc1c(/N=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)sc2c1CCCC2
ZINC26782581	CC1CC(=O)Nc2ccccc2N1C(=O)CNc1ccc(OC(F)F)cc1
ZINC59417087	O=S(=O)(c1ccccc1)c1ccccc1/C=N/Nc1nc2ccccc2[nH]1
ZINC16145642	Cc1cc(S(=O)(=O)N(C)C)cc(NC(=O)c2ccc3[nH]c(C)c(C)c3c2)c1C
ZINC05341419	CCCN1C(=O)c2n[nH]c(-c3cc(Cl)c(C)cc3O)c2C1c1cccc(O)c1
ZINC05341419	CCCN1C(=O)c2[nH]nc(-c3cc(Cl)c(C)cc3O)c2C1c1cccc(O)c1
ZINC67029508	CC1=C(C(=O)Nc2ccc(C)cc2C)C(c2csnn2)NC(=S)N1C1CC1
ZINC00262386	CC1(C)SC(=S)N(N)C1N(O)C(=O)Nc1cccc(Cl)c1
ZINC00071754	COC(=O)c1ccc(C2NC(=S)NC(C)=C2C(N)=O)cc1
ZINC07183336	Cc1cc(SCc2nc(N)nc(N)n2)nc2c(C)cccc12
ZINC11620863	NC(=O)NC(=O)CNc1cc(Cl)ccc1N1CCCC1
ZINC12917400	Nc1nc(N)nc(CSCc2csc(-c3ccccc3)n2)n1
ZINC13479837	CC1OC(Nc2ccc(OC(F)(F)Cl)cc2)C(O)C(O)C1O
ZINC16266808	Cc1cc(O)c(C(c2c(O)cc(C)[nH]c2=O)C(C)C)c(=O)[nH]1
ZINC29336934	O=C(NNC(=O)c1cc(Br)c[nH]1)NC(C1CC1)C1CC1
ZINC31412325	Cc1ccc(-c2nc(CSCc3nc(N)nc(N)n3)cs2)cc1
ZINC06605646	CC(NC(=O)CSc1n[nH]c(N)n1)c1ccc(Br)cc1
ZINC37205392	CN(C)c1nc(N)nc(CSc2ccc(Br)cc2N)n1
ZINC37558109	Nc1[nH][nH+]cc1S(=O)(=O)[N-]c1ccccc1C(F)(F)F
ZINC37558175	Nc1[nH][nH+]cc1S(=O)(=O)[N-]c1cc(Cl)c(Cl)cc1Cl
ZINC03871438	N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccc(O)c(O)c1
ZINC37905145	Cc1ccc(NS(=O)(=O)c2c(C)n[nH]c2C)c(C)c1N
ZINC38008798	Cc1cc(C)c([N-]S(=O)(=O)c2cc[nH+]c(NN)c2)c(C)c1
ZINC00242180	COc1cccc(C2C(C#N)=C(N)Oc3cc(N)ccc32)c1OC
ZINC40376515	N/C(=N\O)C(NS(=O)(=O)C1CCCCC1)C1CCCCC1
ZINC40377203	N/C(=N/O)C1(NS(=O)(=O)c2ccc(Cl)s2)CCCC1
ZINC40377459	N/C(=N\O)C(NS(=O)(=O)C1CCCCC1)c1ccccc1
ZINC40429808	Nc1cc(N)nc(SCc2csc(-c3ccco3)n2)n1
ZINC40686842	Cc1ccc(C)c(Nc2ncnc(NCC3CCCO3)c2N)c1
ZINC40759928	CN(C)Nc1ncnc(Nc2cc(Cl)ccc2Cl)c1N
ZINC40782103	COCC(C)Nc1ncnc(Nc2ccc(C)cc2)c1N
ZINC40796214	Cc1ccc(Oc2ncnc(NNC(C)(C)C)c2N)cc1
ZINC41630082	CCC(Sc1nc(N)cc(=O)[nH]1)C(=O)Nc1c(C)cccc1C
ZINC42015090	Cc1c(Cl)cccc1-n1nnnc1-c1ccc(N)cc1N
ZINC43002029	CCCC(C)NC(=O)NNC(=O)c1cc(Br)c[nH]1
ZINC43143856	Cc1ccc(NC(=O)NC(C)c2cccc(S(N)(=O)=O)c2)cc1C
ZINC44784299	CC1CCCC(NC(=O)C2(/C(N)=N/O)CCOCC2)C1C
ZINC44786217	Cc1ccc(C(C)NC(=O)C2(/C(N)=N/O)CCCCC2)o1
ZINC45092984	CCCN(C/C(N)=N/O)C(=O)Nc1ccc(C)c(Cl)c1
ZINC47873482	CCCn1c(N)c(NC2CCCCC2CC)c(=O)[nH]c1=O
ZINC48870158	Cc1cc(NC(=O)Nc2cc(Cl)c(N)c(Cl)c2)n(C)n1
ZINC49554658	CC(C)C(NS(=O)(=O)c1c[nH]nc1N)c1cccs1
ZINC51089673	NNc1cc[nH+]c(/C([O-])=N/c2nc3ccc(Cl)cc3s2)c1
ZINC05323315	OCc1nc2cc(Cc3ccc4nc(CO)[nH]c4c3)ccc2[nH]1
ZINC16721189	NC(=O)CSc1ccccc1N/C=C1/C(=O)NC(=O)c2ccccc21
ZINC54156024	CC(CNS(=O)(=O)c1ccc(Br)s1)/C(N)=N/O
ZINC54163256	CCC(C/C(N)=N/O)NC(=O)c1cc2cc(C)ccc2o1
ZINC00390702	Cc1[nH]nc(-c2ccc(O)c(O)c2O)c1Oc1ccc(F)cc1
ZINC05042265	N#CC1=C(N)Oc2n[nH]c(C(F)(F)F)c2C1c1cccc(O)c1
ZINC05042265	N#CC1=C(N)Oc2[nH]nc(C(F)(F)F)c2C1c1cccc(O)c1
ZINC18266707	Nc1nnc(SCc2nc(N)c3c4c(sc3n2)CCCC4)s1
ZINC58900026	Cc1ccccc1C1C(C#N)=C(N)Oc2c1c(C)nn2C(N)=S
ZINC59460990	Cc1cc(C)c(/C=N/c2ccc(S(=O)(=O)N=C(N)N)cc2)c(C)c1
ZINC59461037	NC(N)=NS(=O)(=O)c1ccc(/N=C/c2ccc3ccccc3c2)cc1
ZINC62321434	Cc1ccc(NC(=O)c2cn(C)c3cccc(N)c3c2=O)c(O)c1
ZINC62901179	CCCC1(C(=O)Nc2ccc(O)cc2C(=O)[O-])CC[NH2+]C1
ZINC66088182	COC(=O)C1C(c2ccccc2)CC(C)(O)CC12NNC(=S)N2
ZINC66908064	CC(C)(C)NC(=O)CNC(=O)NCC1(O)CCCc2ccccc21
ZINC02778700	Cc1nc2sc3c(c2c(=O)n1NC(=O)c1cnn2c(C(F)(F)F)cc(-c4ccco4)nc12)CCC3
ZINC05413664	N#Cc1ccc(C(=O)Nc2ccc3n(c2=O)CC2CC3CN(S(=O)(=O)c3cccc4cccnc34)C2)cc1
ZINC01165843	Cc1cc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3F)C2=O)c(C)n1-c1cccc([N+](=O)[O-])c1
ZINC09346491	CSc1cccc(-c2nnc(NC(=O)c3ccc(S(=O)(=O)N4CC(C)OC(C)C4)cc3)o2)c1
ZINC09503356	CC1(c2ccc3c(c2)OCCCO3)NC(=O)N(Cc2nnc(-c3ccc(Br)cc3)o2)C1=O
ZINC09508808	CN(C)S(=O)(=O)c1ccc2oc3nnc(SCC(=O)Nc4ccc(F)c(F)c4F)n3c2c1
ZINC09550157	CC1(c2cc3ccccc3o2)NC(=O)N(CC(=O)N(c2ccccc2)C2CCS(=O)(=O)C2)C1=O
ZINC09614036	CC1(c2ccc3c(c2)OCO3)NC(=O)N(CC(=O)N2CCN(c3cccc(Cl)c3)CC2)C1=O
ZINC10390806	CC(=O)N(c1ccccc1)c1nc(CN2C(=O)NC(C)(c3ccc4c(c3)OCCO4)C2=O)cs1
ZINC10642736	COc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)c1cc(-c2ccc(C)s2)nc2onc(C)c12
ZINC10672921	O=C(NCCN1C(=O)/C(=C\c2ccc3c(c2)OCO3)SC1=S)c1ccc(Cl)cc1[N+](=O)[O-]
ZINC11024172	CC1(C)OC2OC(C(=O)NCc3nc4ccccc4n3Cc3ccccc3)C3OC(C)(C)OC3C2O1
ZINC11268935	O=C1NC2(CCc3ccccc32)C(=O)N1CC(=O)N1N=C(/C=C/c2ccco2)CC1c1ccco1
ZINC11379959	COc1ccc(C2(C)NC(=O)N(CC(=O)N3N=C(c4cccs4)CC3c3ccco3)C2=O)cc1
ZINC11912319	COC(=O)c1c(S(=O)(=O)Nc2cccc(C)c2C)sc2c1CCN(C(=O)c1csnn1)C2
ZINC12453648	COC(=O)c1c(S(=O)(=O)Nc2cc(C)cc(C)c2)sc2c1CCN(C(=O)c1csnn1)C2
ZINC12528693	O=C(CSc1nnnn1-c1ccc(O)cc1)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1
ZINC00912504	COc1cc2cc(C(c3nnnn3C3CCCCC3)N3CCCc4ccccc43)c(=O)[nH]c2cc1OC
ZINC00913428	O=c1[nH]c2cc3c(cc2cc1C(c1nnnn1C1CCCCC1)N1CCc2ccccc21)OCCO3
ZINC13240999	O=C([O-])c1cc(S(=O)(=O)N2CCCCC2)ccc1N1CC[NH+](CC(=O)N2CCCCC2)CC1
ZINC13298903	CC1CC(C)CN(C(=O)C[NH+]2CCN(c3cnn(-c4ccccc4C(=O)[O-])c(=O)c3Cl)CC2)C1
ZINC13365288	Cn1c(=O)c2c(nc(Sc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)n2C)n(C)c1=O
ZINC14012443	O=C(CC1CSc2nc3c(cnn3-c3ccc(F)cc3)c(=O)n21)NCc1ccc2c(c1)OCO2
ZINC14957606	COC(=O)c1c(S(=O)(=O)NC2CCCCC2)sc2c1CCN(C(=O)c1csnn1)C2
ZINC15953496	COc1cc(/C=N/N2CC(=O)N3C(Cc4c([nH]c5ccccc45)C3(C)C)C2=O)cc(OC)c1OC
ZINC16045765	Cc1cc(C(=O)CN2C(=O)NC3(CCOc4ccccc43)C2=O)c(C)n1Cc1ccc2c(c1)OCO2
ZINC16731129	CC(Sc1nnc(C2COc3ccccc3O2)n1C)C(=O)N1c2ccccc2NC(=O)C1(C)C
ZINC16760814	CN(C)S(=O)(=O)c1ccc2c(c1)CCCN2C(=O)CN1C(=O)NC2(CCCc3ccccc32)C1=O
ZINC18968059	CC(OC(=O)c1ccc2c(=O)n3c(nc2c1)CCCCCC3)C(=O)Nc1ccc2c(c1)OCCO2
ZINC19625674	Cc1cc(C(=O)N2CCCCC2)c2c(=O)n(C(C)C(=O)Nc3cc(Cl)ccc3C)c(=O)n(C)c2n1
ZINC19973052	Cc1cccc2cc(C(c3nnnn3C(C)(C)C)N3CCN(c4nc5ccccc5s4)CC3)c(=O)[nH]c12
ZINC20178580	COc1ccc(/C=C/C(=O)Nc2cc3c(cc2N2CCCCC2)n(C)c(=O)c(=O)n3C)cc1OC
ZINC21354818	COc1ccccc1N1CCN(C(=O)c2ccc(NC(=O)Cn3c(C)cc(C)c(C#N)c3=O)cc2)CC1
ZINC22711101	Cc1nn(C)cc1Cn1cc(NC(=O)c2cc(-c3ccc(Cl)cc3)nc3c2c(C)nn3C)cn1
ZINC23058031	Cc1ccc(-c2csc(NC(=O)Cn3c(Br)nc4c(=O)n(C)c(=O)n(C)c43)n2)cc1
ZINC23222925	CC1(c2ccc3c(c2)CCC3)NC(=O)N(CC(=O)N2N=C(c3ccco3)CC2c2ccco2)C1=O
ZINC12581339	Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(CC(=O)/C(C#N)=C3\NN=C4CCCCCN43)CC2)c1C
ZINC25049106	Cc1ccc(OC(C)C(=O)N2CCN(S(=O)(=O)c3cc4c(cc3Cl)NC(=O)CO4)CC2)cc1
ZINC27527590	COc1cc(/C=C(\NC(=O)c2ccccc2)C(=O)N2CC3CC(C2)c2cccc(=O)n2C3)cc2c1OCO2
ZINC18057954	CN1CCN(S(=O)(=O)c2ccc(Sc3nc(-c4ccc(F)cc4)c[nH]3)c([N+](=O)[O-])c2)CC1
ZINC15940407	CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)N2CCN(S(=O)(=O)c3ccccc3F)CC2)C1=O
ZINC39466266	CC(C)S(=O)(=O)P1(=O)NN2CCc3cc(Cl)c(S(=O)(=O)Oc4ccccc4)cc3C2CO1
ZINC14019416	CC(=O)c1cccc(S(=O)(=O)N2CCN(CN3C(=O)NC4(CC(C)CC(C)(C)C4)C3=O)CC2)c1
ZINC40022118	Cc1cccn2c(=O)c3cc(C#N)c(=O)n(-c4sc5c(c4C(=O)NCC4CCCO4)CCCC5)c3nc12
ZINC46016820	Cc1nn(-c2ccc3nncn3n2)c2c1C(c1ccc(OCc3ccccc3F)cc1)CC(=O)N2
ZINC13997828	Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCCN(S(=O)(=O)c5cccs5)C4)nc32)cc1
ZINC09210381	CCCC1=NN2C(=N)/C(=C\c3cc(C)n(-c4ccc(Cl)c([N+](=O)[O-])c4)c3C)C(=O)N=C2S1
ZINC41084143	CCS(=O)(=O)C1=NN2C(=N)/C(=C/c3ccc(OC(=O)c4ccccc4Cl)cc3)C(=O)N=C2S1
ZINC41084853	COc1ccc(OC)c(-n2c(C)cc(/C=C3/C(=N)N4N=C(N5CCCCC5)SC4=NC3=O)c2C)c1
ZINC04793003	COc1ccc([N+](=O)[O-])cc1NC(=O)C1c2ccccc2C(=O)N(C)C1c1cn(C)c2ccccc12
ZINC03642090	OC(C[NH2+]CC(O)Cn1c2ccccc2c2ccccc21)Cn1c2ccccc2c2ccccc21
ZINC08791010	Cc1cc(Cl)cc2c1NC(=O)C21[NH2+]C(Cc2ccc(O)cc2)C2C(=O)N(CCc3ccccc3)C(=O)C21
ZINC08876181	CCCCc1ccc(N2C(=O)C3C(CC(N)=O)[NH2+]C4(C(=O)Nc5c4ccc(C)c5C)C3C2=O)cc1
ZINC08919164	CC1CCc2c(sc(NC(=O)C[NH2+]CCc3ccccc3)c2C(=O)Nc2ccccc2F)C1
ZINC08994446	CCOC(=O)c1ccc(NC(=O)C2CC(C(C)O)[NH2+]C23C(=O)Nc2c(C)cc(C)cc23)cc1
ZINC09129674	COc1ccc(NC(=O)C2CC(CC(C)C)[NH2+]C23C(=O)Nc2c(C)cc(Cl)cc23)cc1
ZINC09358620	Nc1n/c(=N/c2cccc(Cl)c2)[nH]c(N2CC[NH+](Cc3ccccc3)CC2)c1[N+](=O)[O-]
ZINC09630264	NC(=O)c1c(NC(=O)CCSc2ccc(Cl)cc2)sc2c1CC[NH+](Cc1ccccc1)C2
ZINC12411478	CCOc1cc(C2C3CCCCC3(O)CC[NH+]2CC(=O)Nc2ccc(Cl)cc2Cl)ccc1O
ZINC12412495	CCOC(=O)C1=C(C[NH2+]C(C)C23CC4CC(CC(C4)C2)C3)NC(=O)NC1c1cc(C)ccc1C
ZINC12243947	O=C(NC1CCCCNC1=O)c1ccc(N2CCC([NH2+]C3C4CC5CC(C4)CC3C5)CC2)cc1
ZINC12881810	Cc1c(Cl)ccc2c1NC(=O)C21[NH2+]C(Cc2ccc(O)cc2)C2C(=O)N(CCc3ccccc3)C(=O)C21
ZINC12890161	COc1ccc(Cl)cc1NC(=O)C1CC(CC(C)C)[NH2+]C12C(=O)Nc1ccc(C)cc12
ZINC14418339	CC1(C)OC2OC(C([NH3+])COC(c3ccccc3)(c3ccccc3)c3ccccc3)C(O)C2O1
ZINC16958119	C/C(=N/NC(N)=S)C(C[NH+]1CCCCC1)C(c1ccccc1)C1COc2ccccc2C1=O
ZINC20518970	NC(=[NH2+])c1ccc(COc2c(Br)cc(Br)cc2Br)cc1
ZINC20837396	C/C(=N\Nc1nc(SCC(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)n[nH]1)C12CC3CC(CC(C3)C1)C2
ZINC26947206	O=C(CSC1=CN=C2[NH+]=c3ccccc3=C2[N-][NH2+]1)Nc1ncc(Cc2ccc(F)cc2)s1
ZINC28048629	O=C(Nc1ccc(Br)cc1)Nc1c(O)oc2ccccc2c1=[NH+]C1CCCCC1
ZINC29787177	CSCCC(NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC30883703	CC(C(=O)NCC[NH+]1CCCC1)C1CCC2(C)CCC(NC(=O)CC(C)(C)C)C(C)C2C1O
ZINC01920765	CCOC(=O)c1c(-c2ccc(C)cc2)csc1NC(=O)c1sc2[nH+]c(C)cc(C)c2c1N
ZINC09299700	O=C(Nc1ccc(Cl)cc1Cl)c1cc2ccc(O)cc2o/c1=[NH+]\Nc1ccccc1
ZINC35877597	CCOC(=O)c1ccc(NC(=O)C2CC(C(C)O)[NH2+]C23C(=O)Nc2c(C)cc(C)cc23)cc1
ZINC02313944	CCOCCCn1c(N)c(C(=O)Nc2sc3c(c2C(=O)OC)CCCC3)c2[nH+]c3ccccc3nc21
ZINC38194301	CC1(C)CC2(CC(C)(C)[NH2+]1)OC(=O)N(CCNC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)C2(C)O
ZINC38769726	Cc1ccc(NC(=O)NC(=O)C(C)SC2NN=C(C3=c4ccccc4=[NH+]C3)N2C2CC2)c(C)c1
ZINC38915575	O=C(CSC1NNC(SCc2cccc3ccccc23)S1)N/N=C/C1=c2ccccc2=[NH+]C1
ZINC39448896	NC1=[NH+]C(c2ccc(Cl)cc2Cl)NC(SCC(=O)N2c3ccccc3CCc3ccccc32)=N1
ZINC39467093	O=P1(c2ccccc2O)N[NH+]2CC3C=C(c4ccccc4O)C(c4ccccc4O)=CC3CC2CO1
ZINC39467095	O=P1(c2ccccc2O)N[NH+]2CC3C=C(c4ccccc4O)C(c4ccccc4O)=CC3CC2CO1
ZINC40645205	Cc1cccc2sc(Nc3ncnc(NC4CC(C)(C)[NH2+]C(C)(C)C4)c3[N+](=O)[O-])nc12
ZINC40688687	Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1ncnc(NN2CC[NH+](C)CC2)c1N
ZINC40688713	Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1[nH+]cnc(N2CCCc3ccccc32)c1N
ZINC44165026	CC(NC(=O)C1CSCC(c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)[NH2+]1)c1ccccc1
ZINC44166994	CC(C)(C)c1cc(C2CSCC(C(=O)NCc3ccccc3F)[NH2+]2)cc(C(C)(C)C)c1O
ZINC44170674	CC(C)(C)c1cc(C2CS(=O)CC(C(=O)NCCc3ccccc3F)[NH2+]2)cc(C(C)(C)C)c1O
ZINC49573676	CCc1[nH]c(C)c/c(=[NH+]\CC(=O)C2(O)CCC3C4CCC5=CC(=O)CCC5(C)C4CCC32C)c1O
ZINC04156688	CC(c1nc2ccccc2c(=O)[nH]1)N(CCCCCC[NH3+])C(=O)C12CC3CC(CC(C3)C1)C2
ZINC58885572	CC[NH+](CC)C(CNC(=O)Nc1cccc(NC(=O)c2cccs2)c1)c1ccsc1
ZINC59170505	COc1ccc(NC(=O)c2cc3ccc(O)cc3o/c2=[NH+]\NS(=O)(=O)c2ccc(C)cc2)cc1
ZINC59170508	COc1cccc(NC(=O)c2cc3cc(C(C)(C)C)cc(O)c3o/c2=[NH+]\c2ccc(S(N)(=O)=O)cc2)c1
ZINC59170729	COc1ccccc1NC(=O)c1cc2c(ccc3ccccc32)o/c1=[NH+]\c1ccc(S(N)(=O)=O)cc1
ZINC63166515	Cc1ccc2c(c1)SC(NC(=O)C(CC1=c3ccccc3=[NH+]C1)NC(=O)OC(C)(C)C)N2
ZINC63339744	Cc1cccc(CSC2NNC(C(CC3=c4ccccc4=[NH+]C3)NC(=O)OC(C)(C)C)O2)c1
ZINC63339748	CC(C)(C)OC(=O)NC(CC1=c2ccccc2=[NH+]C1)C1NNC(SCc2ccccc2F)O1
ZINC63425113	Cc1ccc(CSC2NNC(C(CC3=c4ccccc4=[NH+]C3)NC(=O)OC(C)(C)C)O2)cc1
ZINC63503229	Cc1ccc2c(c1)SC(c1ccc(NC(=O)C(CC3=c4ccccc4=[NH+]C3)NC(=O)OCC(C)C)cc1)N2
ZINC63503230	Cc1ccc2c(c1)SC(c1ccc(NC(=O)C(CC3=c4ccccc4=[NH+]C3)NC(=O)OCC(C)C)cc1)N2
ZINC63920245	NC(=O)NC(Cc1ccccc1)C(=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC03416573	O=C1CN(C(=O)COC(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)c2ccccc2N1
ZINC08646988	Cc1ccc(-n2c(C)cc(C(=O)CN3C(=O)NC(C)(c4ccc([N+](=O)[O-])cc4)C3=O)c2C)cc1F
ZINC08833777	COc1ccc(S(=O)(=O)Nc2cc(Br)c3oc4c(c3c2)C(=O)CCC4)cc1[N+](=O)[O-]
ZINC09244378	Cn1c(=O)c2c(SCC(=O)Nc3sc4c(c3C#N)CCCC4)nc(C(C)(C)C)nc2n(C)c1=O
ZINC02408703	COc1ccc(NC(=O)CSc2nnc3n4ncnc4c4c5c(sc4n23)CCC(C)C5)cc1
ZINC12289099	CC1CCCN(c2nc3c(c(=O)n(C)c(=O)n3C)n2CC(O)COc2ccc(Cl)cc2Cl)C1
ZINC12313399	Cc1ccc(N2CC(C(=O)Nn3cnc4c(cnn4-c4cccc(Cl)c4)c3=O)CC2=O)cc1C
ZINC09403845	Cc1ccc(NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1S(=O)(=O)N1CCCCC1
ZINC12563268	COc1cc(OC)c(C(=O)Nc2c(C(=O)N3CCOCC3)sc3nc(C)cc(C)c23)cc1OC
ZINC12978908	CC(OC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1)C(=O)N1c2ccccc2NC(=O)C1(C)C
ZINC13085832	Cc1csc(NC(=O)CSc2nnc3n(CC(=O)N4C(C)CCCC4C)c4ccccc4n23)n1
ZINC09126863	O=S(=O)(Nc1nc2ccccc2nc1Sc1nnnn1-c1ccccc1)c1ccc(F)cc1
ZINC13164738	CC1(c2ccc3c(c2)OCO3)NC(=O)N(CC(=O)N2c3ccccc3OCC2c2ccccc2)C1=O
ZINC13298905	CC1CC(C)CN(C(=O)C[NH+]2CCN(c3cnn(-c4ccccc4C(=O)[O-])c(=O)c3Cl)CC2)C1
ZINC13677747	Cc1c(NC(=O)C2CN(S(=O)(=O)Cc3ccccc3)c3ccccc3O2)cccc1[N+](=O)[O-]
ZINC14010039	Cc1cccc(-n2ncc3c(=O)n4c(nc32)SCC4CC(=O)NCc2ccc3c(c2)OCO3)c1
ZINC14608203	CCN1C(=O)C2(N=C(NC(=O)C(C)C)N(C(=O)C(C)C)c3nc4ccccc4n32)c2ccccc21
ZINC16043507	O=C1NC2(CCOc3ccccc32)C(=O)N1CC(=O)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1
ZINC16663462	COc1ccc(N2C(=O)C(C)CS2(=O)=O)cc1S(=O)(=O)Nc1nc2ccc(C)cc2s1
ZINC09972359	COc1cc(/C=C2\C(=N)N3N=C(c4ccncc4)SC3=NC2=O)ccc1OC(=O)c1ccc(C)cc1
ZINC13374829	CC(=O)Nc1ccc2c(c1)s/c(=N/C(=O)c1ccc(S(=O)(=O)N3CC(C)OC(C)C3)cc1)n2C
ZINC20082537	Cc1ccc2cc(C(c3nnnn3C(C)(C)C)N3CCN(c4nc5ccccc5s4)CC3)c(=O)[nH]c2c1
ZINC20577119	Cc1cc(C)cc(N2CC(c3nnc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)s3)CC2=O)c1
ZINC20577187	Cc1ccc(N2CC(c3nnc(NC(=O)c4ccc(Cl)cc4[N+](=O)[O-])s3)CC2=O)cc1C
ZINC20591366	Cc1cc(C)nc(N2CCN(CC(O)Cn3c4ccccc4n4c(=O)cc(C)c(C#N)c34)CC2)n1
ZINC21691823	O=C(CSc1nnc(N2CCCCC2)n1C1CC1)Nc1nc2cc3c(cc2s1)OCCO3
ZINC21726336	Cc1nn(-c2ccc3nnc(C)n3n2)c2c1C(c1ccccc1OCc1ccccc1Cl)CC(=O)N2
ZINC21726344	Cc1nn(-c2ccc3nnc(C)n3n2)c2c1C(c1ccccc1OCc1cccc(Cl)c1)CC(=O)N2
ZINC21726348	Cc1nn(-c2ccc3nnc(C)n3n2)c2c1C(c1ccccc1OCc1ccc(Cl)cc1)CC(=O)N2
ZINC22021941	Cc1cc(NC(=O)C(C)Sc2nnc3n(-c4cccc(C)c4C)c(=O)c4ccccc4n23)no1
ZINC22852413	Cc1ccc(C(c2sc3nc(-c4ccco4)nn3c2O)N2CCN(C(=O)c3ccco3)CC2)cc1
ZINC24885971	CC1Oc2ccccc2N(CC(=O)Nc2nc(-c3ccc(N(C)S(C)(=O)=O)cc3)cs2)C1=O
ZINC28055333	COc1ccc(C2Oc3ccccc3C3=C2C(c2ccc(F)cc2)n2nnnc2N3)c(OC)c1OC
