ZINC03458097	Cc1cc(C)cc(CN2C(=O)NC3(CCC(C)CC3)C2=O)c1
ZINC38660876	CC(Oc1ccccc1F)C(=O)Oc1ccc2c(c1)OC(N)=C(C#N)C2c1cccc(Oc2ccccc2)c1
ZINC38682921	CCCCOc1ccccc1C1C(C#N)=C(N)Oc2cc(OC(=O)C(C)Oc3ccc(F)cc3)ccc21
ZINC38683758	CCCOc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4ccc(C(C)(C)C)cc4)ccc32)cc1OCC
ZINC38684234	CCOc1cccc(C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc(OCC(C)C)c(OC)c2)c1
ZINC38684940	CCOc1cccc(C2C(C#N)=C(N)Oc3cc(OC(=O)COc4ccc(C(C)(C)C)cc4)ccc32)c1
ZINC38686459	COc1cccc(C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc(OCc3ccc(F)cc3)cc2)c1
ZINC38688225	COc1c(Cl)cc(C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2ccc([N+](=O)[O-])cc2)cc1Cl
ZINC38688587	C=CCOc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4oc5cc(C)cc(C)c5c4C)ccc32)cc1
ZINC38688717	CCOc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4oc5ccc(CC)cc5c4C)ccc32)cc1OC
ZINC38700651	CCCOc1ccccc1C1C(C#N)=C(N)Oc2cc(OC(=O)c3oc4ccc(CC)cc4c3C)ccc21
ZINC38701015	CCCOc1cccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4oc5ccc(CC)cc5c4C)ccc32)c1
ZINC38701218	CCOc1cccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4oc5cc(C)c(Cl)cc5c4C)ccc32)c1
ZINC39324519	CCCN1CC2=C(OC(N)=C(C#N)C2c2ccc(C(=O)OC)cc2)/C(=C/c2ccc(C(=O)OC)cc2)C1
ZINC39494224	O=C(NC(c1ccccc1)C(C(=O)S(=O)(=O)Oc1ccccc1)c1ccccc1)c1ccccc1O
ZINC39912010	CCCCCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2C1c1ccc(OCc2ccccc2)c(OC)c1
ZINC38705727	CCCCCOc1cccc(C2c3c(-c4c(C)cc(C)cc4O)n[nH]c3C(=O)N2Cc2cccnc2)c1
ZINC38705728	CCCCCOc1cccc(C2c3c(-c4c(C)cc(C)cc4O)n[nH]c3C(=O)N2Cc2cccnc2)c1
ZINC01904270	C=C(NNC(=O)CSc1nnc(-c2ccc(OC)cc2)n1-c1ccc(C)cc1)c1ccc(Cl)cc1
ZINC36608139	CC(C)(C)CC(C)(C)NC(=O)C(c1ccc([N+](=O)[O-])cc1)N(C(=O)c1ccccc1O)c1ccccc1
ZINC58846090	CCc1ccccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cc([N+](=O)[O-])ccc1Cl)N2
ZINC58846405	COc1ccc(C2Nc3ccc(S(=O)(=O)Nc4cc(C)ccc4C)cc3C3C=CCC32)cc1[N+](=O)[O-]
ZINC58871836	CCOc1cc(/C=N/NC(=O)c2ccc(O)cc2)ccc1OC(=O)c1sc2ccccc2c1Cl
ZINC59104349	N#C/C(=C\c1c(OCc2cccc([N+](=O)[O-])c2)ccc2ccccc12)C(=O)NCCc1c[nH]c2ccccc12
ZINC59417894	Cc1ccc(-c2ccc(/C=N/Nc3nc(Nc4ccccc4)nc(N4CCCC4)n3)o2)c(Br)c1
ZINC12749270	CC(Sc1nnc(-c2c[nH]c3ccccc23)n1-c1ccc(Cl)cc1)C(=O)Nc1ccccc1[N+](=O)[O-]
ZINC14943915	CCc1ccc(C2C(C(=O)OCc3ccccc3)/C(=N\O)CC(C)(O)C2C(=O)OCc2ccccc2)cc1
ZINC09332673	O=C(c1cccc([N+](=O)[O-])c1)C1C2C(=O)N(c3ccccc3Cl)C(=O)C2C2c3ccccc3C=C[NH+]12
ZINC09548359	O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1C[NH+]1CCC(c2nc3ccccc3o2)CC1
ZINC10066001	C[NH+](C)CCN(C(=O)c1cc(-c2ccccc2)nc2ccccc12)c1nc2cc3c(cc2s1)OCCO3
ZINC10066104	COc1ccc2sc(N(CC[NH+](C)C)C(=O)c3cc4c(ccc5ccccc54)oc3=O)nc2c1
ZINC10108296	Cc1cn2c3c(=O)n(CC(C)C[NH+]4CC(C)CC(C)C4)c(=O)n(C)c3nc2n1-c1ccc(F)cc1
ZINC10463385	C[NH+](C)CCN(C(=O)/C=C\c1ccc([N+](=O)[O-])cc1)c1nc2ccc(Br)cc2s1
ZINC12038101	CCC1(C2CC[NH+](C/C(C)=C/c3ccccc3)CC2)NC(=O)N(CC2COc3ccccc3O2)C1=O
ZINC12052261	COc1cccc(CC2(C3CC[NH+](Cc4c(OC)ccc5ccccc45)CC3)NC(=O)N(C)C2=O)c1
ZINC12333668	CCOC(=O)N1CCC([NH2+]C2CCc3c(sc4ncn(CC5CCCCC5)c(=O)c34)C2)CC1
ZINC10104078	CC[NH+](CC)CCn1c(C)c(C)n2c3c(=O)n(Cc4cccc5ccccc45)c(=O)n(C)c3nc12
ZINC12812352	Cc1occc1-c1nnc(Sc2nc(C[NH+]3CCC(C)CC3)nc3sc(C)c(C)c23)n1C
ZINC13033351	Cc1ccc(C[NH+](Cc2cc3c(C)cc(C)cc3[nH]c2=O)Cc2nnnn2C2CCCCC2)cc1
ZINC06300649	Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCC3)[NH+]3CCCC4(CCCCC4)C3)cc2c1
ZINC06301592	Cc1cc(C)c2cc(C(c3nnnn3C3CCCC3)[NH+]3CCCC4(CCCCC4)C3)c(=O)[nH]c2c1
ZINC03290140	Cc1nn(-c2ccc(Cl)cc2)c2c1C(c1ccc([N+](=O)[O-])cc1)N1C(=[NH+]2)C=Cc2ccccc21
ZINC03290151	Cc1nn(-c2ccc(Cl)cc2)c2c1C(c1ccc(Cl)c([N+](=O)[O-])c1)N1C(=[NH+]2)C=Cc2ccccc21
ZINC15304071	C=CCn1c(-c2cccc([N+](=O)[O-])c2)cs/c1=[NH+]\c1ccc(-c2nnc3n2CCCCC3)cc1
ZINC32690940	Cn1/c(=N/N=C/C2=C([NH+]3CCOCC3)/C(=C\c3ccc([N+](=O)[O-])cc3)CC2)sc2ccccc21
ZINC33032005	O=C(CCCn1c(=O)c2cccn2c2ccc(Br)cc21)N1CCN(c2cccc[nH+]2)CC1
ZINC34750198	C=C(C)C[NH+]1CCN(c2nc(SCC(=O)N3CCCC3)nc3sc4c(c23)CC(C)(C)OC4)CC1
ZINC34759131	Cc1sc2nc(SCc3ccc([N+](=O)[O-])cc3)nc(N3CC[NH+](CC(C)C)CC3)c2c1C
ZINC21242592	CCn1c(SCc2cc(O)oc3c/c(=[NH+]/C(C)=O)ccc2-3)nc2sc3c(c2c1=O)CCC(C)C3
ZINC37570563	Cc1cccc(S(=O)(=O)N(c2ccc(F)cc2)C2CC[NH+](Cc3cccc([N+](=O)[O-])c3)CC2)c1
ZINC34675675	O=[N+]([O-])c1ccccc1C[NH+]1CCC(N(c2ccccc2)S(=O)(=O)c2ccc(F)cc2)CC1
ZINC04489263	CCC1Oc2ccc(C)cc2N(CC(=O)N(Cc2ccc(C)o2)C2CC(C)(C)[NH2+]C(C)(C)C2)C1=O
ZINC09345427	COc1ccc(C2C3=C([NH+]=C4N=C(SC)NN42)c2ccccc2OC3c2ccccc2)cc1OC
ZINC38600702	CC(=O)N1N=C(C2C(=O)[NH+]=c3ccc(Cl)cc3=C2c2ccccc2)CC1c1cccc([N+](=O)[O-])c1
ZINC38748293	CC1C(n2c(/C=C/C3=c4ccccc4=[NH+]C3)nc3ccccc3c2=O)C(=O)N(c2ccccc2)N1C
ZINC38766419	Clc1ccc(Cn2cc(/C=N/NC3=NC4[NH+]=c5ccccc5=C4N=[NH+]3)c3ccccc32)c(Cl)c1
ZINC36698854	Cc1cc2nc(N(CC[NH+](C)C)C(=O)c3ccc(S(=O)(=O)N4CCCC(C)C4)cc3)sc2cc1C
ZINC38903285	COC(=O)C1CCN(C(=O)C2CCC[NH+](Cc3nc(-c4ccc(C(C)(C)C)cc4)no3)C2)CC1
ZINC38930965	O=C(N/N=C/C1=c2ccccc2=[NH+]C1)C1C=C(c2ccc(OCc3ccccc3Cl)cc2)N=N1
ZINC39324972	COC(=O)c1ccc(S(=O)(=O)N(CC2C=c3cc(C)ccc3=[NH+]C2=O)C2CCCCC2)cc1
ZINC39720038	O=C1[NH+]=c2ccc(Br)cc2=C(c2ccccc2)C1C1=NNC(c2cccc([N+](=O)[O-])c2)C1
ZINC13515869	Cc1cc(C)cc(-n2c(C)cn3c4c(=O)n(CCC[NH+]5CC(C)CC(C)C5)c(=O)n(C)c4nc23)c1
ZINC27470341	O=C(/C=C/c1cc2ccccc2nc1Cl)C1C(=O)[NH+]=c2ccc([N+](=O)[O-])cc2=C1c1ccccc1
ZINC41124551	Cc1ccc(S(=O)(=O)c2ccc(-n3[nH+]c(C)cc3Nc3nc4ccccc4nc3Cl)cc2)cc1
ZINC41586293	CCOC(=O)C1CC[NH+](Cc2c(O)ccc3cc(-c4nc(-c5ccccc5)cs4)c(=O)oc23)CC1
ZINC63303028	O=C(CCCNC(=O)N1CCC2=c3ccccc3=[NH+]C2C1)N1CCN(c2cccc(Cl)c2)CC1
ZINC63350845	COC(=O)C1CC2=c3ccccc3=[NH+]C2CN1C(=O)COc1cc(C)cc2oc(=O)c3c(c12)CCCC3
ZINC63362105	CCCCCC(C)NC(=O)c1cccc(N2C(=O)N3CCC4=c5ccccc5=[NH+]C4C3(C)C2=O)c1
ZINC63362469	CC(C)CCCC(C)NC(=O)c1ccccc1N1C(=O)N2CCC3=c4ccccc4=[NH+]C3C2(C)C1=O
ZINC63373392	O=C(NCCC1=c2ccccc2=[NH+]C1)c1cc2c(c(-c3ccc4c(c3)OCO4)n1)N=C1C=CC=CC12
ZINC63374431	CCOc1ccccc1N1C(=O)N2CC(c3ccccc3OC)C3=c4ccccc4=[NH+]C3C2(C)C1=O
ZINC63385997	COc1ccc2c(c1)=[NH+]CC=2CCNC(=O)CC1C(=O)Oc2cc3c(cc2C1C)CCC(C)(C)O3
ZINC63486227	COc1ccc2c(c1)=C(CCNC(=O)CC1C(=O)Oc3cc4oc5c(c4cc3C1C)CCCC5)C[NH+]=2
ZINC63515343	CCc1cccc2c1=[NH+]C(C)C=2CCN1C(=O)c2ccc(Oc3cccc([N+](=O)[O-])c3)cc2C1=O
ZINC63933973	CCc1ccc(C2CN3C(=O)N(c4ccc([N+](=O)[O-])cc4)C(=O)C3(C)C3[NH+]=c4ccccc4=C23)cc1
ZINC64131276	Cc1ccc2c(c1)=C(c1ccccc1)C(C1=NN(C(=O)C(C)C)C(c3ccc4nccnc4c3)C1)C(=O)[NH+]=2
ZINC35454833	Cc1ccc(-c2ccc(N3CCC([NH+]4CCCCC4)CC3)nn2)cc1S(=O)(=O)N1CCCCC1
ZINC05809987	C/C(CC(=O)Nc1cc(Cl)c(Cl)cc1Cl)=N\NS(=O)(=O)c1ccc(C)cc1
ZINC00870818	COc1cc(C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)ccc1OCc1ccc(Cl)cc1
ZINC01144967	COc1cc(C2C(C#N)=C(N)OC3=C2C(=O)CCC3)cc(Cl)c1OCc1cccc(F)c1
ZINC02211951	Nc1c(S(=O)(=O)c2cccs2)c2nc3ccccc3nc2n1CCCc1ccccc1
ZINC08722329	CC1CCc2c(sc3c2C(=O)NC(c2ccc(OC(=O)/C=C/c4ccco4)cc2)N3)C1
ZINC01933488	COC(=O)c1ccc(NC(=O)c2c(NC(=O)c3cccs3)sc3c2CCC(C)C3)cc1
ZINC08842983	CCOc1cc(C2NC(=O)c3c(sc(C)c3C)N2)ccc1OC(=O)c1ccccc1Cl
ZINC00720704	COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)c(OC)c1OC
ZINC00720703	COc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)c(OC)c1OC
ZINC09298041	CCOC(=O)NC(=O)c1c(NC(=O)c2cc(Cl)sc2Cl)sc2c1CCCC2
ZINC09575609	CC1CCCCC12NC(=O)N(CC(=O)Nc1ccccc1SCc1ccccc1)C2=O
ZINC01077663	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(C)cc2)C3)ccc1OC(C)=O
ZINC02619713	CC1(c2ccc(Cl)cc2)NC(=O)N(CC(=O)NC(c2ccccc2)c2ccccc2)C1=O
ZINC12806616	Cc1ccc(C(NC(=O)CN2C(=O)NC3(CCCc4ccccc43)C2=O)c2ccccc2)cc1C
ZINC12884487	CC(Oc1ccc2c3c(c(=O)oc2c1)CCCC3)C(=O)NCCc1c[nH]c2ccccc12
ZINC13151504	Cc1cc(/C=N\NC(=O)CC(=O)NC2CCCCC2)c(C)n1-c1ccc(Cl)c(Cl)c1
ZINC09780971	CN(C)c1ccc(C2C3=C(CCCC3=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1
ZINC09780971	CN(C)c1ccc(C2C3=C(CCCC3=O)Nc3nc(SCc4ccccc4)nc([O-])c32)cc1
ZINC14159966	Cc1cc(C)nc(N/C(=N/C(=S)Nc2cccc(C)c2C)N2CCc3ccccc3C2)n1
ZINC14606497	CC1(C)CC(=O)C2=C(C1)Nc1ccccc1N(CC(=O)NCc1ccco1)C2c1cccs1
ZINC15023141	COc1cccc(C(=O)C2C(c3ccccc3)C(C#N)(C(N)=O)C3C=Cc4cc(C)ccc4N23)c1
ZINC15314298	CC(NC(=O)CN1C(=O)NC(C)(c2ccc3ccccc3c2)C1=O)C12CC3CC(CC(C3)C1)C2
ZINC00996596	COc1ccc(C2C3CCCC=C3C(C#N)=C(N)C2(C#N)C#N)cc1COCC(F)(F)F
ZINC12401353	CC(C)CC1=NC(C(F)(F)F)(C(F)(F)F)c2c(n(-c3ccc(Cl)cc3)c(=O)[nH]c2=O)N1
ZINC21225474	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccco2)cc1OC
ZINC21237465	CC1CCCCC12NC(=O)N(CC(=O)NC(c1ccccc1)c1ccc(Cl)cc1)C2=O
ZINC21721950	O=C(CN1c2ccccc2NC2=C(C(=O)CCC2)C1c1ccco1)NCCc1ccccc1
ZINC32655224	CCSc1nc2c(c(=O)[nH]1)C(c1ccc(Br)cc1)C(C(=O)OC)=C(C)N2
ZINC02218567	COc1ccc(CCn2c(C)cc3c(c2=O)C(c2ccc(C(C)C)cc2)C(C#N)=C(N)O3)cc1
ZINC34716487	Cc1cc(C2CCC(C(=O)NCc3ccco3)CN2C(=O)NCc2ccccc2)ccc1F
ZINC35189281	CCOc1cc(/C=N\NC(=O)c2ccc3c(c2)CN(c2ccc(Cl)cc2)C3)ccc1O
ZINC08759682	COc1ccc2nc(SCc3nc4scc(-c5ccccc5Cl)c4c(=O)[nH]3)[nH]c2c1
ZINC36818788	Cc1ccc(C2(C)NC(=O)N(CC(=O)NC(C)c3ccc(Cl)cc3Cl)C2=O)cc1
ZINC38486706	CCOc1ccc(-c2csc(-c3nnn(-c4ccccc4Br)c3N)n2)cc1
ZINC38677973	CCOc1ccc(C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2cccc(F)c2)cc1
ZINC38677983	COc1ccc(/C=C/C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)C3c2cccc(F)c2)cc1
ZINC39464474	CCOc1cc2c(cc1Cc1ccccc1)C1COP(=O)(c3ccccc3O)NN1CC2
ZINC39465561	CCOP1(=O)NN2CCc3cc(Cc4ccccc4)c(-c4ccccc4O)cc3C2CO1
ZINC39534989	CC1CCCC(NC(=O)CN2C(=O)NC(Cc3ccccc3)(c3ccccc3)C2=O)C1C
ZINC36692495	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)Nc1ccccc1Cc1ccccc1)C2=O
ZINC39914038	COCCN1C(=O)c2[nH]nc(-c3cc(Cl)c(C)cc3O)c2C1c1ccc(Cl)c(Cl)c1
ZINC40960267	COc1cc(/C=N/NC(=O)C(C)Oc2cc(C)c(Cl)c(C)c2)cc(Br)c1O
ZINC43548405	C=CCN(C)C(=O)C(C)C1CCC2(C)Cc3sc(Nc4cccnc4)nc3C(C)C2C1O
ZINC58913202	Cc1ccc(Cl)cc1NC(=O)C(=O)N/N=C/c1cc(C)n(-c2ccc(Cl)cc2)c1C
ZINC58917410	C/C(=N\NC(=O)CC1(C)OCCO1)c1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2
ZINC12850767	CCC(C)NC(=O)C1=C(Cl)C2=NC(c3ccc(OC)cc3)CC(C(F)(F)F)N2N1
ZINC60208093	CC(C)(CNC(=O)c1cccc(N2NC(=O)C3CC=CCC3C2=O)c1)c1cccc(Cl)c1
ZINC60208097	CC(C)(CNC(=O)c1cccc(N2NC(=O)C3CC=CCC3C2=O)c1)c1cccc(Cl)c1
ZINC60375659	O=C(/N=c1\[nH]c2cc(Cl)ccc2n1CCCc1ccccc1)c1c[nH]c2ccccc2c1=O
ZINC09292559	N#CC1=C(N)Oc2n[nH]c(-c3ccc(OCc4ccccc4)cc3)c2C1c1ccc(F)cc1
ZINC09292559	N#CC1=C(N)Oc2[nH]nc(-c3ccc(OCc4ccccc4)cc3)c2C1c1ccc(F)cc1
ZINC09292685	N#CC1=C(N)Oc2n[nH]c(-c3ccc(OCc4ccccc4)cc3)c2C1c1cccc(F)c1
ZINC09292685	N#CC1=C(N)Oc2[nH]nc(-c3ccc(OCc4ccccc4)cc3)c2C1c1cccc(F)c1
ZINC04326729	O=C(CNC(=O)c1cccc(Cl)c1)N/N=C/c1cccc(OC(=O)c2ccc(Cl)cc2Cl)c1
ZINC04150001	C=CCN(C)C(=O)C(C)C1CCC2(C)Cc3sc(NS(=O)(=O)c4ccc(Cl)cc4)nc3C(C)C2C1O
ZINC08912093	CCOc1ccc(CCNC(=O)c2oc3ccc4c(c3c2C)C(O)CC2(CCCCC2)O4)cc1OCC
ZINC08918215	CC(CCc1ccccc1)NC(=O)c1ccccc1N1C(=O)N2CCc3c([nH]c4ccccc34)C2(C)C1=O
ZINC08965781	O=C(/C=C/c1ccc(S(=O)(=O)Nc2ccccc2Cl)cc1)N1CCN(c2ccc(O)cc2)CC1
ZINC09298257	CCOC(=O)NC(=O)c1c(NC(=O)c2cc(-c3cccs3)nc3ccccc23)sc2c1CCC(C)C2
ZINC09673694	COc1ccc(CNC(=O)c2cccc(N3C(=O)NC4CC3(C)Oc3ccc(Br)cc34)c2)cc1
ZINC10000264	CC(C)C(NC(=O)c1cccc(Cl)c1)C(=O)N/N=C\c1cn(Cc2ccccc2C#N)c2ccccc12
ZINC11709794	O=C(CN1C(=O)NC2(CCCc3ccccc32)C1=O)Nc1ccc(Cc2nc3ccccc3s2)cc1
ZINC12064280	CNC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N(C)c3ccccc3)cc2)sc2c1CCC(C)C2
ZINC12637695	O=C(NC1CCCC1)C(c1ccc(O)cc1)N(C(=O)c1ccc2c(c1)OCCO2)c1ccc(F)c(Cl)c1
ZINC12813242	CC(Sc1nc2ccccc2c(=O)n1C1CCCC1)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC13761726	CC(C)CC(c1cccc(NS(=O)(=O)c2cccnc2)c1)c1c(O)c2c(oc1=O)CCCCCC2
ZINC01422402	COC(=O)C1=C(N)N(c2ccccc2)C2=C(C(=O)C(C(=O)OC)C(c3ccccc3)C2)C1c1ccc(F)cc1
ZINC15319238	COC(=O)C1=C(N)N(c2ccccc2)C2=C(C(=O)C(C(=O)OC)C(c3ccccc3)C2)C1c1ccc(F)cc1
ZINC16534136	Cc1cccc(CN2C(=O)N/C(=C\c3c(-c4ccc(Cl)cc4)nn(-c4ccccc4C)c3O)C2=O)c1
ZINC16534196	O=C1N/C(=C\c2c(-c3ccccc3)nn(-c3ccccc3Cl)c2O)C(=O)N1Cc1cccc(F)c1F
ZINC16959802	COc1ccc(C2C3=C(CCCC3=O)Nc3nc(SCc4ccccc4Cl)[nH]c(=O)c32)cc1OC
ZINC17242430	COc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1OC
ZINC00650300	COc1ccc(C2CC(=O)C3=C(C2)NC(C)=C(C(=O)OC2CCCC2)C3c2cccc(O)c2)cc1OC
ZINC20644621	CCOc1cc2[nH]c(=S)n(Cc3ccc(C(=O)NC4CCCC(C)C4C)cc3)c(=O)c2cc1OCC
ZINC20703981	O=[N+]([O-])c1cc(C2Nc3ccc(S(=O)(=O)NCCc4ccccc4)cc3C3C=CCC32)ccc1Cl
ZINC21252744	CCOc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cc(OC)ccc2OC)C3)cc1OCC
ZINC21712573	CC(C)NC(=O)C1CCCN1C(=O)c1ccc(NS(=O)(=O)c2ccc(C3CCCCC3)cc2)cc1
ZINC24908381	O=C(NCc1ccco1)N1CCC(CNc2ncc(-c3ccsc3)c3nc(C(F)(F)F)ccc23)CC1
ZINC17158196	O=C(NNC(=O)C12CC3CC(CC(C3)C1)C2)C1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1
ZINC33810253	CCOc1ccc(C2C3=C(CCCC3=O)Nc3nc(SCc4ccc(C)cc4)[nH]c(=O)c32)cc1OC
ZINC34846997	CCCN1C(=O)C2C(C(=O)Nc3ccc(C(C)C)cc3)C3C=CC2(O3)C1C(=O)NC1CCCC(C)C1C
ZINC35730891	CC(NC(=O)c1ccc(NC2c3ccccc3C(=O)N2Cc2ccc3c(c2)OCO3)cc1)c1ccccc1
ZINC36066252	CCC(C)N1C(=O)C2C(C(=O)Nc3cc(Cl)cc(Cl)c3)C3C=CC2(O3)C1C(=O)NC1CCCCC1
ZINC36483295	C/C=C/C(C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(C(=O)c1ccccc1O)c1cccc(Cl)c1
ZINC36484801	O=C(NC1CCCCC1)C(c1ccc2c(c1)OCO2)N(C(=O)c1ccc(O)cc1)c1cccc(Cl)c1
ZINC12064290	CNC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2)sc2c1CCC(C)C2
ZINC09015549	O=S(=O)(NC1=NC2=NC(c3ccc(Cl)cc3)=CC(c3ccc(Cl)cc3)N2N1)c1ccccc1
ZINC38688598	COc1ccc(C2C(C#N)=C(N)Oc3cc(OC(=O)c4sc5ccccc5c4Cl)ccc32)cc1OC
ZINC39836328	CC1CCc2c(sc(NC(=O)COc3ccc(C(C)(C)C)cc3)c2C(=O)NC2CCS(=O)(=O)C2)C1
ZINC39962543	CCOc1cc(C2C(C#N)=C(N)OC3N=NC(C)=C32)cc(Br)c1OCc1ccccc1F
ZINC40568808	CCOC(=O)C1=C(N)OC2=C(C(=O)CCC2)C12C(=O)N(Cc1c(Cl)cccc1Cl)c1ccccc12
ZINC40815056	Cc1c(C(=O)Nc2ccccc2Br)oc2c1/C(=N/NS(=O)(=O)c1ccccc1)CCC2
ZINC41309781	CC1CCc2c(sc(NC(=O)c3cc4cc(C(C)C)ccc4o3)c2C(=O)NC2CCS(=O)(=O)C2)C1
ZINC43218801	CCCOc1ccc(C2[NH2+]C(C(=O)[O-])(c3ccccc3)C3C(=O)N(c4ccc(CC)cc4)C(=O)C23)cc1
ZINC43221533	CCc1cccc(CC)c1N1C(=O)C2C(c3ccc(N(C)C)cc3)[NH2+]C(C(=O)[O-])(c3ccccc3)C2C1=O
ZINC44854569	Nc1c2c(-c3cccs3)nc(N3CCN(Cc4ccc(Cl)cc4)CC3)nc2nn1-c1ccccc1
ZINC47137403	O=C1/C(=C/c2cc(Br)ccc2O)S/C(=N\N=C/c2ccc(O)cc2)N1Cc1ccco1
ZINC12346834	COc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]n(-c4ccccc4)c(=O)c32)cc1OCc1ccccc1
ZINC01817373	Cc1ccc(-n2c(SCC(=O)N/N=C/c3ccccc3O)nc3sc4c(c3c2=O)CCCC4)cc1
ZINC08868787	O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc2n(n1)C(C(F)(F)F)CC(c1ccc3c(c1)OCO3)N2
ZINC59105069	COC(=O)c1ccc(Cl)c(-n2c(C)cc(/C=C(/C#N)C(=O)NCCc3c[nH]c4ccccc34)c2C)c1
ZINC08763689	O=[N+]([O-])c1ccc(-c2csc(N/N=C/c3cc(Br)cc(Br)c3O)n2)cc1
ZINC63730267	CC(=O)c1ccc(NC(=O)CSC2=NNC(C3=CC4=C(C)C(C)=NC4C=C3)N2Cc2ccccc2)cc1
ZINC03882055	CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
ZINC04581761	Cc1cc(C)c(NC(=O)COC(=O)c2ccc3c(c2)NC(=O)CS3)c(C)c1
ZINC01330246	Cc1ccc2[nH]c(=O)c(-c3nc4cccc(C)n4c3NCC3CCCO3)cc2c1
ZINC05615652	CCOC(=O)c1c(NC(=O)c2n[nH]cc2Br)sc2c1CCC2
ZINC03557764	CNC(=O)NC(=O)C(OC(=O)c1cc(F)c(F)cc1Cl)c1ccccc1
ZINC03297758	C=C1NC(=S)NC(c2ccc(OC(F)F)cc2)C1C(=O)N1CCOCC1
ZINC07962697	CC(C)(C)C1CCc2sc(C(=O)NNC(=O)C3CCS(=O)(=O)C3)cc2C1
ZINC10425885	O=C(NCCCN1C(=O)NC2(CCCC2)C1=O)c1cc(Cl)cc(Cl)c1
ZINC11592875	CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
ZINC11859234	CCOC(=O)C1C(c2ccc(F)c(F)c2)NC(=O)N(C)C1(O)C(F)(F)F
ZINC15480413	O=C(NNC(=O)C12CC3CC(CC(C3)C1)C2)C1CC(=O)N(c2ccccc2F)C1
ZINC18197165	COc1ccc(C2C3=C(CCCC3=O)Nc3cc(OC)c(OC)cc32)cc1O
ZINC19797047	CC1CCc2c(sc3nc(SCCN4CCOCC4)n(N)c(=O)c23)C1
ZINC20491799	O=C1COc2cc(S(=O)(=O)NCc3ccccc3Cl)c(Cl)cc2N1
ZINC20522052	O=c1[nH]c(=O)n(-c2ccc(F)cc2)c2c1CN(CCCc1ccccc1)CN2
ZINC21878262	CC(Sc1nnc(-c2cccs2)n1N)C(=O)N1CCc2sccc2C1
ZINC22855168	CCc1nc2sc(C(c3ccc(Cl)cc3)[NH+]3CCC(O)CC3)c([O-])n2n1
ZINC27179985	CC(=O)N1CCc2cc(C(=O)NNC(=O)Cc3cccc4ccccc34)ccc21
ZINC31161993	CC1(CO)CCCC2(C)C1C(OC(=O)c1ccccc1)CC1C(=O)OCC12O
ZINC32776391	Cc1cc(Br)ccc1NC(=O)CSc1nc(=O)[nH]c(C)c1C#N
ZINC32984121	NC(=O)c1ccc(N2C=C(C(=O)c3ccccc3)S(=O)(=O)c3ccccc32)cc1
ZINC35021820	O=C(CNc1cnc2sccn2c1=O)NCc1ccc(Cl)c(Cl)c1
ZINC35456581	COC1C=C(CCC2(C)C(C)CCC3(C)C2CC(O)C(O)C32CO2)C(=O)O1
ZINC03423378	O=C(CSc1nc2cc(Cl)ccc2s1)NC(=O)NCc1ccco1
ZINC04144046	O=C(Nc1nccs1)C12CC3CC(C1)CC(C(=O)Nc1nccs1)(C3)C2
ZINC38906862	Cn1nc(NC(=O)Cc2ccc(F)cc2)c2c1NC(=O)CC2c1cccs1
