ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC13573936	CC[NH+]1CCN(c2cc(C)c3cc(N/C([S-])=[NH+]/CCC[N@@H+]4CCc5ccccc5C4)ccc3n2)CC1
ZINC38750930	CC(C)(C[NH2+]C[C@H](O)COc1ccc([C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)cc1)[NH2+]Cc1ccccc1
ZINC39394506	COc1cc(C[NH2+]C[C@H]2N=NC3=C2CCC3)ccc1OC[C@@H](O)C[N@@H+](C)C1CCCCC1
ZINC39674663	C[C@@H]1[NH+]=c2ccc(C#N)cc2=C1CCNC(=O)[C@H]1CN(C(=O)CCC2CCCC2)CC12CC[NH2+]CC2
ZINC39674711	C[C@@H]1[NH+]=c2ccc(C#N)cc2=C1CCNC(=O)[C@H]1CN(C(=O)Cc2ccc(Cl)cc2)CC12CC[NH2+]CC2
ZINC39674745	C[C@@H]1[NH+]=c2ccc(C#N)cc2=C1CCNC(=O)[C@@H]1CN(C(=O)c2cccc(Cl)c2F)CC12CC[NH2+]CC2
ZINC39674857	Cc1ccc(CC(=O)N2C[C@@H](C(=O)NCCC3=c4cc(C#N)ccc4=[NH+][C@@H]3C)C3(CC[NH2+]CC3)C2)cc1
ZINC39683440	CCCC[NH+]1CCC(CNC(=O)[C@H]2CN(C(=O)CCC3CCCC3)CC23CC[NH2+]CC3)CC1
ZINC22041680	COc1ccc([C@H](C[NH2+]C[C@@H](O)COCC2=CC[C@H]3C[C@@H]2C3(C)C)[NH+]2CCCC2)cc1
ZINC40720470	CCOc1cc(C[NH2+]CC2CC[NH2+]CC2)cc(Br)c1OCc1c(F)cccc1Cl
ZINC40728946	Nc1c(N(Cc2ccccc2)c2ccccn2)nc[nH+]c1N1CC[NH+](Cc2ccccc2)CC1
ZINC43119863	Cc1ccc(C)c(-c2n[nH]cc2CN2CCN(C3CC[NH+](C(C)C)CC3)[C@H](CCO)C2)c1
ZINC44166106	CC(C)(C)c1cc([C@@H]2CSC[C@@H](C(=O)NCC[NH+]3CCCCC3)[NH2+]2)cc(C(C)(C)C)c1O
ZINC44166111	CC(C)(C)c1cc([C@H]2CSC[C@@H](C(=O)NCC[NH+]3CCCCC3)[NH2+]2)cc(C(C)(C)C)c1O
ZINC44168308	CCc1cc2c(cc1[C@@H]1CSC[C@@H](C(=O)NCC[NH+]3CCCCC3)[NH2+]1)C(C)(C)CCC2(C)C
ZINC29134399	Cc1ccc([O-])c(Cn2c(NC3CC[NH+](C)CC3)[nH+]c3ccc(CNc4ccccc4)cc32)[nH+]1
ZINC50362057	C[N@H+](Cc1cccc(Br)c1)[C@@H](C[NH3+])c1cc(Br)c(Br)o1
ZINC50362270	C[N@H+](Cc1cc(Br)cs1)[C@@H](C[NH3+])c1cc(Br)c(Br)o1
ZINC52594538	O=C(N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)N1CCC2(CCc3ccccc32)CC1)N[C@@H]1C[N@H+]2CC[C@@H]1CC2
ZINC52594545	O=C(N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)N1CCC2(CCc3ccccc32)CC1)N[C@H]1C[N@H+]2CC[C@@H]1CC2
ZINC12561486	CC1(C)CC([NH2+]C[C@@H](O)COC(c2ccc(Cl)cc2)c2ccc(Cl)cc2)CC(C)(C)[NH2+]1
ZINC59369073	CC1CC[NH+](Cc2ccc(C[NH2+]Cc3c[nH]nc3-c3ccc4c(c3)OCCO4)cc2)CC1
ZINC63083835	COc1ccc2c(c1)=[NH+][C@H](SCC(=O)Nc1ccc([C@H]3Nc4ccc(C)cc4S3)cc1)[NH+]=2
ZINC63111114	Cc1ccc(C2=[NH+]C3=C[C@@H](C(=O)NC[C@@H]4C=c5cc(Cl)ccc5=[NH+]4)NN3C(C(F)(F)F)=C2)cc1
ZINC63162952	Cc1ccc([C@@H]2NN[C@H](SCC3[NH+]=c4ccccc4=[NH+]3)N2c2ccc(Cl)cc2)cc1
ZINC63230308	CCOc1ccc(OC[C@H](O)C[NH2+]C[C@@H](C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)cc1
ZINC63270896	O=C(CCCNC(=O)N1CCC2=c3ccccc3=[NH+][C@@H]2C1)NCCC1=c2ccccc2=[NH+]C1
ZINC63537959	Cc1ccc([C@H]2C[C@H](C(F)(F)F)N3N[C@@H](C(=O)NC[C@@H]4C=c5cc(Cl)ccc5=[NH+]4)CC3=[NH+]2)cc1
ZINC53629565	CC(C)c1ccc(C2=[NH+]C3=C[C@@H](C(=O)NCCc4c[nH]c[nH+]4)NN3C(C(F)(F)F)=C2)cc1
ZINC63567657	O=C(NC(=S)Nc1ccc(C2[NH+]=c3ccccc3=[NH+]2)cc1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC63570049	COc1ccc2c(c1)=C(CCNC(=O)C1=CNN(c3ccc(F)cc3)[C@H]1C1CC[NH2+]CC1)C[NH+]=2
ZINC63570051	COc1ccc2c(c1)=C(CCNC(=O)C1=CNN(c3ccc(Cl)cc3)[C@H]1C1CC[NH2+]CC1)C[NH+]=2
ZINC63619727	COc1ccc([C@H]2NN[C@H](SCC3[NH+]=c4ccccc4=[NH+]3)N2c2ccc(Cl)cc2)cc1
ZINC63838897	COc1ccccc1[C@@H]1NN[C@@H](SCC2[NH+]=c3ccccc3=[NH+]2)N1c1ccc(Cl)cc1
ZINC63934834	O[C@@H](C[NH2+]CCC1=c2ccccc2=[NH+]C1)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21
ZINC64166129	O=S(=O)(Nc1ccc(N2CCC([NH2+]C[C@@H]3C=c4ccccc4=[NH+]3)CC2)cc1)c1ccccc1
ZINC64173349	CC(=O)N[C@H](CC1=c2ccccc2=[NH+]C1)C(=O)Nc1nc(C2=c3ccccc3=[NH+][C@@H]2C)cs1
ZINC64502376	Cc1ccc2c(c1)=C(CCNC(=O)[C@H]1CCC[N@@H+]([C@H]3Nc4ccccc4N(C)C3=O)C1)C[NH+]=2
ZINC64726311	COc1ccc([C@H](C[NH2+][C@@H](C)C(=O)N2CC(=O)Nc3ccccc32)C2=c3ccccc3=[NH+]C2)cc1
ZINC65256200	O=C(NCC[N@@H+]1CCc2ccccc2C1)c1ccc(N2CC[NH2+][C@@H](c3ccccc3)C2)nc1
ZINC65548859	COc1ccc([C@H]2NN[C@@H](SCC3[NH+]=c4ccccc4=[NH+]3)N2c2ccccc2)cc1OC
ZINC04018025	OC[C@@H](O)[C@@H](O)[C@@H](O)[C@]1(CO)NN=C(c2ccccc2)S1
ZINC03136105	OC[C@@H](O)[C@@H](O)[C@H](O)[C@]1(CO)NN=C(c2ccccc2)S1
ZINC04018027	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@]1(CO)NN=C(c2ccccc2)S1
ZINC04154611	OC[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1NN=C(c2ccccc2)S1
ZINC04794946	CNP1(NC)=NP(NC)(NC)=NP(NC)(NC)=N1
ZINC04916553	COc1nc2c(=O)[nH]c(N)nc2n1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC05063127	CN(C)[P@]1(N)=N[P@](N)(N(C)C)=N[P@](N)(N(C)C)=N1
ZINC06332589	O=C(NNC(=S)NC1CC1)C(=O)NNC(=S)NC1CC1
ZINC08816592	O=C1N[C@H]2NC(=O)N(CCCN3C(=O)N[C@@H]4NC(=O)N[C@@H]43)[C@H]2N1
ZINC12658357	Nc1nc2c([nH]c(=S)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
ZINC14422042	O=C(OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1
ZINC15225668	CN(C)c1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC15225672	CN(C)c1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC16102370	OC[C@H](O)[C@@H](O)[C@@H](O)[C@@]1(CO)NN=C(c2ccccc2)S1
ZINC16478067	OC[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1NN=C(c2ccccc2)S1
ZINC16953131	COc1nc(O)c(N)c(N[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)n1
ZINC17045290	N#Cc1cn([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2nc(NN)nc(N)c12
ZINC17353552	CSc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC17353553	CSc1nc2c(=O)[nH]c(N)nc2n1[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC17418547	Nc1nc2c(nc(NO)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC18056065	Nc1nc(=O)c2[nH]c(=S)n([C@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)c2[nH]1
ZINC20921942	Cn1c(=O)c2[nH]c(Sc3nnc(NN)n3N)nc2n(C)c1=O
ZINC22066935	Nc1nc2c(sc(=O)n2[C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)c(=O)[nH]1
ZINC27256532	C[C@H]1CCC[C@H](NC(=S)NNC(=O)[C@@H](C)NC(N)=O)[C@@H]1C
ZINC22066938	Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@H](O)[C@H]3O)c2[nH]1
ZINC31160544	O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H](O)[C@@H](O)[C@@H](O)CO
ZINC16919959	Cn1c(N)nc2c([nH]c(=O)n2[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c1=O
ZINC16929008	Cn1c(=O)n([C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2[nH]c(N)nc(=O)c21
ZINC16929019	Cn1c(=O)n([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c2[nH]c(N)nc(=O)c21
ZINC17175024	CSc1nc(N[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc(=O)[nH]1
ZINC17194160	CSc1nc2c(nc(N)n2[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC32106974	OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1NN=C(c2ccccc2)S1
ZINC33727943	N[C@@H]1NC(=O)N([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)C=C1Br
ZINC33727944	N[C@H]1NC(=O)N([C@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)C=C1Br
ZINC16919953	Cn1c(N)nc2c([nH]c(=O)n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c1=S
ZINC16919948	Cn1c(N)nc2c([nH]c(=O)n2[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c1=S
ZINC35457001	O=C(/C=C/c1ccc(O)c(O)c1)OC[C@@H](O)[C@@H](O)[C@H](O)CO
ZINC35636256	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)/C=N/Nc1nncc2ccccc12
ZINC37557938	Nc1n[nH]cc1S(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC37928624	NNc1cc([N+](=O)[O-])cc(F)c1S(=O)(=O)NCCC(N)=O
ZINC09712262	Nc1nc(SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)n[nH]1
ZINC39699178	[NH2+]=C1C=CC2=N[C@@H]([C@@H](O)[C@@H](O)[C@H]3N=C4C=CC(=[NH2+])C=C4[N-]3)[N-]C2=C1
ZINC39699179	[NH2+]=C1C=CC2=N[C@@H]([C@H](O)[C@H](O)[C@@H]3N=C4C=CC(=[NH2+])C=C4[N-]3)[N-]C2=C1
ZINC39699180	[NH2+]=C1C=CC2=N[C@@H]([C@@H](O)[C@H](O)[C@H]3N=C4C=CC(=[NH2+])C=C4[N-]3)[N-]C2=C1
ZINC45084037	CC(C)Cn1c(N)c(NCCCS(N)(=O)=O)c(=O)[nH]c1=O
ZINC31160536	O=C(/C=C/c1ccc(O)c(O)c1)OC[C@H](O)[C@H](O)[C@@H](O)CO
ZINC08214713	Nc1nc2c(sc(=O)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
ZINC08214713	Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
ZINC61808956	NC(=O)CN(CC(N)=O)C(=O)C1(C(N)=S)CCCCCC1
ZINC18193448	CN/C(=N/C#N)NCCSCc1csc(N=C(N)N)n1
ZINC18193448	C/N=C(/NC#N)NCCSCc1csc(N=C(N)N)n1
ZINC18193448	CN/C(=N\C#N)NCCSCc1csc(N=C(N)N)n1
ZINC04159868	Nc1nc2c(nc(I)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC04268259	OCC1=C[C@@H](O)[C@@H]2C=CO[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@H]12
ZINC04268352	OCC1=C[C@@H](O)[C@@H]2C=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]12
ZINC04268354	OCC1=C[C@@H](O)[C@@H]2C=CO[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12
ZINC01563396	Nc1nc(N)c2nc(S[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c(N)nc2n1
ZINC05015047	CNc1nc(N)nc2c1nc(Cl)n2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC05352169	CCCCNc1nc(N)nc2c1nnn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC05566519	OCC1=C[C@@H](O)[C@@H]2C=CO[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@@H]12
ZINC05566520	OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)[C@@H]12
ZINC05685484	OC[C@@H]1O[C@H](O)[C@@H](Nc2c3ccccc3[nH+]c3ccccc23)[C@@H](O)[C@@H]1O
ZINC08627860	Cc1ccc([S@](=O)N/N=C/[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO)cc1
ZINC05011622	NC(=S)c1c(N)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
ZINC05011623	NC(=S)c1c(N)n([C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
ZINC13407185	OCC1=C[C@H](O)[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@H]12
ZINC13407189	OCC1=C[C@H](O)[C@@H]2C=CO[C@@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@H]12
ZINC13407246	OCC1=C[C@H](O)[C@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12
ZINC13548747	OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)/C=N/Nc1nc(N2CCCCC2)nc(N2CCCCC2)n1
ZINC13563379	CC1(C)Cc2c(c(N3CCCC3)[nH+]c3sc(C(=O)NN)c(N)c23)CO1
ZINC16790373	Nc1nc2c(nc(I)n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC16916125	CC1=C(C)[C@](C)(NC(=O)N[C@]2(C)NC(=O)NC(C)=C2C)NC(=O)N1
ZINC17020425	NC(=S)c1c(N)n([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
ZINC21992814	OC[C@H]1C[C@H](O)[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]12
ZINC22047995	C=CCOc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
ZINC23806024	N#Cc1c(N)nc2c(c1N)CC(=O)N2c1cccc(S(N)(=O)=O)c1
ZINC05192440	NOCC(=O)NNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
ZINC02565903	NOCC(=O)NNC(=O)CCCC[C@H]1SC[C@@H]2NC(=O)N[C@@H]21
ZINC27646493	NOCC(=O)NNC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@@H]21
ZINC31160923	O=c1ccoc2cc(O)c([C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(O)c12
ZINC31168419	C=C[C@H](CO)[C@@H](CCO)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC31168427	C=C[C@@H](CO)[C@@H](CCO)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC31168431	C=C[C@@H](CO)[C@H](CCO)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC17107238	Nc1ncnc2c1c1c(=O)nn[nH]c1n2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC17107240	Nc1ncnc2c1c1c(=O)nn[nH]c1n2[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC17120420	Nc1ncnc2c1c1cnc(=O)[nH]c1n2[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC17120425	Nc1ncnc2c1c1cnc(=O)[nH]c1n2[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC08655927	CSc1nc(N[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c(N)c(=O)[nH]1
ZINC17378510	Nc1nc(=S)c2[nH]c(=S)n([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)c2[nH]1
ZINC36746160	NNc1cc([N+](=O)[O-])ccc1S(=O)(=O)NCCS(N)(=O)=O
ZINC37408947	NNc1ccc(S(=O)(=O)NCCS(N)(=O)=O)c([N+](=O)[O-])c1
ZINC37556334	NNc1nc2sccn2c1S(=O)(=O)NCCS(N)(=O)=O
ZINC35457147	O=c1ccoc2cc(O)c([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c12
ZINC37930044	NNc1ccc([N+](=O)[O-])c(S(=O)(=O)NCCS(N)(=O)=O)c1
ZINC40736091	CCN(CCO)c1ncnc(NC2CC(C)(C)[NH2+]C(C)(C)C2)c1N
ZINC40796733	Cc1ccc2c(Nc3ncnc(NNC(C)(C)C)c3N)cccc2[nH+]1
ZINC43758873	C[C@]12C[C@H](O)[C@H]3[C@H](CC[C@@]4(O)C[C@@H](O)C[C@@H](O)[C@]34CO)[C@]1(O)CC[C@@H]2C1=CC(=O)OC1
ZINC44019136	C=CCOc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ZINC44608690	Cc1ncc(CO[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(CO)c1O
ZINC45091911	NS(=O)(=O)CCCNS(=O)(=O)c1ccc(C#CC[NH3+])cc1
ZINC38339105	CN(C)c1cc(N)c(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C(=O)/C(=C(/N)O)C(=O)[C@@]3([O-])C(=O)[C@@H]1C2=O
ZINC37634377	CC(C)[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@@H](C(C)C)NC(=O)CNC(=O)CNC1=O
ZINC02726707	O=C1[C@@H]2[C@@H](Cc3ccc(O)c(O)c3)[NH2+][C@]3(C(=O)Nc4ccccc43)[C@@H]2C(=O)N1Cc1ccc2c(c1)OCO2
ZINC02132095	COc1ccc(CN2C(=O)[C@@H]3[C@@H](CCC(N)=O)[NH2+][C@]4(C(=O)Nc5c(C)cc(Cl)cc54)[C@@H]3C2=O)cc1
ZINC08299565	O=C1NCCC[C@@H]1NC(=O)[C@@H]1CN(C(=O)NC2CCCCC2)CCN1C(=O)C1CC[NH2+]CC1
ZINC04574493	NC(=O)C1([NH+]2CCCCC2)CCN(/C(S)=N/c2ccc(S(N)(=O)=O)cc2)CC1
ZINC08651880	CCCC[C@@H](Sc1cc(Cl)c(C)cc1S(=O)(=O)Nc1n[nH]c(=[NH2+])[nH]1)C(=O)OC
ZINC08742788	Cc1ccc(NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2Cc3ccccc3C[NH2+]2)c(C)c1
ZINC08788920	COc1ccccc1CN1C(=O)[C@@H]2[C@@H](CCC(N)=O)[NH2+][C@]3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C1=O
ZINC08789332	NC(=O)C[C@@H]1[NH2+][C@]2(C(=O)Nc3ccccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12
ZINC08789591	O=C1[C@@H]2[C@H](Cc3ccc(O)c(O)c3)[NH2+][C@]3(C(=O)Nc4ccccc43)[C@@H]2C(=O)N1Cc1ccccc1
ZINC08790092	Cc1ccc2c(c1)[C@]1([NH2+][C@@H](CC(N)=O)[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]31)C(=O)N2
ZINC08790470	CCc1ccc2c(c1)[C@@]1([NH2+][C@H](Cc3ccc(O)c(O)c3)[C@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]31)C(=O)N2
ZINC08790564	NC(=O)C[C@H]1[NH2+][C@]2(C(=O)Nc3c(Cl)cccc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12
ZINC08790695	CCc1cccc2c1NC(=O)[C@]21[NH2+][C@@H](CC(N)=O)[C@H]2C(=O)N(CCc3ccccc3)C(=O)[C@H]21
ZINC08791086	NC(=O)C[C@H]1[NH2+][C@@]2(C(=O)Nc3ccc(Cl)cc32)[C@@H]2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12
ZINC02127493	Cc1ccc2c(c1C)NC(=O)[C@]21[NH2+][C@@H](CC(N)=O)[C@H]2C(=O)N(Cc3ccccc3)C(=O)[C@H]21
ZINC09353784	Cc1cc([N+](=O)[O-])ccc1N1C(=O)[C@H]2[C@H](CC(N)=O)[NH2+][C@@]3(C(=O)Nc4ccccc43)[C@@H]2C1=O
ZINC10384388	NC(=O)C1CCN(C(=O)C[N@@H+]2[C@H]3CCCC[C@H]3NC(=O)[C@H]2CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1
ZINC02092240	CCOc1ccc(-n2c(=S)[nH]c(O)c([C@@H]3[NH2+]CCc4c3[nH]c3ccccc43)c2=O)cc1
ZINC12873140	CC(C)(CO)/[NH+]=C/[C@]12CC[C@H](O)C[C@@]1(O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O
ZINC12879872	Cc1c(Cl)ccc2c1NC(=O)[C@@]21[NH2+][C@@H](CC(N)=O)[C@H]2C(=O)N(c3ccc(C(N)=O)cc3)C(=O)[C@H]21
ZINC02726710	O=C1[C@@H]2[C@H](Cc3ccc(O)c(O)c3)[NH2+][C@@]3(C(=O)Nc4ccccc43)[C@@H]2C(=O)N1Cc1ccc2c(c1)OCO2
ZINC12895494	CC[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(O)[nH]c(=S)n(-c3ccc(OC)cc3)c2=O)[NH2+]1
ZINC12895503	CC[C@@H]1Cc2c([nH]c3ccccc23)[C@H](c2c(O)[nH]c(=S)n(-c3ccc(OC)cc3)c2=O)[NH2+]1
ZINC09331459	CCOC(=O)c1ccc(-n2c(O)nc(O)c([C@@H]3[NH2+]CCc4c3[nH]c3ccc(OC)cc43)c2=O)cc1
ZINC09088618	CCc1ccc(-n2c(O)nc(O)c([C@H]3[NH2+]CCc4c3[nH]c3ccc(OC)cc43)c2=O)cc1
ZINC20569499	CC[N@@H+]1CCc2c(sc(NC(=O)c3ccccc3NS(=O)(=O)c3ccccc3)c2C(N)=O)C1
ZINC20901821	NC(=O)C1([NH+]2CCCCC2)CCN(S(=O)(=O)c2cc(Br)cnc2N)CC1
ZINC22782017	CC(C)(C)NC(=O)C[N@@H+]1CCCN(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)CC1
ZINC13782503	CC1=C(C(N)=O)[C@@H](c2ccc([N+](=O)[O-])cc2)C(C(=O)NCCC[NH+]2CCCCC2)=C(C)N1
ZINC39326498	O=C(NCCc1c[nH]c2ccccc12)C1=NNS[C@H]1NC(=O)N1CCN(c2cccc[nH+]2)CC1
ZINC39597938	CC1=C(C(=O)N2C[C@H](C(=O)NCCc3c[nH]c4ccccc34)C3(CC[NH2+]CC3)C2)[C@H](C)ON1
ZINC39656195	CC1=C(C(=O)N2C[C@H](C(=O)NCCc3c[nH]c4ccc(C)cc34)C3(CC[NH2+]CC3)C2)[C@@H](c2ccccc2)NO1
ZINC39656239	CC1=C[C@@H](C(=O)N2C[C@@H](C(=O)NCCc3c[nH]c4ccc(C)cc34)C3(CC[NH2+]CC3)C2)NN1C
ZINC40756902	C[NH+]1CCN(Nc2ncnc(Nc3ccc(I)cc3)c2N)CC1
ZINC40760894	CC1(C)CC(Nc2ncnc(N3CCN(c4ccc(F)cc4)CC3)c2N)CC(C)(C)[NH2+]1
ZINC40779686	Nc1c(Nc2ccc(Br)cn2)nc[nH+]c1Nc1ccc(Br)cn1
ZINC40812117	Cc1c(C(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)oc2c1/C(=N/NC(=O)c1ccc(O)cc1)CCC2
ZINC41026308	C[NH+](C)CCNc1nc(Nc2sc3c(c2C(N)=O)CCC3)c2cnn(-c3ccccc3)c2n1
ZINC52595433	NS(=O)(=O)c1ccc(/N=N/C2=c3cc(C(=O)NCc4ccncc4)ccc3=[NH+][C@H]2O)cc1
ZINC52637644	CC(C)S(=O)(=O)N1c2cc(-c3[nH]c(-c4ccncc4)nc3-c3ccccc3)ccc2N[C@H]1[NH3+]
ZINC39357295	CSc1ccc([C@@H]2[NH+]=C(NCCc3c[nH]c4ccccc34)N[C@@H]3N[C@H](C)CC(=O)N32)cc1
ZINC10645182	Cc1ccc(NC(=O)NC(=O)COC(=O)c2sc3[nH+]c(C)cc(C)c3c2N)c(C)c1
ZINC17221852	Oc1ccc(-c2csc(N/[NH+]=C3/NC/C(=C\c4ccc5c(c4)OCO5)S3)n2)cc1O
ZINC59170583	NS(=O)(=O)c1ccc(/[NH+]=c2\oc3cc(O)ccc3cc2C(=O)Nc2ccccc2Br)cc1
ZINC12507683	NC1=[NH+]c2nc3cc4c(cc3n2[C@H](c2ccc(OCCO)cc2Br)N1)OCCCO4
ZINC59488446	CC1(C)CC(NC(=O)C(=O)N/N=C/c2cc(Br)ccc2O)CC(C)(C)[NH2+]1
ZINC13570697	CC(C)(Cc1ccc(O)cc1)NC(=O)CC(=O)/N=N/c1c(O)[nH]c2cc(Br)ccc12
ZINC13570697	CC(C)(Cc1ccc(O)cc1)NC(=O)CC(=O)N/N=C1/C(=O)Nc2cc(Br)ccc21
ZINC39935185	Cc1ccc(N2C(N3CCCC3)=[NH+]N[C@@H]2SCC(=O)N[C@H]2O[C@@H](C)C3=C2C(=O)NN[C@H]3C)cc1
ZINC38999184	N[C@H]1C2=CC=C(c3cc[nH+]cc3)N[C@@H]2S[C@@H]1C(=O)Nc1nnc(SCc2ccc(Cl)cc2)s1
