ZINC01637789	CCOP1(=O)CC(C)=C(Cl)C(OC)C1
ZINC01475338	[S-]c1nnc(-c2cccnc2)n1/N=C/c1ccc(Cl)c(Cl)c1
ZINC35333670	O=C([O-])c1cc(Br)c(I)c([N+](=O)[O-])c1
ZINC06774249	Cc1nc(SCc2cccc(C(=O)[O-])c2)nc(N2CCCC2)c1C
ZINC09088127	CC(C)(C)c1ccc(-c2nnc([S-])n2/N=C/c2ccncc2)cc1
ZINC15923891	C=CCn1c([S-])nnc1-c1cccn(Cc2ccc(Cl)cc2)c1=O
ZINC04036389	Cc1cc(-c2nc3cccnc3s2)ccc1[N-]S(=O)(=O)c1cccs1
ZINC18178452	CCSc1nnc2nc3c(c([O-])n12)C1(CCCCC1)Cc1ccccc1-3
ZINC19809169	O=C([O-])c1ccc(/C=N/N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1
ZINC08684375	Cc1ccn2c(-c3nnc([S-])n3Cc3ccccc3)c(C)nc2c1
ZINC07738459	N#CCSc1nc([O-])c(-c2nc(-c3ccccc3)cs2)cc1C#N
ZINC13320941	Cc1ccc(N2CCN(C(=O)C3C4CCC(CC4)C3C(=O)[O-])CC2C)cc1
ZINC39457518	CCOc1c2c(nc3ccccc13)-c1c(c(SC)c(C)n1[O-])CCC2=O
ZINC13984323	CC12CCC(c3c(C(=O)[O-])nn(-c4nc5ccccc5s4)c31)C2(C)C
ZINC40139786	[O-]c1nc(/C(Cl)=C/c2csnn2)nc2sc(-c3ccccc3)cc12
ZINC41027466	O=C([O-])c1nn(-c2c(Cl)cc(Cl)cc2Cl)c2c1COCC2
ZINC05491132	Clc1cc2c(cc1CSc1nc3ncc(Br)cc3[n-]1)OCO2
ZINC49097439	N#C/C(C(=O)N1CCOCC1)=C(/[O-])c1cc2sc3ccccc3c2s1
ZINC49752778	CSc1nc(N(C)CCC(=O)[O-])c2c3c(sc2n1)CCCC3
ZINC52496333	CC(c1ccccc1F)N(C)/C([O-])=N/c1nnc(-c2ccsc2)s1
ZINC22356138	Cc1nnc([S-])n1/N=C/c1c(-c2ccccc2)n(C)c2ccccc12
ZINC45745698	[O-]c1nc(/C(Cl)=C/c2csnn2)nc2sc3c(c12)CCCC3
ZINC12748062	N#C/C(=C\c1ccccc1OC(F)(F)F)c1nc([O-])c2ccccc2n1
ZINC17309393	O=[N+]([O-])c1ccc([O-])c(/C=N/c2cccc(C3SCCS3)c2)c1
ZINC61205536	O=C(c1cc([O-])c2ccccc2n1)N1CCCC1c1nc2ccccc2s1
ZINC62710671	O=C([O-])c1cc(-c2cccs2)nc2onc(Cc3ccccc3)c12
ZINC39730798	CCSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(C)cc1
ZINC39764646	CC(C)SC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccccc1
ZINC39764670	CC(C)SC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccc(Cl)cc1
ZINC15829354	N#Cc1ccc2ncc(S(=O)(=O)c3cc(Cl)cc(Cl)c3)c([O-])c2c1
ZINC63653120	CC1=CC(c2ccc(S(=O)(=O)[N-]c3ccc(C)cc3C)s2)N=N1
ZINC63653131	CC1=CC(c2ccc(S(=O)(=O)[N-]c3ccc(C)c(C)c3)s2)N=N1
ZINC64087769	CC(=O)C1=C(C)C(c2csc(-c3cccc(C(=O)[O-])c3)n2)=NC1C
ZINC19288223	COC(=O)C1=C(C)N=C(C)/C(=C(\[O-])OC)C1c1cccc(Br)c1
ZINC19288223	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Br)c1
ZINC64669761	N#C/C(C(=O)N1CCCCC1)=C(\[O-])c1csc(-c2ccccc2F)n1
ZINC40475400	O=C1C2Sc3nc([S-])sc3C(c3ccco3)C2C(=O)N1c1ccccc1
ZINC65137873	CC1=C(C)C(C2CC(S(=O)(=O)[N-]c3cccc(C)c3)=C(C)S2)N=N1
ZINC66246877	N#Cc1ccc(S(=O)(=O)[N-]c2nc3ccccc3s2)cc1Cl
ZINC66318549	CC1CC(C)CN(C(=O)C(C)Sc2nc3ncc(Cl)cc3[n-]2)C1
ZINC67601100	Cc1ccccc1-c1nc(/C([O-])=C(\C#N)C(=O)N2CCCCC2)cs1
ZINC04881332	Cc1cc(NC(=O)c2noc3c2CC(C(C)(C)C)CC3)nn1Cc1ccc(Cl)cc1
ZINC05096413	Cc1ccc(Cc2nsc(N3CCN(C(=O)Nc4ccc(C)cc4)C(C)C3)n2)cc1
ZINC01560690	Cc1cc(OC(=O)Nc2cc([N+](=O)[O-])ccc2C)c(C)cc1I
ZINC06166478	CC1CCc2c(sc3ncn(C(C)C(=O)N/N=C/c4cccc5ccccc45)c(=O)c23)C1
ZINC00672993	COC(=O)c1c(-c2ccc3ccccc3c2)csc1NC(=O)c1ccc2c(c1)OCO2
ZINC03597583	O=C1NC2(CCCc3ccccc32)C(=O)N1CC(=O)N(C1CCCCC1)C1CCCCC1
ZINC08811213	Cc1c(C(=O)NC2CCCC(C)C2C)oc2ccc(S(=O)(=O)N3CCCCC3)cc12
ZINC08760713	CC(Sc1nc2ccccc2c2nc3ccccc3n12)C(=O)Nc1ccccc1C#N
ZINC09168315	Cc1cc(F)ccc1S(=O)(=O)Nc1ccc2c(c1)OCC(C)(C)C(=O)N2CC(C)C
ZINC09357705	COc1ccccc1N1C(=O)/C(=C\c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N=C1S
ZINC09367352	Cc1cccc2sc(NC(=O)c3ccc(S(=O)(=O)N4CC(C)CC(C)C4)cc3)nc12
ZINC09726359	CC(Sc1ncnc2sc(-c3ccccc3)cc12)C(=O)N1CC(=O)Nc2ccccc21
ZINC10035364	COc1ccc(C2CC(=O)C3=C(C2)Nc2nc4ccccc4n2C3c2ccccc2OC)cc1
ZINC12461766	CC(OC(=O)c1c2c(nc3ccccc13)CCCCC2)C(=O)NC1(C#N)CCCCC1
ZINC03278701	Cc1ccc(C)c(-n2nnnc2SCC(=O)Nc2ccc(Br)c(C)c2)c1
ZINC00929753	Cc1cc(C)c2c(c1)cc(C)c1nnc(SCC(=O)Nc3nc4c(s3)CCCC4)n12
ZINC12512309	CC(NC(=O)C1CCN(c2ccccc2[N+](=O)[O-])CC1)c1ccc(Cl)c(Cl)c1
ZINC01372241	Cc1ccc(C)c(NC(=O)CSc2nnc3c4c5c(sc4nc(C)n23)CCCC5)c1
ZINC06390016	CCSc1n[nH]/c(=N\C(=O)c2cc(-c3ccncc3)nc3c(C)cc(C)cc23)s1
ZINC09210736	COc1ccc(Nc2c(-c3cccc4cccnc34)nc3ccc(Cl)cn23)cc1OC
ZINC13499966	Cc1sc2nc(C(C)C)n3c(SCC(=O)c4c[nH]c5ccccc45)nnc3c2c1C
ZINC13499997	Cc1ccccc1NC(=O)CSc1nnc2c3c(C)c(C)sc3nc(C(C)C)n12
ZINC13611446	COc1ccccc1N1CCN(c2nc(C)c(Cc3ccccc3Cl)c(=O)[nH]2)CC1
ZINC14471274	O=[N+]([O-])c1cc(C2Nc3c(OCC4CCCO4)cccc3C3C=CCC32)ccc1Cl
ZINC14473194	O=[N+]([O-])c1ccc(Cl)c(C2Nc3ccc(OCC4CCCO4)cc3C3C=CCC32)c1
ZINC14478429	CN(C(=O)c1ccc2c(c1)C1C=CCC1C(c1ccccc1[N+](=O)[O-])N2)c1ccccc1
ZINC02767542	CC(C)OC(=O)c1c(NC(=O)c2cc3ccccc3oc2=O)sc2c1CCCCC2
ZINC19781690	CC1=C(C(=O)OC2CCCC2)C(c2coc3ccc(Cl)cc3c2=O)C2=C(CCCC2=O)N1
ZINC20554789	O=S(=O)(Nc1cccc(-c2ccc(N3CCCCC3)nn2)c1)c1ccccc1Cl
ZINC20757383	CN(C(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc([N+](=O)[O-])cc1)N2)c1ccccc1
ZINC33085147	CCc1ccc(NC(=O)N2CCN(Cc3nc(-c4ccc(C)cc4)oc3C)CC2)cc1
ZINC33271262	Cc1nn(-c2nc3ccccc3s2)c2c1C(c1ccc(OCC(C)C)cc1)CC(=O)N2
ZINC33271263	Cc1nn(-c2nc3ccccc3s2)c2c1C(c1ccc(OCC(C)C)cc1)CC(=O)N2
ZINC33284000	Cc1cccc(NC(=O)Cn2cnc3c(sc4nc(-c5ccc(C)c(C)c5)ccc43)c2=O)c1
ZINC21471379	Cc1ccc(-n2cnnc2SC(C)c2nc3sc4c(c3c(=O)[nH]2)CCC(C)C4)c(C)c1
ZINC35593550	CC(C)NC(=O)N(CC(=O)N1CCn2cccc2C1c1cccc(Cl)c1)C(C)(C)C
ZINC22618744	Cc1sc2nc(C(C)OC(=O)Cc3coc4ccc5ccccc5c34)[nH]c(=O)c2c1C
ZINC01339439	Cc1cccc2cc(CN(Cc3ccco3)C(=O)Nc3cccc(C#N)c3)c(Cl)nc12
ZINC01462996	CCOC(=O)c1c(C)oc2c1c(/C=[NH+]/c1nc3c(s1)CCCC3)c([O-])c1ccccc12
ZINC39301409	O=C(C1CCN(c2nccc(Nc3ccccc3)n2)CC1)N1CCCC2CCCCC21
ZINC39452451	COn1c2c(c3nc4cccc(SC)c4cc3c1=O)NC(Cc1ccccc1)CC2=O
ZINC39874263	CCOc1ccc(N2C(=O)c3oc4ccc(Cl)cc4c(=O)c3C2c2cccc(O)c2)cc1
ZINC40916754	CC(C)(C)c1ccc(COc2ccccc2C2C3=C(CCCC3=O)Nc3ncnn32)cc1
ZINC45669822	N#Cc1ccc(NC(=O)CSc2nc(-c3ccco3)nc3ccccc23)cc1Cl
ZINC07135363	CC1CC(=O)Nc2ccccc2N1C(=O)COC(=O)C1(c2ccccc2F)CCCC1
ZINC08479322	CCSc1nc2n(n1)C(c1cccc(Oc3ccccc3)c1)C1=C(CCCC1=O)N2
ZINC21529152	Cc1ccc(C(=O)OCC(=O)N2c3ccccc3NC(=O)CC2C(F)(F)F)cc1F
ZINC35399382	CCOc1ccc(S(=O)(=O)N2CCC3(CC2)Nc2ccc(C)c(C)c2-n2cccc23)cc1
ZINC65010901	CCC(C)NS(=O)(=O)c1c(C)c(C)cc2c(C)c(C(=O)N3CCCCCC3)oc12
ZINC65299925	Cc1cccc(-n2nc(C)c3sc(N4CCC(NC(=O)C5CCCCC5)CC4)nc32)c1
ZINC01030656	CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(C#Cc2ccccc2)s1
ZINC03073378	CCOC(=O)C1=C(N)Oc2c(ccc3cccnc23)C1c1cccc(F)c1
ZINC01142740	CC1=C(C(=O)OC(C)(C)C)C(c2ccccc2Br)NC(=O)N1
ZINC06779231	Cc1ccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)C(C)S3)c(C)c1
ZINC07512425	CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccccc1Br
ZINC07687598	CC(NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2)c1cccc(Cl)c1
ZINC09793850	Cc1ccc(CN(C)C(=O)NNC(=O)c2cc3c(s2)CCC(C)C3)cc1
ZINC12780178	O=C1CCc2cc(S(=O)(=O)NC3CCC4CCCCC4C3)ccc2N1
ZINC04252034	CC1Cc2ccccc2N1C(=O)CSc1nc(-c2ccccc2)cn1N
ZINC18263231	Cc1cc(C)c(C#N)c(SCc2nc(N)c3c4c(sc3n2)CCCC4)n1
ZINC00628875	COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1c[nH]c2ccccc12
ZINC20600184	Fc1ccc2nc(CN3CCc4c([nH]c5ccccc45)C3c3ccccn3)[nH]c2c1
ZINC21294255	CCN1CCc2nc(NC(=O)c3ccc4[nH]c5c(c4c3)CCCC5)sc2C1
ZINC22007280	O=C(/C=C/c1cc(Cl)cc(Cl)c1)Nc1ccc2c(c1)NC(=O)CO2
ZINC05860895	CC(C)Sc1nc2c(c(=O)[nH]1)C(c1ccccc1)C1=C(CCCC1=O)N2
ZINC33514050	NC(=O)COc1ccc2c(c1)O/C(=C\c1cccc(Cl)c1Cl)C2=O
ZINC00708622	O=C(NNc1nc(-c2ccc(Br)cc2)cs1)c1ccco1
ZINC01303193	CCCc1nn(-c2ccccc2)c2c1C(c1cccs1)C(C#N)=C(N)O2
ZINC14084965	CC1CCCCC1NC(=O)CCc1nc2sc3c(c2c(=O)[nH]1)CCCC3
ZINC36272612	CCc1ccc(-c2nc3ccc(N)cn3c2CN2CC(C)OC(C)C2)cc1
ZINC12523618	Cc1cccnc1NC(=O)CNC(=O)C12CC3CC(CC(Cl)(C3)C1)C2
ZINC32500675	Cc1ccc(C)c(N2CCN(Cc3nc(N)c4cc(C)ccc4n3)CC2)c1
ZINC33936146	N#C/C(=C\c1ccc(-c2ccc(C(N)=O)cc2)o1)c1nc2ccccc2s1
ZINC39442144	CC1=CC(C)=NC1C(=O)NC1CCCC2C1=CNN2c1ccc(C)c(C)c1
ZINC39707704	N#CC1C(NC(=O)CSc2nc3ccccc3[nH]2)SC2CCCCC21
ZINC39851986	Cc1c(C(=O)NNC(=O)c2ccccc2)oc2c1C1(CCC2)SCCS1
ZINC40219148	Cc1nc(-c2cccc(NC(=O)c3ccc(Br)s3)c2)n[nH]1
ZINC40729100	CC1CCCCN1c1ncnc(N2CCC(Cc3ccccc3)CC2)c1N
ZINC41307918	CNC(=O)c1c(NC(=O)c2cc3cc(C)ccc3o2)sc2c1CCCC2
ZINC44893406	Cc1cc(C(F)F)c2c(N)c(C(=O)c3ccc4c(c3)OCO4)sc2n1
ZINC45548095	N#Cc1ccc(NC(=O)NC(=O)CSc2ccc3ccccc3c2)cc1
ZINC04571579	CCOc1ccc(C2N=C(O)c3c(sc4c3CCC(C)C4)N2)cc1OC
ZINC01177428	CC1=C(C(=O)OC(C)(C)C)C(c2cccc(Br)c2)NC(=O)N1
ZINC02394066	CC(C)Oc1ccc(C2N=C(O)c3c(sc4c3CC(C)(C)OC4)N2)cc1
ZINC02394066	CC(C)Oc1ccc(C2NC(=O)c3c(sc4c3CC(C)(C)OC4)N2)cc1
ZINC09421625	Cc1[nH]nc2c1C(c1cccs1)N(CCc1c[nH]c3ccccc13)C2=O
ZINC09421625	Cc1n[nH]c2c1C(c1cccs1)N(CCc1c[nH]c3ccccc13)C2=O
ZINC09421626	Cc1[nH]nc2c1C(c1cccs1)N(CCc1c[nH]c3ccccc13)C2=O
ZINC09421626	Cc1n[nH]c2c1C(c1cccs1)N(CCc1c[nH]c3ccccc13)C2=O
ZINC51712348	Cc1ccc(C(=O)NC2CCN(C(=O)NCC3CCC(C)CC3)CC2)s1
ZINC54670434	O=C(CN1CCc2sccc2C1)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC56542871	Cc1ccc(NC(=O)NCc2cn3cc(Br)ccc3n2)cc1F
ZINC57991871	O=C(NCc1cccc(Cl)c1)C1CC2CCCN2C12C(=O)Nc1ccccc12
ZINC57991874	O=C(NCc1cccc(Cl)c1)C1CC2CCCN2C12C(=O)Nc1ccccc12
ZINC58368312	Cc1cccc(NC(=O)N2CCC(C(=O)NCc3ccc(C)s3)CC2)c1
ZINC58896378	CC1CCCCC1NC(=O)Nc1ccc(S(=O)(=O)C2CCCC2)cc1
ZINC59335450	Cc1ccc(NC(=O)/C(C#N)=C\c2cc(C)n(-c3ccc(O)cc3)c2C)cc1
ZINC47624094	C#Cc1cccc(NC(=O)C2CCCN(C(=O)Nc3cccc(C)c3)C2)c1
ZINC05125957	CC(C)(C)c1n[nH]c2c1C(c1ccccc1C(F)(F)F)C(C#N)=C(N)O2
ZINC05125957	CC(C)(C)c1[nH]nc2c1C(c1ccccc1C(F)(F)F)C(C#N)=C(N)O2
ZINC39977708	N#CC1=C(N)OC2N=NC(CSc3ccccc3)=C2C1C1C=CCCC1
ZINC63775235	COc1cc2c(cc1OC)C(=O)NC(c1sc3ccccc3c1Cl)N2
ZINC65412368	Cc1ccc(Br)cc1NC(=O)NC(C)c1c(C)nn(C)c1C
ZINC66036116	Cc1cc(C(=O)N2CCCC(C)C2)ccc1NC(=O)c1cc2ccccc2[nH]1
ZINC03850201	CC12CCCC1C1CCC3CC(OCc4ccccc4)CCC3(C)C1CC2
ZINC03850203	CC12CCCC1C1CCC3CC(OCc4ccccc4)CCC3(C)C1CC2
ZINC01771974	Clc1ccc(Cl)c(CSc2nc3ccccc3s2)c1Cl
ZINC02148851	Cc1cc2c(cc1C)CSC1(CC(C)(C)CC1C)SC2
ZINC02148848	Cc1cc2c(cc1C)CSC1(CC(C)(C)CC1C)SC2
ZINC00626081	C=CCn1c2ccc(Br)cc2c2cc(Br)ccc21
ZINC00151742	Clc1ccc(Sc2cccc(Cl)c2Cn2cccc2)cc1
ZINC02189266	S=c1sc2c(s1)SC1CCCCCCCCCCC1S2
ZINC03129578	Clc1cccc(Cl)c1COc1ccc(C2SCCS2)cc1
ZINC02125224	c1ccc2c(c1)ccc1c2ccc2ncc3sc4ccccc4c3c21
ZINC01732106	C#CCSc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
ZINC01756661	Clc1c(C(Cl)(Cl)Cl)nc2ccccc2c1Br
ZINC05738007	c1ccc(C2CC(c3ccc4ccccc4c3)=Nc3ccccc3S2)cc1
ZINC05756087	COc1ccc(C2c3cccc(C)c3SC(c3ccccc3)C2C)cc1
ZINC02283047	Clc1ccc(/N=C/c2sc3ccccc3c2Cl)c(Cl)c1
ZINC10272317	CC12CCC3C(CCC4CCCCC43C)C1C/C(=C\c1ccccc1)C2=O
ZINC12360687	c1cc2c(s1)C1CCCCC1OC21C2CC3CC(C2)CC1C3
ZINC12719904	CC12CCC3C(CCC4CCCCC43C)C1C/C(=C\c1ccccc1)C2=O
ZINC12719906	CC12CCC3C(CCC4CCCCC43C)C1C/C(=C\c1ccccc1)C2=O
ZINC06792948	Cc1cc(SCCC23CC4CC(CC(C4)C2)C3)nc2ccccc12
ZINC13408777	CC12CC=CCC1CCC1C2CCC2(C)C(OCc3ccccc3)CCC12
ZINC05753107	Cc1ccc(C2CC(c3ccccc3)Sc3c(C)cccc32)cc1
ZINC15781915	Clc1c(Cl)c(Cl)c(N2CCCCC2)c(Cl)c1Cl
ZINC16523981	Ic1ccc2c(c1)c1ccccc1n2-c1ccccc1
ZINC16920757	CC12CCCC1C1CCC3CC(OCc4ccccc4)CCC3(C)C1CC2
ZINC16920767	CC12CCCC1C1CCC3CC(OCc4ccccc4)CCC3(C)C1CC2
ZINC06044428	Cc1ccc(C2CC(c3cccs3)=Nc3ccccc3S2)cc1
ZINC08411618	Cc1ccc(C2=Nc3ccccc3SC(c3cccs3)C2)cc1
ZINC21997189	O=c1c(I)c(C2=CCCCC2)sc2ccccc12
ZINC28294685	O=C1c2cccc3cccc(c23)C1C(Sc1ccccc1)c1ccccc1
ZINC32528183	c1ccc(C(Sc2ccc3ccccc3n2)c2ccccc2)cc1
ZINC35379363	O=C(c1cc2c(s1)CCCCC2)c1cc(Cl)sc1Cl
ZINC35630834	ClCc1c(OCc2ccc(Br)cc2)ccc2ccccc12
ZINC35662821	Fc1cccc(COc2c(Cl)cc(Cl)cc2CBr)c1
ZINC35662834	Clc1cc(Cl)c(OCC2CCCCC2)c(CBr)c1
ZINC36927323	O=Cc1ccc(-c2c(Cl)cc(Br)cc2Cl)s1
ZINC37204397	ClCc1cccc(-c2nc3cc(Br)ccc3s2)c1
ZINC37545019	Cc1ccc(OCc2ccccc2Cl)c(C#CCCCl)c1
ZINC37631455	CC(CCC=O)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
ZINC43763086	CC(C)C1CCC2(C)CC3C(C)C(=O)C3(Sc3ccccc3)CC12
ZINC49588516	Fc1ccc(C(Cl)(c2ccccc2)c2ccccc2F)cc1
ZINC03159170	CCCCc1c(Br)c2ccccc2c2ccccc12
ZINC57743263	CC(C)(C)c1ccc(C(C#N)Cc2ccc(Cl)c(Cl)c2)cc1
ZINC57760700	Cc1cc(C)c(CC(C#N)c2ccc(C(C)(C)C)cc2)c(C)c1
ZINC01530821	ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
ZINC59518978	Clc1ccc(/C=N/c2ccc(Br)c(Cl)c2)c(Cl)c1
ZINC33381427	Cc1c(C)c(C)c(CC2CC/C(=C/C=C\c3ccccc3)C2=O)c(C)c1C
ZINC02243891	ClC1(Br)C2CCC3C(CCC21)C3(Cl)Br
ZINC63760902	ClC1(Br)C2CCC3C(CCC21)C3(Cl)Br
ZINC66351948	CCC1CCC(C2CCC(c3cc(F)c(F)c(F)c3)CC2)CC1
ZINC04189517	COC(=O)C1C(=O)C2=C(CC1C)Nc1ccccc1NC2c1ccc(Cl)c(F)c1
ZINC00643830	Cc1ccc(COc2ccccc2C2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc1
ZINC05600595	CN(C)c1ccc(C2NC(=O)NC(c3ccccc3)=C2c2ccc3ccccc3n2)cc1
ZINC07884679	COc1cc(C2Nc3ccccc3C(=O)N2CCc2ccccc2)cc(Cl)c1O
ZINC07962694	CC(=O)c1ccc(C(=O)NNC(=O)c2cc3c(s2)CCC(C(C)(C)C)C3)s1
ZINC09311700	O=C1NC(=O)/C(=C/c2ccc(OCc3cccc4ccccc34)c(Br)c2)N1
ZINC12854926	CC1Oc2ccc(NC(=O)/C=C/c3cc(C(F)(F)F)ccc3Cl)cc2NC1=O
ZINC12861855	COc1ccc(NC(=O)C2CSc3[nH]c(=O)sc3C2c2ccc(C)cc2)cc1
ZINC07059127	CC(Sc1nc2ccccc2[nH]1)C(=O)Nc1sc2c(c1C#N)CCCCC2
ZINC12385019	COC(=O)C1C(=O)C2=C(CC1C)Nc1ccccc1NC2c1c(F)cccc1Cl
ZINC12385044	COC(=O)C1C(=O)C2=C(CC1C)Nc1ccccc1NC2c1ccc(Cl)c(F)c1
ZINC17081671	Cc1[nH]c2[nH]n(-c3ccc(F)cc3)c(=O)c2c(=O)c1Cc1cccc2ccccc12
ZINC19216066	COc1cc2c(cc1OC)C(c1cc(C)c(O)c(C)c1)NC(c1ccc(C)cn1)C2
ZINC09359002	CC1CC(=O)C2=C(C1)NC(Nc1nc3ccccc3s1)=NC2c1cc(F)cc(F)c1
ZINC20343836	COc1ccc(Cl)cc1N/C(=N\c1cccc(Cl)c1)n1sc(C)cc1=N
ZINC20785377	Oc1cccc(C2c3[nH]c4ccccc4c3CCN2Cc2cccc3nccnc23)c1
ZINC20885799	COc1cc(C2CC(=O)NC3=C2C(=O)CC(c2ccccc2)C3)cc(Cl)c1O
ZINC03524463	CC1CCc2c(sc3nc(SCC(N)=O)n(-c4ccc(Cl)cc4)c(=O)c23)C1
ZINC21226618	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccccn2)cc1
ZINC21895318	O=C(Nc1sc2c(c1C(=O)NCC1CCCO1)CCCC2)c1cccc(Cl)c1
ZINC05799310	CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(c3ccc(Cl)c(Cl)c3)C2C1
ZINC22879396	Cc1ccc(-c2n[nH]c(=S)n2CC(=O)Nc2cccc(C#Cc3cccs3)c2)cc1
ZINC23337755	Cc1nn(C)c(Cl)c1CN1CCc2c([nH]c3ccccc23)C1c1cccc(O)c1
ZINC25673303	CC(NC(=O)c1cc2cc(Br)ccc2[nH]1)c1nc2ccccc2n1C(F)F
ZINC31816158	O=C([O-])C(c1c[nH]c2cc(Cl)ccc12)[NH+]1CCCC(c2nc3ccccc3s2)C1
ZINC32522609	O=C(CSc1nc2c(c(=O)[nH]1)CCCC2)Nc1ccc(Cl)c(C(F)(F)F)c1
ZINC32758461	O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N1Cc1sc2ccccc2c1Cl
ZINC35156181	O=C(NCc1ccccc1)Nc1cccc(-c2cn3cc(Br)ccc3n2)c1
ZINC02112441	CC1(O)CCC2C(C)(C)C(O)CCC2(C)C1COc1ccc2ccc(=O)oc2c1
ZINC39503818	CC(C)S(=O)(=O)C1CN(c2ccccc2O)C2(CCC(c3ccccc3O)C2)C1
ZINC37515006	CC(C(=O)/N=c1\[nH]c(-c2ccccc2)cs1)C1CCC2(C)C=CC(=O)C=C2C1O
ZINC39991927	CNC(=O)c1c(NC(=O)/C(C#N)=C/c2cccc(Cl)c2)sc2c1CCCC2
ZINC40152525	Cc1ccc(C(=O)Nc2nc3ccc(NC(=O)C4CC=CCC4)cc3s2)s1
ZINC42628384	COc1ccc(CN2CCCC(c3n[nH]cc3-c3c(F)cccc3F)C2)c(O)c1
ZINC43747051	CC1(C(=O)[O-])CCC2C(CCC3CC(O)CCC32C)C1CC1=Nc2ccccc2C1=O
ZINC45959664	O=C(NCc1cccc(C(=O)N2CCCC2)c1)Nc1ccccc1-c1ccccc1
ZINC17355791	CNS(=O)(=O)c1cc(C(=O)NC(C)C23CC4CC(CC(C4)C2)C3)cc(C)c1C
ZINC46790228	Cc1occc1C(=O)Nc1cc(NC(=O)c2cc3c(s2)CCC(C)C3)ccc1F
ZINC49426091	O=C(NC12CC3CC(CC(C3)C1)C2)C1CCCN(C(=O)NCc2cccs2)C1
ZINC49471932	CCc1c(C)c2ccc(NC(=O)CSc3nc4ccccc4s3)cc2[nH]c1=O
ZINC06265380	CCCC(C)n1nc(O)c2c1NC(=O)CSC2c1ccc(Cl)cc1Cl
ZINC06265380	CCCC(C)n1[nH]c(=O)c2c1N=C(O)CSC2c1ccc(Cl)cc1Cl
ZINC06752915	CCCN1C(=O)c2[nH]nc(-c3ccccc3O)c2C1c1cccc(Br)c1
ZINC07402919	CC(C)(C)C1CCc2sc(C(=O)NNS(=O)(=O)c3ccccc3F)cc2C1
ZINC13176146	CCOc1cc(C2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)c2ccccc23)ccc1O
ZINC60266038	CC(C)(CNC(=O)c1ccc(-c2ccco2)[nH]c1=O)c1ccc(Cl)c(Cl)c1
ZINC04427731	Cc1ccc(SCc2[nH]nc3c2C(c2ccccc2Cl)C(C#N)=C(N)O3)cc1
ZINC04427731	Cc1ccc(SCc2n[nH]c3c2C(c2ccccc2Cl)C(C#N)=C(N)O3)cc1
ZINC64458324	Cn1cc(C2CC2C(=O)NC(c2ccccc2)c2c(O)ccc3ccccc23)cn1
ZINC64660908	Cc1cc2c(cc1C)N(CC(=O)NCc1ccc(Cl)cc1)C(=O)C1=C(CCC1)N2
ZINC65035011	O=C(C[NH+]1CCc2nc3c(F)c(Cl)ccc3c([O-])c2C1)Nc1ccc(F)c(F)c1
ZINC66121561	O=C(NC1CCN(C(=O)NCCc2cc(Cl)cc(Cl)c2)CC1)C1CCC1
ZINC00426608	Cc1ccc(O)c(NC(=O)c2noc3c2CC(C(C)(C)C)CC3)c1
ZINC03048627	Oc1n[nH]cc1-c1cn(-c2ncc(C(F)(F)F)cc2Cl)c2ccccc12
ZINC04165728	O=[N+]([O-])c1ccc(C2Nc3c(O)ccc(Br)c3C3C=CCC32)cc1
ZINC00655554	CC1=C(C(=O)OC2CCCCC2)C(c2ccc(Br)cc2)NC(=O)N1
ZINC01024483	O=C(Nc1ccc(-c2cnco2)cc1)Nc1ccc(Cl)c(Cl)c1Cl
ZINC01107261	CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccc(-c2ccccc2Cl)o1
ZINC04713562	CC(C)(C)OC(=O)N/N=C1\CCC2C3CCc4cc(O)ccc4C3CCC12C
ZINC04734310	Cc1ccc(Nc2c(-c3c(O)ccc4ccccc34)nc3ncccn23)cc1
ZINC01218478	COC(=O)c1c(NC(=O)Nc2ccc(Cl)c(Cl)c2)sc2c1CCC2
ZINC07387765	Cc1ccc(S(=O)(=O)NNC(=O)c2cc3c(s2)CCCCCC3)cc1C
