ZINC19433863	CC([NH3+])C(=O)Nc1ccccc1C(=O)NC1CC1
ZINC43548088	CN1CCC([NH2+]C2CC(C)(C)C3CC(C)(O)CCC23CCC(=O)NCc2ccco2)CC1
ZINC44177977	CNC(=O)Cc1ccccc1NC(=O)NCC(C)(C)[NH+]1CCc2ccccc2C1
ZINC44179352	CNC(=O)Cc1ccccc1NC(=O)NCc1ccccc1C[NH+]1CCCCC1
ZINC45509908	CC(C)c1ccc(C[NH+]2CCN(C(C)C(=O)Nc3sccc3C(N)=O)CC2)cc1
ZINC45779220	CC1CCCC[NH+]1Cc1ccccc1CNC(=O)NNC(=O)c1ccccc1
ZINC48285980	NC(=O)c1cn(CC(=O)NCC(c2cccc(Cl)c2)[NH+]2CCCC2)c2ccccc12
ZINC54407285	CNC(=O)Cc1ccccc1NC(=O)NC1CC[NH+](C(C)c2ccccc2)C1
ZINC54920614	O=C(Cc1ccc(F)cc1)NNC(=O)NCC(c1cccs1)[NH+]1CCCC1
ZINC58885778	O=C(NCC(c1ccccc1)[NH+]1CCCC1)Nc1cccc(NC(=O)c2cccs2)c1
ZINC59037814	Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)NCC(c1cccs1)[NH+](C)C
ZINC47985553	Cc1ccc(C(=O)NC2CC2)cc1NC(=O)NCC(c1cccs1)[NH+]1CCCC1
ZINC47727959	C[NH+](C)C(CNC(=O)Nc1ccc(Cl)c(C(=O)NC2CC2)c1)c1cccc(F)c1
ZINC47727961	C[NH+](C)C(CNC(=O)Nc1ccc(Cl)c(C(=O)NC2CC2)c1)c1cccc(F)c1
ZINC60341893	CC1CCC[NH+](C(C)(C)CNC(=O)C2(NC(=O)NCc3ccccc3)CCCC2)C1
ZINC60378163	Cc1ccc(NC(=O)NCC2CCC[NH+](C(C)C(=O)NCc3ccccc3F)C2)cc1
ZINC63150024	NS(=O)(=O)C1CC(C(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)=CS1
ZINC63254425	O=C(NCCC1=c2ccccc2=[NH+]C1)/C(=C\c1ccc(O)cc1)NC(=O)c1ccccc1
ZINC63959808	NC(=O)C1CN(CC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2)c2ccccc21
ZINC50114821	O=C(CNC(=O)NCC(c1cccs1)[NH+]1CCCC1)Nc1ccc(F)cc1
ZINC50630821	O=C(CNC(=O)NCC1CCCC1)Nc1ccccc1C[NH+]1CCSCC1
ZINC66908432	CC(C)(CNC(=O)NNC(=O)Cc1ccccc1F)[NH+]1CCc2ccccc2C1
ZINC66976261	C[NH+](C)C(CNC(=O)NNC(=O)Cc1ccccc1F)c1ccccc1Cl
ZINC67332796	NS(=O)(=O)c1cc(C(=O)NCC2CCC[NH+]2CC2CCCCC2)ccc1F
ZINC67382905	O=C(CC1CCCCC1)NNC(=O)NCC(c1cccs1)[NH+]1CCCC1
ZINC67624375	CC1CC[NH+](CC(O)CNC(=O)NC(c2cccs2)C2CCCC2)CC1
ZINC67624381	CC1CC[NH+](CC(O)CNC(=O)NC(c2cccs2)C2CCCC2)CC1
ZINC04093762	CC(C)C(NC(=O)/C(=C/c1ccccc1)NC(=O)c1ccco1)C(=O)[O-]
ZINC05601627	CSCC(NP1(=O)SC(NN=C(C)C)=NC1(C)C)C(=O)[O-]
ZINC05880817	CC(Oc1ccc(Cl)cc1Cl)C(=O)NNC(=O)/C=C/C(=O)[O-]
ZINC08379039	O=C([O-])/C=C/C(=O)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1
ZINC12404032	O=C([O-])C1CCCCC1C(=O)NCCNC(=O)C1CCCCC1C(=O)[O-]
ZINC13183385	O=C([O-])CC(NS(=O)(=O)c1ccc2c(c1)CC(=O)N2)c1ccccc1
ZINC13245036	CNc1nnc(SCC(=O)Nc2cc(F)ccc2C(=O)[O-])s1
ZINC13255467	CC(Oc1ccc(F)cc1)C(=O)NNC(=O)C1CC=CCC1C(=O)[O-]
ZINC13393718	O=C([O-])CNS(=O)(=O)c1ccc(NC(=O)c2ccc(Br)s2)cc1
ZINC13809828	CCOP(=O)([O-])c1ccccc1NCCNc1ccccc1P(=O)([O-])OCC
ZINC16922434	O=C(CN1C(=O)/C(=C/c2cccs2)SC1=S)Nc1ccc(O)cc1C(=O)[O-]
ZINC20635108	CCOc1ccccc1NC(=O)CC1SCC(C(=O)[O-])NC1=O
ZINC23143257	CC(C)C(NC(=O)c1ccc(Cl)cc1Cl)C(=O)Nc1ncn[n-]1
ZINC37011292	COc1c([N-]S(=O)(=O)C(F)F)cc(C)cc1S(N)(=O)=O
ZINC37207064	CNC(=O)CNS(=O)(=O)c1ccc(Br)c(C(=O)[O-])c1
ZINC37224899	CNC(=O)CNS(=O)(=O)c1cc(C(=O)[O-])sc1Br
ZINC37731852	CC(NS(=O)(=O)c1[nH]ncc1C(=O)[O-])c1ccccc1Br
ZINC37731866	CC(NS(=O)(=O)c1[nH]ncc1C(=O)[O-])c1ccc(Br)cc1
ZINC37732148	Cc1cc(C(C)NS(=O)(=O)c2[nH]ncc2C(=O)[O-])c(C)s1
ZINC37732178	CC(NS(=O)(=O)c1[nH]ncc1C(=O)[O-])c1ccc(Cl)s1
ZINC37789719	CCSc1ccccc1[N-]S(=O)(=O)c1[nH+][nH]cc1C(=O)[O-]
ZINC09285249	NC(=O)C1CCN(C(=O)c2ccc([N-]S(=O)(=O)c3ccc(Br)s3)cc2)CC1
ZINC39861993	NC(=O)CC(C(=O)[O-])N1C(=O)/C(=C/c2ccc(C(=O)[O-])cc2)SC1=S
ZINC40097274	O=C(C1=C([O-])C(=O)N(CCO)C1c1cccc(O)c1)c1cc2ccccc2o1
ZINC40152240	CCCCN/C([O-])=N/S(=O)(=O)c1ccc2c(c1)C(=C(C)C)C(=O)N2
ZINC40156789	COC(=O)c1ccc(S(=O)(=O)[N-]c2c(C)cccc2C(N)=O)s1
ZINC44021225	CC(CCCOS(=O)(=O)[O-])C1CCCC2C1C(O)CC1C2C(O)CC2CC(=O)CCC21C
ZINC45202106	CC(C)(C)NC(=O)NC(C(=O)N1CC2C(C1C(=O)[O-])C2(C)C)C(C)(C)C
ZINC15038638	CC(NC(=O)CCN1C(=O)/C(=C/c2ccc(O)cc2)SC1=S)C(=O)[O-]
ZINC49062183	N#Cc1c([N-]S(=O)(=O)CCCC(=O)[O-])sc2c1CC[NH2+]C2
ZINC50177957	CC(C)CNC(=O)CNC(=O)C(=O)Nc1nc(-c2ccccc2F)cs1
ZINC58163083	CS(=O)(=O)[N-]c1cccc(C(=O)Nc2cc(-c3cccs3)n[nH]2)c1
ZINC06568150	CCc1cccc2c(/C=C3/C(=O)N(CC)C(=S)N=C3[O-])cn(CC(N)=O)c12
ZINC59444365	O=C(N/N=C/c1ccccc1C(=O)[O-])C(=O)Nc1ccccc1F
ZINC20199516	O=C([O-])C(=O)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1
ZINC61637116	CS(=O)(=O)[N-]c1ccc(O)c(C(=O)NC2CCN(CC(F)(F)F)C2)c1
ZINC62700675	NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3Cc2ccc(F)cc2Cl)CC1
ZINC63093431	CCC(=O)NCC(=O)NC(C)c1cccc([N-]S(C)(=O)=O)c1
ZINC63182236	NC(=O)c1cc(Cl)ccc1[N-]S(=O)(=O)c1ccc(F)c(C(=O)[O-])c1
ZINC39978869	O=C(NC(CO)Cc1ccccc1)C1[N-]C(C2=CC=CC3N=CC=C23)=NO1
ZINC63767047	CS(=O)(=O)[N-]c1ccc(F)cc1C(=O)Nc1cccc(-c2ccn[nH]2)c1
ZINC63811090	CCCN(CC(=O)NC)C(=O)c1ccc2c([O-])[nH]c(=S)nc2c1
ZINC63878936	Cc1cc(F)cc(C(=O)[O-])c1[N-]S(=O)(=O)c1cc(C(N)=O)n(C)c1
ZINC64098847	O=C(Cc1ccc([N-]S(=O)(=O)c2cccs2)cc1)NC1CCCNC1=O
ZINC64513232	C#CCNC(=O)CCNC(=O)c1ccc2c([O-])n(C)c(=S)nc2c1
ZINC64514154	C#CCNC(=O)CCNC(=O)c1cc(F)ccc1[N-]S(C)(=O)=O
ZINC66504149	Cn1cc(S(=O)(=O)/N=C(\[O-])C2CC2c2ccccc2)cc1C(N)=O
ZINC66508322	C=CCNC(=O)/C(C#N)=C(/[O-])c1ccc(N2CCNC2=O)c(C)c1
ZINC66790890	CC(C)CCC(=O)NNC(=O)c1ccc2c([O-])n(C)c(=S)nc2c1
ZINC67600349	CC1CC(C/C([O-])=N/S(=O)(=O)c2cc(C(N)=O)n(C)c2)CC(C)(C)C1
ZINC05641329	O=C([O-])CCSCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
ZINC05809136	CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)([O-])[O-])C(O)C2O)[NH+](C)C1
ZINC05273541	O=S(=O)([O-])O/N=C(/CCc1ccccc1)SC1OC(CO)C(O)C(O)C1O
ZINC04221728	NC(=O)CCNC(=O)C1CC(NS(=O)(=O)c2cccs2)CCN1C(=O)COCC(=O)[O-]
ZINC09170899	CC(C)C(NC(=O)N1c2ccccc2N=C(O)C1C(C)C)C(=O)NC(C(=O)[O-])C(C)O
ZINC12504454	O=S(=O)([O-])O/N=C(/Cc1ccccc1)SC1CC(CO)C(O)C(O)C1O
ZINC12882304	CC(C)C(NC(=O)OC(C)(C)C)C(=O)NCC1CCC(C(=O)NC(C(=O)[O-])C(C)O)CC1
ZINC14583401	C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)[O-])C1Cc1nccc2c1[nH]c1ccccc12
ZINC15206006	O=[N+]([O-])c1ccc(OP(=O)([O-])OC2C(O)C(O)C(O)C(O)C2O)cc1
ZINC15206785	O=C(C/C=C/c1ccc(O)c(O)c1)OC1CC(O)(C(=O)[O-])CC(O)C1O
ZINC20135034	O=C(CC1SC(NC(c2ccc(O)cc2)c2c([O-])[nH]c(=O)[nH]c2=O)=NC1=O)Nc1ccc(Cl)cc1
ZINC20559667	COc1ccc(C(NC2=NC(=O)C(CC(=O)Nc3ccc(C)cc3)S2)c2c([O-])[nH]c(=O)[nH]c2=O)cc1
ZINC20559688	COc1ccc(C(NC2=NC(=O)C(CC(=O)Nc3ccccc3F)S2)c2c([O-])[nH]c(=O)[nH]c2=O)cc1
ZINC20559690	O=C(CC1SC(NC(c2ccc(O)c(O)c2)c2c([O-])[nH]c(=O)[nH]c2=O)=NC1=O)Nc1ccccc1F
ZINC21981212	CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)OC1OC(C(=O)[O-])C(O)C(O)C1O)OCC3
ZINC21992407	C/C=C/C1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
ZINC22061026	CC(C)c1cc(O)cc(C(C)C)c1OC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC22061041	CC(C)c1cc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc(C(C)C)c1O
ZINC22061047	CC(C)c1cc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc(C(C)C)c1O
ZINC22066305	O=C([O-])C1OC(Oc2cc(O)cc(/C=C\c3ccc(O)cc3)c2)C(O)C(O)C1O
ZINC31160601	C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)[O-]
ZINC31162641	CCCCCC(O)CC(CC(=O)[O-])OC1OC(CO)C(O)C(O)C1O
ZINC31162643	CCCCCC(O)CC(CC(=O)[O-])OC1OC(CO)C(O)C(O)C1O
ZINC31163371	C/C(=C/CC(COC1OC(CO)C(O)C(O)C1O)C(C)C(=O)[O-])CC1CC(C)C(=O)O1
ZINC31163417	CON1C(=O)C2=C(OC(CCCC(C)O)C(C)(O)C2O)C1CSCC(O)C(=O)[O-]
ZINC31169843	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(C(=O)[O-])C(O)C(O)C2O)ccc1O
ZINC31170339	C/C(COC1OC(CO)C(O)C(O)C1O)=C1/CCC23COC(C2)C(O)(C(=O)[O-])CCC13
ZINC34233128	CC(=O)NC1C(O)CC(Oc2ccccc2[N+](=O)[O-])(C(=O)[O-])OC1C(O)C(O)CO
ZINC35024875	CC(=O)NC1C(O)CC(O)(C(=O)[O-])OC1C(O)C(O)COc1ccc2c(C)cc(=O)oc2c1
ZINC35454983	O=C([O-])CC1CCC(=O)C1C/C=C\CCOC1OC(CO)C(O)C(O)C1O
ZINC35644601	CC(C)c1cc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc(C(C)C)c1O
ZINC20444127	C/C=C\C1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
ZINC36378487	C/C=C\C1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
ZINC03927198	C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)/C(=N\O)c3csc(N)n3)C2SC1
ZINC04701085	C/C(=N\NC(=O)C(=O)NN)c1c([O-])n(-c2ccccc2)c2ccccc2c1=O
ZINC39336787	[NH-]C1=NC(=O)C2=NC(NCCCN3CCOCC3)N(C3OC(CO)C(O)C3O)C2=N1
ZINC39560235	C=C(C(=O)[O-])C1CC(OC2OC(CO)C(O)C(O)C2O)C2(C)CCCC(C)(O)C2C1
ZINC39861914	NC(=O)CC(C(=O)[O-])N1C(=O)/C(=C/c2ccc(O)c(O)c2)SC1=S
ZINC43214526	O=C([O-])CC(=O)OCC1OC(Oc2cccc3c(=O)c(-c4ccc(O)cc4)coc23)C(O)C(O)C1O
ZINC44889070	CC(=O)NC1C(O)CC(Oc2ccc3c(C)cc(=O)oc3c2)(C(=O)[O-])OC1C(O)C(O)CO
ZINC62824706	NS(=O)(=O)CCNC(=O)Nc1ccc(I)cc1C(=O)[O-]
ZINC62825549	NS(=O)(=O)CCNC(=O)Nc1c(Br)cc(Br)cc1C(=O)[O-]
ZINC65733980	CC(=O)NC1C(O)CC(Oc2c[nH]c3ccc(Br)cc23)(C(=O)[O-])OC1C(O)C(O)CO
ZINC65734896	CC(C)(c1ccc(O)cc1)c1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)cc1
ZINC65742934	Cc1c(CO)cccc1Nc1ccccc1C(=O)OC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC65742977	CC(C)c1cc(O)cc(C(C)C)c1OC1OC(C(=O)[O-])C(O)C(O)C1O
ZINC65747913	COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OC1OC(C(=O)[O-])C(O)C(O)C1O)C(=O)OC2
ZINC65748604	O=C([O-])C1OC(Oc2cc(O)cc(/C=C\c3ccc(O)cc3)c2)C(O)C(O)C1O
ZINC65748611	O=C([O-])C1OC(Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)C(O)C(O)C1O
ZINC65748863	Cc1ccc(C(=O)c2cc(OC3OC(C(=O)[O-])C(O)C(O)C3O)c(O)c([N+](=O)[O-])c2)cc1
ZINC04672786	Nc1nnc(NC(=O)Nc2ccccc2C(F)(F)F)s1
ZINC03258180	O=C(Nc1ccc(F)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC00288629	Cc1[nH]c2ccccc2c1/C=N/NC(=O)c1cc(O)cc(O)c1
ZINC04027971	CC12CCC3C(CCC4CC(O)CCC43C)C1CC/C2=N\NC(N)=O
ZINC17525987	Cc1[nH]c2ccc(C(=O)NNC(=O)c3ccccc3O)cc2c1C
ZINC17526339	Cc1ccc(O)c(C(=O)NNC(=O)c2ccccc2O)c1
ZINC21302593	CC(Nc1ccc2c(c1)C(=O)NC2=O)c1ccc(O)cc1O
ZINC21302655	CC(Nc1ccc2c(c1)C(=O)NC2=O)c1cc(O)ccc1O
ZINC32913292	Cc1ccc2[nH]c(C(=O)Nc3ccc4[nH]c(=O)[nH]c4c3)c(Cl)c2c1
ZINC06301560	Cc1ccc(S(N)(=O)=O)cc1NC(=O)NC1CCCCC1
ZINC40371537	Cc1ncsc1C(=O)NC1(/C(N)=N/O)CCCCCCC1
ZINC40380949	Cc1ccc(O)c(C(=O)Nc2ccccc2S(N)(=O)=O)c1
ZINC40381041	Cc1ccc(C(=O)Nc2ccccc2S(N)(=O)=O)c(O)c1
ZINC42015107	Nc1cc(N)cc(-c2nnnn2C2CCCCCCC2)c1
ZINC42016665	CC1CCCC(n2nnnc2-c2ccc(N)cc2N)C1C
ZINC42016667	CC1CCCC(n2nnnc2-c2ccc(N)cc2N)C1C
ZINC42016669	CC1CCCC(n2nnnc2-c2ccc(N)cc2N)C1C
ZINC42867190	CC1CCCCC1Cn1nnnc1-c1ccc(N)cc1N
ZINC44784301	CCC(CC)(C(=O)NC1CCCC(C)C1C)/C(N)=N/O
ZINC44784303	CCC(CC)(C(=O)NC1CCCC(C)C1C)/C(N)=N/O
ZINC44785013	CC(C)CC(C)NC(=O)C1(/C(N)=N/O)CCCCCC1
ZINC44976450	CC(Nc1cc(Cl)nc(N)n1)c1ccc2c(c1)CCC(=O)N2
ZINC48644977	O=C(NNC(=O)c1cc(Br)c[nH]1)NC1CCCCC1
ZINC48646424	NC(=O)NCC1CCCN(C(=O)NC2CCCCC2)C1
ZINC48646427	NC(=O)NCC1CCCN(C(=O)NC2CCCCC2)C1
ZINC49122184	CCC1CCCCC1n1nnnc1-c1ccc(N)cc1N
ZINC49122187	CCC1CCCCC1n1nnnc1-c1ccc(N)cc1N
ZINC49150059	CCc1[nH]/c(=N/S(=O)(=O)c2ccc(O)c(N)c2)sc1C
ZINC49548274	NNc1ccc(S(=O)(=O)/N=c2\[nH]c3c(s2)CCC3)cc1
ZINC49560622	NNc1ccc(S(=O)(=O)/N=c2\[nH]c3c(s2)CCCC3)cc1
ZINC19597713	Cc1n[nH]c(O)c1C(c1ccccc1Cl)c1c(O)n[nH]c1C
ZINC50428748	Cc1ccc(C#N)cc1NC(=O)c1n[nH]c(C(C)C)c1N
ZINC50508421	CC([NH2+]C(C(=O)[O-])c1ccccc1)c1cc(O)ccc1O
ZINC51113294	NNc1ccc(Cl)c(C(=O)Nc2nc3c(s2)CCCC3)n1
ZINC51121305	NNc1ccc(Cl)c(C(=O)Nc2nc3c(s2)CCC3)n1
ZINC51173179	N/C(=N\O)C(NC(=O)c1ccc(Cl)s1)C1CCCCC1
ZINC51813695	Cc1cccnc1C(=O)NC1(/C(N)=N/O)CCCCCC1
ZINC53732832	O=C(NNC(=O)c1ccc(O)cc1)Nc1ccccc1Cl
ZINC53733663	CC(NC(=O)Nc1ccccc1F)c1ccc2[nH]c(=O)[nH]c2c1
ZINC53733665	CC(NC(=O)Nc1ccccc1F)c1ccc2[nH]c(=O)[nH]c2c1
ZINC59147105	O=C(N/N=C/c1c(O)cc(O)cc1O)c1ccccc1Cl
ZINC59165792	O=C(N/N=C/c1c(O)cc(O)cc1O)c1ccc(F)cc1
ZINC18126213	Cc1ccc(N/C(N)=N/c2nc(=O)c3c([nH]2)CCCC3)c(C)c1
ZINC62191413	CC(Cc1ccccc1)NC(=O)C1(/C(N)=N/O)CCCC1
ZINC15404646	NC(=O)c1cc(C2=NN/C(=N\c3ccccc3)SC2)ccc1O
ZINC00478457	Oc1ccc(/C=N/[NH+]=C(/[S-])Nc2ccccc2)c(O)c1
ZINC00478457	Oc1ccc(/C=N/NC(=S)Nc2ccccc2)c(O)c1
ZINC63269078	CC1CCc2[nH]c3c(C(=O)NNC(=O)NC(C)C)cccc3c2C1
ZINC63399166	O=C(NNC(=O)NC1CCCCC1)Nc1cc(F)cc(F)c1
ZINC64354361	O=C(NNC(=O)c1c[nH]c2cc(Cl)ccc12)c1ccccc1O
ZINC65189839	CCNC(=O)NNC(=O)c1cccc2c3c([nH]c12)CCC(C)C3
ZINC04860690	CC1([NH2+]CCO)CC2C(C/C1=N\O)C2(C)C
ZINC20256767	CC(C)(C)NC(=O)NCC1CCCC[NH2+]1
ZINC20434396	O=C(Nc1cc(F)cc(F)c1)C1CC(O)C[NH2+]1
ZINC20476394	O=C(Nc1c(F)cccc1F)C1CC(O)C[NH2+]1
ZINC20476396	O=C(Nc1c(F)cccc1F)C1CC(O)C[NH2+]1
ZINC36264810	[NH3+]C1CC1NS(=O)(=O)c1ccccc1
ZINC36899913	CCc1cc2c(NC3CC3[NH3+])ncnc2s1
ZINC37000960	O=C(NC1CCCC(O)C1)C1CCC[NH2+]C1
ZINC38000696	NC(=O)C(C1CCCCC1)[NH+]1CCCNCC1
ZINC38048960	Cc1occc1C(=O)NC1CCCCC1[NH3+]
ZINC38075171	O=C(CC1CC[NH2+]CC1)NC1CCCC(O)C1
ZINC37249858	CC(C)C(C)[NH2+]C1CCN(C(N)=O)CC1
ZINC40820482	[NH3+]CC(=O)N1CCCC1c1c[nH]c2cccc(F)c12
ZINC40922559	Cc1cc2c(o1)CC(C)(C)CC2NC(=O)C(C)(C)[NH3+]
ZINC41058872	CC([NH3+])Cc1n[nH]c(C2CCCCC2)n1
ZINC42438582	NC(=O)CC1CC[NH+](C2CCCC2O)CC1
ZINC43516240	CC1CCCC([NH+](C)C(C)/C(N)=N/O)C1
ZINC43516242	CC1CCCC([NH+](C)C(C)/C(N)=N/O)C1
ZINC44763212	[NH3+]CC1(C(=O)N2CCCCC2CO)CCCC1
ZINC49547238	CC(O)c1ccccc1NC(=O)C1CCC[NH2+]1
ZINC50395991	O=C1NCCCC1[NH2+]CC1(O)CCCCC1
ZINC50586915	Cc1nn(CC(C)C(N)=[NH2+])c(C)c1Cl
ZINC51632288	O=C(NC1CCc2ccccc2C1)C1CC(O)C[NH2+]1
ZINC51732367	CC1CC[NH+](CC(C)/C(N)=N/O)C(C)C1
ZINC51732368	CC1CC[NH+](CC(C)/C(N)=N/O)C(C)C1
ZINC51997427	Cc1n[nH]c(C)c1C[NH2+]C1CCCCC1O
ZINC54344909	Cc1sc(NC(=O)C(C)C[NH3+])c(C#N)c1C
ZINC54402481	CCC(C)(C)C([NH3+])c1ccc2[nH]c(=O)oc2c1
ZINC55087761	[NH3+]C1CCCCC1C(=O)NC1CCOCC1
ZINC55091398	CC1CC([NH3+])CCC1C(=O)N1CCCC(CO)C1
ZINC55130909	CC(O)CN(C)C(=O)C1CCCC([NH3+])C1C
ZINC41027877	[NH3+]C1CCCN(C2COc3cc(O)ccc32)C1
ZINC41029896	CC(C)(C)NC(=O)CN1CCCC([NH3+])C1
ZINC49565255	CC(NC1CC[NH+]2CCCCC12)C(N)=O
ZINC58852785	CC1CCCC(C)[NH+]1C(C)CC(=O)NN
ZINC61148904	CC1CCC([NH3+])CC1C(=O)NCC1CCOC1
ZINC61820232	CC(C[NH+]1CCC(C)(C)CC1)/C(N)=N/O
ZINC61844109	CC1CCCC(c2nc(CC[NH3+])n[nH]2)C1
ZINC62116500	CC(O)c1ccccc1NC(=O)C1CC[NH2+]C1
ZINC62209375	[NH3+]C1CC(=O)N(C2CC2)C1c1c[nH]c2ccccc12
ZINC62539121	[NH3+]CCC1Oc2c(Cl)ccc(Cl)c2NC1=O
ZINC62812415	O=C(Nc1ccc(F)c(F)c1F)C1C[NH2+]CCN1
ZINC62812759	O=C(NCC1CCCC1)C1C[NH2+]CCN1
ZINC62814694	CC1CNC(C(=O)NCC(C)(C)C)C[NH2+]1
ZINC62860940	CC1(C(=O)NC2CCCCC2O)CCC[NH2+]C1
ZINC63172561	CC(C)n1cccc1C(=O)NC1CCCC1[NH3+]
ZINC63172562	CC(C)n1cccc1C(=O)NC1CCCC1[NH3+]
ZINC63210571	[NH3+]C1CCCCCC1NC(=O)C1CCOC1
ZINC63211415	Cc1ncsc1C(=O)NC1CCCCCC1[NH3+]
ZINC66146681	CC(O)CNC(=O)C1CCCC(C)[NH2+]1
ZINC05847299	[NH3+]C1CCC2(O)c3ccccc3C2C1
ZINC04272306	CC1CCC(C(C)(C)[NH3+])C(O)C1
ZINC04284391	CC1(C)CC([NH3+])C(C)(C)N1O
ZINC05510060	C[NH+]1CCC(=NNC(N)=S)CC1
ZINC19088348	[NH3+]CCc1n[nH]c2c1CCCC2
ZINC13468362	CC([NH3+])C12CC3CC(CC(O)(C3)C1)C2
ZINC19167324	CC1CCC(C(C)C)C([NH2+]N)C1
ZINC19169449	CC1CCC(C(C)C)C([NH2+]N)C1
ZINC19169452	CC1CCC(C(C)C)C([NH2+]N)C1
ZINC19202619	CC1(C)CC([NH3+])CC(C)(C)N1
ZINC19403888	CC(C)(C)C1CCCCC1[NH2+]N
ZINC02391811	[NH3+]CC1(O)CCCc2ccccc21
ZINC19727248	[NH3+]CC1(O)CCCc2ccccc21
ZINC20256203	CC(C)(C)NC(=O)N1CCC([NH3+])CC1
ZINC20442322	[NH3+]C12CC3CC(C1)CC2(O)C3
ZINC22164798	NC(=O)C1CCCC2CCC[NH2+]C21
ZINC28222825	[NH3+]CC1(O)CCCCCCC1
ZINC34811772	Cc1cccc2c1NC1(CC[NH2+]CC1)NC2=O
ZINC02330811	CC1CC(C)CN(C(N)=[NH2+])C1
ZINC36234374	CC(C)(C)C(=O)NC1CC1[NH3+]
ZINC36235000	CC(C)=CC(=O)NC1CC1[NH3+]
ZINC37916251	NC(=O)N1CCCC1C1CC[NH2+]CC1
ZINC38251237	CC1(C)C2CCC1(C)C(O)C2[NH3+]
ZINC39048445	CC1=CC=CC2(N)C[NH2+]CC12
ZINC39059606	CC1(C)C2CCC1C(O)C2[NH3+]
ZINC39065020	CC1(C)CCC(C(N)=O)[NH2+]C1
ZINC35278849	CC1CC(C)(C)CC(O)(C[NH3+])C1
ZINC39942739	CC1(C)CC(O)CC(C)(C[NH3+])C1
ZINC40174149	NNC1=[NH+]C2CCCCC2S1
ZINC41036526	Cc1nc(C2([NH3+])CCCC(C)C2)n[nH]1
ZINC42608146	CC1CCCCC1N(C)C(N)=[NH2+]
ZINC43323510	[NH3+]C1CC1N1CCCNC1=O
ZINC43515260	CC(C(N)=[NH2+])N1CCSCC1
ZINC43515774	CC1CCC[NH+](C(C)/C(N)=N/O)C1
ZINC44463513	CC([NH3+])Cc1cc(F)cc2cc[nH]c12
ZINC45046897	CC1(NC(=O)C[NH3+])CCCCC1
ZINC39062280	Cc1[nH]c(C=O)c(C)c1C[NH3+]
ZINC52268428	CC1CC1NC(=O)C1CC1[NH3+]
ZINC55122376	CNC(=O)C1CCCC([NH3+])C1C
ZINC55127316	CC1C([NH3+])CCCC1C(=O)N1CCCC(O)C1
ZINC57218923	[NH3+]C1CCCC(O)(C(F)(F)F)C1
ZINC57218934	[NH3+]C1CC2CC(O)(C(F)(F)F)CC2C1
ZINC40750464	CC(C)(O)CN1C2CCC1CC([NH3+])C2
ZINC60264803	CN/C(=[NH+]/N)C1CCCCO1
ZINC61820342	CC(C(N)=[NH2+])N1CCC(C)(C)CC1
ZINC62670157	CC1CCC2(CC1)CC2(C[NH3+])CO
ZINC63174026	[NH3+]C1CCCC1NC(=O)C1CCC1
ZINC63176792	[NH3+]C1CCCC1Nc1ncccn1
ZINC63176833	[NH3+]C1CCCC1Nc1nccs1
ZINC63178134	[NH3+]C1CCCC1N1CCCNC1=O
ZINC04337571	O=C([O-])CNC(=O)CC1S/C(=N/N=C/C=C/c2ccccc2)NC1=O
ZINC05061263	CCOc1cc(/C=N/N=C2\NC(=O)C(CC(=O)[O-])S2)ccc1O
ZINC04095938	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COS(=O)(=O)[O-]
ZINC09489180	CC1(C)C(=O)N=C(S)NN1C(CC(=O)[O-])C(=O)Nc1ccccc1F
ZINC13031465	Cn1cccc1C(=O)NNS(=O)(=O)c1ccc(Cl)c(C(=O)[O-])c1
