ZINC02004002	CC(C)([NH3+])Cc1ccc(Br)cc1
ZINC61099787	N#Cc1cc(N)cnc1Nc1cc(F)c(F)c(F)c1
ZINC61564082	CCCc1nc(-c2cc(F)c(F)cc2N)n[nH]1
ZINC62531817	CCC1Oc2c(N)cc(C(C)C)cc2NC1=O
ZINC62535704	CC(C)Cc1cc(N)c2c(c1)NC(=O)C(C)CO2
ZINC62537120	CCC1Oc2c(N)c(C)c(Cl)c(C)c2NC1=O
ZINC62539078	CCC1Oc2c(Cl)c(N)cc(Cl)c2NC1=O
ZINC62539820	CC1(C)COc2c(cc(N)cc2C(C)(C)C)NC1=O
ZINC62794340	CC1CCCCN1c1ccc(/C(N)=N/O)cc1Cl
ZINC65347896	CSc1ccc(-c2c[nH+]c(N)cc2C(=O)[O-])cc1
ZINC06843285	CCNC(=S)N1N=C(C)C2C3C(CC21O)C3(C)C
ZINC17220162	CC(=O)OC12CCCCC1C1(O)C(O)CCCCC21
ZINC17445535	CC1CC1C(=O)NNC(=O)c1cc2c(s1)CCC2
ZINC19230664	Cc1ccc(N)cc1S(=O)(=O)N1C(C)CCCC1C
ZINC19869043	Nc1cc2c(cc1Oc1ccccc1F)OCCO2
ZINC13040913	O=C(NN1CCCCC1)C12CC3CC(CC(O)(C3)C1)C2
ZINC34938124	CC1CCCC(NC(=O)NC(=O)CCCl)C1C
ZINC34938126	CC1CCCC(NC(=O)NC(=O)CCCl)C1C
ZINC35280783	CC(C)C1(C)CC(=O)N(c2ccc(Cl)cc2N)C1=O
ZINC35324105	Nc1nc(-c2ccccc2)c(N2CCOCC2)s1
ZINC35343886	N#Cc1cccc(Oc2ccc3cc(N)ccc3n2)c1
ZINC35737293	Cc1nc(N)c2c(C)c(C)n(C(C)c3cccs3)c2n1
ZINC36867328	Nc1ccc2cnn(Cc3cccc4cccnc34)c2c1
ZINC37063189	Cc1cc(N)ccc1S(=O)(=O)N1CC(C)CC(C)C1
ZINC37124107	CC(Nc1ccc2c(c1)CCC(=O)N2)c1cccnc1
ZINC37265379	Cc1nc(N)c2c(C)c(C)n(C(C)CC(C)C)c2n1
ZINC37746286	Cc1ccc(O)c(NS(=O)(=O)c2cccs2)c1
ZINC40294435	CN(C)c1ccc(N)cc1C(=O)N1CCc2ccccc21
ZINC40455937	Nc1cnc(Oc2ccc(Br)cc2)nc1
ZINC40514911	Cc1cc(C)c(C(N)=S)c(-n2nc(C)cc2C)n1
ZINC40516016	N#Cc1ccc(Cn2cc(Br)c(N)n2)c(F)c1
ZINC41067714	CC1CCCC(C)N1S(=O)(=O)c1cc(N)cs1
ZINC41144235	CN1CCOc2cc(C(=O)c3ccc(N)cc3)ccc21
ZINC42143880	Nc1ccc2nc(Sc3ncccc3Cl)oc2c1
ZINC45147453	CC1CCCC(C)N1S(=O)(=O)c1c(N)cccc1F
ZINC48413523	COCCc1nc(N)c2c3c(sc2n1)CCCC3
ZINC48608176	CCC1CCCN(c2ncc(C(N)=O)cc2Cl)C1
ZINC48630109	O=c1[nH]c2ccc(C(Br)C3CCOC3)cc2[nH]1
ZINC49449731	O=C(Nc1cc[nH]n1)C1CCCC(C(F)(F)F)C1
ZINC49499702	CC(C)=CC1C(C(=O)NC2CCCNC2=O)C1(C)C
ZINC50563068	CCCn1cc(N)cc1C(=O)N1CCCC(C)C1C
ZINC50972368	O=c1[nH]c2ccc(C(Cl)C3CCCCO3)cc2[nH]1
ZINC50972370	O=c1[nH]c2ccc(C(Cl)C3CCCCO3)cc2[nH]1
ZINC51331072	Cc1ccnc(Sc2ncc(Br)cc2N)n1
ZINC51728636	CC1CCN(C(=O)c2cc(N)cn2C(C)C)C(C)C1
ZINC44510441	Nc1nc2cc(Cl)ccc2n1CCC1CCCO1
ZINC44510446	Nc1nc2cccc(Cl)c2n1CCC1CCCO1
ZINC52756480	Nc1ncccc1CSc1ncnc2ccccc12
ZINC53095579	Cc1oc(C)c(C(=O)NC2(CO)CCCCC2)c1C
ZINC53170375	COC1CCCC1n1c(N)nc2ccc(F)c(F)c21
ZINC54398016	CC1CCCCC1N(C)c1nccnc1C(N)=S
ZINC54931925	Cc1nnc(Oc2cc(F)cc(F)c2)c(CN)c1C
ZINC55175627	Cc1nc(N)sc1C(=O)N(C)C1CCCC(C)C1
ZINC58105634	CC1(C)C(=O)Nc2c(C(O)C3CCCO3)cc(Cl)cc21
ZINC44471061	NCC#Cc1ccc(CN2C(=O)c3ccccc3C2=O)s1
ZINC61663786	NC(=S)c1ncccc1Cn1ncc2ccccc21
ZINC61819071	CC1(C)CCN(S(=O)(=O)c2cc(N)cs2)CC1
ZINC62365275	Nc1c(Cl)ncnc1Oc1cc(F)cc(F)c1
ZINC62428775	Cc1ccc(-c2cnnn2-c2cccc(N)c2)c(C)c1
ZINC62778963	O=C1CCc2cc(C(Cl)c3ccn[nH]3)ccc2N1
ZINC00332317	Cc1c(N)c(C(C)(C)C)cc(C(C)(C)C)c1NC=O
ZINC01418793	NNc1c(Cl)c(Cl)nc(C(F)(F)F)c1Cl
ZINC19267291	Nc1ccc(NC(=O)CC2CC3CCC2C3)c(Cl)c1
ZINC19283009	Cc1c(N)cccc1NC(=O)CC1CC2CCC1C2
ZINC19866406	N/C(=N\O)c1ccc(Sc2ccccc2Cl)cc1
ZINC20396398	Cc1ccc2[nH]c(SCc3ccc(N)cc3)nc2c1
ZINC20472018	Cc1cccc(N)c1C(=O)Nc1cccc(Cl)c1F
ZINC20476187	CC(Nc1c(F)cccc1F)c1cc(O)ccc1O
ZINC21989216	CC(C)CNc1c(N)c(Cl)nc2ccccc12
ZINC31991021	Nc1cccc2c(-c3ccc(F)c(F)c3F)n[nH]c12
ZINC35343658	Nc1ccc2nc(NC3CCCCCC3)ccc2c1
ZINC35345842	Cc1ccc(Sc2cc3c(cc2N)CC(=O)N3)cc1C
ZINC35412226	Nc1cccc(F)c1-c1nc2cc(F)c(F)cc2[nH]1
ZINC36226318	CC1CCCCC1Nc1ncc(Br)cc1N
ZINC36916195	CCc1c(-c2ccc(Br)cc2F)n[nH]c1N
ZINC37734209	Cc1ccccc1Sc1ccc(/C(N)=N/O)cc1C
ZINC38040204	Nc1cc(F)c(Nc2cccc3cnccc23)c(F)c1
ZINC40292095	CCC(C)(C)NC(=O)c1cc(N)c(Cl)c(Cl)c1
ZINC40311644	CC1(C)C2CCC1(C)C(NC(=O)c1sccc1N)C2
ZINC40713706	CC1CCCC(Nc2ncc(Br)cc2N)C1
ZINC41020502	CSc1ccc(Nc2ccc(N)cc2C#N)cc1
ZINC42176028	CC1(NC(=O)c2cc3cc(N)ccc3s2)CCCC1
ZINC42586476	CC(Nc1ncccc1N)c1ccc(Cl)s1
ZINC43396419	Cc1ccc(C(N)=S)c(Nc2ccccc2Cl)n1
ZINC44748182	Cc1cc(N)ccc1C(=O)Nc1cccc2c1CCCC2
ZINC45888617	Cc1cc2nc(NN)sc2c(C)c1Br
ZINC45891453	CCCC(=O)Nc1cc(Cl)c(N)cc1Cl
ZINC45920010	Nc1ccc(O)c(-c2nc3ccc(F)cc3s2)c1
ZINC45957885	Cc1cc(Br)c(C)c2sc(NN)nc12
ZINC50121562	CCN1C=[NH+]C(c2c(Cl)cccc2Cl)C1=[NH2+]
ZINC50368745	COC1CCCC1Nc1ccc(Br)cc1N
ZINC50986187	CC1=[NH+]C(c2cc(Cl)cc(Cl)c2)C(=[NH2+])N1C
ZINC50986350	CCN1C(=[NH2+])C(c2ccc3ccccc3c2)[NH+]=C1C
ZINC50987234	CC1=[NH+]C(c2ccc(F)c(C)c2)C(=[NH2+])N1CC(C)C
ZINC50988046	CCC1=[NH+]C(c2cccc(Cl)c2Cl)C(=[NH2+])N1C
ZINC50988131	CCC1=[NH+]C(c2ccc(F)cc2F)C(=[NH2+])N1CC
ZINC50999872	CN1C(=[NH2+])C(c2ccc3ccccc3c2)[NH+]=C1C1CC1
ZINC50999924	CN1C(=[NH2+])C(c2ccc(Cl)c(F)c2)[NH+]=C1C1CC1
ZINC52060940	Nc1ccc(NCc2cccc3ccccc23)nc1
ZINC52098959	CC(O)(CN1CCCc2c(N)cccc21)c1ccccc1
ZINC52202155	CCc1ccccc1C1[NH+]=C(c2ccccc2)N(C)C1=[NH2+]
ZINC53005161	CCC1CCCCC1NC(=O)c1cc(C)ccc1N
ZINC57593017	Cc1nc(NN)sc1-c1ccc(Br)cc1
ZINC60280354	CCN1C(=[NH2+])C(c2c(F)cccc2F)[NH+]=C1C1CC1
ZINC60280389	CCN1C(=[NH2+])C(c2ccc(Cl)c(F)c2)[NH+]=C1C1CC1
ZINC60280540	Cc1cccc(C2[NH+]=C(C3CC3)N(C3CC3)C2=[NH2+])c1C
ZINC61629881	NNc1cc(C(F)F)nc2c(F)cc(Cl)cc12
ZINC61848845	NC(=S)c1ccc(Nc2cccnc2)cc1Cl
ZINC62152878	Nc1ccc(-c2nc3cc(Cl)c(F)cc3[nH]2)cc1
ZINC63104642	CC(Nc1nc2ccc(N)cc2s1)c1ccsc1
ZINC08699373	Nc1ccc2c(c1)ncn2Cc1ccc(Br)cc1
ZINC16124430	COC(=O)c1cc(Br)c(N)c(Br)c1
ZINC19870446	COC(=O)c1c(N)sc2c1-c1ccccc1SC2
ZINC19929999	COc1c(Cl)ccc(Cl)c1C(N)c1nccs1
ZINC22150607	CC1CN(c2ccc(N)c(C(F)(F)F)c2)CC(C)O1
ZINC37074563	O=C1CCc2cc(F)c(NC3CCSCC3)cc2N1
ZINC37261690	Cc1n[nH]c(C)c1NC1CCSc2ccc(Cl)cc21
ZINC37600081	Nc1ccc(F)c(-c2nc3c(F)cccc3n2C2CC2)c1
ZINC37677332	Cc1cnn(-c2ccc(C(N)=S)c(C(F)(F)F)c2)c1
ZINC37906418	Cc1cc(Br)ccc1NC(C)c1cc[nH]n1
ZINC39308729	CC1c2cc(O)c(O)cc2CCN1Cc1ccccc1F
ZINC40232772	CC1CCCCC1NC(=O)c1ccc(C#CCCO)s1
ZINC40255173	O=C1Cc2cc(C(O)c3ccc(Cl)cc3Cl)ccc2N1
ZINC40261230	O=C1CCCc2cc(C(O)c3ccccc3F)ccc2N1
ZINC40261316	Cc1ccsc1C(O)c1ccc2c(c1)CCCC(=O)N2
ZINC40262683	Cc1ccc(C(O)c2cc3c(cc2Cl)NC(=O)C3)cc1F
ZINC40262840	Cc1ccsc1C(O)c1cc2c(cc1Cl)NC(=O)C2
ZINC40516071	Nc1nn(Cc2ccc(Cl)s2)cc1Br
ZINC40714042	Nc1cc(Br)cnc1SCc1ccco1
ZINC41481591	Cc1ccc(-n2nc(C3CC3)cc2N)cc1Br
ZINC42143968	Cc1cc(C)c(C#N)c(Sc2c(F)cc(N)cc2F)n1
ZINC43410910	NC(=S)c1cc2c(nc1N1CCCSCC1)CCCC2
ZINC43513243	CC(C#N)Oc1c(N)cc(Cl)cc1Br
ZINC43665395	Nc1c(Cl)cnn1Cc1ccc(F)c(Br)c1
ZINC43666183	CC(c1ccccc1F)n1ncc(Br)c1N
ZINC43666185	CC(c1ccccc1F)n1ncc(Br)c1N
ZINC43666735	CC(c1ccccc1)n1ncc(I)c1N
ZINC45064043	Cc1c(N)cc(C(=O)N2CCCC2C2CCCC2)cc1F
ZINC48970143	CC1CCC(N(C)c2ccc3scnc3c2N)CC1
ZINC49686438	Cc1cc(CNc2ccc3c(c2)CCC(=O)N3)c(C)s1
ZINC50588710	Cc1nn(Cc2cccc(N)c2C)c(C)c1Br
ZINC50696662	CC1CCCC(C)N1C(=O)c1ccc(N)c(C(F)(F)F)c1
ZINC51172880	O=C1CCc2cc(C(O)c3ccc(Cl)s3)ccc2N1
ZINC52841980	CC(c1ccccc1)n1c(C2CC2)nc2cc(N)ccc21
ZINC52884133	CC(C)c1ccn(-c2ccc(N)cc2Br)n1
ZINC53161434	Cc1nc2cc(N)ccc2n1Cc1ccc(F)c(Cl)c1
ZINC57598772	Cc1ccc(NC(=O)C(O)c2ccc(F)c(C)c2)c(C)c1
ZINC58019406	CCC(C)c1ccccc1N1Cc2c(N)cccc2C1=O
ZINC58089599	CC1(C)C(=O)Nc2ccc(C(O)Cc3cccs3)cc21
ZINC58113569	CCc1cc(C(O)c2cccc(C)c2)cc2c1NC(=O)CC2
ZINC42072983	O=C1Nc2cc(Cl)ccc2C1Nc1cccc(F)c1F
ZINC42074900	C#Cc1cccc(NC2C(=O)Nc3c2ccc(C)c3C)c1
ZINC48750526	CC1CCCC(NC2C(=O)Nc3cccc(Cl)c32)C1
ZINC43681260	Cc1nn(Cc2ccccc2C(F)(F)F)c(N)c1Cl
ZINC43667824	Cc1nn(Cc2cc(Br)cs2)c(N)c1Cl
ZINC61850358	NC(=S)c1ccc(-n2ccc(C3CC3)n2)cc1Cl
ZINC58104734	CC1C(=O)Nc2c1cc(Cl)cc2C(O)c1ccccc1F
ZINC62795896	NC(=S)c1ccc(N2CCOC3CCCC32)c(Cl)c1
ZINC62951593	CCC1(CC)CCN(C(=O)c2ccc(Cl)c(N)c2)CC1
ZINC66590962	CC1CC(CC(=O)NC2CCC(O)CC2)CC(C)(C)C1
ZINC05379116	Cc1cc(O)ccc1/N=C/c1cc(Br)ccc1O
ZINC14457277	COc1ccc(C2Nc3c(C)ccc(Cl)c3C3C=CCC32)cc1O
ZINC20353434	Nc1cccc(Cl)c1N1CCN(c2ccccc2F)CC1
ZINC20689853	CCC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(C)s1)N2
ZINC31943673	NC(=S)Cn1c(-c2ccccc2)nc2cc(Cl)c(Cl)cc21
ZINC31916480	Cc1cccn2c(CC(N)=S)c(-c3ccc(C(C)C)cc3)nc12
ZINC35342921	Cc1nc2cc(Oc3ccccc3Br)c(N)cc2s1
ZINC36286034	CC(C)n1c(-c2ccc(F)c(F)c2F)nc2c(N)cccc21
ZINC36916313	CCc1c(-c2ccc(I)cc2)nn(C)c1N
ZINC36936660	Nc1onc(C2CCCC2)c1-c1ccc(Br)cc1
ZINC37124064	O=C1CCc2cc(NCc3ccc(Br)s3)ccc2N1
ZINC37194790	Nc1cc(F)ccc1SCc1csc(-c2ccco2)n1
ZINC37204182	Nc1cccc(Cl)c1SCc1cnn(-c2ccccc2)c1
ZINC37205574	Nc1cc(Br)ccc1SCc1nc2ccccc2o1
ZINC37317248	Clc1ccc2c(c1)C(Nc1ccc3cn[nH]c3c1)CCS2
ZINC37388841	CC(C)(C)NC(=O)CNc1ccc(Br)cc1Cl
ZINC36667376	Cc1ccc(N)c(Oc2ncc(C(F)(F)F)cc2Cl)c1
ZINC37886063	N#Cc1ccc(NCC(O)c2ccc(Cl)cc2)cc1Cl
ZINC38117847	OCC1(Nc2ccc(Br)cc2)CCOc2ccccc21
ZINC39197591	CC1c2cc(O)c(O)cc2CCN1Cc1ccc(Cl)cc1Cl
ZINC39197592	CC1c2cc(O)c(O)cc2CCN1Cc1ccc(Cl)cc1Cl
ZINC40477100	N#Cc1ccc(NCc2cc(Br)ccc2O)cc1
ZINC41088132	CC1CCCC(OC(=O)c2ccc(Br)c(N)c2)C1
ZINC41204331	CCc1ccc(C(C)Nc2ccc3c(c2)NC(=O)CS3)s1
ZINC42142718	Nc1ccc2nc(SCc3ccc(Br)cc3)oc2c1
ZINC42143778	Nc1ccc2nc(Sc3ccc(Br)cn3)sc2c1
ZINC43233035	O=C(Nc1ccc(F)c(F)c1F)NC1CCCC(C(F)(F)F)C1
ZINC43569623	Nc1ccnc(Oc2ccc3ccccc3c2Br)c1
ZINC43666562	Cc1cc(C)c(Cn2ncc(I)c2N)c(C)c1
ZINC20898858	O=C(CC1C=CCC1)NNc1c(Cl)cc(Cl)cc1Cl
ZINC48814462	CCn1c(-c2ccc(N)cc2Cl)nc2cccc(Cl)c21
ZINC49566660	COc1ccc(Br)cc1NCC1(O)CCCCC1
ZINC49853149	Cc1ccc(C(C)n2ncc(I)c2N)cc1C
ZINC49979367	CCc1ccc(N(C)c2ncc(Br)cc2N)cc1
ZINC50309434	Nc1sc(C2CCCC2)nc1-c1ccccc1OC(F)F
ZINC50846966	Nc1nc(Cc2c(Cl)cccc2Cl)nc2c1CCCC2
ZINC53106897	CC1CCCC(CO)(NC(=O)/C=C/c2ccccc2Cl)C1
ZINC54433294	Nc1nn(Cc2ccccc2Br)c2ccccc12
ZINC58101031	Cc1ccc(C(O)c2cc3c(c(C)c2C)NC(=O)C3(C)C)cc1
ZINC58433070	CCn1c(C(N)c2ccc(Br)cc2)nc2ccccc21
ZINC42080156	Cc1ccc(F)cc1NC1C(=O)Nc2c(Br)cccc21
ZINC42109306	O=C1Nc2c(Cl)cccc2C1Nc1ccc(Br)cc1
ZINC42119368	Cc1c(Cl)cccc1NC1C(=O)Nc2cc(F)cc(F)c21
ZINC42134473	O=C1Nc2cc(F)cc(F)c2C1Nc1ccc(Cl)c(Cl)c1
ZINC43668565	CCCC(c1ccccc1)n1nc(C)c(Br)c1N
ZINC61365078	CC(c1ccsc1)n1c(N)nc2cc(Br)ccc21
ZINC61876920	CCc1oc2ccccc2c1C(N)c1cncc(Br)c1
ZINC62215412	Nc1nc2c(s1)CN(C(c1ccccc1)c1ccccc1)C2
ZINC62609808	Cc1ccc(-c2noc(N)c2-c2ccc(F)cc2Cl)s1
ZINC19921072	O=C1Nc2ccc(Br)cc2C1Nc1ccc(Cl)cc1
ZINC00296018	CC(C)(C)C(C)(O)C#CC[NH+]1CCCCC1
ZINC11950454	CC1C[NH2+]C2(CCC(C(C)(C)C)CC2)CO1
ZINC16036476	CC(O)C#CC[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC19963160	CC1CCCC([NH2+]C2CCN(C)CC2)C1C
ZINC20354408	CC1C[NH+]=C(NC2CCCC2)S1
ZINC22010586	Cc1c(Cl)ccc2c1N1C(C)C[NH2+]CC1C2
ZINC23477003	CCC1CN(C2CCCCC2)CC[NH2+]1
ZINC35653346	C[NH2+]C1COc2c(C)c(C)cc(C)c21
ZINC35653453	Cc1ccc(C)c2c1OCC2[NH2+]C1CC1
ZINC35653674	Cc1ccc2c(c1C)OCCC2[NH2+]C1CC1
ZINC35657732	Cc1ccc(Cl)c2c1C([NH2+]C1CC1)CO2
ZINC35753660	C[NH2+]C1c2cc(Cl)cc(C)c2OCC1C
ZINC35755255	C[NH2+]C1c2c(C)ccc(Cl)c2OCC1C
ZINC36141885	Cc1cc2c(cc1Cl)C=CC1(CC[NH2+]C1)O2
ZINC36467301	OC1CCCCCC1C[NH+]1CCCCC1
ZINC36986474	CC1COC(C23CC4CC(CC(C4)C2)C3)C[NH2+]1
ZINC37241988	C[NH2+]C1CCN(c2cc(F)cc(F)c2)C1
ZINC37248716	CC1CCCC(C)C1[NH2+]C1CCN(C)CC1
ZINC37490950	OC1CCCCC1[NH+]1CCCC2CCCCC21
ZINC37743333	CCCC1CCC2OCC(C)(C)[NH2+]C2C1
ZINC37901966	C[NH2+]C1COc2c(Cl)cc(F)cc21
ZINC38086629	CC(C)(C)C1CCCCC1N1CC[NH2+]CC1
ZINC39112489	C1CCC2(CC1)[NH2+]C1(CCCC1)CO2
ZINC13862244	Cc1ccc(Cc2c[nH]c[nH+]2)s1
ZINC36499733	OC12CC3CC(C1)C([NH+]1CCCCC1)C(C3)C2
ZINC41062363	CCc1ccc(C2C[NH2+]C(C)CO2)s1
ZINC41062364	CCc1ccc(C2C[NH2+]C(C)CO2)s1
ZINC41247056	CC1(C)CN(c2ccc(F)c(F)c2)CC[NH2+]1
ZINC43634178	CC[NH2+]C1c2ccc(C)c(C)c2OC1C
ZINC43635228	CCc1cccc2c1OC(C)C2[NH2+]C
ZINC43635533	C[NH2+]C1c2c(C(C)C)ccc(C)c2OC1C
ZINC44417867	CC1CCCCC1C[NH+]1CCCNCC1
ZINC22911392	CN1CC(C)(C)[NH2+]C2(CCCCC2)C1
ZINC49851088	CC[NH2+]C1c2c(C)ccc(C)c2OC1C
ZINC43641853	C[NH2+]C1c2cccc(C(C)C)c2OC1C
ZINC50331302	CCc1nc2c(s1)C([NH2+]C)CC(C)(C)C2
ZINC50844294	CCNc1cc[nH+]c2c(C)ccc(C)c12
ZINC50869140	CNc1cc(C)[nH+]c2c(F)ccc(Cl)c12
ZINC50869279	CNc1c(C)c(C)[nH+]c2c(F)ccc(C)c12
ZINC50869836	CCc1cc(NC)c2c(F)ccc(F)c2[nH+]1
ZINC50870362	CNc1c(C)c(C)[nH+]c2c(F)cc(C)cc12
ZINC53067519	CC1CC1NC1=[NH+]C2(CCCC2)CS1
ZINC53098392	C1CCC2(CC1)CSC(NC1CCC1)=[NH+]2
ZINC53881813	CC1CCC[NH+](CC2CCCCC2O)C1
ZINC53881833	OC1CCCCC1C[NH+]1CCCCCC1
ZINC54828374	CC1(C)CC1[NH2+]C1CCCCCC1C#N
ZINC62521336	Cc1ccc2c(c1C)OCC(C)C[NH2+]2
ZINC62568321	CCC(C)N1CC(C)(C)[NH2+]CC1(C)C
ZINC62994048	CC1(C)CCN(C(=[NH2+])C2CCCC2)CC1
ZINC63073562	CC1(C)CCC[NH+]1CC1CCCCC1O
ZINC00089878	C1=CCC(C2OCC3(CO2)COC(C2CC=CCC2)OC3)CC1
ZINC04487444	Cc1ccc(-c2nn3c(C(F)(F)F)nnc3s2)cc1
ZINC05008337	N#CC(C#N)=Cc1cn(Cc2ccccc2C#N)c2ccccc12
ZINC02231232	CCCCc1nc2c3c4c(sc3ncn2n1)CCCC4
ZINC03430360	CC1CCCN(c2nc(-c3cccnc3)nc3ccccc23)C1
ZINC06263632	CC1CCN(C(=O)c2noc3c2CC(C(C)(C)C)CC3)CC1
ZINC06301574	C#CCn1/c(=N/C(=O)c2ccco2)sc2cccc(F)c21
ZINC06811693	O=c1cc(N2CCCCC2)nc2scc(-c3ccccc3)n12
ZINC12370488	CC(C)(C)OC(=O)n1ncc2cc(Br)ccc21
ZINC20469111	CC1CCCC(C)N1c1ccc([N+](=O)[O-])cc1CCl
ZINC10106288	C=CCn1/c(=N/C(=O)C2CCCO2)sc2ccccc21
ZINC24053203	Cc1nnc(Oc2ccc(Br)cc2F)c(C#N)c1C
ZINC15144754	CC1c2ccsc2CCN1Cc1ccc([N+](=O)[O-])cc1
ZINC28576321	CCc1ccc2oc(C(=O)N3CC(C)OC(C)C3)c(C)c2c1
ZINC30678555	CC(C)(C)OC(=O)n1ncc2cccc(Br)c21
ZINC16420713	CC1c2ccsc2CCN1Cc1ccccc1[N+](=O)[O-]
ZINC35428601	Cc1cc(C)c(C)c(Oc2nc3sccn3c2C=O)c1
ZINC36255203	Cc1sc2ncc(CCl)n2c1-c1ccc2c(c1)OCO2
ZINC37066192	O=[N+]([O-])c1ccc(Cl)nc1Sc1ccccc1F
ZINC37522716	Cc1cccc(N2CCN(C(=O)C3CCCC3)C(C)C2=O)c1C
ZINC37640124	CCCn1c(=O)c2c3c(sc2n(C2CCCC2)c1=O)CCC3
ZINC00085562	CC(C)(C)c1ccc(-c2nc3n(c(=O)c2C#N)CCS3)cc1
ZINC00533229	CC(C)(C)C1=Nn2c(nnc2-c2ccccc2F)SC1
ZINC04583414	CCc1ccc2nc(N3CCN(C(=O)C4CC4)CC3)sc2c1
ZINC38613071	CCSC1=NC(=O)C2=C3CC(C)(CC)OCC3SC2=N1
ZINC39960619	CC1=NC2C=CC(C3N=NC(=S)N3c3ccccc3)=CC2=C1C
ZINC40217281	Cc1nnc(Sc2nc3ccccc3s2)c(C#N)c1C
ZINC40269737	O=[N+]([O-])c1ccc(C(Cl)c2c(F)cc(F)cc2F)o1
ZINC43214964	CC1(c2ccc3ccc(C4(C)OCCO4)cc3c2)OCCO1
ZINC45006270	Cc1ccc2c(c1)nc(C(C)Cl)n2Cc1cc(C)no1
ZINC48559311	CCC1c2ccsc2CCN1c1nn2cc(C)nc2s1
ZINC49894971	COc1ccc(-c2cnc(N3CCCC3)c(C#N)c2)cc1C
ZINC49894984	COc1ccc(C)cc1-c1ccc(C#N)c(N2CCCC2)n1
ZINC53647995	O=C(c1cn(-c2cc(Cl)cc(Cl)c2)nn1)C(F)(F)F
ZINC57312130	O=C1c2ccccc2C(=O)N1CCc1nc2ccccc2s1
ZINC58044640	COC(=O)c1cnc(-c2c(F)cccc2Cl)nc1Cl
ZINC59497584	Cc1occc1C(=O)Oc1ccc2oc3ccccc3c2c1
ZINC59843198	CC1CCN(C(=O)c2ccc3oc(-c4ccccc4)nc3c2)CC1
ZINC60374684	Cn1cc(/C=C2\CCc3nc(-c4ccccc4)sc3C2=O)cn1
ZINC61213507	CCN1C(=O)N(c2ccccc2C(F)(F)F)C(=O)CC1C
ZINC61519085	Cc1cc(C)cc(N(C)c2nc(Cl)nc(Cl)n2)c1
ZINC61803523	COC(=O)c1sc(N2CCC(C)(C)CC2)nc1Cl
ZINC62218574	N#Cc1nnn(-c2ccc(F)c(Cl)c2)c1C1CCCCC1
ZINC63859332	Cc1cn2nc(N3CCCC3c3ccc(C)c(C)c3)sc2n1
ZINC65356344	Fc1cccc(-c2nn3c(-c4ccsc4)nnc3s2)c1
ZINC65501712	Cc1ccccc1-n1nc(C(=O)N2CCCCC2)c2c1CCC2
ZINC66255930	Cn1ncc2c1CC/C(=C\c1cnc(-c3ccccc3)s1)C2=O
ZINC66476635	CCc1noc(C)c1C(=O)N1CCCc2c(C)cc(C)cc21
ZINC66796769	O=[N+]([O-])c1cnccc1Sc1ccc(F)c(Cl)c1
ZINC67385487	CC(C)(C)c1nnnn1Cc1ccc(Br)s1
ZINC04040031	COc1cccc(/C=C(\C#N)c2nc3ccccc3s2)c1OC
ZINC04290383	Clc1nsc(SCSc2nc(Cl)ns2)n1
ZINC01342873	CC(C)c1nc(SCC(=O)N2CCCCC2)c2ccccc2n1
ZINC05374476	CCN(C1=NC(=O)/C(=C\c2cccn2C)S1)c1ccccc1
ZINC01987100	Cc1cc(C)cc(OCCn2cnc3sc(C)c(C)c3c2=O)c1
ZINC05556609	CC(=O)Cn1cnc2scc(-c3ccc(C(C)C)cc3)c2c1=O
ZINC03076003	CCc1ccc(S(=O)(=O)Oc2cccc3cccnc23)cc1
ZINC04103780	CCOc1ccc(S(=O)(=O)N2CCCC(C)C2)c2ccccc12
ZINC00043767	CCOC(=O)C1C(C)=NC2=C(C(=O)CCC2)C1c1ccc(C)s1
ZINC06697575	CCc1ccc(OC)c(S(=O)(=O)N2CC(C)CC(C)C2)c1
ZINC04667111	CCOc1ccc(S(=O)(=O)N2CC(C)CC(C)C2)cc1C
ZINC07495077	CC(C)(C)c1ccc(C(=O)Cn2cnc3sccc3c2=O)cc1
ZINC00046636	COc1ccccc1N1CCN(/N=C/c2ccccc2F)CC1
ZINC08499289	O=C(OCc1cc2ccccc2nc1Cl)c1ccc(Cl)nc1
ZINC12414081	CN(CC12CC3CC(CC(C3)C1)C2)S(=O)(=O)N1CCCCC1
ZINC14083075	c1csc(-c2cc(CSc3ncc4ccccn34)no2)c1
ZINC15405382	Cc1ccc(-n2nnnc2SC(C)c2ccc(F)cc2)cc1
ZINC19635461	c1cncc(-c2cccc(-c3ccn(CC4CCCCO4)n3)c2)c1
ZINC19943009	CCOc1cc(S(=O)(=O)N2CC(C)CC(C)C2)ccc1Cl
ZINC19943719	CCOc1cc(C)c(S(=O)(=O)N2CCCC(C)C2)cc1C
ZINC20535925	Cc1cccnc1-c1cccc(-c2ccn(CC3CCCCO3)n2)c1
ZINC22008186	Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1
ZINC23833068	CC1CCCCN1c1ccc2cccc(OCc3cccnc3)c2n1
ZINC27088793	Cc1ccc(CN(C)C(=O)Cc2coc3cc(C)c(C)cc23)o1
ZINC28577702	CCc1ccc(CC)c(S(=O)(=O)N2CC(C)OC(C)C2)c1
