ZINC00519932	O=C1NN(c2ccccc2)C(=O)C2C1C1C=CC2C12CC2
ZINC38905652	CC(NC(=O)C1CCC[NH+](Cc2nc(-c3ccc(Br)cc3)no2)C1)c1ccc(F)cc1
ZINC39699763	O=C1[NH+]=c2ccccc2=CC1/C=N/Nc1nc(-c2ccccc2)c2cc(Br)ccc2n1
ZINC40146909	Cc1ccc(NS(=O)(=O)c2ccc(C(=O)N3CC4CCC[NH+]4Cc4ccccc43)cc2)cc1
ZINC44998842	COc1ccc(C(C)C)cc1C[NH+]1CCCCC1C(=O)N1CCN(c2cccc3[nH]ccc23)CC1
ZINC21529286	Cc1nn(Cc2ccccc2)c(Cl)c1C(=O)Nc1nc2c(s1)C[NH+](Cc1ccccc1)CC2
ZINC36038468	CC(C)CC1[NH2+]C2(CCN(S(=O)(=O)c3cccc(Cl)c3Cl)CC2)N(CC2CC2)C1=O
ZINC41585912	O=C1/C(=C/C=C/c2ccccc2)Oc2c1ccc(O)c2CN1CCN(c2cccc[nH+]2)CC1
ZINC41586184	CCOC(=O)C1CC[NH+](Cc2c(O)cc(C)c3c2O/C(=C/c2cccc(F)c2)C3=O)CC1
ZINC41586339	CCOC(=O)C1CCC[NH+](Cc2c(O)cc(C)c3c2O/C(=C\c2ccccc2F)C3=O)C1
ZINC39361400	O=C(CC1S/C(=N/N=C/C2=c3ccccc3=[NH+]C2c2ccccc2)NC1=O)c1ccc(F)cc1
ZINC63270043	Cc1coc2cc3c(cc12)C(C)C(CCC(=O)NC(C)CC1=c2ccccc2=[NH+]C1)C(=O)O3
ZINC39978987	O=S(=O)(/N=C1\N=c2ccccc2=[NH+]C1Nc1ccccc1Cl)c1ccc(Cl)cc1
ZINC63349936	COc1ccc(C2NCCC3=c4ccccc4=[NH+]C32)cc1CN1C(=O)c2ccccc2C1=O
ZINC38925977	COc1cc(/C=N/N2C(=S)[NH+]=NC2c2ccc(Cl)cc2)cc(Br)c1O
ZINC38966077	O=S(=O)(/N=C1\N=c2ccccc2=[NH+]C1Nc1ccc(F)cc1)c1cccc(Cl)c1
ZINC38975198	Cc1ccc(S(=O)(=O)/N=C2\N=c3ccccc3=[NH+]C2Nc2ccc(Br)c(C)c2)cc1
ZINC64215660	O=C(CN1C(=O)c2ccccc2C1=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC64622834	CCOC(=O)Cc1ccc(NC(=O)N2CCC3=c4ccccc4=[NH+]C3C2c2ccccc2F)cc1
ZINC64622879	COC(=O)c1ccccc1NC(=O)N1CCC2=c3ccccc3=[NH+]C2C1c1ccc(C)cc1
ZINC64622964	COc1ccc(NC(=O)N2CCC3=c4ccccc4=[NH+]C3C2c2ccc(F)cc2)c(OC)c1
ZINC65306759	COc1ccc(-n2c(N(C)C)[nH+]c3cc(C(=O)NC(C)c4ccc(F)cc4)sc32)cc1
ZINC02341889	O=c1[nH]c2nc(SCc3cccc4ccccc34)ncc2c(=O)n1-c1ccccc1
ZINC04598518	CCOC(=O)C1C2NC(=S)N(c3ccccc3)C1(C)Oc1ccc(OC)cc12
ZINC00684061	Cc1ccc(CSc2nnc3c(n2)OC(c2cccnc2)Nc2ccccc2-3)cc1
ZINC01366251	CC1CCN(C(=O)CSc2nnc3c(n2)[nH]c2ccc(C(C)C)cc23)CC1
ZINC01321013	CC(C)(C)C1CCc2c(sc3nnn(CC(=O)Nc4ccccc4)c(=O)c23)C1
ZINC04967499	Cc1cc(N(C)C)nc(N2CCC(C(=O)NC34CC5CC(CC(C5)C3)C4)CC2)n1
ZINC05415065	Cc1ccc(-n2nnnc2SCC(=O)Nc2cc(Cl)ccc2C)c(C)c1
ZINC05749372	O=C(N/N=C/c1ccc(F)c(Br)c1)c1ccc([N+](=O)[O-])cc1Cl
ZINC06491471	Cc1ccccc1/N=N/c1c(O)n(-c2ccccc2)c(=S)n(-c2ccccc2)c1=O
ZINC06859995	CC1CCCC(N(Cc2ccco2)C(=O)NCc2noc3ccccc23)C1C
ZINC07933456	Cc1ccc(C)c(NC(=O)C(C)Sc2nnnn2-c2cccc(Cl)c2)c1
ZINC10372853	Cc1nc(NC(=O)C2(c3ccc([N+](=O)[O-])cc3)CCCC2)ccc1Br
ZINC14161962	CCc1nnc2n(-c3ccc(Nc4ccccc4)cc3)c(=O)c3ccccc3n12
ZINC14658064	Cc1ccc([N+](=O)[O-])cc1NC(=O)c1ccc(OC(C)C)c(Br)c1
ZINC15574668	CCCc1cc(=O)oc2cc(OC(=O)c3ccc4c(c3)NC(=O)CS4)ccc12
ZINC03211485	O=C(N/N=C/c1cccc(Br)c1)c1ccc(Cl)c([N+](=O)[O-])c1
ZINC19581056	Cc1noc(C)c1Cc1ccc(C(=O)NC(C)c2cc3cc(Cl)ccc3o2)o1
ZINC19907530	CC1CCCC(N2C(=O)C3=C(CCCC3)C2Nc2ccc([N+](=O)[O-])cc2)C1C
ZINC20444276	O=C(c1ccccc1)n1nc(-c2ccco2)nc1NCc1ccc(Cl)cc1
ZINC20704212	COC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)c([N+](=O)[O-])c1)N2
ZINC20882235	CCc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2cccc([N+](=O)[O-])c2)cc1
ZINC21256762	CCc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc([N+](=O)[O-])cc2)cc1
ZINC22523091	Cc1c(NC(=O)c2ccc(CN3CCc4ccccc43)cc2)cccc1[N+](=O)[O-]
ZINC24831730	COC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1cccc(C)c1
ZINC32802778	CN(Cc1ccc(C(C)(C)C)cc1)C(=O)NC1CCN(C(=O)c2ccco2)CC1
ZINC35288922	CC(C)c1ccc2nc(SCC(=O)N3CC(=O)Nc4ccccc43)c(C#N)cc2c1
ZINC35290854	O=C(Nc1ccccc1C(F)(F)F)N1CCCC(c2nc(-c3ccccc3)no2)C1
ZINC35552441	CC1CCN(C(=O)CC(c2cccc([N+](=O)[O-])c2)c2c[nH]c3ccccc23)CC1
ZINC08612246	COC(=O)c1c(NC(=O)c2cc(=O)c3c(C)cc(C)cc3o2)sc2c1CCCC2
ZINC05041228	N#C/C(C(=O)c1ccc([N+](=O)[O-])cc1)=C1\Nc2cc(C(F)(F)F)ccc2S1
ZINC39421062	COc1ccc(NC2CCCN(C(=O)C3C=NN=C3C3CCCCC3)C2)cc1
ZINC41306236	O=C(Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])c1cc2cc(Cl)ccc2o1
ZINC45328127	Cc1sc(-c2ccco2)nc1C(=O)Nc1c(-c2ccccc2)nc2c(C)cccn12
ZINC46861719	N#CC(c1ccccc1)c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1Cl
ZINC54200798	CC1CCCC(C)N1C(=O)NCC(c1ccccc1)N1C(=O)c2ccccc2C1=O
ZINC08136106	CSc1nc(COC(=O)c2cc3c(s2)-c2ccccc2OC3)cc(=O)[nH]1
ZINC58393419	COc1cccc2cc(C(C)NC(=O)c3ccn(-c4cccc(Cl)c4)n3)oc12
ZINC36633778	O=C1N=C(N2N=C(c3ccccc3)CC2c2ccc(Cl)cc2)/C(=N/[O-])S1
ZINC05714799	O=S(=O)(c1ccc(/N=N/c2cc(Br)ccc2O)cc1)N1CCCC1
ZINC23682957	O=C(Nc1nc(-c2ccc(Cl)s2)cs1)c1cc([N+](=O)[O-])ccc1Cl
ZINC27384884	O=C(Nc1ccc(OC(=O)c2cc(=O)c3ccccc3o2)cc1)c1ccccc1
ZINC61204541	COc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(Br)cc1Cl
ZINC05033362	CCc1ccc(N2C(=O)C3ON(c4ccccc4)C(c4ccc(O)cc4)C3C2=O)cc1
ZINC39953384	CC(C)CC1=CC(c2nnc3n2NC(c2ccccc2Br)S3)N=N1
ZINC64790391	Cc1ccc(C2CC(c3ccccc3)=Nc3nc(NC(=O)c4ccccc4)nn32)cc1
ZINC64790428	Cc1ccc(C2CC(c3ccc(Cl)cc3)=Nc3nc(NC(=O)C(C)C)nn32)cc1
ZINC66336203	CC(NC(=O)N(C)Cc1csc(Br)c1)c1cccc([N+](=O)[O-])c1
ZINC66340785	CC(CC(=O)N1CCN(C(=O)C2CCCCC2)CC1)NC(=O)C1CCCCC1
ZINC66667031	Cc1cc(Cl)ccc1NC(=O)N1CCC(C)(N(C)C(=O)OC(C)(C)C)CC1
ZINC66976734	CCN(C1CCN(C(=O)NC2CC(C)CCC2C(C)C)CC1)S(C)(=O)=O
ZINC05215800	CSc1nc(NCC[NH+](C)C)c2sc3nc(C(C)C)c4c(c3c2n1)CCC4
ZINC08161021	COc1cc2c(cc1NC(=O)C[NH+](C)Cc1ccc(Cl)s1)oc1ccccc12
ZINC08310427	Cc1cc(Cl)ccc1NC(=O)C[NH+]1CCCC1c1ccc2c(c1)OCCCO2
ZINC01507203	CCCc1cc2c(=O)c(-c3nc4ccccc4s3)coc2c(C[NH+](C)C)c1O
ZINC09925938	CC1CCCC[NH+]1CN1C(=O)C(O)(CC(=O)c2ccc3c(c2)CCCC3)c2ccccc21
ZINC12282122	COc1ccc(Cl)cc1-c1cc2c(c(OC)c1)OCC[NH+](Cc1ccc[nH]1)C2
ZINC12613164	CC(C)C1c2[nH]c3ccccc3c2CC[NH+]1Cc1nc(-c2ccccc2)no1
ZINC12615591	Cc1ccc(CCC2CC[NH+](CN3C(=O)NC(C)(C4CC4)C3=O)CC2)cc1
ZINC12745369	CC(C)c1ccc(C[NH+](C)CC(=O)N2c3ccccc3NC(=O)CC2C)cc1
ZINC14986724	COc1ccccc1Cn1cnc2sc3c(c2c1=O)CCC([NH2+]CC(C)C)C3
ZINC15068421	CC(C)C1c2[nH]c3ccccc3c2CC[NH+]1Cc1nc(Cc2cccc(F)c2)no1
ZINC15673693	O=C(CC1CC[NH2+]CC1Cc1cc(CC2CCCCC2)on1)N1CCCCC1
ZINC15679774	CC[NH+]1CCC(N(Cc2cccs2)C(=O)Nc2cc(C)ccc2OC)CC1
ZINC18063542	CC(C)c1ccc(C(=O)CC2(O)C(=O)N(C[NH+]3CCCCC3C)c3ccccc32)cc1
ZINC19569255	COc1ccccc1C1(O)CC[NH+](Cc2ccc(OC)c3cccc(OC)c23)CC1
ZINC20451700	Cc1oc(-c2ccoc2)nc1C[NH+]1CCC(O)(c2ccccc2)C2CCCCC21
ZINC20867615	CCn1c(NCc2cn(-c3ccccc3)nc2-c2cccs2)[nH+]c2ccccc21
ZINC21630261	Fc1ccccc1C[NH+]1CCC(CNc2nc(-c3ccccc3F)no2)CC1
ZINC25414627	COc1ccc(C2CCC[NH+]2CC(=O)Nc2cc(Cl)ccc2OC)cc1
ZINC28288901	Cc1ccc(C(CNC(=O)c2cc(=O)c3ccccc3o2)[NH+]2CCCCC2)cc1
ZINC28288971	CCc1ccc2oc(C(=O)NCC(c3cccs3)[NH+]3CCCCC3)cc(=O)c2c1
ZINC20568802	CCC[NH+]1CCN(CC(=O)Nc2sc3c(c2C#N)CCC(C(C)(C)C)C3)CC1
ZINC02414055	CCC1(C)Cc2c(sc3nc(SC)nc(NCC[NH+](C)C)c23)CO1
ZINC38195453	COc1ccc(-n2c(C(C)[NH2+]CC(C)C)nc3cc(Cl)ccc3c2=O)cc1
ZINC39421463	CC([NH2+]CC1C=NN=C1c1ccc(Cl)cc1)C1C=NN(c2ccccc2)C1C
ZINC39442702	CC1=CC(C[NH+](C)CC2=CN(c3ccc(C)cc3)NC2c2ccc(F)cc2)N=N1
ZINC39698887	CC1NN=C(SC2C(=O)[NH+]=c3ccccc3=C2c2ccccc2)N1C1CCCCC1
ZINC40005505	O=C(C1=c2ccccc2=[NH+]C1)C(SC1NN=C(c2ccccc2)O1)c1ccccc1
ZINC40034116	O=C(CSC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccccc1)c1ccccc1
ZINC46425755	CC1CC(C)C[NH+](CCCNC(=O)N2CCN(c3ccc(F)cc3)CC2)C1
ZINC47339238	C[NH+](Cc1ccccc1NC(=O)c1cc2ccccc2oc1=O)C1CCCCC1
ZINC49644810	Cc1ccc(OCC(=O)/N=c2\[nH]c3c(s2)C[NH+](Cc2ccccc2)CC3)c(C)c1
ZINC05458660	COc1ccc(C2CC(c3ccc(Cl)cc3)Nc3[nH+]c4ccccc4n32)cc1OC
ZINC59990235	Cc1nn(-c2ccc(F)cc2)c(Cl)c1C(=O)NCC(C)(C)[NH+]1CC(C)CC(C)C1
ZINC41352282	COc1ccc(-c2cc(O)c3cc/c(=[NH+]\C(=O)C(Cl)c4ccccc4)cc-3o2)cc1
ZINC41512652	CC1CCC[NH+](Cc2c(O)ccc3cc(-c4nc(-c5ccccc5)cs4)c(=O)oc23)C1
ZINC63165728	CN(C)c1ccc(C(CNc2ncccc2C#N)C2=c3ccccc3=[NH+]C2)cc1
ZINC63182750	CC(C)n1nccc1NC(=O)CCC1=c2cc(F)ccc2=[NH+]C1c1ccc(F)cc1
ZINC63407894	CN(Cc1ccc(N(C)C)cc1)C(=O)NC1CC[NH+](CC2CCCC2)CC1
ZINC63504812	CCN(C(=O)CC1=c2ccccc2=[NH+]C1)C1(C(=O)Nc2cccc(C)c2)CCCCC1
ZINC63515556	Cc1ccc2c(c1)=C(CCNC(=O)C1Cc3cc(Cl)cc(Cl)c3OC1=O)C(C)[NH+]=2
ZINC63737592	COc1ccc(S(=O)(=O)Nc2cccc(C3C=c4cc(F)ccc4=[NH+]3)c2)cc1
ZINC64015097	Cc1cc(C)cc(N2N=CC3C(NC(=O)CC4=c5ccccc5=[NH+]C4)CCCC32)c1
ZINC64042772	CC1(C(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2)Cc2ccccc2C(=O)O1
ZINC64143421	CC1=CC(=O)C(C(=O)NC2CCCCCC2)C(C)N1CCC1=c2ccccc2=[NH+]C1
ZINC64166561	COc1cccc(C2C3[NH+]=c4ccccc4=C3CCN2CC2=C(C)NN(C)C2Cl)c1
ZINC66175502	Cc1ccc(SCCNC(=O)N(C)C2CCN(c3cccc[nH+]3)CC2)cc1
ZINC66193685	CC(CCNC(=O)N(C)C1CCN(c2cccc[nH+]2)CC1)c1ccccc1
ZINC66250817	O=S(=O)(/N=c1/[nH]c(C[NH+]2CCCCCC2)cs1)c1ccc(F)c(F)c1
ZINC66344744	O=C(NCC1CCN(c2ccc(F)cc2)C1)N1CC[NH+](C2CCCC2)CC1
ZINC01443119	CC(C)N1C(=O)N(c2ccc(F)cc2)C(=O)C1CC(=O)Nc1ccc(F)cc1
ZINC02187922	CCCSc1nnc2c(n1)OC(c1ccccc1OC)Nc1ccccc1-2
ZINC01186344	CCOc1cc(C=C2C(=O)OC(C)(C(C)(C)C)OC2=O)cc(Br)c1O
ZINC05127428	CN(C)c1ccc(/C=C2\S/C(=N\N=C\c3ccc(N(C)C)cc3)NC2=O)cc1
ZINC05169312	Cc1cccc(C)c1-n1nnnc1SC(C)C(=O)c1c(C)[nH]c2ccccc12
ZINC05173399	CCOc1ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2Cl)cc1Br
ZINC01650867	Cc1ccc(S(=O)(=O)Nc2nc3ccccc3c(=O)n2C2CCCCC2)cc1
ZINC06082668	CC(OC(=O)Cc1coc2ccc3ccccc3c12)c1nc2ccccc2c(=O)[nH]1
ZINC02205061	COC(=O)c1c(NC(=O)c2cc(=O)c3cc(C)cc(C)c3o2)sc2c1CCCC2
ZINC05077593	Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)NCc1c(C)cc(Cl)cc1Cl
ZINC06249522	CC1CCCN(c2ccc(C(=O)Nc3ccc(Cl)cc3F)cc2[N+](=O)[O-])C1
ZINC06884620	O=C(Nc1ccccc1Br)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
ZINC07778484	CC1CCc2[nH]c3ccc(C(=O)OCc4cc(=O)n5ccsc5n4)cc3c2C1
ZINC07778792	Cc1ccc(O)c(C(=O)c2cc(-c3nnc(-c4ccccc4)o3)n(C(C)C)c2)c1
ZINC09165436	CN1C(=O)C(C)(C)COc2cc(NS(=O)(=O)c3ccc(C(C)(C)C)cc3)ccc21
ZINC11380015	CC1CCC(C(C)C)C(OC(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)C1
ZINC12650562	CC/C(C)=N/Nc1nc2sc3c(c2c(=O)n1-c1ccccc1)CC(C)(C)OC3
ZINC13389411	COc1ccc(C2Nc3c(OC)ccc(Cl)c3C3C=CCC32)cc1[N+](=O)[O-]
ZINC14128695	Cc1ccc(-n2nnnc2SC(C)C(=O)NC2CCCC(C)C2C)c(C)c1
ZINC14128697	Cc1ccc(-n2nnnc2SC(C)C(=O)NC2CCCC(C)C2C)c(C)c1
ZINC16436986	N#C/C(=C\c1cc([N+](=O)[O-])ccc1Cl)C(=O)Nc1cc(Cl)ccc1Cl
ZINC19894022	O=C(Cn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O)NN=C1CCCCC1
ZINC19907528	CC1CCCC(N2C(=O)C3=C(CCCC3)C2Nc2ccc([N+](=O)[O-])cc2)C1C
ZINC09090114	CCCCCCN1C(=O)NC(=O)C2(Cc3c(ccc4ccccc34)N(C)C2)C1=O
ZINC20704146	COc1ccc(OC)c2c1NC(c1ccc(Cl)c([N+](=O)[O-])c1)C1CC=CC21
ZINC23060895	Cc1c(C(=O)OC(C)C(=O)Nc2ccc(Cl)cn2)oc2ccc(Cl)cc12
ZINC33168985	Cc1ccc(Oc2nccnc2N2CCCC(C(=O)NC3CCCCC3)C2)cc1
ZINC33261712	CC1CCN(c2ccc(N3CCCC(C(=O)NCC4CCCCC4)C3)nn2)CC1
ZINC35027115	CCn1c(C(C)N(C)C(=O)NC23CC4CC(CC(C4)C2)C3)nc2ccccc2c1=O
ZINC35553711	O=C(Nc1ccccc1[N+](=O)[O-])c1ccc(-c2nc3ccccc3s2)s1
ZINC36775534	Cc1ccc(-n2nnnc2SC(C)C(=O)NC2CCCC(C)C2C)cc1C
ZINC02542253	COc1ccc(C2C3=C(N=C4N=CNN42)c2ccccc2OC3CC(C)C)cc1
ZINC39359440	COc1ccc(C2CC(=O)C3=C(C2)NC2N=NC(C)=C2C3c2ccccc2)cc1OC
ZINC29084442	CC(C)c1ccc(C(C)NC(=O)CN2C(=O)N(C)C3(CCCCC3)C2=O)cc1
ZINC39581300	Cc1ccc(OC(C)C(=O)Nc2ccc(F)c([N+](=O)[O-])c2)c(Br)c1
ZINC39922538	COc1ccc(/C(C)=N/NC(=O)C2C=C(C34CC5CC(CC(C5)C3)C4)N=N2)cc1
ZINC40562368	CC(Nc1c([N+](=O)[O-])c(=O)n(-c2ccccc2)c2ccccc12)c1ccccc1
ZINC45470384	COc1ccc2cc(C[NH+](C)Cc3nc([O-])c4oc5ccccc5c4n3)ccc2c1
ZINC27811105	CC(Sc1nnnn1C1CCCCC1)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC47057043	CCCc1c(C(=O)/N=c2/[nH]c3c(s2)CN(C)CC3)cnn1Cc1ccccc1
ZINC49750002	CCOC(=O)c1c(NC(=O)c2cn3ccc(C)cc3n2)sc2c1CCC(C)C2
ZINC59310085	N#CCOc1ccc(/C=C/C(=O)/N=c2\[nH]c3ccccc3n2-c2ccccc2)cc1
ZINC05671708	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1nc(-c2ccc(Cl)cc2)cs1
ZINC63528962	CC(C)Oc1ccc(C2=Nc3c(C#N)cnn3C2NC2CCCC(C)C2C)cc1
ZINC39034858	COc1ccc2c(c1)OC(=O)C(CCC(=O)/N=c1\[nH]c3ccccc3s1)C2C
ZINC64790427	CCC(=O)Nc1nc2n(n1)C(c1ccc(C)cc1)CC(c1ccc(Cl)cc1)=N2
ZINC64790501	Cc1ccc(C2=Nc3nc(NC(=O)C(C)C)nn3C(c3ccc(Cl)cc3)C2)cc1
ZINC45990884	Cc1ccc(-n2nc(C)c3c(C)cc(OCC(=O)NC4CCCCC4)nc32)cc1
ZINC66280025	CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)OC2CCCCCC2)C1=O
ZINC66428876	COc1ccc([N+](=O)[O-])cc1C(=O)Nc1cc(Br)ccc1Cl
ZINC01463312	CCOC(=O)c1c(C)oc2c1c(C[NH+]1CCC(C)CC1)c(O)c1ccccc12
ZINC03402291	Cc1cc(O)c(C[NH+]2CCN(S(=O)(=O)/C=C/c3ccccc3)CC2)cc1C(C)C
ZINC06877655	Cc1ccc(CN(C(=O)Nc2ccccc2F)C2CC[NH+](Cc3ccccc3)CC2)o1
ZINC06997792	O=C1NC2(CCCCCC2)C(=O)N1C[NH+]1CCC(Cc2ccccc2)CC1
ZINC07443620	CC1CC(=O)Nc2ccccc2N1C(=O)C[NH+](C)Cc1ccc(Br)cc1
ZINC08310299	Cc1ccc(Cl)cc1NC(=O)C[NH+]1CCCC1c1ccc2c(c1)OCCCO2
ZINC09925926	CC(C)c1ccc(C(=O)CC2(O)C(=O)N(C[NH+]3CCCCC3C)c3ccccc32)cc1
ZINC10908153	CC(C)C([NH2+]Cc1cc(=O)n(C)c(=O)n1C)c1ccc(C2CCCCC2)cc1
ZINC11763962	COc1ccc(C2c3[nH]c4ccccc4c3CC[NH+]2CCCn2cccn2)cc1C
ZINC13003069	O=C1CC(C(F)(F)F)N(C(=O)C[NH+](Cc2ccccc2)C2CC2)c2ccccc2N1
ZINC12433770	Cc1oc(-c2cccc(F)c2F)nc1C[NH+]1CCCC1c1nc2cc(F)ccc2[nH]1
ZINC14971514	Cc1c(C(C)[NH2+]Cc2cnn(-c3ccc(F)cc3)c2)cnn1-c1cccc2ccccc12
ZINC16609222	CC1CC[NH+](CN2C(=O)C(O)(CC(=O)c3ccc4c(c3)CCCC4)c3ccccc32)CC1
ZINC25443824	Cc1ccc2c(C)c(CCC(=O)NCC3([NH+](C)C)CCCCCC3)c(=O)oc2c1
ZINC28289481	CCc1ccc2oc(C(=O)NCC(c3ccccc3Cl)[NH+](C)C)cc(=O)c2c1
ZINC32932623	CC(=O)c1ccc(N2CC[NH+](Cc3c(O)ccc4oc5c(c34)CCCC5)CC2)cc1
ZINC34928328	CC(C)N(c1[nH+]c(=O)c2cc(NC(=O)c3cccs3)ccc2s1)C(C)C
ZINC17177819	O=C1CCCC2=C1C(c1cccc(F)c1)N1NC(SCc3ccccc3F)=NC1=[NH+]2
ZINC38610625	COC(=O)C1[NH+]=c2ccc(F)cc2=C1NC(=O)C1CC=CCC1Cc1ccccc1
ZINC38671327	CN1CCc2cc(C(CNC(=O)c3cc4ccccc4o3)[NH+]3CCCCC3)ccc21
ZINC39030398	CCOC(=O)C1[NH+]=c2ccccc2=C1NC(=O)C12CC3CC(CC(Cl)(C3)C1)C2
ZINC39134178	C1=[NH+]C(OCc2ccccc2)=CC2C(c3nc[nH]c3C3CCCc4ccccc43)=CN=C12
ZINC39445962	COc1cccc(O)c1C[NH+]1CCC(C2=NN=CC2c2ccc3ccccc3c2)CC1
ZINC39948998	Cc1ccc(COc2ccc(C(=O)N/N=C/C3=c4ccccc4=[NH+]C3)cc2)cc1
ZINC43609939	Cc1oc(-c2ccoc2)nc1C[NH+]1CCC(O)(c2ccccc2)C2CCCCC21
ZINC46852622	CC(c1ccc(F)cc1)N(C)C(=O)NCC(C)[NH+]1CCN(c2ccccc2)CC1
ZINC49281817	CC(C)[NH+]1CCC(Nc2ccc([N+](=O)[O-])c(I)c2)C1
ZINC49586952	COc1ccc(-c2cs/c(=N\C(=O)C[NH+]3CCCC3c3cccs3)[nH]2)cc1
ZINC51653969	COc1ccccc1-c1cs/c(=N\C(=O)C[NH+]2CCCC2c2cccs2)[nH]1
ZINC56443080	COc1ccccc1C(C)N(C)C(=O)NC1CC[NH+](Cc2ccccc2F)CC1
ZINC41357331	CCOc1ccccc1-c1cc(O)c2cc/c(=[NH+]\C(=O)C(C)Cl)cc-2o1
ZINC41511580	Cc1cc(O)c(C[NH+]2CCCCC2C)c2c1C(=O)/C(=C/c1ccc(N(C)C)cc1)O2
ZINC41583709	Cc1cc(O)c(C[NH+]2CC(C)CC(C)C2)c2c1C(=O)/C(=C\c1ccc(N(C)C)cc1)O2
ZINC39948554	CC1=C(C(=O)N/N=C/C2=c3ccccc3=[NH+]C2C)CC(C)N1c1ccc(F)cc1
ZINC63406119	CCOc1ccc(NC2C(=O)[NH+]=c3cccc4c3=C2c2ccccc2C4=O)cc1
ZINC63437197	CC(C)(C)c1ccc(C(=O)NC2N=NC(CC3=c4ccccc4=[NH+]C3)S2)cc1
ZINC63479023	O=C1[NH+]=c2ccccc2=C2SC(C(=O)Nc3ccc(Oc4ccccc4)cc3)C=C12
ZINC63571504	CCOc1ccc(NC(=O)N2CCC3=c4ccccc4=[NH+]C3C2c2ccc(C)cc2)cc1
ZINC63623189	N#C/C(=C\c1ccc(N2CCCCC2)cc1)C(=O)NCCC1=c2ccccc2=[NH+]C1
ZINC64042766	O=C(NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1)C1CC(=O)N(C2CCCC2)C1
ZINC64061297	COc1ccc(CN2CCC3=c4ccccc4=[NH+]C3C2c2cccc(O)c2)c(OC)c1
ZINC64103099	CCOc1ccc(C2C3[NH+]=c4ccccc4=C3CCN2Cc2ccc(CO)o2)cc1
ZINC64143423	CC1=CC(=O)C(C(=O)NC2CCCCCC2)C(C)N1CCC1=c2ccccc2=[NH+]C1
ZINC64392900	CCOC(=O)C1C(=O)[NH+]=c2c(Cl)cccc2=C1NCc1ccc(Cl)cc1
ZINC64640223	O=C(Nc1cccc(C2C=c3ccccc3=[NH+]2)c1)C1CCCN(C(=O)C2CCCC2)C1
ZINC65409841	CC1=CC(C2C(c3ccccc3)NC[NH+]2C(CC(C)C)c2cccnc2)N=N1
ZINC66248637	Cc1ccc(/C=C/S(=O)(=O)/N=c2/[nH]c(C[NH+]3CCCCC3)cs2)cc1
ZINC66474715	Cc1ccc(C[NH+](CC(=O)N2c3ccccc3NC(=O)CC2C)C(C)C)s1
ZINC66610073	COc1ccc(C)cc1C(C)[NH2+]C(C)c1nc(-c2ccc(C)c(F)c2)no1
ZINC67295564	Cc1ccc(/[NH+]=c2\oc3ccccc3cc2C(=O)NCc2ccco2)cc1Cl
ZINC08299361	C=CCNC(=O)NC1CC2C(=O)Nc3ccc(-c4ccc(SC)cc4)cc3C(=O)N2C1
ZINC09610546	O=C1CCc2cc(S(=O)(=O)NC(C(=O)NC3CCCC3)c3ccccc3)ccc2N1
ZINC09633846	O=C(NNC(=O)c1ccccc1NS(=O)(=O)c1cccs1)c1ccc(F)cc1
ZINC09885466	O=C(Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1)NNC(=O)c1cccs1
ZINC10457973	Cc1cc(C)c(CNC(=O)C(NS(=O)(=O)c2ccc(C)c(C)c2)C(C)C)c(=O)[nH]1
ZINC10457976	Cc1cc(C)c(CNC(=O)C(NS(=O)(=O)c2ccc(C)c(C)c2)C(C)C)c(=O)[nH]1
ZINC11482172	NS(=O)(=O)c1cccc(NC(=O)COC(=O)Cc2ccc(Cl)cc2Cl)c1
ZINC09972443	CCCC1(C(=O)[O-])[NH2+]C(c2ccccc2O)C2C(=O)N(c3cccc4ccccc34)C(=O)C21
ZINC12572746	COC(=O)NNC(=S)NC(=O)COc1c(C)cc(Br)cc1Br
ZINC12776669	CN(CC(=O)Nc1ccccc1Br)C(=O)CNC(=O)NCc1ccccc1
ZINC12871861	CC(C)C(NS(=O)(=O)c1cccs1)C(=O)NNC(=O)c1ccc(Cl)cc1
ZINC12929602	CC(C)C(NC1=NS(=O)(=O)c2ccccc21)C(=O)NCCc1c[nH]c2ccccc12
