ZINC02574883	NS(=O)(=O)c1cc(F)c(Br)cc1F
ZINC20308630	CC(Nc1ccc(F)cc1Cl)c1nc2ccccc2s1
ZINC30895384	O=C(NCC1CCCc2ccccc21)c1ccc(Cl)s1
ZINC32895212	O=C(NC1CCCC(C(F)(F)F)C1)c1ccc(Cl)cc1
ZINC16031740	Cc1ccc(NC(=O)C23CC4CC(CC(Cl)(C4)C2)C3)c(C)c1
ZINC36922685	Cc1ccsc1CNc1c(Cl)cc(C)c2ncccc12
ZINC37011944	CC1CCC(Nc2nc3cc(C(F)(F)F)ccc3s2)CC1
ZINC37055741	Cc1ccc(NC2CCOCC2)cc1I
ZINC37072395	N#Cc1ccc(NC2Cc3ccccc3C2)c(Br)c1
ZINC37195743	COc1ccc(NC2CSCc3ccccc32)cc1Cl
ZINC37198671	COC1CCCCC1Nc1ccc(Br)cc1F
ZINC37200825	COc1ccc(C)cc1NC1CCSc2c(F)cccc21
ZINC37212137	N#Cc1ccc(NCc2c(Cl)ccc(Cl)c2Cl)cc1
ZINC37262313	COC1CCCCC1Nc1cc(Br)ccc1F
ZINC37937513	N#CC1(Nc2cccc(Br)c2)CCc2ccccc21
ZINC39559854	CC(NC1=CC2=CC=NC2C=C1)c1ccc(Cl)cc1Cl
ZINC40941020	OC(c1ccc(Br)o1)c1ccc(Cl)cc1Cl
ZINC40941021	OC(c1ccc(Br)o1)c1ccc(Cl)cc1Cl
ZINC41678990	N#CC(NC1CCCCCC1)c1ccc(Br)s1
ZINC42161960	CC(NC(=O)C1CC=CCC1)c1ccc(Cl)c(Cl)c1
ZINC43322252	Cc1c(F)cccc1NC(=O)c1ccc(Br)cc1F
ZINC43682460	OCC#Cc1ccc(COc2cc(Cl)ccc2Cl)s1
ZINC43682552	OCC#Cc1ccc(COc2ccc(Cl)cc2Cl)s1
ZINC43698982	OCC#Cc1csc(COc2cc(Cl)ccc2Cl)c1
ZINC48458221	CCC1CCCCC1NC(=O)c1cc(F)c(F)cc1Cl
ZINC48458226	CCC1CCCCC1NC(=O)c1cc(F)c(F)cc1Cl
ZINC48876951	Cc1cc(Cl)ccc1NC(=O)c1sccc1C(C)C
ZINC48974108	Cc1ccc(C(C)NC(=O)c2ccc(Cl)cc2Cl)s1
ZINC48974123	Cc1ccc(C(C)NC(=O)c2cccc(Cl)c2Cl)s1
ZINC49531576	CC(Nc1nc2cc(F)ccc2s1)c1ccccc1F
ZINC49620484	OCC#Cc1ccc(COc2ccc(Cl)cc2Cl)cc1
ZINC53045959	CCC1(CC)CS/C(=N\c2ccc(Br)cc2)N1
ZINC53716101	O=C1Cc2cc(C(Br)C3CCCCCC3)ccc2N1
ZINC54081718	CC(C#N)(Nc1cccc(Br)c1)C1CCCC1
ZINC54824590	N#CC1CCCCC1Nc1ccc(F)cc1Br
ZINC40504060	Clc1cc(Cl)c(NCc2cscn2)cc1Cl
ZINC48759386	CC(Nc1ncccc1Br)c1cccc(Cl)c1
ZINC61365176	CC(Nc1nc2cccc(Cl)c2s1)c1ccsc1
ZINC63060406	Cc1cc(C(=O)NC(C)c2cccc(Cl)c2)ccc1F
ZINC19232424	CC1CCCC(C)C1Nc1ccc(Cl)cc1C(F)(F)F
ZINC20016917	Cc1cc(C)c(C(C)Nc2ccc(C)cc2Br)c(C)c1
ZINC20478537	CC1CC(Nc2cccc(I)c2)CC(C)(C)C1
ZINC20505526	CCC(C)C(C)Nc1c(Cl)cc(Br)cc1Cl
ZINC20505574	CCCC(C)Nc1c(Cl)cc(Br)cc1Cl
ZINC20505670	CCC(CC)Nc1c(Cl)cc(Br)cc1Cl
ZINC20552747	CC(C)(C)c1ccc(NCc2cc(F)ccc2Br)cc1
ZINC20559395	CCC(Nc1cccc(Br)c1)c1cccc(Cl)c1
ZINC21015172	Cc1ccc(NC(C)c2ccc3c(c2)CCCC3)c(Br)c1
ZINC21044732	Cc1cc(C(C)Nc2cc(C(F)(F)F)ccc2Cl)c(C)s1
ZINC21058694	FC(F)(F)c1ccc(Cl)c(NCc2ccc(Cl)s2)c1
ZINC21508588	CC(Nc1ccc(Br)cc1)C12CC3CC(CC(C3)C1)C2
ZINC21511630	Cc1cc(C)c(C(C)Nc2cc(Cl)cc(Cl)c2)c(C)c1
ZINC21512342	CC(Nc1cc(Cl)c(Cl)cc1Cl)c1ccc(Cl)cc1
ZINC21517577	CSc1ccc(NC(C)C23CC4CC(CC(C4)C2)C3)cc1
ZINC21812306	CC(Nc1cc(Cl)c(Cl)cc1Cl)c1cccc(Cl)c1
ZINC21817219	CC(Nc1cccc(Cl)c1)c1ccc(C(C)(C)C)cc1
ZINC21818982	CC(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)ccc1Cl
ZINC35624416	Clc1ccc(NC2CC3CC2C2CCCC32)cc1Cl
ZINC35625143	CCC(Nc1ccc(C)cc1)c1ccc(Cl)cc1Cl
ZINC35625460	CCC(Nc1ccc(C)cc1Cl)c1ccc(Cl)cc1Cl
ZINC36813695	Clc1cc(Br)ccc1NC1C2CC3CC(C2)CC1C3
ZINC36841534	CSc1ccc(NC2CC(c3cccc(Cl)c3)C2)cc1
ZINC36842347	Clc1ccc(C2CC(Nc3cccc(Br)c3)C2)cc1
ZINC36845316	Fc1ccc(NC2CC(c3cccc(Cl)c3)C2)cc1Cl
ZINC36919515	CC1CC(Nc2ccc(SC(F)F)cc2)CC(C)(C)C1
ZINC36919518	CC1CC(Nc2ccc(SC(F)F)cc2)CC(C)(C)C1
ZINC36956542	CC(Nc1ccccc1C(C)(C)C)c1ccc(Cl)s1
ZINC37009240	FC(F)(F)c1cc(NCc2ccc(Cl)s2)ccc1Cl
ZINC37047615	CC(Nc1ccc(C(F)(F)F)cc1Cl)c1ccc(Cl)cc1
ZINC37085859	CC1CCCC(Nc2ccc(SC3CCCC3)cc2)C1
ZINC37085862	CC1CCCC(Nc2ccc(SC3CCCC3)cc2)C1
ZINC37197474	CC(C)C(Nc1cc(Cl)c(Cl)cc1Cl)c1cccs1
ZINC37197523	CC(C)C(Nc1cc(Cl)c(Cl)cc1Cl)c1ccccc1
ZINC37197803	FC(F)Sc1ccccc1NC1CCC2CCCCC2C1
ZINC37198415	CCC(Nc1cc(F)ccc1F)c1cccc(Br)c1
ZINC37198592	Fc1cc(Br)ccc1NC1CCC2CCCCC2C1
ZINC37198676	Fc1ccc(C(Nc2ccc(Br)cc2F)C2CC2)cc1
ZINC37201704	CCC(Nc1ccc(F)c(F)c1)c1cccc(Br)c1
ZINC37212311	CCC(Nc1ccc(F)cc1F)c1cccc(Br)c1
ZINC37231186	CC(C)c1cccc(NCc2c(Cl)ccc(Cl)c2Cl)c1
ZINC37245203	Cc1ccc(NC(c2ccc(Cl)cc2)C2CC2)c(Cl)c1
ZINC37248913	CC(C)C(Nc1c(Cl)cc(Cl)cc1Cl)c1cccs1
ZINC37252804	CC(Nc1ccc(Br)cc1Cl)C1CCCCC1
ZINC37424074	CC(C)(C)c1ccccc1NCc1cc(Cl)cc(Cl)c1
ZINC37105398	CC(C)CC(C)Nc1ccc(I)cc1Cl
ZINC37200043	CC(C)c1ccc(NC(C)c2sccc2Br)cc1
ZINC19232983	CC(C)c1ccccc1NC(C)c1ccc(Cl)cc1Cl
ZINC20565812	CC(C)c1cccc(NC(C)c2cccc(Br)c2)c1
ZINC21511784	CC(C)c1ccc(C(C)Nc2ccc(Cl)cc2Cl)cc1
ZINC00342072	CN1C(=O)C2(NN=C(c3ccccc3)S2)c2ccccc21
ZINC00969001	Cc1ccc(N2C(=O)C(C)SC23C(=O)Nc2ccccc23)cc1
ZINC04117472	CC1(C)c2ccccc2N2CCC(=O)NC21/C=C/c1cccnc1
ZINC04269200	CC1SC2(C(=O)Nc3ccccc32)N(c2ccccc2)C1=O
ZINC03671698	CCc1cc(Br)ccc1-n1[nH]c(=O)ccc1=O
ZINC00520786	CC1=CC=CN2C(=O)NC(C(F)(F)F)(C(F)(F)F)N=C12
ZINC00483714	Cn1cc(Cl)c(C(=O)Nc2ccccc2Br)n1
ZINC00108705	O=C1CCCC2=C1C(c1cccnc1)c1c(ccc3ncccc13)N2
ZINC00329379	Cc1cccc(C)c1NC(=O)N1CCSC1c1cccn1C
ZINC02483589	CSc1nc2ccc3nc(NC(C)=O)sc3c2s1
ZINC05171595	O=C(N/N=C1/CC2CCC1C2)c1ccc(Br)o1
ZINC00996079	Cc1cc(Br)ccc1NC(=O)c1nn(C)cc1Cl
ZINC05679489	Cc1ccc(CN2C(=O)NC3(CCCc4sccc43)C2=O)cc1
ZINC06526729	Cc1c(Br)c(C(=O)NC2CCCC(C)C2C)nn1C
ZINC02552082	O=c1[nH]c2ccccc2c(Cl)c1S(=O)(=O)c1ccccc1
ZINC06669535	O=C1CCCC2=C1C1c3ccccc3C(=O)N1c1ccccc1N2
ZINC08863418	N#CC(c1nc2ccccc2[nH]1)c1nc2ccccc2s1
ZINC12375233	O=C1CCCC2=C1C(c1ccncc1)c1c(ccc3ncccc13)N2
ZINC14162854	CC1CCc2c(sc3ncnc(N4CCCC(CO)C4)c23)C1
ZINC01302162	CC(C)Cn1c(=S)[nH]c2sc3c(c2c1=O)CC(C)(C)OC3
ZINC19814945	Cc1cc(C)nc(NC(=O)c2cc(F)ccc2Br)n1
ZINC20594227	Cc1cc(-c2csc3[nH]c(C(C)Cl)nc(=O)c23)c(C)o1
ZINC23184513	O=C(Nc1cc(Cl)cc2cccnc12)c1ccnc(Cl)c1
ZINC24992058	Cc1sc(NC(=O)C2Cc3ccccc3O2)c(C#N)c1C
ZINC35678557	O=C(Nc1cccc(Br)n1)c1ccc2ccccc2n1
ZINC35739691	CC(c1ccco1)n1c(=S)[nH]c2sc3c(c2c1=O)CCC3
ZINC05153650	CC1C(=O)N2CCCc3cc(NC(=O)C4CCCC4)cc1c32
ZINC37291424	CN1C(=O)/C(=C\C(=O)NC2CCCCC2)Sc2ccccc21
ZINC37291446	CN1C(=O)/C(=C\C(=O)NC2CC3CCC2C3)Sc2ccccc21
ZINC37437038	O=C(Nc1ncc(Br)s1)C1Cc2ccccc2O1
ZINC12601706	O=C(Nc1nncs1)C12CC3CC(CC(Cl)(C3)C1)C2
ZINC39523245	CC(C)S(=O)(=O)C1CCCC2(CCCC(Cl)N2O)C1
ZINC40804349	Cc1ccccc1NC(=O)C1(C)Sc2ccccc2N(C)C1=O
ZINC41039791	O=C(Nc1ccc(Cl)c2ncccc12)c1ccnc(F)c1
ZINC44451433	Cc1nc2cc(NC(=O)c3cc(Cl)ccn3)ccc2s1
ZINC47862483	O=C(Nc1cc(F)c(N2CCCC2)c(F)c1)N1CCSCC1
ZINC48811486	Cc1nc(C)c(C(=O)Nc2nc3c(s2)CCCCC3)s1
ZINC48909972	Cc1n[nH]c(C(=O)N2CCC3CCCCC3C2)c1Br
ZINC49550232	Cc1nn(C)c2c1C(c1cccc3ccccc13)SCC(O)=N2
ZINC49550232	Cc1nn(C)c2c1C(c1cccc3ccccc13)SCC(=O)N2
ZINC49659274	O=C(NC1CCCCCC1)c1cc2c3c(c1)CCC(=O)N3CCC2
ZINC53847945	O=c1[nH]c(Cc2cccc3cccnc23)nc2ccsc12
ZINC54751839	Cc1cccc(-c2nc(=O)c3c(-c4cccs4)csc3[nH]2)n1
ZINC55036964	CSc1ccc2c(C)cc(N3CCNC(=O)CC3)nc2c1
ZINC57305090	Cc1n[nH]c(C(=O)N2CCCC3CCCCC32)c1Br
ZINC58366198	CN1c2ccccc2C(=O)NC1c1csc(-c2ccsc2)n1
ZINC42039425	CC1=C(c2nnc(C)n2C2CCCCC2)C(=N)SC1C
ZINC63525552	CC1=C2C(N=N1)NC(=O)CSC2c1ccccc1C(F)(F)F
ZINC63525633	CC1=C2C(N=N1)NC(=O)CSC2c1ccc(Cl)cc1
ZINC65216560	Cn1cc(C(=O)Nc2ccc(F)cc2Cl)c2cccnc21
ZINC67587303	Cc1ccc(C2(O)CCN(c3ccc4ccccc4n3)CC2)nc1
ZINC01631497	Nc1nc(Cl)c2ncn(C3C=CC(O)CC3)c2n1
ZINC15424143	CC1CCCN(S(=O)(=O)c2ccsc2C(=O)NN)C1
ZINC15424153	NNC(=O)c1sccc1S(=O)(=O)N1CCCCC1
ZINC16755293	Cc1c(C(=O)NN)sc2nc3n(c(=O)c12)CCC3
ZINC22221533	CC(C(=O)Nc1ccc(N)cc1Cl)n1cncn1
ZINC28970468	CC(C)n1c(-c2ccnc(N)n2)cc2c1CCNC2=O
ZINC30663659	O=C1CSc2ccc(C(=O)Nc3cn[nH]c3)cc2N1
ZINC35429086	NC(=O)C1CCCN1c1nc2sccn2c1CO
ZINC35783654	CC1CN(c2cc3nc[nH]c(=O)c3cc2N)C(C)CO1
ZINC37372628	Nc1cnn(CC(=O)Nc2cccc3cnccc23)c1
ZINC38062564	Nc1cc2c(cc1NCC1COCCO1)OCCO2
ZINC04108593	COC(O)C1(C)C(C#N)=C(N)OC2=C1C(=O)CC(C)(C)C2
ZINC40335920	Cc1noc(CNC(=O)c2cc(Cl)ccc2N)n1
ZINC40716435	C[NH+]1CCCC(NC(=O)NC2CCC(C(=O)[O-])CC2)C1
ZINC42396783	CNC(=O)C1CCCN1c1nnc(C)c(C)c1C(N)=S
ZINC42440555	CC(Cl)C(=O)NC(=O)N1CCC(CC(N)=O)CC1
ZINC42440557	CC(Cl)C(=O)NC(=O)N1CCC(CC(N)=O)CC1
ZINC43438082	CC(CO)NC(=O)Nc1nc2c(s1)CN(C)CC2
ZINC44783344	CN1CCN(C(=O)C2(/C(N)=N/O)CCCCC2)CC1
ZINC44784872	CN(C(=O)C1(/C(N)=N/O)CCOCC1)C1CCCC1
ZINC44785195	CC1CN(C(=O)C2(/C(N)=N/O)CCCC2)C(C)CO1
ZINC44785894	N/C(=N/O)C1(C(=O)N2CCN(C3CC3)CC2)CCCC1
ZINC48402959	O=C1NC(=S)NC(=O)C1=CNc1cccnc1Cl
ZINC48565743	O=C(Nc1cccc(-n2cc[nH]c2=S)c1)c1cc[nH]n1
ZINC48698071	Cc1cc(C(=O)Nc2cc(C(F)(F)F)c[nH]c2=O)[nH]n1
ZINC48772243	Cn1cc(Sc2cc3nc[nH]c(=O)c3cc2N)cn1
ZINC50306319	Cc1[nH]nc(C(=O)N2CCn3c(C)ccc3C2C)c1N
ZINC50695890	Nc1ncc(Br)cc1C(=O)Nc1ncccn1
ZINC50703781	CC(C)c1ncc(N)c(C(=O)NC2CCOCC2)n1
ZINC17027636	CSc1nc2n(n1)C(c1ccccc1)C(C#N)=C(N)N2
ZINC50930214	[NH3+]C1CCN(C(=O)N2CCC(CCC(=O)[O-])CC2)CC1
ZINC51021844	Nc1nc(CSc2ncnc3nc[nH]c23)cs1
ZINC51123483	CCC1COC(C)CN1C(=O)c1cccnc1NN
ZINC51927111	Cc1ncn(-c2nc3c(cc2/C(N)=N/O)CCC3)c1C
ZINC50641592	N#Cc1ccc([N-]S(=O)(=O)c2cc[nH+]c(N)c2)cc1
ZINC55172553	COc1ncccc1NC(=O)c1sc(N)nc1C
ZINC55273053	Cc1nn(C)c(C)c1NC(=O)Cc1csc(N)n1
ZINC58162442	O=C(Nc1nnc(C2CC2)s1)NC1CCCCC1O
ZINC42430144	CC1CCC(C(N)=O)CN1c1nc2sccn2c1CO
ZINC61091688	Nc1ccc(=O)n(CC(=O)Nc2nc3c(s2)CCC3)c1
ZINC61684517	[NH3+]CC#Cc1ccccc1S(=O)(=O)[N-]c1ccon1
ZINC61809950	Cc1ccc(=O)n(CC(=O)Nc2cc(F)ccc2N)n1
ZINC61843688	N/C(=N/O)c1ncn(Cc2ccc(Br)s2)n1
ZINC62006752	CNC(=O)c1nsc(C(=O)N2CCCC(C)C2)c1N
ZINC62662548	NC(=O)NCC1CCCN(C(=O)c2cscn2)C1
ZINC62768914	Nc1nn(CC(=O)NC2CCOCC2)cc1Br
ZINC48261152	Cc1ccc(C(C)NC(=O)C2CCCN(C(N)=O)C2)o1
ZINC48261154	Cc1ccc(C(C)NC(=O)C2CCCN(C(N)=O)C2)o1
ZINC67277075	CC1CC1NC(=O)C1CCC2(CC1)NC(=O)NC2=O
ZINC67330328	Cc1cc(C(C)NC(=O)C2CCCN(C(N)=O)C2)c(C)o1
ZINC00037962	COc1ccccc1Nc1ncnc2ccc(Br)cc12
ZINC02471983	CC(C)c1ccc(C2CC(c3ccccc3)Nc3ncnn32)cc1
ZINC00503452	Cn1cc(/C=C(\C#N)C(=O)Nc2ccc(Cl)cc2)c2ccccc21
ZINC04916845	Cc1ccc(NC2c3ccccc3C(=O)N2c2ccc(C)cn2)cc1
ZINC05166261	C/C(=N\Nc1ncnc2sc(C)c(C)c12)c1ccc(Cl)s1
ZINC03371836	O=C(N/N=C/c1c(F)cccc1Cl)c1ccc2ccccc2n1
ZINC07469309	Cc1sc2ncnc(NC(C)c3cc4ccccc4o3)c2c1C
ZINC08391755	CC(C)c1cc(=O)c2c(C3CCCC3)nn(-c3ccccc3)c2[nH]1
ZINC09527358	Cc1cccc(-c2ocnc2C(=O)Nc2ccc(F)cc2Cl)c1
ZINC09691700	CCNC(=O)N(C1=NCCCCC1)c1ccc(Br)cc1
ZINC10298939	CC1Cc2cc(/C=C(/C#N)C(=O)Nc3ccccc3Cl)ccc2O1
ZINC11914806	CC1CCc2noc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C1
ZINC05594184	Cc1ccc(-c2nc3ccccn3c2NC(=O)c2cccs2)cc1
ZINC06745360	O=C1c2ccccc2C(Nc2ccccc2Cl)N1c1ccccn1
ZINC04386195	Cc1ccc2nc(CSc3ncnc4sc(C)cc34)[nH]c2c1
ZINC14245959	CCc1sc(C(=O)Nc2cc3c(cc2Cl)OCO3)cc1C
ZINC16597865	Cc1ccc(NC(=O)c2ccc(-n3cnc4ccccc43)cc2)cc1
ZINC17135616	Cc1cccc(N(C(=O)Nc2ccccc2)C2=NCCC2)c1C
ZINC20926403	CC(C)(C)C1CCC(=NNC(=O)c2ccc3ccccc3n2)CC1
ZINC22451104	Cc1cccc(Cc2c(C)nc(N3CCCCC3C)[nH]c2=O)c1
ZINC06344037	O=C(Nc1nnc(C23CC4CC(CC(C4)C2)C3)s1)c1ccccc1
ZINC34847485	O=C1/C(=C/c2ccccc2)N=C(c2ccccc2)NN1c1ccccc1
ZINC35411852	O=C(Nc1cc2c(cc1Cl)OCO2)c1cccc(CCl)c1
ZINC35959458	Cc1cc(C)cc(-c2nc3cc(C)ccn3c2NC(=O)C2CCC2)c1
ZINC37131322	O=[N+]([O-])c1ccc(NC2CCc3ccccc32)c(Br)c1
ZINC00088791	Cc1cccc(Nc2nc(-c3c(C)nc4ccccn34)cs2)c1
ZINC00516935	Cc1cc(C)c(NS(=O)(=O)c2cccc3cccnc23)c(C)c1
ZINC08666987	Cc1ccccc1S(=O)(=O)c1c(C)cc(-c2ccccc2)[nH]c1=O
ZINC38910184	Cn1c(-c2nc(C(=O)NC3CCCC3)cs2)cc2ccccc21
ZINC39442119	CC1N=C2C=C/C(=[NH+]\CC3(c4ccc(F)cc4)CCOC3)C=C2[N-]1
ZINC39442121	CC1N=C2C=C/C(=[NH+]\CC3(c4ccc(F)cc4)CCOC3)C=C2[N-]1
ZINC39984785	Cc1cccc([N-]C2=NC(=O)/C(=C\C3=c4ccccc4=[NH+]C3)S2)c1
ZINC45529039	Cc1cc(F)ccc1NC(=O)/C=C/c1c(Cl)nc2sccn12
ZINC49925868	CC1CCn2c([nH+]c(-c3ccc(C(C)(C)C)cc3)c2C(=O)[O-])C1
ZINC06243717	[O-]C1=c2ccccc2=NC2=[NH+]CC(CSc3ccc(F)cc3)N21
ZINC00617608	CCc1ccc(C2CC(c3ccccc3Cl)Nc3ncnn32)cc1
ZINC56715340	COc1c(F)cc(NC(=O)N2CCCC2C2CCCC2)cc1F
ZINC57335197	CC(Nc1cc(Cl)c(Cl)cc1Cl)C(=O)N1CCOCC1
ZINC20932771	Cc1sc2ncnc(N/N=C/C3=CCC4CC3C4(C)C)c2c1C
ZINC16234424	COc1ccc(C(=O)Nc2ccc3c(c2)-c2ccccc2C3)cn1
ZINC58414559	O=C(NC12CC3CC(CC(C3)C1)C2)c1cnc(-c2ccccc2)nc1
ZINC17070872	CC1=NN(c2ccc(F)cc2)C(=O)/C1=C(\C)Nc1ccc(C)cc1C
ZINC36635417	Cc1cccc(N2C(=O)CC(Nc3ccc(Cl)cc3)C2=O)c1C
ZINC59920974	O=C(Nc1cccnc1N1CCCCC1)C12CC3CC(CC(C3)C1)C2
ZINC60135590	COc1cc(Cl)ccc1C(=O)Nc1ccc2nc(C)sc2c1
ZINC60658088	O=C(Nc1ccc(Cl)cn1)c1cc(C2CC2)nc2ccccc12
ZINC62424263	Cc1cc(-c2ccccc2F)c(C(=O)[O-])c(N2CCCC(C)C2)[nH+]1
ZINC39777679	N#C/C(=C\C1C=NN=C1c1ccccc1)C1Nc2ccccc2S1
ZINC65229866	Cc1ccccc1NC(=O)c1ccc2nc(-c3ccccc3)cn2c1
ZINC67341829	O=C1NC2SC3=C(CCCC3)C2C(=O)N1CCc1ccccc1
ZINC00375503	Cc1ccc2nc(-c3ccc(NC(=O)c4ccoc4C)cc3)sc2c1
ZINC02471992	CC(C)c1ccc(C2CC(c3ccc(F)cc3)Nc3ncnn32)cc1
ZINC00216878	Cc1cc(C)cc(-n2c(C)nc3cc(C(=O)NC4CCCC4)ccc32)c1
ZINC02647495	Cc1ccccc1C(=O)Nc1cccc(-c2cn3cccc(C)c3n2)c1
ZINC01065893	Cc1nc2sccn2c1-c1csc(Nc2ccccc2Cl)n1
ZINC00387829	Cc1cc(-c2n[nH]c3c2C(C)CCC3C(C)C)nn1-c1ccccc1
ZINC04878494	C/C(=N\NC(=O)c1cc(C)nc2ccccc12)c1ccc(C)cc1
ZINC00472871	COc1ccc(Cl)cc1Nc1ncnc2sc3c(c12)CCC3
ZINC05059329	CC(C)c1ccc2[nH]c3c(c2c1)CCC/C3=N/N=C/c1ccncc1
ZINC05374082	Cc1cc(C)cc(C(=O)Nc2ccc3c(c2)CCCN3C(=O)C(C)C)c1
ZINC03597829	O=C(Cc1ccc(Cl)cc1Cl)Nc1ccc2c(c1)OCO2
ZINC06845305	Cc1ccc(Cn2c(O)c(/C=C3\C=Nc4ccccc43)sc2=O)cc1
ZINC11261111	O=C(Nc1ccc(-n2cnc3ccccc32)cc1)c1ccc(Cl)cc1
ZINC11635023	Cc1cc2oc3c(c2cc1NS(C)(=O)=O)CC(C(C)(C)C)CC3
ZINC12366862	O=C(/C=C\c1ccc2c(c1)OCO2)Nc1ccc(Cl)cc1Cl
ZINC12618856	Cc1ccc(NC(=O)c2nn(-c3ccc(F)cc3)c3c2CCC3)c(C)c1
ZINC06745347	Cc1c(Cl)cccc1NC1c2ccccc2C(=O)N1c1ccccn1
ZINC08436671	O=C(Nc1ccccn1)c1ccc(-c2nc3ccccc3s2)s1
ZINC12529513	Cc1ccc2nc(CSc3nc4ccc(Cl)cc4[nH]3)cn2c1
ZINC06248193	CC1=Nc2ccccc2N=C(NC(=O)C(C)Cl)C1c1ccccc1
ZINC20672146	Cc1ccccc1Nc1nn(-c2ccc(F)cc2)c2c1C(=O)CCC2
ZINC21107958	Cc1ccc(N2C(=O)c3cccnc3C2Nc2ccc(F)cc2C)cc1
ZINC21108196	Cc1ccc(NC2c3ncccc3C(=O)N2c2ccccc2)c(Cl)c1
ZINC22453861	Cc1ccc(Cc2c(C)nc(N3C(C)CCCC3C)[nH]c2=O)cc1
ZINC22504171	COc1ccc(F)cc1C1=NN/C(=N\c2cccc(Cl)c2)SC1
ZINC27525267	Cc1ccccc1N(C(=O)Nc1cccc(Cl)c1)C1=NCCS1
ZINC28165811	COc1ccc(Nc2ncnc3sc4c(c23)CCC4)cc1Cl
ZINC29515693	Cc1cc(NC(=O)C(C)(C)C)sc1C(=O)N1CC(C)CC(C)C1
ZINC31809077	Cc1ccccc1NC(=O)c1nn(-c2ccccc2F)c2c1CCC2
ZINC33073267	Cc1ccc(NC(=O)c2cnc(N3CCCCC3)c3ccccc23)cc1
ZINC00408679	COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1C1CCCCC1
ZINC34915048	Cc1cc(C)cc(-c2nc3cc(C)ccn3c2NC(=O)C(C)Cl)c1
ZINC36277214	CC(=O)c1cccc(Nc2nc(Cl)nc3sc(C)cc23)c1
ZINC36390511	CC1Oc2ccccc2OC1C(=O)Nc1ccccc1C(C)(C)C
ZINC00041837	CC1(C)CC(=O)C(=NNc2cc(C(F)(F)F)ccc2Cl)C(=O)C1
ZINC02468859	Cc1ccc2nc(-c3ccncc3)c(Nc3ccccc3C)n2c1
ZINC37996135	CN(C)c1ccc(NC(=O)c2nc(Cl)ccc2Cl)cc1Cl
ZINC03909837	Cc1ccn2c(Nc3ccccc3C)c(-c3ccccn3)nc2c1
ZINC36693010	O=C(Nc1nnc(C23CC4CC(CC(C4)C2)C3)s1)C1CC=CCC1
ZINC44821419	CC(NC(=O)c1c(Cl)nc2ccccn12)c1ccccc1Cl
ZINC45560782	Cc1ccc(-c2nc(C(=O)Nc3ccc4ccccc4n3)cs2)cc1
ZINC46907435	CN(Cc1cccc(C#N)c1)C(=O)NC1CC2CCC1(C)C2(C)C
ZINC48580458	FC(F)Oc1ccc(-c2nc3ncc(Br)cc3[nH]2)cc1
ZINC54734457	Cc1ccc(C(C)NC(=O)N2CCCCCC2c2ccncc2)s1
ZINC44015158	CC(c1cccs1)N(C)C(=O)Nc1ccc(Cl)c2cccnc12
ZINC59520046	O=C(Nc1ccc(Cl)cc1)O/N=c1\ssc2c1CCC2
ZINC61056481	O=C(Nc1c(-c2ccccc2)nc2ccccn12)c1cc(F)ccc1F
ZINC63541370	CC(C)c1ccc(NC(=O)C2=NN=C3c4ccccc4SCC23)cc1
ZINC64561502	Cc1ccc(C(C)N(C)C(=O)Nc2ccc3c(c2)CCCN3C)s1
ZINC66699949	Cc1ncsc1CN(C)C(=O)NC1CC2CCC1(C)C2(C)C
ZINC01193960	COC(=O)C[NH2+]C(c1ccccc1)c1cc(Br)ccc1NC(=O)c1ccccc1
ZINC09836261	O=C(C[NH2+]C(c1ccccc1)c1ccccc1)N1c2ccccc2NC(=O)C12CCCC2
ZINC12072817	O=C(CC1C(=O)NCC[NH+]1Cc1c(F)cccc1Cl)NC1C2CC3CC(C2)CC1C3
ZINC12161956	O=c1c2c3c(sc2ncn1CCc1c[nH]c2ccccc12)CC([NH2+]C1CCCC1)CC3
ZINC12704950	CC[NH+](CC)CCN(Cc1cc2c(C)cc(C)cc2[nH]c1=O)C(=O)Nc1ccc(Cl)cc1
ZINC12705576	CC[NH+]1CCCC1CN(Cc1cc2c(C)cc(C)cc2[nH]c1=O)C(=O)Nc1ccc(Cl)cc1
ZINC09731455	Cn1c(C[NH2+]C(C(=O)Nc2cc(Cl)cc(Cl)c2)c2ccccc2)nc2ccccc21
ZINC15038056	Cc1ccc(NC(=O)C(C)[NH+](C)CC(=O)Nc2c(Cl)cccc2Cl)c(Br)c1
ZINC20728635	CC(C)[NH+](CCCNC(=O)c1ccc(/C=C2/Sc3ccccc3NC2=O)cc1)Cc1ccccc1
ZINC20734537	CCCC[NH+](CCC)CNC(=O)c1ccc2c(c1)NC(=O)/C(=C\c1ccccc1F)S2
ZINC20764172	CCOc1cccc(C2CC(c3ccc(Cl)cc3)=NC(c3ccc(F)cc3)[NH2+]2)c1O
ZINC20814959	CC[NH+](CC(=O)NC(=O)Nc1ccc(C)cc1C)Cc1ccc(Br)s1
ZINC22782071	O=C(CN1CC[NH+](CC(=O)NC(c2ccccc2)c2cccs2)CC1)Nc1ccccc1Cl
