ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC38019283	C[N@H+]1[C@H]2CC[C@@H]1C[C@@H](CNc1cccc(F)c1[N+](=O)[O-])C2
ZINC40001500	C[C@H]1CC(C)(C)C[C@]2(C1)NC(=O)N(C[NH+]1CCCCC1)C2=O
ZINC40001537	CC1CC[NH+](CN2C(=O)N[C@@]3(C[C@H](C)CC(C)(C)C3)C2=O)CC1
ZINC40584559	C[C@H](Nc1ccnc(-n2ccc3cc[nH+]cc32)n1)c1ccccc1
ZINC41566197	c1cc2c(cc1OCc1nc(C3CC[NH2+]CC3)no1)CCCC2
ZINC48235534	N#Cc1c(Cl)nsc1NCCc1cn2ccccc2[nH+]1
ZINC49036243	C[N@H+]1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccc3[nH]ncc3c2)cn1
ZINC13817152	Cc1ccc(/C=C2\Oc3c(ccc(O)c3C[NH+]3CCCC3)C2=O)o1
ZINC57568949	COc1ccc(NCc2cc(=O)n3c(C)csc3[nH+]2)cc1
ZINC57865649	CC(C)Cc1nc2cc3c(cc2n1CC1CC[NH2+]CC1)OCCO3
ZINC57866697	c1c2c(cc3c1nc(C1CC1)n3CC[C@@H]1CCCC[NH2+]1)OCO2
ZINC57866718	CC(C)c1nc2cc3c(cc2n1CC[C@@H]1CCCC[NH2+]1)OCCO3
ZINC13570393	COc1ccc([C@@H]2C=C(c3ccccc3)N=C3NC(C)=NN32)cc1
ZINC13570393	COc1ccc([C@@H]2CC(c3ccccc3)=Nc3nc(C)nn32)cc1
ZINC05289297	COc1cccc(/C=[NH+]/[C@H](C)c2ccc3c(c2)OCCO3)c1O
ZINC06533904	Cc1ccc2c(c1)C(c1ccncc1)=NNC(c1cccnc1)=N2
ZINC13132244	COc1cccc([C@H]2C[C@@H](c3ccccc3)n3ncnc3N2)c1
ZINC63201195	O=[N+]([O-])c1ccc(N2CCC([C@@H]3CCC[NH2+]3)CC2)c(F)c1
ZINC63201198	O=[N+]([O-])c1ccc(N2CCC([C@H]3CCC[NH2+]3)CC2)c(F)c1
ZINC63255113	CC(C)(C)c1cn2nc(N[C@@H]3CC[N@H+](C4CC4)C3)sc2n1
ZINC63280688	CC(C)Cc1nnc2n1N[C@@H]([C@H]1C=c3ccccc3=[NH+]1)S2
ZINC63350040	O=C1[C@@H](CC2=c3ccccc3=[NH+]C2)N=C(O)N1c1ccccc1
ZINC63511263	Cc1nc(C2([NH2+]Cc3nc4ccccc4s3)CCCC2)no1
ZINC64050478	O=C(OC[C@H]1Nc2ccccc2O1)C1=c2ccccc2=[NH+]C1
ZINC64230932	COc1ccccc1/C=N/NC(=O)C1=c2ccccc2=[NH+]C1
ZINC45301261	COc1ccc2/c(=[NH+]\N=C\c3ccncc3)cc(C)[nH]c2c1
ZINC45302079	CCOc1ccc2[nH]c(C)c/c(=[NH+]\N=C\c3cccnc3)c2c1
ZINC65383398	Cc1cccc(Cn2c(CC3=c4ccccc4=[NH+]C3)n[nH]c2=O)c1
ZINC58226012	c1ccc(-c2cnc(C[NH+]3CCC(c4cc[nH]n4)CC3)o2)cc1
ZINC58267385	Fc1ccc(-c2nc(C[NH+]3CCC(c4cc[nH]n4)CC3)co2)cc1
ZINC65425271	O=C1C[C@H]2CC[C@@H](CN1)N2C(=O)CCC1=c2ccccc2=[NH+]C1
ZINC00723908	Oc1c([C@H](c2ccccc2Cl)[NH+]2CCCCC2)ccc2cccnc12
ZINC04185459	CC(C)[NH2+]CC(=O)N1c2ccccc2-n2cccc2[C@H]1c1cccc(Cl)c1
ZINC01827776	CCC[NH+]1CCC2(CC1)Oc1ccccc1[C@H]1C=C(c3ccccc3Cl)NN12
ZINC06550550	c1csc(-c2nc(N[C@H]3C[N@H+]4CC[C@@H]3CC4)c3c4c(sc3n2)CCC4)c1
ZINC00259200	C[NH2+]CC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21
ZINC07267656	Cc1cc2oc(=O)cc(C[NH2+][C@H](C)c3ccc(Cl)cc3Cl)c2cc1Cl
ZINC05763598	Oc1cc2c(cc1[C@@H](c1ccc(Br)cc1)[NH+]1CCCC1)OCO2
ZINC12383356	C[C@H]([NH2+]CC1(c2ccccc2)CCCC1)[C@@H]1COc2ccccc2O1
ZINC12748027	Cc1c([C@H](C)[NH2+]Cc2ccc(Cl)c(F)c2)cnn1-c1ccc(F)cc1F
ZINC12799094	C[C@@H]([NH2+]Cc1coc(-c2ccc(Cl)cc2)n1)c1cccc(F)c1
ZINC07002129	O=c1[nH]c(C[NH+]2CCCCCC2)nc2scc(-c3ccccc3Cl)c12
ZINC14992031	Oc1cc(-c2cccs2)cc2c1OCC[N@@H+](C[C@H]1CC=CCC1)C2
ZINC06076805	COc1ccc2c(c1)C(c1ccccc1)=N[NH+]=C(c1ccc(C)cc1)N2
ZINC20477431	Clc1cc(Br)ccc1-c1ccc(CN[C@@H]2C[N@H+]3CC[C@@H]2CC3)o1
ZINC20477479	Clc1ccccc1Cn1cc(CN[C@@H]2C[N@H+]3CC[C@@H]2CC3)c2ccccc21
ZINC20864921	COc1cccc([C@H]2[NH2+]Cc3c(sc4c3CCCC4)-n3cccc32)c1
ZINC05285901	Cc1ccc(C2=C[C@@H](c3cccs3)N3C(=N2)Nc2ccccc23)cc1
ZINC34697118	FC(F)(F)c1cccc([C@@H]2C[NH2+]C[C@H]2CN2CCN(c3ccccc3)CC2)c1
ZINC34697120	FC(F)(F)c1cccc([C@@H]2C[NH2+]C[C@@H]2CN2CCN(c3ccccc3)CC2)c1
ZINC35580975	CCC[NH2+][C@@H](c1ccc2c(c1)OCCO2)c1ccc(Br)s1
ZINC35616218	Cc1ccn2c(Nc3cccc(Cl)c3)c(-c3ccc(C)o3)[nH+]c2c1
ZINC35622332	CC1=NO[C@@H](c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)[N@H+](C)C1(C)C
ZINC35792206	Oc1ccccc1C[N@H+]1CCCn2cccc2[C@@H]1c1ccc(F)c(F)c1
ZINC36919957	C[C@H]([NH2+][C@H](C)c1cccc(Br)c1)c1ccc2c(c1)OCO2
ZINC37139571	C[C@H]1C[C@H](Nc2cc(Br)ccc2N(C)C)[C@H](C)C[N@@H+]1C
ZINC37283454	C[C@H]([NH2+][C@H](C)c1ccc(I)cc1)c1ccc2c(c1)OCO2
ZINC37301112	Brc1cc(C[NH2+]CCC2=CCCCC2)cc2c1OCO2
ZINC37522498	Cc1ccc(O)c(C[N@@H+]2CCCn3cccc3[C@H]2c2cccc(F)c2F)c1
ZINC04169094	Cc1ccc2c(c1)c1c(n2C[C@@H](O)C[N@H+]2CCCC[C@@H]2C)CCCC1
ZINC03697413	FC(F)(F)c1ccc(N2NC(c3cc4ccccc4o3)=C3CCCC[NH+]=C32)cc1
ZINC39984761	O=C1N/C(=N/c2cc(Cl)cc(Cl)c2)S/C1=C/C1=c2ccccc2=[NH+]C1
ZINC40086363	Cc1nn(-c2ccccc2Cl)c(Cl)c1C[NH2+]Cc1cccc(F)c1
ZINC45772546	C[C@H]([NH2+]Cc1cc(-c2ccc(Cl)cc2)no1)c1ccccc1Cl
ZINC05459130	Clc1ccccc1[C@@H]1C[C@H](c2ccccc2)Nc2[nH+]c3ccccc3n21
ZINC05461525	Fc1ccc([C@@H]2C[C@H](c3cccc(Cl)c3)n3c([nH+]c4ccccc43)N2)cc1
ZINC51545806	CC(C)(C)[NH2+]Cc1ccc(Oc2ccc(F)cc2Br)nc1
ZINC51570744	C[NH2+]Cc1cc(Br)cnc1Oc1c(C)ccc(C)c1C
ZINC20785631	Fc1cccc(-c2c[nH]nc2C2CC[NH+](Cc3ccc(F)cc3F)CC2)c1
ZINC54243039	C[N@@H+]1CCCC[C@H]1CNc1cc(Cl)c(OC(F)F)c(Cl)c1
ZINC61698435	CCC[NH2+][C@@H](C)c1ccc(-n2nc(C)c(C)c2C)c(Br)c1
ZINC62529072	CN(C(=O)NC1CC[NH+](CC2CCCCC2)CC1)C1CCCCC1
ZINC41513342	Cc1cc(O)c(C[NH+]2CCCC2)c2c1C(=O)/C(=C/c1ccc(C(C)C)cc1)O2
ZINC63312505	CSc1ccc(Cl)c(C(=O)NCc2ccc3c(c2)=C2CCCC[C@@H]2[NH+]=3)c1
ZINC63385229	Cc1ccc2c(c1)=C1CCN[C@@]3(C(=O)N(CCC(C)C)c4ccccc43)[C@@H]1[NH+]=2
ZINC63428661	CC1(C)CC(=O)C2=C(C1)c1c(ccc3ccccc13)N[C@@H]2[C@H]1C=c2ccccc2=[NH+]1
ZINC63571691	Cc1ccc([C@H]2[C@@H]3[NH+]=c4ccccc4=C3CCN2C(=O)NCCC(C)C)cc1
ZINC63780602	CC1(C)CC(=O)C[C@@]2(C1)NC[C@@H](c1ccccc1Cl)C1=c3ccccc3=[NH+][C@H]12
ZINC63818468	C=C(C)CN/N=C1\CC(C)(C)CC2=C1[C@@H]1[NH+]=c3ccccc3=C1C(CC)=N2
ZINC65967893	O=C(C[N@@H+]1C[C@H]2C[C@@H]3C[C@H](C2)C[C@H]1C3)Nc1c(F)cc(F)cc1Br
ZINC67378883	Brc1ccc(C2([NH2+]Cc3ncc(-c4cccs4)o3)CC2)cc1
ZINC04335572	CCNc1nc(SCc2ccc(Cl)cc2)nc2sc3c(c12)CC[N@@H+](C)C3
ZINC04957405	Cc1[nH]c(SCc2c(Cl)cccc2Cl)nc(=O)c1C[NH+]1CCCCC1
ZINC02405714	COc1ccc([C@H]2[C@@H]3CCCC[C@]3(O)CC[N@@H+]2Cc2ccccc2F)c(OC)c1
ZINC03381148	C[C@H](C(=O)Nc1cc(Cl)c(Cl)cc1Cl)[N@H+]1CC=C(c2ccccc2)CC1
ZINC06302163	Cc1ccc2nc(-n3cccc3C[NH2+][C@H](C)c3ccccc3)sc2c1
ZINC06343738	O=C(Nc1ccccc1Cl)N1CC[NH+](C[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)CC1
ZINC07002880	Cc1ccc(-c2c(C)sc3nc(C[N@H+]4C[C@@H](C)C[C@@H](C)C4)[nH]c(=O)c23)cc1
ZINC07539040	Cc1c(Cl)cccc1-c1ccc(C[NH2+]Cc2ccc3c(c2)OCO3)o1
ZINC08149065	Cc1cc(O)c(C[N@H+](C)[C@H](C)c2nc3ccccc3s2)cc1C(C)C
ZINC11880123	Fc1ccccc1[C@@H]1c2[nH]c3ccccc3c2CC[N@H+]1Cc1ccco1
ZINC12430535	Cc1c([C@@H](C)[NH2+]Cc2ccc3c(c2)CCO3)cnn1-c1cccc2ccccc12
ZINC05741023	OC1(c2ccc3c(c2)c2c4n3CC[N@H+](Cc3ccccc3)[C@H]4CCC2)CCCCC1
ZINC05812685	Cc1ccc([C@@H](c2cc(Cl)c3cccnc3c2O)[NH+]2CCCC2)cc1
ZINC12152685	COc1cccc(-c2nc3cc(F)ccc3cc2C[NH2+][C@H]2CCOC(C)(C)C2)c1
ZINC12319671	Cc1oc(-c2cccs2)nc1C[N@@H+]1CCC[C@H](Nc2ccccc2)C1
ZINC13401181	C[C@@]12CC[C@@H]3[C@H](CC[C@@]4(C)C(=O)[C@H](C[NH+]5CCCCC5)C[C@@H]34)[C@]1(C)CC[C@H](O)C2
ZINC13759143	COc1ccc([C@@H]2[C@H]3CCCC[C@@]3(O)CC[N@H+]2Cc2ccccc2F)c(OC)c1
ZINC05903679	CC1CC[NH+](Cc2c3occ(-c4ccc(Cl)cc4)c(O)c-3ccc2=O)CC1
ZINC19866851	CCc1ccc([C@H]2c3[nH]c4ccccc4c3CCN2Cc2[nH+]ccn2CC)cc1
ZINC21529313	Cc1cc(C(=O)/N=c2\[nH]c3c(s2)C[N@H+](Cc2ccccc2)CC3)sc1C
ZINC22855453	COc1ccc(-c2cs/c(=[NH+]\c3cccc(C)c3C)n2CCO)cc1
ZINC23312289	c1cc(-c2cnco2)cc(N2CCC([NH2+][C@@H]3CCc4ccccc4C3)CC2)c1
ZINC23611981	C[N@H+](Cn1nc(NC2CCCCC2)sc1=S)[C@@H]1CCCc2ccccc21
ZINC27794529	Cc1ccc2c(C)c(C(=O)NC[C@@H](c3ccc(Cl)cc3)[NH+]3CCCCC3)oc2c1
ZINC04158554	CCOc1ccc(C2=C(C)SC(/[NH+]=C3\C[C@H]4CC[C@]3(C)C4(C)C)=NN2)cc1
ZINC35007170	CCC[NH2+][C@H](C)c1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1C
ZINC35054882	Clc1ccc(Cl)c(C[NH2+]Cc2ccc3c(c2)OCO3)c1Cl
ZINC35884788	Fc1ccc(N2CCN(C[C@H]3C[NH2+]C[C@H]3c3cccc(C(F)(F)F)c3)CC2)cc1
ZINC36203765	C[N@@H+](Cc1nc2scc(-c3ccccc3Cl)c2c(=O)[nH]1)C1CCCCC1
ZINC36347906	Oc1ccccc1C[N@H+]1CCCn2cccc2[C@@H]1c1cccc(Oc2ccccc2)c1
ZINC39024390	Cc1ccc(C2=NC(C(=O)NCCC3=CCCCC3)=CC3=c4ccccc4=[NH+][C@@H]23)cc1
ZINC39228577	COc1cccc([C@H]2c3[nH]c4ccccc4c3CC[N@H+]2Cc2cccc(C#N)c2)c1
ZINC39411730	CN1[C@H](c2ccc(Cl)cc2Cl)[NH+]=N[C@@H]1SCc1c[nH]c2ccccc12
ZINC39702779	Cc1ccc(N2C(=O)c3ccccc3N[C@H]2/C=C/C2=c3ccccc3=[NH+][C@@H]2C)cc1
ZINC08532171	Cc1ccc(NC(=O)[C@@H](C)[N@@H+](C)Cc2cccc(Cl)c2)c(Br)c1
ZINC50359175	CCC[NH2+][C@H](C)c1sc(-c2cc(Br)c(Br)o2)nc1C
ZINC51546837	C[NH2+]Cc1cc(Br)cnc1Oc1cc(C)ccc1C(C)C
ZINC13810867	COc1cccc([C@H]2C[C@@H](c3ccc(Cl)cc3)Nc3[nH+]c4ccccc4n32)c1
ZINC61698093	C[NH2+][C@@H](C)c1ccc(N(C)c2ccc(OC)cc2)c(Br)c1
ZINC13810847	Clc1cccc(Cl)c1[C@@H]1C[C@H](c2ccccc2)Nc2[nH+]c3ccccc3n21
ZINC41291194	CC(C)(C)c1ccc(-c2cc(O)c3cc/c(=[NH+]\C(=O)C4CC4)cc-3o2)cc1
ZINC41512476	C[C@@H]1CCC[N@H+](Cc2c(O)ccc3c2O/C(=C/c2ccc(C(C)(C)C)cc2)C3=O)C1
ZINC41514515	Cc1cc(O)c(C[N@@H+](C)Cc2ccccc2)c2c1C(=O)/C(=C/c1ccccc1F)O2
ZINC41583636	Cc1cc(O)c(C[N@H+]2C[C@@H](C)C[C@@H](C)C2)c2c1C(=O)/C(=C\c1cccc(Cl)c1)O2
ZINC63294660	Cc1nc(-c2ccccc2Cl)sc1C(=O)NCCC1=c2ccccc2=[NH+]C1
ZINC63491692	CC(C)CNC(=O)N1CCC2=c3ccccc3=[NH+][C@H]2[C@@H]1c1ccccc1F
ZINC45463734	CC(C)C[NH+]1CCC(NC(=O)N(C)Cc2cccc(Cl)c2Cl)CC1
ZINC66077410	Cc1ccc(-c2ccc(=O)n(C[NH2+]C3(c4ccc(F)cc4)CCCC3)n2)s1
ZINC66793374	CC(C)(C)c1ccc(=O)n(C[NH2+]C(C)(C)c2ccc(Cl)c(Cl)c2)n1
ZINC67117160	Fc1ccc(-c2nc(C[NH+]3CCC(Nc4ccccc4)CC3)co2)cc1F
ZINC04453512	COc1ccc([C@H]2[C@H]3C[N@H+](C(C)C)CC=C3C(C#N)C(=N)C2(C#N)C#N)c2ccccc12
ZINC04671945	CCOC(=O)N1CCC([NH2+][C@H]2C(C)=C(C)C(=O)N2[C@@H]2CCCc3ccccc32)CC1
ZINC02403778	CCC[N@@H+]1CCc2c(sc3ncn4nc(-c5ccc6ccccc6c5O)nc4c23)C1
ZINC01882960	C=C(NN1CC[NH+](C2c3ccccc3-c3ccccc32)CC1)c1cccc([N+](=O)[O-])c1
ZINC03841484	O=c1c(NS(=O)(=O)c2cccc(F)c2)ccc2n1C[C@H]1C[C@@H]2C[N@H+](CC2CCCCC2)C1
ZINC03343587	c1cc2c(cc1CNc1nc(C[NH+]3CCCCC3)nc3sc4c(c13)CCC4)OCO2
ZINC10060188	CC1=C(C(=O)N2CC[NH+](Cc3ccccc3)CC2)[C@@H](c2ccccc2)n2c(nc3ccccc32)N1
ZINC10340904	COc1ccc(-n2c(C)c(C)c(C#N)c2NC(=O)C[N@@H+]2CCC[C@H]2c2ccccc2)cc1
ZINC11818816	Cc1ccc(C[NH2+]Cc2c(C(=O)N3C[C@H](C)O[C@H](C)C3)nc3ccc(Cl)cn23)cc1F
ZINC11936984	Clc1ccc(-n2cccc2C[N@@H+]2CCC[C@H](Nc3ccc4c(c3)OCO4)C2)nc1
ZINC12692369	C[N@@H+](CCOc1ccc(Cl)cc1)CC(=O)N1c2ccccc2NC(=O)C12CCCC2
ZINC12836581	CC(C)n1cc([C@H]2c3[nH]c4ccccc4c3CC[N@@H+]2Cc2cnc(N3CCCC3)s2)cn1
ZINC12850068	Cc1cccc(-c2nnc([C@H](C)[N@H+](C)CC(=O)Nc3c(Cl)cccc3Cl)o2)c1
ZINC08781469	COC(=O)[C@@]1(c2ccccc2)[NH2+][C@@H](c2ccccc2)[C@H]2C(=O)N(c3ccc(Cl)cc3)C(=O)[C@H]21
ZINC15674138	COc1ccc(C[N@@H+]2C[C@H](O)C[C@H]2c2nc(-c3ccc(C(F)(F)F)cc3)no2)cc1
ZINC16482566	CCOC(=O)[C@@H]1CCC[N@H+](Cc2nc3scc(-c4ccc(Cl)cc4)c3c(=O)[nH]2)C1
ZINC22785852	C[C@@H](c1nc2scc(-c3ccccc3)c2c(=O)[nH]1)[NH+]1CCN(Cc2ccc3c(c2)CCO3)CC1
ZINC31054726	O=C(N[C@@H]1C[C@H]2CC[C@@H]1C2)[C@H]1CCC[N@@H+](Cc2nc(-c3ccc(Cl)cc3Cl)no2)C1
ZINC01972122	CS(=O)(=O)c1ccc2nc(/[NH+]=c3/cc(-c4ccccc4)oc4ccc(O)cc34)sc2c1
ZINC33597758	Cc1ccc([C@@H]2NC(=O)N(C)C3=C2C(=O)N(C2CC[NH+](Cc4ccccc4)CC2)C3)c(C)c1
ZINC35324100	O=C(C[NH+]1CCCCC1)Nc1c(Br)cc([N+](=O)[O-])cc1Br
ZINC35492897	CN1C(=O)N[C@@H](c2ccc(C(C)(C)C)cc2)C2=C1CN(C1CC[NH+](Cc3ccccc3)CC1)C2=O
ZINC35671552	CCc1ccc([C@H](Cn2cnc3c4c(sc3c2=O)SCC(=O)N4)[NH+]2CCCCC2)cc1
ZINC39011895	COC(=O)[C@H]1[NH+]=c2cc(OC)ccc2=C1NC(=O)[C@@]12C[C@@H]3C[C@@H](C[C@@](Cl)(C3)C1)C2
ZINC39359615	COc1ccc([C@H]2CC([C@@H]3C(=O)[NH+]=c4ccc(Cl)cc4=C3c3ccccc3)=NN2)cc1OC
ZINC39431104	CC(C)CN1[C@@H](S[C@@H](C)c2nc3ccccc3c(=O)[nH]2)N=[NH+][C@@H]1c1ccccc1F
ZINC39431156	C[C@H](S[C@@H]1N=[NH+][C@H](c2ccc(F)cc2)N1c1ccc(F)cc1)c1nc2ccccc2c(=O)[nH]1
ZINC39700724	COc1ccc([C@H]2CC([C@@H]3C(=O)[NH+]=c4ccc(Cl)cc4=C3c3ccccc3)=NN2)c(OC)c1
ZINC39708098	O=C(CSC1=N[C@H]2[NH+]=c3ccc(F)cc3=C2N=N1)Nc1ccccc1-c1ccccc1
ZINC40959143	O=C(NC1CC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)CC1)c1cc(F)cc(F)c1
ZINC31173546	CC[N@H+](Cc1nc2scc(-c3ccccc3)c2c(=O)[nH]1)C[C@H]1COc2ccccc2O1
ZINC41511564	CCn1cc(/C=C2\Oc3c(C[N@@H+]4CCCC[C@H]4C)c(O)cc(C)c3C2=O)c2cc(OC)ccc21
ZINC41512318	Cc1cc(O)c(C[N@@H+]2CCC[C@H](C)C2)c2c1C(=O)/C(=C\c1cc(Cl)cc3c1OCOC3)O2
ZINC41514342	Cc1cc(O)c(C[NH+]2CCCCCC2)c2c1C(=O)/C(=C/c1cc(Cl)cc3c1OCOC3)O2
ZINC41515208	COc1ccc(OC)c(/C=C2/Oc3c(C[NH+]4C[C@H](C)C[C@@H](C)C4)c(O)cc(C)c3C2=O)c1
ZINC41585701	COc1ccc(N2CC[NH+](Cc3c(O)cc(C)c4c3O/C(=C\c3cccc(F)c3)C4=O)CC2)cc1
ZINC41586445	CCOC(=O)[C@@H]1CCC[N@H+](Cc2c(O)ccc3c2O/C(=C\c2ccccc2F)C3=O)C1
ZINC41586495	CCOC(=O)[C@@H]1CCC[N@H+](Cc2c(O)ccc3c2O/C(=C\c2cccc(C)c2)C3=O)C1
ZINC63376051	COc1cc2c(cc1Cl)[C@H](C)[C@@H](CC(=O)NCCC1=c3ccccc3=[NH+]C1)C(=O)O2
ZINC63486284	Cc1cc(C(=O)NCCC2=c3ccccc3=[NH+]C2)c2c(C)nn(-c3ccccc3Cl)c2n1
ZINC63541287	Cc1ccc(CS[C@H]2Nc3nccnc3C(=O)N2CCC2=c3ccccc3=[NH+]C2)cc1
ZINC63573570	COc1ccc2c(c1)=C1CCN(C(=O)NCc3ccco3)[C@H](c3ccc(C)cc3)[C@@H]1[NH+]=2
ZINC38965351	O=S(=O)(/N=C1\N=c2ccccc2=[NH+][C@@H]1Nc1ccc(F)cc1)c1ccc(F)cc1
ZINC38966521	O=S(=O)(/N=C1\N=c2ccccc2=[NH+][C@H]1NCCC1=CCCCC1)c1ccc(F)cc1
ZINC38975024	O=S(=O)(/N=C1\N=c2ccccc2=[NH+][C@H]1Nc1cccc(C(F)(F)F)c1)c1ccc(F)cc1
ZINC21670328	Cc1ccc(N2C(=O)C[C@@H](N3CC[NH+]=C3C3=C(O)/C(=C\c4ccc(Cl)cc4)CC3)C2=O)cc1
ZINC38995135	CC1=C(/C=N/N2C(=S)[NH+]=N[C@H]2c2ccccc2Br)[C@H](C)N(c2ccccc2)N1
ZINC64678771	Cc1ccc(CC(=O)N(C)CCC2=NO[C@@H]([C@H]3C=c4cc(Cl)ccc4=[NH+]3)N2)cc1
ZINC65182706	CC1=c2cc(C)ccc2=[NH+][C@@H]1[C@@H]1NC(CCN(C)C(=O)c2ccc(C(C)C)cc2)=NO1
ZINC65250083	O=C(C[N@H+]1CCCC[C@@H]1c1nc(-c2ccc(F)cc2)no1)NCc1ccc(F)cc1
ZINC05070397	CC[C@@H]1CCCC[N@H+]1Cc1c(O)c(Cl)cc2c(C)c(C)c(=O)oc12
ZINC03571703	C[N@@H+](Cc1nc2sc3c(c2c(=O)[nH]1)CCC3)Cc1c(F)cccc1Cl
ZINC11914598	O=S1(=O)CC[C@@H]([NH2+]Cc2ccc(-c3cc(Cl)ccc3Cl)o2)C1
ZINC12278971	CC(=O)Nc1ccc(C[N@H+]2CCOc3ccc(C4=CCCCC4)cc3C2)s1
ZINC12143841	Cc1cccc(C2(O)CC[NH+](Cc3nc4ccccc4n3C(C)C)CC2)c1
ZINC12441531	c1cc2c(cc1N[C@@H]1CCC[N@H+](C3CSCCSC3)C1)OCO2
ZINC12247309	Cc1ccc(C[N@@H+]2CCOc3ccc([C@H](O)c4cccnc4)cc3C2)c(C)c1
ZINC13595708	Cn1cc(C[N@H+]2CCc3c([nH]c4ccccc34)[C@@H]2C2CCCCC2)cn1
ZINC14201257	CC(C)c1nn(C[N@@H+]2CCc3sccc3[C@H]2c2ccccc2)c(=S)[nH]1
ZINC19641565	CC1(C)C[C@@H](C[N@@H+]2CCc3[nH]nc(-c4ccc(F)c(F)c4)c3C2)CCO1
ZINC19957657	CCn1cc[nH+]c1CN1CCc2c([nH]c3ccccc23)[C@@H]1C(C)(C)C
ZINC20319488	CCc1sc2ncnc(N3CC[NH2+]CC3)c2c1-c1ccc(C)cc1
ZINC20358282	C[NH+](C)Cc1c(O)ccc2c(=O)c(-c3ccc(Br)cc3)coc12
ZINC20421653	FC(F)(F)c1ccc(N2CC[NH+](Cc3c[nH]c4ccccc34)CC2)nc1
ZINC20995759	Fc1ccccc1-n1ncc2c1CCC[C@@H]2[NH2+]Cc1cc2ccccc2o1
ZINC05954703	C=C(C)C#C[C@](O)(C(=O)O[C@@H]1[C@H]2CC[N@H+](CC2)[C@@H]1C)C1CCCCC1
ZINC35541518	CC[NH2+][C@H](c1ccc2c(c1)OCCCO2)c1ccc(Br)o1
ZINC36266488	C[C@@H]1C[C@H]2C[NH2+]C[C@@H]2N1S(=O)(=O)c1ccc(Br)s1
ZINC37574217	C[C@@H]1C[C@@H]2C[NH2+]C[C@@H]2N1S(=O)(=O)c1ccc(F)cc1Br
ZINC37857603	C[C@H]1CCC[N@@H+](Cc2c(O)ccc3c2O/C(=C/c2ccc(F)cc2)C3=O)C1
ZINC04990326	COc1ccc(C[N@@H+]2CCc3c([nH]c4ccccc34)C2)c(OC)c1C
ZINC38803917	Fc1ccc(CNN2C3=[NH+]C=CCN3c3ccc4c(c32)CCC4)cc1
ZINC39354022	O=C(Cc1ccc(Br)cc1)N/N=C/C1=c2ccccc2=[NH+]C1
ZINC39394615	Cc1cccc([C@@H]2C=NN=C2C2CC[NH+](Cc3ccccc3O)CC2)c1
ZINC39960690	CCc1cccc2c1=[NH+]CC=2/C=C1\S[C@H]2Nc3ccccc3N2C1=O
ZINC40410347	COc1ccc([C@H]2c3cccn3CCC[N@@H+]2Cc2cccc(C)c2)cc1O
ZINC40446374	CC(C)(C)[NH+]1CCC(NS(=O)(=O)c2cccc(Br)c2)CC1
ZINC40446375	CC(C)(C)[NH+]1CCC(NS(=O)(=O)c2ccc(Br)cc2)CC1
ZINC46551865	O=C(Cc1csc(-c2ccc(C(F)(F)F)cc2)n1)/N=C1/NCCS1
ZINC48081032	O=c1cc(-c2ccccc2Cl)nc(-c2cccc(C[NH+]3CCCC3)c2)[nH]1
ZINC49185939	C[NH2+][C@H](C)c1nnn(-c2ccc(Br)cc2Br)c1C
ZINC49185940	C[NH2+][C@@H](C)c1nnn(-c2ccc(Br)cc2Br)c1C
ZINC49392530	Cc1nc(C2([NH2+]Cc3ccc(Br)s3)CCCCC2)no1
ZINC51951925	C[NH2+][C@@H](c1cc2c(cc1Br)n(C)c(=O)n2C)C(C)(C)C
ZINC52566369	c1ccc2c(c1)N[C@@H](c1ccncc1)N1CCC3=c4ccccc4=[NH+][C@H]3[C@H]21
ZINC56936280	C[C@H]1c2ccsc2CCN1C(=O)NC[C@H](c1ccc(F)cc1)[NH+](C)C
ZINC48833065	Oc1ccc(Br)cc1/C=[NH+]\Cc1cccc2c1OCO2
ZINC02500023	Clc1ccc([C@H]2C[C@@H](c3cccnc3)Nc3[nH+]c4ccccc4n32)cc1
ZINC61692361	CC[NH2+][C@@H](C)c1nnn(-c2cc(Br)ccc2Cl)c1C
ZINC62845664	CCCC1(c2nc(-c3ccc(Br)cc3)no2)CC[NH2+]CC1
ZINC62871975	CC[C@]1(c2nc(-c3ccc(Br)cc3)no2)CCC[NH2+]C1
ZINC41510348	Cc1cc(O)c(C[NH+](C)C)c2c1C(=O)/C(=C/c1cccc(Cl)c1)O2
ZINC63189889	O=S(=O)(c1cc(Cl)sc1Cl)N1CCCC[C@H]1[C@@H]1CCC[NH2+]1
ZINC63433761	O=C1[NH+]=c2ccccc2=C2S[C@@H](C(=O)NCCC3=CCCCC3)C=C12
ZINC63491243	C=CCN1C(=O)[C@@]2(NCCC3=c4cc(F)ccc4=[NH+][C@@H]32)c2ccccc21
ZINC25218690	O[C@@H](C[NH+]1CCC(c2nc3ccccc3o2)CC1)c1ccc(F)cc1
