ZINC00227558	CC1=C(C(=O)OC(C)C)C(c2ccccc2F)CC(=O)N1
ZINC63849066	CCCS(=O)(=O)[N-]c1ccc(NS(=O)(=O)c2cccc(C)c2)cc1
ZINC28967416	Cc1ccc(-c2n[nH]c(/N=C(\[O-])Cc3ccc(-n4cccc4)cc3)n2)cc1
ZINC64790877	CCc1ccccc1NCc1cc(=O)n2[n-]c(-c3cccs3)nc2n1
ZINC65408614	CCS(=O)(=O)[N-]c1ccc(-c2n[nH]c(CCc3ccccc3)n2)cc1
ZINC66399819	COc1ccc(OCC(O)CSc2nc3ncc(Cl)cc3[n-]2)cc1
ZINC66505840	COCCCNC(=O)/C(C#N)=C(/[O-])c1oc2c(C)ccc(C)c2c1C
ZINC04252510	COc1ccc(/C=C/C(=O)c2cc(Cl)ccc2O)cc1OC
ZINC00273266	CCN(CC)c1ccc(C(O)c2nc3ccccc3n2C)cc1
ZINC04546594	O=C(CC1Sc2ccccc2NC1=O)OCC1CCCCC1
ZINC05302539	CC(OC(=O)c1cc2c(s1)CCCCCC2)C(=O)NC1CC1
ZINC05975404	Cc1ccc(C(=O)OCC(=O)NC2CCCC(C)C2C)s1
ZINC00029443	COc1ccccc1CNS(=O)(=O)c1c(C)cc(C)cc1C
ZINC06291437	Cc1[nH]c2ccccc2c1C(=O)C(C)OC(=O)C1CC=CCC1
ZINC04144926	CCC/C(C)=N/NS(=O)(=O)c1ccc(Br)cc1
ZINC06647429	COc1cc(/C=C/C(=O)c2cccc(Cl)c2)cc(OC)c1O
ZINC00442627	CCc1ccc(/C=N/NS(=O)(=O)c2ccc(Cl)cc2)cc1
ZINC08212972	CCc1ccccc1NCc1cc(=O)oc2cc(OC)ccc12
ZINC08316569	Cc1noc(C)c1CCC(=O)NCC12CC3CC(CC(C3)C1)C2
ZINC08480545	CCC(NC(=O)c1ccn(CC)n1)C12CC3CC(CC(C3)C1)C2
ZINC08785985	Cc1ccc(OCCn2c(C(C)(C)O)nc3ccccc32)cc1
ZINC09188138	CN(C)c1ccc(C(=S)NCc2ccc3c(c2)OCO3)cc1
ZINC11635592	CCc1ccc(NC(=O)CN2C(=O)C(CC)SC2=S)cc1
ZINC15773927	CCCCNC(=O)C1Cc2ccccc2N1C(=O)c1ccccc1
ZINC16882827	Cc1nc(O)c(CCC(C)C)c(=O)n1Cc1ccccc1Cl
ZINC24600589	CCc1ccc(NC(=O)Cc2csc(-c3ccco3)n2)cc1
ZINC26881550	CC(Cc1ccco1)NS(=O)(=O)c1ccc2c(c1)CCCC2
ZINC27792427	Cc1cc(C)cc(OCCn2c(C(C)O)nc3ccccc32)c1
ZINC32284867	CC(NC(=O)CCC1CCCC1)c1ccc2c(c1)OCCCO2
ZINC33059314	CCC1CN(CC(=O)NCc2ccco2)c2ccccc2S1
ZINC05015905	CCCn1c(SCc2ccc(Cl)c(Cl)c2)n[nH]c1=O
ZINC00099484	C#CC(C)(CC)NC(=O)c1cc2cccc(CC=C)c2oc1=O
ZINC00427009	CC1(C(=O)NC2CCCC2)CCC(=O)N1CCC1=CCCCC1
ZINC00509523	N#CC(Cc1ccc(OC(F)F)cc1)c1nc2ccccc2[nH]1
ZINC00612528	CC(C)NC(=O)Cn1cc(C(=O)c2ccccc2)c2ccccc21
ZINC39530193	CC(=O)c1csc(NC(=O)/C=C/c2ccc(C(C)C)cc2)n1
ZINC40171085	CCC(Sc1cc(C)ncn1)C(=O)Nc1cccc(C)c1C
ZINC42594256	CC(C)CN(C(C)C)S(=O)(=O)c1ccc2c(c1)CCCN2
ZINC48666352	CC(C)(C)C(NS(=O)(=O)N1CCCCC1)c1cccs1
ZINC48702991	CC(C)(C)CCNC(=O)C1CC(c2ccc(Cl)s2)=NO1
ZINC49282333	COc1ccc(S(=O)(=O)NCC2CC=CCC2)cc1Cl
ZINC51628266	CCC(NS(=O)(=O)c1cnc(Cl)s1)c1ccccc1
ZINC57924699	CCC1CNc2cc(OC)c(OC)cc2N1Cc1cccs1
ZINC58122962	CC(NC(=O)CN1CCN(c2ccccc2)CC1)c1ccccc1
ZINC28407409	CCN(Cc1cccs1)C(=O)NCC1Cc2ccccc2O1
ZINC32434037	COc1ccc(S(=O)(=O)NCC2CCCC2)c2ccccc12
ZINC58932853	CC1CCCCC1OCCN1CCN(c2ccc(O)cc2)CC1
ZINC62496128	C=CCN1C(=O)C(Cc2ccccc2CC)Oc2cc(O)ccc21
ZINC65074209	CC(C)(C)CC(=O)NCC(=O)N1CCCC1C1CCCCC1
ZINC65278253	Cc1ccc(CCNS(=O)(=O)N2CCCCCC2)c(C)c1
ZINC65928341	CCn1c(CCNC(=O)C=C2CCCCC2)nc2ccccc21
ZINC65942799	CCn1c(CN(C)Cc2cc(C)c(C)cc2O)nc2ccccc21
ZINC66336694	CN(Cc1ccccn1)C(=O)NC(c1cccs1)C(C)(C)C
ZINC66368643	CCC(NC(=O)N1CCCN(CC(F)(F)F)CC1)C(C)C
ZINC66414840	CCc1c(C(=O)N(CC)C2CCCCC2C)[nH]c(C)c1C(C)=O
ZINC66478700	CCn1nc(C)c(CNC(=O)C2CCC(C(C)(C)C)CC2)c1C
ZINC67370468	N#Cc1nc(NCc2cccc(OC(F)F)c2)ccc1Cl
ZINC04530097	O=[N+]([O-])c1cccc(/C=N\c2ccc(I)cc2)c1[O-]
ZINC03190485	CC12c3ccccc3C(c3ccccc31)C1C(=O)N(c3ccc(C(=O)[O-])cc3)C(=O)C12
ZINC05552006	CC(C)CC(C(=O)[O-])N1C(=O)/C(=C/c2cccc3ccccc23)SC1=S
ZINC13434434	CCC1CCc2sc(C(=O)N3CC(C(=O)[O-])Oc4ccccc43)cc2C1
ZINC15162907	O=[N+]([O-])c1cccc(/C=N/c2ccc(I)cc2)c1[O-]
ZINC06229353	O=c1c2c(n3c([S-])nnc3n1Cc1ccccc1)-c1ccccc1CC21CCCC1
ZINC05770323	O=c1c2c(n3c([S-])nnc3n1-c1ccccc1)-c1ccccc1CC21CCCC1
ZINC05559737	CC1CCCc2sc3c(c21)c(=O)n(-c1ccccc1)c1nnc([S-])n31
ZINC05800479	COc1ccc(-n2c([O-])c3sc4nc(C)cc(C)c4c3nc2=S)cc1
ZINC06007679	CC1CCc2c(sc3c2c(=O)n(-c2ccc(Cl)cc2)c2nnc([S-])n32)C1
ZINC24070428	Cc1ccc(S(=O)(=O)[N-]c2ccc(OC(F)F)c(Cl)c2)s1
ZINC06713451	Cc1ccc(N2C(=O)/C(=C/c3ccc4c(c3)OCO4)N=C2[S-])cc1C
ZINC25501740	COc1c([O-])c(Br)c(Br)c(Br)c1[N+](=O)[O-]
ZINC26469277	CCn1c([S-])nnc1COc1ccc(Br)cc1C(C)C
ZINC27516788	CC1CCc2sc3nc([O-])n4nc(-c5ccccc5Br)nc4c3c2C1
ZINC01478095	Cc1ccc(/C=N\n2c([S-])nnc2-c2ccc(Cl)cc2Cl)o1
ZINC33333641	CN1C(=O)/C(=C2/SC([N-]c3ccc(Cl)cc3Cl)=NC2=O)c2ccccc21
ZINC02318792	CSc1nc2sc3c(c2c2nnc([S-])n12)CC(C(C)C)OC3
ZINC09044196	Cc1cc(C)c(N2C(=O)/C(=C/c3ccc(C)s3)C(=O)N=C2[O-])c(C)c1
ZINC35356523	O=S(=O)([N-]c1nc2ccc(Cl)cc2s1)c1cnc(Cl)s1
ZINC13728866	COc1ccc(Cl)cc1-c1nnc([S-])n1-c1cccnc1Cl
ZINC21787020	O=S(=O)([N-]c1nc2ccc(Cl)cc2s1)c1ccc(Cl)nc1
ZINC37575636	Cc1ccc(S(=O)(=O)[N-]c2ncc(Br)s2)c(Br)c1
ZINC37683539	CCC(=O)c1cccc(S(=O)(=O)[N-]c2ccc(Br)cc2)c1
ZINC00790626	CC1CCc2c(sc3ncn(Cc4ccc(C(=O)[O-])cc4)c(=O)c23)C1
ZINC38107652	Cc1cc(I)ccc1[N-]S(=O)(=O)c1ccnc(Cl)c1
ZINC05575513	CCC1(C)Cc2nc3nc([S-])n(-c4ccccc4C)c(=O)c3cc2CO1
ZINC05575513	CCC1(C)Cc2nc3nc(=S)n(-c4ccccc4C)c([O-])c3cc2CO1
ZINC39722658	O=C1N=C(/C(Cl)=C/c2ccc(C(=O)[O-])cc2)N=C2SC3CCCC3=C12
ZINC39722659	O=C1N=C(/C(Cl)=C/c2ccc(C(=O)[O-])cc2)N=C2SC3CCCC3=C12
ZINC39932840	O=C1/C(=C/c2ccc3c(c2)OCO3)N=C([S-])N1c1ccc(Br)cc1
ZINC40022692	C=CCN1C(=O)C([O-])=C(C(=O)c2cccs2)C1c1cccc2ccccc12
ZINC40025359	C=CCN1C(=O)C([O-])=C(C(=O)c2ccccc2)C1c1cccc(Br)c1
ZINC40357414	CC(=O)C1=C([O-])C(=O)N(CC2(c3ccccc3)CCCC2)C1c1ccccc1
ZINC40691165	Cc1cc(C)c2nc([N-]S(=O)(=O)c3cnc(Cl)s3)sc2c1
ZINC41607751	O=c1[nH]c(SCc2cc(Cl)cc3c2OCOC3)nc2c1CCC2
ZINC48065680	O=S(=O)([N-]c1ccc(I)cc1)c1cccc2cnccc12
ZINC59198235	Cc1cc(C)c(/C=C2\C(=O)N(c3ccc(Br)cc3)C(=O)N=C2[O-])c(C)c1
ZINC59227190	O=C([O-])c1ccc(N2C(=O)C3C4CC(c5ccccc5)C(C4)C3C2=O)cc1
ZINC59592091	Cc1cccc([N-]C2=NC(=O)/C(=C/c3cccc4c3OCCO4)S2)c1
ZINC61824847	CC(C)(CC(=O)[O-])CC(=O)c1cc(Br)sc1Br
ZINC39764647	CC(C)SC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1ccccc1
ZINC63437234	CSC1=NC(=O)C2C(=N1)N=C1CCCC([O-])=C1C2c1cccc(Br)c1
ZINC02309714	CCSC1=C(C#N)C(c2ccc3c(c2)OCO3)C2=C([O-])CCCC2=N1
ZINC02309714	CCSC1=C(C#N)C(c2ccc3c(c2)OCO3)C2=C(CCCC2=O)N1
ZINC64307887	CS(=O)(=O)[N-]c1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1
ZINC08691077	CCC1(C)Cc2nc3nc([S-])n(-c4ccccc4)c(=O)c3cc2CO1
ZINC08691077	CCC1(C)Cc2nc3nc(=S)n(-c4ccccc4)c([O-])c3cc2CO1
ZINC65657813	CCn1c([O-])c2ccc(C(=O)N(C)c3ccc(C)cc3C)cc2nc1=S
ZINC65859285	CCN(C(=O)c1ccc2c([O-])n(C)c(=S)nc2c1)c1cc(C)ccc1C
ZINC66246914	O=S(=O)([N-]c1nc2ccccc2s1)c1ccc(Cl)nc1Cl
ZINC66247069	CC1(C)CC(=O)c2sc([N-]S(=O)(=O)c3ccccc3Cl)nc2C1
ZINC66577041	CC(=O)c1cccc([N-]S(=O)(=O)/C=C/c2ccc(Br)cc2)c1
ZINC04691626	COC(=O)c1ccc(Cl)c2c1C1C=CCC1C(c1ccc(C(=O)[O-])cc1)N2
ZINC02747586	N#Cc1c(NC(=O)C2CCCCC2C(=O)[O-])sc2c1CCCCCC2
ZINC02747584	N#Cc1c(NC(=O)C2CCCCC2C(=O)[O-])sc2c1CCCCCC2
ZINC05523279	CC1=C(C)CC(C(=O)Nc2sc3c(c2C#N)CCCCC3)C(C(=O)[O-])C1
ZINC01080684	O=C1c2ccccc2NC(C(=O)[O-])(c2ccccc2)N1c1ccccc1Cl
ZINC09112772	Cc1cccc(/C=C(\Cl)c2nc3sc(C(=O)[O-])c(C)c3c(=O)[nH]2)c1
ZINC12521403	Cc1ccc(S(=O)(=O)Nc2cc(C(=O)[O-])ccc2C)c(Br)c1
ZINC13049786	CC1CCCC(NC(=O)COc2cc3ccccc3cc2C(=O)[O-])C1C
ZINC13049787	CC1CCCC(NC(=O)COc2cc3ccccc3cc2C(=O)[O-])C1C
ZINC13198805	Cc1ccc(S(=O)(=O)NC(C)c2ccc3c(c2)CCCC3)cc1C(=O)[O-]
ZINC13307446	Cc1ccc(C(=O)[O-])cc1S(=O)(=O)NCC12CC3CC(CC(C3)C1)C2
ZINC05649378	Oc1cccc(/C=N/n2c([S-])nnc2-c2ccc(Cl)cc2Cl)c1
ZINC06057421	O=c1c(Cc2c(F)cccc2Cl)c([O-])ccn1Nc1cccc(F)n1
ZINC20550556	CC(NS(=O)(=O)c1ccc2sc([O-])nc2c1)C12CC3CC(CC(C3)C1)C2
ZINC21916999	CC(NC(=O)Cn1c([S-])nnc1-c1ccc(Cl)cc1)c1ccccc1F
ZINC22347467	O=C([O-])c1ccc2c(=O)nc(/C(Cl)=C/c3cccc(Cl)c3)[nH]c2c1
ZINC06364634	CC(C)Cn1c([O-])c(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)c2ccccc21
ZINC30849202	CS(=O)(=O)[N-]c1ccc(C(=O)Nc2cc(Cl)ccc2Cl)c(Cl)c1
ZINC30993215	CCCc1nnc([S-])n1CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
ZINC04171604	[O-]c1nc(/C=C/c2c[nH]nc2-c2ccc(Cl)cc2)cc(C(F)(F)F)n1
ZINC36357634	O=C(CSc1nc2[nH]c(=O)cc([O-])c2s1)c1ccc(-c2ccccc2)cc1
ZINC04265161	C/C(=N\c1cc(C)ccc1O)c1c([O-])n(-c2ccccc2)c2ccccc2c1=O
ZINC38249276	CC12CCC(C(=O)[O-])(C/C1=N\NC(=O)c1ccc(Cl)cc1Cl)C2(C)C
ZINC39887125	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2ccc(-c3ccccc3)o2)cc1
ZINC40124660	O=C1NC(c2ccc(Cl)c(Cl)c2)C(C(=O)c2cc3ccccc3o2)=C1[O-]
ZINC40124661	O=C1NC(c2ccc(Cl)c(Cl)c2)C(C(=O)c2cc3ccccc3o2)=C1[O-]
ZINC40147965	COc1ccccc1N1C([S-])=C(C#N)C(=O)NC1c1cccc2ccccc12
ZINC40147973	COc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2cccc3ccccc23)cc1
ZINC41069756	Cc1ccc([N-]S(=O)(=O)c2cc(Br)cnc2Cl)c(C)c1O
ZINC44599034	CCOc1ccc(N2C(=O)/C(=C/c3c[nH]c4c(CC)cccc34)N=C2[S-])cc1
ZINC46620521	Cc1ccc(-c2nnc([S-])n2CC(=O)NC(C)c2ccc(Cl)s2)cc1
ZINC20151809	COc1ccc(/C=C/C([O-])=C2/C(=O)NC3(C)CC2c2ccccc2O3)cc1
ZINC49659740	CC1(C)C(=O)Nc2ccc(S(=O)(=O)[N-]c3ccc(Cl)c(Cl)c3)cc21
ZINC49659742	CC1(C)C(=O)Nc2ccc(S(=O)(=O)[N-]c3cc(Cl)ccc3Cl)cc21
ZINC49741291	CC1(C)C(=O)Nc2ccc([N-]S(=O)(=O)c3ccc(Cl)c(Cl)c3)cc21
ZINC54433039	O=S(=O)([N-]c1n[nH]c2ccccc12)c1ccc(Br)cc1Cl
ZINC56047415	COC(=O)C1=NC(=S)NC(c2ccsc2)/C1=C(/[O-])c1ccc(F)cc1
ZINC07281613	C=CCn1c([S-])nc2cc(C(=O)NC3CCCCCC3)ccc2c1=O
ZINC17964037	Cc1ccccc1C(C)NC(=O)Cn1c([S-])nnc1-c1ccc(Cl)cc1
ZINC18014201	Cc1ccc(C)c(C(C)NC(=O)Cn2c([S-])nnc2-c2cccs2)c1
ZINC41843937	Cc1ccc(-c2nnc([S-])n2CC(=O)NC2(c3ccccc3)CCC2)cc1
ZINC13945882	Cc1cc([O-])nc(SC(C(=O)NC2CCCCC2)c2ccccc2)n1
ZINC09109630	O=C1N=C([O-])N/C1=C\c1cn(Cc2ccc3ccccc3c2)c2ccccc12
ZINC09109630	O=C1N=C([O-])/C(=C/c2cn(Cc3ccc4ccccc4c3)c3ccccc23)N1
ZINC18220051	Cc1ccccc1-n1c(=O)[nH]c([O-])c(Cc2c(Cl)cccc2Cl)c1=O
ZINC18220051	Cc1ccccc1-n1c([O-])c(Cc2c(Cl)cccc2Cl)c(=O)[nH]c1=O
ZINC01297632	COc1cc(/C=C2/SC([N-]c3ccccc3C(F)(F)F)=NC2=O)ccc1O
ZINC01297632	COc1cc(/C=C2/S/C(=N/c3ccccc3C(F)(F)F)NC2=O)ccc1O
ZINC63635534	Cc1ccc([N-]S(=O)(=O)c2c(Cl)cccc2Cl)c2n[nH]cc12
ZINC64467728	CCC(=O)Nc1ccc(S(=O)(=O)[N-]c2ccc(Cl)cc2Cl)cc1
ZINC64796669	COc1ccc(-c2c(C(=O)[O-])sc3c2NC(=O)CC3c2ccccc2C)cc1
ZINC65575548	CC(C(=O)NC(C)(C)c1ccccc1)n1c([S-])nnc1-c1cccs1
ZINC65575549	CC(C(=O)NC(C)(C)c1ccccc1)n1c([S-])nnc1-c1cccs1
ZINC10820159	CCC(CC)(CC(=O)NC(C)c1cc2ccccc2o1)C(=O)[O-]
ZINC13305389	CC(NS(=O)(=O)c1ccc(CC(=O)[O-])s1)c1ccccc1
ZINC13407113	CCc1ccc(/C=C/C(=O)Nc2nc(CC(=O)[O-])cs2)cc1
ZINC13414691	CCc1ccc(NC(=O)CSc2nc(CC(=O)[O-])cs2)cc1
ZINC13421187	CC(NC(=O)COc1ccc(CC(=O)[O-])cc1)c1ccc(F)cc1
ZINC16478520	CSc1nc2ccc(NC(=O)CCCC(=O)[O-])cc2s1
ZINC17054640	O=C([O-])CC1(CC(=O)Nc2nc3ccccc3s2)CCCC1
ZINC19827443	C=CCOC(=O)C1=C(C)NC([S-])=C(C#N)C1c1ccco1
ZINC20229535	CC(Oc1ccc(C(=O)NC(C)c2ccccc2)cc1)C(=O)[O-]
ZINC22530674	CCCC(C)NC(=O)c1cc([N-]S(C)(=O)=O)ccc1Cl
ZINC27338552	CCC(C)NC(=O)Cn1c([S-])nnc1-c1ccc(C)cc1
ZINC29010913	COc1ccc(C)cc1C(C)NC(=O)CC(C)(C)CC(=O)[O-]
ZINC34773382	CC(C)(C)OC(=O)NC(Cc1ccc(Cl)s1)C(=O)[O-]
ZINC35721705	CC(C)C(C)(CC(=O)Nc1nc2ccccc2s1)C(=O)[O-]
ZINC35721706	CC(C)C(C)(CC(=O)Nc1nc2ccccc2s1)C(=O)[O-]
ZINC37264610	Cc1cc(C)c(S(=O)(=O)NC(C)CC(C)C)cc1C(=O)[O-]
ZINC39680458	CC1Oc2c(C(=O)NC(CC(=O)[O-])c3ccccc3)cccc2C1C
ZINC40358207	C=CCN1C(=O)C([O-])=C(C(=O)CC(C)C)C1c1ccccc1O
ZINC40691414	Cc1nc(NC(=O)/C=C/c2ccccc2)sc1CCC(=O)[O-]
ZINC41637204	CCC(C)NC(=O)C(C)Sc1nc(C)cc(C)c1C(=O)[O-]
ZINC41667843	O=C(CSc1ccc(C(=O)[O-])cn1)NC1CCCCCC1
ZINC42795194	CCCN(CC(F)(F)F)C(=O)NC1CCC(C(=O)[O-])CC1
ZINC42865249	CC1CCCCC1CNS(=O)(=O)c1ccc(C(=O)[O-])s1
ZINC42865548	CC1CCCCC1CNc1nnc(SCC(=O)[O-])s1
ZINC43586923	O=C([O-])CCC1CCCN(C(=O)NCCc2cccs2)C1
ZINC49159715	Cc1cc(S(=O)(=O)NCCc2ccsc2)sc1C(=O)[O-]
ZINC49184500	Cc1ccc(C(C)Nc2nnc(SCC(=O)[O-])s2)s1
ZINC49558850	CC(C)C(Nc1nnc(SCC(=O)[O-])s1)c1cccs1
ZINC49591770	CC(CC(=O)Nc1ncc(/C=C/C(=O)[O-])s1)CC(C)(C)C
ZINC49595138	Cc1cc(S(=O)(=O)NCCC(C)C)ccc1/C=C/C(=O)[O-]
ZINC49595333	Cc1ccc(/C=C/C(=O)[O-])cc1S(=O)(=O)NCC(C)(C)C
ZINC49627936	Cc1cc(=O)[nH]c(SCc2cccc(/C=C/C(=O)[O-])c2)n1
ZINC49907217	COc1ccc(CN(C)c2cc(C(=O)[O-])ccc2C)cc1O
ZINC50227023	Cc1ccc(CNC(=O)N2CCCC(CCC(=O)[O-])C2)s1
ZINC51006675	CCCCc1nc(C)c(/C([O-])=C(/C#N)C(=O)NC(C)C)s1
ZINC53640210	COc1ccc(OCCNC(=O)Cc2sc([S-])nc2C)cc1
ZINC55651899	CCNC(=O)c1ccc([N-]S(=O)(=O)c2cccs2)c(C)c1
ZINC57638819	COc1ccc(C(C)C)cc1CCC(C)(C)NC(=O)C(=O)[O-]
ZINC26255210	Cc1cccc(CSC/C([O-])=N/c2nc(C(F)(F)F)n[nH]2)c1
ZINC60944047	CC(C)CNC(=O)CCn1c([S-])nnc1-c1ccc(F)cc1
ZINC61835533	CSc1nc2ccc(NC(=O)CC(C)CC(=O)[O-])cc2s1
ZINC62338910	CCCCc1ccc2c(c1)S(=O)(=O)N=C(SCCCO)[N-]2
ZINC62925206	CCCC1(C(=O)[O-])CCN(C(=O)NC(C)c2cccs2)C1
ZINC63630363	CS(=O)(=O)[N-]c1ccc(-c2csc(NCC3CCC3)n2)cc1
ZINC63821154	CCCOc1ncccc1CNC(=O)Cc1sc([S-])nc1C
ZINC64492403	Cc1ccc(NC(=O)CCc2ccsc2)cc1[N-]S(C)(=O)=O
ZINC64980624	CCn1cc(C)c(C(=O)[O-])c1CC(=O)NCCC1=CCCCC1
ZINC17322762	CCCCCNC(=O)c1ccc2c([O-])n(CC)c(=S)nc2c1
ZINC67155317	CC(C)(C)c1ccc(CCCC(=O)/N=C2/N=C([O-])CN2)cc1
ZINC67601168	COCCCNC(=O)/C(C#N)=C(\[O-])CC1CC(C)CC(C)(C)C1
ZINC09489426	COc1ccc(C2c3sc(=O)[nH]c3SC(C(=O)[O-])C2C(=O)c2cccc3c2CCCC3)cc1
ZINC09057772	O=C([O-])CCC(=O)N1c2ccccc2NC2=C(C(=O)CC(c3ccc(F)cc3)C2)C1c1cccs1
ZINC13037383	O=C([O-])c1ccc(-n2ncc(NCCSCc3ccccc3F)c(Cl)c2=O)cc1
ZINC13066698	Cc1ccccc1/C=C/C(=O)c1ccc(S(=O)(=O)NCc2ccc(C(=O)[O-])cc2)cc1
ZINC13079320	O=C([O-])CCc1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)s3)cs2)cc1
ZINC13246149	CCN(CCNS(=O)(=O)c1cc(C(=O)[O-])ccc1Br)c1cccc(C)c1
ZINC13249768	CCOC(=O)c1c(-c2cc(C)ccc2C)csc1NC(=O)CC1(C(=O)[O-])CCCC1
ZINC13250254	CC(c1ccccc1)N(Cc1ccccc1O)S(=O)(=O)c1ccc(/C=C/C(=O)[O-])cc1
ZINC17098562	CCC1CCc2c(sc(NC(=O)C3C4CCC(C4)C3C(=O)[O-])c2C(=O)OC(C)C)C1
ZINC17098570	CCOC(=O)c1c(NC(=O)C2CC=CCC2C(=O)[O-])sc2c1CCC(C(C)(C)C)C2
ZINC17193203	CC(C)=CC1c2[nH]c3ccccc3c2CC(C(=O)[O-])N1C(=O)OC(C)(C)C(Cl)(Cl)Cl
ZINC09374771	Cc1ccc(C2/C(=C(O)/C=C/c3ccccc3)C(=O)C(=O)N2c2cccc(C(=O)[O-])c2)cc1
ZINC19634369	Cc1ccc(-c2csc(NC(=O)C3CC=CCC3C(=O)[O-])c2C(=O)OC(C)C)c(C)c1
ZINC19634517	Cc1ccc(C)c(-c2csc(NC(=O)C3CC=CCC3C(=O)[O-])c2C(=O)OC(C)C)c1
ZINC19645181	CCC1CCc2c(sc(NC(=O)C3CCCCC3C(=O)[O-])c2C(=O)N2CCCCC2)C1
ZINC23741007	Cc1ccsc1/C=N/NC(=O)c1cccc(S(=O)(=O)[N-]c2cccc(C(F)(F)F)c2)c1
ZINC08438771	COc1ccc(C(=O)C2=C([O-])C(=O)N(CCc3c[nH]c4ccccc34)C2c2ccccc2Cl)cc1
ZINC01413461	O=C(C1=C([O-])C(=O)N(CCc2c[nH]c3ccccc23)C1c1ccco1)c1ccc(F)cc1
ZINC35696107	CCN(CC)C(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NC(C)C)N2C1c1ccc(F)cc1
ZINC36050733	COC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NCC3CC3)N2C1c1ccc(Cl)cc1
ZINC09090559	CC1CC(OP(=O)([S-])c2ccc(N(C)C)cc2NC(=O)c2cccs2)CC(C)(C)C1
ZINC38715732	O=C1Nc2cc(Cl)ccc2Oc2ccc([N-]S(=O)(=O)c3ccc(C(F)(F)F)cc3)cc21
ZINC39679534	CCOC(=O)c1c(-c2ccc(C)cc2C)csc1NC(=O)C1C2C=CC(C2)C1C(=O)[O-]
ZINC39887223	CCCCOc1ccc(C2NC(=O)C(C#N)=C([S-])N2c2ccc(CC)cc2)cc1OC
ZINC39887332	CCCCc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2ccc(OCC)c(OC)c2)cc1
ZINC39887723	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC2c2cn(-c3ccccc3)nc2-c2ccccc2)cc1C
ZINC40047839	O=C(C1=C([O-])C(=O)N(CCCO)C1c1c(Cl)cccc1Cl)c1ccc(Br)cc1
ZINC40048637	COc1ccc(C(=O)C2=C([O-])C(=O)N(CCCO)C2c2ccc(C(C)(C)C)cc2)cc1C
ZINC40076822	CCCCN1C(=O)C([O-])=C(C(=O)c2ccc(Cl)cc2)C1c1cc(Br)c(O)c(OC)c1
ZINC40078154	CCCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2cccc3ccccc23)cc1
ZINC40079239	CC(C)Oc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2ccc(C(C)(C)C)cc2)cc1
ZINC40079240	CC(C)Oc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2ccc(C(C)(C)C)cc2)cc1
ZINC40118072	CCCOc1ccc(C(=O)C2=C([O-])C(=O)NC2c2cc(Br)ccc2OC)cc1
ZINC40126701	COc1ccc(C2NC(=O)C([O-])=C2C(=O)c2cccc(OCc3ccc(C)cc3)c2)cc1
ZINC39898313	COCCCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1ccc(SC)cc1
ZINC39899277	Cc1ccc(C2c3c(n[nH]c3-c3cc(Cl)ccc3[O-])C(=O)N2CCCOC(C)C)cc1
ZINC39899277	Cc1ccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2CCCOC(C)C)cc1
ZINC39899278	Cc1ccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2CCCOC(C)C)cc1
ZINC44321950	Cc1c(CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)[O-])c2ccccc2n1C
ZINC44324351	CCn1c(C)cc(CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)[O-])c1C
ZINC46577316	COCCCn1c([S-])nc2cc(C(=O)NC(C)c3ccc(C(C)C)cc3)ccc2c1=O
ZINC32971756	CCn1nc(C)c(C[N-]/C(=N/C(=O)c2ccc(C)c(C)c2)Nc2cccc(Cl)c2C)c1C
ZINC32973423	CCn1nc(C)c(CC[N-]/C(=N/C(=O)c2ccc(C)c(F)c2)Nc2ccc(F)cc2)c1C
ZINC32973557	Cc1nn(C)c(C)c1CC[N-]/C(=N/C(=O)c1cccc(Cl)c1)Nc1cccc(Cl)c1C
ZINC59202884	CCc1c([O-])nc(SCC(=O)Nc2ccc(C(C)C)cc2)n(-c2ccccc2F)c1=O
ZINC59203537	CCc1cccc(C)c1NC(=O)CSc1nc([O-])c(CC)c(=O)n1-c1ccc(C)cc1
ZINC13114386	C=CCO/C([O-])=C1/C(C)=Nc2nc(SCCCC)[nH]c(=O)c2C1c1ccc(F)cc1
ZINC59581629	Cc1cccc(-c2nnc([S-])n2CCC(=O)NCCOc2cccc3ccccc23)c1
