ZINC01406388	O=[N+]([O-])c1ccc(Sc2ccc(Br)cc2)c(Br)c1
ZINC20631529	COc1ccc(-n2ccn(CN3CCN(S(=O)(=O)c4ccc(OC)cc4)CC3)c2=S)cc1
ZINC20782391	COc1ccc(CN2CCc3c(C(=O)N(C)Cc4nccs4)c(OC)cc(=O)n3CC2)c(C)c1C
ZINC21621066	CCN(C(=O)C(C)Sc1nnc(N2CCOCC2)n1-c1cccc(C)c1)C1CCS(=O)(=O)C1
ZINC21621078	CCN(C(=O)C(C)Sc1nnc(N2CCOCC2)n1-c1cccc(C)c1)C1CCS(=O)(=O)C1
ZINC21646401	CCn1ccc2cc(S(=O)(=O)N3CCCC(C(=O)N4CCN(C(=O)c5ccco5)CC4)C3)ccc21
ZINC23233302	Cc1ccc(N2CC(C(=O)N3CCN(Cc4nnnn4-c4ccc(F)c(F)c4)CC3)CC2=O)cc1C
ZINC14250437	Cc1nc(Cc2nn(CN3CCN(S(=O)(=O)/C=C/c4ccccc4)CC3)c(=S)o2)cs1
ZINC24776871	CN(Cc1ccc(N2CCOCC2)cc1)C(=O)Cc1ccc(S(=O)(=O)N2CCOCC2)s1
ZINC30117992	COc1ccc(-n2c(C)cc(/C=C(\C#N)C(=O)N3CCC(C(=O)N4CCOCC4)CC3)c2C)cc1
ZINC31388821	CCN(CC)S(=O)(=O)c1ccc(=O)n(CC(=O)N2CCCC2c2nc3ccccc3s2)c1
ZINC33677097	Cc1cnc(C(=O)N(CCCN2CCOCC2)CCC(=O)N2CC3(C)CC2CC(C)(C)C3)cn1
ZINC33812318	CCOC(=O)C1CCCN(c2c(/C=C3\SC(=S)N(CC)C3=O)c(C)c(C#N)c(=O)n2C)C1
ZINC34732848	CCC1=C(C)Cc2sc3c(c21)c(=O)n(CC(=O)N(CC)CC)c(=O)n3CC(=O)N1CCCC1
ZINC35265936	CCc1nn(-c2ccc(F)cc2)c([O-])c1C1=C([n+]2ccccc2)C(=O)N(Cc2ccc(F)cc2)C1=O
ZINC35671268	COc1cc(C2CN(C(=O)c3ccc(F)cc3)CC2C(=O)N2CCOCC2)cc(OC)c1OC
ZINC35961682	COCC(=O)N(CCN1CCOCC1)CC(=O)N1N=C(c2ccccc2F)CC1c1cccs1
ZINC37511123	CC(C(=O)N1CCN(C)CC1)N1C(=O)COc2ccc(C(=O)COc3ccc(F)c(F)c3)cc21
ZINC00922315	CC1CCCN(C(=O)CSc2nnc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)n2C)C1
ZINC03398276	COc1cc(C(=O)N2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)ccc1OCc1c(C)noc1C
ZINC38633858	COc1ccc(S(=O)(=O)N2CCOC23CCN(C(=O)c2cc(OC)cc(OC)c2)CC3)cc1
ZINC38730239	COc1ccc(N2CCN(C(=O)C3CC=CCC3C(=O)N(CCC#N)CC3CCCO3)CC2)cc1
ZINC39769180	CCOC(=O)C1CCCN(c2c(/C=C3/SC(=S)N(CC)C3=O)c(C)c(C#N)c(=O)n2C)C1
ZINC39769423	CCOC(=O)C1CCCN(c2c(/C=C3/SC(=S)N(C)C3=O)c(C)c(C#N)c(=O)n2CC)C1
ZINC39769713	CCCn1c(N2CCOCC2)c(/C=C2/SC(=S)N(CCCOCC)C2=O)c(C)c(C#N)c1=O
ZINC39989813	CCOC(=O)C1CCCN(c2c(/C=C3\SC(=S)N(C)C3=O)c(C)c(C#N)c(=O)n2CC)C1
ZINC39989940	CCCn1c(N2CCOCC2)c(/C=C2\SC(=S)N(CCCOCC)C2=O)c(C)c(C#N)c1=O
ZINC40989061	Cc1nonc1CN1CCN(C(=O)CCCN2C(=O)/C(=C/c3ccc(F)cc3)SC2=S)CC1
ZINC48303498	Cc1ccc(S(=O)(=O)Oc2ccc(S(=O)(=O)N3CCCC3C(=O)N3CCOCC3)cc2)cc1
ZINC13584327	COCCN1C(=O)/C(=C/c2c(N3CC(C)OC(C)C3)nc3ccc(C)cn3c2=O)SC1=S
ZINC12547646	CC(OC(=O)CCc1nc2cc(S(=O)(=O)N(C)C)ccc2n1C)C(=O)N1C(C)CCCC1C
ZINC15275850	Cc1cc(C(=O)COC(=O)c2ccco2)c(C)n1-c1cccc(S(=O)(=O)N2CCOCC2)c1
ZINC41660280	COc1ccc(/C=C2/Oc3c(ccc4c3CN(C3CCS(=O)(=O)C3)CO4)C2=O)c(OC)c1OC
ZINC39768949	COc1ccc(OC)c(S(=O)(=O)N2CCN(C(=O)C3=C(c4ccc(F)cc4)N=NC3)CC2)c1
ZINC63646622	CCOC(=O)C1=C(C)N=C(C)C1S(=O)(=O)N(C)CC(=O)N1CCN(c2ccc(F)cc2)CC1
ZINC40000736	O=C(CSc1nnc(-c2ccc(F)cc2)n1CC1CCCO1)C1=CC(C(=O)N2CCCC2)=NC1
ZINC64958288	COc1ccc(N2CCN(C(=O)C3CCCN(S(=O)(=O)c4cn(C(C)C)cn4)C3)CC2)cc1
ZINC03844079	CC(=O)OC1CCC2(C)C3CCC4=C(CCC4(C)C(C)OC(C)=O)C3CCC2(C)C1
ZINC00752728	C=C(C)Cn1c(SCc2ccccc2)nc2sc3c(c2c1=O)CC(C)(C)OC3
ZINC04663816	CC1=NC2=C(C(=O)CCC2)C(c2ccc(F)c(F)c2)C1C(=O)OC1CCCCC1
ZINC04757606	CCn1cc(-c2nnc(SCc3c(F)cccc3Cl)n2C)c2ccccc21
ZINC02213209	CSc1nc(SCC(=O)c2ccccc2)c2c3c(sc2n1)COC(C)(C)C3
ZINC05228117	C=CC1CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3CC(OC(C)=O)C12C
ZINC05570712	Cn1c(SCc2csc(-c3ccccc3)n2)nc2sc3c(c2c1=O)CCC3
ZINC05669177	CC(C)(C)C(=O)Oc1ccc2c(c1)O/C(=C\c1cccc(Br)c1)C2=O
ZINC02182591	COc1c(S(=O)(=O)Oc2c(Cl)cccc2Cl)ccc(Cl)c1Cl
ZINC04937719	CSc1cccc(/N=c2\oc3ccccc3cc2S(=O)(=O)c2ccccc2)c1
ZINC06841160	Cc1ccc(COc2ccc(/C=C3\SC(N4CCCC(C)C4)=NC3=O)cc2)cc1
ZINC03440152	Cc1cc2oc(=O)cc(Cn3cc(C(F)(F)F)cc(Cl)c3=O)c2cc1C(C)C
ZINC08197391	CCC1(OC(C)=O)CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC21C
ZINC00853708	CC1=NC2=C(C(=O)CC(c3ccccc3)C2)C(c2ccccc2)C1C(=O)OC(C)C
ZINC09148346	O=C(c1ccc(F)cc1)N(/N=C/c1cccs1)c1nc2ccc(Cl)cc2s1
ZINC09148416	O=C(c1cccs1)N(/N=C/c1ccc(F)cc1)c1nc2ccc(Cl)cc2s1
ZINC09241190	Cc1ccccc1CSc1nnc2ccc(-c3ccc(Br)cc3)nn12
ZINC08985747	COC(=O)C1C(C)=NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc(F)cc1
ZINC10061496	Cc1ccc(C)c2sc(N(CC3CCCO3)C(=O)Cc3ccc(Cl)s3)nc12
ZINC10871568	Cc1ccc(C(=O)N(CC2CCCO2)c2nc3c(Cl)cccc3s2)c(C)c1
ZINC10883131	O=C(c1ccc(Cl)cc1Cl)N(CC1CCCO1)c1nc2c(F)cccc2s1
ZINC10884384	CC(C)(C)c1ccc(C(=O)N(CC2CCCO2)c2nc3c(F)cccc3s2)cc1
ZINC10887725	Cc1cccc2sc(N(CC3CCCO3)C(=O)c3cc(Cl)sc3Cl)nc12
ZINC11140042	Cc1ccc(C)c(C(=O)N(CC2CCCO2)c2nc3c(F)cc(F)cc3s2)c1
ZINC11159171	Cc1c(Cl)ccc2sc(N(CC3CCCO3)C(=O)c3cccc(F)c3)nc12
ZINC11692239	O=C(COc1ccc2c3c(c(=O)oc2c1)CCCCC3)c1ccc(Br)cc1
ZINC12682003	O=C(OCc1nc2ccccc2s1)c1nc(Cl)c(Cl)c(Cl)c1Cl
ZINC12966142	Cc1ccc2c(c1)SC(C(=O)OCc1cc(=O)oc3cc(C)c(Cl)cc13)C2
ZINC12995755	CC(=O)N(c1nc(/C=C/c2nc3ccccc3s2)cs1)c1cccc(C)c1C
ZINC12998065	CC(=O)N(c1nc(/C=C(\Cl)c2nc3ccccc3s2)cs1)c1cccc(C)c1C
ZINC03167153	Cc1cc(/C=N/N2CCN(c3ccc(Cl)cc3)CC2)c(C)n1-c1ccccc1Cl
ZINC13769828	O=C1/C(=C/c2c(F)cccc2Cl)Oc2cc(OC(=O)C3CCCCC3)ccc21
ZINC13896045	C=CCOc1ccccc1C1C2=C(CC(C)(C)CC2=O)OC2=C1C(=O)CC(C)(C)C2
ZINC15055149	Cc1ccc(/N=C2\SC(CC(=O)c3cccs3)C(=O)N2c2ccc(C)cc2)cc1
ZINC12384594	COC(=O)C1C(C)=NC2=C(C(=O)CC(c3ccc(F)cc3)C2)C1c1ccccc1Cl
ZINC16736657	CSc1ccc(/C=c2\sc3nc(/C=C/c4ccc(Cl)cc4)nn3c2=O)cc1
ZINC00724490	Cn1c(=S)n(CCSc2nc3ccccc3n2C2CCCCC2)c2ccccc21
ZINC34730511	CCCn1c(=O)n(Cc2ccc(Cl)cc2)c(=O)c2c3c(sc21)CC(C)=C3CC
ZINC35415697	CC(=O)OC1CCC2(C)C3CCC4=C(CCC4(C)C(C)OC(C)=O)C3CCC2(C)C1
ZINC35957761	CC(C)(CCl)C(=O)N1CCCC1c1nc2cc(-c3cccc(F)c3)ccc2o1
ZINC39313720	Cc1ccc(COC(=O)C2=NC3=C(C(=O)CC(c4ccc(Cl)cc4)C3)C2C)cc1
ZINC39487503	CCCC1(C)CN(F)C(=O)N1CC1(C2CCCCC2)CCN(Br)CC1
ZINC40032091	CCCSc1nc2c(c(=O)n1-c1ccc(OC)cc1)C(C)(C)Cc1ccccc1-2
ZINC12618355	CCOP1(=S)C2=C(N3CCCCC3)CC(C)(C)CC2=NN1c1ccccc1
ZINC58450275	CC1=Nc2nc(C(F)(F)F)nn2C(c2ccc(Cl)cc2)C1Cc1ccccc1
ZINC59168692	Clc1ccccc1-c1nnc2sc(C(c3ccccc3)c3ccccc3)nn12
ZINC41356407	Cc1c(OC(=O)C(C)Cl)ccc2c1O/C(=C\c1ccc(Cl)c(Cl)c1)C2=O
ZINC41647357	Cc1cc2c(c3c1C(=O)/C(=C/c1cccc(F)c1)O3)CN(CCc1cccs1)CO2
ZINC41655076	CC(C)c1ccc(/C=C2\Oc3c(ccc4c3CN(Cc3cccs3)CO4)C2=O)cc1
ZINC41655164	CC(C)c1ccc(/C=C2\Oc3c(ccc4c3CN(Cc3ccccc3)CO4)C2=O)cc1
ZINC03999475	CC1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccccc5F)CC4)C3C=C12
ZINC03999481	CC1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccc(F)cc5)CC4)C3C=C12
ZINC03999744	CC1=C2CC3C(CC2(C)CCC1)OC(=O)C3C[NH+]1CCN(c2ccc(F)cc2)CC1
ZINC03999747	C=C1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccccc5F)CC4)C3CC12
ZINC04424533	c1ccc(C[NH+]2CCC3(CC2)Oc2ccccc2C2CC(c4ccccc4)=NN23)cc1
ZINC04462021	CC(C)(C)C(=O)C1C(c2ccc(Cl)cc2)C(C#N)(C#N)C2c3ccccc3C=C[NH+]12
ZINC01209068	Cc1ccc(S(=O)(=O)N2CC[NH+](Cc3ccc(Br)cc3)CC2)cc1
ZINC06386192	CC1=CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccccc5F)CC4)C3C=C12
ZINC07982978	Cc1ccc(C)c(S(=O)(=O)N2CCN(c3cc[nH+]c4cc(Cl)ccc34)CC2)c1
ZINC09835417	O=c1cc(C[NH+]2CCc3sccc3C2C2CC2)nc2ccc(Br)cn12
ZINC11614619	C[NH+](C)CCN1C(=O)c2oc3c(ccc4ccccc43)c(=O)c2C1c1cccc(F)c1
ZINC12659761	C=C1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccc(F)cc5)CC4)C3CC12
ZINC12659962	CC1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccccc5F)CC4)C3C=C12
ZINC12664406	C=C1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5cccc(C)c5)CC4)C3CC12
ZINC12664408	C=C1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5cccc(C)c5)CC4)C3CC12
ZINC14997454	O=C1CC[NH+](C2C3CC4CC(C3)CC2C4)CCN1Cc1cc2c(cc1Cl)OCO2
ZINC16078959	Cn1c(-c2ccccc2F)nn(CN2CCN(c3ccccc3Cl)CC2)c1=S
ZINC20381961	CC[NH+]1CCN(c2c(S(=O)(=O)c3ccc(C)c(C)c3)cnc3ccccc23)CC1
ZINC30825204	Brc1ccccc1-c1nnc2n1CN(CC[NH+]1CCCCC1)CS2
ZINC34747906	Cc1ccc(C)c(C[NH+]2CCN(c3nc4sc5c(c4c(=O)n3C)CCC5)CC2)c1
ZINC34749796	CC1(C)Cc2c(sc3ncnc(N4CC[NH+](CCc5ccccc5)CC4)c23)CO1
ZINC35556093	O=C(C1Cc2cc(C(F)(F)F)ccc2N2CC[NH+](C3CCCC3)CC12)N1CCCCC1
ZINC34676537	Cc1ccc(S(=O)(=O)N2CCCC([NH+]3CCN(c4ccccc4F)CC3)C2)cc1
ZINC34676538	Cc1ccc(S(=O)(=O)N2CCCC([NH+]3CCN(c4ccccc4F)CC3)C2)cc1
ZINC39292539	CC1([NH+]2CCCC2)c2cc(N3CCCCC3)ccc2S(=O)(=O)C1(C)c1ccccc1
ZINC39363295	O=C1N(C2Cc3ccccc3C2)CC2CC(C3C=NN=C3c3ccccc3)[NH+]3CCCC123
ZINC39404462	Cc1ccc(S(=O)(=O)C2C(=O)[NH+]=c3ccc(Cl)cc3=C2c2ccccc2)cc1
ZINC39518449	Fc1cccc(F)c1C1=CN=NC1C1CCC[NH+](Cc2ccc3nsnc3c2)C1
ZINC39518452	Fc1cccc(F)c1C1=CN=NC1C1CCC[NH+](Cc2ccc3nsnc3c2)C1
ZINC39785752	CC1=c2ccccc2=[NH+]C(=O)C1Sc1nnc(-c2ccccc2Br)o1
ZINC31773825	CC(C)c1ccc(N2C(=O)C[NH+](C(C)c3ccccc3)C3CS(=O)(=O)CC32)cc1
ZINC43632630	Cc1ccc(CN2CC3CC(c4cn(C(C)C)c5ccccc45)[NH+]4CCCC34C2=O)o1
ZINC43641317	Cc1oc(-c2ccc3ccccc3c2)nc1C[NH+]1CC2CC(C1)c1cccc(=O)n1C2
ZINC43737134	C=C1CCCC2(C)CC3OC(=O)C(C[NH+]4CCN(c5ccc(F)cc5)CC4)C3CC12
ZINC55099178	c1ccc2c(N3CCCCCC3)[nH+]c(CN3CCCCC3c3nccs3)nc2c1
ZINC55134277	c1ccc(-c2nc(N3CCN(C4CSCCSC4)CC3)c3c([nH+]2)CCC3)cc1
ZINC60061796	Cc1ccc(S(=O)(=O)N2CCCC([NH+]3C(C)CCC3C)C2)c(Br)c1
ZINC63153083	O=C1CCCC1Sc1nnc(C2=c3ccccc3=[NH+]C2)n1-c1ccc(Cl)cc1
ZINC63375293	COc1ccc2c(c1OC)C(=O)N1CC(c3ccccc3)C3=c4ccccc4=[NH+]C3C21
ZINC63491790	COc1ccc2c(c1)=C1CCN(C(=O)c3ccc(C)cc3)C(c3ccc(F)cc3)C1[NH+]=2
ZINC63494211	Cc1ccc2c(c1)=C1SC(C(=O)N(C)c3cccc(C(F)(F)F)c3)C=C1C(=O)[NH+]=2
ZINC63494252	COc1ccc(Cl)cc1N(C)C(=O)C1C=C2C(=O)[NH+]=c3ccc(C)cc3=C2S1
ZINC63624951	Cc1ccc(C2C3[NH+]=c4ccccc4=C3CCN2S(=O)(=O)c2ccc(F)cc2)cc1
ZINC63624999	Cc1ccc(C2C3[NH+]=c4ccccc4=C3CCN2S(=O)(=O)c2cccc(F)c2)cc1
ZINC63867184	CCN(CC)c1ccc(N2C(=O)/C(=C\C3=c4ccccc4=[NH+]C3)SC2=S)cc1
ZINC38999623	Fc1ccc(Br)cc1/C=N/N1C(=S)[NH+]=NC1c1cccc(Cl)c1
ZINC64143571	Fc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1Cc1cccc2nccnc12
ZINC64143572	Fc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1Cc1cccc2nccnc12
ZINC64143573	Fc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1Cc1cccc2nccnc12
ZINC64143574	Fc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1Cc1cccc2nccnc12
ZINC06156842	O=S(=O)(c1ccc(-n2cccn2)cc1)N1CC[NH+](C2c3ccccc3-c3ccccc32)CC1
ZINC03198239	CC[NH+]1CCN(P2(=S)OC(c3ccccc3)=Nc3c2c(C)nn3-c2ccccc2)CC1
ZINC03343674	COc1ccc(-c2nn(C[NH+]3CCN(c4cccc(C)c4C)CC3)c(=S)n2C(C)C)cc1
ZINC09741737	COc1ccc(OCC[NH+]2CCN(C(=O)c3ccc(C4SCCCS4)cc3)CC2)cc1
ZINC09817482	C[NH+]1CCN(n2c3c(c(SCc4ccc(Br)cc4)nc2=O)CCCC3)CC1
ZINC10029135	Cc1ccc(-c2nnc(-c3ccc(C(=O)N4CC[NH+](Cc5cccs5)CC4)cc3)o2)cc1
ZINC10046254	CCc1cccc2sc(N(CC[NH+]3CCOCC3)C(=O)c3nc4ccccc4s3)nc12
ZINC10046987	O=C(c1cc(Cl)ccc1Cl)N(CC[NH+]1CCOCC1)c1nc2c(F)cc(F)cc2s1
ZINC10047276	COc1ccc(C)c2sc(N(CC[NH+]3CCOCC3)C(=O)c3ccc(Cl)cc3)nc12
ZINC12035373	Cc1nc(N2CCC([NH+]3CCCC(c4ccccc4)C3)CC2)nc2cc(S(C)(=O)=O)ccc12
ZINC12639506	CCOc1ccc(C[NH+]2CCN(c3ncnc4c(-c5ccc(C)cc5)nsc34)CC2)cc1
ZINC14537480	COc1ccc(CN2C(=O)N(C)C3(CC[NH+](CCC4=C(C)CCCC4(C)C)CC3)C2=O)cc1
ZINC15071611	CC[NH+](CC)C1CCN(C(=O)c2c3n(c(C)cc2=O)-c2ccccc2SC(c2ccsc2)C3)C1
ZINC15142278	CC1CC(C)CN(C(=O)C[NH+]2CCN(c3ncnc4scc(-c5ccc(F)cc5)c34)CC2)C1
ZINC20503278	C[NH+](C)Cc1ccccc1-c1ccc2n(c1=O)CC1CC2CN(Cc2cc3ccccc3o2)C1
ZINC20599010	c1ccc(-c2nc(N3CCN(Cc4cnc(N5CCCC5)s4)CC3)c3c([nH+]2)CCC3)cc1
ZINC21799352	Cc1ccc(-c2c(C(F)(F)F)nn3c(N4CCN(c5cccc[nH+]5)CC4)cc(C)nc23)cc1
ZINC28580598	CN(C(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccs2)cc1)C1CC[NH+](C)CC1
ZINC34697892	O=C(c1ccc([N+](=O)[O-])cc1)N1CC(C[NH+]2CCCC2)C(c2cccc(C(F)(F)F)c2)C1
ZINC34734561	CC[NH+]1CCN(c2nc3sc4c(c3c(=O)n2Cc2ccc(Cl)cc2)CC(C)(C)OC4)CC1
ZINC34747909	C=C(C)Cn1c(N2CC[NH+](Cc3cc(C)ccc3C)CC2)nc2sc3c(c2c1=O)CCC3
ZINC34755780	O=C(C[NH+]1CCN(c2nc(-c3ccccc3)nc3sc4c(c23)CCCC4)CC1)N1CCCC1
ZINC34762532	CCc1c(C)sc2nc(SCC(=O)N3CCCCC3)nc(N3CC[NH+](CC)CC3)c12
ZINC35486266	CC[NH+](CC)CCN1C(=O)c2oc3cc(C)c(C)cc3c(=O)c2C1c1ccc(Br)cc1
ZINC35938490	COc1ccc(C2c3ccsc3CC[NH+]2CC(=O)N2CCN(C(=O)c3cccs3)C(C)C2)cc1
ZINC36348501	COc1ccc([N+](=O)[O-])cc1C[NH+]1CCCn2cccc2C1c1ccccc1C(F)(F)F
ZINC34675626	O=C(c1ccc(F)cc1)N(c1ccc(F)cc1)C1CC[NH+](Cc2ccccc2[N+](=O)[O-])CC1
ZINC38604126	COc1ccc(C2CC(C3C(=O)[NH+]=c4ccc(Cl)cc4=C3c3ccccc3)=NN2C(C)=O)cc1
ZINC38904496	COc1ccc(C(=O)N(CC2C=c3cccc(C)c3=[NH+]C2=O)c2ccc(C)cc2C)cc1OC
ZINC38995234	COc1ccccc1N(CC1C=c2ccc(C)cc2=[NH+]C1=O)S(=O)(=O)c1ccc(C)cc1
ZINC38999565	COc1ccc(/C=N/N2C(=S)[NH+]=NC2c2cccc(OC(C)C)c2)cc1Br
ZINC38999960	COc1ccc(N(CC2C=c3ccccc3=[NH+]C2=O)S(=O)(=O)c2ccc(Cl)cc2)cc1
ZINC39016306	COc1ccccc1N(CC1C=c2cccc(C)c2=[NH+]C1=O)S(=O)(=O)c1ccc(C)cc1
ZINC39354946	Cc1ccccc1C[NH+]1CCC(CN(CC2CCCO2)C(=O)C2=CC3=CC=NC3C=C2)CC1
ZINC22940751	C=CCn1c(C2CC2)nn(C[NH+]2CCN(C(c3ccccc3)c3ccccc3)CC2)c1=S
ZINC43736703	COc1cccc(N2CC[NH+](CC3C(=O)OC4CC5(C)CCCC(C)C56OC6C43)CC2C)c1
ZINC59417666	S=c1n(C[NH+]2CCC(c3ccccc3)CC2)nc(COc2ccccc2)n1-c1ccccc1
ZINC59578166	CC(c1cccc(C(F)(F)F)c1)[NH+](CC(=O)N(C1CCCC1)C1CCS(=O)(=O)C1)C1CC1
ZINC60212970	S=c1n(C[NH+](Cc2ccc(Cl)c(Cl)c2)C2CC2)nc(-c2ccncc2)n1C1CC1
ZINC60344699	C[NH+](C)CCN(CC(=O)OC(C)(C)C)C(=O)c1cc(Cl)ccc1I
ZINC16838044	Cc1cccc(-n2c(=O)c3ccccc3n3c(=S)n(C[NH+]4CCCC(C(F)(F)F)C4)nc23)c1C
ZINC63140150	CC(C)c1ccc(C2C3[NH+]=c4ccccc4=C3CC3C(=O)N(CC4CCCO4)CC(=O)N32)cc1
ZINC39946739	Cc1ccccc1-n1nnnc1SC1C(=O)[NH+]=c2ccc(Cl)cc2=C1c1ccccc1
ZINC63362281	CCOc1ccc(N2C(=O)C3CC4=c5ccccc5=[NH+]C4C(c4ccc(C)cc4)N3C2=O)cc1
ZINC63493973	Cn1c(=O)c2c(-c3ccc(Br)cc3)n(CCC3=c4ccccc4=[NH+]C3)cc2n(C)c1=O
ZINC63991194	CC(=O)N1N=C(C2C(=O)[NH+]=c3ccc(C)cc3=C2c2ccccc2)CC1c1ccc(N(C)C)cc1
ZINC64182088	Cc1ccc(S(=O)(=O)N2CCCCC2C(=O)N2CC=C(C3=c4ccccc4=[NH+]C3)CC2)cc1
ZINC64363766	CCC(=O)N1N=C(C2C(=O)[NH+]=c3ccc(Br)cc3=C2c2ccccc2)CC1C1CC=CO1
ZINC64622260	Cc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1C(=O)COc1ncnc2ccccc12
ZINC64622262	Cc1ccccc1C1C2[NH+]=c3ccccc3=C2CCN1C(=O)COc1ncnc2ccccc12
ZINC03978165	CCC(=O)OC1C2CC3=C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(CC(=O)OC)C1(C)C
ZINC08836285	COCCn1c(-c2cc(OC)c(OC)c(OC)c2)nc2oc3ccc(Br)cc3c(=O)c2c1=O
ZINC08858348	CCOC(=O)N1CCN(c2nc3c(C)cccn3c(=O)c2/C=C2\SC(=S)N(CC(C)C)C2=O)CC1
ZINC08841934	C=CCn1/c(=N\C(=O)C2CCCN2S(=O)(=O)c2ccc(OC)cc2)sc2cc3c(cc21)OCCO3
ZINC09069044	COc1ccc(S(=O)(=O)N2CCCC2C(=O)N(CC2CCCO2)c2nc3cc(C)c(C)cc3s2)cc1
ZINC09285437	COC(=O)CCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCCCC3C)cc2)sc2cccc(F)c21
ZINC09325039	COc1ccc(C2CC(c3cccs3)=NN2C(=O)Cn2c(-n3nc(C)cc3C)nc(C)c(C)c2=O)cc1
ZINC09279723	COCCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)sc2cc(S(C)(=O)=O)ccc21
ZINC09444878	CC1CN(S(=O)(=O)c2ccc(C(=O)/N=c3\sc4cc(S(C)(=O)=O)ccc4n3C)cc2)CC(C)O1
ZINC09444880	CC1CN(S(=O)(=O)c2ccc(C(=O)/N=c3\sc4cc(S(C)(=O)=O)ccc4n3C)cc2)CC(C)O1
ZINC09599113	COc1ccc(C2=NN(C(=O)CSC3=NN4CCCC(=O)N=C4S3)C(c3ccc(OC)cc3)C2)cc1
ZINC09489673	CCOC(=O)Cn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)sc2c(C)cc(C)cc21
ZINC09629626	COc1cc(OC)cc(C(=O)N(/N=C/c2coc3ccccc3c2=O)c2nc3ccc(OC)cc3s2)c1
ZINC09765668	CCOCCn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CC(C)OC(C)C3)cc2)sc2cccc(C)c21
ZINC10786295	COc1cccc2sc(N(Cc3ccco3)C(=O)C3CCCCN3S(=O)(=O)c3cccs3)nc12
ZINC11062964	COc1ccc2nc(N(CC3CCCO3)C(=O)c3ccc(S(=O)(=O)N4CCCC(C)C4)cc3)sc2c1
ZINC11133895	COc1ccc(S(=O)(=O)N2CCC(C(=O)N(CC3CCCO3)c3nc4ccccc4s3)CC2)cc1
ZINC11133923	COc1ccc(S(=O)(=O)N2CCC(C(=O)N(CC3CCCO3)c3nc4c(C)cccc4s3)CC2)cc1
ZINC12489218	CC1CN(S(=O)(=O)c2ccc(C(=O)Oc3ccc4nc(N5CCOCC5)sc4c3)cc2)CC(C)O1
ZINC09511029	CCOC(=O)Cn1/c(=N/C(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)sc2cc(C)c(C)cc21
ZINC12541320	COc1ccc(C2CC(c3ccccc3)=NN2C(=O)Cn2cnc3c(cnn3-c3ccc(F)cc3)c2=O)cc1
ZINC12152583	CCOC(=O)C1CCN(C(=O)C2CCCN(c3cccc4c3C(=O)N(C(C)c3cccs3)C4=O)C2)CC1
ZINC12665514	COC(=O)Cn1/c(=N\C(=O)C2CCCN(S(=O)(=O)c3ccc(OC)cc3)C2)sc2cc(C)ccc21
ZINC12665753	CCn1/c(=N/C(=O)C2CCCN(S(=O)(=O)c3ccc(OC)cc3)C2)sc2cc(OC)c(OC)cc21
ZINC12665754	CCn1/c(=N/C(=O)C2CCCN(S(=O)(=O)c3ccc(OC)cc3)C2)sc2cc(OC)c(OC)cc21
ZINC02422262	Cc1ccccc1-c1nc2s/c(=C\c3cn(-c4ccccc4)nc3-c3ccc4c(c3)OCCO4)c(=O)n2n1
ZINC15906226	O=C(c1ccc(S(=O)(=O)N2CCOCC2)cc1)N1N=C2/C(=C/c3ccco3)CCCC2C1c1ccco1
ZINC03639957	COCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3cccs3)C2)C1c1cc(Br)ccc1F
ZINC03639960	COCCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3cccs3)C2)C1c1cc(Br)ccc1F
ZINC20160051	COc1ccc(/C(C)=N/OCc2nc3c4c(ncn3n2)OC2=C(C(=O)CC(C)(C)C2)C4c2ccccc2)cc1
ZINC23425785	COc1ccc(S(=O)(=O)N2CCOCC2)cc1N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
