ZINC01208863	CN1C(=O)N(C)C2C1N(CO)C(=O)N2CO
ZINC61370108	CCCC(C)(NC(=O)NC(C)c1ccsc1)C(=O)[O-]
ZINC61411985	O=C(NC(CCO)C(=O)[O-])c1ccc2ncccc2c1
ZINC61826480	CC(C)(CC(=O)[O-])CC(=O)NCCCO
ZINC61834220	CC(CC(=O)[O-])CC(=O)N1CCCC1C(N)=O
ZINC61835584	CC(CC(=O)[O-])CC(=O)NC1CCCCNC1=O
ZINC62100750	CC(C)CCCNC(=O)NC(C)(C(=O)[O-])C1CC1
ZINC62833365	COCCC(=O)N(C)c1ccc(C(=O)[O-])cc1N
ZINC63010791	CN(CCCC(=O)[O-])C(=O)c1ccc(N)c(F)c1
ZINC05616570	O=C([O-])c1ccccc1NC(=S)NC1CCS(=O)(=O)C1
ZINC06761651	CSCCC(NC(=O)Nc1ccc(C(C)=O)cc1)C(=O)[O-]
ZINC13179929	O=C([O-])CNC(=O)c1ccc(NC(=O)CCC2CCCC2)cc1
ZINC13250426	CC(O)CNS(=O)(=O)c1cc(C(=O)[O-])ccc1Br
ZINC13255826	CC(=O)Nc1ccc(NC(=O)CC2(C(=O)[O-])CCCC2)cc1
ZINC16905017	NN1C(=O)/C(=C/c2ccc(OCCC(=O)[O-])cc2)SC1=S
ZINC06846687	Cc1ccc(C(=O)NNC(=O)CC(C)(C)CC(=O)[O-])s1
ZINC19485057	CSCCC(NC(=O)c1ccc2[nH]cnc2c1)C(=O)[O-]
ZINC20301832	CC(O)C(NS(=O)(=O)c1cc(Cl)cc(Cl)c1)C(=O)[O-]
ZINC20423600	O=C([O-])CCCC(=O)NC(=O)Nc1ccc(F)c(F)c1F
ZINC20480374	O=C(NC(Cc1cnc[nH]1)C(=O)[O-])c1ccc(I)cc1
ZINC33453638	CCC(C)C(NC(=O)C(C)N(C)c1ccc(O)cc1)C(=O)[O-]
ZINC33519804	CCC(=O)Nc1sc(C)c(C)c1C(=O)NC(CC)C(=O)[O-]
ZINC33519945	Cc1cc(C(=O)NC(C(=O)[O-])C(C)C)c(NC(=O)C(C)C)s1
ZINC33519980	Cc1cc(C(=O)NC(CC(C)C)C(=O)[O-])c(NC(=O)C2CC2)s1
ZINC33520014	Cc1cc(C(=O)NCCC(=O)[O-])c(NC(=O)c2cccs2)s1
ZINC33520051	CCC(NC(=O)c1cc(C)sc1NC(=O)C(F)(F)F)C(=O)[O-]
ZINC33520164	CCC(NC(=O)c1c(NC(C)=O)sc2c1CCC(C)C2)C(=O)[O-]
ZINC35097351	O=C([O-])CNC(=O)CNC(=O)c1cc2c(s1)CCCCC2
ZINC35389513	CC(NC(=O)c1cccs1)C(=O)NC(C(=O)[O-])C(C)(C)C
ZINC35600589	CCC(CO)NS(=O)(=O)c1ccc(CC(=O)[O-])s1
ZINC36971898	CC(O)C(NC(=O)Cc1csc(-c2cccs2)n1)C(=O)[O-]
ZINC37431449	CC(O)C(NC(=O)/C=C/c1ccc(C2CC2C)o1)C(=O)[O-]
ZINC37464945	O=C([O-])CCCS(=O)(=O)NCCc1c[nH]c2ccccc12
ZINC37789078	CCN(CCO)c1ccc(NC(=O)C2CC2C(=O)[O-])cc1
ZINC17457420	C=CCO/C([O-])=C1\C(C)=NC(SCC(N)=O)=C(C#N)C1c1cccs1
ZINC40358530	CC(C)CC(=O)C1=C([O-])C(=O)N(CCCO)C1c1ccc(O)cc1
ZINC40519795	CSCCC(NC(=O)Nc1c(C)cc(Br)cc1C)C(=O)[O-]
ZINC40556986	CCOCCCNC(=O)NC1(C(=O)[O-])CCC(CC)CC1
ZINC42692643	CC(C)CN(CC(N)=O)C(=O)c1ccc(/C=C/C(=O)[O-])s1
ZINC42810214	COCCS(=O)(=O)[N-]c1nc(-c2ccc(F)cc2N)cs1
ZINC43564504	CC(C)CC(NC(=O)Nc1nc(C2CC2)cs1)C(=O)[O-]
ZINC44511198	O=C(NCCC1CCCO1)Nc1ccc(F)c(C(=O)[O-])c1
ZINC44677477	O=C([O-])c1cc(S(=O)(=O)NC2CC2c2ccccc2)c[nH]1
ZINC49063699	COC(=O)C(C)S(=O)(=O)[N-]c1cccc(F)c1C(N)=S
ZINC49064028	CCOC(=O)CCS(=O)(=O)[N-]c1cc(N)ccc1Cl
ZINC49186327	O=C([O-])CCCCC(=O)NC(=O)NCCc1ccsc1
ZINC49561131	CCCC(C)(NC(=O)Nc1nc2c(s1)CCCC2)C(=O)[O-]
ZINC49577851	O=C([O-])c1cc(S(=O)(=O)NCc2ccc(F)c(F)c2)c[nH]1
ZINC49914764	CC(=O)Nc1cccc(NCc2nc(C)c(C(=O)[O-])s2)c1
ZINC50376569	COC1CCCC1NC(=O)NC(C(=O)[O-])c1ccccc1
ZINC50922679	NC(=O)CSCCC(=O)N1CCC(CCC(=O)[O-])CC1
ZINC54503816	Cc1ccc(C(=O)NCC(=O)NC(C(=O)[O-])C2CC2)s1
ZINC58851110	CC(=O)Nc1cccc(C(=O)NC(Cc2cccc(F)c2)C(=O)[O-])c1
ZINC15919858	O=C(C1=C([O-])C(=O)N(CCO)C1c1cccc(O)c1)c1ccccc1
ZINC61677994	CCC(C(N)=O)S(=O)(=O)c1ccc(F)c(C(=O)[O-])c1F
ZINC62100757	CC(C)CCCNC(=O)N(CC(=O)[O-])c1ccc(O)cc1
ZINC62872012	CCCC1(C(=O)[O-])CCCN(C(=O)CCSCC(N)=O)C1
ZINC63585486	COc1cc(CNC(=O)c2cccnc2[S-])cc(OC)c1O
ZINC67447274	Cc1n[nH]c(C)c1C(NC(=O)C1(c2ccccc2F)CC1)C(=O)[O-]
ZINC13180879	Cc1ccc(CSCC(=O)Nc2ccc(C(=O)NCC(=O)[O-])cc2)cc1
ZINC13180915	Cc1ccc(SCC(=O)Nc2ccc(C(=O)NCC(=O)[O-])cc2)c(C)c1
ZINC21050208	CSCCC(NC(=O)NCc1ccc(Br)s1)C(=O)[O-]
ZINC21050214	CSCCC(NC(=O)NCc1ccc(Br)s1)C(=O)[O-]
ZINC33518909	Cc1ccc(NC(=O)CSCC(=O)NCCC(=O)[O-])cc1C
ZINC33519999	CCC(NC(=O)c1cc(C)sc1NC(=O)CC(C)C)C(=O)[O-]
ZINC35353238	CC(C)NS(=O)(=O)c1ccc(NCCC(=O)[O-])cc1
ZINC35383569	CCCc1sc(C(=O)NCC(=O)NCC(=O)[O-])cc1CC
ZINC35409005	CCC(NC(=O)c1ccc(NC(=O)C2CC2)s1)C(=O)[O-]
ZINC36976978	O=C(CCNC(=O)C1CCCC1)Nc1sccc1C(=O)[O-]
ZINC37431457	CC(O)C(NC(=O)CCc1ccc(C2CC2C)o1)C(=O)[O-]
ZINC37431459	CC(O)C(NC(=O)CCc1ccc(C2CC2C)o1)C(=O)[O-]
ZINC37585732	CC(C)N(CCCC(=O)[O-])C(=O)c1ccc(O)cc1O
ZINC37791753	O=C([O-])CCCC(=O)Nc1cccc(NC(=O)C2CC2)c1
ZINC38645612	O=C([O-])C1CC=CCC1C(=O)OCCC(CO)CCO
ZINC33453641	CC(C)CC(NC(=O)C(C)N(C)c1ccc(O)cc1)C(=O)[O-]
ZINC40533655	CSCCC(NC(=O)Nc1ccc(C)cc1Br)C(=O)[O-]
ZINC40559503	CSCCC(NC(=O)Nc1ccc(F)cc1Br)C(=O)[O-]
ZINC40560014	CC(C)C(NC(=O)Nc1ccc(OC(F)F)cc1)C(=O)[O-]
ZINC40699290	O=C([O-])C(CCO)NS(=O)(=O)c1c(Cl)cc(Cl)cc1Cl
ZINC40699747	Cc1ccc(S(=O)(=O)NC(CCO)C(=O)[O-])cc1C
ZINC42794590	CC(O)C(NC(=O)N(CC(F)(F)F)C1CC1)C(=O)[O-]
ZINC44678182	COCCCCNC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC45041172	COCCC(C)(Oc1cccc(F)c1C(N)=O)C(=O)[O-]
ZINC45111214	CCCCOCCNC(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC45549122	CC(C)[NH2+]C(C)(CCSc1nccc(=O)[nH]1)C(=O)[O-]
ZINC45549125	CC(CCSc1nccc(=O)[nH]1)([NH2+]C1CC1)C(=O)[O-]
ZINC46870310	O=C(NCCO)c1ccc([N-]S(=O)(=O)c2ccc(F)c(F)c2)cc1
ZINC49238359	CSCCC(NC(=O)Nc1nc(C2CC2)cs1)C(=O)[O-]
ZINC49310755	CC(C)CC(NC(=O)NCCOCC(F)(F)F)C(=O)[O-]
ZINC49539529	Cc1ncc(CNC(=O)NCCCCCC(=O)[O-])s1
ZINC49540162	CCCC(C)(NC(=O)NCc1nc(C)cs1)C(=O)[O-]
ZINC50376248	COC1CCCC1NC(=O)NC(CCSC)C(=O)[O-]
ZINC50982057	N#C/C(C(=O)CNC(=O)C1CC1)=C(/[O-])Nc1cc(Cl)cc(Cl)c1
ZINC50986479	CC(=O)NC(CC(=O)/C(C#N)=C(\[O-])NC(C)C)c1cccs1
ZINC04474600	CCOC(=O)C([O-])(O/N=C(/N)c1ccccc1)C(F)(F)F
ZINC52763992	CCC(C)C(NC(=O)N1CCCC1CCCO)C(=O)[O-]
ZINC52763993	CCC(C)C(NC(=O)N1CCCC1CCCO)C(=O)[O-]
ZINC52787027	COCCC(NC(=O)NC1CCCC(C)C1C)C(=O)[O-]
ZINC52787632	COCCC(NC(=O)NC(C)c1ccc(Cl)s1)C(=O)[O-]
ZINC52856357	COCCN(CC(=O)[O-])c1ccc(Cl)cc1C(N)=O
ZINC53071551	CCC(CC)(CO)NC(=O)c1ccc([N-]S(C)(=O)=O)cc1
ZINC54524573	O=C(Nc1ccccc1OC(F)F)NC(C(=O)[O-])C1CC1
ZINC54524574	O=C(Nc1ccccc1OC(F)F)NC(C(=O)[O-])C1CC1
ZINC55109111	CSCCC(NC(=O)C(C)(C)NC(=O)c1cccs1)C(=O)[O-]
ZINC62459306	COc1c(C)cc(C)cc1CCCC(=O)NC(CO)C(=O)[O-]
ZINC62835056	CN(C(=O)CN(CCC(=O)[O-])c1ccccc1N)C1CC1
ZINC62915421	CCC1(C(=O)[O-])CCN(C(=O)CCSCC(N)=O)C1
ZINC63136342	CCC(C)C(NC(=O)NCCc1nccs1)C(=O)[O-]
ZINC66581397	CC(C)CS(=O)(=O)[N-]c1ccc(C(=O)NCCO)cc1
ZINC12761695	CC(O)C(NC(=O)C(Sc1ccccc1)c1ccccc1)C(=O)[O-]
ZINC13624039	CCNC(=O)c1cccc(NC(=O)/C=C/C(=O)[O-])c1
ZINC06850845	CCOc1ccccc1OCc1nnc([S-])n1N
ZINC20546926	CSCCC(NC(=O)NCc1ccc(Cl)s1)C(=O)[O-]
ZINC31978939	O=C([O-])C1CC=CCC1C(=O)NCCCCCO
ZINC33762384	CSCCC(NC(=O)Nc1cc(Cl)cc(Cl)c1)C(=O)[O-]
ZINC35121723	Cc1cc(C)c(C(N)=O)c(SCCC(=O)[O-])n1
ZINC35736919	CC(NC(=O)NC(=O)CCC(=O)[O-])c1cccs1
ZINC36337345	CCCC(C)(NC(=O)c1cc(Cl)c[nH]1)C(=O)[O-]
ZINC36339776	CCCC(C)(NC(=O)Nc1ccccc1F)C(=O)[O-]
ZINC36885128	O=C([O-])CN(CC1CC1)C(=O)NC1CCC(O)CC1
ZINC36888481	CC(NC(=O)NCc1cccc(F)c1F)(C(=O)[O-])C1CC1
ZINC36966003	Cc1ccc(/C=C/C(=O)NC(C(=O)[O-])C(C)O)s1
ZINC37289396	CC(C)N(C)C(=O)COc1ccc(C(=O)[O-])cc1N
ZINC37289513	CC(C)N(C)C(=O)COc1cc(C(=O)[O-])ccc1N
ZINC37744147	CS(=O)(=O)CCOc1ccc(C(=O)[O-])cc1N
ZINC37792413	CCC(CO)NC(=O)CC1(C(=O)[O-])CCCCC1
ZINC37794859	O=C([O-])CCC(=O)Nc1ccc(-c2c[nH]cn2)cc1
ZINC40224163	O=C([O-])CC1(CC(=O)NC2CCCC(O)C2)CCCC1
ZINC40482861	CCCC(C)(NC(=O)C1Cc2ccccc2CN1)C(=O)[O-]
ZINC40535226	COCC(C)NC(=O)NC1(C(=O)[O-])CCC(C)CC1
ZINC40551417	CC(C)(C)C(NC(=O)NCCc1cccs1)C(=O)[O-]
ZINC40552313	CCc1ccccc1NC(=O)NC(C)(C(=O)[O-])C1CC1
ZINC40557158	CCCC(C)(NC(=O)NC1CCCC(C)C1C)C(=O)[O-]
ZINC40576257	CC(NC(=O)NC(C)(C(=O)[O-])C1CC1)C1CCCO1
ZINC40737219	O=C([O-])c1ccc(NCCc2ccc(O)cc2)nn1
ZINC40739021	O=C([O-])C1CC1C(=O)Nc1ccc(CCO)cc1
ZINC41036012	CC1CCCC(NC(=O)NCCc2cccs2)(C(=O)[O-])C1
ZINC42275081	CCCN(CC(=O)[O-])C(=O)NC1CCC(O)CC1
ZINC42870275	CSCCC(NC(=O)NCC1CCCCC1C)C(=O)[O-]
ZINC43686894	CC(C)C(NC(=O)NCc1cc(Br)cs1)C(=O)[O-]
ZINC44750041	CC(=O)NCCC(=O)Nc1ccc(C(=O)[O-])c(C)c1
ZINC45648466	CC(C)CC(NC(=O)NCC1CC=CCC1)C(=O)[O-]
ZINC45648757	CC(NC(=O)NCC1CC=CCC1)(C(=O)[O-])C1CC1
ZINC49148150	CC(C)CCCC(C)NC(=O)NC1(C(=O)[O-])CCCC1
ZINC49238603	CCC(NC(=O)Nc1nc(C(C)C)cs1)C(=O)[O-]
ZINC49254544	CC1CCCCC1(NC(=O)NCCC(C)(C)C)C(=O)[O-]
ZINC49532828	CC(NC(=O)NC(C(=O)[O-])C(C)(C)C)c1cccc(F)c1
ZINC49560981	CC(C)C(NC(=O)NC(c1cccs1)C(C)C)C(=O)[O-]
ZINC50429820	COCCS(=O)(=O)[N-]c1cc(C(N)=S)ccc1C
ZINC52011969	O=C([O-])CCN(C(=O)NC1CCCCC1O)C1CC1
ZINC53117686	CC1CCCC(CO)(NS(=O)(=O)CC(=O)[O-])C1
ZINC54525310	CC(NC(=O)NC(C(=O)[O-])C1CC1)c1cccc(Br)c1
ZINC58240845	CC(C)(C(=O)[O-])S(=O)(=O)Cc1cccc(C(N)=S)c1
ZINC58849694	O=C(NC(Cc1cccc(F)c1)C(=O)[O-])c1cccc(O)c1
ZINC61121492	CSCCC(NC(=O)Nc1cc(F)c(F)c(F)c1)C(=O)[O-]
ZINC62833466	CN(CCS(C)(=O)=O)c1ccc(C(=O)[O-])cc1N
ZINC62960288	CCC1(CC)CCN(C(=O)NC(CO)C(=O)[O-])CC1
ZINC36353577	NC(=O)c1c(SCCc2ccccc2)sc2c([O-])cc(=O)[nH]c12
ZINC64610543	O=C(CC1(C(=O)[O-])CCSC1)Nc1cccc(CO)c1
ZINC02765081	CCc1c(C(=O)NNC(=O)C2CC=CCC2C(=O)[O-])csc1C
ZINC00311330	O=C(NC(=S)Nc1ccc(C(=O)[O-])c(Cl)c1)c1ccco1
ZINC13059760	O=C([O-])c1ccc(S(=O)(=O)Nc2ccccc2CO)cc1
ZINC13249195	CNC(=O)c1cccc(NC(=O)CC2(C(=O)[O-])CCCCC2)c1
ZINC13252363	CNC(=O)c1ccc(NC(=O)CC2(C(=O)[O-])CCCCC2)cc1
ZINC13004731	O=P([O-])(O)C(NCCc1cccc(F)c1)c1ccsc1
ZINC35600840	CC(O)CNS(=O)(=O)c1ccc(C(=O)[O-])cc1Br
ZINC36786196	CC(C1CC1)N(C)c1ccc(S(N)(=O)=O)cc1C(=O)[O-]
ZINC36902465	NC(=O)c1c(F)cccc1OCc1csc(C(=O)[O-])n1
ZINC36978662	CC(=O)NC(C(=O)Nc1cc(C(=O)[O-])ccc1Cl)C(C)C
ZINC37054132	COC(=O)c1sccc1[N-]S(=O)(=O)c1cc(C)cc(N)c1
ZINC37227820	Cc1cc(C(=O)[O-])cc(S(=O)(=O)CC(C)C(N)=O)c1C
ZINC37309331	NS(=O)(=O)c1ccc(SCc2ccco2)c(C(=O)[O-])c1
ZINC37374741	CC(O)C(NS(=O)(=O)c1cc(Cl)sc1Cl)C(=O)[O-]
ZINC37416577	Cc1nc(-c2cccs2)sc1C(=O)NC(C(=O)[O-])C(C)O
ZINC03306185	NC(=O)C1CCN(C(=O)CC2(CC(=O)[O-])CCCCC2)CC1
ZINC38018497	O=C([O-])c1cc(S(=O)(=O)NCc2ccc(Br)s2)c[nH]1
ZINC38107802	Cc1nc(Cl)sc1S(=O)(=O)[N-]c1ccc(CC(N)=O)cc1
ZINC39481115	CCc1ccc(NS(=O)(=O)[O-])c(N2CCNC(SC)C2)c1
ZINC39481380	CCCc1ccc(NS(=O)(=O)[O-])c(N2CCNC(Cl)C2)c1
ZINC39667837	C/C(N)=C(/C#N)C(=O)CSc1nc(C)cc(C)c1C(=O)[O-]
ZINC40544748	CSCCC(NC(=O)Nc1c(Cl)cc(Cl)cc1Cl)C(=O)[O-]
ZINC40592655	CCC(C)C(NC(=O)Nc1ncc(Br)s1)C(=O)[O-]
ZINC42533751	COC(=O)CS(=O)(=O)[N-]c1ccc(N)cc1Br
ZINC48761048	CC(C)Oc1ncccc1[N-]S(=O)(=O)c1cc(N)cs1
ZINC49500298	CC(C)(C)c1csc(NC(=O)NC(C)(C(=O)[O-])C2CC2)n1
ZINC49530136	CC(NS(=O)(=O)c1c[nH]c(C(=O)[O-])c1)c1cccc(F)c1
ZINC50226514	Cc1ccc(CNS(=O)(=O)c2c[nH]c(C(=O)[O-])c2)s1
ZINC50226952	Cc1ccc(CNC(=O)NC(C)(C)CCC(=O)[O-])s1
ZINC53201100	COC1CCCC1NC(=O)Nc1ccccc1CC(=O)[O-]
ZINC53201102	COC1CCCC1NC(=O)Nc1ccccc1CC(=O)[O-]
ZINC43588289	NS(=O)(=O)Cc1ccc([N-]S(=O)(=O)c2cc(F)cc(F)c2)cc1
ZINC40715654	Cc1[nH]c(=O)sc1S(=O)(=O)[N-]c1ccc(CCO)cc1
ZINC15919995	O=C(C1=C([O-])C(=O)N(CCO)C1c1cccc(O)c1)c1ccc(F)cc1
ZINC61827666	CC1CCCC(NC(=O)NC(=O)CC(C)(C)CC(=O)[O-])C1
ZINC62313411	O=C(NCCS(=O)(=O)[N-]c1ccccc1)NC1CC1
ZINC62440349	O=C([O-])c1cccc(S(=O)(=O)NCC2(O)CCCC2)c1
ZINC62827901	Cc1sc(NC(=O)N(CCO)C(C)C)c(C(=O)[O-])c1C
ZINC62828889	O=C([O-])c1ccsc1NC(=O)N1CCCC1CCCO
ZINC62930988	Cc1ccc(S(=O)(=O)[N-]c2cccc(CS(N)(=O)=O)c2)s1
ZINC63008980	CC(=O)NC(C(=O)Nc1ccc(C(=O)[O-])cc1F)C(C)C
ZINC63136433	O=C(NCCc1nccs1)NC1(C(=O)[O-])CCCCCC1
ZINC63145666	CC1CCC(CNS(=O)(=O)c2c[nH]c(C(=O)[O-])c2)CC1
ZINC63155187	CCc1ccc([N-]S(=O)(=O)CC2CCCO2)cc1N
ZINC63878232	CC(=O)c1cccc(S(=O)(=O)[N-]c2cc(C(N)=O)ccc2C)c1
ZINC64098141	CC(CCC1CC=CO1)NC(=O)c1ccc2c([O-])[nH]c(=S)nc2c1
ZINC66250599	NC(=O)Cc1csc([N-]S(=O)(=O)C2=Cc3ccccc3CC2)n1
ZINC66250612	NC(=O)Cc1csc([N-]S(=O)(=O)c2c(F)cc(F)cc2F)n1
ZINC66574850	CC(C)CS(=O)(=O)[N-]c1ccc(S(N)(=O)=O)cc1
ZINC66582581	CC(C)CS(=O)(=O)[N-]c1cc(F)cc(S(N)(=O)=O)c1
ZINC03839187	COC(=O)CCCNC(=O)C1C(NC(=O)Nc2ccc(F)cc2F)CCN1C(=O)c1cccn1C
ZINC02632317	COc1ccccc1NS(=O)(=O)c1cccc(C(=O)NNC(=O)CC2OC(=O)c3ccccc32)c1
ZINC06088689	CCn1c(SCC(=O)NNC(=O)c2cccc(C)c2)nnc1-c1ccc(NS(C)(=O)=O)cc1
ZINC09510157	CC(O)C(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)c1ccc2c(c1)NC(=O)CO2
ZINC09548977	COc1ccc(C(=O)NN2C(=O)NC(C)(CCc3ccccc3)C2=O)cc1S(=O)(=O)NC1CC1
ZINC09338588	Cc1nn(Cc2nc(N)nc(Nc3ccccc3)n2)c(C)c1S(=O)(=O)N(C)Cc1ccco1
ZINC10145322	Cc1cc(C)c(NC(=O)CNC(=O)COC(=O)CN2C(=O)NC3(CCCCC3C)C2=O)c(C)c1
ZINC10425810	COc1cc(OC)cc(C(=O)NC(C(=O)NCCCN2C(=O)NC3(CCCC3)C2=O)C(C)C)c1
ZINC10762668	CC(OC(=O)CN1C(=O)NC2(CCCCC2C)C1=O)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F
ZINC11180122	O=C(CCNS(=O)(=O)c1ccc2c(c1)OCCO2)Nc1cccc(NC(=O)c2ccco2)c1
ZINC12513936	Cc1cc(C(=O)NCC(=O)OCC(=O)NCC(=O)Nc2ccc(F)c(F)c2F)ccc1[N+](=O)[O-]
ZINC12631063	Cc1cc(C(=O)NNC(=O)COCC(=O)Nc2cccc(Cl)c2Cl)ccc1[N+](=O)[O-]
ZINC10121101	CCOCCOc1cccc(C(=O)NC(=S)Nc2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)c1
ZINC12548474	O=C(CNC(=O)c1cccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)c1)NCc1ccco1
ZINC13630292	CCOCCOc1ccccc1C(=O)NC(=S)NNC(=O)C1CC(=O)N(Cc2ccco2)C1
ZINC14538444	CCOc1ccccc1CNc1cc(C(=O)NCCN2CCNC2=O)cc(S(=O)(=O)N(C)C)c1
ZINC14839042	O=C(NCC1CCCO1)c1cccc(NC(=S)NC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)c1
ZINC15089261	CCN(CC)S(=O)(=O)c1cccc(-c2nnc(SC(C)C(=O)NC(N)=O)n2CC(C)C)c1
ZINC15737431	CCOc1ccc(S(=O)(=O)Nc2ccc(C(=O)NNC(=O)C3=COCCO3)cc2)cc1
ZINC16511204	COc1ccc(C(=O)NNC(=O)C(CCSC)NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1
ZINC16593887	Cc1ccc(S(=O)(=O)NC(C(=O)NNC(=O)c2cccc(S(=O)(=O)N(C)C)c2)C(C)C)cc1
ZINC16955009	COc1ccc(-n2c(Cc3cc(=O)[nH]c(=O)[nH]3)nnc2SCC(=O)Nc2ccc(F)cc2F)cc1
ZINC17315148	CCOc1ccc(-n2c(Cc3cc(=O)[nH]c(=O)[nH]3)nnc2SCC(=O)NCC2CCCO2)cc1
ZINC17330059	CSCCC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)NNC(=O)c1cccc([N+](=O)[O-])c1
ZINC17330060	CSCCC(NS(=O)(=O)c1cc(C)ccc1C)C(=O)NNC(=O)c1cccc([N+](=O)[O-])c1
ZINC18052567	CN(CCCc1n[nH]c(N)c1C#N)c1ccc(S(=O)(=O)N2CCCCC2)cc1[N+](=O)[O-]
ZINC18063607	COc1ccc2[nH]cc(CCN/C(=N\C(=O)CSc3nnnn3C)Nc3nc(C)cc(C)n3)c2c1
ZINC09015376	CCOc1cc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)ccc1OCc1ccc(C(=O)OC)o1
ZINC18522631	COC(=O)CCc1c(C)nn(-c2ccc(C(=O)OC(C)C(=O)Nc3sccc3C(N)=O)cc2)c1C
ZINC20834195	O=C(CSc1n[nH]c(N/N=C/c2cccs2)n1)Nc1ccc(S(=O)(=O)N2CCCC2)cc1
ZINC20904895	COCc1nnc(SCCC(=O)Nc2ccc(S(=O)(=O)N3CCCCCC3)cc2)n1N
ZINC21037360	O=C(CCSc1nnc(N/N=C/c2cccc([N+](=O)[O-])c2)[nH]1)Nc1cccc(N2CCCC2=O)c1
ZINC21076400	CCN(CC)S(=O)(=O)c1ccc(NC(=O)CSc2n[nH]c(N/N=C/c3ccco3)n2)cc1
ZINC21082656	COCCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C(\C)c3ccccn3)n2)s1
ZINC22715374	Cn1ccc(-c2nnc(SCC(=O)NNC(=S)NC3CCCCC3)n2CC2CCCO2)n1
ZINC23370400	Cc1c(NC(=O)CSc2nnc(-c3cccs3)n2CCC(N)=O)cccc1[N+](=O)[O-]
ZINC33574749	COC(=O)c1cc(C(=O)OCC(=O)Nc2sc3c(c2C(N)=O)CCC3)cc([N+](=O)[O-])c1
ZINC13001069	CCOc1ccc(C(=O)NCC(=O)NNC(=O)CN(C)S(=O)(=O)c2ccc(Cl)cc2)cc1
ZINC39560237	C=C(C)C(=O)OC1CC(C)(OC(C)=O)C2(O)CCC(C)(O)C(OC(C)=O)C23OC(=O)C(CO)=C13
ZINC39575432	Cc1cccc(C)c1NC(=O)CNC(=O)C(C)OC(=O)CN1C(=O)NC2(CCC(C)CC2)C1=O
ZINC40149287	COC(=O)C(C#N)c1nc2ccccc2nc1NCCCc1nn(-c2ccc(F)cc2)c(N)c1C#N
ZINC40657913	O=C(NNc1ncnc(NCCN2CCOCC2)c1[N+](=O)[O-])c1ccc(Br)cc1
ZINC44391910	CC(=O)Nc1ccc(C(=O)NCCNC(=O)C(C)n2nc(-c3ccc4c(c3)OCO4)ccc2=O)cc1
ZINC44391911	CC(=O)Nc1ccc(C(=O)NCCNC(=O)C(C)n2nc(-c3ccc4c(c3)OCO4)ccc2=O)cc1
ZINC59038675	CCCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C(/C)c3ccccn3)n2)s1
ZINC59831785	C=CCn1cc(/C=N/Nc2nc(SCC(=O)NCc3cc(OC)cc(OC)c3)n[nH]2)cn1
ZINC59886716	COCCn1cc(/C=N/Nc2nc(SCC(=O)NCc3ccccc3Cl)n[nH]2)cn1
ZINC59887082	COCCn1cc(/C=N/Nc2nc(SCC(=O)Nc3cccc(Cl)c3C)n[nH]2)cn1
ZINC62590129	COCCn1c(NC(=O)c2nc(N3CCCC3)ncc2Cl)c(NCc2ccccc2)c(O)nc1=O
ZINC13372139	CCCc1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1/C=[NH+]/CCc1ccc(S(N)(=O)=O)cc1
ZINC13372139	CCCc1nn(-c2ccc([N+](=O)[O-])cc2)c(O)c1/C=[NH+]/CCc1ccc(S(N)(=O)=O)cc1
ZINC13372139	CCCC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)/C1=C\NCCc1ccc(S(N)(=O)=O)cc1
ZINC13270805	Cc1nc2nc(SC(C)C(=O)Nc3ccc(Br)cc3F)nn2c(C)c1CCC(=O)[O-]
ZINC13396567	Cc1cc(Cl)ccc1OCCCC(=O)Nc1ccc(S(=O)(=O)N2CCCC(C(=O)[O-])C2)cc1
ZINC13397946	O=C(Nc1ccc(S(=O)(=O)N2CCCC(C(=O)[O-])C2)cc1)c1c(Cl)ccc(Cl)c1Cl
ZINC13408534	CC1CCN(c2nnc(SCC(=O)Nc3ccc(Br)cc3C(=O)[O-])n2C2CC2)CC1
ZINC13467086	O=C([O-])C1CC=CCC1C(=O)Nc1cc(S(=O)(=O)N2CCCCC2)ccc1OCC(F)(F)F
ZINC03631371	COc1ccc(-n2c([S-])nc3cc(C(=O)Nc4ccc(OC)c(Cl)c4)ccc3c2=O)c(OC)c1
ZINC20309038	CCOc1ccc(C2C(C(=O)c3cc(Cl)ccc3O)=C([O-])C(=O)N2CCCN2CCOCC2)cc1
ZINC20310395	C=CCOc1ccc(C2C(C(=O)c3cc(Cl)ccc3O)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC20310677	C=CCOc1cccc(C2C(C(=O)c3cc(C)ccc3O)=C([O-])C(=O)N2CCCN2CCOCC2)c1
