ZINC04018031	NC(=S)N/N=C/C(O)C(O)C(O)CO
ZINC04574440	C[NH+](C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12
ZINC04692013	CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
ZINC04692016	CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
ZINC09970277	CC1(COC2(C)OC(C)(CO)C(C)(O)C(C)(O)C2(C)O)OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC09970308	CC(=O)NC1(C)C(C)OC(C)(CO)C(C)(O)C1(C)OC1(C)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O
ZINC09970473	CC1(COC2(C)OC(C)(CO)C(C)(O)C(C)(O)C2(C)O)OC(O)C(C)(O)C(C)(O)C1(C)O
ZINC11592622	C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
ZINC11592623	C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
ZINC11592647	C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
ZINC11592649	C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
ZINC12428285	O=c1cc(-c2cc(O)c(O)c(OC3OC(CO)C(O)C(O)C3O)c2)oc2cc(O)cc(O)c12
ZINC08034234	C[NH+](C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
ZINC08818417	Nc1ncnc2c1[nH]/c(=N\N=C\c1ccc(Br)cc1)n2C1OC(CO)C(O)C1O
ZINC13424740	O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12
ZINC14639621	O=C1/C(=C\c2cc(O)c(O)c(O)c2)Oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c21
ZINC15169009	COc1cc(C2Oc3c(O)cc(CCCO)cc3C2CO)ccc1OC1OC(CO)C(O)C(O)C1O
ZINC15222653	O=c1c(OC2(O)C(CO)OC(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC21992201	O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O
ZINC31155650	COc1cc(C2Oc3c(O)cc(CCCO)cc3C2CO)ccc1OC1OC(C)C(O)C(O)C1O
ZINC31158676	O=C1c2c(O)cc(O)cc2OC(c2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(O)c2)C1O
ZINC31164737	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12
ZINC31166810	CC(C)=CCc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)cc1)O2
ZINC33379611	Nc1nc2c(nc(N/N=C/c3ccc(Br)cc3)n2C2OC(CO)C(O)C2O)c(=O)[nH]1
ZINC33831889	O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC35458959	CC1C(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)OC(c2ccc(O)cc2)C1(C)O
ZINC33362821	Cc1c2c(c(O)c3c(O)ccc(Cl)c13)C(=O)C1(O)C(=O)C(C(N)=O)=C([O-])C([NH+](C)C)C1C2
ZINC37538374	CCC(C)C1OC(=O)CNC(=O)CNC(=O)C(C(C)O)NC(=O)C(C)C(O)CC(O)CC/C=C\C1C
ZINC14512219	O=C(/C=C/c1ccc(O)c(O)c1)OCC1OC(OCCc2ccc(O)c(O)c2)C(O)C(O)C1O
ZINC31163487	COc1c(O)cc2c(c1O)C(=O)OC(C)C(O)c1c(O)c(O)c(OC)c(O)c1C(=O)OC(C)C2O
ZINC31167118	CC(COC1OC(COC(=O)/C=C/c2ccc(O)c(O)c2)C(O)C(O)C1O)C1(O)COC(=O)C1
ZINC31163483	COc1c(O)cc2c(c1O)C(=O)OC(C)C(O)c1c(O)c(O)c(OC)c(O)c1C(=O)OC(C)C2O
ZINC03870414	O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
ZINC13124297	N#C/C(=C\c1ccc(/C=C(/C#N)c2nn(CCO)c(N)c2C#N)cc1)c1nn(CCO)c(N)c1C#N
ZINC43465435	O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
ZINC43465457	CC1OC(Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O
ZINC44166803	O=C(OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12)c1ccc(O)cc1
ZINC44168305	CC(C)CC(CC(C)C)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
ZINC45108160	O=c1c(O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12
ZINC13719195	C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
ZINC35947015	C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
ZINC28630644	Cc1c2c(c(O)c3c(O)ccc(Cl)c13)C(=O)C1(O)C(=O)C(C(N)=O)=C([O-])C([NH+](C)C)C1C2
ZINC13099280	Nc1[nH]c(=S)[nH]c(=O)c1/N=N\c1c(Br)cc(S(N)(=O)=O)cc1Br
ZINC13099280	Nc1[nH]c(=S)[nH]c(=O)c1/N=N/c1c(Br)cc(S(N)(=O)=O)cc1Br
ZINC05348123	CCCCN1C(=O)C2C(Cc3ccc(O)cc3)[NH2+]C3(C(=O)Nc4ccccc43)C2C1=O
ZINC06077147	NS(=O)(=O)c1ccc(C[NH2+]C2CC(=O)N(c3cc(Cl)cc(Cl)c3)C2=O)cc1
ZINC07433709	NC(=O)c1c(NC(=O)C[NH+]2CCN(c3ccccc3Cl)CC2)sc2c1CCC2
ZINC08306884	CC(=O)Nc1ccc2c(c1)Sc1cc(NC(C)=O)ccc1N2CNc1cccc[nH+]1
ZINC08793191	CC(C)[NH+]1CCc2c(sc(NC(=O)/C=C/c3ccc([N+](=O)[O-])s3)c2C(N)=O)C1
ZINC08970938	CCCCN1C(=O)C2C(Cc3ccc(O)cc3)[NH2+]C3(C(=O)Nc4ccccc43)C2C1=O
ZINC01267706	[NH3+]C(Cc1c[nH]c2ccccc12)c1nnc(SCc2c(Cl)cccc2Cl)o1
ZINC09474905	C[NH+]1CCc2c(sc(NC(=O)CCCSc3ccc(Cl)cc3)c2C(N)=O)C1
ZINC12575770	CC1CC(C(=O)NCC2([NH+](C)Cc3ccccc3)Cc3ccccc3C2)NC(=S)N1
ZINC14059304	CC(C)[NH+]1CCc2c(sc(NC(=O)CSc3ccc(Cl)cc3)c2C(N)=O)C1
ZINC15708536	O=C(Nc1ccc(F)cc1F)NC1CC2C(=O)NCC(CCC(=O)N3CCCCC3)[NH+]2C1
ZINC20504205	Cc1cc(Br)c(NC(=O)C([NH3+])CCS(C)(=O)=O)c(Br)c1
ZINC04489158	[NH2+]=c1occ(C(=O)c2cc(Br)ccc2O)cc1C(=O)NCC1CCCO1
ZINC32879149	Cc1c(C#N)c(NC(=O)C[NH+]2Cc3ccccc3CC2C(N)=O)n(C2CCCC2)c1C
ZINC20365241	O=c1[nH]cc(NCC[NH+]2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c(=O)[nH]1
ZINC02359604	CCOc1ccc(Nc2nc(N)nc(C[NH+]3CCN(c4ccccc4F)CC3)n2)cc1
ZINC00779041	CC(O)c1cccc(NC(=O)C2=CC3=[NH+]C(c4ccco4)CC(C(F)(F)F)N3N2)c1
ZINC39655928	Cc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)C4CCC4)CC34CC[NH2+]CC4)c2c1
ZINC39655930	Cc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)C4CCC4)CC34CC[NH2+]CC4)c2c1
ZINC39674104	Cc1noc(C)c1C(=O)N1CC(C(=O)NCCc2c(C)[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39674105	Cc1noc(C)c1C(=O)N1CC(C(=O)NCCc2c(C)[nH]c3ccccc23)C2(CC[NH2+]CC2)C1
ZINC39684153	CC(=O)N1CCC(C(=O)N2CC(C(=O)NCCc3c[nH]c4c(C)cccc34)C3(CC[NH2+]CC3)C2)CC1
ZINC39684243	Cc1noc(C)c1C(=O)N1CC(C(=O)NCCc2c[nH]c3c(C)cccc23)C2(CC[NH2+]CC2)C1
ZINC39685774	CC(C)C(NC(=O)C1CN(C(=O)C2CCC2)CC12CC[NH2+]CC2)C(=O)NC(C)(C)C
ZINC39685775	CC(C)C(NC(=O)C1CN(C(=O)C2CCC2)CC12CC[NH2+]CC2)C(=O)NC(C)(C)C
ZINC39695746	CCC(C)C(=O)N1CC(C(=O)NC(C)c2nc3ccc(C)cc3[nH]2)C2(CC[NH2+]CC2)C1
ZINC40464341	COC(=O)c1cc(Br)cc(Br)c1NC(=O)C([NH3+])C(C)(C)C
ZINC44662356	CNC(=O)NC(=O)CSC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccccc1C
ZINC44695575	Cc1cc(C(=O)N2CC(C(=O)NCCc3c[nH]c4ccccc34)C3(CC[NH2+]CC3)C2)nn1C
ZINC44707866	Cc1ccc2[nH]cc(CCNC(=O)C3CN(C(=O)c4c(C)noc4C)CC34CC[NH2+]CC4)c2c1
ZINC44714086	COc1c(C(=O)N2CC(C(=O)NC(C)c3c(C)n[nH]c3C)C3(CC[NH2+]CC3)C2)csc1Cl
ZINC44714140	Cc1cc(C(=O)N2CC(C(=O)NC(C)c3c(C)n[nH]c3C)C3(CC[NH2+]CC3)C2)c(C(F)(F)F)o1
ZINC44714224	Cc1n[nH]c(C)c1C(C)NC(=O)C1CN(C(=O)c2ccc(-c3ccccc3)o2)CC12CC[NH2+]CC2
ZINC44714226	Cc1n[nH]c(C)c1C(C)NC(=O)C1CN(C(=O)c2ccc(-c3ccccc3)o2)CC12CC[NH2+]CC2
ZINC44714230	Cc1n[nH]c(C)c1C(C)NC(=O)C1CN(C(=O)c2ccc(-c3ccccc3)o2)CC12CC[NH2+]CC2
ZINC44714709	Cc1noc(C)c1C(=O)N1CC(C(=O)NCCc2c[nH]c3ccc(Cl)cc23)C2(CC[NH2+]CC2)C1
ZINC45254514	CC(C)C(=O)N(C)C1C[NH2+]C(C(=O)N2CC=C(c3ccccc3)CC2)C(C(=O)NO)C1
ZINC45258894	CN(C(=O)c1ccccc1)C1C[NH2+]C(C(=O)N2CC=C(c3ccccc3)CC2)C(C(=O)NO)C1
ZINC50360765	NS(=O)(=O)c1cccc(C[NH2+]Cc2cc(Br)c(Br)o2)c1
ZINC54111731	Nc1cc(Br)cc(Br)c1S(=O)(=O)NCC[NH+]1CCCC1
ZINC09780705	CC(O)c1ccc(NC(=O)c2cnn3c2NC(c2ccco2)CC3C(F)(F)F)cc1
ZINC08662562	CC(O)c1ccc(NC(=O)c2cnn3c2NC(c2ccco2)CC3C(F)(F)F)cc1
ZINC13452015	CC(O)c1cccc(NC(=O)C2=CC3=[NH+]C(c4ccco4)CC(C(F)(F)F)N3N2)c1
ZINC13452020	CC(O)c1cccc(NC(=O)C2=CC3=[NH+]C(c4ccco4)CC(C(F)(F)F)N3N2)c1
ZINC13452025	CC(O)c1ccc(NC(=O)C2=CC3=[NH+]C(c4ccco4)CC(C(F)(F)F)N3N2)cc1
ZINC13452030	CC(O)c1ccc(NC(=O)C2=CC3=[NH+]C(c4ccco4)CC(C(F)(F)F)N3N2)cc1
ZINC63440846	Cc1ccc(C2=[NH+]C(c3c[nH]c4ccc(S(=O)(=O)NC(C)C)cc4c3=O)ON2)cc1
ZINC63440850	Cc1ccc(C2=[NH+]C(c3c[nH]c4ccc(S(=O)(=O)NC(C)C)cc4c3=O)ON2)cc1
ZINC64182123	NC(=O)NC(CC(=O)N1CC=C(C2=c3ccccc3=[NH+]C2)CC1)c1ccccc1Cl
ZINC67295863	COc1cccc2cc(C(=O)Nc3nccs3)/c(=[NH+]/c3ccc(C(N)=O)cc3)oc12
ZINC04084624	CC(O)C1[NH2+]C2(C(=O)Nc3ccccc32)C2C(=O)N(CCc3ccccc3)C(=O)C12
ZINC04084625	CC(O)C1[NH2+]C2(C(=O)Nc3ccccc32)C2C(=O)N(CCc3ccccc3)C(=O)C12
ZINC04084627	CC(O)C1[NH2+]C2(C(=O)Nc3ccccc32)C2C(=O)N(CCc3ccccc3)C(=O)C12
ZINC02402147	C[NH+]1CCc2c(sc3nc(SCC(=O)Nc4nccs4)nc(N)c23)C1
ZINC05350249	CCCCN1C(=O)C2C(C(C)O)[NH2+]C3(C(=O)Nc4c(Cl)cccc43)C2C1=O
ZINC05350255	CCCCN1C(=O)C2C(C(C)O)[NH2+]C3(C(=O)Nc4c(Cl)cccc43)C2C1=O
ZINC06625967	C[NH2+]CC(=O)NC1CCN2C(=O)c3cc(-c4ccsc4)ccc3NC(=O)C2C1
ZINC08319378	CC(C(=O)Nc1sccc1C(N)=O)[NH+]1CCN(c2ccccc2Cl)CC1
ZINC09111174	Cc1cccc(/N=c2\nc(N)nc(C[NH+]3CCN(c4ccccc4F)CC3)[nH]2)c1
ZINC09449632	CC1(C)Cc2c(c(N3CCCC3)[nH+]c3sc(C(=O)NCC4CCCO4)c(N)c23)CO1
ZINC09485336	C=C(C)C[NH+]1CCN(C(=O)Nc2sc3c(c2C(N)=O)CC(C)(C)OC3)CC1
ZINC12186513	CC(O)C[NH2+]Cc1cc2c(-c3cccc(F)c3)nn(-c3ccccc3)c2[nH]c1=O
ZINC12409175	C[NH+](C)CCCNC(=O)CNC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1
ZINC14992799	CCC(O)CNC(=O)c1sc2ncnc(NCC[NH+]3CCCCC3)c2c1C
ZINC19022373	CC(=O)Nc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(Cl)ccc2O3)cc1
ZINC19022380	CC(=O)Nc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(Cl)ccc2O3)cc1
ZINC21992390	CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(C)cc32)c1C
ZINC22756876	Cc1ccc(NC(=O)NC(=O)C(C)[NH+]2CCN(c3ccc(O)cc3)CC2)c(C)c1
ZINC23398219	C[NH+](Cc1cccc(-c2nc([O-])cc(CC[NH3+])n2)c1)Cc1ccc2c(c1)OCO2
ZINC37199372	NS(=O)(=O)c1ccc(C[NH2+]Cc2ccc(I)o2)cc1
ZINC08996931	Cc1ccc(C(=O)NCCC(=O)N2CCC3(CC2)[NH2+]CCc2nc[nH]c23)cc1C
ZINC39228407	C=CCONC(=O)C1C(O)CCC2C[NH+]3CCc4c([nH]c5ccccc45)C3CC21
ZINC39683889	CNC(=O)C(C)NC(=O)C1CN(C(=O)C2(C)CCCCC2)CC12CC[NH2+]CC2
ZINC39683890	CNC(=O)C(C)NC(=O)C1CN(C(=O)C2(C)CCCCC2)CC12CC[NH2+]CC2
ZINC39969128	C[NH+]1C(SCc2nc3ccccc3c(=O)[nH]2)NNC1c1cc2ccccc2o1
ZINC40953730	C[NH+](CCO)Cc1ccn2c(-c3ccnc(N)n3)c(-c3ccc(F)cc3)nc2c1
ZINC43548064	CC1(O)CCC2(CCC(=O)NC3CC3)C([NH2+]C3CCOCC3)CC(C)(C)C2C1
ZINC43548317	CNc1[nH+]c2c(s1)CC1(C)CCC(C(C)C(=O)NCCOC)C(O)C1C2C
ZINC44713629	Cc1cccc(C(=O)N2CC(C(=O)NC(C)c3c(C)n[nH]c3C)C3(CC[NH2+]CC3)C2)c1
ZINC44713631	Cc1cccc(C(=O)N2CC(C(=O)NC(C)c3c(C)n[nH]c3C)C3(CC[NH2+]CC3)C2)c1
ZINC46427257	CC1CC(C)C[NH+](CCCNC(=O)NNC(=O)C(C)Oc2ccc(F)cc2)C1
ZINC49060917	C[NH+]1CCC(NS(=O)(=O)c2sccc2Br)(C(N)=S)CC1
ZINC50460058	COC(=O)c1cc(Br)cc(Br)c1NC(=O)C1CC1[NH3+]
ZINC50460062	COC(=O)c1cc(Br)cc(Br)c1NC(=O)C1CC1[NH3+]
ZINC44737210	CCC(=O)N1CC(C(=O)NC(C)c2nc3ccc(C)cc3[nH]2)C2(CC[NH2+]CC2)C1
ZINC55027554	CC(C(=O)NC(C)(C#N)C(C)C)[NH+]1CCC(NC(=O)NC2CCCCC2)CC1
ZINC55027558	CC(C(=O)NC(C)(C#N)C(C)C)[NH+]1CCC(NC(=O)NC2CCCCC2)CC1
ZINC56950053	C[NH+](C)C(CNC(=O)NNC(=O)COc1ccc(F)cc1)c1ccc(F)cc1
ZINC57945367	Cc1cccc(C)c1OCC(O)C[NH+](C)C(C)c1ccc(S(N)(=O)=O)cc1
ZINC61882385	Nc1cc(Cl)cc(S(=O)(=O)NCC[NH+]2CCCCC2)c1Br
ZINC63389376	CC(C)c1ccc(NC(=O)C(=O)NCCNC(=O)C2C=c3ccccc3=[NH+]2)cc1
ZINC63389379	CC(C)c1ccc(NC(=O)C(=O)NCCNC(=O)C2C=c3ccccc3=[NH+]2)cc1
ZINC64191137	CC1C(C(=O)NNC(=O)C2=c3ccccc3=[NH+]C2)=CNN1c1ccc(Cl)cc1
ZINC64227839	CCCNC(=O)C(CC1=c2ccccc2=[NH+]C1)N1C(=O)c2ccccc2NC1O
ZINC66246674	N/C(NCC1(c2ccc(Br)cc2)CCOCC1)=[NH+]\Cc1ccco1
ZINC66391891	CC([NH2+]CC1(c2ccc(Cl)cc2)CCOCC1)C(=O)NC(=O)NC(C)(C)C
ZINC20573713	O=C(Cc1ccc(Cl)cc1)NCC(=O)N1CCC2(CC1)NCCc1[nH+]c[nH]c12
ZINC20573713	O=C(Cc1ccc(Cl)cc1)NCC(=O)N1CCC2(CC1)NCCc1[nH]c[nH+]c12
ZINC67573413	CC1CC[NH+](CC(O)CNC(=O)Nc2ccc(-n3cccn3)c(Cl)c2)CC1
ZINC67573416	CC1CC[NH+](CC(O)CNC(=O)Nc2ccc(-n3cccn3)c(Cl)c2)CC1
ZINC67576161	CC(=O)Nc1ccc(NC(=O)NCC[NH+]2CCc3sccc3C2)c(Cl)c1
ZINC04260386	C[NH+]1CCC([NH+]2CC3CC(C2)c2ccc(NC(=O)Nc4cccc(F)c4)c(=O)n2C3)CC1
ZINC00780170	CC[NH+](CC)CCn1c(=[NH2+])n(CC(O)c2ccc3c(c2)OCO3)c2ccccc21
ZINC03171295	CC1(C)CC([NH2+]C(CO)C(O)c2ccc([N+](=O)[O-])cc2)=CC(=[N+]2CCCCC2)C1
ZINC12701485	COc1cc(OC)c(OC)cc1C[NH+]1CCC([NH+]2CCC(O)CC2)C(O)C1
ZINC19147622	O=C1C[NH+](C2c3ccccc3C3(CC[NH+](Cc4ccoc4)CC3)C2O)CCN1
ZINC19595604	COCCn1cnnc1C[NH+](C)C1c2ccccc2C2(CC[NH2+]CC2)C1O
ZINC20207969	CC[NH+]1CCN(CC(O)COc2cccc(C[NH+]3CCNC(=O)C3)c2)CC1
ZINC20600197	C[NH+]1CCC(N2CCCC(NC(=O)CC3CC(C)(C)[NH2+]C(C)(C)C3)C2)CC1
ZINC20600198	C[NH+]1CCC(N2CCCC(NC(=O)CC3CC(C)(C)[NH2+]C(C)(C)C3)C2)CC1
ZINC23159495	C[NH+](Cc1ccc2c(c1)OCO2)C1c2ccccc2C2(CC[NH2+]CC2)C1O
ZINC23478993	OC1C(N2CC[NH+](CCn3ccnc3)CC2)c2ccccc2C12CC[NH2+]CC2
ZINC27375091	Cc1cc(N2CC[NH+](Cc3nc(N)c4ccccc4n3)CC2)nc(C(C)C)[nH+]1
ZINC35392054	CC[NH+](CC)CC[n+]1cnc2c(c1N)C(c1ccco1)c1ccc(O)cc1O2
ZINC35392061	CC[NH+](CC)CCC[n+]1cnc2c(c1N)C(c1ccco1)c1ccc(O)cc1O2
ZINC35392311	CC[NH+](CC)CC[n+]1cnc2c(c1N)C(c1ccc(OC)cc1)c1ccc(O)cc1O2
ZINC35393440	C[NH+](C)CCC[n+]1cnc2c(c1N)C(c1ccccc1)c1ccc(O)cc1O2
ZINC35739946	COc1ccc(C)cc1N/C(=[NH+]\c1ccc(C)c(C)c1)[n+]1sc(C)cc1N
ZINC06660606	Cc1ccc(C2c3ccc(O)cc3Oc3nc[n+](CCCn4cc[nH+]c4)c(N)c32)cc1
ZINC36047433	C[NH+](C)CC[n+]1c(N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21
ZINC39626331	CCCCCCC(=O)N1CC(C(=O)NCC[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39628258	COCCC(=O)N1CC(C(=O)NCC[NH+]2CCCCC2)C2(CC[NH2+]CC2)C1
ZINC39629905	CCCC(C)C(=O)N1CC(C(=O)NCCCn2cc[nH+]c2)C2(CC[NH2+]CC2)C1
ZINC39630383	O=C(NCCCn1cc[nH+]c1)C1CN(C(=O)C2CC=CCC2)CC12CC[NH2+]CC2
ZINC39631102	COCCC(=O)N1CC(C(=O)NCC(C)(C)C[NH+](C)C)C2(CC[NH2+]CC2)C1
ZINC39663333	Cc1ccsc1C(=O)N1CC(C(=O)NC2C[NH+]3CCC2CC3)C2(CC[NH2+]CC2)C1
ZINC39663364	COCCC(=O)N1CC(C(=O)NC2C[NH+]3CCC2CC3)C2(CC[NH2+]CC2)C1
ZINC39663365	O=C(NC1C[NH+]2CCC1CC2)C1CN(C(=O)c2c(F)ccc(Cl)c2F)CC12CC[NH2+]CC2
ZINC39663367	O=C(NC1C[NH+]2CCC1CC2)C1CN(C(=O)c2c(F)ccc(Cl)c2F)CC12CC[NH2+]CC2
ZINC39670710	CCC(=O)N1CC(C(=O)NCc2cn3c(C)cccc3[nH+]2)C2(CC[NH2+]CC2)C1
ZINC39670711	CCC(=O)N1CC(C(=O)NCc2cn3c(C)cccc3[nH+]2)C2(CC[NH2+]CC2)C1
ZINC39681938	CCC(C)C(=O)N1CC(C(=O)NC2C[NH+]3CCC2CC3)C2(CC[NH2+]CC2)C1
ZINC39688862	Cn1cc[nH+]c1CNC(=O)C1CN(C(=O)c2ccc(F)cc2F)CC12CC[NH2+]CC2
ZINC39695441	CCCC(C)C(=O)N1CC(C(=O)NCC2CCC[NH+]2CC)C2(CC[NH2+]CC2)C1
ZINC39987118	OC(CN1CCN(CC(O)C[NH+]2CCCCC2)CC1)C[NH+]1CCCCC1
ZINC33905008	CSCCC([NH3+])c1nc(C(=O)N2CCC([NH+]3CCCCC3)CC2)co1
ZINC43527019	CC(C)NC(=O)NCC1CC2CC[NH+]1CC2C[NH+]1CCc2ccccc2C1
ZINC48808744	CC1CC[NH+](Cc2ccccc2CNC(=O)NC(C)Cn2cc[nH+]c2)CC1
ZINC49823151	Cc1cc(-c2c(F)cc3c4nn(C5CCC([NH3+])CC5)c(O)c4c[n+](C4CC4)c3c2F)cc(C)n1
ZINC20600392	CCC[NH+]1CCC(N2CC([NH2+]C3CCCCCC3)CC2C(=O)NC)CC1
ZINC32581030	Cc1[nH+]ccn1CCCNC(=O)CC1C(=O)NCC[NH+]1Cc1ccc(F)cc1
ZINC23374985	Cc1c(C[NH+]2CCC(N3CC[NH+](C)CC3)C(O)C2)[nH]c2ccc(Cl)cc12
ZINC63515060	COc1ccc(N2CC(=O)C(C3[NH+]=c4ccc(C)cc4=[NH+]3)=C2N)c(OC)c1
ZINC63515085	Cc1ccc2c(c1)=[NH+]C(C1=C(N)N(c3ccc(N4CCCCC4)cc3)CC1=O)[NH+]=2
ZINC64428597	CCN(CC)C(=O)CSC1N=NC(C([NH3+])CC2=c3ccccc3=[NH+]C2)O1
ZINC66699346	CCCC[NH+]1CCCCC1CNC(=O)NCCC(=O)N1CC[NH+](C)CC1
ZINC67122399	Cc1nn(Cc2ccccc2)c(C)c1C[NH2+]CC(O)C[NH+]1CCC(C)CC1
ZINC67122400	Cc1nc(COc2ccc(C[NH2+]CC(O)C[NH+]3CCC(C)CC3)cc2)cs1
ZINC67122424	CC1CC[NH+](CC(O)C[NH2+]Cc2ccc(N3CCOCC3)c(F)c2)CC1
ZINC67491394	CCC[NH+]1Cc2cccc(NC(=O)C(=O)NCC(c3ccco3)[NH+](C)C)c2C1
ZINC67529813	CCC[NH+]1Cc2cccc(NC(=O)C(=O)NCCCn3cc[nH+]c3C)c2C1
ZINC08789567	COc1ccccc1CN1C(=O)C2C(C(C)O)[NH2+]C3(C(=O)Nc4ccccc43)C2C1=O
ZINC09580637	CC(C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)[NH+]1CCN(C(=O)C2COc3ccccc3O2)CC1
ZINC09580639	CC(C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)[NH+]1CCN(C(=O)C2COc3ccccc3O2)CC1
ZINC09580645	CC(C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)[NH+]1CCN(C(=O)C2COc3ccccc3O2)CC1
ZINC15708244	O=C(Nc1ccsc1)NC1CC2C(=O)NCC(CCC(=O)N3CCOCC3)[NH+]2C1
ZINC05840975	[N-]=[N+]=[NH+]C(CI)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
ZINC05840967	[N-]=[N+]=[NH+]C(CI)c1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O
ZINC31581362	CC(C(=O)NC(N)=O)[NH+]1CCN(S(=O)(=O)c2ccc(Br)s2)CC1
ZINC22804414	NC(=O)c1c(NC(=O)CN2CC[NH+](C3CCS(=O)(=O)C3)CC2)sc2c1CCC2
ZINC05295915	CCn1c(N/N=C2\C(=O)Nc3ccc(Br)cc32)nc2c1c(=O)[nH]c(=O)n2C
ZINC38827322	C[NH+](C)CCN1c2nc(C#N)c(C#N)nc2C(c2nc([O-])c3cc(Br)ccc3n2)C1[NH3+]
ZINC39446732	O=C1N=[NH+]C(C(=O)NNC(=O)c2c[nH]c(=S)n2-c2ccc(F)cc2)c2ccccc21
ZINC39590293	O=C(NC1N/C(=C/C(=O)N2CCN(c3cccc[nH+]3)CC2)CS1)c1ccc[nH]c1=O
ZINC39631917	Cc1cc(C(=O)N2CC(C(=O)NC(C)CCCC(C)(C)O)C3(CC[NH2+]CC3)C2)c(C(F)(F)F)o1
ZINC39632137	CC(CCCC(C)(C)O)NC(=O)C1CN(C(=O)C2CCOCC2)CC12CC[NH2+]CC2
ZINC39632144	CC(CCCC(C)(C)O)NC(=O)C1CN(C(=O)C2CCOCC2)CC12CC[NH2+]CC2
ZINC39674576	CC1=CC(C(=O)N2CC(C(=O)NC(C)C3=C(C)N=NC3C)C3(CC[NH2+]CC3)C2)NN1C
ZINC39674577	CC1=CC(C(=O)N2CC(C(=O)NC(C)C3=C(C)N=NC3C)C3(CC[NH2+]CC3)C2)NN1C
ZINC39674579	CC1=CC(C(=O)N2CC(C(=O)NC(C)C3=C(C)N=NC3C)C3(CC[NH2+]CC3)C2)NN1C
