ZINC03839681	CC(=O)NC1C=C(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC49560817	CCC[NH+]1CCC(NC(=O)NC(C(=O)[O-])C(C)O)CC1
ZINC49575746	CC(O)C(NC(=O)NCC[NH+]1CCCCC1)C(=O)[O-]
ZINC50244409	CCC(C)C(NC(=O)N1CCC([NH3+])C1)C(=O)[O-]
ZINC50244468	CC(C)(C)C(NC(=O)N1CCC([NH3+])C1)C(=O)[O-]
ZINC50948849	CC(O)C(NC(=O)CCC1CCCC[NH2+]1)C(=O)[O-]
ZINC52787421	COCCC(NC(=O)NC1CC[NH2+]CC1)C(=O)[O-]
ZINC52787422	COCCC(NC(=O)NC1CC[NH2+]CC1)C(=O)[O-]
ZINC58906642	CC(=O)NCC(=O)NCC(=O)N1CCC(CC(N)=O)CC1
ZINC61713325	N/C(=N/O)C1(C(=O)N2CCC(O)C2)CCOCC1
ZINC61807716	Cc1nn(C)c(N(CC(N)=O)CC(N)=O)c1C=O
ZINC62742897	CC(C)C[NH+](CC(=O)[O-])C(C)C(=O)NC(N)=O
ZINC62849649	CCC1(C(=O)NC(CCO)C(=O)[O-])CC[NH2+]CC1
ZINC63144015	CC(C)(NS(=O)(=O)CCS(C)(=O)=O)/C(N)=N/O
ZINC02522597	CC(C)CC(NC(=O)CC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01737810	[NH3+]CC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC01759523	[NH3+]C(C(=O)[O-])C(O)CCC(=O)[O-]
ZINC01575280	CC(C)CC(NC(=O)C([NH3+])CC(=O)[O-])C(=O)[O-]
ZINC01575281	CC(C)CC(NC(=O)C([NH3+])CC(=O)[O-])C(=O)[O-]
ZINC01617796	CC(CNC(=O)CCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC06013663	N/C(=N/NC(=O)C(=O)[O-])N[N+](=O)[O-]
ZINC02558960	CC(=O)NCC(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC19425750	CC(=O)NCC(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC19476531	CC(O)C(NS(N)(=O)=O)C(=O)[O-]
ZINC33807479	CC(C)CC([NH3+])C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC34371416	[NH3+]C(CCC(=O)[O-])C(=O)NC(CS)C(=O)[O-]
ZINC35024207	CC(N)/C(O)=N/C/C(O)=N/CC(=O)[O-]
ZINC35408657	CCC(NC(=O)C(CC(C)C)NC(N)=O)C(=O)[O-]
ZINC35409860	CCCCC(NC(=O)C(C)NC(N)=O)C(=O)[O-]
ZINC36971317	CC(C)CC(NC(=O)C(NC(N)=O)C(C)C)C(=O)[O-]
ZINC37432674	CC(C)CC(NC(N)=O)C(=O)NC(C(=O)[O-])C(C)C
ZINC37456841	CSCCC(NC(N)=O)C(=O)NC(C)(C(=O)[O-])C1CC1
ZINC40484042	CCC([NH3+])C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40484048	CC([NH3+])CC(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC40521358	C=CCNC(=O)NC(CC(N)=O)C(=O)[O-]
ZINC40528509	CCC(C)NC(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC40531203	CCCCC(NC(=O)NCC(N)=O)C(=O)[O-]
ZINC40531211	NC(=O)CNC(=O)NCCc1ccc(C(=O)[O-])cc1
ZINC40535155	COCC(C)NC(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC40537426	CC(C)CCNC(=O)NC(CC(N)=O)C(=O)[O-]
ZINC40573092	CC(C)CC(C)NC(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC40578550	CCCCC(NC(=O)NC(C)C(N)=O)C(=O)[O-]
ZINC40578552	CCCCC(NC(=O)NC(C)C(N)=O)C(=O)[O-]
ZINC40578695	CC(O)C(NC(=O)NCCNS(C)(=O)=O)C(=O)[O-]
ZINC40578926	CSCCC(NC(=O)NCCS(N)(=O)=O)C(=O)[O-]
ZINC40598032	CC(C)C(NC(=O)NCCCC(N)=O)C(=O)[O-]
ZINC40598094	CCC(C)C(NC(=O)NCCCC(N)=O)C(=O)[O-]
ZINC40909778	CSCCC(NC(N)=O)C(=O)NC(C)(C)C(=O)[O-]
ZINC40909779	CSCCC(NC(N)=O)C(=O)NC(C)(C)C(=O)[O-]
ZINC42692299	CC(C)CN(CC(N)=O)C(=O)NC(CO)C(=O)[O-]
ZINC45112339	CCCCC(NC(=O)NC(C)(C)C(N)=O)C(=O)[O-]
ZINC49228878	CCNC(=O)C(C)NC(=O)NC(CCO)C(=O)[O-]
ZINC50026783	CC(C)CC(NC(=O)C([NH3+])CCC(=O)[O-])C(=O)[O-]
ZINC50026977	CSCCC([NH3+])C(=O)NC(CC(=O)[O-])C(=O)[O-]
ZINC50033460	CNC(=O)CCNc1cc(C(=O)[O-])c(N)cc1F
ZINC50890423	CCCCC(C)NC(=O)NC(CC(N)=O)C(=O)[O-]
ZINC51840966	CC(O)CN(C)C(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC54311056	CSCCC(NC(N)=O)C(=O)NCC(C)C(=O)[O-]
ZINC54335502	CC(CNC(=O)NCC(N)=O)C(=O)[O-]
ZINC54335503	CC(CNC(=O)NCC(N)=O)C(=O)[O-]
ZINC54343203	CC(C[NH3+])C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC34742742	NC(=S)NNC(=O)CCC(=O)[O-]
ZINC61808435	NC(=O)CN(CC(N)=O)S(=O)(=O)CC(=O)[O-]
ZINC62100642	CC(C)CCCNC(=O)NC(CC(N)=O)C(=O)[O-]
ZINC03838796	Cc1ccc(C(=O)NC2C=C(C(=O)NCCC(N)=O)CC(O)C2O)cc1
ZINC03055005	[NH3+]C(CCCCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01555367	[NH3+]C(CCCCCCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01708207	[NH3+]C(CCSCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01626264	NNC(=O)C(=O)NN=C(C(Cl)(Cl)CO)C(Cl)(Cl)CO
ZINC01742284	[NH3+]CC(=O)NC(CSSCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01730669	[NH3+]C(CSCC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC02516117	[NH3+]C(CO)C(=O)NC(CO)C(=O)NC(CO)C(=O)[O-]
ZINC01728243	CC(C)(SCC([NH3+])C(=O)[O-])C([NH3+])C(=O)[O-]
ZINC01615044	NC(=O)NOCC1NC(=O)C(CONC(N)=O)NC1=O
ZINC05273807	NC(=O)CCC(NC(=O)C([NH3+])CO)C(=O)[O-]
ZINC05502102	NC(=O)NCP(=O)(CNC(N)=O)CNC(N)=O
ZINC01623384	[NH3+]C(CSS(=O)(=O)CC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC01623386	[NH3+]C(CSS(=O)(=O)CC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC06332589	O=C(NNC(=S)NC1CC1)C(=O)NNC(=S)NC1CC1
ZINC06997895	CCC(=O)Nc1ccc(C(=O)N/N=C/C(O)C(O)C(O)C(C)O)cc1
ZINC01956638	CN1C(=O)N(C)C(NNC(N)=S)C1NNC(N)=S
ZINC01580039	CC(O)C([NH3+])C(=O)NCC(=O)NCC(=O)[O-]
ZINC12411918	CCN1C(=O)N(CC)C(NNC(N)=S)C1NNC(N)=S
ZINC20922453	CC(C)C(=O)NNC(=O)CSc1nnc(NN)n1N
ZINC20922676	NNc1nnc(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)n1N
ZINC22047506	COC(=O)C1(O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O1
ZINC28295721	CCC([NH2+]CC(O)Cn1cc(/C=N/NC(N)=O)c2ccccc21)C(=O)[O-]
ZINC32790152	[NH3+]CCCCC(NC(=O)CC([NH3+])C(=O)[O-])C(=O)[O-]
ZINC34410585	NC(=O)CCC([NH3+])C(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC36458231	[NH3+]C(CCC(=O)NC(Cc1c[nH+]c[nH]1)C(=O)[O-])C(=O)[O-]
ZINC35278652	CC(=O)NC1C(NC(N)=[NH2+])CC(C(=O)[O-])OC1C(O)C(O)CO
ZINC31160527	C=CC(C)(CCC(O)C(C)(C)O)OC1OC(CO)C(O)C(O)C1O
ZINC40471461	CC(C)C(NC(=O)C([NH3+])Cc1ccc(O)c(O)c1)C(=O)[O-]
ZINC40479108	CSCCC([NH3+])C(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC40479110	CC(C)(C)C([NH3+])C(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC40483106	CCCC(NC(=O)C([NH3+])Cc1ccc(O)c(O)c1)C(=O)[O-]
ZINC40486861	CC([NH3+])CC(=O)NC(Cc1ccc(O)c(O)c1)C(=O)[O-]
ZINC45091462	CCC(CC)(C(=O)NCCCS(N)(=O)=O)/C(N)=N/O
ZINC48087948	CCCNC(=S)NNC(=O)C(C)NC(N)=O
ZINC48852964	CC(C)CC(=O)NNC(=O)NC(C(N)=O)C(N)=O
ZINC49115097	CCCC(NC(N)=O)C(=O)Nc1cnn(CC(N)=O)c1
ZINC49128484	CCCC(NC(N)=O)C(=O)NNC(=O)NC1CC1
ZINC37246792	[NH3+]C(CCC(=O)NC(Cc1c[nH+]c[nH]1)C(=O)[O-])C(=O)[O-]
ZINC50026910	CC(NC(=O)C([NH3+])CCC(N)=O)C(=O)[O-]
ZINC50026926	NC(=O)CCC([NH3+])C(=O)NC(CO)C(=O)[O-]
ZINC40439566	NC(=O)CCC(NC(=O)C([NH3+])CS)C(=O)[O-]
ZINC50027575	CC(NC(=O)C([NH3+])CCC(N)=O)C(=O)[O-]
ZINC50027604	NC(=O)CCC([NH3+])C(=O)NC(CS)C(=O)[O-]
ZINC50027649	CC(O)C([NH3+])C(=O)NC(CC(N)=O)C(=O)[O-]
ZINC51355254	[NH3+]CCCNC(=O)NC(CO)C(=O)[O-]
ZINC52809406	COCCC([NH3+])C(=O)NC(CCC(N)=O)C(=O)[O-]
ZINC54342807	CC(C[NH3+])C(=O)NC(CC(N)=O)C(=O)[O-]
ZINC63007609	NNc1c(F)cc(C(=O)NCCCS(N)(=O)=O)cc1F
ZINC40448898	O=CNC(NC=O)NC(=O)C(NC=O)(NC=O)NC=O
ZINC12505993	Cc1oc2nc(CCl)nc(N)c2c1C
ZINC14400953	CC(C)(C)C(=O)Nc1ccnc(Cl)c1O
ZINC15241377	Cc1cc(C)cc(NNC=C(C#N)C#N)c1
ZINC01429267	Cc1nc(N(C)N)c(C#N)c(C)c1Cl
ZINC16125715	Nc1ccc(Br)c(F)c1[N+](=O)[O-]
ZINC19426594	C/C(=N\O)c1ccccc1NC(=O)C1CCC1
ZINC19471398	Cc1cc(C(=O)NO)c2ccccc2n1
ZINC20058388	Cc1ccc(-c2c(C)c(C)nc(N)c2C#N)o1
ZINC20214228	Cn1cccc1C(=O)Nc1ccc(O)cc1
ZINC20309149	CNC(=O)C(C)Nc1cccc(C#N)c1
ZINC21986333	CC(F)(F)c1cc(N)ccc1[N+](=O)[O-]
ZINC26516840	Nc1ccc2nc(-c3ccoc3)oc2c1
ZINC32500114	Nc1cc2c(cc1N1CCCCC1)OCO2
ZINC35237662	O=C(Nc1cn[nH]c1)c1ccc2c(c1)CCC2
ZINC36165931	Cc1ccccc1NC(=O)c1c(C)n[nH]c1C
ZINC36720000	Cc1cccc(N2CCN(C(N)=O)CC2)c1C
ZINC37316744	CC(=O)N1CCC(Nc2ccc(O)cc2)CC1
ZINC37605934	Nc1cc(-c2nc(C3CC3)no2)c(F)cc1F
ZINC39087058	CCOC(=O)C1C2C(C)CC(N)(C#N)C12
ZINC39101163	CCc1cc(C)ccc1NC(=O)/C=N/O
ZINC39102162	CCc1oc2cc(O)ccc2c1C(=O)NC
ZINC40217093	N#CC1(NC(=O)c2ccc(O)cc2)CCCC1
ZINC40418362	Cc1ccc(NC(=O)c2cccn2C)c(O)c1
ZINC40456225	Cc1csc(Sc2ncc(N)cn2)n1
ZINC40495087	CC(Cl)C(=O)NC(=O)NCC(C)(C)C
ZINC42410874	N#Cc1cc(N)ccc1Oc1ccc(F)cn1
ZINC43160032	CC1CC1CNC(=O)Nc1nccs1
ZINC43240060	Cc1csc(NC(=O)NCC2CC2C)n1
ZINC44374196	CC1(C)CC1NC(=O)c1ccc2[nH]cnc2c1
ZINC45027096	C=CCNC(=O)Nc1ccc(C#N)cc1
ZINC46072609	O=C(NCC1Cc2ccccc2O1)NC1CC1
ZINC48474063	CNC(=O)Nc1ccc(OC(F)F)cc1
ZINC48696673	CNC(=O)Nc1cc(F)c(OC)c(F)c1
ZINC49812261	Nc1nonc1-c1ccc2c(c1)CCC2
ZINC49814143	COc1ccc(-c2cc(N)no2)cc1F
ZINC00517379	CC(C)C1[NH+]=C(O)N(C)C(O)C1(C)C
ZINC00517379	CC(C)C1NC(=O)N(C)C(O)C1(C)C
ZINC50430137	Cc1ccc(C#N)cc1NC1COCC1O
ZINC50842353	COc1ccc(C)c2c(N)c(C#N)cnc12
ZINC52264576	CC(C)C(C(=O)[O-])C1(O)C[NH+]2CCC1CC2
ZINC53096647	N#Cc1ccc(NC2(CO)CCCCC2)nc1
ZINC54157557	CC(C#N)CNC(=O)Nc1ccc(F)cc1
ZINC54180152	CC(C#N)CNC1COc2cc(O)ccc21
ZINC54498260	Cc1cc(N)ccc1-c1nncn1C(C)C
ZINC54498323	Nc1cc(-c2nncn2C2CC2)ccc1F
ZINC36924427	CC1CCc2ccccc2N1S(N)(=O)=O
ZINC46438147	CCNC(=O)Nc1ccccc1N1CCCC1
ZINC62778706	COc1ccc(C)cc1C(O)c1ccn[nH]1
ZINC63103664	CON(C)c1nc2ccc(N)cc2s1
ZINC11535883	Cc1cc(N/C=N/O)c2ccccc2n1
ZINC21944742	O=C(NC1CC1)NC1COc2ccccc2C1
ZINC01245463	C/C(CCC1C(C)(O)CCC2C(C)(C)CCCC21C)=N/NC(N)=O
ZINC05272658	CCNC(=S)NNC(=O)c1cc(Br)ccc1O
ZINC05798853	C=CCNC(=O)c1c(N)sc(Nc2ccc(C)cc2)c1C#N
ZINC05740383	Cc1ccc(NC(=S)NNC(=O)c2ccccc2O)cc1
ZINC07042340	Cc1ccc(NC(C)C(=O)Nc2ccc(C(N)=O)cc2)c(C)c1
ZINC07042487	CC(Nc1cccc2ccccc12)C(=O)Nc1ccc(C(N)=O)cc1
ZINC07351610	Cc1ccc(NC(=S)NNC(=O)c2ccccc2O)cc1F
ZINC06574537	Cc1ccc(NC(=S)NNC(=O)c2ccccc2O)cc1C
ZINC08747345	CC(Nc1ccc2c(c1)CCC2)C(=O)Nc1ccc(C(N)=O)cc1
ZINC13640503	CCC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC02272019	CCCCOc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1
ZINC20027336	Cc1c(N)cccc1NC(=O)c1ccc2ccccc2c1O
ZINC20027782	Cc1ccc(NC(=O)c2ccc3ccccc3c2O)cc1N
ZINC20682461	CCC(=O)Nc1ccc2c(c1)C1C=CCC1C(c1ccc(O)cc1O)N2
ZINC13319978	CCC(c1ccc(O)c(O)c1)C(CC)c1ccc(O)c(O)c1
ZINC25261869	CCC(C)C(NC(N)=O)C(=O)Nc1ccc2c(c1)Cc1ccccc1-2
ZINC25378458	CCC(C)C(NC(N)=O)C(=O)Nc1ccc2ccccc2c1
ZINC26354226	Cc1ccc(/C=C/C(=O)Nc2ccc(NC(N)=O)cc2)cc1Cl
ZINC27402729	CC(C)C(NC(N)=O)C(=O)Nc1ccc(C(C)(C)C)cc1
ZINC28071127	Cc1ccc(NC(=O)CNc2ccc(Cl)c(C(N)=O)c2)cc1C
ZINC32217273	Cc1cccc(NC(C)C(=O)Nc2ccccc2C(N)=O)c1C
ZINC32899134	NC(=O)Nc1ccc(CNC(=O)c2cc3c(s2)CCCC3)cc1
ZINC33040139	CC(Nc1cccc(C(N)=O)c1)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC35340070	CNS(=O)(=O)c1ccc(Nc2cccc(Cl)c2F)c(N)c1
ZINC36737094	Cc1ccc(C(=O)Nc2cc3c(cc2N)OCO3)c(O)c1
ZINC37130811	CC(Nc1cccc(NS(N)(=O)=O)c1)c1ccc(Cl)s1
ZINC03225607	O=C(NCCCl)NNC(=O)c1cc2ccccc2cc1O
ZINC40370657	CCCC(NC(=O)c1cc2c(s1)CCCCC2)/C(N)=N/O
ZINC40370930	CCC(CC)(NC(=O)c1ccc(F)cc1Br)/C(N)=N/O
ZINC40371588	CCC(CC)C(=O)NC1(/C(N)=N/O)CCCCCCC1
ZINC42996177	Cc1ccccc1NC(=O)NNC(=O)NC1CCCCCC1
ZINC44784030	CCC(CC)(C(=O)NC1CCCCCCC1)/C(N)=N/O
ZINC44784302	CCC(CC)(C(=O)NC1CCCC(C)C1C)/C(N)=N/O
ZINC44785013	CC(C)CC(C)NC(=O)C1(/C(N)=N/O)CCCCCC1
ZINC44806960	Cc1ccc(NC(=O)C(C)Nc2ccc(Cl)c(C(N)=O)c2)c(F)c1
ZINC44862958	CC(C)C(C(=O)Nc1cc(Cl)c(Cl)cc1Cl)/C(N)=N/O
ZINC44863567	Cc1cccc(C(C)C)c1NC(=O)C(/C(N)=N/O)C(C)C
ZINC44875666	Cc1ccc(C(C)NC(=O)C(/C(N)=N/O)C(C)C)s1
ZINC44875669	Cc1ccc(C(C)NC(=O)C(/C(N)=N/O)C(C)C)s1
ZINC45764414	CC1(C)C2CCC1(C)C(NC(=O)Nc1ccccc1CC(N)=O)C2
ZINC47272750	NC(=O)c1cc(NCC(=O)Nc2cccc3ccccc23)ccc1F
ZINC49115602	CCCC(NC(N)=O)C(=O)Nc1cc(Br)ccc1C
ZINC49527040	CC(NS(=O)(=O)c1ccc(NN)cc1)c1ccc(Cl)cc1
ZINC51094787	COc1ccc(NC(=O)c2nc(NN)ccc2Cl)cc1C
ZINC25884483	NC(=O)Nc1ccc(NC(=O)C2COc3ccc(Cl)cc3C2)cc1
ZINC56336410	Cc1ccc(C(=O)NNC(=O)Nc2ccc(C)c(Cl)c2)c(O)c1
ZINC41212996	O=C(N/N=C/c1ccc(O)cc1O)c1ccc2[nH]c3c(c2c1)CCCC3
ZINC63879948	CCCC(NC(N)=O)C(=O)NC12CC3CC(CC(C3)C1)C2
ZINC65918816	Cc1ccc2cc(C(=O)NNC(=O)NC3CCCC3)[nH]c2c1
ZINC66061423	Cc1ccc2nc(NC(=O)c3ccc(NC(N)=O)cc3)sc2c1
ZINC01602995	C=CC(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC04026259	Cc1ccc(OC2OCC(O)C(O)C2O)cc1
ZINC12367942	CC(=O)Nc1ccc(/C=C(/C#N)C(N)=O)cc1
ZINC19724064	Cc1ccc(N2CC(C[NH3+])[N-]S2(=O)=O)cc1C
ZINC19865934	Cc1cc(C)n(-c2ccc(/C(N)=N/O)cc2)n1
ZINC21963337	N/C(=N\O)c1cc(Cl)c2c(c1)OCCO2
ZINC31024592	CC(=O)NNC(=O)NCc1ccc(F)cc1
ZINC12379575	CC(=O)Nc1cc(N)ccc1N1CCOCC1
ZINC36142204	COc1cccc2c1OCCC2([NH3+])C(=O)[O-]
ZINC36264383	CC1CCN(S(=O)(=O)[N-]C2CC2[NH3+])CC1
ZINC36949962	N#CCNC(=O)Cn1ccc2cc(N)ccc21
ZINC00370418	CCn1cc(Br)c(C(=O)NN)n1
ZINC00191616	NNC(=O)C1COc2cc3ccccc3cc2O1
ZINC40351609	CC(NC(=O)c1ccc2c(c1)OCO2)C(N)=S
ZINC40413058	CCNC(=O)c1cc(S(N)(=O)=O)ccc1C
ZINC40415176	C#CCNC(=O)c1cc(S(N)(=O)=O)ccc1C
ZINC42429886	[NH3+]C1CCN(C(=O)C2CCCCC2C(=O)[O-])CC1
ZINC42573061	CNC(=O)C(C)NC(=O)c1ccc2c(c1)CCN2
ZINC44676142	N/C(=N\O)c1ccc2ncc(Br)n2c1
ZINC44749639	CCNC(=O)c1ccc(S(N)(=O)=O)cc1C
ZINC44777174	Cn1ccc(NC(=O)C2(C(N)=S)CCCC2)n1
ZINC44872700	CCC(C(=O)N1CCCSCC1)/C(N)=N/O
ZINC45115028	Cc1nn(CC(=O)NC2CC2(C)C)c(C)c1N
ZINC45145192	Cc1ccc(C(=O)N(C)C(C)/C(N)=N/O)cc1
ZINC47318645	NC(=O)c1ccc(F)c(NC(=O)c2ccoc2)c1
ZINC48611507	CC(=O)Nc1cccc2c1CCCN2CC(N)=O
ZINC48947859	CC(NC(N)=O)C(=O)N(C)C1Cc2ccccc2C1
ZINC49519229	Cc1ccc(C(N)=O)cc1NC(=O)C1CCOC1
ZINC50016663	CNC(=O)CN(C)C(=O)c1cc(F)c(F)cc1N
ZINC51095927	CC1CN(C(=O)c2ccc(NN)cc2)CCO1
ZINC51128684	CC1COCCN1C(=O)c1ccc(NN)cc1
ZINC51144179	CC1CN(Cc2ccc(NN)nc2)C(C)CO1
ZINC51146497	NNc1snnc1CN1CCSCC1
ZINC51759443	CNC(=O)CCn1cc(Br)c(N)n1
ZINC52016170	CNc1ccc(C(=O)NC2CCCCC2O)cn1
ZINC52268256	Cc1nn(CC(=O)NC2CC2C)c(C)c1N
ZINC55172998	Cc1nc(N)sc1C(=O)NCC1CCOC1
ZINC58853073	NNC(=O)CCC(=O)N1CCC2CCCCC2C1
ZINC49976135	Cc1cc(C)cc(N(C)C(=O)C/C(N)=N/O)c1
ZINC49976164	Cc1ccc(N(C)C(=O)C/C(N)=N/O)c(C)c1
ZINC59834912	CC([NH3+])c1ccc(Oc2ccc([O-])nn2)cc1
ZINC61665502	Cn1nccc1C(=O)NC1(C(N)=S)CCCC1
ZINC61918733	CC1CN(c2ccc(/C(N)=N/O)cc2)CCCO1
ZINC62100057	Cc1sc(C(=O)N2CCNC(=O)CC2)cc1N
ZINC62115728	O=C([O-])C1CCC(NC(=O)C2CC[NH2+]C2)CC1
ZINC62192849	N#Cc1cc(N)ccc1NC(=O)C1CCCOC1
ZINC62870466	CC1(C(=O)[O-])CCCN(C(=O)C(C)([NH3+])C2CC2)C1
ZINC62915812	CC1(C(=O)[O-])CCN(C(=O)C(C)([NH3+])C2CC2)C1
ZINC63057320	CNc1ccc(C(=O)NC2CCCNC2=O)cc1C
ZINC63058614	Cc1cc(C(=O)N(C)C(C)/C(N)=N/O)ccc1F
ZINC05369414	CC1CC2=C(/C(=N/NC(N)=O)C1)C1(O)CC(C)CC(C)(C2)C1
ZINC13340267	Oc1cc(O)cc(/C=C/c2c(O)cccc2O)c1
ZINC14726789	CC1Cc2cc(O)c(O)cc2C(c2ccc(O)c(O)c2)C1C
ZINC19475589	Cc1ccc(C(=O)Nc2ccccc2C(N)=S)cc1O
ZINC02196861	CSc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1
ZINC04038984	Cc1cccc(C)c1-n1c(N)c(C#N)c(N)c(C#N)c1=S
ZINC20827316	Cc1ccc(O)c2c1C(C)CC2Nc1ccc(C(N)=O)cc1
ZINC25669231	Oc1cc(O)cc(Sc2cc(O)cc(O)c2)c1
ZINC34925105	CCC(Nc1ccc(Br)cc1)C(=O)NN
ZINC35324260	N#CC1=C(N)Oc2cc(N)ccc2C1c1c(F)cccc1F
ZINC36159201	CCCNC(=O)Nc1cccc(F)c1C(N)=S
ZINC37001068	Nc1cc(C(=O)NC2CCCC(O)C2)ccc1Cl
ZINC37013636	Cc1ccc(O)c(C(C)Nc2cc(C(N)=O)ccc2F)c1
ZINC37046200	NC(=O)c1cc(NC2CCc3c(O)cccc32)ccc1Cl
ZINC37178030	Cc1ccc(C(=O)NC(C)c2ccccc2N)cc1O
ZINC37198452	CC(Nc1cc(F)ccc1F)c1ccc(NC(N)=O)cc1
ZINC37247303	CC(Nc1c(F)cccc1F)c1ccc(NC(N)=O)cc1
ZINC03525115	NC(=O)N/N=C/c1cc(Br)ccc1O
ZINC40358194	CCC(C)(NC(=O)c1ccc(O)c(Cl)c1)C(N)=S
ZINC40358653	CCC(C)(NC(=O)c1ccc(C)c(O)c1)C(N)=S
ZINC40769226	CC(C)[NH+]1CC2CCCC(C1)C2[NH2+]C1CCCCNC1=O
ZINC41015718	CC(C)[NH+]1CC2CCCC(C1)C2[NH2+]Cc1cc[nH]n1
ZINC43474052	N#Cc1ccc(NC(=O)Nc2ccc(N)cc2F)cc1
ZINC44863965	CC(C(=O)NC1CCCC(C)C1C)/C(N)=N/O
ZINC44963271	CC12CCC3c4ccc(O)cc4CCC3C1C(O)C(O)C2O
ZINC44963277	CC12CCC3c4ccc(O)cc4CCC3C1C(O)C(O)C2O
ZINC45891345	Nc1cc(Cl)c(N)c(Br)c1N1CCOCC1
ZINC48874757	CN(Cc1ccccc1F)c1ccc(N)c(C(N)=O)c1
ZINC50390721	CC(CC(N)=S)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC51094615	Cc1c(F)cccc1NC(=O)c1cccnc1NN
ZINC51096647	N#Cc1ccc(NC(=O)c2ccccc2NN)cc1
ZINC51121590	Cc1ccc(NC(=O)c2cccc(NN)n2)cc1
ZINC51123807	CCC1CCCCC1NC(=O)c1ccc(NN)cc1
ZINC51123816	CCC1CCCCC1NC(=O)c1ccccc1NN
ZINC51988595	Nc1cc(C(=O)NC2CCCCC2O)ccc1Cl
ZINC51988721	Cc1ccc(C(=O)NC2CCCCC2O)cc1N
ZINC54215796	CC(C)c1ccccc1NC(=O)c1cccc(F)c1NN
ZINC54216524	CC1CCCCC1NC(=O)c1cccc(F)c1NN
ZINC30005218	Cc1sc(N=C(N)N)nc1-c1ccc2c(c1)CCC2
ZINC59367719	NC(=S)N/N=C/c1c[nH]c2ccc(Br)cc12
ZINC61374304	Cc1ccc(NN)c(C(=O)NC2CCCc3sccc32)c1
ZINC61564488	CC(C)([NH3+])C(=O)Nc1cc(F)c(F)cc1C(=O)[O-]
ZINC61885396	Cc1ccc(O)c(C(=O)NC2CCCC2C(N)=S)c1
ZINC62715122	NC(=S)NNC(=O)/C=C/c1ccc(Cl)cc1Cl
ZINC62787856	NC(=O)C1CCCN(c2cc(Cl)ccc2C(N)=S)C1
ZINC62788336	NC(=O)C1CCCCN1c1cc(Cl)ccc1C(N)=S
ZINC63007538	Cc1ccc(CNC(=O)c2cc(F)c(NN)c(F)c2)s1
ZINC63007687	NNc1c(F)cc(C(=O)Nc2ccccc2F)cc1F
ZINC63058775	CSc1ccc(NC(=O)c2ccc(NN)c(C)c2)cc1
ZINC63059110	Cc1cc(C(=O)NC2CCCC(C)C2C)ccc1NN
ZINC01683197	Oc1ccccc1NC(=S)Nc1ccccc1O
ZINC00333696	Cc1cc(C(F)(F)F)c2c(N)c(C(N)=O)sc2n1
ZINC00403219	Cc1cc2c(cc1N)S(=O)(=O)c1cc(N)c(C)cc1-2
ZINC04054644	CC(C)(C)N(N)C(=O)c1ccccc1N
ZINC20209050	Cc1cc(N)ccc1NC(=O)NC(C)C
ZINC20256231	CC(C)(C)NC(=O)Nc1cc(N)ccc1F
ZINC20256289	CCCNC(=O)Nc1ccc(F)c(N)c1
ZINC33487024	Cc1ccc(NC2CS(=O)(=O)CC2O)c(N)c1
ZINC35330408	NC(=O)c1ccc(N2CCc3sccc3C2)c(N)c1
ZINC36158478	N#Cc1c(F)cccc1NC(=O)Nc1ccc(N)cc1
ZINC36744191	N#Cc1cc(N)ccc1NC(=O)Nc1ccc(F)cc1
ZINC36780238	CCNC(=O)CNc1ccc(N)cc1F
ZINC37671153	N#Cc1ccc(NCC(O)c2ccc(N)cc2)c(F)c1
