ZINC02741019	CCOc1cc(C[NH2+]CCO)cc(I)c1OCc1ccccc1
ZINC15225992	O=C1NC(c2cccc(F)c2)C(C(=O)c2ccc3ccccc3c2)C(O)(C(F)(F)F)N1
ZINC15225996	O=C1NC(c2cccc(F)c2)C(C(=O)c2ccc3ccccc3c2)C(O)(C(F)(F)F)N1
ZINC16667476	Cc1ccccc1NCC(=O)N/N=C\c1cc(Br)cc(I)c1O
ZINC16732039	CSc1ccc(C2NC(=O)NC(O)(C(F)(F)F)C2C(=O)c2ccc(Cl)cc2)cc1
ZINC17096657	Cc1ccc(O)c(NC(=S)Nc2sc3c(c2C(=O)N2CCCCC2)CCCC3)c1
ZINC18196474	O=C1CC(c2cccs2)CC2=C1C(c1ccccc1C(F)(F)F)c1c(O)n[nH]c1N2
ZINC20018561	NS(=O)(=O)c1ccc(CCNCc2ccc(-c3cc(Cl)cc(Cl)c3)o2)cc1
ZINC20466849	CC(C)NC(=O)C(C)C1CCC2(C)CCC(NC(=O)Cc3ccccc3)C(C)C2C1O
ZINC20504661	CCNC(=O)NC(=O)C(C)Nc1c(Br)cc(Br)cc1Br
ZINC20751831	CC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1c(O)ccc3ccccc13)N2
ZINC21221711	CCOc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2cccs2)C3)ccc1O
ZINC21230295	CN(C)c1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(O)cc2)cc1
ZINC23590681	CC(Sc1nc(N)c2c3c(sc2n1)CCCC3)C(=O)Nc1ccc(F)c(F)c1F
ZINC25581471	Cc1ccc(C(NC(=O)CSc2nc(C)c(C)c(C)c2C(N)=O)c2cccs2)cc1
ZINC27754424	O=C1NC(c2ccc(Cl)cc2Cl)C(C(=O)C(F)(F)F)C(O)(c2ccc(F)cc2)N1
ZINC27754440	O=C1NC(c2ccc(Cl)cc2Cl)C(C(=O)C(F)(F)F)C(O)(c2ccc(F)cc2)N1
ZINC32528260	CCC(Sc1ccc2ccccc2n1)C(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC32841114	Cc1ccc(C(NC(=O)CSc2nc(N)c3ccsc3n2)c2cccs2)cc1
ZINC32913983	CC1CCc2[nH]c3c(C(=O)NNC(=O)c4ccccc4Br)cccc3c2C1
ZINC01471708	Nc1c(C(=O)Nc2ccc(Cl)cc2Cl)sc2nc3c(cc12)CN(Cc1ccccc1)CC3
ZINC28465430	CCOC(=O)C1=C(C)NC(=S)NC1c1cc(Br)c(O)c(Br)c1
ZINC39237525	CC1=NNC2OC(N)=C(C#N)C(c3cc(CSc4ccc(Cl)cc4)c(C)s3)C12
ZINC39495537	O=CCC(NC=O)c1ccc(I)c(-c2ccccc2O)c1-c1ccccc1O
ZINC39495702	O=CCC(NC=O)c1ccc(-c2ccccc2O)c(I)c1-c1ccccc1O
ZINC39534165	CCOC1CN(C(CNI)c2ccc(-c3ccccc3O)cc2)CCN1
ZINC39583715	Clc1cccc(C2NNC(SCc3nc4ccccc4[nH]3)N2c2ccccc2)c1
ZINC40701725	Nc1c(Nc2ccccc2C(F)(F)F)ncnc1N1CCC(Cc2ccccc2)CC1
ZINC45890473	Cc1cc2nc(N)sc2c(C)c1NC(=O)C(C)(C)Oc1ccc(Br)cc1
ZINC02748682	Cc1cc(I)ccc1NC(C)C(=O)N/N=C/c1ccccc1O
ZINC04785257	COc1cc(Cl)cc(C2N=C(O)c3c(sc4c3CCC(C(C)(C)C)C4)N2)c1O
ZINC00673805	O=C(Nc1cccc(O)c1)c1nn2c(c1Cl)NC(c1cccs1)CC2C(F)(F)F
ZINC00673801	O=C(Nc1cccc(O)c1)c1nn2c(c1Cl)NC(c1cccs1)CC2C(F)(F)F
ZINC59842455	Nc1nnc(SC(C(=O)Nc2ccc(Br)cc2)c2ccccc2)s1
ZINC59875506	O=C(CCCCC1SCC2NC(=O)NC21)NCC1CC2c3ccccc3C1c1ccccc12
ZINC15947489	CCOc1cc(C2N=C(O)c3c(sc4c3CCC(C)C4)N2)cc(I)c1O
ZINC64190869	O=C(/C=C1/CSC(c2ccsc2)N1)NC(c1ccccc1)c1ccc2nc[nH]c2c1
ZINC01290734	Cc1noc(C)c1CSc1nc(O)c2c3c(sc2n1)CCCC3
ZINC04089944	Cc1oc2c(c(C)cc3oc(=O)c(CC(=O)NC(C)C)c(C)c32)c1C
ZINC04140451	COc1ccc(C2Nc3ccccc3C3C=CCC32)cc1[N+](=O)[O-]
ZINC04513649	Cc1ccc(C2NC(=O)N(C)C3=C2C(=O)N(C(C)C(C)C)C3)c(C)c1
ZINC00784500	Cc1cccnc1Nc1nc(-c2cc3ccccc3oc2=O)cs1
ZINC00541836	CCOc1ccc2[nH]c3c(N4CCCC(C)(C)C4)ncnc3c2c1
ZINC04966081	Cc1cc(C)nc(N2CCC(C(=O)NC3CCCCC3C)CC2)n1
ZINC05183588	CCc1cc(=O)[nH]c(N2CCN(c3cccc(Cl)c3)CC2)n1
ZINC05673860	CCOc1ccccc1C1c2cc3c(cc2OC(C)(O)C1C)OCO3
ZINC06516648	CC1CC(C)CN(C(=O)CSc2nc3ccccc3c(=O)[nH]2)C1
ZINC06954619	COc1cccc(C2Nc3c(cccc3[N+](=O)[O-])C3C=CCC32)c1
ZINC09520673	O=c1[nH]c2nnc(SCc3cccc(Cl)c3)n2c2c1CCCC2
ZINC10650961	CCn1c(NC(=O)c2oc3ccccc3c2C)nc2ccccc21
ZINC12111595	C=CCN1C(=O)c2oc3ccc(C)cc3c(=O)c2C1c1cccc(O)c1
ZINC09445590	O=c1[nH]c(=S)ccn1-c1nc(-c2ccccc2)oc1-c1ccccc1
ZINC04386326	COc1ccc(OC)c2c1nc1n2C(O)C=C(C(C)(C)C)S1
ZINC13635170	COc1ccc(C2Nc3c(cccc3[N+](=O)[O-])C3C=CCC32)cc1
ZINC14550165	COc1cccc(C2Nc3c(C)ccc([N+](=O)[O-])c3C3C=CCC32)c1
ZINC16852578	COc1ccc(Cc2c(O)nc3sc4ccccc4n3c2=O)cc1
ZINC19983320	Cc1ccc(C)c(NC(=O)CN2C(=O)C(C)Oc3ccc(C)cc32)c1
ZINC08554971	CC(=O)COc1cc(O)c2c(=O)c3c(ccc4ccccc43)oc2c1
ZINC20755156	COc1cccc(C2Nc3c(ccc([N+](=O)[O-])c3C)C3C=CCC32)c1
ZINC20986181	CC(C)N1C(=O)/C(=N\Nc2ccc3ccccc3n2)c2ccccc21
ZINC34699800	Cc1ccc2nc(NC3CC3)n3c(C4CCCCC4)nnc3c2c1
ZINC35472131	CC(C)c1ccc(C2NC(=O)N(C)C3=C2C(=O)N(C2CC2)C3)cc1
ZINC35592203	CN(C)c1ccc(C2c3cccn3CCN2C(=O)NC(C)(C)C)cc1
ZINC16022541	O=C(CN1C(=O)C2CCCCC2C1=O)NC12CC3CC(CC(C3)C1)C2
ZINC13131269	COc1cccc(C2CC(c3cccc(C)c3)n3ncnc3N2)c1
ZINC38550926	C=CCNC(=O)N1CCN(c2nc3cc(C)cc(C)c3s2)CC1
ZINC36685952	Cc1sc(NC(=O)/C=C\c2ccc3c(c2)OCO3)c(C#N)c1C
ZINC32608321	CCc1cc2c(-c3ccccc3)cc(=O)oc2c(C2=NN=CC2)c1O
ZINC39441531	CC(Sc1ccc(F)c(F)c1)C(=O)/[NH+]=C1\C=CC2=NC([O-])=NC2=C1
ZINC40010035	O=C1NC2(CCCCC2)C(=O)N1Cc1csc(-c2cccs2)n1
ZINC40169279	O=C(NC1CS(=O)(=O)CC1Cl)Oc1ccc2ccccc2c1
ZINC40169281	O=C(NC1CS(=O)(=O)CC1Cl)Oc1ccc2ccccc2c1
ZINC40422191	O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1F
ZINC40460760	O=C(Nc1nc(CN2CCOCC2)cs1)c1ccc(Cl)s1
ZINC41637765	[O-]c1c(C(c2ccccc2)[NH+]2CCCCCC2)sc2ncnn12
ZINC00532478	COc1ccccc1C1CC(c2ccccc2Cl)Nc2ncnn21
ZINC54752216	CCc1c(C)sc2nc(Cc3nc4ccccc4o3)[nH]c(=O)c12
ZINC57758786	Cc1nc2cc(NC(C)C(=O)N3c4ccccc4CC3C)ccc2o1
ZINC43077338	O=C(NCC1COc2ccccc2O1)N1CCC1c1ccccc1
ZINC59168480	CC(C)(C)c1ccc(-c2nnc3n2NC(c2cccnc2)S3)cc1
ZINC59417788	Cc1ccc(/C=N/NC(=O)c2cc3cc(Br)ccc3o2)o1
ZINC59680665	CC(=O)C1=NN(c2ccc(C)cc2)C(c2ccc(C)cc2)NN1C
ZINC63528862	N#Cc1cnn2c1N=C(c1ccccc1F)C2NC1CCCCC1
ZINC64562425	CN(Cc1ccc(C#N)cc1)C(=O)Nc1ccc2c(c1)CCCN2C
ZINC64613200	Cc1cccc(C2=NOC(C3C=C(c4ccc(Cl)cc4)N=N3)N2)c1
ZINC65486646	Cc1nn(C)c(C)c1C(C)NC(=O)N1CCCC1C1CCCC1
ZINC67561162	CC1CN(C(=O)Nc2ccc(CC#N)cc2)CC(c2ccccc2)O1
ZINC05663856	Cc1ccc(S(=O)(=O)OCCOc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1
ZINC00667035	CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(C)[nH]c3C)c(=O)n2C1c1ccccc1OC
ZINC08961515	CCOc1c(C)cc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C)c2cc(C)ccc2O3)cc1C
ZINC09291513	Clc1nc2cc3c(cc2cc1/C=N/Nc1ncnc2scc(-c4ccccc4)c12)OCO3
ZINC09345105	Cc1ccc(NC(=O)/C(C#N)=C/c2c(Oc3ccc(C)cc3C)nc3ccccn3c2=O)cc1
ZINC09829965	CCc1ccc(S(=O)(=O)c2nnn3c2nc(NC2CCC(C)CC2)c2ccccc23)cc1
ZINC09971132	Cc1ccc(Nc2nc3c(S(=O)(=O)c4ccccc4)nnn3c3ccsc23)cc1C
ZINC10014403	CCn1c2ccccc2c2cc(NC(=O)C(C)Sc3nnc(-c4ccco4)n3C)ccc21
ZINC12401845	CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C3CC(C(C)[N+](=O)[O-])C2/C(C)=N/O)C1
ZINC12470170	Cc1ccc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCCC3)N3c4ccccc4CC3C)cc12
ZINC12800069	Cc1ccc(C(C)C)c(OCC(=O)N(C)CC(=O)N2c3ccccc3NC(=O)CC2C)c1
ZINC12904902	CC1CC(=O)Nc2ccccc2N1C(=O)CN(C)C(=O)COc1ccc(C(C)(C)C)cc1
ZINC16619220	CC(C)(C)c1ccc(C2(C)NC(=O)N(Cc3nc(-c4cccc(Cl)c4)no3)C2=O)cc1
ZINC19864164	Cc1ccc(OCC(=O)N/N=C/c2cc3cc(C)ccc3nc2Cl)c(-c2ccno2)c1
ZINC20355925	Cc1ccc(S(=O)(=O)c2nnn3c2nc(NCc2ccc(Cl)cc2)c2ccccc23)cc1
ZINC20580681	COc1cc(Cl)c(NS(=O)(=O)c2cc(-c3onc(C)c3C)ccc2C)c(OC)c1
ZINC01438595	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(c3cccs3)C2)C1c1ccc(C)c([N+](=O)[O-])c1
ZINC21122945	O=C(CSc1nc2c(n1-c1ccccc1)CCCC2)Nc1ccc([N+](=O)[O-])cc1Cl
ZINC21466130	O=C(CSc1nnc2sc3ccccc3n12)Nc1cccc2c1C(=O)c1ccccc1C2=O
ZINC21811834	CCOc1ccc(N2C(=O)c3cc4oc(C)cc4n3CC2(C)C(=O)NC2CCCCCC2)cc1
ZINC24777488	CCn1c(SCC(=O)Nc2cc3c(cc2Cl)OCO3)nnc1-c1ccc(Cl)cc1
ZINC28055006	CCOc1ccc(C2Oc3ccc(C)cc3C3=C2C(c2ccc(F)cc2)n2nnnc2N3)cc1
ZINC24758366	COC(=O)c1ccc2c(=O)[nH]c(CSc3nc4ccccc4n3C3CCCCC3)nc2c1
ZINC33088201	COc1ccc2nc(-n3ncc4c3NC(=O)CC4c3ccc(OCC(C)C)cc3)sc2c1
ZINC33271582	CCCOc1ccc(C2CC(=O)Nc3c2c(C)nn3-c2nc3ccc(OC)cc3s2)cc1
ZINC33590285	Cc1ccc(Oc2nc3c(C)cccn3c(=O)c2/C=C(\C#N)c2nc3ccccc3[nH]2)c(C)c1
ZINC34786440	Cc1cc(C)n(-c2nc(N(NC3CCCCC3)N(C)C)c3c4c(sc3n2)CCCC4)n1
ZINC35315352	N#C/C(=C/C1=C([NH+]2CCOCC2)/C(=C/c2cccc([N+](=O)[O-])c2)CC1)c1nc2ccccc2s1
ZINC33960541	Cc1cccc(NC(=O)C23CCC(C)(/C(=N/OC(=O)c4cc5ccccc5oc4=O)C2)C3(C)C)c1
ZINC35894887	Cc1ccc(N2CCN3c4ccc([N+](=O)[O-])cc4CC(C(=O)Nc4ccc(F)cc4)C3C2)cc1
ZINC07059984	COc1ccc(C2Oc3ccc(Cl)cc3C3=C2C(c2ccc(OC)cc2)N2NC=NC2=N3)cc1
ZINC09345959	COc1ccc(C2C3=C(N=C4NC=NN42)c2cc(Cl)ccc2OC3c2ccccc2OC)cc1
ZINC22110702	CC(OC(=O)c1ccc2c(c1Cl)C(=O)c1ccccc1C2=O)C(=O)NC(C)(C#N)C(C)C
ZINC39592886	Clc1ccc(OCC2=NN3C(=NNC3C3C=C(c4ccc(Cl)cc4)N=N3)S2)cc1
ZINC39877732	CCOc1cc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2c2ccc(OC)cc2)ccc1O
ZINC39971988	CC(C)(C)c1ccc(S(=O)(=O)N2CCN(CC(=O)/N=c3/[nH]c4ccccc4s3)CC2)cc1
ZINC40337727	CCOc1cccc(C2c3c(-c4ccccc4)n[nH]c3C(=O)N2Cc2ccc3c(c2)OCO3)c1
ZINC40612285	CC1CCCN(c2ncnc(Nc3ccc(I)cc3)c2[N+](=O)[O-])C1
ZINC40649336	O=[N+]([O-])c1c(Nc2ccc(I)cc2)ncnc1OC1CCCCC1
ZINC40849281	Cc1ccc(-c2nnc3c(NCC(=O)N4c5ccccc5CC4C)nc4ccccc4n23)cc1
ZINC40890659	CCOc1ccc(Br)cc1/C=C/C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1
ZINC47139224	CN(C)c1ccc(/C=N\N=C2\S/C(=C\c3ccccc3O)C(=O)N2Cc2ccco2)cc1
ZINC21320528	CN(C)c1ccc(C(=O)OCC(=O)N2c3ccccc3NC(=O)CC2C(F)(F)F)cc1
ZINC36814229	CCCn1c2ccccc2c2nnc(SC(C)C(=O)Nc3ccc(C#N)c(Cl)c3)nc21
ZINC59147247	Cc1ccc(S(=O)(=O)Oc2ccccc2/C=N/NC(=O)c2nc3ccccc3s2)cc1
ZINC59435309	O=C(N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1cccc(I)c1
ZINC33670962	COc1c(Cl)cc(Cl)cc1/C=N/NC(=O)COc1ccc2c(C)cc(=O)oc2c1
ZINC13733501	COc1cc2c(c3oc(=O)c(CC(=O)/N=c4/[nH]c5ccccc5s4)c(C)c13)CCC(C)(C)O2
ZINC13733501	COc1cc2c(c3oc(=O)c(CC(=O)Nc4nc5ccccc5s4)c(C)c13)CCC(C)(C)O2
ZINC45971542	Cc1cc(C)cc(NC(=O)CSc2nnc3c4cc(-c5ccc(C)c(C)c5)nn4ccn23)c1
ZINC45971600	Cc1ccc(NC(=O)CSc2nnc3c4cc(-c5cc(C)ccc5C)nn4ccn23)c(C)c1
ZINC05313056	CC(Sc1nnc(-c2ccco2)n1C1CCCCC1)c1nc2ccccc2c(=O)[nH]1
ZINC08959964	CC(C)CCN1C(=O)C(C)(C)COc2ccc(NC(=O)c3cc4ccccc4oc3=O)cc21
ZINC09094788	Cc1ccc(/C=N\NC(=O)c2nn(-c3ccc(C)c(Cl)c3)c(=O)c(C#N)c2C)cc1
ZINC03447782	O=C1CN(C(=O)c2ccc(Sc3ccc(Cl)cc3)c([N+](=O)[O-])c2)c2ccccc2N1
ZINC09539720	CCOc1ccc(N2C(=O)CC3C(=O)Nc4ccccc4N3C2c2ccc(OC)cc2)cc1
ZINC03655250	Cc1ccc(-c2nc(NC(=O)CSc3nnc4ccc5ccccc5n34)ns2)cc1
ZINC12371476	COc1ccc2[nH]c3c(c2c1)CCN(C(=O)c1cccs1)C3c1ccc([N+](=O)[O-])cc1
ZINC13003132	O=C1CC(C(F)(F)F)N(C(=O)CSc2nnc(-c3ccccc3)o2)c2ccccc2N1
ZINC13127659	CC1CCc2sc(-c3nnc(SC(C)C(=O)Nc4ccc5c(c4)OCO5)o3)cc2C1
ZINC13127662	CC1CCc2sc(-c3nnc(SC(C)C(=O)Nc4ccc5c(c4)OCO5)o3)cc2C1
ZINC02422724	Cc1ccc(NC(=O)/C(C#N)=C/c2c(Oc3ccccc3C)nc3ccccn3c2=O)cc1
ZINC02731399	Cc1nn(C)c(-c2nnc(Nc3ccn(Cc4ccccc4Cl)n3)s2)c1Cl
ZINC15016669	COc1c(O)ccc(C(c2cn(C)c3ccccc23)c2cn(C)c3ccccc23)c1[N+](=O)[O-]
ZINC03029953	CC(C)(C)C(=O)NC(n1cnc2c(N3CCCCC3)ncnc21)C(Cl)(Cl)Cl
ZINC17163301	CC(C)CC(=O)N1c2ccccc2NC2=C(C(=O)CC(C)(C)C2)C1c1cccc([N+](=O)[O-])c1
ZINC01106921	CCCN1C(=O)/C(=C/c2cn(Cc3ccc([N+](=O)[O-])cc3)c3ccccc23)[NH+]=C1[S-]
ZINC20067439	CC1CCCCC12NC(=O)N(CC(=O)OCc1nc3ccccc3c3ccccc13)C2=O
ZINC20071081	COc1ccc(C2Oc3c(OC)cccc3C3CC(c4cc(C)ccc4O)=NN32)cc1OC
ZINC00993554	COc1ccc(C(=O)N2CCc3c([nH]c4ccccc34)C2c2ccc([N+](=O)[O-])cc2)cc1
ZINC21233126	CCCOc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc([N+](=O)[O-])cc2)cc1
ZINC21247338	CCOc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(C)c([N+](=O)[O-])c2)cc1
ZINC21247356	CCOc1ccc(C2CC(=O)C3=C(C2)NC(=O)CC3c2ccc(C)c([N+](=O)[O-])c2)cc1
ZINC21254671	Cc1ccc(C2CC(=O)NC3=C2C(=O)CC(c2ccc(OC(C)C)cc2)C3)cc1[N+](=O)[O-]
ZINC21336372	O=C(Nc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1)c1cc2c(F)cccc2s1
ZINC21526487	CCOc1ccc(N2C(=O)c3cc4occc4n3CC2(C)C(=O)NC2CCCCCC2)cc1
ZINC07247535	Cc1cccc2c(=O)[nH]c(CSc3nnc(-c4ccco4)n3C3CCCCC3)nc12
ZINC35126567	CC/C(C)=N/Nc1nc2sc3c(c2c(=O)n1-c1ccc(OC)cc1)CC(C)(C)OC3
ZINC35518659	N#C/C(=C\c1cccn1-c1ccc([N+](=O)[O-])cc1)C(=O)Nc1cc(Cl)cc(Cl)c1
ZINC35543749	CCC(C)NC(=O)C1Cc2cc([N+](=O)[O-])ccc2N2CCN(c3ccccc3Cl)CC12
ZINC35621689	CCc1nn(C(C)(C)C)c(O)c1C1=C(N2CCCCC2)C(=O)N(C2CCCCC2)C1=O
ZINC21737348	Cc1ccc(-c2c(C)sc3nc(CSc4nnnn4C4CCCCC4)[nH]c(=O)c23)cc1
ZINC36370416	COc1cccc(C(c2sc3nc(-c4ccco4)nn3c2[O-])[NH+]2CCCC(C)C2)c1
ZINC09397266	O=C1CC(c2ccco2)Cc2nc(Nc3nc(-c4ccccc4)c4ccccc4n3)ncc21
ZINC02395445	COc1ccc(C2Oc3ccc(C)cc3C3=C2C(c2ccccc2)N2NC=NC2=N3)c(OC)c1
ZINC02245907	COc1ccc(C2Oc3ccccc3C3=C2C(c2ccccc2F)N2N=CNC2=N3)cc1OC
ZINC36645995	COc1cc(/C=C(\C#N)c2nc(-c3ccc4ccccc4c3)cs2)cc([N+](=O)[O-])c1O
ZINC38708100	CC(C)CN1C(=O)C(C)(C)COc2ccc(NC(=O)c3cc(=O)c4ccccc4o3)cc21
ZINC39452455	CCOc1cccc2nc3c4c(n(OC)c(=O)c3cc12)C(=O)CC(Cc1ccccc1)N4
ZINC39588702	CC(=O)N(c1nc(COC(=O)c2n[nH]c3ccccc23)cs1)c1ccc(C)cc1C
ZINC21541784	Cc1cccc(C)c1-n1nnnc1SCc1nc2scc(-c3ccccc3)c2c(=O)[nH]1
ZINC40339986	Cc1ccc(-c2n[nH]c3c2C(c2ccc([N+](=O)[O-])cc2)N(Cc2ccccc2)C3=O)cc1
ZINC40923614	CC(C)(C)c1ccc(COc2ccccc2C2C3=C(CCCC3=O)Nc3nnnn32)cc1
ZINC38512986	COc1ccc(C2=Nn3c(COc4ccc5c(c4)CCCC5)nnc3SC2)c(O)c1
ZINC45773020	Cc1ccc(-c2noc(CN3C(=O)NC(C)(c4ccc(C(C)C)cc4)C3=O)n2)cc1F
ZINC49937924	COc1cccc2cc(-c3ccc(OCC(=O)/N=c4/[nH]c(C)cs4)cc3)c(=O)oc12
ZINC57524019	Cc1ccc(S(=O)(=O)c2nnn3c2nc(NC2CCC(C)CC2)c2ccccc23)cc1
ZINC57964067	Cc1c(Sc2nnc(-c3ccc4c(c3)OCO4)n2-c2ccccc2)c(=O)[nH]c2ccccc12
ZINC60110272	CC(C)(C)n1/c(=N/C(=O)c2cccc(S(=O)(=O)N3CCCCC3)c2)[nH]c2ccccc21
ZINC60351279	Cn1ccnc1Sc1ccc(Cl)cc1NC(=O)c1cc(Cl)ccc1[N+](=O)[O-]
ZINC39979529	COc1ccc2[nH]/c(=N\C(=O)CSC3N=NC4Sc5ccccc5N34)sc2c1
ZINC04125104	CC(C)OC(=O)C1C(=O)NC23CCCCC2C1c1ccccc1O3
ZINC00473447	O=C(/C=C/c1ccc2c(c1)OCO2)Nc1nc2c(s1)CCCC2
ZINC04814443	O=C(Nc1nc2c(s1)CCCC2)C1CC(=O)N(C2CCCCC2)C1
ZINC04941198	O=C(NCC1COC2(CCCCC2)O1)c1ccc(Br)o1
ZINC05103539	CCCC(=O)N1c2ccccc2NC2=C(C(=O)CCC2)C1c1ccco1
ZINC05174319	CC1(C)CC(=O)C=C(Nc2ccc([N+](=O)[O-])cc2Br)C1
ZINC04029347	CCCCN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2(C)C)C1=O
ZINC04577635	Cc1ccc(S(=O)(=O)OC2CC(C)(C)N(O)C(C)(C)C2)cc1
ZINC06878184	CC(=O)N1c2ccc(S(=O)(=O)NC3CCCCCC3)cc2CC1C
ZINC07726046	O=C1NC2(CCCCC2)C(=O)N1Cc1csc(-c2ccsc2)n1
ZINC07883912	COc1ccc(N2C(=O)c3ccccc3NC2c2ccccn2)cc1
ZINC09835598	O=C(Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1)c1cnccn1
ZINC14152218	Cc1ccc(/C=C(\C#N)C(=O)Nc2sc3c(c2C#N)CCCC3)o1
ZINC18063431	O=c1[nH]c(/C(Cl)=C/c2cnn(-c3ccccc3)c2)nc2ccccc12
ZINC00194911	CO/C([O-])=C1/C(C)=NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(C)o1
ZINC00194911	COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(C)o1
ZINC20678332	COc1ccc(C2Nc3c(C)ccc([N+](=O)[O-])c3C3C=CCC32)cc1
ZINC20765882	CNS(=O)(=O)c1ccc2c(c1)CCCN2C(=O)c1ccc(C)cc1
ZINC25974956	Cc1c(C(=O)NC(C)C(C)C)sc2nc3n(c(=O)c12)CCCCC3
ZINC31836697	Cc1ccc2c(c1)OC(=O)CN2CC(=O)Nc1ccc(F)c(F)c1
ZINC31845087	CC1CCCCC1NC(=O)CN1CC(=O)Oc2ccc(Cl)cc21
ZINC31978797	COc1ccc(OC)c(-c2nc3sc4c(n3c2C)CCNC4)c1
ZINC33696545	CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=C\N(C)c1ccc(O)cc1
ZINC01296507	S=c1[nH]nc(-c2ccco2)n1/N=C/c1cccc(Cl)c1Cl
ZINC39315402	CC1=C(C(c2ccc(Br)cc2)C(C#N)C#N)C(O)N=N1
ZINC39565307	O=S(=O)(NC1=CC=C2N=NC(Cl)=C2C1)c1ccc(Cl)cc1
ZINC39570142	CC1(c2ccc(C#N)cc2)NC(=O)N(Cc2ccc(Cl)s2)C1=O
ZINC35474852	CC(C)C(C)N1CC2=C(C1=O)C(c1ccccc1F)NC(=O)N2C
ZINC43324166	Cc1ccc(NC(=O)N(C)Cc2ccc3c(c2)OCCO3)c(F)c1
ZINC47006469	CCC1c2ccsc2CCN1C(=O)NC(C)c1cnn(C)c1C
ZINC00222197	COc1ccc(C2CC(c3ccc(Cl)cc3)Nc3ncnn32)cc1
ZINC52781850	CC(=O)N1CCCc2cc(S(=O)(=O)NC3CCCCC3C)ccc21
ZINC57580809	O=C(NC12CC3CC(CC(C3)C1)C2)N1CCN(CC2CCCO2)CC1
ZINC47244233	O=C(Nc1ccc(-n2cncn2)c(F)c1)C12CC3CC(CC(C3)C1)C2
ZINC59681018	CC(=O)C1=NN(c2ccc(C)cc2)C(c2ccc(Cl)cc2)NN1C
ZINC12372479	Cc1c(Cl)cccc1-c1ccc(/C=N/N=C2\NC(=O)CS2)o1
ZINC36360679	COc1ccccc1C1CC(O)=Nc2nc(N3CCCCC3)sc21
ZINC36360679	COc1ccccc1C1CC(=O)Nc2nc(N3CCCCC3)sc21
ZINC63258542	Cc1sc2nc(CCC(=O)N3CCCCCCC3)[nH]c(=O)c2c1C
ZINC63647475	C1=C(c2ccc3ccccc3c2)N=NC1C1NC(c2ccccc2)=NO1
ZINC63892274	Cc1cnn(CCc2nc3sc4c(c3c(=O)[nH]2)CCCCC4)c1
ZINC19959533	CCSc1nc2n(n1)C(c1ccccc1)C1=C(CC(C)CC1=O)N2
ZINC65341717	N#Cc1cc(-c2cccc(S(=O)(=O)N3CCCC3)c2)ccc1O
ZINC65386069	C/C(=C\c1ccccc1)C1CC(=O)Nc2[nH]nc(-c3cccnc3)c21
ZINC65408563	CC(C)(O)C#Cc1ccc(-c2nc(C3CC3)nn2-c2ccccc2)o1
ZINC65716899	CN(C(=O)c1ccc(-c2ccco2)[nH]c1=O)c1ccc2ccccc2c1
ZINC66333360	Cn1ncc(C(=O)Nc2nc3c(s2)CCCCCC3)c1C(F)F
ZINC66599665	CC1CCCN(C(=O)C2CCN(C(=O)NCC3(C)CCCC3)CC2)C1
ZINC55493607	O=c1[nH]c(Cc2ccc(-n3cccn3)cc2)nc2sc3c(c12)CCC3
ZINC67059880	O=C(NCc1ccsc1)N1CCCC1c1cccc2c1OCCO2
ZINC67061664	Cc1ccc(C(C)NC(=O)N2CCOC(c3ccc(F)c(F)c3)C2)o1
ZINC67180030	O=C(Cc1ccccc1O)N1CCCC1c1cccc2c1OCCO2
ZINC06530934	Cc1ccc(NC(=O)CSC2=C(C#N)C(c3ccc4c(c3)OCO4)C3C(=O)CCCC3=N2)c(C)c1
ZINC08620874	CC(OC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2)c1nc2ccccc2c(=O)[nH]1
ZINC08743064	COc1ccc(NC(=O)C(C)Sc2ncnc3c2sc2nc4c(cc23)COC(C)(C)C4)cc1
ZINC09065988	CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OC)c(O)c3)c(=O)n2C1c1ccccc1
