ZINC04717953	CC1(C(=O)[O-])CCC(C(=O)N2CCCC2)C1(C)C
ZINC05941621	Cc1ccc(/C=N/c2ccc3[nH]cnc3c2)o1
ZINC54379103	N#Cc1nccnc1Nc1ccccc1F
ZINC54379107	Cc1ccc(F)cc1Nc1nccnc1C#N
ZINC54379114	Cc1cc(F)ccc1Nc1nccnc1C#N
ZINC54499002	CCn1ncnc1-c1ccc2c(c1)CCN2
ZINC12649237	Oc1ccccc1-c1noc(CCl)n1
ZINC60523310	CN1c2ccccc2C(=O)NC1c1cscn1
ZINC06556470	Cc1[nH]c2cc(-c3ccc(F)cc3)nn2c(=O)c1C
ZINC61812697	Cc1c(O)cccc1Oc1ccnc(C#N)c1
ZINC08772778	O=c1c2c([nH]c3cc(-c4ccccc4)nn13)CCC2
ZINC62821924	O=c1[nH]c2c3c(ccc2c(=O)o1)CCCC3
ZINC17988674	Cc1cc(O)ccc1N1C(=O)C2CC=CC(C)C2C1=O
ZINC28819341	N#Cc1c([O-])c2c(-c3ccccc3)csc2[nH]c1=O
ZINC66262879	CN1C(=O)NC(C)(c2ccc(Cl)s2)C1=O
ZINC09189465	CC1C/C(=N/NC2=NC(=O)CS2)CC(C)(C)C1
ZINC09189465	CC1C/C(=N/N=C2/NC(=O)CS2)CC(C)(C)C1
ZINC09590630	Cc1sc2nc(C[NH+]3CCN(c4[nH+]cc(C(F)(F)F)cc4Cl)CC3)[nH]c(=O)c2c1C
ZINC01719337	CCC1c2cc(Oc3c(O)c(OC)cc4c3C(CC)[NH+](C)CC4)c(OC)cc2CC[NH+]1C
ZINC14879684	c1c(C[NH2+]CC2CCCCC2)c(N2CC[NH+]3CCCC3C2)nc2cc3c(cc12)OCO3
ZINC37320096	CC(C)(C)C(Cn1cc[nH+]c1)[NH2+]Cc1ccc(I)o1
ZINC38596503	CCOC(=O)C1[NH+]=c2ccc(F)cc2=C1NC(=O)C[NH+]1CCCC(C)C1
ZINC38596536	CCOC(=O)C1[NH+]=c2ccc(F)cc2=C1NC(=O)C[NH+]1CCC(C)CC1
ZINC38596990	COC(=O)C1[NH+]=c2ccc(Br)cc2=C1NC(=O)C[NH+]1CCCCC1C
ZINC38605313	CCOC(=O)C1[NH+]=c2ccc(F)cc2=C1NC(=O)C(C)[NH+]1CC(C)CC(C)C1
ZINC38610255	COC(=O)C1[NH+]=c2ccc(Cl)cc2=C1NC(=O)C(C)[NH+]1CCc2ccccc2C1
ZINC38669522	COC(=O)C1[NH+]=c2cccc(Cl)c2=C1NC(=O)C[NH+]1CCCCC1C
ZINC38766413	CC1=C(C2[NH+]=c3ccccc3=[NH+]2)C(NC(=O)C2CCCCC2)N(CC2CCCO2)C1C
ZINC38904474	O=C(N/N=C/C1=c2ccccc2=[NH+]C1)C1=CC(c2ccccc2Cl)[NH+]=N1
ZINC38989822	COC(=O)C1[NH+]=c2ccc(Cl)cc2=C1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC39156621	O=C(NN1C(=O)/C(=C\C2[NH+]=c3ccccc3=[NH+]2)SC1=S)c1ccccc1Cl
ZINC39232356	CC1=C(C2[NH+]=c3ccccc3=[NH+]2)C(NC(=O)c2ccccc2Cl)N(CC2CCCO2)C1C
ZINC39232357	CC1=C(C2[NH+]=c3ccccc3=[NH+]2)C(NC(=O)c2ccccc2Cl)N(CC2CCCO2)C1C
ZINC32503340	CCn1nc(C(=O)N2CCCC2)c2c1CCC([NH2+]CC1([NH+]3CCCCC3)CCCC1)C2
ZINC39355680	COCCNC(=O)C1CCC[NH+](C2C(=O)[NH+]=c3ccc(Cl)cc3=C2c2ccccc2)C1
ZINC39700708	Cc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3cccc(I)c3)=NC1[NH+]=2
ZINC39927392	Cc1cc(NC(=O)C2Sc3ccccc3C2Cl)n(C2[NH+]=c3ccccc3=[NH+]2)n1
ZINC39980618	Cc1cc(C)c2c(c1)=CC(CN(CC[NH+]1CCCC1)C(=O)NC1CCCCC1)C(=O)[NH+]=2
ZINC39980675	CC1=CC=CC2=NC(C3C=c4cccc(C)c4=[NH+]C3=O)C([NH2+]Cc3ccco3)N12
ZINC39980705	COc1ccc2c(c1)=[NH+]C(=O)C(C1N=C3C=CC=CN3C1[NH2+]Cc1ccccc1)C=2
ZINC40011176	COc1ccc2c(c1)=[NH+]C(=O)C(C1N=C3C=CC(C)=CN3C1[NH2+]Cc1ccccc1)C=2
ZINC45484437	CC(O)c1ccc(N2CCN(c3[nH+]nc(Cc4ccccc4)c4ccccc34)CC2)[nH+]c1
ZINC52547720	Cc1cc(C[NH+](C)Cc2csc(Br)c2)oc1C[NH2+]C(C)C
ZINC38872119	COc1ccc2c(c1)=[NH+]C(=O)C(C1[NH+]=C3C=CC=C(C)N3C1NC1CCCC1)C=2
ZINC63121465	COc1ccc2c(c1)=[NH+]C(SCC(=O)NC1SC3CCCCC3=C1C#N)[NH+]=2
ZINC63136902	CC(C)[NH2+]CC1CCC[NH+](Cc2cc(Br)c(Br)o2)C1
ZINC63217029	CC1=CC2C(=O)N(Cc3ccco3)C(SCC3[NH+]=c4ccccc4=[NH+]3)NC2S1
ZINC39949010	CCOC(=O)C1C2=C(CCCC2)SC1NC1[NH+]=c2ccccc2=[NH+]C1=O
ZINC63280582	O=C(CSC1[NH+]=c2ccccc2=[NH+]1)Nc1nc(-c2ccccc2)c(-c2ccccc2)o1
ZINC63696054	O=C(NCCc1ccco1)C1CCCN(C2[NH+]=c3ccc(Cl)cc3=[NH+]2)C1
ZINC63708170	CC1=C(CCC2=[NH+]C3=c4ccccc4=[NH+]C(SCc4ccccc4F)N3N2)C(C)N=N1
ZINC38976039	Oc1c(Br)cc(Br)cc1/C=N/N1C(=S)[NH+]=NC1c1cccc[nH+]1
ZINC63818929	COc1ccc(N2C(SCC3[NH+]=c4ccccc4=[NH+]3)=NNC2c2ccccc2)cc1
ZINC63856733	COc1ccc2c(c1)=[NH+]C(CN1CNC3SC(c4ccccc4)=CC3C1=O)[NH+]=2
ZINC63867187	O=C(CSC1[NH+]=c2ccccc2=[NH+]1)N/N=C/c1cccc(Br)c1
ZINC64002148	Cn1nc(C(=O)N2CCCCCC2)c2c1CCC([NH2+]CCC1=c3ccccc3=[NH+]C1)C2
ZINC38995079	Oc1c(Br)cc(Br)cc1/C=N/N1C(=S)[NH+]=NC1c1cc[nH+]cc1
ZINC64059632	CCCC1=[NH+]C(CCC(=O)N2CCC(C3=c4ccccc4=[NH+]C3)CC2)ON1
ZINC64061408	CC(=O)Nc1ccc(C[NH+]2CCC3=c4ccccc4=[NH+]C3C2c2cnn(C(C)C)c2)s1
ZINC64110806	O=C(NCC1[NH+]=c2ccccc2=[NH+]1)C1=CSC2N=C(c3ccc(F)cc3)CN12
ZINC64120286	O=C1[NH+]=c2ccc(C(=O)NC(c3ccccc3)C3CCCC3)cc2=[NH+]C1=O
ZINC64157987	O=C(Nc1ccnn1C1CC[NH+](CC2=c3ccccc3=[NH+]C2)CC1)C1CCCC1
ZINC64198159	Cc1ccc(C(=O)NC2C(C3[NH+]=c4ccccc4=[NH+]3)C(C)C(C)N2CC2CCCO2)cc1
ZINC64392999	COC(=O)C1C(=O)[NH+]=c2ccccc2=C1NCCC1=c2ccccc2=[NH+]C1
ZINC64887861	COC(=O)C1C(=O)[NH+]=c2ccc(F)cc2=C1NCCC1=c2ccccc2=[NH+]C1
ZINC66178484	CC1CC(C)C[NH+](CCNC(=O)N(C)C2CC[NH+](C3CCOCC3)CC2)C1
ZINC66331689	C[NH+](C)CCC[NH+](C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
ZINC01870724	CC1(C)CCC([NH3+])CC1
ZINC13550475	CC(C)[NH+]1C2CCC1CC(O)C2
ZINC14807584	C[NH2+]C(C)c1c(C)nn(C)c1C
ZINC02578139	FC(F)(F)C1=NCC[NH2+]C=C1
ZINC04100369	CC(C)[NH+]1C2CCC1CC(O)C2
ZINC04751298	CC1CC[NH+](C(C)(C)C)CC1O
ZINC05442056	CC(C)[NH+]1CCC(O)CC1
ZINC12362974	[NH3+]C12CC3CC(CC1C3)C2
ZINC19089631	Cc1noc(C2CCCC[NH2+]2)n1
ZINC19167244	N[NH+]1CCCC1
ZINC19474034	CC1CCC(C(=O)N(C)C)C[NH2+]1
ZINC20160735	C1CN(C2CCOCC2)CC[NH2+]1
ZINC20468214	Cc1[nH+]n(C)c(N(C)C)c1CO
ZINC31993210	CN1CC[NH+](C2CCNC2)CC1
ZINC34142036	O=[N+]([O-])c1ccc(C2C[NH2+]2)cc1
ZINC35738042	Cn1cc(N2CCCC2=[NH2+])cn1
ZINC38084113	C[NH2+]CC1CCS(=O)(=O)C1
ZINC04934515	C1=C/C(=C2\CCCCCN2)[NH+]=C1
ZINC38362958	CCC(=O)N1CC[NH2+]C(C)C1
ZINC39077815	C1C[NH2+]C2SCN2C1
ZINC39078396	C/[NH+]=C\N(C)c1cc[nH]n1
ZINC39079526	COCN1CCSC1=[NH2+]
ZINC39082278	C1CC2(C[NH2+]1)CC1CCN2CC1
ZINC39104628	CC(C)C1(C)OC(CO)C[NH+]1C
ZINC39113296	COc1noc2c1C(C)[NH2+]CC2
ZINC39957298	CC(C)C1CN2CCCC2C[NH2+]1
ZINC40718456	CC1CC[NH+](C2CCNCC2)C1
ZINC44119452	CC(C)[NH+](C)C1COCCC1O
ZINC44129500	C[NH+](C1CC1)C1COCCC1O
ZINC44248625	[NH3+]CC(F)C(F)(F)F
ZINC02510218	c1ccn(CC2CCCC[NH2+]2)c1
ZINC44672365	C1=CCC(Cc2c[nH]c[nH+]2)CC1
ZINC45659075	CNC1(C#N)CC[NH+](C(C)C)C1
ZINC49712849	C#CCN1CCC([NH2+]C)CC1C
ZINC51957153	CC1(C)[NH2+]CCC12CCSC2
ZINC52507695	FC(F)(F)C1[NH2+]CC2CC21
ZINC53202348	C#CC(=O)N1CCCC([NH2+]C)C1
ZINC54931442	CC1(C)CN(C2C[NH2+]C2)CCO1
ZINC20285680	CN1CCC2C[NH2+]CC21
ZINC51734218	CC(O)C[NH+]1CCC(C)CC1C
ZINC52298959	CC1CNCC[NH+](C2CC2C)C1
ZINC61152031	C[NH2+]C(C)(C)c1nnc(C)n1C
ZINC61920657	CC(O)C[NH+]1CCCOC(C)C1
ZINC62056262	C1CC(SC2C[NH2+]C2)CCO1
ZINC62566543	CCN1CC(C)[NH2+]CC1C(C)C
ZINC39244836	CC(C)N1CC(O)C[NH+]1C(C)C
ZINC62949131	CC1CCC(n2cncn2)C[NH2+]1
ZINC62987338	CC(=[NH2+])N1CCOC2CCCC21
ZINC63072114	CC(C)(O)C[NH+]1CCCC1(C)C
ZINC64034354	CN1CCCC12CC[NH2+]C2
ZINC00119602	CCn1c(N(C)C)nc2c1c(=O)n(C)c(=O)n2C
ZINC04093879	O=[N+]([O-])c1ccc2nonc2c1N1CCCC1
ZINC03171806	Cc1nnc2c(c1C)-c1no[n+]([O-])c1CC2
ZINC01697201	CCCn1cc([N+](=O)[O-])c(=O)n(C)c1=O
ZINC05427031	O=Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
ZINC05640477	COC1(C)CCC(C=O)C(C#N)(C#N)C1(C#N)C#N
ZINC13531072	CCn1cnc2c(nnn2C)c1=O
ZINC02540391	O=c1oc2cc([N+](=O)[O-])cc(C(F)(F)F)c2o1
ZINC00079937	CN(C)c1nc2c(c(=O)n(C)c(=O)n2C)n1C
ZINC00120361	COC(=O)c1c([N+](=O)[O-])c(C)nn1C
ZINC00333298	COC1(OC)C(C#N)C(C#N)C1(OC)OC
ZINC01077846	Cn1c(=O)c(=O)n(C)c2cc([N+](=O)[O-])ccc21
ZINC01593018	CCn1cnc2c(=O)n(C)c(=O)n(C)c21
ZINC04416442	CC1=CC(=O)N(c2ccc([N+](=O)[O-])cc2)C1=O
ZINC04728749	Cc1c([N+](=O)[O-])c([N+](=O)[O-])nn1C
ZINC05179886	CC1(C)OC2OC3C4COCC(O4)OC3C2O1
ZINC08580437	O=C1OCCCN1/N=C\c1ccc([N+](=O)[O-])o1
ZINC12634836	Cn1ccnc1Sc1ccc([N+](=O)[O-])nc1
ZINC27751907	C=C1COC(=O)N1c1ccc([N+](=O)[O-])cc1
ZINC32500999	Cn1cnc2c(CC#N)c([N+](=O)[O-])ccc21
ZINC34957053	Cc1cc(C)n(-c2ccc([N+](=O)[O-])cc2C=O)n1
ZINC35076484	Cc1c([N+](=O)[O-])ccnc1COS(C)(=O)=O
ZINC35328649	O=c1c2cc([N+](=O)[O-])ccc2ncn1CCCl
ZINC36749071	Cc1nn(C)c(N2CCC(=O)CC2)c1[N+](=O)[O-]
ZINC00141000	Cc1cc(-n2cnc(-c3cn(C)nc3C)n2)no1
ZINC00376045	Cc1c([N+](=O)[O-])c(C(=O)N2CCCC2)nn1C
ZINC38676889	Cn1c(N2CCCCC2)c(C=O)c(=O)n(C)c1=O
ZINC38701048	CC1C(C2C=CN=N2)N=Nc2ccnn21
ZINC39279691	O=[N+]([O-])c1cccnc1SC1C=NN=N1
ZINC39319007	O=[N+]([O-])c1ccc(N2CCC3=NN=CC3C2)cc1
ZINC39930510	O=c1cc(Br)c2non3nnc1c23
ZINC41321868	CN1C(=O)Cc2cc(S(=O)(=O)N=C=O)ccc21
ZINC41633965	Cc1nc(C)n(-c2ccc(C=O)cc2[N+](=O)[O-])n1
ZINC42416091	[N-]=[N+]=NCCN1C(=O)c2ccccc2S1(=O)=O
ZINC42416121	[N-]=[N+]=NCCCN1C(=O)CCCCC1=O
ZINC43511895	Cc1cc([N+](=O)[O-])ccc1-n1nnnc1CCl
ZINC44903292	CC(C)c1nnc2sc(-c3cnn(C)c3)nn12
ZINC45893668	N#CCc1nc(-c2cnccn2)no1
ZINC47330951	Cc1nn(C)c(N2CC(C)OC(C)C2)c1[N+](=O)[O-]
ZINC48756985	CN(C)C(=O)C(=O)N(C)c1ccc([N+](=O)[O-])cc1
ZINC49177186	CC1CN(c2c([N+](=O)[O-])ncn2C)CC(C)(C)O1
ZINC51039197	Clc1nncc(Oc2ccc3c(c2)OCO3)n1
ZINC54268215	Cn1ncc2c(N3CCCCC3C=O)ncnc21
ZINC26692060	COCCn1cc([N+](=O)[O-])cc(C#N)c1=O
ZINC59465417	O=[N+]([O-])c1cc([N+](=O)[O-])c2ocnc2c1
ZINC59474463	O=C1COCC(=O)N1c1ccc(F)c([N+](=O)[O-])c1
ZINC35464036	N#CCCn1cnc(N=[N+]=[N-])n1
ZINC61517489	CCOc1nc(Cl)nc(-n2nc(C)nc2C)n1
ZINC61520085	CC(C)(C)Oc1nc(Cl)nc(-n2cncn2)n1
ZINC61544152	CC(C)Sc1nc(Cl)nc(-n2cncn2)n1
ZINC12587787	O=C(C[NH+]1CCCCCC1)NC1CCC[NH+](CC2CCCCC2)C1
ZINC12592424	COc1cc2c(cc1C[NH2+]C1CCCN(c3ccc(C(F)(F)F)c[nH+]3)C1)OCO2
ZINC31309037	CC[NH+](CC)CC/[NH+]=c1\ccc(C)c2sc3nc(C)cc(C)c3c(O)c1-2
ZINC36148059	CC[NH+](CC)C1CC2(CC[NH2+]C2)Oc2ccc3ccccc3c21
ZINC37156353	CC([NH2+]C(Cn1cc[nH+]c1)C(C)(C)C)c1ccc(Br)cc1
ZINC38685197	COC(=O)C1[NH+]=c2ccccc2=C1NC(=O)C[NH+]1CC2(C)CC1CC(C)(C)C2
ZINC38815337	CC1C(/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)=C(Cl)NN1c1ccccc1
ZINC38965877	CC(C)CCNC1[NH+]=c2ccccc2=[NH+]/C1=N\S(=O)(=O)c1ccccc1
ZINC39143338	Cc1ccc(NC2=NC(=O)C(c3ccc(Cl)cc3)N=[NH+]2)c(C)c1
ZINC39775745	C/C(=N/Nc1nc(-c2ccccc2)c2cc(C)ccc2n1)C1[NH+]=c2ccccc2=[NH+]1
ZINC39777257	CC(C)(C)c1ccc(CNc2ccc(F)cc2C2[NH+]=c3ccccc3=[NH+]C2=O)cc1
ZINC39948429	CC1=C(/C=C(\C#N)C2[NH+]=c3ccccc3=[NH+]2)C(C)N(c2ccc(C)c(C)c2)N1
ZINC39980690	CC1=CC2=NC(C3C=c4ccc(C)c(C)c4=[NH+]C3=O)C([NH2+]Cc3ccco3)N2C=C1
ZINC39980694	CC1=CN2C(=NC(C3C=c4cc(C)ccc4=[NH+]C3=O)C2[NH2+]Cc2ccco2)C=C1
ZINC40011170	COc1ccc2c(c1)=[NH+]C(=O)C(C1N=C3C=CC(C)=CN3C1[NH2+]C(C)(C)C)C=2
ZINC48822329	CCC[NH2+]Cc1ccc(Br)cc1-n1cc[nH+]c1CC
ZINC51002929	CN1C(=[NH2+])C(c2c(Cl)cccc2Cl)[NH+]=C1c1ccccc1
ZINC37240557	CC([NH2+]CC(C(C)C)[NH+]1CCCC1)c1ccc(F)cc1Cl
ZINC63165587	CCCCN1C(=O)C(C2[NH+]=c3ccccc3=[NH+]2)C(O)c2ccccc21
ZINC39700697	Cc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3ccccc3F)=NC1[NH+]=2
ZINC39700699	Cc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3cccc(Cl)c3)=NC1[NH+]=2
ZINC39700700	Cc1ccc2c(c1)=C1N=[NH+]C(N/N=C/c3cccc(Cl)c3)=NC1[NH+]=2
ZINC39866888	CC1=NN(c2ccccc2)C(C)C1/C=N/NC1[NH+]=c2ccccc2=[NH+]1
ZINC63276986	O=[N+]([O-])c1ccc2c(c1)=[NH+]C(CSC1Nc3ccccc3S1)[NH+]=2
ZINC63276988	O=[N+]([O-])c1ccc2c(c1)=[NH+]C(CSC1Nc3ccccc3S1)[NH+]=2
ZINC63279431	Cc1cccc(C2CC(=O)C3=CNN(C4[NH+]=c5ccccc5=[NH+]4)C3C2)c1
ZINC63291101	COc1ccc2c(c1)=C1CC[NH2+]C(C3CC=C(C)CC3C)C1[NH+]=2
ZINC63291102	COc1ccc2c(c1)=C1CC[NH2+]C(C3CC=C(C)CC3C)C1[NH+]=2
ZINC63291103	COc1ccc2c(c1)=C1CC[NH2+]C(C3CC=C(C)CC3C)C1[NH+]=2
ZINC63293930	Cc1nc(-c2ccccc2Cl)sc1C(=O)NC1[NH+]=c2ccccc2=[NH+]1
ZINC63491274	Cc1c(-c2ccccc2)oc2c(C(=O)NC3[NH+]=c4ccccc4=[NH+]3)cccc2c1=O
ZINC63503489	COc1ccc2c(c1)=C1CC[NH2+]C(C3CC(C)=C(C)CC3C)C1[NH+]=2
ZINC63514053	COc1ccc2c(c1)=[NH+]C(SCC(=O)NCC13CC4CC(CC(C4)C1)C3)[NH+]=2
ZINC63668991	CC1=CSC2NC(CSC3[NH+]=c4ccc(C)cc4=[NH+]3)C(Br)N12
ZINC63697971	CC(C)CC(NC(=O)/C=C/c1ccccc1)C1[NH+]=c2ccccc2=[NH+]1
ZINC63731138	O=C(CSC1[NH+]=c2ccc(Cl)cc2=[NH+]1)Nc1cccc2nsnc12
ZINC63731681	CCOc1ccc2c(c1)=[NH+]C(SCc1cc(=O)oc3cc(O)ccc13)[NH+]=2
ZINC63884964	CC1=C(C2[NH+]=c3c(C)c(C)c(C)c(C)c3=[NH+]2)C(N2CCOCC2)N(C)N1
ZINC64044404	CCOc1ccc2c(c1)SC(SCC1[NH+]=c3ccccc3=[NH+]1)N2
ZINC64053741	CC([NH2+]CC1C=c2ccccc2=[NH+]1)C1C=NN(c2ccccc2)C1C
ZINC64074489	Fc1ccccc1N1N=CC2C([NH2+]CC3C=c4ccccc4=[NH+]3)CCCC21
ZINC64137206	CC(C)C1Nc2cc(C(=O)N(C)CCC3[NH+]=c4ccc(F)cc4=[NH+]3)ccc2O1
ZINC64414460	O=C(Cn1cnc2ccccc21)NCC1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1
ZINC64414519	O=C(NCC1CCC(C2[NH+]=c3ccccc3=[NH+]2)CC1)c1cnc2ccccc2n1
ZINC65042685	CCN1c2ccccc2NC1SCC1[NH+]=c2ccccc2=[NH+]1
ZINC65458844	CCN(CCC1[NH+]=c2cccc(C)c2=[NH+]1)C(=O)C1NN(C)C2=C1CCCC2
ZINC65550985	O=C(NC1[NH+]=c2ccccc2=[NH+]1)c1ccc(-c2ccccc2)cc1
ZINC66177605	CC(C)C(CNC(=O)N1CCC([NH+]2CCCC2)C1)[NH+]1CCCCCC1
ZINC66190507	Cc1ccc(C(CNC(=O)N(C)C2CCN(c3cccc[nH+]3)CC2)[NH+](C)C)cc1
ZINC66704582	CCCC[NH+]1CCCCC1CNC(=O)N1CCC([NH+]2CCCC2)CC1
ZINC12057767	OC1C[NH+](C/C=C/c2ccccc2)CCC1[NH+]1CCCCCC1
ZINC19980269	Cc1ccc(C(C)[NH2+]CC2([NH+](C)C)CCCCC2)cc1C
ZINC20306153	C[NH+](C)CC(C)(C)C[NH2+]Cc1cc(Br)cs1
ZINC35012037	CC1CCCC[NH+]1CCC[NH2+]C1CCc2ccccc2C1
ZINC35258576	CC(C)C(C[NH2+]C1CCC2CCCCC2C1)[NH+]1CCCC1
ZINC35258580	CC(C)C(C[NH2+]C1CCc2ccccc2C1)[NH+]1CCCC1
ZINC37153225	Cc1cc(C)c(C(C)[NH2+]C(C)C[NH+]2CCCCC2)cc1C
ZINC37167251	Cc1cccc(C2CC([NH2+]C(CC(C)C)C[NH+](C)C)C2)c1
ZINC37167255	Cc1ccccc1C1CC([NH2+]C(CC(C)C)C[NH+](C)C)C1
ZINC37294469	CCC1CCCCC1[NH2+]C1CCN(c2cccc[nH+]2)CC1
ZINC37916337	CC(C)(C)C1CCCCC1[NH+]1CCCC(C2CCC[NH2+]2)C1
ZINC40623364	Cc1cc(C)c(C(C)[NH2+]CC2CC[NH+](C(C)C)C2)c(C)n1
ZINC43807676	CCC[NH2+]C1CCC(c2ccccc2)CC1[NH+]1CCCC1
ZINC43812047	C[NH2+]C1CCC(c2ccccc2)CC1[NH+]1CCCCCC1
ZINC43813658	CCC[NH2+]C(C[NH+](C)C(C)C)c1cccc2ccccc12
ZINC43882747	CC[NH2+]C(C[NH+](CC)C(C)C)c1cccc2ccccc12
ZINC43882823	CC[NH2+]C1CCC(c2ccccc2)CC1[NH+](CC)C(C)C
ZINC43905914	CC[NH2+]C1CCC(c2ccccc2)CC1[NH+](C)CC1CC1
ZINC43967462	CCC[NH+](CC1CC1)C1CCc2ccccc2C1[NH2+]CC
ZINC49553099	CC(CC[NH+](C)C)[NH2+]C(C)c1ccccc1C(F)(F)F
ZINC20503772	C#CC1CN2CCC1CC2C[NH2+]Cc1ccc(SC)cc1
ZINC49713456	CC[NH2+]C1CC[NH+](C(C)c2ccc(Cl)s2)C(C)C1
ZINC49949238	CC(C)[NH+]1CCC(C[NH2+]Cc2csc3ccccc23)C1
ZINC50564460	CC[NH2+]C1c2ccccc2OCC1[NH+]1CCCC(C)C1C
ZINC51216168	CCC[NH2+]CC1(C[NH+](C)C2CCSC2)CCCCC1
ZINC51216651	C[NH+](Cc1ccsc1)CC1(C[NH2+]C(C)(C)C)CCCC1
ZINC51437672	CCC[NH2+]Cc1c(C)cc(C)[nH+]c1N1CCCCCCC1
ZINC52061371	CC[NH2+]C1CCCCCC1N1CC[NH+](C2CCCC2)CC1
ZINC52333063	CC([NH2+]C1CCN(c2cc[nH+]cc2)CC1)C1CCCCC1
ZINC52333066	CC([NH2+]C1CCN(c2cc[nH+]cc2)CC1)C1CCCCC1
ZINC52420905	CC1CC(C)C[NH+](Cc2ccccc2C[NH2+]C(C)(C)C)C1
ZINC52443964	CC[NH2+]Cc1sc2ccccc2c1C[NH+](C)C(C)CC
ZINC52443968	CCC(C)[NH+](C)Cc1c(C[NH2+]C(C)C)sc2ccccc12
ZINC52478981	CC[NH2+]Cc1sc2ccccc2c1C[NH+](C)C(C)C1CC1
ZINC52517283	CC(C)[NH2+]CCC(C)[NH+](C)Cc1cc(Br)cs1
ZINC50999585	C=CCN1C(=[NH2+])C(c2ccc(Cl)c(F)c2)[NH+]=C1C(C)C
ZINC51001513	CC(C)N1C(=[NH2+])C(c2ccc(Cl)cc2)[NH+]=C1C(C)(C)C
ZINC53858569	C[NH2+]C1CCCCC1CN1CCC([NH+]2CCCCC2)CC1
ZINC54898983	CC[NH2+]C1CC(C)(C)Cc2[nH+]c(N3CCCC3C)sc21
ZINC20441312	c1ccc([NH+]2CCCCC2)c(NC2C[NH+]3CCC2CC3)c1
ZINC43907672	C[NH2+]C1CCC(C)CC1N1CCC([NH+]2CCCCC2)CC1
ZINC62940504	CC[NH2+]C1CCCCCCC1N1CCC[NH+]2CCCC2C1
ZINC62942096	CC[NH2+]C1CCCCCC1CN1CCC[NH+]2CCCC2C1
ZINC62958572	CC[NH2+]Cc1cc(C[NH+]2CCC3(CCCC3)CC2)oc1C
ZINC62970704	C[NH2+]C1CCCCCC1CN1CCC([NH+]2CCCCC2)C1
ZINC63158870	C[NH2+]CC1CC[NH+](C(C)C23CC4CC(CC(C4)C2)C3)CC1
ZINC63197431	CCc1ccc(C(C)[NH+]2CCC(C3CCC[NH2+]3)CC2)cc1
ZINC63197598	CSc1ccc(C(C)[NH+]2CCC(C3CCC[NH2+]3)CC2)cc1
ZINC63197781	CC1CCC(C(C)C)C([NH+]2CCC(C3CCC[NH2+]3)CC2)C1
ZINC63197947	Clc1ccc(C[NH+]2CCC(C3CCC[NH2+]3)CC2)s1
ZINC00279944	CC1CCCC([NH+]2CCCC(C(N)=O)C2)C1
ZINC03888570	Cn1ccnc1C([NH3+])c1ccccc1F
ZINC19516409	CC1CCC(C(=O)NC(C)(C)C)C[NH2+]1
ZINC19801013	CC1(C)CN(C2CCCC2)CC(C[NH3+])O1
ZINC20440874	OC1CCC(NC2C[NH+]3CCC2CC3)CC1
ZINC23070111	CCC1CCC([NH3+])C(N2CCOC(C)C2)C1
ZINC31996827	[NH3+]C1CCN(c2ccc(N3CCCC3)cc2)C1
ZINC31932952	Cc1nc2c(C)cccn2c1C(C)C[NH3+]
ZINC35774002	CC1CCC(C[NH3+])C(N2CCOCC2C)C1
ZINC35774008	CC1CCC(C[NH3+])C(N2CCOCC2C)C1
ZINC36874659	CCC1CCC([NH3+])C(N2CCOCC2)C1
ZINC36874749	CC1CCC([NH3+])C(N2CC(C)OC(C)C2)C1
ZINC36879328	CCC1CCC([NH3+])C(n2nc(C)cc2C)C1
ZINC37381747	[NH3+]C1CC1c1cc(Cl)c2c(c1)OCCO2
ZINC37479570	CC1CN(CC2([NH3+])CCCC2)CCO1
ZINC37479627	CC1CN(CC2([NH3+])CCCC2)C(C)CO1
ZINC37677085	CCC1CCC([NH3+])C(n2cc(C)cn2)C1
ZINC37689989	OC1CCCC1NC1C[NH+]2CCC1CC2
ZINC37689990	OC1CCCC1NC1C[NH+]2CCC1CC2
ZINC38117225	OCC1([NH+]2CCCNCC2)CCCCCC1
ZINC40729114	Cc1nn(C2CCCC2C[NH3+])c(C)c1C
ZINC42444752	CC([NH3+])(C(=O)N1CCCSCC1)C1CC1
ZINC42461880	CC1CCC([NH3+])C(N2CCOCC2(C)C)C1
ZINC43428123	CC(C)([NH3+])CN1CCOC2CCCCC21
ZINC44528337	[NH3+]CC1CCCN(C(=O)C2CCCC2)C1
ZINC44528421	[NH3+]CC1CCCN(C(=O)C2CC=CCC2)C1
ZINC44528423	[NH3+]CC1CCCN(C(=O)C2CC=CCC2)C1
ZINC44751152	CC1CC(C)CN(C(=O)C(C)(C)C[NH3+])C1
ZINC50325644	[NH3+]C(C1=CCCCC1)c1ccc2c(c1)OCO2
ZINC51732662	CC1CCN(C(=O)C([NH3+])C(C)(C)C)C(C)C1
